"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","1096.6","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","66.21","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","430","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","78.96","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","204.66","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Palm Chevrolet Of Gainesville Llc","Internal Services","Parts-Motor Equipment","21.54","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Palm Chevrolet Of Gainesville Llc","Internal Services","Parts-Motor Equipment","147.68","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","225.42","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","60.53","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","20.09","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Tourist Product Development - FY15","Parks, Recreation & Cultural Affairs","Matheson Museum","Matheson History Museum Inc","Cultural Services","Aid To Private Organizations","4606.91","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","-432.56","2019-03-10T00:00:00.000","March","6","2019","Payables"
"Tourist Product Development - FY15","Parks, Recreation & Cultural Affairs","Matheson Museum","Matheson History Museum Inc","Cultural Services","Aid To Private Organizations","1556.22","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","102.04","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","95.01","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","34.47","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","-37.37","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","-49.34","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Tourist Product Development - FY15","Parks, Recreation & Cultural Affairs","NCFL Blues","North Central Florida Blues Society Inc","Cultural Services","Aid To Private Organizations","780","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Double Eagle Graphics","Internal Services","Parts-Motor Equipment","104.29","2015-11-08T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","175.75","2015-11-08T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","73.71","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hagan Holding Company","Internal Services","Hazmat Compliance","115","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Rogers Welding & Repairs Inc","Internal Services","Parts-Motor Equipment","7.92","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","53.25","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","72.78","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","47.1","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","145.58","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","80.72","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","63.56","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","117.56","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","113.56","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Montage Enterprises Inc","Internal Services","Parts-Motor Equipment","169.02","2015-11-08T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Bio-Cycle Llc","Other General Government","Materials And Supplies","39","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","26","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","47.55","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","12.42","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","110.05","2015-11-08T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Stephanie V Hamilton","Other General Government","Materials And Supplies","350","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","188.12","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","661.14","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","728.01","2015-11-08T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","888.39","2015-11-15T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","5.95","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Altec Industries Inc","Internal Services","Parts-Motor Equipment","724.12","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","82.23","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","1278.99","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","402.74","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","172.85","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","194.29","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","276.22","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","16.67","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","88.21","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","47.71","2015-11-15T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Sams Club Direct","Other General Government","Materials And Supplies","49.92","2015-11-15T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Sams Club Direct","Other General Government","Materials And Supplies","599.07","2015-11-15T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","40","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Montage Enterprises Inc","Internal Services","Parts-Motor Equipment","76.85","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Montage Enterprises Inc","Internal Services","Parts-Motor Equipment","-52.86","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","709.24","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","-709.24","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","709.24","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","-709.24","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","818.37","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","-135.75","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","-450","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","472.36","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Power Brake Llc","Internal Services","Parts-Motor Equipment","60","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","53.18","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","131.48","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","538.75","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Lewis Oil Company Inc","Internal Services","Parts-Motor Equipment","83.88","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Altec Industries Inc","Internal Services","Parts-Motor Equipment","1257.2","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Altec Industries Inc","Internal Services","Parts-Motor Equipment","171.92","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","1604.5","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Highland Tractor Company","Internal Services","Parts-Motor Equipment","27.2","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","76.19","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","16.28","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Automotive","Internal Services","Parts-Motor Equipment","-16.67","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","72.78","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","16.85","2015-11-22T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","821.15","2015-11-22T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","159.05","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","-72.79","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","441.18","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","-364.02","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","54.87","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","161.44","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","158.6","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","307.42","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","93.3","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-22T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Risk Management","Alta Systems Inc","Other General Government","Printing And Binding","60","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Cummins Power South Llc","Internal Services","Parts-Motor Equipment","85.25","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Cummins Power South Llc","Internal Services","Parts-Motor Equipment","-85.25","2015-11-22T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Moore Medical Llc","Other General Government","Materials And Supplies","3270","2015-11-22T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Moore Medical Llc","Other General Government","Materials And Supplies","82.42","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","33.86","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","139.76","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Comet Industries Llc","Internal Services","Hardware - Fleet","138.18","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Comet Industries Llc","Internal Services","Hardware - Fleet","79.87","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Earl W Colvard Inc","Internal Services","Parts-Motor Equipment","137.79","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Earl W Colvard Inc","Internal Services","Parts-Motor Equipment","488.06","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Earl W Colvard Inc","Internal Services","Hazmat Compliance","90","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","64.28","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Probilling Funding Service","Internal Services","Parts-Motor Equipment","55.28","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Probilling Funding Service","Internal Services","Parts-Motor Equipment","4.31","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Altec Industries Inc","Internal Services","Parts-Motor Equipment","66.76","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hagan Holding Company","Internal Services","Hazmat Compliance","115","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","54.87","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","26.7","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","83.88","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","217.96","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","33.95","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hall Mark Fire Apparatus Inc","Internal Services","Parts-Motor Equipment","234.62","2015-11-29T00:00:00.000","November","2","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","35","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","144.26","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","187.92","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","13.22","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Unifirst Corporation","Internal Services","Materials And Supplies","73.46","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Palm Chevrolet Of Gainesville Llc","Internal Services","Parts-Motor Equipment","383.97","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Palm Chevrolet Of Gainesville Llc","Internal Services","Parts-Motor Equipment","43.18","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","28.53","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","57.73","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Parts-Motor Equipment","5.23","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Comet Industries Llc","Internal Services","Materials And Supplies","59.58","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Comet Industries Llc","Internal Services","Hardware - Fleet","162.15","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Town Tire Automotive Inc","Internal Services","Parts-Motor Equipment","354.03","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Town Tire Automotive Inc","Internal Services","Parts-Motor Equipment","-354.03","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Town Tire Automotive Inc","Internal Services","Parts-Motor Equipment","257.42","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Probilling Funding Service","Internal Services","Parts-Motor Equipment","36.34","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Lift Power Inc","Internal Services","Parts-Motor Equipment","232.6","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Parts-Motor Equipment","887.38","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Materials And Supplies","48.76","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Hardware - Fleet","33.16","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Buick Gmc","Internal Services","Parts-Motor Equipment","1708.07","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Parts-Motor Equipment","371.79","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Parts-Motor Equipment","6206.97","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Hardware - Fleet","158.9","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Materials And Supplies","67.67","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ring Power H E Service","Internal Services","Parts-Motor Equipment","1954.36","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Buick Gmc","Internal Services","Parts-Motor Equipment","697.61","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Parts House  9","Internal Services","Parts-Motor Equipment","2985.55","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Materials And Supplies","29.54","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Materials And Supplies","13.98","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Hardware - Fleet","111.29","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Parts-Motor Equipment","6093.35","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Napa Auto Parts","Internal Services","Hardware - Fleet","9.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
