"outcome_or_indicator","group","percentage","confidence_interval","title","description","year"
"Did not take medication as prescribed to save money","Uninsured","999",,"Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Employed","9.8","9.2, 10.5","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Not employed","9.2","8.4,  9.9","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Full-time","9.7","8.9, 10.4","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Part-time","10.7","9.1, 12.6","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Not employed but has worked previously","9.5","8.8, 10.3","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Not employed and has never worked","2.9","1.5,  5.1","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Less than 100% FPL","15.4","13.5, 17.4","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","100% to less than 200% FPL","16.1","14.6, 17.7","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","200% and greater FPL","7.1","6.6,  7.7","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","U.S.-born","9.7","9.1, 10.2","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Foreign-born","8.9","7.7, 10.3","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","With disability","16.3","14.7, 18.1","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Without disability","8.7","8.2,  9.2","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Gay/lesbian","6.9","4.4, 10.3","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Straight","9.3","8.8,  9.8","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Bisexual","21.2","16.0, 27.0","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Little to no social vulnerability","7.2","6.3,  8.3","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Angina/angina pectoris","Not Hispanic or Latino, White, single race","1.8","1.6,  2.1","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Did not take medication as prescribed to save money","Low social vulnerability","9.8","8.8, 10.9","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","Medium social vulnerability","10.2","9.3, 11.3","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Did not take medication as prescribed to save money","High social vulnerability","10.5","9.5, 11.6","Percentage of adults aged 18 and over who did not take medication as prescribed to save money in the past 12 months (95% confidence intervals), United States","Respondents who reported taking prescribed medicine in the past 12 months were asked in separate questions if during the past 12 months any of the following were true: they skipped medication doses to save money, they took less medication to save money, they delayed filling a prescription to save money.","2019"
"Angina/angina pectoris","Total","1.7","1.5,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Male","1.7","1.5,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Female","1.6","1.4,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","18-34 years","0.2","0.1,  0.4","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","35-49 years","0.9","0.6,  1.3","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","50-64 years","1.9","1.6,  2.3","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","65 years and over","4.4","3.9,  4.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","18-44 years","0.5","0.3,  0.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","45-64 years","1.7","1.4,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","65-74 years","3.4","2.9,  4.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","75 years and over","5.7","4.8,  6.7","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","White, single race","1.8","1.6,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Black or African American, single race","1.4","1.0,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","American Indian or Alaska Native, single race","1.7","0.5,  4.1","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Asian, single race","1.1","0.6,  1.7","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Native Hawaiian or Other Pacific Islander, single race","999",,"Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Black or African American and White","999",,"Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Not Hispanic or Latino, Black or African American, single race","1.3","0.9,  1.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Other, non-Hispanic","1.3","0.9,  1.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Less than high school diploma","3.4","2.6,  4.3","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","High school diploma or GED","2","1.7,  2.4","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Some college","2.1","1.8,  2.5","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","College degree or higher","1","0.8,  1.2","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Married","1.7","1.5,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Widowed","4.7","3.7,  5.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Divorced or separated","2.4","2.0,  2.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Never married","0.6","0.4,  0.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Living with a partner","1.1","0.7,  1.7","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Large central metro","1.3","1.0,  1.5","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Large fringe metro","1.5","1.2,  1.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Medium and small metro","1.7","1.4,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Nonmetropolitan","2.9","2.3,  3.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Northeast","1.9","1.5,  2.4","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Midwest","1.5","1.2,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","South","1.8","1.5,  2.1","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","West","1.5","1.2,  1.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Large MSA","1.4","1.2,  1.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Small MSA","1.7","1.4,  2.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Not in MSA","2.9","2.3,  3.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Private","0.7","0.5,  0.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Medicare and Medicaid","8.6","6.1, 11.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Medicare Advantage","4","3.2,  5.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Medicare only (no Advantage)","4.2","2.8,  5.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Other coverage","6.7","4.8,  9.2","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Uninsured","999",,"Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Employed","0.7","0.6,  0.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Not employed","3.4","3.0,  3.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Full-time","0.6","0.5,  0.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Part-time","1.1","0.8,  1.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Not employed but has worked previously","3.6","3.2,  4.0","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Not employed and has never worked","1.3","0.6,  2.5","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Less than 100% FPL","3","2.3,  3.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","100% to less than 200% FPL","2.1","1.7,  2.5","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","200% and greater FPL","1.4","1.2,  1.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","U.S.-born","1.7","1.5,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Foreign-born","1.4","1.0,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","With disability","6.4","5.4,  7.5","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Without disability","1.2","1.1,  1.4","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Gay/lesbian","1.3","0.3,  3.4","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Straight","1.7","1.5,  1.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Bisexual","2.3","0.9,  4.9","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Little to no social vulnerability","1.3","1.0,  1.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Low social vulnerability","1.5","1.2,  1.8","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","Medium social vulnerability","1.7","1.4,  2.1","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Angina/angina pectoris","High social vulnerability","2.1","1.7,  2.6","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Difficulty hearing","Total","14.6","14.1, 15.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Male","16.7","15.9, 17.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Female","12.7","12.1, 13.3","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","18-34 years","6.3","5.6,  7.0","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","35-49 years","8.8","8.0,  9.7","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","50-64 years","16.6","15.6, 17.6","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","65 years and over","30.8","29.6, 32.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","18-44 years","6.9","6.4,  7.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","45-64 years","15","14.2, 15.9","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","65-74 years","24.9","23.5, 26.4","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","75 years and over","39.4","37.4, 41.3","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","White, single race","16.9","16.3, 17.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Black or African American, single race","8.8","7.5, 10.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","American Indian or Alaska Native, single race","12.2","7.6, 18.3","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Asian, single race","7","5.6,  8.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Taking prescription medication for feelings of worry, nervousness, or anxiety","Total","11.7","11.3, 12.2","Percentage of taking prescription medication for feelings of worry, nervousness, or anxiety for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they take prescription medication for feelings of worry, nervousness, or anxiety.","2019"
"Difficulty hearing","Native Hawaiian or Other Pacific Islander, single race","999",,"Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Black or African American and White","999",,"Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","American Indian or Alaska Native and White","23.7","16.6, 32.1","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Hispanic or Latino","8.5","7.5,  9.5","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Mexican or Mexican American","8.3","7.1,  9.6","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Not Hispanic or Latino","15.8","15.3, 16.4","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
"Difficulty hearing","Not Hispanic or Latino, White, single race","18","17.4, 18.7","Percentage of difficulty hearing for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had difficulty hearing (even with hearing aids, for those who use them). Respondents who reported ""some"" or ""a lot"" of difficulty or who could not hear at all were classified as having hearing difficulty.","2019"
