"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"18","510310","BAY RESTORATION/FLUSH FEE","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","511005","CLOVERFIELDS PATROL GRANT","35415","SHERIFF FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","0","0","0"
"18","511006","DOT GRANT","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","511008","BOE GRANT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","511012","PORT SECURITY GRANT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","511021","DRUG FREE COALITION GRANT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","511030","SCHOOL BUS ENFORCMT GRANT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","511032","TOBACCO PATROL GRANT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","511043","SEX OFFENDER GRANT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","511045","DOT TRUCK INSP GRANT","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","515507","TOURISM GRANT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","618010","HOME DELV MEALS-ADMIN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"8817","4154.47","4662.53"
"18","530010","SHERIFF'S DRUG TASK FORCE","37804","COURT-ORDERED RESTITUTION","T-FINES & FORFEITURES",,"0","0","0"
"19","654070","SECT 5311-GENRL-EASTON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"22200","6946.61","15253.39"
"19","645010","SR CARE-CASE MANAGER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"16497","8248.5","8248.5"
"19","600050","ADMINISTRATION TITLE IIIB","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"5406","2703","2703"
"19","608010","GUARDIANSHIP","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"20358","2659.91","17698.09"
"18","530010","SHERIFF'S DRUG TASK FORCE","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","530010","SHERIFF'S DRUG TASK FORCE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","530010","SHERIFF'S DRUG TASK FORCE","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","530020","FEDERAL CONFISCATED FUNDS","37851","CONFISCATED CASH ASSTS","T-FINES & FORFEITURES",,"0","0","0"
"18","990100","GOV-WIDE-GENERAL GOVERNMT","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","-21453.34","21453.34"
"18","530020","FEDERAL CONFISCATED FUNDS","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","199000","GENERAL REVENUE","30201","INCOME TAX","T-TAXES","T-LOCAL INCOME TAX REV","51436992","51834188.71","-397196.71"
"18","540010","INMATE WELFARE FUND","36340","P & REC LATE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"19","656060","SSTAP-DISPATCHER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"30779","15183.25","15595.75"
"18","540010","INMATE WELFARE FUND","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"19","636010","SENIOR CENTERS-GENERAL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"261055","112803.92","148251.08"
"19","657090","SECT 5311-CAPITAL GRANTS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"16500","8250","8250"
"19","623010","CAMM/SMP SR MEDICAR PATRL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"11402","5085.67","6316.33"
"18","199000","GENERAL REVENUE","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","316000","635673.9","-319673.9"
"19","621020","FAMILY CAREGIVER-INFO","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"18921","9460.5","9460.5"
"19","621030","FAMILY CAREGIVER-ASSISTNC","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"20427","10213.5","10213.5"
"19","612010","COMMUNITY CARE/HOMEMAKER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"7100","1074.29","6025.71"
"18","562000","NARROWS POINTE SHORE EROS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","562000","NARROWS POINTE SHORE EROS","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","562000","NARROWS POINTE SHORE EROS","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","142014","LAND MGMT-CONQUEST PRESER","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","8900","-8900"
"18","990110","GOV-WIDE-PUBLIC SAFETY","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","-13721.61","13721.61"
"18","570010","KENT NARROWS IMPROVMTS","30102","PROPERTY TAX INTEREST","T-TAXES","T-LOCAL PROPERTY TAX REV","0","179.58","-179.58"
"18","590010","EDC REVOLVING LOAN FUND","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","990100","GOV-WIDE-GENERAL GOVERNMT","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","24637.09","-24637.09"
"18","590010","EDC REVOLVING LOAN FUND","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","48.67","-48.67"
"18","199000","GENERAL REVENUE","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","5417700","5550290.51","-132590.51"
"18","596010","BRIDGE FUND","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","600010","AGING ADMINISTRATION","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","600010","AGING ADMINISTRATION","33140","ST DEPT OF AGING OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","600010","AGING ADMINISTRATION","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","990110","GOV-WIDE-PUBLIC SAFETY","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","-59134.53","59134.53"
"18","608010","GUARDIANSHIP","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","101520","STATE'S ATTORNEY","35103","DISCOVERY FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","150","107","43"
"19","434100","QUEENSTOWN-RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","15000","8053.07","6946.93"
"19","123000","ROADS ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","76058","111204.49","-35146.49"
"19","438100","CRUMPTON- RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","4000","5451.48","-1451.48"
"19","105620","DIV LAND USE & ZONING","35215","FIRE INSPECTION FEE-TOWN","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","2000","6203.53","-4203.53"
"19","141110","LEAGUES","36970","OTHER P&REC-PROGRAM CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","133000","137621","-4621"
"18","616040","CONG MEALS-NUTRITION GEN","36059","TICKET SALES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"19","150050","WEED CONTROL","37041","JOHNSONGRASS SPRAYING","T-CHARGES FOR SERVICES","T-CONS NAT RES-SERV CHGS","15000","19344.4","-4344.4"
"19","105620","DIV LAND USE & ZONING","35211","ZONING APPEALS BOARD FILE","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","6500","9900","-3400"
"19","995010","ZONING DEPOSITS-AGENCY","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","97523.69","-97523.69"
"19","199000","GENERAL REVENUE","30201","INCOME TAX","T-TAXES","T-LOCAL INCOME TAX REV","51536447","18446745.52","33089701.48"
"19","200000","SANITARY ADMINISTRATION","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","90000","52179.46","37820.54"
"18","634010","LEGAL ASSISTANCE","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","200000","SANITARY ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","50000","104421","-54421"
"19","199000","GENERAL REVENUE","31090","OTHER LICENSES & PERMITS","T-LICENSES & PERMITS REV",,"0","975","-975"
"19","210010","KNSG WTR ADMINISTRATION","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","45000","30942.24","14057.76"
"19","111000","DETENTION CENTER","35426","R&B-WORK RELEASE/WEEKEND","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","19000","5916","13084"
"19","320010","BAY BRIDGE AIRPORT OPERAT","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","121.96","-121.96"
"19","540010","INMATE WELFARE FUND","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","22350","4957.44","17392.56"
"18","651040","SECT 5311-ADMIN-CENTREVLL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","651050","SECT 5311-DRIVR-CENTREVLL","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","651050","SECT 5311-DRIVR-CENTREVLL","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","651050","SECT 5311-DRIVR-CENTREVLL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","651060","SECT 5311-DISPCH-CENTREVL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","651070","SECT 5311-GENRL-CENTREVLL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","652050","SECT 5311-DRIVR-GRASONVLL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","100","10","90"
"19","300000","BLUE HERON GOLF COURSE OP","36491","GOLF FEE-RESIDENT/NON-RES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","220000","123527.22","96472.78"
"19","511006","DOT GRANT","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","10000","3091.44","6908.56"
"19","105620","DIV LAND USE & ZONING","31026","ZONING PERMITS","T-LICENSES & PERMITS REV",,"75000","50599","24401"
"19","723000","HOPWA GRANTS (SEE PROJ'S)","32185","FED COMM SERV & DEV-CDBG","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","23412","9087.25","14324.75"
"19","199000","GENERAL REVENUE","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","150000","2966.88","147033.12"
"18","653050","SECT 5311-DRIVR-KENT IS","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","500","78.5","421.5"
"19","200000","SANITARY ADMINISTRATION","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","5565799","4030606.89","1535192.11"
"19","105020","ELECTRICAL BOARD","31006","BOARD/ELECTRICAL LICENSES","T-LICENSES & PERMITS REV",,"27610","4620","22990"
"19","105620","DIV LAND USE & ZONING","31029","BUILDING PERMITS (BOCA)","T-LICENSES & PERMITS REV",,"220000","137883.26","82116.74"
"19","121010","SOLID WASTE ADMINISTRATN","35733","SOLID WASTE DISPOSAL FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","300000","187290","112710"
"19","104860","306 CHURCH LANE RENTAL","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","3805","-3805"
"19","121030","RECYCLING","35732","RECYCLING CHGS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","100000","61876.92","38123.08"
"19","105620","DIV LAND USE & ZONING","31028","SEDIMENT CONTROL FEES","T-LICENSES & PERMITS REV",,"28000","18410","9590"
"19","105620","DIV LAND USE & ZONING","35214","FIRE INSPECTN FEE-COUNTY","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","63000","46254.44","16745.56"
"19","141130","TRIPS & TOURS","36355","RECREATION-TRIP & TOUR","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","15000","9910","5090"
"19","460010","IMPACT FEE FUND- SCHOOLS","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","1050000","880481.27","169518.73"
"19","436100","CHURCH HILL-RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","16000","6445.23","9554.77"
"19","130050","MEAP-MD ENERGY ASSTNC PRG","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","94496","47055.54","47440.46"
"19","210010","KNSG WTR ADMINISTRATION","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","2604676","1854805.77","749870.23"
"19","618040","HOME DELIVERED MEALS-GEN","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","5000","1725","3275"
"19","655070","ACCESS TO JOBS-GENERAL","39055","ADVERTISING REVENUE","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","26239.24","-26239.24"
"19","637010","MEDICAID WAIVER","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","43194","28896.7","14297.3"
"19","200000","SANITARY ADMINISTRATION","35705","SEPTAGE CHGS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","330000","265721.34","64278.66"
"19","330100","KENT NARROWS MARINA","36357","BOAT & SLIP FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","38637.5","-38637.5"
"19","475000","IMPACT FEES 2007-P&REC","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","261590","123403.24","138186.76"
"19","110560","DES - ADMIN","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","142000","PARK MAINTENANCE","36363","LIGHT FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","12000","8850","3150"
"19","616040","CONG MEALS-NUTRITION GEN","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","10000","4757.66","5242.34"
"19","105620","DIV LAND USE & ZONING","31027","PLUMBING PERMITS","T-LICENSES & PERMITS REV",,"100000","57633.25","42366.75"
"18","657090","SECT 5311-CAPITAL GRANTS","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","678010","DOA SPECIAL REVENUE","39055","ADVERTISING REVENUE","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","110540","DESCOM - COMMUNICATIONS","33120","ST 911 FEES OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","312481","151880.73","160600.27"
"19","105620","DIV LAND USE & ZONING","35212","DEVELOPMENT REVIEW-P & Z","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","125000","80197.75","44802.25"
"18","680010","COMM PARTNERSHPS-ADMIN","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","105620","DIV LAND USE & ZONING","31007","ELECTRICAL PERMITS","T-LICENSES & PERMITS REV",,"9375","5485","3890"
"19","200000","SANITARY ADMINISTRATION","31049","SEPTAGE PERMITS","T-LICENSES & PERMITS REV",,"3000","1800","1200"
"18","682040","RESOURCE PROMOTION","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","540010","INMATE WELFARE FUND","36494","MERCHANDISE SALE-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","120000","67712.01","52287.99"
"19","435750","GWVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","1480","-1480"
"19","130050","MEAP-MD ENERGY ASSTNC PRG","32110","FED BENEFITS OP GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","94496","47055.53","47440.47"
"18","682050","MD AFTER SCHOOL OPPORTNTY","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","330200","CENTREVILLE MARINA","36357","BOAT & SLIP FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","4312.5","-4312.5"
"19","432100","KENT ISLAND- RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","53000","68306.57","-15306.57"
"19","636010","SENIOR CENTERS-GENERAL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","5000","3181.57","1818.43"
"18","682055","CHARACTER COUNTS!","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","330300","DOMINION MARINA","36357","BOAT & SLIP FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","1900","-1900"
"19","199000","GENERAL REVENUE","37802","FINES","T-FINES & FORFEITURES",,"60000","53531.24","6468.76"
"18","682090","EUDL - UNDERAGE DRINKING","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","698000","RETURNED REINVESTMT FUND","34190","OTHER OP GRANTS-PROG","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","0","0","0"
"19","105620","DIV LAND USE & ZONING","35213","ELECTRICAL INSPECTION FEE","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","125000","68915.5","56084.5"
"19","520010","FRANCHISE FEE FUND","35107","PRODUCTION SERV FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"19","122000","ENGINEERING DIVISION","35612","DEVELOPMT REVIEW-P.WORKS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","50000","58695.61","-8695.61"
"19","110006","DOT GRANT","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39216","GARDENS RENT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","150000","66666.64","83333.36"
"18","712000","CDBG SEWER REVOLVING LOAN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","714000","SPECIAL LOANS/GRANTS PROG","33105","ST BENEFIT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","714000","SPECIAL LOANS/GRANTS PROG","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","715000","NCI GRANT","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","716000","FD CDBG REHAB REVOLV LOAN","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","718000","CO-FUNDED CWF REVLV LOANS","30309","IDOT RECORDATION TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","718000","CO-FUNDED CWF REVLV LOANS","39250","BAD DEBT RECOVERY","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"19","530010","SHERIFF'S DRUG TASK FORCE","37851","CONFISCATED CASH ASSTS","T-FINES & FORFEITURES",,"0","54371.11","-54371.11"
"18","729000","RAP GRANTS (SEE PROJECTS)","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","800000","AG TRANSFER TX EASEMTS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","820020","TOURISM","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","820022","TOURISM - SPECIAL EVENTS","39035","SPONSORSHIPS/REGISTRATION","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","123120","DRAINAGE","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","1921.84","-1921.84"
"18","830000","RURAL LEGACY ADM/EASMT-CO","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","330010","PUBLIC LANDINGS OPERATING","36365","PUBLIC LANDING PERMIT FEE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","188000","57089.5","130910.5"
"18","101010","PUBLIC INFORMATION","35107","PRODUCTION SERV FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","5000","6520.68","-1520.68"
"19","110000","SHERIFF'S OFFICE","35420","APPLICANT FINGERPRINTS","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","12000","2440.62","9559.38"
"19","142020","LAND MGMT-RT 18 TOWER LEA","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","38898.8","-38898.8"
"19","110000","SHERIFF'S OFFICE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","552.75","-552.75"
"18","520010","FRANCHISE FEE FUND","35107","PRODUCTION SERV FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"19","199000","GENERAL REVENUE","39245","OVER/SHORT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","-127.84","127.84"
"18","870010","OPEB TRUST-QAC LIBRARY","39077","OPEB-MEMBER CONTRIBUTION","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","870010","OPEB TRUST-QAC LIBRARY","39078","OPEB-1/30TH PR YR LIAB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","500010","BALTIMORE METRO COUNCIL","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","44240","10997.38","33242.62"
"18","880010","OPEB TRUST-QAC BOE","39078","OPEB-1/30TH PR YR LIAB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","199000","GENERAL REVENUE","30102","PROPERTY TAX INTEREST","T-TAXES","T-LOCAL PROPERTY TAX REV","0","221847.77","-221847.77"
"18","890010","OPEB TRUST-KENT COUNTY","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","890010","OPEB TRUST-KENT COUNTY","39077","OPEB-MEMBER CONTRIBUTION","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","890010","OPEB TRUST-KENT COUNTY","39078","OPEB-1/30TH PR YR LIAB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","890010","OPEB TRUST-KENT COUNTY","39079","OPEB-CURRENT RETIREES LIA","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","110000","SHERIFF'S OFFICE","35415","SHERIFF FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","38000","14962.98","23037.02"
"18","990100","GOV-WIDE-GENERAL GOVERNMT","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","998010","MOTOR VEHICLE ADMIN-AGENC","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","146006.99","-146006.99"
"19","142000","PARK MAINTENANCE","36980","FIELD USAGE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","30000","14260","15740"
"19","210010","KNSG WTR ADMINISTRATION","39359","WATER SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","7000","6926.13","73.87"
"18","990110","GOV-WIDE-PUBLIC SAFETY","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","990120","GOV-WIDE-PUBLIC WORKS","34510","DONATED CAP ASSETS-USE","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"19","101010","PUBLIC INFORMATION","35107","PRODUCTION SERV FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","5000","900","4100"
"18","990120","GOV-WIDE-PUBLIC WORKS","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","990120","GOV-WIDE-PUBLIC WORKS","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","199000","GENERAL REVENUE","31003","MVA TAG FEES","T-LICENSES & PERMITS REV",,"1000","419.5","580.5"
"19","123700","MOSQUITO CONTROL","35603","PUBLIC WORKS USER FEES","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","95000","2771.25","92228.75"
"19","103000","FINANCE OFFICE","39385","MISC TAX SALE REV","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","246","-246"
