"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Sobus Property","2009-06-03T00:00:00.000","2009-07-01T00:00:00.000","1899-12-31T18:00:00","Lisbon Fire Station","1330  Woodbine Road","Lisbon","21797","2","6.2224","R38","9","N SIDE LONG CORNER RD NE OF FLORENCE RD","[TaxMap 6 Parcel 34]","RC-DEO","(39.3411, -77.142)"
"BS Land Acquisition, LLC and Beth Shalom Congretat","2008-01-30T00:00:00.000","2008-03-03T00:00:00.000","1899-12-31T18:00:00","Temple Beth Shalom of Howard County","8070 Harriet Tubman Lane","Columbia","21044",,,"C18","8","S SIDE OF HARRIET TUBMAN LN W OF FREETOWN RD","[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]","R-20","(39.185, -76.8811)"
"Mullinex Farm Subdivision","2012-04-13T00:00:00.000","2012-05-10T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Department Hall","1220 Woodbine Road","Woodbine","21765","3","63.42","R33","12","A.E. MULLINIX RD EAST OF DUVALL RD","[TaxMap 13 Parcel 138],[TaxMap 7 Parcel 138]","RC-DEO","(39.3161, -77.079)"
"THE PARK AT LOCUST THICKET","2014-04-10T00:00:00.000","2014-05-06T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE VOLUNTEER FIRE DEPT","6275 OLD WASHINGTON BLVD.","ELKRIDGE","21075","352","27.07","R59","14","W SIDE MEADOWRIDGE RD S OF RT 100","[TaxMap 37 Parcel 714]","R-SC","(39.206, -76.7845)"
"ZONING AMENDMENT","2007-04-23T00:00:00.000","2007-05-15T00:00:00.000","1899-12-31T18:00:00","Lisbon Fire Hall","1330 Route 94","Lisbon","21765",,,,,"EAST OF RIDGE ROAD, SOUTH OF I-70","[TaxMap 6 Parcel 106]",,"(39.341, -77.1753)"
"White Property","2008-09-15T00:00:00.000","2008-10-13T00:00:00.000","1899-12-31T18:00:00","Emanuel United Methodist Church","10755 Scaggsville Road","Laurel","20723","8","4.47","R12","9",,"[TaxMap 46 Parcel 150]","R-20","(39.1348, -76.883)"
"5435 Harris Farm Lane","2017-04-27T00:00:00.000","2017-05-23T00:00:00.000","1899-12-31T18:00:00","River Hill Meeting Room","6330 Trotter Road","Clarksville","21029","2","7.572","R48","17","HARRIS FARM LN","[TaxMap 28 Parcel 201]","RR-DEO","(39.2229, -76.9796)"
"LACEY PROPERTY","2014-05-16T00:00:00.000","2014-06-11T00:00:00.000","1899-12-31T18:30:00","GEORGE HOWARD BLDG [COLUMBIA-ELLICOTT RM]","3430 COURT HOUSE DRIVE","ELLICOTT CITY","21043","14","8.5","R71","14","CHURCH RD AT PARK DR","[TaxMap 25 Parcel 13]","R-ED","(39.2744, -76.7998)"
"Dar Al Taqwa, Inc.","2017-06-07T00:00:00.000","2017-07-11T00:00:00.000","6:00 p.m.","On-site, Dar Al Taqwa Mosque","10740 Clarksville Pike","Ellicott City","21043",,,"C01","18","N SIDE RT 108 E OF MANOR LN","[TaxMap 29 Parcel 12]","RC-DEO","(39.2367, -76.8845)"
"Jagannath Temple Project","2014-12-23T00:00:00.000","2015-01-20T00:00:00.000","6:00 P.M.","Glenwood Library Meeting Room","2350 Route 97","Glenwood","21723",,,"C10","15","MILLERS MILL RD","[TaxMap 14 Parcel 20]","RC-DEO","(39.3153, -77.0282)"
"Roxbury","2015-12-07T00:00:00.000","2016-01-13T00:00:00.000","1899-12-31T18:00:00","Glenwood Branch Library","2350 Route 97","Glenwood","21738","1","11.06","R36","16","SOUTHEAST CORNER OF MCKENDREE RD AND RT 97","[TaxMap 14 Parcel 217]","RR-DEO","(39.3002, -77.0197)"
"Davis Property","1900-01-01T00:00:00.000","2010-02-24T00:00:00.000","6:00 p.m.","Ellicott Mills Middle School","4445 Montgomery Road","Ellicott City","21043","5","3.88","R18","10","INTERSECTION OF OLD COLUMBIA PIKE & HUNT AVE.","[TaxMap 25 Parcel 148]","R-20","(39.262, -76.8067)"
"Sang Gug Do and Hea Ock Do","2014-01-30T00:00:00.000","2014-02-27T00:00:00.000","6:30pm","Clarksville Fire House","5000 signal bell lane","clarksville","21029",,,"C15","14","CLARKSVILLE PIKE ACROSS FROM MIDDLE PATUXENT CT","[TaxMap 29 Parcel 330]","RC-DEO","(39.2272, -76.9204)"
"Columbia Association","2013-09-19T00:00:00.000","2013-10-10T00:00:00.000","1899-12-31T18:00:00","Dorsery Hall Neighborhood Pool","4649 Columbia Road","Ellicott City","21042",,,"C06","14","COLUMBIA RD WEST OF GRAY ROCK DR","[TaxMap 24 Parcel 1147]","R-20","(39.2492, -76.8385)"
"Fulton Family Childcare","2015-08-14T00:00:00.000","2015-09-19T00:00:00.000","10:00 a.m.","Howard Co. East Columbia Library","6600 Cradlerock Way","Columbia","21045",,,"C05","16","PINDELL SCHOOL RD S OF GUILFORD RD","[TaxMap 41 Parcel 155]","RR-DEO","(39.1814, -76.9036)"
"3050 Lancelot Cross","2017-01-25T00:00:00.000","2017-03-09T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","2","6.75","R33","17","LANCELOT CROSS","[TaxMap 16 Parcel 62]","RC-DEO","(39.2862, -76.9046)"
"Woodbine/Brantly, LLC","2016-06-27T00:00:00.000","2016-07-27T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723",,"5.85","C02","17","N SIDE OLD FREDERICK RD E OF WOODBINE RD","[TaxMap 7 Parcel 478]","B-2","(39.3478, -77.0661)"
"Brown Property","2010-06-02T00:00:00.000","2010-06-24T00:00:00.000","6:00pm","Atholton High School","6520 Freetown Road","Columbia","21044","1","1","R34","10","SW QUADRANT OF HUNTING LN & NEWBERRY DR","[TaxMap 41 Parcel 252]","R-20","(39.1786, -76.8856)"
"Oak Hill, Lots 1 thru 7 and Open Space Lots 8 & 9","2013-07-31T00:00:00.000","2013-08-26T00:00:00.000","6:00pm","Chales E. Miller Branch Library (Patapsco Room)","9421 Frederick Road","Ellicott City","21042","7","8.19","R14","14","ILCHESTER RD","[TaxMap 31 Parcel 618]","R-ED","(39.248, -76.7687)"
"Butterfield Grove","2015-11-05T00:00:00.000","2015-12-03T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","2","3.1193","R33","16","WHISKEY BOTTOM RD ACROSS FROM NORTHGATE","[TaxMap 47 Parcel 191],[TaxMap 50 Parcel 191]","R-SC","(39.1185, -76.8357)"
"5650 Railroad Avenue","2016-03-18T00:00:00.000","2016-04-11T00:00:00.000","1899-12-31T19:00:00","Melville Church","5650 Furnace Avenue","Elkridge","21075","0","0.5","N11","16","SW SIDE RAILROAD AVE","[TaxMap 38 Parcel 611]","B-1","(39.2141, -76.7091)"
"Hebron Manor I, LLC (CONDITIONAL USE)","2009-01-07T00:00:00.000","2009-02-04T00:00:00.000","1899-12-31T18:00:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C16","9","NW QUADRANT OLD MILL RD & OLD FREDERICK RD","[TaxMap 17 Parcel 26],[TaxMap 17 Parcel 27]","R-20","(39.3005, -76.8563)"
"Zhao Ziwei ","2013-06-03T00:00:00.000","2013-06-24T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421  Frederick Rd","Ellicott City","21043","4","3.062","R58","13","N SIDE OLD COLUMBIA PIKE NE OF HUNTER ROAD","[TaxMap 25 Parcel 262]","R-ED","(39.2663, -76.8026)"
"Hunt/Cabassa Property","2008-05-01T00:00:00.000","2008-05-22T00:00:00.000","1899-12-31T18:00:00","Savage Fire Station","8925 Lincoln Street","Savage","20763","5","1.7","R67","8",,"[TaxMap 42 Parcel 142]","R-12","(39.1518, -76.8109)"
"Streaker Property","2008-05-08T00:00:00.000","2008-06-09T00:00:00.000","1899-12-31T18:00:00","Rehoboth Church (formerly Mt. Airy Presbyterian)","15950 North Ave.","Lisbon","21765","1","83.58","R65","8","N SIDE FREDERICK RD 900' E OF PFEFFERKORN RD","[TaxMap 15 Parcel 146],[TaxMap 9 Parcel 146]","RC-DEO","(39.3128, -76.9749)"
"Patrick Family Limited Partnership","2017-06-22T00:00:00.000","2017-07-20T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company","1330 Woodbine Road","Woodbine","21797","4","166.327","R01","18","NE QUADRANT SCHAFFERS MILL RD & FLORENCE RD","[TaxMap 6 Parcel 65]","RC-DEO","(39.3242, -77.1392)"
"Wilson Village","2017-09-28T00:00:00.000","2017-10-30T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723","4","12.8","R06","18","WOODBINE RD AT OLD FREDERICK RD","[TaxMap 2 Parcel 40],[TaxMap 7 Parcel 478]","B-2","(39.3403, -77.0458)"
"The Preserve at Evergreen Farm","2016-11-22T00:00:00.000","2016-12-20T00:00:00.000","1899-12-31T18:00:00","Maryland Building Industry Association","11825 Market Place","Fulton","20759","9","19.7","R25","17","S SIDE OF SCAGGSVILLE ROAD 1200' W OF MD RT 29","[TaxMap 46 Parcel 337]","RR-DEO","(39.1445, -76.9104)"
"Shangri-La Homes, LLC","2011-06-23T00:00:00.000","2011-07-27T00:00:00.000","6:30 p.m.","Central Library","10375 Little Patuxent Parkway","Columbia","21044",,,"M01","12","MONTGOMERY RD WEST OF STONECREST DR","[TaxMap  Parcel ],[TaxMap 31 Parcel 579]","R-20","(39.2488, -76.8083)"
"GRACE EPISCOPAL CHURCH","2014-07-11T00:00:00.000","2014-08-20T00:00:00.000","1899-12-31T18:00:00","GRACE EPISCOPAL CHURCH","6725 MONTGOMERY ROAD","ELKRIDGE","21075","4","4.04","R04","15","NE OF MONTGOMERY RD & LANDING RD","[TaxMap 37 Parcel 431]","R-ED","(39.212, -76.748)"
"Giddings Property Two","2016-06-07T00:00:00.000","2016-07-07T00:00:00.000","1899-12-31T19:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","7","1.9","R02","17","W OLD SCAGGSVILLE RD","[TaxMap 47 Parcel 157],[TaxMap 47 Parcel 558]","R-SC","(39.1219, -76.8649)"
"The Towns at Court Hill","2017-01-25T00:00:00.000","2017-03-01T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","8","3.28","R34","17","WEST OF COURT  HOUSE DR, EAST OF FELLS LANE","[TaxMap 25 Parcel 43]","R-A-15","(39.2721, -76.801)"
"Gowl Property","2007-02-16T00:00:00.000","2007-03-07T00:00:00.000","1899-12-31T18:00:00","(On Site)","5121 Ilchester Road","Ellicott City","21043","3","1.66",,,,"[TaxMap 31 Parcel 545]","R-20","(39.2307, -76.7783)"
"Shipley's Grant ","2013-10-30T00:00:00.000","2013-11-26T00:00:00.000","1899-12-31T18:00:00","HC Gateway Office Building - 1st Floor - Room 6","6751 Columbia Gateway Drive","Ellicott City","21043","78","7.4","R27","14","MD RT 108 AT RICHARDS VALLEY RD","[TaxMap 37 Parcel 4]","R-A-15","(39.2135, -76.8017)"
"Dorsey's Ridge","2015-03-23T00:00:00.000","2015-04-21T00:00:00.000","6:00 p.m.","St. Paul Catholic Church","3755 St. Paul Steet","Ellicott City","21043",,,"M02","15","TERMINUS OF COOKS LN","[TaxMap 24 Parcel 260]","CEF","(39.2631, -76.8166)"
"Kindler Overlook III","2015-02-04T00:00:00.000","2015-03-12T00:00:00.000","1899-12-31T18:00:00","East Columbia Branch Library","6600 Cradlerock Way","Columbia","21045","8","5.18","R33","15","E. SIDE OF US 29","[TaxMap 41 Parcel 245]","R-20","(39.1642, -76.8846)"
"Taj Property","2013-03-01T00:00:00.000","2013-04-01T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Department","5000  Signal Bell Lane","Clarksville","21029","2","1","R44","13","TROTTER RD N TROTTER CROSSING LN","[TaxMap 35 Parcel 5]","R-20","(39.216, -76.921)"
"Bistro Blanc","2012-05-29T00:00:00.000","2012-06-20T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C11","12","AVOCA AVE AT MONTGOMERY RD","[TaxMap  Parcel ],[TaxMap 31 Parcel 440]","R-20","(39.2386, -76.8022)"
"Ten Oaks Farm","2015-06-22T00:00:00.000","2015-07-20T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept","5000 Signal Bell Lane","Clarksville","21029","6","20.17","R09","16","TEN OAKS RD SOUTH OF MORNING STAR DR","[TaxMap 28 Parcel 140]","RR-DEO","(39.2315, -76.9798)"
"Riverwalk","2009-11-20T00:00:00.000","2009-12-07T00:00:00.000","1899-12-31T19:00:00","Savage Library","6525 Durness Lane","Laurel","20723","58","7.5","R13","10","N SIDE GORMAN RD W OF HORSHAM DR","[TaxMap 47 Parcel 492],[TaxMap 47 Parcel 743]","R-SA-8","(39.1341, -76.8347)"
"Kevin Garvey(COND USE)LANDSCAPE CONTRACT BUS.","2006-12-13T00:00:00.000","2007-01-03T00:00:00.000","1899-12-31T19:00:00","Howard County Library (Glenwood Branch)","2350 Rt. 97","Cooksville","21738",,,,,"SOUTHEAST CORNER OF MCKENDREE RD AND RT 97","[TaxMap 14 Parcel 217]","RR-DEO","(39.3016, -77.0194)"
"Whiskey Bottom Point","1900-01-01T00:00:00.000","2012-10-27T00:00:00.000","1899-12-31T12:00:00","Savage Library","9525 Durness Lane","Laurel","20723","6","1.72","R16","13","TERMINUS OF HOMESTRETCH CT","[TaxMap 50 Parcel 488]","R-SC","(39.116, -76.8343)"
"Hearthstone at Little Patuxent","2008-07-21T00:00:00.000","2008-08-20T00:00:00.000","1899-12-31T18:00:00","Waverly Woods Community Bldg.","2180 Warwick Way","Woodstock","21163","26","13.504","R03","9","S SIDE OF OLD FREDERICK RD 1700' W OF MARRIOTTSVILLE RD","[TaxMap 10 Parcel 207],[TaxMap 10 Parcel 224],[TaxMap 16 Parcel 224]","R-20","(39.3172, -76.9056)"
"HAMPTON HILLS","2014-10-06T00:00:00.000","2014-11-05T00:00:00.000","1899-12-31T18:30:00","ELLICOTT CITY SENIOR CENTER","9401 FREDERICK ROAD","ELLICOTT CITY","21042","14","8.48","R17","15","NW SIDE BONNIE BRANCH RD N OF TWIN STREAM DR","[TaxMap 31 Parcel 24]","R-20","(39.241, -76.7813)"
"Riverwatch","2013-10-15T00:00:00.000","2013-11-06T00:00:00.000","1899-12-31T18:00:00","Methodist Episcopal Church- Melville Chapter","5660 Furnace Ave","Elkridge","21075","108","3.982","R24","14","NE & SW OF FURNACE AVE N OF RAILROAD AVE","[TaxMap  Parcel ],[TaxMap 38 Parcel 420],[TaxMap 38 Parcel 421],[TaxMap 38 Parcel 422],[TaxMap 38 Parcel 620],[TaxMap 38 Parcel 623],[TaxMap 38 Parcel 624],[TaxMap 38 Parcel 625],[TaxMap 38 Parcel A],[TaxMap 38 Parcel B]","CAC-CLI","(39.2148, -76.7057)"
"Jack C. Fyock, Jr. Prop. - COND USE (Landscaping)","2007-04-10T00:00:00.000","2007-05-01T00:00:00.000","1899-12-31T18:00:00","NOTE MEETING DATE CHANGE TO MAY 1","13705 Triadelphia Rd","Glenelg","21737",,,,,"WEST SIDE OF TEN OAKS ROAD, ABOUT 650' SOUTH OF TRIADELPHIA ROAD","[TaxMap 22 Parcel 201]","RR-DEO","(39.2601, -76.9869)"
"Pleasant Chase, Phase IV","2007-11-20T00:00:00.000","2007-12-13T00:00:00.000","1899-12-31T19:00:00","Savage Library Meeting Room","9525 Durness Lane","Laurel","20723","42","10.25","R39","8","N SIDE HICKS RD","[TaxMap 43 Parcel 211],[TaxMap 43 Parcel 492],[TaxMap 43 Parcel 493],[TaxMap 43 Parcel 494],[TaxMap 43 Parcel 622]","R-SC","(39.1671, -76.7943)"
"ST. PAUL'S LUTHERAN CHURCH PROPERTY","2009-07-22T00:00:00.000","2009-08-18T00:00:00.000","1899-12-31T20:00:00","ST. PAUL'S LUTHERAN CHURCH MEETING HALL","11795 ROUTE 216","FULTON","20759","2","6","R05","10","SOUTH SIDE OF MD ROUTE 216","[TaxMap 46 Parcel 105]","RR-DEO","(39.1508, -76.9226)"
"The Settlement at Savage Mill","2014-02-18T00:00:00.000","2014-03-11T00:00:00.000","1899-12-31T19:00:00","Carroll Baldwin Hall","9035  Baltimore ","Savage","20763","35","10.06","R45","14","APPROX. 290' WEST OF WASHINGTON STREET INTERSECTION WITH FAIR STREET","[TaxMap 47 Parcel 93]","B-2,R-H-ED","(39.1357, -76.8294)"
"CATTAIL CREEK COUNTRY","2011-10-04T00:00:00.000","2011-11-16T00:00:00.000","1899-12-31T18:00:00","GLENWOOD LIBRARY","2350 ROUTE 97","COOKSVILLE","21723",,,"C06","12","CATTAIL CREEK DR","[TaxMap 0021 Parcel 0211],[TaxMap 21 Parcel 211]","RC-DEO","(39.2725, -77.0431)"
"BETHEL KOREAN PRESBYTERIAN CHURCH","1900-01-01T00:00:00.000","2012-02-15T00:00:00.000","1899-12-31T18:00:00","BETHEL KOREAN PRESBYTERIAN CHURCH","3165 SAINT JOHNS LANE","ELLICOTT CITY","21042","0","10","N05","12","EAST OF ST. JOHN'S LN ABOUT 2,000' N OF US 40","[TaxMap  Parcel ],[TaxMap 0024 Parcel 1168],[TaxMap 24 Parcel 1168]","R-SI","(39.2842, -76.8265)"
"Lyhus Property","2016-11-02T00:00:00.000","2016-11-30T00:00:00.000","1899-12-31T18:30:00","Fulton Elementary School","11600 Scaggsville Road","Fulton","20759","32","99.07","R21","17","LIME KILN RD W OF SCAGGSVILLE RD","[TaxMap 40 Parcel 135]","RR-DEO","(39.1535, -76.9374)"
"Rajesh Chopra","2009-03-31T00:00:00.000","2009-04-27T00:00:00.000","1899-12-31T18:00:00","Schooley Mill Park","12975 Hall Shop Road","Highland","20777",,,"C22","9","NORTH OF MD 108, ABOUT 680' NE OF HIGHLAND ROAD","[TaxMap 40 Parcel 66]","RR-DEO","(39.1809, -76.9563)"
"Burgess Mill Station II","2015-05-27T00:00:00.000","2015-07-02T00:00:00.000","1899-12-31T19:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","60","3.924","R02","16","SW SIDE COURT HOUSE DR E OF FELS LN","[TaxMap 25 Parcel 120]","R-A-15","(39.2728, -76.8021)"
"Grace Community Church (CONDITIONAL USE)","2008-03-03T00:00:00.000","2008-03-27T00:00:00.000","1899-12-31T18:00:00","Grace Community Church","8200 Old Columbia Road","Fulton","20759",,,"C23","8","SOUTHEAST OF SCAGGSVILLE ROAD","[TaxMap 46 Parcel 387]","RR-DEO","(39.1464, -76.91)"
"CASH PROPERTY","2014-07-24T00:00:00.000","2014-08-27T00:00:00.000","1899-12-31T18:00:00","KAHLER HALL","5440 TUCKER ROW","COLUMBIA","21044","4","52.2","R06","15","SE QUADRANT CARROLL MILL RD & FOLLY QUARTER RD","[TaxMap 23 Parcel 30]","RC-DEO","(39.263, -76.9216)"
"Long Reach Tennis Club","2016-01-13T00:00:00.000","2016-02-22T00:00:00.000","1899-12-31T19:30:00","Stonehouse  [Tamar Rm]","8775 Cloudleap Court #7","Columbia","21045","0","1.2","N09","16","OLD DOBBIN RD OPPOSITE MILL RACE CT","[TaxMap 36 Parcel 657]","NT","(39.2035, -76.8141)"
"MPEA IMPROVEMENTS","2014-06-03T00:00:00.000","2014-06-25T00:00:00.000","1899-12-31T18:00:00","5TH DISTRICT VOLUNTEER FIRE DEPT","5000 SIGNAL BELL LANE","CLARKSVILLE","21029","0","2.35","N09","14","E SIDE TROTTER RD N OF SOUTH WIND CIRCLE","[TaxMap 35 Parcel 512]","NT","(39.2044, -76.9114)"
"Brian A. Owens","2010-07-26T00:00:00.000","2010-08-19T00:00:00.000","1899-12-31T18:30:00","Jeffers Hill Community Center","6030 Tamar Drive","Columbia","21045",,,"M01","11","OAKLAND MILLS RD SOUTH OF GUILFORD PL","[TaxMap 42 Parcel 221]","R-12","(39.1701, -76.8308)"
"Victor & Barbara  J. Reger(COND USE)School Bus Pkg","2008-07-30T00:00:00.000","2008-09-22T00:00:00.000","1899-12-31T18:00:00","Glenwood Library Meeting Room","2350 Route 97","Cooksville","21723",,,"C07","9","EAST OF MONTICELLO DRIVE, ABOUT 1400' NORTH OF OAKDALE DRIVE","[TaxMap 8 Parcel 336]","RC-DEO","(39.3325, -77.011)"
"Holiday Hills Lots 105 & 106","2013-01-04T00:00:00.000","2013-02-06T00:00:00.000","1899-12-31T18:00:00","East Columbia Branch Library  Meeting Room","6600 Cradlerock Way","Columbia","21045","2","1","R34","13","S SIDE VISTA RD E OF NEWBERRY RD","[TaxMap 41 Parcel 220]","R-20","(39.1792, -76.8806)"
"GOLDSTAR ASHBURY LLC","2014-04-24T00:00:00.000","2014-05-21T00:00:00.000","1899-12-31T18:00:00","NORTH LAUREL COMMUNITY CENTER","9411 WHISKEY BOTTOM ROAD","LAUREL","20723","140","5.63","R65","14","US RT 1 AT NORTH LAUREL RD","[TaxMap 50 Parcel 379],[TaxMap 50 Parcel 408]","CAC-CLI","(39.1081, -76.8381)"
"Lally Property","2013-03-07T00:00:00.000","2013-04-03T00:00:00.000","1899-12-31T18:00:00","Glenwood Library, Glenwood Meeting Room","2350 State Route 97","Glenwood","21723","2","6","R46","13","OLD FREDERICK RD AT MCCANN FARM RD","[TaxMap 8 Parcel 27]","RC-DEO","(39.3341, -77.0258)"
"Mullinix Brothers Property","2007-11-15T00:00:00.000","2007-12-11T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 State Route 97","Cooksville","21723","1","1","R37","8",,"[TaxMap 28 Parcel 1]","RC-DEO","(39.2565, -77.013)"
"Autumn View","2013-06-20T00:00:00.000","2013-07-23T00:00:00.000","1899-12-31T19:00:00","Miller Branch Library Avalon Room","9421 Frederick Road","Ellicott City","21042","1","3.0158","R03","14","FOUR QUARTER RD","[TaxMap 25 Parcel 75]","R-ED","(39.252, -76.786)"
"Rockburn Meadows","2017-05-09T00:00:00.000","2017-06-01T00:00:00.000","1899-12-31T18:00:00","Elkridge Landing Middle School","7085 Montgomery Road","Elkridge","21075","7","3.6","R50","17","MONTGOMERY RD AT BELLANCA DR","[TaxMap 37 Parcel 211],[TaxMap 37 Parcel 641]","R-20","(39.212, -76.7664)"
"Greenberry, Lots 26 & 27","2015-11-05T00:00:00.000","2015-12-09T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station","5000 Signal Bell Lane","Clarksville","21029","2","3.34","R34","16","W SIDE GREENBERRY LN N OF LINDEN CHURCH RD","[TaxMap 28 Parcel 48]","RR-DEO","(39.2327, -76.9735)"
"Buck Property","2007-10-23T00:00:00.000","2007-12-06T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Boulevard","Elkridge","21075","27","6.96","R30","8","MONTGOMERY RD 1000' N MARSHALEE DR","[TaxMap 37 Parcel 52],[TaxMap 37 Parcel 53],[TaxMap 37 Parcel 54]","R-20","(39.2135, -76.7616)"
"JUSTICE PLACE","2014-11-05T00:00:00.000","2014-12-10T00:00:00.000","1899-12-31T18:00:00","EAST COLUMBIA BRANCH LIBRARY","6600 CRADLEROCK WAY","COLUMBIA","21045","3","1.47","R25","15","SHAKER DR","[TaxMap 36 Parcel 346]","R-20","(39.192, -76.8654)"
"The Woodlands","2016-03-01T00:00:00.000","2016-03-23T00:00:00.000","1899-12-31T18:30:00","The Meeting Room at River Hill Community","6330 Trotter Road","Clarksville","21029","8","21.24","R47","16","CHAMBLIS DR","[TaxMap 28 Parcel 15]","RC-DEO","(39.2204, -76.9549)"
"Country Side Doggy Daycare","2017-05-17T00:00:00.000","2017-06-21T00:00:00.000","6:00 p.m.","Miller Library","9421 Frederick Road","Ellicott City","21042",,,"C24","17","S SIDE MONTGOMERY RD S OF HALE HAVEN DR","[TaxMap 31 Parcel 36]","B-1","(39.2366, -76.7996)"
"Good Hope Presbyterian Church","2017-02-21T00:00:00.000","2017-03-27T00:00:00.000","6:00 p.m.","Good Hope Presbyterian Church","12131 Scaggsville Road","Fulton","20759",,,"C17","17","S SIDE MD RT 216 500' NW OF FULTON ESTATES CT","[TaxMap 40 Parcel 351],[TaxMap 41 Parcel 351]","RR-DEO","(39.1603, -76.9353)"
"Strader Property","2008-01-31T00:00:00.000","2008-02-26T00:00:00.000","1899-12-31T18:00:00","Lisbon Elementary School","15901 Frederick Road","Woodbine","21797","24","58.77","R52","8","S SIDE OF OLD FREDERICK RD, OPPOSITE THISTLE DOWNS CT","[TaxMap 7 Parcel 2],[TaxMap 8 Parcel 2]","RC-DEO","(39.345, -77.0587)"
"Homewood Properties, LLC","2013-07-22T00:00:00.000","2013-08-15T00:00:00.000","1899-12-31T18:00:00","Gary J. Arthur Community Center at Glenwood","2400 Route 97","Cooksville","21723",,,"C02","14","INTERSECTION OF SHARP RD & TRIDELPHIA RD","[TaxMap 21 Parcel 104],[TaxMap 21 Parcel 135]","RC-DEO","(39.2604, -77.0097)"
"Nordau Subdivision, Section E-6","2007-10-01T00:00:00.000","2007-10-24T00:00:00.000","1899-12-31T18:00:00","Bollman Bridge Elementary School","8200 Savage-Guilford Rd","Jessup","20794","1","0.63","R21","8","NE SIDE JONES RD N SIDE ROSE LN","[TaxMap 42 Parcel 246]","R-12","(39.1543, -76.8145)"
"St. Andrews Episcopal Church","2015-07-29T00:00:00.000","2015-08-27T00:00:00.000","6:00 P.M.","St. Andrews Episcopal Church","2892 Route 97","Glenwood","21738",,"10.413","C04","16","RO0UTE 97 S OF UNION CHAPEL RD","[TaxMap 14 Parcel 216]","RC-DEO","(39.2934, -77.0264)"
"Wilson Village","2015-09-02T00:00:00.000","2015-09-30T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723","0","5.85","N04","16","N SIDE OLD FREDERICK RD E OF WOODBINE RD","[TaxMap 7 Parcel 478]","B-2","(39.3478, -77.0661)"
"RIVER HILL GARDEN CENTER REDEVELOPMENT PROJECT","2013-05-13T00:00:00.000","2013-06-18T00:00:00.000","1899-12-31T19:00:00","LINDEN LINTHICUM UM Church","12101 LINDEN LINTHICUM LANE","CLARKSVILLE","21029","0","6.33","N10","13","CLARKSVILLE PIKE","[TaxMap 35 Parcel 1]","B-1","(39.2143, -76.9343)"
"T-MobileNortheast,LLC(COND USE)125'FLGPOLE/TELECOM","2007-04-17T00:00:00.000","2008-05-12T00:00:00.000","1899-12-31T19:00:00","Charleston Manor Community Room","3182 Normany Woods Drive","Ellicott City","21043",,,"C27","8","SO. OF BALTIMORE NAT'L PK. BETWEEN NORMADY CENTER DR. AND WHEATON WAY.","[TaxMap 18 Parcel 361]","R-A-15","(39.2866, -76.803)"
"Dominic & Tracy Totaro - ZONING CHANGE R-SC to B-1","2007-08-02T00:00:00.000","2007-09-06T00:00:00.000","1899-12-31T18:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723",,,"M01","8","NORTHWEST CORNER OF RT. 1 AND HOWARD STREET","[TaxMap 47 Parcel 119]","R-SC","(39.1367, -76.8152)"
"TSZ Properties, LLC","2014-09-29T00:00:00.000","2014-10-29T00:00:00.000","6:00 p.m.","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21402",,,"C06","15","BALTIMORE NATIONAL PIKE E OF BOONE'S LANE","[TaxMap 24 Parcel 2],[TaxMap 24 Parcel 758]","R-20","(39.2825, -76.8702)"
"Robert & Florence Walker(COND USE) Shops&Assembly","2007-08-07T00:00:00.000","2007-09-11T00:00:00.000","1899-12-31T18:00:00","Glenwood Branch Library","2350 State Route 97","Cooksville","21723",,,"C05","8","SOUTHWEST OF JENNINGS CHAPEL ROAD","[TaxMap 20 Parcel 57]","RC-DEO","(39.2727, -77.0883)"
