"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","MGMT ANALYST-CONF ADMIN","Asian","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","ASSOC MGMT ANALYST - CONF ADM","Hispanic/Latino","30 - 39","Male"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ANALYST","Asian","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","MGMT ANALYST-CONF ADMIN","Not Specified","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","MGMT ANALYST-CONF ADMIN","Not Specified","Under 30","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Paraprofessionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","EXEC ASSISTANT I-CONF CLERICAL","Not Specified","Under 30","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","ASSOCIATE COMMUNICATIONS OFFCR","Not Specified","50 - 59","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Hispanic/Latino","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Asian","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Black/African American","Over 60","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","White","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","White","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Asian","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST II","Hispanic/Latino","Over 60","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","American Indian/Alaska Native","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Asian","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Asian","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Asian","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Asian","Over 60","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ANALYST","Asian","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Black/African American","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ANALYST","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","40 - 49","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Asian","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","EXEC ASSISTANT I-CONF CLERICAL","Black/African American","Over 60","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Two or More Races","Under 30","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","White","Over 60","Female"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Not Specified","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Native Hawaiian/Oth Pac Island","50 - 59","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","White","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","50 - 59","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","White","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","White","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Black/African American","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Not Specified","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Asian","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Not Specified","Under 30","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Not Specified","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Not Specified","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ANALYST","White","40 - 49","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES SUPPORT SUP","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Not Specified","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ASSISTANT","White","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Not Specified","Under 30","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Not Specified","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Hispanic/Latino","50 - 59","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Not Specified","50 - 59","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Asian","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST II","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ANALYST","White","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","White","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","ASSOC MGMT ANALYST - CONF ADM","Asian","Under 30","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Not Specified","Under 30","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","HUMAN RESOURCES ASST I","Not Specified","Under 30","Male"
"Other","No EEO-4 Reporting","ASSESSOR","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Officials and Administrators","ASSESSOR","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Officials and Administrators","ASSESSOR","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Administrative Support","ASSESSOR","OFFICE SPECIALIST III","Hispanic/Latino","Over 60","Female"
"Other","Professionals","ASSESSOR","SR MGMT ANALYST","Asian","50 - 59","Female"
"Other","Officials and Administrators","ASSESSOR","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Administrative Support","ASSESSOR","SR ACCOUNT CLERK","Asian","Over 60","Female"
"Other","Administrative Support","ASSESSOR","EXEC ASSISTANT I","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","ASSESSOR","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","White","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","White","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Black/African American","30 - 39","Male"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Black/African American","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Asian","30 - 39","Male"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Asian","30 - 39","Male"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Asian","50 - 59","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","30 - 39","Male"
"Other","Administrative Support","COUNTY EXECUTIVE","EXEC ASSISTANT I","White","40 - 49","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Under 30","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Asian","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","MGMT ANALYST","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","BUDGET & PUBLIC POLICY ANALYST","Not Specified","40 - 49","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","Over 60","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","Over 60","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","40 - 49","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","50 - 59","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","White","Over 60","Male"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Black/African American","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","50 - 59","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","MGMT ANALYST","Asian","40 - 49","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","50 - 59","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","CONTROLLER - TREASURER","SR MGMT ANALYST","Not Specified","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Not Specified","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Asian","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Two or More Races","50 - 59","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Not Specified","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR MGMT ANALYST","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","Over 60","Female"
"Other","Officials and Administrators","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","30 - 39","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","50 - 59","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Two or More Races","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","Over 60","Male"
"Other","Paraprofessionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Black/African American","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","Under 30","Male"
"Other","Professionals","CONTROLLER - TREASURER","SR ACCOUNTANT","Asian","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","MGMT ANALYST","White","Over 60","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","White","30 - 39","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","SR OFFICE SPECIALIST","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Male"
"Other","Paraprofessionals","CONTROLLER - TREASURER","ACCOUNTANT ASSISTANT","White","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Asian","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Asian","Under 30","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Administrative Support","CONTROLLER - TREASURER","OFFICE SPECIALIST III","Hispanic/Latino","Under 30","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT III","Asian","30 - 39","Male"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Paraprofessionals","CONTROLLER - TREASURER","ACCOUNTANT ASSISTANT","Not Specified","50 - 59","Female"
"Other","Paraprofessionals","CONTROLLER - TREASURER","ACCOUNTANT ASSISTANT","Not Specified","50 - 59","Female"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT II","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","CONTROLLER - TREASURER","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Professionals","CONTROLLER - TREASURER","ACCOUNTANT I","Not Specified","40 - 49","Female"
"Safety Services","Officials and Administrators","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Male"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","SR MGMT ANALYST","White","50 - 59","Female"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","SR MGMT ANALYST","Not Specified","30 - 39","Female"
"Safety Services","Paraprofessionals","DEPARTMENT OF CORRECTION","ACCOUNTANT ASSISTANT","White","50 - 59","Female"
"Safety Services","Paraprofessionals","DEPARTMENT OF CORRECTION","ACCOUNTANT ASSISTANT","Asian","Over 60","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","SUPV ACCOUNT CLERK II","Asian","50 - 59","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","ACCOUNT CLERK II","Black/African American","Over 60","Male"
"Safety Services","Paraprofessionals","DEPARTMENT OF CORRECTION","ACCOUNTANT ASSISTANT","Asian","40 - 49","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","SUPV ACCOUNT CLERK II","Asian","30 - 39","Female"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","ACCOUNTANT I","Asian","40 - 49","Female"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","SR ACCOUNTANT","Asian","50 - 59","Male"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","ACCOUNTANT II","Asian","40 - 49","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","ACCOUNT CLERK II","Hispanic/Latino","30 - 39","Female"
"Safety Services","Officials and Administrators","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","ACCOUNT CLERK II","Asian","30 - 39","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","HUMAN RESOURCES ASST II","White","50 - 59","Female"
