"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"Klamath Community College SBDC","Klamath Community College SBDC - Smart Start-Up","A 2-hour class designed specifically for those considering self-employment or new to owning a business. Gain the information needed before you begin business. Topics include feasibility, market research, business plan basics, start-up financing, insurance, legal structures, registration & licensing, and much more! Participants will be provided with resources, handouts, and checklists!","2021-09-14T15:00:00.000","2021-09-14T17:00:00.000","PDT","Cost: $30",,,,"Register and Pay Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=170410052)",,,,,
"Portland Community College SBDC","Portland Community College SBDC - Global Trade Management Meetup","Finding & understanding HTS, duty and tariffs Knowing the harmonized codes for your specific products and services is critical to successful export activity. Please join us as we go over how to find your proper codes and how to understand duties and tariffs.","2021-09-14T12:00:00.000","2021-09-14T13:00:00.000","PDT","Cost: No fee",,,,"RSVP Online (https://www.meetup.com/Global-Trade-Virtual-Meetup/events/272273409)",,,,,
"Portland Community College SBDC","Portland Community College SBDC - Restaurant Virtual Meetup","The PCC SBDC has created this every other week MeetUp specifically for restaurant business owners (or future ones). We call this the Restaurant Virtual MeetUp. It is a time when the community of restaurant operators can come together on Zoom. Listening to and learning from others who are adjusting and adapting, sharing tools, insights, and experiences.","2021-09-14T11:00:00.000","2021-09-14T12:00:00.000","PDT","Cost: No fee",,,,"RSVP Online (https://www.meetup.com/PCC-SBDC-Restaurant-Virtual-Meetup/events/)",,,,,
"SCORE Portland ","SCORE Portland - Starting a Food Cart Business ","Learn all the steps required to open a food cart business in the Portland area. This workshop covers licensing, agency approvals, estimated costs and other issues that can lead to a successful food cart business.","2021-09-14T09:00:00.000","2021-09-14T11:00:00.000","PDT","Cost: $10",,,,"Register and Pay Online (https://events.r20.constantcontact.com/register/eventReg?oeidk=a07eiaadzfncadb2cba&oseq=&c=&ch=)",,,,,
" Mt. Hood Community College SBDC"," Mt. Hood Community College SBDC - Using QuickBooks Quick Tips","Curious about QuickBooks? This course is for those considering using QuickBooks, enhancing their skills/knowledge, those seeking insight about QuickBooks to better understand the bookkeeping process. In this class we will briefly demonstrate the extensive topics covered in our QuickBooks Boot camp courses, provide quick tips and ample opportunity to ask an expert questions.","2021-09-14T09:00:00.000","2021-09-14T10:00:00.000","PDT","Cost: No fee",,,,"Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=873&SectionID=4321)",,,,,
"SCORE Portland ","SCORE Portland - Starting a Food Cart Business ","Learn all the steps required to open a food cart business in the Portland area. This workshop covers licensing, agency approvals, estimated costs and other issues that can lead to a successful food cart business.","2021-09-14T09:00:00.000","2021-09-14T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://events.r20.constantcontact.com/register/eventReg?oeidk=a07eiaadzfncadb2cba&oseq=&c=&ch=)",,,,,
"Mercy Corps Northwest","Mercy Corps Northwest - Sesión de Información de la Subvención IDA","Durante casi 20 años, Mercy Corps Northwest ha ofrecido cuentas de desarrollo individual (IDA) para ayudar a los residentes de Oregón a ahorrar dinero para iniciar o hacer crecer una pequeña empresa al inscribirlos en un programa de subvenciones.  El programa requiere que los beneficiarios ahorren $ 1,000 durante un período de 13 meses a 24 meses y un día. Los $ 1,000 en ahorros luego se suman a los $ 5,000 en fondos de subvención proporcionados por MCNW para un total combinado de $ 6,000 para su negocio. Los participantes también serán preaprobados para un préstamo de $ 1,000 que les permitirá construir su crédito.","2021-09-13T18:00:00.000","2021-09-13T19:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://nw.mercycorps.org/events/spanish-ida-orientation-091321?utm_medium=email&utm_source=govdelivery)",,,,,
"SBA Portland District Office","SBA Portland District Office - National Small Business Week!","Small businesses represent 44% of all US economic activity. These same businesses account for two-thirds of all new jobs created. As we begin to rebuild better, following the COVID-19 pandemic, we will need to focus on creating and strengthening our small businesses.  SBA's Portland District Office has brought in local experts to present on various business topics with the goal of helping to support small businesses as they start, grow, expand, and recover. ***During this five-day event, September 13th to 17th, we will have a 1.5-hour presentation each day from 3:00 pm to 4:30 pm. ***","2021-09-13T15:00:00.000","2021-09-17T16:30:00.000","PDT","Cost: No Fee",,,,"Reserve your spot (https://www.eventbrite.com/e/small-business-week-tickets-168140780601?utm_medium=email&utm_source=govdelivery)",,,,,
" Sign up for SBA email updates U.S. Small Business Administration"," National Small Business Week Virtual Summit","Join the SBA September 13 – September 15, 2021, for the National Small Business Week Virtual Summit to learn new business strategies, meet other business owners, and chat with industry experts. This free online event will include educational webinars, updates on resources for small businesses and a networking chat room for business owners and aspiring entrepreneurs.","2021-09-13T08:00:00.000","2021-09-15T15:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI:4;F:QS!10100&ShowUUID=5B16BB3D-BC6D-4177-9AE2-A8BF674E851C&AffiliateData=SBALandingPage&Referrer=https%3A%2F%2Fwww.sba.gov%2F)",,,,,
"Mercy Corps Northwest","Mercy Corps Northwest - Business Foundations I - Sundays, beginning September 12","Business Foundations 1 takes you along the small business journey from idea to owner. You will discover what it takes to start your operation and explore the potential of your idea.  Starting a business can be a great way to bring in extra cash or to make a living doing something you enjoy. Mercy Corps Northwest makes it easier to learn the basics of starting and operating a small  business through our business foundations I class.","2021-09-12T09:00:00.000","2021-10-17T12:00:00.000","PDT","Cost: $225 for all classes",,,,"Register for this event (https://nw.mercycorps.org/events/business-foundations-I-09122021?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Vancouver ","SCORE Vancouver  - Return to Normalcy","Never before has successful business been challenged like we have this past fifteen months.  COVID, lockdowns, protests, economic uncertainty. You name it, it feels like it is happening all at once and this has likely left you feeling like life has been turned upside down. It is hard to anticipate anything, with the result that a lot of people have put their life on hold. It’s tough. But you still have goals and dreams. That hasn't changed, right?","2021-09-11T11:00:00.000","2021-09-11T00:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://score.tfaforms.net/17?EventID=a105a000006v5ha)",,,,,
"SCORE Vancouver ","SCORE Vancouver - Return to Normalcy","This free SCORE Webinar will help you achieve success and reach your goals, even in challenging times like these first by setting a course of action for your personal life.  This webinar will be a panel discussion with local success coach Vonie Kalich who will help us understand the positive mindset shifts we’ll need to deal with life as it begins to Return to Normalcy.","2021-09-11T10:00:00.000","2021-09-11T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://score.tfaforms.net/17?EventID=a105a000006v5ha)",,,,,
"Small Business Utility Advocates","Small Business Electric Utility Forum","BEST HQ - Small Business Electric Utility Forum- An interactive community forum by the SBUA seeking input on enhancing Marketing, Education and Outreach for Small Commercial utility users.","2021-09-10T12:00:00.000","2021-09-10T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/small-business-electric-utility-forum-tickets-164653885203)",,,,,
"OAME","CAEPT Meeting &  OAME Networking - (Contractors,  Architects,  Engineers,  Professional &  Technical)","Hosted by James W Fowler Co (JWF Co.) all business owners network together with experts and leaders in business, government and other areas. Each month speakers on the agenda discuss and present local construction projects and give updates on issues related to the community.","2021-09-10T07:30:00.000","2021-09-10T09:00:00.000","PDT","Cost: No Fee",,,,"Zoom meeting information online (https://oame.org/wp-content/uploads/CAEPT-Flyer_2021_09.pdf)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-09-09T12:00:00.000","2021-09-09T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"U.S. Small Business Administration ","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-09-09T12:00:00.000","2021-09-09T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-09-09T09:00:00.000","2021-09-09T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"SCORE Vancouver ","SCORE Vancouver  - Preparing for Growth","We’ll discuss the four top reasons businesses who make it past their first year don’t make it past year five.  You will see why these new challenges emerge and learn practical, low cost ways to up your business management game","2021-09-08T11:30:00.000","2021-09-08T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://score.tfaforms.net/17?EventID=a105a000006v5uK)",,,,,
"Columbia Gorge Community College SBDC","Columbia Gorge Community College SBDC - Iniciando un carro de comida","En línea:  ¿Estas interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-08-31T18:00:00.000","2021-08-31T20:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410098)",,,,,
"Columbia Gorge Community College SBDC","Comenzando tu negocio","Columbia Gorge Community College SBDC-Comenzando tu negocio-Tienes una ide de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.","2021-08-31T15:00:00.000","2021-08-31T17:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410099)",,,,,
"Mt. Hood Community College SBDC","Going into Business: Start Smart","Mt. Hood Community College SBDC-Going into Business: Start Smart-Walk through the process of starting your own business from scratch and leave the class with contacts & principles vital to getting your business off the ground and then managing it through the early stages of development.","2021-08-31T13:00:00.000","2021-08-31T15:00:00.000","PDT","Cost: $45.00",,,,"Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=84&SectionID=4314)",,,,,
"Columbia Gorge Community College SBDC","Quien es tu cliente","Columbia Gorge Community College SBDC-Quien es tu cliente-Aquí te ayudaremos a identificar tu cliente meta, formas de llegar a tu cliente y crear un plan o estrategias para llegar a el.","2021-08-31T12:00:00.000","2021-08-31T14:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410113)",,,,,
"SCORE Vancouver ","SCORE Vancouver - The Business Model Canvas PLUS - Develop Action Plans for Key Elements of Your Business Model Canvas","The Business Model Canvas (BMC) is a one-page visual framework for planning, developing, and testing the business model(s) of an organization. While AN IMPORTANT strategic management tool, utilizing the BMC alone MAY NOT BE SUFFICIENT TO HELP you clearly identify areas of improvement, and develop the tangible steps crucial to the growth of your business.","2021-08-31T10:00:00.000","2021-08-31T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1482629&tp_key=f6688bd417&sti=scoreeventpage)",,,,,
"SCORE Webinar","The Business Model Canvas PLUS - Develop Action Plans for Key Elements of Your Business Model Canvas","The Business Model Canvas (BMC) is a one-page visual framework for planning, developing, and testing the business model(s) of an organization","2021-08-31T10:00:00.000","2021-08-31T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1482629&tp_key=f6688bd417&sti=scoreeventpage)",,,,,
"Columbia Gorge Community College SBDC","Entendiendo estados financieros","Columbia Gorge Community College SBDC - En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.- ","2021-08-31T09:00:00.000","2021-08-31T11:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410111)",,,,,
"Salem Capitol Connections","City of Salem Public Works Operations Building","Howard S. Wright Project Manager, Evan Grimm, and staff will present the upcoming Salem Operations Center Building Project currently under design and provide subcontractors with information about how they can get involved in the the project.","2021-08-31T07:30:00.000","2021-08-31T09:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410034)",,,,,
" Chemeketa Community College SBDC","Monthly Meeting","Salem Capitol Connections - Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2021-08-31T07:30:00.000","2021-08-31T09:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410034)",,,,,
"Columbia Gorge Community College SBDC","Digital Marketing","Learn to promote your business using the various social media platforms, create internet ads and buy ad space on social media sites, and manage your company on Google***To complete registration & payment, call 541 506-6000 option 2 or email studentservices@cgcc.edu","2021-08-30T18:00:00.000","2021-08-30T21:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410129)",,,,,
"SCORE Vancouver ","SCORE Vancouver  - Growing Your Business","Growing Your Business - This webinar will cover topics to help you expand and grow your sales… and don’t worry, the ideas we’ll share are as applicable to new businesses as they are to established ones.","2021-08-28T10:00:00.000","2021-08-28T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://score.tfaforms.net/17?EventID=a105a000006v5nx)",,,,,
"Oregon Association of Minority Entrepreneurs: OAME","Coffee and Issues Meeting","AT: OAME Center 731 N. Hayden Meadows Dr. Main Conference Room Portland OR 97217","2021-08-27T07:00:00.000","2021-08-27T08:30:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","SBA’s Women-Owned Small Business Federal Contracting Program oversees the process for Women-Owned Small Businesses (WOSBs) and Economically Disadvantaged Women-Owned Small Business certifications","2021-08-26T15:00:00.000","2021-08-26T16:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Micro Enterprise Services of Oregon ","Insurance for your small business","We will be discussing business insurance basics, why it matters for your business, and how to read what is included in your policy. Learn the importance of commercial insurance, how it protects you personally and professionally, and how to select the right commercial insurance for your business.","2021-08-26T10:00:00.000","2021-08-26T12:00:00.000","PDT","Cost: Free",,,,"Register Online (https://www.eventbrite.com/e/meso-insurance-for-your-small-business-tickets-162456647205)",,,,,
"U.S. Small Business Administration","SBA Celebrates Rural Entrepreneurship","You will also learn about resources available from the SBA and USDA to help rural entrepreneurs compete in the marketplace: launch or expand businesses; receive counseling; funding opportunities; and help to recover or rebuild from disasters.","2021-08-26T10:00:00.000","2021-08-26T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/sba-celebrates-rural-entrepreneurship-registration-166336463841?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-08-26T09:00:00.000","2021-08-26T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary resources (https://sos.oregon.gov/business/Pages/notary-training.aspx)",,,"Salem",,
"NEOEDD","Get Started - A CO.STARTERS Workshop","IGNITE  104 Depot Street  La Grande, OR 97850- Get Started is a free three-hour workshop that helps you start, grow, or expand your small business Get Started is now hybrid. You can attend in person or from home via ZOOM.","2021-08-25T18:00:00.000","2021-08-25T20:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/get-started-a-costarters-workshop-la-grande-or-tickets-166555113829)",,,,,
"Reinventing Rural","Get Started – A CO.STARTERS Workshop to Help Launch Your Business","Get Started is a three-hour workshop that gives you the tools to get your startup business idea moving forward.","2021-08-24T09:00:00.000","2021-08-24T12:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://reinventingrural.com/event/get-started-philomath-august24/)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for CURRENT notaries ONLY","2021-08-24T09:00:00.000","2021-08-24T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary resources (https://sos.oregon.gov/business/Pages/resources-aids-notarization.aspx)",,,"Salem",,
"Columbia Gorge Community College SBDC","Writing an Effective Business Plan","A well thought out Business Plan is the cornerstone of any business. Learn the essential elements needed to plan for or to continue a successful business . In addition, the comprehensive elements of a SWOT analysis will be studied.***Complete registration & payment by calling: 541 506-6000 - option 2 or email studentservices@cgcc.edu","2021-08-23T09:00:00.000","2021-08-23T12:00:00.000","PDT",,,,,"Register and Pay Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410117)",,,,,
"Chemeketa Community College SBDC","Ready, Set, Start Your Business","Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?  Begin your business the right way. Come and learn about:   business structure  business registration  licensing  taxes  miscellaneous rules and regulations","2021-08-19T12:00:00.000","2021-08-19T14:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410059)",,,,,
"Micro Enterprise Services of Oregon","Entity Selection & Formation","All you need to begin your business entity formation, registration with state and federal, business license.","2021-08-18T18:00:00.000","2021-08-18T20:00:00.000","PDT","Cost: Free",,,,"Register Online (https://www.eventbrite.com/e/meso-entity-selection-and-formation-tickets-162456017321)",,,,,
"Klamath Community College SBDC","Smart Start-Up (On-Line Zoom)","A 2-hour class designed specifically for those considering self-employment or new to owning a business. Gain the information needed before you begin business. Topics include feasibility, market research, business plan basics, start-up financing, insurance, legal structures, registration & licensing, and much more! Participants will be provided with resources, handouts, and checklists!","2021-08-18T17:30:00.000","2021-08-18T19:30:00.000","PDT","Cost: $30",,,,"Register and Pay Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=170410051)",,,,,
"Hispanic Metropolitan Chamber ","Knowledge & Networking Event- Building Inclusive Teams","Presenter: Gerardo Ochoa—Associate Vice President, Retention and Student Success Linfield University This is a virtual event . Register soon because space is limited. See you then!","2021-08-18T12:00:00.000","2021-08-18T13:00:00.000","PDT","Cost: $25 NON-MEMBER / FREE FOR MEMBERS",,,,"Register Online (https://www.eventbrite.com/e/knowledge-networking-event-building-inclusive-teams-tickets-163818033147?utm_term=ctabutton&utm_campaign=1167502&utm_source=eventbrite&utm_medium=ebcampaigns&aff=odeccpebemailcampaigns&mipa=ABIdvVtvepJdOuQIAtWa5kJ7mTf6FqUttNLva7kDJ3pvwI49Gbw4825x_giiaXTb8HRcdhMpUZdsd8D7pTCHTfyNxZKlqXAdbBUgYMC9qt_5omeUUj0-Cqb2paH-Gb10U7QURydp0wfvX6UZkImvMvHVZdaVfLo3Uy-UkmN4X81CdG0q1kcs3GzFUyz-A_GSSEqpCEa5bDzVYZc44Cw6_m2p_EF0GNqzc71v2OPDi3vOo_BKlb_cx8D82kMl4pDM4w_aPMyhoolrM13AgyKEU4pAR9e7BgtnUA#tickets)",,,,,
"Mt. Hood Community College SBDC","Start Your Business in Oregon Tips","Start Your Business in Oregon Tips","2021-08-17T13:00:00.000","2021-08-17T14:00:00.000","PDT","Cost: No fee",,,,"Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=871&SectionID=4312)",,,,,
"Micro Enterprise Services of Oregon ","Quarterly Taxes for Small Business","One of the most important and commonly missed elements of small business taxes is estimated tax payments. Payments are split based on quarters, January-March, April-June, July-September, and October-December","2021-08-17T10:00:00.000","2021-08-17T12:00:00.000","PDT","Cost: Free",,,,"Register Online (https://www.eventbrite.com/e/meso-quarterly-taxes-for-small-business-tickets-162455561959)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-08-17T09:00:00.000","2021-08-17T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary resources (https://sos.oregon.gov/business/Pages/resources-aids-notarization.aspx)",,,"Salem",,"2021-08-16T17:00:00.000"
"Columbia Gorge Community College SBDC","Building a Company Site Using SquareSpace","Creating a Company Website using SquareSpace - Learn to use SquareSpace with guidance and practical advice. “Squarespace, a do-it-yourself website builder, blogging platform and hosting service, lets businesses of all types create professional websites with the service’s user-friendly drag-and-drop interface. Squarespace also provides all the tools business owners need to manage their websites, from search engine optimization (SEO) to comprehensive e-commerce solutions.” (Building a Brand and Style Guide Class suggested as prerequisite)","2021-08-16T18:00:00.000","2021-08-16T21:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410131)",,,,,
"Columbia Gorge Community College SBDC","Starting a New Business","Are you considering starting a business and don't know where to start? This course will teach you about business registration, business structure, licensing and basic information needed to get your business started.","2021-08-16T09:00:00.000","2021-08-16T12:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410115)",,,,,
"Oregon Association of Minority Entrepreneurs: OAME","Veterans Business Committee",,"2021-08-13T09:00:00.000","2021-08-13T10:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Oregon Association of Minority Entrepreneurs: OAME","Contractors & AEPT Meeting",,"2021-08-13T07:30:00.000","2021-08-13T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Chemeketa Community College SBDC","Conozca el Centro de Desarrollo de Pequeñas Empresas de Chemeketa","¿Está empezando su negocio? Acompáñenos en esta breve introducción del Centro de Desarrollo de Pequeñas Empresas de Chemeketa. Conozca las clases y recursos para propietarios de negocios disponibles a través del centro y nuestras organizaciones asociadas con empresarios.","2021-08-12T18:00:00.000","2021-08-12T19:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410074)",,,,,
"Lane Community College SBDC","Going Into Business: First Steps","Learn about...  evaluating your business idea, essential business topics, the importance of market analysis, how to create a business plan, analyzing your idea, and building financial projections.","2021-08-12T15:00:00.000","2021-08-12T17:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=1410043)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-08-12T09:00:00.000","2021-08-12T12:00:00.000","Oregon","Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary resources (https://sos.oregon.gov/business/Pages/notary.aspx)","Notary seminar schedule (https://notsem.sos.state.or.us/)","255 Capitol Street NE, Suite 151
Salem, OR 97310
(44.939191, -123.028192)","Salem",,"2021-08-11T09:00:00.000"
"Micro Enterprise Services of Oregon ","Employee Handbook for Small business","Learn what an employee handbook is and why your company needs one. An employee handbook outlines your company's policies, procedures and expectations. Although an employee handbook is not legally required, every business should have one because, in certain instances, it can reduce liability","2021-08-11T12:00:00.000","2021-08-11T14:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/meso-small-business-employee-handbook-tickets-162454444617)",,,,,
"Columbia Gorge Community College SBDC","Entendiendo estados financieros","En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.","2021-08-10T18:00:00.000","2021-08-10T20:00:00.000","PDT","Tarifa: Sin costo",,,," Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410110)",,,,,
"Reinventing Rural","Get Started workshop developed by CO.STARTERS","Get Started is a three-hour workshop that gives you the tools to get your startup business idea moving forward. This is a virtual event!","2021-08-10T17:30:00.000","2021-08-10T20:30:00.000","PDT","Cost: No Fee",,,,"Register Online (https://reinventingrural.com/event/get-started-a-co-starters-workshop-to-help-launch-your-business-virtual/)",,,,,
"Columbia Gorge Community College SBDC","Crear un menu que venda por ti","En esta clase hablaremos de las estrategias de posiciones de platillos en el menú, formulas para costos, entender los costos de cada platillo y como utilizar tu menú para que haga las ventas por ti.","2021-08-10T15:00:00.000","2021-08-10T17:00:00.000","PDT","Tarifa: Sin costo",,,," Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410106)",,,,,
"Mt. Hood Community College SBDC","Get Found on Google Tips","This class will provide an overview of the important aspects of developing key words, key phrases, and other factors in your web presence in order to “get found on Google”. ","2021-08-10T13:00:00.000","2021-08-10T14:00:00.000","PDT","Cost: No Fee",,,,"Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=876&SectionID=4327)",,,,,
"Portland Community College SBDC","Global Trade Management Meetup","Export Compliance primer – what you need to consider We will be reviewing and discussing the basic elements of export compliance. Not understanding these regulations can be costly and could even land you in jail. This applies to e-commerce sales as well as traditional export activity. Please join us and make sure that you are staying out of trouble!","2021-08-10T12:00:00.000","2021-08-10T13:00:00.000","PDT","Cost: No Fee",,,,"RSVP online (https://www.meetup.com/Global-Trade-Virtual-Meetup/events/272273409)",,,,,
"Columbia Gorge Community College SBDC","Iniciando un carro de comida","¿Estas interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-08-10T12:00:00.000","2021-08-10T14:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410103)",,,,,
"Columbia Gorge Community College SBDC","Comenzando tu negocio","Tienes una ide de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.","2021-08-10T09:00:00.000","2021-08-10T11:00:00.000","PDT","Tarifa: Sin costo",,,," Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410097)",,,,,
"Southern Oregon University SBDC","Introduction to Entrepreneurship Orientation","Learn the basic steps to starting a business in Oregon, how to register your business name, where to obtain your businesses licenses, types of business structures, and the resources available to you through the SBA, State of Oregon and the SOU SBDC.","2021-08-06T15:00:00.000","2021-08-06T16:30:00.000","PDT","Cost: $20.00",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=91410019)",,,,,
"Clackamas Community College SBDC","Going Into Business - Zoom","Before you take the plunge, find out what it takes to start up and successfully operate your own business in Oregon, and assess whether business ownership is the right path for you.","2021-08-05T18:30:00.000","2021-08-05T21:20:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=40410002)",,,,,
"Mt. Hood Community College SBDC","Business Management Acceleration","Individual who are in business have registered a business and are doing business whether newly in business or long time business owners who want to jump start their progress.","2021-08-05T15:00:00.000","2021-08-05T16:00:00.000","PDT","Fee: No Cost",,,,"Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=918&SectionID=4317)",,,,,
