"overall_project_name","key_number","overall_description","overall_benefits","mntr_cd1","child_project_name","child_project_key_number","previous_project_cost","current_project_cost","previous_bid_opening_date","current_bid_opening_date","previous_completion_date","current_completion_date","create_date","region","opt","congressional_district","state_senate_district","state_representative_district"
"State Highway 212: Sunrise Corridor Phase 1, Units 1, 2, and 3","17061","<P>The Clackamas Industrial Area is home to one of the state's busiest and most critical freight distribution centers. Community development and industrial expansion in the Sunrise Corridor are expected to grow significantly and the existing Oregon 212/224 corridor is incapable of handling this increased demand.</P>

<P>Since 1988, the east/west Sunrise Corridor has been identified as an essential connection from I-5 and I-205 to U.S. 26 (Mt. Hood Highway), and to central and eastern Oregon. After years of public involvement, community participation and environmental investigation, on February 23, 2011, the Federal Highway Administration (FHWA) signed a Record of Decision (ROD) providing the necessary federal clearances for construction of the identified improvements.</P><P>The Sunrise Jobs and Transportation Act Project is constructing a smaller phase of the larger Sunrise Corridor Preferred Alternative to address existing congestion and safety problems in the Oregon 212/224 corridor. The Sunrise JTA Project will construct a new road from I-205 at the Milwaukie Expressway to 122nd Avenue and some local roadway connections serving the Lawnfield Industrial District.</P>

<P>ODOT and Clackamas County developed the JTA project proposal in spring 2010 and hosted a public meeting in June 2010 to discuss the proposal, answer questions and take comments. ODOT held the first design open house on November 8, 2011.</P>","<P>When complete, the project will reduce congestion, increase safety, and improve economic development opportunities and freight mobility.</P>","<P>Construction on this project started in the spring of 2013.</P>

 <P>For weekly construction information and a detailed project map, please visit: </P>
<a href=""http://www.oregon.gov/ODOT/HWY/REGION1/pages/sunrise/index.aspx"">http://www.oregon.gov/ODOT/HWY/REGION1/pages/sunrise/index.aspx</a>

<P>Design-only Project #16602 was completed and closed out 12/5/2014<P>",,,,,,,,,,,,,,
"State Highway 212: Sunrise Corridor Phase 1, Units 1, 2, and 3","17061",,,,"FFO - Sunrise project - Industrial Way","16602","809187","715374",,,,,"1/2/2020","1","S","3","26","51"
"I-205 NB:MP13.3 - Sunnybrook Exit","17061",,,,"I-205: OR224(Sunrise Expressway) - Sunnybrook Blvd","19721","7372769","7691122","11/8/2018","11/8/2018","11/21/2021","11/21/2021","5/21/2020","1","S","5","24, 26","48, 51"
"OR224 (Milwaukie Expressway): SE Rusk Rd - I-205","17061",,,,"OR224 (Milwaukie Expressway): SE Rusk Rd - I-205","19720","1770000","2100000",,,,,"8/29/2022","1","S","5","20, 24","41, 48"
"OR212/224 Sunrise Corridor: 122nd Ave – 172nd Ave","17061",,,,"OR212/224 Sunrise Corridor: 122nd Ave - 172nd Ave","19719","3400000","3027196",,,,,"8/29/2022","1","S","3, 5","26","51"
"Interstate 84 at 257th Interchange (Troutdale) Phases 2 and 3","17060","<P>Interstate 84 at the 257th Interchange, located in the City of Troutdale in Multnomah County, is an important freeway connection to many industrial businesses at the eastern end of the Columbia industrial corridor. The project will support connections to this important employment area by improving safety and capacity in the I-84/257th interchange area.<P><P>In July 2009, work began to improve the east end of the I-84 Troutdale interchange (Exit 17). The project, which was funded by ODOT, Port of Portland, City of Troutdale and federal stimulus funds, added an additional turn lane for traffic headed east on South Frontage Road to 257th Drive/NW Graham Road (I-84, Exit 17) and was completed in December 2009.</P>
<P>Project elements completed include: <ul>
<li> widening and lengthening the I-84 eastbound exit ramp, and improving the intersection; </li>
<li>adding a third lane to South Frontage Road; and </li>
<li> improving the intersection at the I-84 westbound exit ramp and Graham Road, including adding a third lane to a portion of North Frontage Road. </li>
<li> building a new I-84 overpass crossing over Marine Drive </li>
<li> widening Marine Drive to inlcude two-way traffic </li>
</ul></P> 
<P>Additional project elements will be designed with JTA funding. Construction of these additional project elements will depend on securing other funding, such as the Federal Transportation Reauthorization request for $28 million that ODOT, the Port of Portland and the City of Troutdale are supporting.</P>","<P>The interchange experiences traffic backups on the I-84 eastbound exit ramp during afternoon peak hours. This is a significant safety concern as vehicles are forced to back up into the travel lanes of the interstate. A recent traffic study, specifically addressing the increased traffic generated from the newsly constructed FedEx ground distribution facility, forecasts that congestion in the area will soon worsen. This project will improve safety, reduce congestion and provide capacity for future development of the Port's industrial property north of I-84.</P>","<P>This project is substantially complete and all new features are open to traffic. When weather allows, the contractor will finish permenent striping, perform work on the ramps to the sidewalks and landscaping.</p>

<P>For more information and weekly construction updates visit the project webpage at <a href=""http://www.oregon.gov/ODOT/HWY/REGION1/pages/troutdaleexit17/index.aspx"">http://www.oregon.gov/ODOT/HWY/REGION1/pages/troutdaleexit17/index.aspx/</a></P>",,,,,,,,,,,,,,
"Interstate 84 at 257th Interchange (Troutdale) Phases 2 and 3","17060",,,,"I-84 AT 257TH AVE (TROUTDALE INTERCHANGE) SEC.","16841","4763000","4560615","3/24/2011","3/24/2011","12/11/2011","12/11/2011","12/7/2015","1","S","3","25","49"
"I-84: Graham Road Bridge Replacements","17060",,,,"I-84: Graham Road bridges","19763","19630369","18790310","9/13/2018","11/15/2018","12/18/2020","12/18/2020","9/25/2020","1","L, S","3","25","49"
"Interstate 84 at 257th Interchange (Troutdale) Phases 2 and 3","17060",,,,"NE Graham Dr & NE Swigert Way (Troutdale)","18227","18509934","14180910","6/1/2015","4/9/2015",,,"12/30/2020","1","L, S","3","25","49"
"Interstate 84 at 257th Interchange (Troutdale) Phases 2 and 3","17060",,,,"FFO-I84: TROUTDALE INTERCHANGE (MARINE DRIVE)","17541","16244165","16244165","12/5/2013","12/5/2013","2/26/2016","2/26/2016","3/16/2016","1","S","3","25","49"
"U.S. Highway 26 at Glencoe Road Interchange","17059",,,,"US26: SUNSET HWY @ GLENCOE ROAD","12885","20662716","20662137","5/15/2012","5/15/2012","9/30/2014","9/30/2014","6/3/2014","1","S","1","15","30"
"U.S. Highway 26 at Glencoe Road Interchange","17059","<P>The U.S. 26 project at the Glencoe Road Interchange is located in the City of North Plains in Washington County. The project will improve safety and capacity of the interchange.</P>

<P><A href=""http://www.oregon.gov/ODOT/JTA/images/001_GlencoeAERIAL.jpg"" TARGET=""IMAGE_WIN"">View an aerial photo of the project area.</a></P>The project, as originally developed in the Draft Interchange Area Management Plan several years ago, was estimated to cost $80 to $90 million.

<p>ODOT has worked with the City of North Plains and Washington County to develop a design concept that meets the $32 million budget provided by the JTA.  Project elements include:
<ul>
<li>Replacing the Glencoe Road bridge over U.S. 26 with a new, four-lane bridge, and improving vertical clearance</li>
<li>Lengthening and widening the U.S. 26 westbound exit ramp</li>
<li>Replacing the culvert on Glencoe Road to the north of the interchange with a new structure</li>
<li>Improving pedestrian and bicycle connections on the new bridge over U.S. 26</li>
<li>Improving intersections, including traffic signals, signing, striping, drainage and water quality</li>
</UL>","<P>The existing two-lane Glencoe Road over-crossing lacks adequate shoulders, turn lanes, and bicycle/ pedestrian accommodations. The most significant safety issue to be addressed is that the existing westbound off-ramp is not long enough to safely accommodate vehicles using the interchange, creating backups onto U.S. 26.</p>
<P>The U.S. 26 Glencoe Road Interchange project will serve the projected increase in traffic volumes, both from the adjacent City of North Plains and the larger regional vicinity, which includes the Cities of Hillsboro, Cornelius, and Forest Grove. The interchange is an important access point from U.S. 26 to these cities and the project will improve the capacity of the system and result in better mobility in the region.</P>
<P>The project will also contribute to economic development by supporting planned land use and industrial development in western Washington County.</P>","<p>This project is complete.</p>

<p>For more information and weekly construction updates visit the project webpage at <a href=""http://www.oregon.gov/ODOT/HWY/REGION1/pages/glencoe/index.aspx"">http://www.oregon.gov/ODOT/HWY/REGION1/pages/glencoe/index.aspx</a>.</P>",,,,,,,,,,,,,,
