"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Governor, Office of the","Review of Calendar Year 2004 SPOTS Card Purchases",,"10","2005","false",,,"Management Letter","121-2005-10-01","1110911",,,,,,,,,,,,,,,,,,,"4"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds For the Year Ended June 30, 2005","2005-27","11","2005","false","1110236",,"Management Letter","914-2005-12-01","1110967",,,,,,,,,,,,,,,,,,,"20"
"Housing and Community Services Department","Investigation of The Dalles Civic Auditorium",,"1","2005","false",,,"Management Letter","914-2005-01-01","1110965",,,,,,,,,,,,,,,,,,,"14"
"Housing and Community Services Department","Hotline Call No. ORE050421-02",,"8","2005","false",,,"Management Letter","914-2005-08-01","1110966",,,,,,,,,,,,,,,,,,,"23"
"Human Services, Department of","Medicaid Fee-For-Service Prescription Drug Costs Savings Analysis","2005-08","3","2005","false","1110217",,,,,,,,,,,,,,,,,,,,,,,"19"
"Human Services, Department of","Client Maintenance System Application Controls Review","2005-15","4","2005","false","1110224",,,,,,,,,,,,,,,,,,,,,,,"9"
"Human Services, Department of","Oregon Office of Medical Assistance Programs - Independent Accountant's Report On An Examination for Oregon's Pharmacy Benefit Administrator's Processing of Medicaid Prescription Drug Claims and Rebates For The Year Ended June 30, 2004","2005-16","5","2005","false","1110225",,,,,,,,,,,,,,,,,,,,,,,"10"
"Human Services, Department of","Review of Small Purchase Order Transaction System (SPOTS) Transactions",,"9","2005","false",,,"Management Letter","100-2005-09-01","1110907",,,,,,,,,,,,,,,,,,,"20"
"Human Services, Department of","Investigation of Contracts with Professional Therapeutic Community Network",,"7","2005","false",,,"Management Letter","100-2005-07-01","1110906",,,,,,,,,,,,,,,,,,,"21"
"Human Services, Department of","Small Purchase-Order Transaction System (SPOTS)",,"3","2005","false",,,"Management Letter","100-2005-03-01","1110905",,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards for the Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","100-2005-02-01","1110904",,,,,,,,,,,,,,,,,,,"10"
"Insurance Pool Governing Board","Cash Controls Audit for the Period of July 1, 2004 through March 31, 2005",,"7","2005","false",,,"Management Letter","442-2005-07-01","1110936",,,,,,,,,,,,,,,,,,,"13"
"Judicial Department, Oregon","Services and Supplies Expenditures For July 1, 2003 through January 31, 2004",,"9","2005","false",,,"Management Letter","198-2005-09-01","1110916",,,,,,,,,,,,,,,,,,,"21"
"Justice, Oregon Department of","Child Support Enforcement Automated System (CSEAS) Application Controls Review","2005-20","7","2005","false","1110229",,,,,,,,,,,,,,,,,,,,,,,"13"
"Justice, Oregon Department of","Statewide Single Audit of Indirect Cost Allocation Plan for the Year Ended June 30, 2004",,"5","2005","false",,,"Management Letter","137-2005-05-01","1110913",,,,,,,,,,,,,,,,,,,"2"
"Landscape Contractors Board","For The Year Ended June 30, 2003","2005-06","1","2005","false","1110215",,"Management Letter","808-2004-10-01","6897507",,,,,,,,,,,,,,,,,,,"17"
"Legislative Audit Committee","State Auditor's Report: 2003-2005 Biennium","2005-19","7","2005","false","1110228",,,,,,,,,,,,,,,,,,,,,,,"12"
"Liquor Control Commission, Oregon","Review of Calendar Year 2004 SPOTS Card Purchases",,"9","2005","false",,,"Management Letter","845-2005-09-01","1110963",,,,,,,,,,,,,,,,,,,"22"
"Lottery Commission, Oregon State","For the Year Ended June 30, 2004","2005-01","1","2005","false","1110210",,"Management Letter","177-2004-12-02","6896870",,,,,,,,,,,,,,,,,,,"11"
"Marine Board, Oregon State","Review of Calendar Year 2004 SPOTS Card Purchases",,"10","2005","false",,,"Management Letter","250-2005-10-01","1110920",,,,,,,,,,,,,,,,,,,"3"
"Massage Therapists, State Board of","Review of Internal Controls Over Revenues and Expenditures for the Period of July 2002 through January 2005",,"5","2005","false",,,"Management Letter","968-2005-05-01","1110968",,,,,,,,,,,,,,,,,,,"12"
"Military Department, Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","248-2005-02-01","1110917",,,,,,,,,,,,,,,,,,,"2"
"Military Department, Oregon","Change of Director Review",,"4","2005","false",,,"Management Letter","248-2005-04-01","1110918",,,,,,,,,,,,,,,,,,,"1"
"Military Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"12","2005","false",,,"Management Letter","248-2005-12-01","1110919",,,,,,,,,,,,,,,,,,,"29"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2004","2005-07","2","2005","false","1110216",,,,,,,,,,,,,,,,,,,,,,,"18"
"Nursing, State Board of","Review of Internal Controls Over the Receipting, Handling and Disbursing of Cash for the period July 1, 2003 through December 31, 2004 and Review of SPOTS Purchases at the Board for the Period of January 1, 2003 through December 31, 2004",,"8","2005","false",,,"Management Letter","851-2005-08-01","1110964",,,,,,,,,,,,,,,,,,,"25"
"Parks and Recreation Department, Oregon","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Parks and Recreation Department, Oregon","Change of Director Review",,"5","2005","false",,,"Management Letter","634-2005-05-01","1110951",,,,,,,,,,,,,,,,,,,"26"
"Parks and Recreation Department, Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","634-2005-01-01","1110950",,,,,,,,,,,,,,,,,,,"25"
"Police, Department of Oregon","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,"Management Letter","257-2005-05-01","1110922",,,,,,,,,,,,,,,,,,,"31"
"Police, Department of Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","257-2005-01-01","1110921",,,,,,,,,,,,,,,,,,,"6"
"Private Health Partnerships, Office of","Cash Controls Audit for the Period of July 1, 2004 through March 31, 2005",,"7","2005","false",,,"Management Letter","442-2005-07-01","1110936",,,,,,,,,,,,,,,,,,,"13"
"Public Defense Services, Office of","Management Risks",,"2","2005","false",,,"Management Letter","404-2005-02-01","1110929",,,,,,,,,,,,,,,,,,,"9"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2005","2005-29","12","2005","false","1110238",,"Management Letter","459-2006-01-02","1110995",,,,,,,,,,,,,,,,,,,"22"
"Revenue, Department of","Oregon University System: Written-off Debt Review","2005-10","3","2005","false","1110219",,"Management Letter","580-2005-03-01","1110943",,,,,,,,,,,,,,,,,,,"21"
"Revenue, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","150-2005-01-01","1110914",,,,,,,,,,,,,,,,,,,"4"
"SAIF Corporation","Financial Statements as of and for the Year Ended December 31, 2004 On the Basis of Generally Accepted Accounting Principles (GAAP)","2005-24","9","2005","true","1110233","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"17"
"SAIF Corporation","Financial Statements - Statutory Basis as of and for the Years Ended December 31, 2004 and 2003, Supplemental Schedules as of December 31, 2004 and Independent Auditors' Report","2005-25","9","2005","false","1110234","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"18"
"Student Assistance Commission","Federal Family Education Loan Program For the Year Ended June 30, 2004","2005-11","4","2005","false","1110220",,"Management Letter","575-2005-04-01","1110939",,,,,,,,,,,,,,,,,,,"5"
"Transportation, Oregon Department of","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Transportation, Oregon Department of","Data Center General Controls Review Follow Up","2005-03","1","2005","false","1110212",,,,,,,,,,,,,,,,,,,,,,,"14"
"Transportation, Oregon Department of","OTIA III State Bridge Delivery Program",,"8","2005","false",,,"Management Letter","730-2005-08-01","1110960",,,,,,,,,,,,,,,,,,,"24"
"Transportation, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","730-2005-01-01","1110959",,,,,,,,,,,,,,,,,,,"21"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Year Ended June 30, 2005","2005-22","8","2005","false","1110231",,"Management Letter","170-2005-09-01","1110915",,,,,,,,,,,,,,,,,,,"15"
"University System, Oregon","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"University System, Oregon","2005 Annual Financial Report","2005-30","12","2005","false","1110239","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"23"
"University System, Oregon","2004 Annual Financial Report","2005-02","1","2005","false","6738776","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"13"
"University System, Oregon","2004 Annual Financial Report","2005-02","1","2005","false","6738776","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"13"
"University System, Oregon","Written-off Debt Review","2005-10","3","2005","false","1110219",,"Management Letter","580-2005-03-01","1110943",,,,,,,,,,,,,,,,,,,"22"
"University System, Oregon","Change of Director Review",,"2","2005","false",,,"Management Letter","580-2005-02-01","1110941",,,,,,,,,,,,,,,,,,,"14"
"University System, Oregon","Procurement Card Activity Limited Review",,"2","2005","false",,,"Management Letter","580-2005-02-02","1110942",,,,,,,,,,,,,,,,,,,"14"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds For the Fiscal Years Ended June 30, 2005 and June 30, 2004","2005-28","12","2005","false","1110237",,,,,,,,,,,,,,,,,,,,,,,"21"
"Water Resources Department","Change of Director Review",,"2","2005","false",,,"Management Letter","690-2005-02-01","1110956",,,,,,,,,,,,,,,,,,,"24"
"Watershed Enhancement Board","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,"Management Letter","691-2005-05-01","1110958",,,,,,,,,,,,,,,,,,,"31"
"Youth Authority, Oregon","Availability of Juvenile Offender Data","2005-21","8","2005","false","1110230",,,,,,,,,,,,,,,,,,,,,,,"14"
"Youth Authority, Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","415-2005-02-01","1110930",,,,,,,,,,,,,,,,,,,"4"
"Administrative Services, Department of","Computing and Networking Infrastructure Consolidation (CNIC) Risk Assessment","2006-33","9","2006","false","1110199",,,,,,,,,,,,,,,,,,,,,,,"5"
"Administrative Services, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","107-2006-01-01","1110972",,,,,,,,,,,,,,,,,,,"3"
"Administrative Services, Department of","Change of Director Review",,"2","2006","false",,,"Management Letter","107-2006-02-01","1110973",,,,,,,,,,,,,,,,,,,"7"
"Administrative Services, Department of","Review of Statewide Facilities Maintenance Processes","2006-11","4","2006","false","1110177",,,,,,,,,,,,,,,,,,,,,,,"14"
"Appraiser Certification and Licensure Board","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-19","8","2006","false","1110185",,,,,,,,,,,,,,,,,,,,,,,"22"
"Architect Examiners, State Board of","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-20","8","2006","false","1110186",,,,,,,,,,,,,,,,,,,,,,,"23"
"Aviation, Oregon Department of","Expenditure Audit Fiscal Year 2005","2006-18","8","2006","false","1110184",,,,,,,,,,,,,,,,,,,,,,,"21"
"Beef Council, Oregon","For the Year Ended June 30, 2006","2006-36","10","2006","false","1110202",,,,,,,,,,,,,,,,,,,,,,,"8"
"Columbia River Gorge Commission","July 1, 2004 to June 30, 2005","2006-05","3","2006","false","1110171",,,,,,,,,,,,,,,,,,,,,,,"8"
"Consumer and Business Services, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","440-2006-01-01","1110993",,,,,,,,,,,,,,,,,,,"13"
"Corrections, Department of","Madras Correctional Facility Construction Contract Review","2006-02","2","2006","false","1110168",,,,,,,,,,,,,,,,,,,,,,,"26"
"Corrections, Department of","Review of Inmate Healthcare Costs",,"3","2006","false",,,"Management Letter","291-2006-03-01","1110989",,,,,,,,,,,,,,,,,,,"21"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2005","2006-09","4","2006","false","1110175",,"Management Letter","123-2006-04-01","1110976",,,,,,,,,,,,,,,,,,,"12"
"Economic and Community Development Department, Oregon","Change of Director Review",,"7","2006","false",,,"Management Letter","123-2006-07-01","1110977",,,,,,,,,,,,,,,,,,,"25"
"Economic and Community Development Department, Oregon","Statewide Single Audit Selected Federal Awards For the Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","123-2006-01-02","1110975",,,,,,,,,,,,,,,,,,,"31"
"Economic and Community Development Department, Oregon","Change of Director Review",,"1","2006","false",,,"Management Letter","123-2006-01-01","1110974",,,,,,,,,,,,,,,,,,,"13"
"Education, Oregon Department of","Sisters School District Investigation","2006-35","9","2006","false","1110201",,,,,,,,,,,,,,,,,,,,,,,"7"
"Education, Oregon Department of","Subrecipient Monitoring For Year Ended June 30, 2005",,"2","2006","false",,,"Management Letter","581-2006-02-01","1111000",,,,,,,,,,,,,,,,,,,"2"
"Education, Oregon Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","581-2006-01-01","1110999",,,,,,,,,,,,,,,,,,,"13"
"Employment, Oregon Department of","Change of Director Review",,"5","2006","false",,,"Management Letter","471-2006-05-01","1110997",,,,,,,,,,,,,,,,,,,"8"
"Employment, Oregon Department of","Statewide Audit of Selected Financial Accounts and Federal Awards Year Ended June 30, 2005",,"2","2006","false",,,"Management Letter","471-2006-02-01","1110996",,,,,,,,,,,,,,,,,,,"13"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 2005 and 2004","2006-12","4","2006","false","1110178",,,,,,,,,,,,,,,,,,,,,,,"15"
"Engineering and Land Surveying, State Board of","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-21","8","2006","false","1110187",,,,,,,,,,,,,,,,,,,,,,,"24"
"Environmental Quality, Department of","Selected Financial Accounts for Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","340-2006-01-01","1110990",,,,,,,,,,,,,,,,,,,"10"
"Fish and Wildlife, Department of","Change of Directory Review",,"2","2006","false",,,"Management Letter","635-2006-02-01","1111005",,,,,,,,,,,,,,,,,,,"1"
"Fish and Wildlife, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,"Financial Audit","Management Letter","635-2006-01-01","1111004",,,,,,,,,,,,,,,,,,,"12"
"Forestry, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","629-2006-01-01","1111001",,,,,,,,,,,,,,,,,,,"11"
"Geologist Examiners, State Board of","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-22","8","2006","false","1110188",,,,,,,,,,,,,,,,,,,,,,,"25"
"Government Accountability Hotline","Calendar Year 2005","2006-17","7","2006","false","1110183",,,,,,,,,,,,,,,,,,,,,,,"20"
"Housing and Community Services Department","Risk Assessment of Information Technology Controls",,"10","2006","false",,,"Management Letter","914-2006-10-01","1111013",,,,,,,,,,,,,,,,,,,"10"
"Housing and Community Services Department","Comprehensive Annual Financial Report For the Year Ended June 30, 2006","2006-40","11","2006","false","1110206",,,,,,,,,,,,,,,,,,,,,,,"12"
"Housing and Community Services Department","Statewide Audit of Selected Federal Awards Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","914-2006-01-01","1111011",,,,,,,,,,,,,,,,,,,"3"
"Housing and Community Services Department","Change of Director Review",,"8","2006","false",,,"Management Letter","914-2006-08-01","1111012",,,,,,,,,,,,,,,,,,,"15"
"Human Services, Department of","Medicaid In-Home Care Payments Review","2006-15","5","2006","false","1110181",,,,,,,,,,,,,,,,,,,,,,,"18"
"Human Services, Department of","Review of Small Purchase Order Transaction System (SPOTS) Purchases in 2005",,"9","2006","false",,,"Management Letter","100-2006-09-01","1110971",,,,,,,,,,,,,,,,,,,"11"
"Human Services, Department of","Change of Director Review",,"5","2006","false",,,"Management Letter","100-2006-05-01","1110970",,,,,,,,,,,,,,,,,,,"9"
"Human Services, Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards Year Ended June 30, 2005",,"2","2006","false",,,"Management Letter","100-2006-02-02","1110969",,,,,,,,,,,,,,,,,,,"9"
"Investigators, Oregon Board of","Change of Director",,"1","2006","false",,,"Management Letter","259-2006-01-01","1110988",,,,,,,,,,,,,,,,,,,"13"
"Judicial Department, Oregon","Indigent Defense Eligibility and Fee Determinations","2006-08","3","2006","false","1110174",,,,,,,,,,,,,,,,,,,,,,,"11"
"Judicial Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","198-2006-01-01","1110985",,,,,,,,,,,,,,,,,,,"9"
"Land Conservation and Development, Department of","Change of Director Review",,"1","2006","false",,,"Management Letter","660-2006-01-01","1111006",,,,,,,,,,,,,,,,,,,"10"
"Landscape Architect Board","Administrator Investigation","2006-13","4","2006","false","1110179",,,,,,,,,,,,,,,,,,,,,,,"16"
"Landscape Architect Board","For the Two Years Ended June 30, 2005","2006-37","10","2006","false","1110203",,,,,,,,,,,,,,,,,,,,,,,"9"
"Landscape Contractors Board","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-23","8","2006","false","1110189",,,,,,,,,,,,,,,,,,,,,,,"26"
"Lands, Department of State","Change of Director Review",,"8","2006","false",,,"Management Letter","141-2006-08-01","1110979",,,,,,,,,,,,,,,,,,,"29"
"Lands, Department of State","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","141-2006-01-01","1110978",,,,,,,,,,,,,,,,,,,"19"
"Legislative Audit Committee","Report to the Legislative Audit Committee","2006-01","1","2006","false","6914786",,,,,,,,,,,,,,,,,,,,,,,"1"
"Legislative Audit Committee","Updated Report to the Legislative Audit Committee March 30, 2006","2006-01-update","3","2006","false","1110167",,,,,,,,,,,,,,,,,,,,,,,"25"
"Lincoln County Communications","Lincoln County Communications Agency: Former Director Investigation","2006-03","3","2006","false","1110169",,,,,,,,,,,,,,,,,,,,,,,"27"
"Liquor Control Commission, Oregon","Change of Director Review",,"8","2006","false",,,"Management Letter","845-2006-08-01","1111010",,,,,,,,,,,,,,,,,,,"15"
"Lottery Commission, Oregon State","For the Year Ended June 30, 2005","2006-06","3","2006","false","1110172",,,,,,,,,,,,,,,,,,,,,,,"9"
"Lottery Commission, Oregon State","Financial Statement Audit for the Year Ended June 30, 2005",,"2","2006","false",,,"Management Letter","177-2006-02-01","1110984",,,,,,,,,,,,,,,,,,,"13"
"Massage Therapists, State Board of","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-24","8","2006","false","1110190",,,,,,,,,,,,,,,,,,,,,,,"27"
"Military Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","248-2006-01-01","1110986",,,,,,,,,,,,,,,,,,,"5"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2005","2006-04","2","2006","false","1110170",,,,,,,,,,,,,,,,,,,,,,,"28"
"Optometry, Oregon Board of","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-25","8","2006","false","1110191",,,,,,,,,,,,,,,,,,,,,,,"28"
"Parks and Recreation Department, Oregon","Cash Controls Audit","2006-29","9","2006","false","1110195",,,,,,,,,,,,,,,,,,,,,,,"1"
"Parks and Recreation Department, Oregon","Oregon State Fair and Exposition Center Change of Director Review",,"1","2006","false",,,"Management Letter","634-2006-02-01","1111003",,,,,,,,,,,,,,,,,,,"31"
"Parks and Recreation Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","634-2006-01-01","1111002",,,,,,,,,,,,,,,,,,,"10"
"Patient Safety Commission, Oregon","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-26","8","2006","false","1110192",,,,,,,,,,,,,,,,,,,,,,,"29"
"Physical Therapist Licensing Board","A Semi-Independent Agency, For the Biennium Ended June 30, 2005","2006-27","8","2006","false","1110193",,,,,,,,,,,,,,,,,,,,,,,"30"
"Police, Department of Oregon","Tribal Gaming Section: Billings Audit","2006-16","6","2006","false","1110182",,,,,,,,,,,,,,,,,,,,,,,"19"
"Police, Department of Oregon","Statewide Audit of Selected Financial Accounts and Federal Awards Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","257-2006-01-01","1110987",,,,,,,,,,,,,,,,,,,"13"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2006","2006-41","12","2006","false","1110207",,,,,,,,,,,,,,,,,,,,,,,"13"
"Public Employees Retirement System","Review of Internal Controls Annual Financial Opinion Audit for the Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","459-2006-01-01","1110994",,,,,,,,,,,,,,,,,,,"3"
"Public Safety Standards and Training, Department of","Training Facility Construction Contract Review","2006-14","5","2006","false","1110180",,,,,,,,,,,,,,,,,,,,,,,"17"
"Public Safety Standards and Training, Department of","Change of Director",,"1","2006","false",,,"Management Letter","259-2006-01-01","1110988",,,,,,,,,,,,,,,,,,,"13"
"Revenue, Department of","Input, Processing and Output Controls of Personal Income Tax Information System (ITX)",,"9","2006","false",,,"Management Letter","150-2006-09-01","1110981",,,,,,,,,,,,,,,,,,,"25"
"Revenue, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,,"Management Letter","150-2006-01-01","1110980",,,,,,,,,,,,,,,,,,,"11"
"SAIF Corporation","Financial Statements as of and for the Years Ended December 31, 2005 and 2004","2006-31","9","2006","false","1110197","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"3"
"SAIF Corporation","Financial Statements--Statutory Basis as of and for the Years Ended December 31, 2005 and 2004","2006-32","9","2006","false","1110198","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"4"
"Student Assistance Commission","Change of Director Review",,"1","2006","false",,,"Management Letter","575-2006-01-01","1110998",,,,,,,,,,,,,,,,,,,"26"
"Transportation, Oregon Department of","Engineering Services Cost Analysis","2006-10","4","2006","false","1110176",,,,,,,,,,,,,,,,,,,,,,,"13"
"Transportation, Oregon Department of","Office of Project Delivery Investigation","2006-34","9","2006","false","1110200",,,,,,,,,,,,,,,,,,,,,,,"6"
"Transportation, Oregon Department of","Construction Quality Assurance Investigation",,"12","2006","false",,,"Management Letter","730-2006-12-01","1111009",,,,,,,,,,,,,,,,,,,"15"
"Transportation, Oregon Department of","Change of Director Review",,"5","2006","false",,,"Management Letter","730-2006-05-01","1111008",,,,,,,,,,,,,,,,,,,"22"
"Transportation, Oregon Department of","Statewide Audit of Selected Financial Accounts and Federal Awards for the Year Ended June 30, 2005",,"2","2006","false",,,"Management Letter","730-2006-02-01","1111007",,,,,,,,,,,,,,,,,,,"13"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Year Ended June 30, 2006","2006-30","9","2006","false","1110196",,"Management Letter","170-2006-09-01","1110983",,,,,,,,,,,,,,,,,,,"2"
"Treasurer, Office of the State","Audit of Banking Services for the Year Ended June 30, 2006",,"8","2006","false",,,"Management Letter","170-2006-08-01","1110982",,,,,,,,,,,,,,,,,,,"3"
"University System, Oregon","Reser Stadium Construction At Oregon State University","2006-07","3","2006","false","1110173",,,,,,,,,,,,,,,,,,,,,,,"10"
"University System, Oregon","2006 Annual Financial Report","2006-39","12","2006","false","1110205","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"11"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds For the Fiscal Years Ended June 30, 2006 and June 30, 2005","2006-38","11","2006","false","1110204",,,,,,,,,,,,,,,,,,,,,,,"10"
"Wine Board, Oregon","A Semi-Independent Agency For the Biennium Ended June 30, 2005","2006-28","8","2006","false","1110194",,,,,,,,,,,,,,,,,,,,,,,"31"
"Youth Authority, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"12","2006","false",,"Financial Audit","Management Letter","415-2006-12-01","1110992",,,,,,,,,,,,,,,,,,,"19"
"Youth Authority, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2005",,"1","2006","false",,"Financial Audit","Management Letter","415-2006-01-01","1110991",,,,,,,,,,,,,,,,,,,"20"
"Administrative Services, Department of","Leased Office Space Utilization at State Agencies","2007-26","11","2007","false","1045209",,,,,,,,,,,,,,,,,,,,,,,"17"
"Administrative Services, Department of","Statewide Financial Management Application -- Data Integrity Audit Follow Up","2007-28","12","2007","false","1045211",,,,,,,,,,,,,,,,,,,,,,,"19"
"Administrative Services, Department of","Statewide Financial Management Application Computer Controls Review","2007-31","12","2007","false","1045214",,,,,,,,,,,,,,,,,,,,,,,"23"
"Administrative Services, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","107-2007-01-01","1111409",,,,,,,,,,,,,,,,,,,"8"
"Administrative Services, Department of","Smart Buy Program Administered by the State Procurement Office",,"8","2007","false",,,"Management Letter","107-2007-08-01","1111410",,,,,,,,,,,,,,,,,,,"22"
"Agriculture, Department of","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,"Management Letter","603-2007-01-01(66)","1009554",,,,,,,,,,,,,,,,,,,"31"
"Beef Council, Oregon","For the Year Ended June 30, 2007","2007-25","10","2007","false","1045208",,,,,,,,,,,,,,,,,,,,,,,"16"
"Columbia River Gorge Commission","July 1, 2005 to June 30, 2006","2007-07","3","2007","false","1044497",,,,,,,,,,,,,,,,,,,,,,,"11"
"Community Colleges and Workforce Development, Department of","Travel Expense Audit","2007-19","9","2007","false","1045202",,,,,,,,,,,,,,,,,,,,,,,"23"
"Community Colleges and Workforce Development, Department of","Statewide Audit of Selected Financial Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","586-2007-02-01","1111429",,,,,,,,,,,,,,,,,,,"5"
"Consumer and Business Services, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","440-2007-01-01","1111425",,,,,,,,,,,,,,,,,,,"24"
"Corrections, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"3","2007","false",,,"Management Letter","291-2007-03-01","1111421",,,,,,,,,,,,,,,,,,,"23"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2006","2007-10","4","2007","false","1044500",,,,,,,,,,,,,,,,,,,,,,,"14"
"Education, Oregon Department of","ADM Reporting for Students Attending Union/Baker ESD's Alternative Education Programs","2007-14","6","2007","false","1045197",,,,,,,,,,,,,,,,,,,,,,,"18"
"Education, Oregon Department of","Alternative Education and ADM Reporting","2007-24","9","2007","false","1045207",,,,,,,,,,,,,,,,,,,,,,,"28"
"Education, Oregon Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"4","2007","false",,,"Management Letter","581-2007-03-01","1111428",,,,,,,,,,,,,,,,,,,"3"
"Employment, Oregon Department of","Statewide Financial Management Application -- Data Integrity Audit Follow Up","2007-28","12","2007","false","1045211",,,,,,,,,,,,,,,,,,,,,,,"20"
