"full_library_name","address","county","type_of_library","mailing_address","phone_number","fax_number","email_address","website","library_system_membership","geo_address","full_address"
"Hillsboro Public Library - Brookwood Library","2850 NE Brookwood Parkway, Hillsboro, OR 97124","Washington","Public","2850 NE Brookwood Parkway, Hillsboro, OR 97124","(503) 615-6500","(503) 615-6601",,"https://www.hillsboro-oregon.gov/our-city/departments/library","WCCLS","POINT (-122.93698 45.543238)","POINT (-122.93698 45.543238)"
"Milton-Freewater Public Library","8 SW Eighth Ave, Milton-Freewater, OR 97862-1501","Umatilla","Public","8 SW Eighth Ave, Milton-Freewater, OR 97862-1501","(541) 938-8247","(541) 938-8254","librarycirculation@milton-freewater-or.gov","http://www.mfcity.com/library","UCSLD","POINT (-118.385336 45.927644)","POINT (-118.385336 45.927644)"
"Rainier City Library","106 B St, Rainier, OR 97048","Columbia","Public","PO Box 100, Rainier, OR 97048","(503) 556-7301","(503) 556-3200",,"http://www.cityofrainier.com/?view=library","NONE","POINT (-122.855747 45.140077)","POINT (-122.855747 45.140077)"
"Scappoose Public Library","52469 SE 2nd St, Scappoose, OR 97056","Columbia","Public","PO Box 400, Scappoose, OR 97056","(503) 543-7123","(503) 543-7161","scappl@scappooselibrary.org","http://www.scappooselibrary.org","NONE","POINT (-122.876321 45.756581)","POINT (-122.876321 45.756581)"
"Deschutes Public Library District","507 NW Wall St, Bend, OR 97703","Deschutes","Public","507 NW Wall St, Bend, OR 97703","(541) 312-1020","(541) 389-2982",,"http://www.deschuteslibrary.org","NONE","POINT (-121.317282 44.056159)","POINT (-121.317282 44.056159)"
"Portland Community College - Sylvania Campus","12000 SW 49th Ave, Portland, OR 97219-7199",,"Academic","PO Box 19000, Portland, OR 97280-0990","971-722-4935","971 722--4977","https://www.pcc.edu/library/about/people/contact/email-a-librarian/","http://www.pcc.edu/library",,"POINT (-122.727122 45.439574)","POINT (-122.727122 45.439574)"
"Linn County Law Library","304 Broadalbin St SW, Albany, OR 97321","Linn","Special","304 Broadalbin St SW, Albany, OR 97321","(541) 924 - 6902",,"aboedigheimer@co.linn.or.us","http://www.co.linn.or.us/Law%20Library/default.htm",,"POINT (-123.107127 44.635804)","POINT (-123.107127 44.635804)"
"Oregon Health & Science University - Isabel McDonald Library","505 NW 185th Ave, Beaverton, OR 97006-3499",,"Special",,"503-690-5309","503-690-5243","onprclib@ohsu.edu","http://www.ohsu.edu/xd/education/library/about/onprc-isabel-mcdonald-library.cfm?WT_rank=1#",,"POINT (-122.867568 45.52298)","POINT (-122.867568 45.52298)"
"Josephine Community Library District - Wolf Creek Branch Library","102 Ruth Avenue, Wolf Creek, OR 97497","Josephine","Public","200 NW C Street, Grants Pass, OR 97526","541-866-2606",,,,"NONE","POINT (-123.39687 42.695344)","POINT (-123.39687 42.695344)"
"University Of Oregon - Institute of Marine Biology Library","63466 Boat Basin Drive, Charleston, OR 97420-1221",,"Academic","PO Box 5389, Charleston, OR 97420","541-888-2581 X 219","541-888-3391",,,,"POINT (-124.328583 43.345474)","POINT (-124.328583 43.345474)"
"University Of Oregon - Mathematics Library","1021 East 13th Ave, Eugene, OR 97403-3914","Lane","Academic",,"541-346-3023",,"mathlib.uoregon.edu","https://library.uoregon.edu/scilib/mathlib",,"POINT (-123.068224 44.045523)","POINT (-123.068224 44.045523)"
"Clatskanie Library District","11 Lillich St, Clatskanie, OR 97016","Columbia","Public","PO Box 577, Clatskanie, OR 97016","(503) 728-3732","(503) 728-4304","admin@clatskanielibrary.org","http://www.clatskanielibrary.org/","NONE","POINT (-123.20213 46.10547)","POINT (-123.20213 46.10547)"
"Canby Public Library","220 NE 2nd Ave, Canby, OR 97013","Clackamas","Public","220 NE 2nd Ave, Canby, OR 97013","(503) 266-3394","(503) 266-1709","CanbyInfo@lincc.org","http://www.canbylibrary.org","LINCC","POINT (-122.691769 45.264098)","POINT (-122.691769 45.264098)"
"Oregon Trail Library District - OTLD Boardman Branch","200 S Main, Boardman, OR 97818","Morrow","Public","PO Box 849, Boardman, OR 97818","(541) 481-2665","(541) 481-2668","kstreet@otld.org","https://www.otld.org/","NONE","POINT (-119.700766 45.835036)","POINT (-119.700766 45.835036)"
"West Linn Public Library","1595 Burns St, West Linn, OR 97068","Clackamas","Public","1595 Burns St, West Linn, OR 97068","(503) 656-7853","(503) 742-8632","wlref@lincc.org","http://westlinnoregon.gov/library/","LINCC","POINT (-122.613833 45.367323)","POINT (-122.613833 45.367323)"
"Gilliam County Public Library","134 S Main, Condon, OR 97823","Gilliam","Public","PO Box 34, Condon, OR 97823","(541) 384-6052","(541) 384-6052","gclibrary@co.gilliam.or.us","http://www.co.gilliam.or.us/government/library/index.php","NONE","POINT (-120.184831 45.237483)","POINT (-120.184831 45.237483)"
"Oregon Institute of Technology Libraries - Shaw Historical Library at Oregon Tech","3201 Campus Drive, Klamath Falls, OR 97601-8801","Klamath","Academic","Shaw Historical Library, 3201 Campus Drive, Klamath Falls, OR 97601-8801","(541) 885-1686","(541) 885-1777","shawlib@oit.edu","http://www.oit.edu/shaw",,"POINT (-121.782271 42.254213)","POINT (-121.782271 42.254213)"
"Portland Community College - Rock Creek Campus","17705 NW Springville Rd, Building 9 - 2nd FloOR Portland, OR 97229",,"Academic","PO Box 19000, Portland, OR 97280-0990","971 722-7413","971 722--5318","https://www.pcc.edu/library/about/people/contact/email-a-librarian/","http://www.pcc.edu/library/",,"POINT (-122.85873 45.563046)","POINT (-122.85873 45.563046)"
"Birthingway College of Midwifery, Not Available at this Time","4997 Southwest Normandy Place, Beaverton, OR 97005-3635","Washington","Academic","12113 SE Foster Rd, Portland, OR 97266","503-760-3131",,"library@birthingway.edu","http://birthingway.edu/library/",,"POINT (-122.824426 45.483618)","POINT (-122.824426 45.483618)"
"Harney County Library","80 West D St, Burns, OR 97720","Harney","Public","80 West  D St, Burns, OR 97720","(541) 573-6670","(541) 573-1571","harneycl@harneycountylibrary.org","http://www.harneycountylibrary.org","NONE","POINT (-119.05529 43.592163)","POINT (-119.05529 43.592163)"
"Tillamook County Library - Tillamook County Library Bookmobile","1716 Third St, Tillamook, OR 97141","Tillamook","Public",,,,,,"NONE","POINT (-123.846541 45.456324)","POINT (-123.846541 45.456324)"
"Jackson County Library Services - Jacksonville Branch Library","340 West C Street, Jacksonville, OR 97530","Jackson","Public","PO Box 490, Jacksonville, OR 97530","(541) 899-1665","(541) 899-1665","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.968684 42.315271)","POINT (-122.968684 42.315271)"
"Confederated Tribes of Umatilla Library","Tamastslikt Cultural Institute, 47106 Wildhorse Blvd., Pendleton, OR 97801","Umatilla","Tribal","Tamastslikt Cultural Institute, 47106 Wildhorse Blvd., Pendleton, OR 97801","(541) 429-7721",,"malissa.minthorn@tamastslikt.org","http://www.tamastslikt.org",,"POINT (-118.664803 45.650663)","POINT (-118.664803 45.650663)"
"Blue Mountain Community College","2411 NW Carden Ave, Pendleton, OR 97801-1000","Umatilla","Academic","PO Box 100, Pendleton, OR 97801","541- 278-5916",,"onlinelibrary@bluecc.edu","http://www.bluecc.edu/library",,"POINT (-118.81383 45.675622)","POINT (-118.81383 45.675622)"
"Happy Valley Library","13793 SE Sieben Park Way, Happy Valley, OR 97015","Clackamas","Public","13793 SE Sieben Park Way, Happy Valley, OR 97015","503 -783-3456",,"library@happyvalleyor.gov","https://www.happyvalleyor.gov/community/happy-valley-library/","LINCC","POINT (-122.513576 45.42204)","POINT (-122.513576 45.42204)"
"Wilsonville Public Library","8200 SW Wilsonville Rd, Wilsonville, OR 97070","Clackamas","Public","8200 SW Wilsonville Rd, Wilsonville, OR 97070","(503) 682-2744","(503) 682-8685","reference@wilsonvillelibrary.org","http://www.wilsonvillelibrary.org","LINCC","POINT (-122.761012 45.302904)","POINT (-122.761012 45.302904)"
"Deschutes Public Library System - Sisters Library","110 N Cedar St, Sisters, OR 97759","Deschutes","Public","PO Box 1209, Sisters, OR 97759","(541) 312-1070","(541) 549-9620",,"http://www.deschuteslibrary.org/sisters/","NONE","POINT (-121.545092 44.291822)","POINT (-121.545092 44.291822)"
"Independence Public Library","175 Monmouth St, Independence, OR 97351","Polk","Public","175 Monmouth St, Independence, OR 97351","(503) 838-1811","(503) 838-4486","achristensen@ci.independence.or.us","http://www.ci.independence.or.us/library","CCRLS","POINT (-123.185699 44.851123)","POINT (-123.185699 44.851123)"
"LINCC Library Services - Network","1810 Red Soils Court, #110, Oregon City, OR 97045","Clackamas","Public","1810 Red Soils Court, #110, Oregon City, OR 97045","(503) 723-4888","(503) 655-8238","contact@lincc.org","http://www.lincc.org","LINCC","POINT (-122.5949 45.33153)","POINT (-122.5949 45.33153)"
"North Powder City Library","290 E St, North Powder, OR 97867","Union","Public","PO Box 309, North Powder, OR 97867","(541) 898-2175","(541) 898-2175","npcitylibrary1@gmail.com","https://sagelib.org/member/north-powder-city-library","NONE","POINT (-117.920729 45.029187)","POINT (-117.920729 45.029187)"
"Hillsboro Public Library - Shute Park Library","775 SE Tenth Avenue, Hillsboro, OR 97123","Washington","Public","775 SE Tenth Avenue, Hillsboro, OR 97123","(503) 615-6500","(503) 615-6501",,"https://www.hillsboro-oregon.gov/our-city/departments/library","WCCLS","POINT (-122.974028 45.514032)","POINT (-122.974028 45.514032)"
"Portland Community College - Southeast Campus","2305 S.E. 82nd Ave., Portland, OR 97216","Multnomah","Academic","PO Box 19000, Portland, OR 97289-0900","(971) 722-6187",,"https://www.pcc.edu/library/about/people/contact/email-a-librarian/","http://www.pcc.edu/library/",,"POINT (-122.578728 45.506208)","POINT (-122.578728 45.506208)"
"Aloha Community Library","17455 SW Farmington Rd, Suite 26A, Aloha, OR 97007","Washington","Public","P.O. Box 6561, Aloha, OR 97007","503-259-0185",,"info@alohalibrary.org","http://alohalibrary.org","WCCLS","POINT (-122.858615 45.479285)","POINT (-122.858615 45.479285)"
"Junction City Public Library","726 Greenwood St, Junction City, OR 97448","Lane","Public","PO Box 280, Junction City, OR 97448","(541) 998-8942","(000) 000-0000","MSchneider@ci.junction-city.or.us","http://junctioncity.ploud.net/","NONE","POINT (-123.202607 44.220326)","POINT (-123.202607 44.220326)"
"Linfield University Libraries - Portland Campus Library","2255 NW 22nd Ave, Portland, OR 97210",,"Academic",,"503-413-7820","503-229-8016",,"https://www.linfield.edu/linfield-libraries/",,"POINT (-122.696926 45.539106)","POINT (-122.696926 45.539106)"
"Crook County Library","175 NW Meadow Lakes Dr, Prineville, OR 97754","Crook","Public","175 NW Meadow Lakes Dr, Prineville, OR 97754","(541) 447-7978","(541) 447-1308","library@crooklib.org","http://www.crooklib.org","NONE","POINT (-120.856965 44.301532)","POINT (-120.856965 44.301532)"
"Spray Public/School Library","303 Park Ave., Spray, OR 97874","Wheeler","Public","PO Box 230, Spray, OR 97874","(541) 468-2226","(541) 468-2630","ljohnson@spray.k12.or.us",,"NONE","POINT (-119.793004 44.833654)","POINT (-119.793004 44.833654)"
