"fiscal_year","service","department_name","division_name","category","description","amount","fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","2177530","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1463955","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1301135","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Temporary Salaries/Wages","778960","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Administration & Gen Supplies","9000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","27000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","78620","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","18000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","44000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","6000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","960","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","685","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","925","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","4000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","1000","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Misc. Additional Comp","2900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","1000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","700","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Purchased Services","100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Purchased Services","400","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","1500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","2000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","1000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","1000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Professional and Technical Services","223425","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","870","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","1060","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","7745","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","7900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","7800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","111365","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","166980","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","3000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","4000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","3500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","3300","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","3440","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","5000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1465","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Travel & Training","Dues & Subscriptions","54500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Travel & Training","Travel/Training (in State) Sum.","97000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Extraordinary Expenditures","Additional Equipment","115000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Extraordinary Expenditures","Additional Equipment","5000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Extraordinary Expenditures","Additional Equipment","15000","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Medicare","2005","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Misc. Additional Comp","2150","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Pensions","38140","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Permanent Salaries/Wages","135935","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Other Ordinary Maintenance","Other Purchased Services","20000","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Other Ordinary Maintenance","Professional and Technical Services","45000","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Health Insurance","701050","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Medicare","35365","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Food and Food Service Supplies","350","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Other Purchased Services","2625","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Professional and Technical Services","50000","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Repairs and Maint (Services)","2600","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Travel & Training","Travel/Training (in State) Sum.","3650","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Extraordinary Expenditures","Additional Equipment","10000","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Other Ordinary Maintenance","Energy","1000","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Other Ordinary Maintenance","Other Supplies","360","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Travel & Training","Travel/Training (in State) Sum.","850","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Dental Insurance","13640","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Medicare","12235","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Misc. Additional Comp","19300","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","9600","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Communication","12000","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","1620","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Professional and Technical Services","5000","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Dental Insurance","3020","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Health Insurance","49890","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Misc. Additional Comp","5400","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Pensions","38140","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Other Ordinary Maintenance","Administration & Gen Supplies","500","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Other Ordinary Maintenance","Professional and Technical Services","3000","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Dental Insurance","29620","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Dental Insurance","5310","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Health Insurance","149600","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Longevity/Salaries & Wages","218485","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Medicare","26850","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Medicare","5455","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Misc. Additional Comp","200","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Overtime Salaries/Wages","12000","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Overtime Salaries/Wages","8000","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Permanent Salaries/Wages","333865","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Temporary Salaries/Wages","78800","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Communication","16000","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Energy","861385","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Other Supplies","14000","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Other Supplies","42000","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Rentals and Leases","308000","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Repairs and Maint (Services)","13000","General Fund"
"2023","Public Safety","Police","Administration","Extraordinary Expenditures","Additional Equipment","12500","General Fund"
"2023","Public Safety","Police","Administration","Extraordinary Expenditures","Additional Equipment","633000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Health Insurance","110550","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Medicare","7210","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Pensions","78565","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Permanent Salaries/Wages","469240","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Other Ordinary Maintenance","Other Supplies","16000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Other Ordinary Maintenance","Professional and Technical Services","510000","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Dental Insurance","61180","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Health Insurance","1259040","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Medicare","78770","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Misc. Additional Comp","11000","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Permanent Salaries/Wages","4279555","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Other Ordinary Maintenance","Communication","2400","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Dental Insurance","39260","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Health Insurance","862860","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Overtime Salaries/Wages","198500","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Pensions","922920","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Temporary Salaries/Wages","98085","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Other Ordinary Maintenance","Communication","7000","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Other Ordinary Maintenance","Repairs and Maint (Supplies)","3750","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Dental Insurance","95910","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Health Insurance","1817930","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Health Insurance","2948400","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Dental Insurance","12130","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Health Insurance","199490","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Misc. Additional Comp","13900","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Pensions","133490","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Other Ordinary Maintenance","Professional and Technical Services","20000","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Travel & Training","Travel/Training (in State) Sum.","55000","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Health Insurance","73700","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Longevity/Salaries & Wages","44040","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Permanent Salaries/Wages","266130","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Dental Insurance","9060","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Longevity/Salaries & Wages","148370","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Pensions","116705","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Overtime Salaries/Wages","121000","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Pensions","221195","General Fund"
"2023","Public Safety","Police","Professional Standards","Other Ordinary Maintenance","Professional and Technical Services","8000","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Dental Insurance","7550","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Pensions","202125","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Permanent Salaries/Wages","557060","General Fund"
"2023","Public Safety","Police","Tactical Operations","Other Ordinary Maintenance","Other Supplies","82600","General Fund"
"2023","Public Safety","Police","Tactical Operations","Other Ordinary Maintenance","Professional and Technical Services","16000","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Dental Insurance","7550","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Health Insurance","123590","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Medicare","6465","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","Public Safety","Police","Technical Services","Other Ordinary Maintenance","Other Supplies","55000","General Fund"
"2023","Public Safety","Police","Technical Services","Other Ordinary Maintenance","Repairs and Maint (Services)","111000","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Health Insurance","541980","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Longevity/Salaries & Wages","262750","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Misc. Additional Comp","36250","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Overtime Salaries/Wages","239050","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Permanent Salaries/Wages","1841220","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Permanent Salaries/Wages","590410","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Medicare","28505","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Misc. Additional Comp","18900","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Pensions","376040","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Permanent Salaries/Wages","999975","General Fund"
"2023","Public Safety","Police","Training","Other Ordinary Maintenance","Educational Supplies","30000","General Fund"
"2023","Public Safety","Police","Training","Other Ordinary Maintenance","Medical Supplies","21850","General Fund"
"2023","Public Safety","Police","Training","Other Ordinary Maintenance","Professional and Technical Services","169000","General Fund"
"2023","Public Safety","Police Review and Advisory Board","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","400","General Fund"
"2023","Public Safety","Police Review and Advisory Board","Administration","Travel & Training","Travel/Train. (out of State) Sum","4500","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Health Insurance","733270","Parking Fund"
