"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_5643","Fund 5643","5643","Central City East TA Bonds Series 2006A-T (Taxable)","5643 - Central City East TA Bonds Series 2006A-T (Taxable)","Fund 5643 - Central City East TA Bonds Series 2006A-T (Taxable)","PJ_1000153","1000153 - CCE MEL BANCRO 5643-P400210","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51420 - License","AC_51420","5.26"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78231","78231 - HS Classroom and Seasonal","FD_2102","Fund 2102","2102","Department of Agriculture","2102 - Department of Agriculture","Fund 2102 - Department of Agriculture","PJ_1000308","1000308 - HSD-SUMMER FOOD PROG-2015","PG_YS04","YS04 - OAKLAND FUND FOR CHILDREN & YOUTH","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","5.28"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102610","102610 - Criminalistics","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","10 -  Misc. Personnel Adjustments","Misc. Personnel Adjustments","Personnel Expenditures","Expense","51912 - Adjustments: Miscellaneous Payroll (Not Subject to Retirement)","AC_51912","5.3"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2212","Fund 2212","2212","Measure B: Bicycle/Pedestrian Pass-Thru Funds","2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","Fund 2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds","PJ_C456640","PJ_C456640","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51420 - License","AC_51420","5.33"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV612 - Main Library Services","DP15 - Oakland Public Library","Oakland Public Library","DV1504","Main Library Services","OR_61243","61243 - Circulation","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51428 - Premium: Bilingual","AC_51428","5.4"
"2015-2016","Existing","DP850 - Economic and Workforce Development Department","DV853 - Workforce Development","DP18 - Economic & Workforce Development","Economic & Workforce Development","DV1802","Workforce Development","OR_85311","85311 - Workforce Development","FD_2195","Fund 2195","2195","Workforce Investment Act","2195 - Workforce Investment Act","Fund 2195 - Workforce Investment Act","PJ_1000024","1000024 - WIA PROGRAM DW 2195-G453398","PG_SC03","SC03 - WORKFORCE DEVELOPMENT","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51312 - Allowance: Meal","AC_51312","5.4"
"2015-2016","Existing","DP1000 - Police Department","DV1060 - Bureau of Administration","DP13 - Police Department","Police Department","DV1303","Bureau of Services","OR_106610","106610 - Background and Recruiting","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_P401340","PJ_P401340","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","5.41"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30682","30682 - Environmental Services: Recycling Solid Waste","FD_1710","Fund 1710","1710","Recycling Program","1710 - Recycling Program","Fund 1710 - Recycling Program","PJ_1000985","1000985 - RECYCLING-MEASURE D","PG_SC17","SC17 - RECYCLING & SOLID WASTE","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51216 - Overtime: FLSA Premium","AC_51216","5.44"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV502 - OPR: Area One","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1607","Arts, Science & Nature","OR_502380","502380 - Community Gardens","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB03","NB03 - RECREATION, CULTURAL CIVIC","16 - Debt Payments","Debt Payments","Non-Personnel Expenditures","Expense","58112 - Bank and Credit Card Fees","AC_58112","5.86"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30234","30234 - Facilities Planning and Development","FD_2260","Fund 2260","2260","Measure WW: East Bay Regional Parks District Local Grant","2260 - Measure WW: East Bay Regional Parks District Local Grant","Fund 2260 - Measure WW: East Bay Regional Parks District Local Grant","PJ_1001468","1001468 - CONCORDIA PARK","PG_IN06","IN06 - PROJECT DELIVERY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","5.5"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV502 - OPR: Area One","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1604","Area IV - Aquatics / Pools","OR_502313","502313 - Defremery Aquatics","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB04","NB04 - COMPETITIVE SPORTS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.52"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1901","Commercial Lending","OR_89979","89979 - Commercial Lending","FD_2108","Fund 2108","2108","HUD-CDBG","2108 - HUD-CDBG","Fund 2108 - HUD-CDBG","PJ_1001417","1001417 - BUSINESS DEVE G01900","PG_SC04","SC04 - COMMERCIAL LENDING","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51429 - Premium: Notary Public Pay","AC_51429","5.52"
"2015-2016","Existing","DP750 - Human Services Department","DV756 - Community Support","DP17 - Human Services","Human Services","DV1701","Aging & Adult Services","OR_75631","75631 - Senior Center","FD_7904","Fund 7904","7904","Oakland Senior Center: East","7904 - Oakland Senior Center: East","Fund 7904 - Oakland Senior Center: East","PJ_1001243","1001243 - EAST SENIOR CENTER TRUST FUND","PG_YS14","YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","53719 - Miscellaneous Services","AC_53719","5.56"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000061","1000061 - HSNG PROJ STAFF-A468345","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000064","1000064 - HSNG PROJ STAFF-A468356","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000067","1000067 - HSNG PROJ STAFF-A468393","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000072","1000072 - HSNG PROJ STAFF-A468410","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000073","1000073 - HSNG PROJ STAFF-A468418","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000076","1000076 - HSNG PROJ STAFF-A468422","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000882","1000882 - HSNG PROJ STAFF-A468350","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1001048","1001048 - HSNG PROJ STAFF-A468342","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1001239","1001239 - HSNG PROJ STAFF-A468337","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1001326","1001326 - HSNG PROJ STAFF-A468355","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","5.58"
"2015-2016","Existing","DP080 - Finance Department","DV082 - Controller's Office","DP09 - Finance Department","Finance Department","DV0902","Controller","OR_08222","08222 - General Ledger","FD_2195","Fund 2195","2195","Workforce Investment Act","2195 - Workforce Investment Act","Fund 2195 - Workforce Investment Act","PJ_1000244","1000244 - WIA ADMIN ADULT 2195-G453499","PG_IP59","IP59 - FINANCIAL MANAGEMENT","10 -  Misc. Personnel Adjustments","Misc. Personnel Adjustments","Personnel Expenditures","Expense","51912 - Adjustments: Miscellaneous Payroll (Not Subject to Retirement)","AC_51912","5.59"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2211","Fund 2211","2211","Measure B: Local Streets & Roads","2211 - Measure B: Local Streets & Roads","Fund 2211 - Measure B: Local Streets & Roads","PJ_1000634","1000634 - LAUREL ACCESS MILLS-LAMMPS","PG_IN06","IN06 - PROJECT DELIVERY","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","5.6"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5090 - OPR: Area Three","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1601","Area I - East","OR_509235","509235 - Rainbow","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000012","1000012 - DP5000 Administrative Project","PG_YS16","YS16 - AFTER SCHOOL SPORTS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.64"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5010 - Parks and Recreation: Administration","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1606","Area VI - City - Wide","OR_501250","501250 - Special Programs","FD_1780","Fund 1780","1780","Kid's First Oakland Children's Fund","1780 - Kid's First Oakland Children's Fund","Fund 1780 - Kid's First Oakland Children's Fund","PJ_1001258","1001258 - OPR SANDBOXES","PG_NB05","NB05 - AQUATICS","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","5.68"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61347","61347 - Piedmont Branch","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB16","NB16 - MAIN LIBRARY SERVICES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.69"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_CONV","PG_CONV","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","5.73"
"2015-2016","Existing","DP010 - Mayor","DV011 - Mayor: Administration","DP01 - Mayor","Mayor","DV0100","Mayor's Support","OR_01111","01111 - Mayor: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000001","1000001 - DP010 Administrative Project","PG_IP01","IP01 - MAYOR'S SUPPORT","12 - Contract Services","Contract Services","Non-Personnel Expenditures","Expense","54711 - Printing and Duplicating Services","AC_54711","51.54"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1904","Housing Development","OR_89929","89929 - Housing Development","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000057","1000057 - HSNG PROJ STAFF-A468335","PG_SC14","SC14 - HOUSING DEVELOPMENT","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","5.73"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30528","30528 - Electrical Services: Projects","FD_2215","Fund 2215","2215","Measure F - Vehicle Registration Fee","2215 - Measure F - Vehicle Registration Fee","Fund 2215 - Measure F - Vehicle Registration Fee","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN07","IN07 - ELECTRICAL & ENERGY EFFICIENCY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51420 - License","AC_51420","5.76"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1903","Home Ownership & Rehabilitation & Residential Lending","OR_89939","89939 - Municipal Lending","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000077","1000077 - HSNG PROJ STAFF-A468423","PG_NB32","NB32 - HOME OWNERSHIP & REHABILITATION","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51412 - Acting Pay","AC_51412","5.76"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5040 - Cultural Arts","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1607","Arts, Science & Nature","OR_504330","504330 - Studio One","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB03","NB03 - RECREATION, CULTURAL CIVIC","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","5.77"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000652","1000652 - RIGHT OF WAY INSPECTIONS 2415","PG_CONV","PG_CONV","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","5.79"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30681","30681 - Environmental Services: Administration","FD_1710","Fund 1710","1710","Recycling Program","1710 - Recycling Program","Fund 1710 - Recycling Program","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","53611 - Postage and Mailing","AC_53611","5.8"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_5610","Fund 5610","5610","Central District Projects","5610 - Central District Projects","Fund 5610 - Central District Projects","PJ_1001409","1001409 - LATHAM SQUARE PLAZA IMPROV","PG_CONV","PG_CONV","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","5.82"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2105","Keep Oakland Clean & Beautiful ","OR_30674","30674 - Illegal Dumping","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_NB35","NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51412 - Acting Pay","AC_51412","5.82"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30233","30233 - Project Management","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000666","1000666 - SS SUB-BASIN 52-05 PHASE II","PG_IN06","IN06 - PROJECT DELIVERY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","5.83"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30244","30244 - Sanitary Sewer Design","FD_2140","Fund 2140","2140","California Department of Transportation","2140 - California Department of Transportation","Fund 2140 - California Department of Transportation","PJ_1000728","1000728 - HSIP CYCLE 4-HGBGR EDES 73RD","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","5.84"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5090 - OPR: Area Three","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1601","Area I - East","OR_509235","509235 - Rainbow","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB03","NB03 - RECREATION, CULTURAL CIVIC","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","52211 - Stationery and Office Supplies","AC_52211","5.84"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV611 - Library: Administration","DP15 - Oakland Public Library","Oakland Public Library","DV1502","Library Systemwide Support","OR_61135","61135 - Acquisitions","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.92"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2116","Fund 2116","2116","Department of Transportation","2116 - Department of Transportation","Fund 2116 - Department of Transportation","PJ_1001321","1001321 - HSIP CYCLE 6 - GRAND AVE","PG_CONV","PG_CONV","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.94"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000652","1000652 - RIGHT OF WAY INSPECTIONS 2415","PG_CONV","PG_CONV","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","5.97"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2999","Fund 2999","2999","Miscellaneous Grants","2999 - Miscellaneous Grants","Fund 2999 - Miscellaneous Grants","PJ_1000701","1000701 - AC TRANSIT LINE 51","PG_CONV","PG_CONV","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","6.6"
"2015-2016","Existing","DP200 - Fire Department","DV203 - Fire: Prevention","DP14 - Fire Department","Fire Department","DV1402","Fire Prevention","OR_20321","20321 - Technical Services","FD_1720","Fund 1720","1720","Comprehensive Clean-up","1720 - Comprehensive Clean-up","Fund 1720 - Comprehensive Clean-up","PJ_1001175","1001175 - HOUSEHD HAZ WASTE P40200","PG_PS21","PS21 - OFFICE OF EMERGENCY SERVICES/HOMELAND SECURITY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","5.98"
