"company_name","address","swam_type","swam_cert","expiration_date","designation","vendor","contact_name","email","contact_numbers","nigp_code_1","nigp_code_2","nigp_code_3","nigp_code_4","nigp_code_5","nigp_code_6","nigp_code_7","nigp_code_8","nigp_code_9","nigp_code_10","nigp_code_11","nigp_code_12"
"CJF ENTERPRISES INC. dba GENERAL CONTRACTOR","50 B Beechdale Road Portsmouth 23702","WS","655147","8/20/2019","Micro-Business","78012","Belinda S. Flemming","office@cjfenterprises.com","(P) (757) 262-2087 / (F) (757) 262-2086","91200 GENERAL CONSTRUCTION","90922 NON RESIDENTIAL","90923 REDIDENTIAL","90937 DOOR WINDOWS","90945 FINISHES","91069 BUILDING STRUCTURE MAINTENANCE REPAIR","91065 REMODELING ALTERATIONS","91054 PAINTING","91045 LATHING / PLASTERING","90977 SPECIAL CONSTRUCTION",,
"Bay Electric Co","627 36th Street Newport News 23607","MS","723","5/2/2017",,"7141","John  Biagas","johnfbiagas@bayelectricco.com","(P) (757) 595-2300 / (F) (757) 595-6112","91082 ELECTRICAL CONTRACTOR",,,,,,,,,,,
"Hampton R&D, Inc. dba Hampton R & D, Inc.","1500 Rittenhouse Street Lynchburg 24502-1334","WS","667095","2/11/2017",,"96820","Nabeel Kamal","nabeel@hamptonrd.com","(P) (434) 845-7613 / (F) (434) 845-4617","90740 ENGINEERING SERVICES","90735 DESIGN SERVICE","90740 DRAFTING SERVICE","92565 MACHINE DESIGN / ENGINEERING","92567 MECHANICAL ENGINEERING","96146 INTERPRETER SERVICES","96172 TRANSLATION SERVICES","96230 EXPORT / IMPORT SERVICES","3157 HEATERS, ELECTRIC BASEBOARD","3158 HEATERS, ELECTRIC PANEL","3163 HEATERS, SPACE STEEM",
"THE HYPERION GROUP, INC.","P.O. BOX 24206 RICHMOND 23224","MS","675826","1/26/2018",,"106676","W. TRAVIS  BOWERS","GDEMESTRE@AOL.COM","(P) (804)714-2543 / (F) (804)714-2483","91200 GENERAL CONSTRUCTION SERVICES","93600 EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - GENERAL EQUIPMENT","91450 HEATING VENTILATION AIR CONDITIONING","91000 PIPE FITTING","91400 CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)","91800 CONSULTING SERVICES","92500 ENGINEERING SERVICES, PROFESSIONAL","90900 NEW BUILDING CONSTRUCTION","29000 ENERGY COLLECTING EQUIPMENT AND ACCESSORIES: SOLAR","15500 BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED",,
"CHESAPEAKE CONTROLS, INC.","3819 HOLLAND BOULEVARD CHESAPEAKE 23323","S","656676","6/30/2019",,"24620","LAURA BELL","INFO@CHESAPEAKECONTROLS.COM","(P)  (757)485-7110 / (F)  (757)485-7112","91450 HEATING, VENTILATION & AIR CONDITIONING","91036 HVAC REPAIR & MAINTENANCE",,,,,,,,,,
"SHAMROCK CONSTRUCTION CORP","115 Liberty Drive Yorktown 23693","WS","658737","9/27/2019",,"47721","Marsha Williams","yorktownmariners@cox.net","(P) (757) 342-1080 / (F)","98832 GRADING","91356 UTILITY","91389 UTILITY",,,,,,,,,
"PORTSMOUTH TRAILER SUPPLY INC","3227 S MILITARY HWY CHESAPEAKE 23435","WS","651731","10/6/2019",,"11046","KAREN COSTELLO","COSFAR@PTRAILERUSA.COM","(P) (757)487-2934 / (F) (757)558-8442","93625 TRAILER SUPPLIES, RUNNING GEAR/SALES","6006 TRAILER PARTS","99884 INSTALLATION OF GOOSENECKS FIFTH WHEEL","12090 REPAIRS TO TRAILERS","92800 AXLES","7069 RUNNING GEAR","5530 LIGHTS","6023 TIRES/ WHEELS","7066 HUB AND DRUMS","5551 BRAKE CONTROLLERS","12052 INSTALLATION OF HITCHE, ETC.",
"Powers Business Machines, Inc.","9701 Warwick Blvd. Newport News 23601","WS","649640","1/26/2018","Micro-Business","1874","Joan C. Powers","wcpiii@powersbm.com","(P) 595-2646 / (F) 595-0568","600 Office machines equipment and accessories (Sharp copiers & fax machines)","615 Office supplies and furniture",,,,,,,,,,
"THE HARVESTER, INC. dba COMMONWEALTH ARCHITECTS, P. C.","101 SHOCKOE SLIP, 3RD FLOOR RICHMOND 23219","S","8935","4/9/2017",,"96826","WALTER REDFEARN","WREDFEARN@COMARCHS.COM","(P) (804)648-5040 / (F) (804)225-0329","90600 ARCHITECTURE DESIGN   INTERIOR DESIGN   HISTORIC PRESERVATION",,,,,,,,,,,
"Retnauer Baynes Associates, LLC","423 South Battlefield Boulevard Chesapeake 23322","MS","675902","8/14/2018","Micro-Business","94808","Sandra Baynes","sbaynes@rbapc.com","(P) 546-2471 / (F) 546-3812","906 Architectural design",,,,,,,,,,,
"TAYLOR & PARRISH, INC.","710 PERRY STREET RICHMOND, VA   23224","S","690699","12/4/2016",,,"CHRISTOPHER HARRELL","charrell@taylor-parrish.com","(P) (804)233-9856/ (F) (804)230-3825","90900 BUILDING CONSTRUCTION SERVICES, NEW","91200 CONSTRUCTION SERVICES, GENERAL","91400 CONSTRUCTION SERVICES TRADE",,,,,,,,,
"FASTBREAK GENERAL CONTRACTORS, LLC","47 W. QUEENS WAY, SUITE G-1 HAMPTON 23669","MS","689355","1/20/2018",,"1000075","RAYQUAN MILES","solicitationsfbgc@gmail.com","(P) (757)727-9442 / (F) (757)727-9443","91200 CONSTRUCTION SERVICES, GENERAL","90638 GENERAL CONSTRUCTION - ARCHITECTURAL","91831 CONSTRUCTION CONSULTING SERVICES","90900 BUILDING CONSTRUCTION SERVICES, NEW","91838 EDUCATION & TRAINING CONSULTING","91827 COMMUNITY DEVELOPMENT CONSULTING","90923 BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.)","90916 ATHLETIC FACILITY CONSTRUCTION","96102 BUILDING CONSTRUCTION, INDUSTRIAL (WAREHOUSE, ETC.)   90922","90922 BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.)",,
"PRIMETECH OFFICE SYSTEMS, INC.","PO BOX 1621 CHESAPEAKE 23327","MS","7071","4/27/2018",,"HCS","DAPHNIA HILL","DHILL@PRIMETECHIMAGING.COM","(P) (757)523-7015 / (F) (757)523-9295","20400 COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS","20600 COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAINFRAME COMPUTERS","20700 COMPUTER ACCESSORIES AND SUPPLIES, COPIER TONER, FAX TONER, PRINTER SUPPLIES, INK CARTRIDGES","20861 OCR AND SCANNER SOFTWARE   20962  OCR AND SCANNER SOFTWARE","99876 PHOTOGRAPHIC EQUIPMENT;COPYING","99832 COPY MACHINES, COPIERS, SCANNERS, LASER PRINTERS   98523  COPY MACHINES, THERMAL TYPE, RENTAL OR LEASE","98525 COPY MACHINES, RENTAL OR LEASE, FAX MACHINES, FACSIMILES","98559 OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES (ALL) RENTAL OR LEASE","98460 PRINTERS AND PLOTTERS, COMPUTER (ALL TYPES), RENTAL OR LEASE",,,
"C K ANALYTICS, INC. dba UNIVERSAL LABORATORIES","20 Research Drive Hampton 23666","WS","626713","3/10/2018",,"13100","Carol  Kleemeier","C.KLEEMEIER@UNIVERSALLABORATORIES.NET","(P) (757) 865-0880 / (F) (757) 865-8014","91800 CONSULTING SERVICES","96132 ENVIRONMENTAL IMPACT STUDIES",,,,,,,,,,
"Atlantic Protective Services, Inc.","700 S. Military Highway Virginia Beach 23464","S","659274","4/1/2019",,"35415","Wade McClenny","wade@aps4u.com","(P) 499-4700 / (F) 490-3766","990 Security, fire, safety and emergency services (guard and security services)","906 Architectural services, professional (security systems, intruder & smoke)","936 Equipment maintenance, reconditioning and repair services (security and access systems.","680 Police equipment and supplies (access control)","803 Sound systems, components and accessories, group intercom, music, public address systems (music systems and components)","840 Television equipment and accessories (video & audio systems)",,,,,,
"Smith's Epoxy Coatings, Inc.","404-F Hustings Lane Newport News 23608","MS","5702","12/7/2016",,"47715","Markita  Smith","info@smithepoxy.com","(P) (757) 833-3999 / (F) (757) 833-3799","31500 EPOXY BASED FORMULATIONS","36020 FLOOR COVERING, SEAMLESS (ALL TYPES)","91025 FLOORING MAINTENANCE AND REPAIR TO INCLUDE REFINISHING AND SEALING",,,,,,,,,
"TROY & BANKS, INC.","2216 KENSINGTON AVENUE BUFFALO 14226","S","696467","4/9/2018","Micro-Business","107117","THOMAS T.  RANALLO","TRANALLO@TROYBANKS.COM","(P) (716)839-4402 / (F) (716)839-4452","91800 CONSULTING","91895 TELECOMMUNICATIONS CONSULTING","91897 UTILITIES: GAS, WATER, ELECTRIC CONSULTING",,,,,,,,,
"Thomas Consultants, Inc. dba TCI","POB 161356 Memphis 38186","MS","675360","4/22/2018",,"98546","Darrell K. Thomas","dkthomas@gotci.com","(P) (901) 398-8426 / (F) (901) 398-5749","204 Computer hardware and peripherals for microcomputers (desktop computers, server, printers, software, network design/implementation, IT staffing)","920 Data processing, computer and software services","918 Consulting services","984 Rental or lease services for computers, data processing and word processing.","208 Computer software for microcomputers (preprogrammed)",,,,,,,
"EPOXY SYSTEMS, LLC","6507 OLD WARWICK ROAD RICHMOND 23225","S","666791","6/13/2017",,,"MIKE STEELE","MSTEELE@EPOXYSYSTEMS.NET","(P) (804)378-4686 / (F) (804)378-4688","90945 EPOXY FLOORING",,,,,,,,,,,
"Belcher Consultants, Inc.","5136 Leesburg Pike, Suite 200 Alexandria 22302","MS","651645","5/1/2018","Micro-Business","97070","Roderick D. Belcher","rbelcher@belconinc.net","(P) 703-820-7818 / (F) 703-820-2727","909 Building Construction Services, New (administration of contracts: summary of work, quality control, project closeout, etc.)","912 Construction Services, General (construction services)","925 Engineering Services, Professional (general construction: management, scheduling, cost estimation - engineering)",,,,,,,,,
"ABLE SYSTEMS, INC.","501 VILLAGE AVENUE, SUITE 203 YORKTOWN 23693","WS","650132","7/6/2018",,"HCS","DONNA  HAYNES","ADMIN@ABLESYSTEMSINC.COM","(P) (757)988-8861 / (F) (757)988-8863","90900 BUILDING CONSTRUCTION SERVICES, NEW (INCL. MAINTENANCE AND REPAIR SERVICES)","91075 WALL AND CEILING REPAIR AND REPLACEMENT (INCLUDING DRYWALLING)","90922 COMMERCIAL CONSTRUCTION",,,,,,,,,
"Evident, Inc., dba Evident Crime Scene Products","739 Brooks Mill Road Union Hall 24176","S","655799","8/17/2019",,"13684","Judy Grimm","judy@evident.cc","(P) 800-576-7606 / (F) 888-384-3368","68047 Evidence Bags, Containers and Supplies","83210 Crime Scene Tape, Barrier","68048 Fingerprinting Equipment","68093 Crime Scene Field Kits/","Alternate Contact: Clifton Gill--clifton@evident.cc",,,,,,,
"Neighborhood Realty Inc.","P.O. Box 1500 Hampton 23661","MS","687029","7/3/2016",,"102207","Gerald Hawkins","gskates@neighborhood-realty.com","(P) (757) 245-0020 / (F) (757) 245-1715","96164 Real estate services","99884 Property management","20876 Real estate investing",,,,,,,,,
"DISYS SOLUTIONS, INC.","4151 LAFAYETTE CENTER DRIVE, SUITE 600 CHANTILLY 20151","MS","1537","4/17/2017",,"102311","CHATHERINE CLARK","CATHERINE.CLARK@DISYSSOLUTIONS.COM","(P) (703)234-6267 / (F) (703)802-0798","91830 COMPUTER NETWORK CONSULTING","92047 SUPPORT SERVICES, COMPUTER",,,,,,,,,,
"Court One Corporation dba Omega Fence","1159 Lance Road, Suite B Norfolk 23502","WS","626420","2/1/2017",,"3591","Stacey Comartos","INFO@COURTONECORP.COM","(P) (757) 466-0123 / (F) (757) 466-3615","33000 FENCE INSTALLATION",,,,,,,,,,,
"COASTAL OFFICE SYSTEMS & SUPPLY INC. DBA COASTAL OFFICE PRODUCTS","820 GREENBRIER CIRCLE SUITE 7 CHESAPEAKE 23320","S","660159","8/7/2017",,"HCS","JOHN  WILLCOX","JOHN.WILLCOX@COASTALOP.NET","(P) (757)366-5502 / (F) (757)366-5505","61500 OFFICE SUPPLIES GENERAL",,,,,,,,,,,
"J & H Lawn Service, Inc.","249 Watkins Drive Hampton 23669","S","685428","2/11/2019","Micro-Business","70488","Wayne Blanks","info@jandhlawn.com","(P) 827-5296 / (F) 827-6602","790 Seed, sod, soil and inoculants","906 Architectural services, professional (landscape architecture)","918 Consulting services (landscape consulting)","988 Roadside grounds, recreational and park area services (landscaping/grounds maintenance)",,,,,,,,
"KITE TECHNICAL SERVICES, INC.","605A INDUSTRIAL PARK DRIVE NEWPORT NEWS 23608","MS","647495","7/21/2017",,"102267","CLEVELAND WHITE","CLEVELAND.WHITE@KITETSI.COM","(P) (757)245-6050 / (F) (757)245-6550","90500 UNMANNED AERIAL SYSTEM","99803 AVIATION AND RELATED SERVICES",,,,,,,,,,
"W. C. Carpenter, LLC","5890 Thurston Avenue Virginia Beach 23451","WS","8812","9/20/2019",,"41484","Katherine Hamilton","lisa@wccarpenter.com","(P) 757-460-1101 / (F) 757-363-9579","91444 Flooring",,,,,,,,,,,
"BRR REFRIGERATION LLC","961 REON DR VIRGINIA BEACH 23464","S","659424","4/6/2018",,"HCS","JOSEPH ROOMSBURG","JOE@BRRREF.COM","(P) (757)474-9675 / (F) (757)474-9676","99852 INSTALLATION OF COMMERCIAL HVAC AND REFRIGERATION SYSTEMS","74066 INSTALLATION OF REFRIGERATION UNITS","99852 SUPPLY HVAC AND REFRIGERATION EQUIPMENT","93667 SUPPLY MAINTENANCE FOR HVAC AND REFRIGERATION EQUIPMENT (COMMERCIAL)","91450 HVAC INSTALLATION",,,,,,,
"BEC PLASTIC CARD SOLUTIONS, INC. dba BEC / PLASTIC CARD SOLUTIONS","8012 MIDLOTHIAN TURNPIKE RICHMOND 23235","S","665147","1/24/2020","Micro-Business","40399","DALE SMITH","DALE@BECPLASTICCARD.COM","(P) (804)330-2500 / (F) (804)330-5530","8010 ENTRY CONTROL CARDS","65500 PHOTOGRAPHIC EQUIPMENT AND SUPPLIES (NOT INCLUDING GRAPHIC ARTS, MICROFILM, AND X-RAY)","65567 FILM, PHOTOGRAPHIC (INCLUDING MOVIE FILMS)","65578 PHOTO IDENTIFICATION SYSTEMS, COMPLETE","66542 LAMINATING PRESSES, FILM, ID POUCHES, AND SUPPLIES","99876 PHOTOGRAPHIC EQUIPMENT","8000 BADGES, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC.","8070 TAGS, METAL, ADHESIVE BACK: INVENTORY, PROPERTY, TOOL, ETC.","20480 PRINTERS, THERMAL","8025 CARD HOLDERS, ALL TYPES (SEE CLASS 578 FOR METAL)","8038 CONVENTION BADGES AND NAME TAGS, NONADHESIVE TYPE",
"Beam Distributing, Inc.","P.O. Box 71884 Richmond 23255","WS","670855","10/2/2017",,"90185","Jackie Long","jackie@beamdistributing.com","(P) (804) 440-6489 / (F) (804) 440-6490","450 Hardware and related items (Pelican flashlights)","530 Luggage, brief cases, purses and related items (Pelican cases & brief cases)","655 Photographic equipment and supplies not including graphic arts and microfilm (camera carrying cases)",,,,,,,,,
"TRADE BUSINESS SOLUTIONS, LLC","P.O. BOX 50053 RICHMOND 23250","MS","692894","3/24/2017",,"HCS","T.D. RINALDI","TRADEBUSINESSSOLUTIONS@GMAIL.COM","(P) (804)502-5160 / (F) (804)328-1799","65500 OFFICE FURNITURE","84067 VIDEO CAMERA RECORDERS, DIGITAL TYPE","65530 CAMERA, MOVIE, & ACCESORIES","1582 VIDEO PRODUCTION","84070 VIDEO CAMERA-RECORDERS, ACCESSORIES AND PARTS (PORTABLE TYPE)","65520 CAMERA ATTACHMENTS: ADAPTER RINGS, COLLIMATORS, FILTERS, LENSES, ETC.","65529 CAMERAS, DIGITAL TYPE (INCL. DIGITAL NETWORK CAMERAS)","65596 VIDEO CAPTURING DEVICES CONNECTED TO COMPUTERS OR COMPUTER NETWORKS, (WEB CAMERAS)","99800 EDITING, TITLING, AND SPECIAL EFFECTS SYSTEMS, ACCESSORIES, AND PARTS",,,
"QUALITY BIOLOGICAL, INC.","P. O. BOX 5781 ROCKVILLE 20855-0781","MS","651762","8/31/2018",,"99202","BASILE WHITAKER","WHITAKERB@QUALITYBIOLOGICAL.COM","(P) (301)840-9331 / (F) (301)840-0743","49520 MANUFACTURE CELL CULTURE & MOLECULAR BIOLOGY PRODUCTS","17503 DISTRIBUTE MICROFLEX GLOVES",,,,,,,,,,
"HOPE FOR FAMILY AND BUSINESS PROSPERITY, LLC","1856 THREEWAY ROAD WARSAW 22572","MS","701738","9/17/2018","Micro-Business","103404","FRANK ALBERT JOHNSON, JR","HOPEFORFAMILYPROSPERITY@YAHOO.COM","(P) (202)734-1676 / (F)","92400 TRAINING SERVICES","91800 RESEARCH",,,,,,,,,,
"Antwan's Upholstery Shop","1645 W. Pembroke Ave, Unit #30 Hampton 23661","MS","693092","9/22/2018",,"103660","Constance Griffin","antwanupholstery@gmail.com","(P) (757) 256-4093 / (F)","92891 UPHOLSTERY MAINTENANCE AND REPAIR","61521 CHAIR CUSHIONS, ALL TYPES","55760 SEATING AND UPHOLSTERY",,,,,,,,,
"WARWICK BUILDERS LLC","652 EDWIN DRIVE VIRGINIA BEACH 23462","S","674581","4/27/2018","Micro-Business",,"WILLIAM W.  WARWICK, IV","WARWICKBUILDERS@VERIZON.NET","(P) (757)971-0123 / (F)","77000 ROOFING, INSULATION OF PIPES ANY BUILDING REPAIRS CLASS A GC",,,,,,,,,,,
"Westwood Contractors, Inc. (Westcon)","802 W. Pembroke Avenue Hampton 23669","WS","650137","2/27/2018",,"15370","Jeff Craig","westcon@westconpavers-va.com","(P) (757) 722-0050 / (F) (757) 728-0135","210 Bricks, concrete, paving and stepping blocks.","912 Pavers installation","SWaM ADDRESS INFO:  P.O. BOX 398, HAMPTON, VA 23669 (T. WARREN HUNNICUTT)",,,,,,,,,
"Lee Telecom, Inc.","P.O. Box 1407 Hampton 23661","WS","660091","8/24/2019",,"43451","Ronda Markus","support@leetelecom.com","(P) (757) 726-0422 / (F) (757) 726-0424","280 Electrical cables and wires, not electronic (communication and telephone cables)","680 Police equipment and supplies","725 Radio communication, telephone and telecommunication equipment & accessories",,,,,,,,,
"B&B HOSE AND RUBBER CO. INC.","4604 BAINBRIDGE BLVD CHESAPEAKE 23320","S","660493","6/4/2017",,"202","ANDY BELL","sales@bbhose.com","(P) (757)545-6166 / (F) (757)545-8703","46045 PARKER FLUID CONNECTORS HOSE AND FITTINGS","46036 GENERAL PURPOSE HOSE AND COUPLINGS","46038 GASKET, HOSE AND COUPLING",,,,,,,,,
"Sunset Marine Company, Inc.","1 Fulton Farm Road Hampton 23669","WS","684991","4/29/2019",,"6879","Connie Heath","sunsetmarine@verizon.net","(P) 757-722-1588 / (F) 757-722-2772","120 Boats, Motors, and Marine and Wildlife Supplies - Bombardier, Marine Battery Boxes, Bilge Pumps, Propeller, Electrical Acc & Marine Parts, Boat Fuel Tank, Gauges, Marine Navagation Lights-Boats, Motor, Engine Parts & Assessories,Inboard,Outboard Gasoline",,,,,,,,,,,
"LADY LOCKLEY'S TRUCKING LLC","325 WARWICK LANDING PARKWAY NEWPORT NEWS 23608","MS","703586","6/3/2017",,"105773","SERITA LOCKLEY","slockley30@yahoo.com","(P) (757)768-0048 / (F)","96239 HAULING",,,,,,,,,,,
"United Sound Productions","91 Manly Street Portsmouth 23702","MS","690582","4/3/2017",,"103424","Jonathan  Pierce","usoundpro@aol.com","(P) (757) 478-6976 / (F)","80300 SOUND SYSTEMS, COMPONENTS, AND ACCESSORIES: GROUP INTERCOM, MUSIC, PUBLIC ADDRESS, ETC",,,,,,,,,,,
"PRESTIGE SECURITY SERVICES, LLC","6387 CENTER DRIVE SUITE 6 NORFOLK 23502","MS","708152","9/28/2019","Micro-Business","107281","BERNARDINO NAPOLEON","ADMIN@PRESTIGESERVICESVA.COM","(P) (757)222-4837 / (F) (757)321-4201","99046 ARMED/UNARMED SECURITY OFFICERS","91893 SECURITY CONSULTING","91039 JANITORIAL/CUSTODIAL SERVICES",,,,,,,,,
"SAW CONTRACTING, INC.","1021 BELVOIR LANE VIRGINIA BEACH 23464","MS","695643","6/9/2017","Service Disabled Veteran Owned","105095","SEAN WILLIAMS","AWILLIAMS@SAWCONTRACTING.COM","(P) (757)320-3448 / (F)","91400 CONSTRUCTION SERVICES","90900 BUILDING CONSTRUCTION SERVICES","95826 CONSTRUCTION MANAGEMENT SERVICES",,,,,,,,,
"Marcus K Belle dba Belle Cleaning Concepts","810 79th Street #C Newport News 23605","MS","691795","5/23/2017","Micro-Business","101841","Marcus K. Belle","bellecleaningconcepts@gmail.com","(P) (757) 593-8882 / (F) (757) 257-1418","91039 JANITORIAL SERVICES","91081 WINDOW WASHING","91025 FLOOR REFINISHING",,,,,,,,,
"INTERSTATE OFFICE SUPPLY","418 HUME AVENUE ALEXANDRIA 22301","WS","650076","4/27/2018","Micro-Business","HCS","JAN LEPELLETIER","INTERSTATE@INTERSTATEOFFICE.COM","(P) (703)683-5500 / (F) (703)548-7757","61500 OFFICE SUPPPLIES, FURNITURE     PRINTERS AND TONER     COMPUTER SUPPLIES     ART & SCHOOL SUPPLIES",,,,,,,,,,,
"HUSTEADS CANVAS CREATIONS INC.","628 W. 24TH STREET NORFOLK 23517","WS","10370","9/4/2017",,"HCS","PATRICIA BUTLER","PAT@CANVASCREATIONS.HRCOXMAIL.COM","(P) (757)627-6912 / (F) (757)627-9335","87010 MANUFACTURE/INSTALL CANVAS AWNINGS","87020 METAL AWNINGS; VINYL AWNINGS","87022 VENETIANS BLINDS; SHADES","87786",,,,,,,,
"ANALYTICAL SERVICES & MATERIALS INC","107 Research Drive  Hampton 23666","MS","84","9/5/2017",,"20640","Dominick  Mullori","mullori@asm-usa.com","(P) (757) 865-7093 / (F) (757) 865-7903","20500 ENGINEERING SERVICES","91605 R&D IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",,,,,,,,,,
"Commonwealth Preservation Group, LLC","P.O. Box 11083 Norfolk 23517","MS","674867","12/2/2017","Micro-Business","89221","Paige  Pollard","paige@commonwealthpreservationgroup.com","(P) 757-923-1900 / (F) 757-923-0076","906 Architectural Services, Professional (historical preservation, historic resources)  **Micro-Business**",,,,,,,,,,,
"THE SIGN SHOP OF NEWPORT NEWS, INC.","715-A BLUE CRAB RD. NEWPORT NEWS 23606","MS","8635","12/2/2017","Micro-Business","HCS","SHERRI  BULLOCK","INFO@SIGNSHOP-VA.COM","(P) (757)873-1157 / (F) (757)873-0131","80100 SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES","80120 ADVERTISING","80156 SIGNS, AMERICAN DISABILITY ACT (ADA)","80159 SIGNS: BRAILLE (INCLUDING MARKERS AND PLAQUES)","80160 SIGNS: CONSTRUCTION","80182 SIGNS, MAGNETIC","80183 SIGNS, METAL (NOT BLANKS)","80189 SIGNS, PLASTIC AND POLYETHYLENE (INCLUDING BLANKS)","80197 SIGNS, WOOD (INCLUDING BLANKS)","25500  DECALS AND STAMPS",,
"HOWELL'S UPHOLSTERY, INC.","612A ABERDEEN ROAD HAMPTON 23661","WS","705734","7/8/2017","Micro-Business","1139","BEATRICE HOWELL","MIKE_HOWELL@COX.NET","(P) (757) 827-7701 / (F) (757) 827-7679","92891 UPHOLSTERY","55760 SEAT AND UPHOLSTERY","26544 MATERIAL, UPHOLSTERY (FABRIC), FURNITURE AND AUTO","93146 FURNITURE INSTALL RECONFIGURATION SERVICES","96290 AUTO & TRUCK UPHOLSTERY","12018 CUSTOM BOAT TOPS & COVERS","8520 BAGS, CANVAS OR DUCK","20734 COVERS & ENCLOSURES ACOUSTICAL AND PROTECTIVE FOR EQUIPMENT","92891 UPHOLSTERY MAINTENANCE AND REPAIR",,,
"LAWRENCE LANDSCAPING & MAINTENANCE SERVICES, INC.","2227 COUNTY ST. PORTSMOUTH 23704","MS","664813","2/1/2019",,,"WILBERT H. LAWRENCE, SR.","MELISSA@LAWRENCE-LANDSCAPING.COM","(P) (804)966-2064 / (F) (804)966-2066","98852 LANDSCAPING (INCLUDING DESIGN, FETILIZING, PLANTING, ETC., BUT NOT GROUNDS MAINTENANCE OR TREE TRIMMING SERVICES)","98836 GROUNDS MAINTENANCE: MOWING, EDGING, PLANT (NOT TREE) TRIMMING, ETC",,,,,,,,,,
"ELECTRIC MOTOR & CONTRACTING CO., INC.","3703 COOK BLVD CHESAPEAKE 23323","S","649091","1/23/2018",,,"ERIC  GERSH","DEBBIE@EMC-CO.COM","(P) (757)487-2121 / (F) Fax:     (757)487-4936","28514 ELECTRIC MOTORS, SWITCHGEAR, CONTROLS","28564 28567     28568     28570     28571",,,,,,,,,,
"MAYER ELECTRIC SUPPLY CO., INC","708 MIDDLEGROUND BLVD NEWPORT NEWS 23606","WS","649437","11/4/2018",,"81608","TERE CLARK","teclark@mayerelectric.com","(P) 757-873-0055 / (F) 757-873-5600","2800 ELECTRICAL SUPPLIES","28500 ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE)","28556 LIGHTING FIXTURES, OUTDOOR: FLOODLIGHTS, SPOTLIGHTS, YARD LIGHTS, AND ALL OTHER WEATHERPROOF FIXTURES (EXCEPT STREETLIGHTS) (INCLUDING RECYCLED TYPES)","28550 LAMPS: FLUORESCENT, INCANDESCENT, MERCURY VAPOR, QUARTZ, AND SODIUM VAPOR","28523 CONDUIT FITTINGS, STEEL: BOXES, BUSHINGS, CLAMPS, CONNECTORS, COVERS, LOCKNUTS, STRAPS, ETC.","28510 CABLE ACCESSORIES: CLAMPS, CLASPS, CLIPS, CLOSURES, REELS, SPLICES, WRAPPINGS, ETC.","28506 BALLASTS, ALL KINDS","28592 WIRE AND CABLE MARKERS AND MARKER TIES","28534 FUSES, FUSE BLOCKS AND HOLDERS, LINKS, ETC.","28595 WIRING DEVICES: ADAPTERS, CAPS, CONNECTORS, EXTENSION CORDS, FLUORESCENT AND HP STARTERS, OUTLETS, PLATES AND COVERS, PLUGS, RECEPTACLES, SWITCHES, TE","65930 CONNECTORS",
"INFIAN LLC","2810 North Parham Road Suite 220 Richmond 23294","WS","701440","7/16/2018",,"102792","Elizabeth  Guarnieri","bevans@infian.com","(P) (804) 934-9370 / (F) (804) 934-9365","20700 COMPUTER ACCESSORIES AND SUPPLIES","20800 COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED)","20453 MICROCOMPUTERS, DESKTOP OR TOWERBASED","20400 COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS","20900 COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAINFRAME COMPUTERS (PREPROGRAMMED)",,,,,,,
"SUMMIT CONSTRUCTION & ENVIRONMENTAL SERVICES, LLC","6290 Old Warwick Road, Suite D Richmond 23224","MS","679705","6/25/2018",,"105065","Charles L. Crenshaw","ccrenshaw@summitconstructiones.com","(P) (804) 276-1963 / (F) (804) 276-1964","91047 ENVIRONMENTAL CONSTRUCTION(LEAD AND ASBESTOS REMOVAL)","Note: Al Smith, Project Manager asmith@summitconstructiones.com .",,,,,,,,,,
"SPIVEY RENTALS INC.","PO Box 6677 Chesapeake 23323","S","659041","5/18/2019",,"2221","Joyce Stone","jstone@spiveyrentals.com","(P) (757) 485-8888 / (F) (757) 485-2967","15570 PORTABLE TOILETS","34500 SAFETY EQUIPMENT FLAGGING (I.E., TRAFFIC CONTROL) SERVICES","96239 HAULING SERVICES","97537 GARBAGE /REFUSE EQUPMENT (DUMPSTERS, ETC) RENTAL OR LEASE","92677 RECYCLING SERVICES",,,,,,,
