"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2022","General Government","Information Technology","Information Technology","Sal/Spc Comp/OT","0","1527078.74","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","General Government","Administrative Services","Cultural Affairs-Art Fund","Other","0","5720","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","General Government","Information Technology","IT Public Safety","Sal/Spc Comp/OT","0","267010","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","Operating Departments","Community Development","Community Development Admin","Pension Expenses","0","62026","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Public Works","Building Maintenance","Other O&M","0","19484","General Fund","Tax Supported Funds","Contributions to Agencies","Operating Expense"
"2022","General Government","Finance","Purchasing","Pension Expenses","0","76395","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Public Works","Graffiti Abatement","Other","0","650","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Payroll Taxes","0","21651","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Community Events & Excursions","Workers Comp","0","415","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Community Development","Advance Planning","Other","0","1300","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Office Supp&Exp","0","1650","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Other","0","2340","Section 8 Fund","Non-Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Recreation Division","Liability Reserve","0","10645","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","General Government","City Attorney","City Attorney","Payroll Taxes","0","12450","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Payroll Taxes","0","33090","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Sal/Spc Comp/OT","0","4800","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Recreation Division","Health Benefits","0","58810","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Recreation Division","Workers Comp","0","31077","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Capital","0","18742.5","General Fund","Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Operating Departments","Public Works","Tree Maintenance","Sal/Spc Comp/OT","0","1346","General Fund","Tax Supported Funds","Overtime-Regular","Personnel Cost"
"2022","General Government","Finance","Finance Administration","Payroll Taxes","0","221","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Economic Development","Pension Expenses","0","455","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","Operating Departments","Public Works","Streets","Sal/Spc Comp/OT","0","10000","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2022","Operating Departments","Public Works","Public Works Admin","Pension Expenses","0","1640","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Payroll Taxes","0","3180","Sewer Enterprise Fund","Non-Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Public Works","Graffiti Abatement","Travel/Trng/Dues","0","1500","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2021","Operating Departments","Public Works","Public Works Admin","Contract Services","0","22000","General Fund","Tax Supported Funds","Consulting Services","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Pension Expenses","0","105280","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Public Safety","Fire","Emergency Preparedness","Sal/Spc Comp/OT","0","5700","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2022","Operating Departments","Public Works","Parking Meters","Sal/Spc Comp/OT","0","11060","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Public Safety","Fire","Homeland Security Grant","Sal/Spc Comp/OT","0","-24803","Capital Grants Fund","Non-Tax Supported Funds","Salaries OT-Project","Personnel Cost"
"2022","Operating Departments","Public Works","Engineering","Pension Expenses","0","183319","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Public Works","Tree Maintenance","Equip Maint Chgs","0","9242","General Fund","Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Retiree Medical P","0","257830","Refuse Disposal Fund","Non-Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Community Development Admin","Other","0","1000","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Payroll Taxes","0","89349","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Office Supp&Exp","0","4400","Risk Management Fund","Non-Tax Supported Funds","Utilities","Operating Expense"
"2022","General Government","Administration","City Council","Office Supp&Exp","0","2000","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","Operating Departments","Parks Recreation & Comm Svs","Senior Nutrition - CII & 3B","Contract Services","0","55501","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","Public Safety","Police","Operating Bureaus","Sal/Spc Comp/OT","0","1864200","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Workers Comp","0","18816","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Cost Allocation","0","2158851","Refuse Disposal Fund","Non-Tax Supported Funds","Administrative Charges","Operating Expense"
"2022","General Government","Finance","Finance Administration","Liability Reserve","0","15582","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","Operating Departments","Community Development","Enforcement Services","Sal/Spc Comp/OT","0","15860","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","General Government","City Attorney","City Attorney - Risk Mgt","Workers Comp","0","10951","Risk Management Fund","Non-Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Public Safety","Police","Operating Bureaus","Pension Expenses","0","2506968","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Youth Mentoring Program","Payroll Taxes","0","255","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Public Safety","Fire","Office of the Chief","Workers Comp","0","62425","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Community Development","Enforcement Services","Pension Expenses","0","36506","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Community Development","Rent Stabilization","Payroll Taxes","0","350","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Public Works","Electrical Maintenance","Travel/Trng/Dues","0","400","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2022","Public Safety","Fire","Community Risk Reduction","Sal/Spc Comp/OT","0","50620","General Fund","Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2022","Operating Departments","Public Works","Building Maintenance","Travel/Trng/Dues","0","2100","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Pension Expenses","0","43343","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Office Supp&Exp","0","6598","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Public Safety","Fire","Emergency Medical Services","Repair-Maint","0","13655","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2022","Public Safety","Fire","Fire Suppression","Office Supp&Exp","0","666","General Fund","Tax Supported Funds","Mandated Fees","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks Division","Other O&M","0","9000","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Payroll Taxes","0","751","Section 8 Fund","Non-Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Advance Planning","Other","0","5720","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Office Supp&Exp","0","154","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Public Works","Building Maintenance","Sal/Spc Comp/OT","0","27499","General Fund","Tax Supported Funds","Overtime-Regular","Personnel Cost"
"2022","Projects","Projects","Projects","Capital","0","815930.42","Municipal Bus Lines Fund","Non-Tax Supported Funds","Improvements other than Bldg","Operating Expense"
"2022","Public Safety","Fire","Office of the Chief","Travel/Trng/Dues","0","3000","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","Operating Departments","Public Works","Streets","Sal/Spc Comp/OT","0","867253","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","Operating Departments","Community Development","Rent Stabilization","Other","0","1950","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","General Government","Finance","Budget & Accounting Operations","Retiree Medical P","0","45600","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Office Supp&Exp","0","22680","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Travel/Trng/Dues","0","1339","Section 8 Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2022","Operating Departments","Public Works","Maintenance Operations","Payroll Taxes","0","6946","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Pension Expenses","0","14710","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks Division","Repair-Maint","0","4616.32","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks Division","Pension Expenses","0","81521","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Public Safety","Fire","Office of the Chief","Office Supp&Exp","0","100","General Fund","Tax Supported Funds","Printing and Binding","Operating Expense"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Cost Allocation","0","769956","Sewer Enterprise Fund","Non-Tax Supported Funds","Administrative Charges","Operating Expense"
"2022","Operating Departments","Public Works","Graffiti Abatement","Office Supp&Exp","0","670","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Office Supp&Exp","0","55174.71","Sewer Enterprise Fund","Non-Tax Supported Funds","Utilities","Operating Expense"
"2021","Operating Departments","Transportation","Para Transit Services","Contract Services","0","170","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","Public Safety","Fire","Fire Suppression","Travel/Trng/Dues","0","16610","General Fund","Tax Supported Funds","Certification Training","Operating Expense"
"2022","Operating Departments","Public Works","Engineering","Pension Expenses","0","1092","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","General Government","Finance","Budget & Accounting Operations","Sal/Spc Comp/OT","0","47960","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Capital","0","6525.08","General Fund","Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2022","General Government","Information Technology","Graphic Services","Other O&M","0","93989.29","General Fund","Tax Supported Funds","Rental of Equipment","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Capital","0","11207.53","Section 8 Fund","Non-Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2022","General Government","Finance","General Accounting","Pension Expenses","0","116482","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Transportation","Para Transit Services","Equip Amort.","0","4854","Para Transit","Non-Tax Supported Funds","Amortization of Equipment","Operating Expense"
"2022","General Government","City Attorney","City Attorney - Risk Mgt","Other","0","1125","Risk Management Fund","Non-Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","General Government","Finance","Purchasing","Payroll Taxes","0","2567","Refuse Disposal Fund","Non-Tax Supported Funds","FICA","Personnel Cost"
"2022","Operating Departments","Community Development","Neighborhood Preservation","Other","0","3575","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Public Safety","Fire","Fire Suppression","Office Supp&Exp","0","5611.87","General Fund","Tax Supported Funds","GEMT Admin Fee","Operating Expense"
"2022","Public Safety","Fire","Emergency Preparedness","Equip Amort.","0","59","General Fund","Tax Supported Funds","Amortization of Equipment","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Contract Services","0","97128.67","Section 8 Fund","Non-Tax Supported Funds","Housing Services","Operating Expense"
"2022","Public Safety","Police","Office of the Chief","Retiree Medical P","0","102750","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Workers Comp","0","19775","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","General Government","Administrative Services","Human Resources","Office Supp&Exp","0","11710","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Payroll Taxes","0","1873","Section 8 Fund","Non-Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Community Development","Admin Supply and Services","Office Supp&Exp","0","5000","Culver City Housing Authority","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Community Development","Building Safety","Retiree Medical P","0","35210","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Current Planning","Other","0","17680","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Transportation","Transportation Operations","Other","0","94900","Municipal Bus Lines Fund","Non-Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","Public Safety","Fire","Office of the Chief","Office Supp&Exp","0","18233.13","General Fund","Tax Supported Funds","Mandated Fees","Operating Expense"
"2022","General Government","Administrative Services","Employee Disability (IOD)","Payroll Taxes","0","4500","Risk Management Fund","Non-Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Pension Expenses","0","74786","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Public Works","Electrical Maintenance","Other","0","10672","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Transportation","Para Transit Services","Sal/Spc Comp/OT","0","470","Para Transit","Non-Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Community Development","Enforcement Services","Office Supp&Exp","0","960","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","Operating Departments","Transportation","Para Transit Services","Workers Comp","0","9184","Para Transit","Non-Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Transportation","Equipment Maintenance","Office Supp&Exp","0","79568","Equipment Maintenance Fund","Non-Tax Supported Funds","Utilities","Operating Expense"
"2022","General Government","Administration","City Council","Pension Expenses","0","1592","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2021","Operating Departments","Transportation","Transportation Admin","Office Supp&Exp","0","1537.88","Municipal Bus Lines Fund","Non-Tax Supported Funds","Disaster Supplies","Operating Expense"
"2022","General Government","Finance","Finance Administration","Sal/Spc Comp/OT","0","12000","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2022","Public Safety","Fire","Office of the Chief","Other","0","1050","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","General Government","Finance","Treasury","Payroll Taxes","0","2735","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","General Government","Non-Departmental","Higuera St Lndscp/Lghtng Dist","Office Supp&Exp","0","5427","Special Assessment & Districts","Non-Tax Supported Funds","Utilities","Operating Expense"
"2022","Operating Departments","Community Development","Building Safety","Sal/Spc Comp/OT","0","9600","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2022","General Government","Non-Departmental","Non-Departmental","Transfers","0","1200000","Culver City Parking Authority","Non-Tax Supported Funds","Trsf Out To - Fund 101","Transfers"
"2022","General Government","Administrative Services","Risk Management","Office Supp&Exp","0","10090","Risk Management Fund","Non-Tax Supported Funds","Employee Wellness Supplies","Operating Expense"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Workers Comp","0","173659","Sewer Enterprise Fund","Non-Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Community Development","Rent Stabilization","Sal/Spc Comp/OT","0","258138","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","Operating Departments","Public Works","Building Maintenance","Other O&M","0","525","General Fund","Tax Supported Funds","Auto Mileage Reimbursement","Operating Expense"
"2022","General Government","Finance","Purchasing","Sal/Spc Comp/OT","0","4570","General Fund","Tax Supported Funds","Overtime-Regular","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Sal/Spc Comp/OT","0","500","Building Surcharge Fund","Non-Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Public Works","Environmental Programs/Ops","Liability Reserve","0","3085","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","Operating Departments","Transportation","Transportation Operations","Equip Maint Chgs","0","1000000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Fuel Charges","Operating Expense"
"2022","General Government","Administrative Services","Cultural Affairs-Art Fund","Other","0","975","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Public Safety","Police","Operating Bureaus","Office Supp&Exp","0","8000","General Fund","Tax Supported Funds","Printing and Binding","Operating Expense"
"2022","Public Safety","Fire","Office of the Chief","Other","0","2535","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Community Development","Rental Assistance Payments","Contract Services","0","50000","Culver City Housing Authority","Non-Tax Supported Funds","Personnel Services","Operating Expense"
"2022","Operating Departments","Transportation","Transportation Operations","Office Supp&Exp","0","2000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Comm Events-Fiesta La Ballona","Sal/Spc Comp/OT","0","1000","General Fund","Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2022","Public Safety","Fire","Emergency Medical Services","Sal/Spc Comp/OT","0","74700","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Public Works","Transfer Station - Admin","Pension Expenses","0","90568","Refuse Disposal Fund","Non-Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Public Works","Maintenance Operations","Travel/Trng/Dues","0","500","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","Operating Departments","Community Development","Rent Stabilization","Health Benefits","0","53910","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Community Development","Advance Planning","Other","0","500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","General Government","Administrative Services","Premium/Claims","Ins Premiums","0","695000","Risk Management Fund","Non-Tax Supported Funds","Insurance Premiums - Other","Operating Expense"
"2022","Operating Departments","Transportation","AQMD - AB2766","Capital","0","50000","AQMD - AB 2766 Funds","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","General Government","Administrative Services","Human Resources","Payroll Taxes","0","15581","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","General Government","Finance","Treasury","Payroll Taxes","0","45227","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Health Benefits","0","22475","Building Surcharge Fund","Non-Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Public Works","Electrical Maintenance","Office Supp&Exp","0","640","General Fund","Tax Supported Funds","Small Tools & Equipment","Operating Expense"
"2022","General Government","Administration","City Manager","Workers Comp","0","43886","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Other","0","4550","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","General Government","Administrative Services","Human Resources","Other O&M","0","414","General Fund","Tax Supported Funds","Auto Mileage Reimbursement","Operating Expense"
"2021","Projects","Projects","Projects","Capital","0","-2770.49","Capital Improv and Acq Fund","Tax Supported Funds","Improvements other than Bldg","Operating Expense"
"2022","Operating Departments","Community Development","Building Safety","Payroll Taxes","0","4437","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Community Development","Current Planning","Other","0","1950","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Other O&M","0","25000","Refuse Disposal Fund","Non-Tax Supported Funds","Uniforms","Operating Expense"
"2022","Operating Departments","Transportation","Equipment Maintenance","Other","0","2800","Equipment Maintenance Fund","Non-Tax Supported Funds","Uniform Allowance","Personnel Cost"
"2022","Operating Departments","Public Works","Building Maintenance","Repair-Maint","0","49204.02","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2022","Operating Departments","Community Development","Economic Development","Office Supp&Exp","0","4750","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Public Works","Public Works Admin","Pension Expenses","0","30640","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","General Government","Administrative Services","Art Fund","Other","0","3120","Cultural Trust Fund","Non-Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Public Works","Graffiti Abatement","Other O&M","0","2430","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2022","General Government","Administrative Services","Art Fund","Payroll Taxes","0","1520","Cultural Trust Fund","Non-Tax Supported Funds","Medicare","Personnel Cost"
"2022","General Government","Administration","City Manager","Other","0","20700","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2022","Operating Departments","Public Works","Environmental Programs/Ops","Other","0","1872","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Sal/Spc Comp/OT","0","5000","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Office Supp&Exp","0","390","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Public Works","Building Maintenance","Health Benefits","0","203475","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Public Works","Streets","Office Supp&Exp","0","135000","General Fund","Tax Supported Funds","Utilities","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Office Supp&Exp","0","300","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","Operating Departments","Public Works","Electrical Maintenance","Repair-Maint","0","2100","General Fund","Tax Supported Funds","R&M - Building","Operating Expense"
"2022","Operating Departments","Comm Improve Programs","Watseka Prkg Structure","Repair-Maint","0","51919.25","Culver City Parking Authority","Non-Tax Supported Funds","R&M - Building","Operating Expense"
"2022","Operating Departments","Community Development","Advance Planning","Health Benefits","0","20420","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Public Safety","Fire","Fire - SAFER Grant","Transfers","0","1080000","Operating Grants Fund","Non-Tax Supported Funds","Trsf Out To - Fund 101","Transfers"
"2022","Public Safety","Fire","Community Risk Reduction","Travel/Trng/Dues","0","750","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","Public Safety","Fire","Communications","Other","0","1560","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Public Safety","Police","Operating Bureaus","Office Supp&Exp","0","20000","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","General Government","Information Technology","Information Technology","Other","0","1560","Building Surcharge Fund","Non-Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Office Supp&Exp","0","2500","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Public Works","Streets","Payroll Taxes","0","47058","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","Public Safety","Fire","Community Risk Reduction","Other","0","4550","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","General Government","Non-Departmental","Non-Departmental","Travel/Trng/Dues","0","6500","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2022","Operating Departments","Comm Improve Programs","Cardiff Prkg Structure","Office Supp&Exp","0","3200","Culver City Parking Authority","Non-Tax Supported Funds","Utilities","Operating Expense"
"2022","Operating Departments","Community Development","Enforcement Services","Payroll Taxes","0","7539","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Transportation","Para Transit Services","Health Benefits","0","32685","Para Transit","Non-Tax Supported Funds","Health","Personnel Cost"
"2022","General Government","Administration","City Council","Pension Expenses","0","4551","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Community Development","Neighborhood Preservation","Payroll Taxes","0","30677","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","General Government","Administration","City Manager","Pension Expenses","0","57508","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Community Development","Economic Development","Payroll Taxes","0","9321","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2021","Public Safety","Fire","Homeland Security Grant","Capital","0","1549.21","Capital Grants Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Public Safety","Fire","Communications","Office Supp&Exp","0","19287.94","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Workers Comp","0","28230","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","General Government","Finance","General Accounting","Payroll Taxes","0","1490","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","General Government","Finance","General Accounting","Other","0","2925","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Community Development","Rent Stabilization","Payroll Taxes","0","16134","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","Operating Departments","Community Development","Neighborhood Preservation","Other O&M","0","60000","Culver City Housing Authority","Non-Tax Supported Funds","Rehab Grants Fee Incentive","Operating Expense"
"2022","General Government","Finance","Purchasing","Payroll Taxes","0","1347","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Public Safety","Police","COPS/SLESF/Brulte","Workers Comp","0","11654","Operating Grants Fund","Non-Tax Supported Funds","Workers Compensation","Personnel Cost"
