"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2019","Public Works","Engineering","Pension Expenses","Personnel Cost","239958","239958","0","256506.57","256506.57","101","10160150","60"
"2019","Finance","Purchasing","Payroll Taxes","Personnel Cost","36386","36386","0","36871.26","36871.26","101","10114500","14"
"2020","Fire","Fire Suppression","Equip Amort.","Operations/Maintenance","376115","376115","0","376115","376115","101","10145200","45"
"2019","Parks Recreation & Comm Svs","Youth Mentoring Program","Sal/Spc Comp/OT","Personnel Cost","15244","15244","0","14082.96","14082.96","101","10130270","30"
"2019","Community Development","Rental Assistance","Sal/Spc Comp/OT","Personnel Cost","146451","146451","0","140383.28","140383.28","426","42650510","50"
"2019","Information Technology","Information Technology","Other","Personnel Cost","47150","47150","0","36382.47","36382.47","101","10124100","24"
"2020","Community Development","Neighborhood Preservation","Liability Reserve","Operations/Maintenance","11060","11060","0","11060","11060","101","10150500","50"
"2019","Parks Recreation & Comm Svs","Parks Division","Payroll Taxes","Personnel Cost","90230","90230","0","87890.38","87890.38","101","10130300","30"
"2019","Information Technology","Information Technology","Pension Expenses","Personnel Cost","375531","375531","0","355837.16","355837.16","101","10124100","24"
"2019","Information Technology","Information Technology","Health Benefits","Personnel Cost","156208","156208","0","137816.25","137816.25","101","10124100","24"
"2020","Transportation","Transportation Operations","Public Notices/Ad","Operations/Maintenance","11000","11232.5","0","8632.5","8632.5","203","20370200","70"
"2019","Police","Office of the Chief","Pension Expenses","Personnel Cost","195192","195192","0","271148.07","271148.07","101","10140100","40"
"2019","Transportation","Para Transit Services","Other","Personnel Cost","6630","6630","0","11409.88","11409.88","411","41170420","70"
"2020","Fire","Emergency Preparedness","Liability Reserve","Operations/Maintenance","5350","5350","0","5350","5350","101","10145400","45"
"2021","Fire","Homeland Security Grant","Capital","Capital/Other","1549.21","1549.21","0","0","0","432","43245700","45"
"2019","Transportation","Equipment Maintenance","Payroll Taxes","Personnel Cost","253128","253128","0","244446.27","244446.27","308","30870400","70"
"2019","Community Development","Advance Planning","Pension Expenses","Personnel Cost","71926","71926","0","65476.32","65476.32","101","10150400","50"
"2019","Administrative Services","Human Resources","Sal/Spc Comp/OT","Personnel Cost","772753","791553","0","800831.79","800831.79","101","10122100","22"
"2022","Non-Departmental","Non-Departmental","Transfers","Transfers","801822","801822","0","801822","801822","415","41516100","16"
"2022","City Attorney","City Attorney","Legal Services","Operations/Maintenance","1384516","1820216.48","4947.21","829402.57","834349.78","101","10113100","13"
"2019","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Sal/Spc Comp/OT","Personnel Cost","117831","161831","0","151259.28","151259.28","101","10130250","30"
"2023","Police","Operating Bureaus","Contract Services","Operations/Maintenance","0","-175000","3613210.67","709450.37","4322661.04","101","10140200","40"
"2021","Transportation","Equipment Maintenance","Equip Maint Chgs","Operations/Maintenance","45068","45068","0","41272.47","41272.47","308","30870400","70"
"2019","Community Development","Community Development Admin","Pension Expenses","Personnel Cost","73655","73655","0","71823.4","71823.4","101","10150100","50"
"2019","Administrative Services","Risk Management","Depreciation","Operations/Maintenance","0","0","0","518.14","518.14","309","30922200","22"
"2018","Administration","Art Fund","Payroll Taxes","Personnel Cost","0","0","0","0","0","413","41310400","10"
"2018","Transportation","Para Transit Services","Health Benefits","Personnel Cost","28350","28350","0","0","0","414","41470420","70"
"2019","Parks Recreation & Comm Svs","Community Events & Excursions","Payroll Taxes","Personnel Cost","1222","1222","0","677.75","677.75","101","10130280","30"
"2021","Parks Recreation & Comm Svs","Parks Division","Equip Maint Chgs","Operations/Maintenance","100297","100297","0","135434.25","135434.25","101","10130300","30"
"2020","Parks Recreation & Comm Svs","Sports Programs","Contract Services","Operations/Maintenance","241960","331960","0","224049.7","224049.7","101","10130240","30"
"2019","Administrative Services","Art Fund","Health Benefits","Personnel Cost","9180","9180","0","9281.25","9281.25","413","41322400","22"
"2021","Public Works","Streets","Capital","Capital/Other","7116","6285.89","0","0","0","101","10160210","60"
"2022","Projects","Projects","Capital","Capital/Other","20522081.32","44231352.1","57686.38","7169802.59","7227488.97","423","42380000","CP"
"2022","Public Works","Graffiti Abatement","Payroll Taxes","Personnel Cost","10970","10970","0","7270.45","7270.45","101","10160250","60"
"2023","Non-Departmental","Non-Departmental","Office Supp&Exp","Operations/Maintenance","0","0","2032080.28","284528.45","2316608.73","101","10116100","16"
"2019","Community Development","Current Planning","Health Benefits","Personnel Cost","103478","103478","0","78587.75","78587.75","101","10150200","50"
"2022","Projects","Projects","Contract Services","Operations/Maintenance","208954.78","238954.78","0","272","272","418","41880000","CP"
"2019","Administrative Services","City Clerk","Payroll Taxes","Personnel Cost","27568","27568","0","27264.7","27264.7","101","10122300","22"
"2019","Public Works","Tree Maintenance","Payroll Taxes","Personnel Cost","10853","10853","0","11979.13","11979.13","101","10160220","60"
"2019","Parks Recreation & Comm Svs","PR&CS Administrative Division","Health Benefits","Personnel Cost","38336","38336","0","28934","28934","101","10130100","30"
"2020","Non-Departmental","Non-Departmental","Transfers","Transfers","1200000","1200000","0","1200000","1200000","475","47516100","16"
"2019","Community Development","Redevelopment","Sal/Spc Comp/OT","Personnel Cost","0","0","0","1395.04","1395.04","101","10150300","50"
"2019","Community Development","Advance Planning","Other","Personnel Cost","10705","10705","0","9982.5","9982.5","101","10150400","50"
"2019","Administrative Services","Risk Management","Health Benefits","Personnel Cost","18360","18360","0","18187.5","18187.5","309","30922200","22"
"2021","Public Works","Graffiti Abatement","Repair-Maint","Operations/Maintenance","4140","4140","0","0","0","101","10160250","60"
"2019","Public Works","Public Works Admin","Pension Expenses","Personnel Cost","105024","105024","0","125210.88","125210.88","101","10160100","60"
"2020","Public Works","Electrical Maintenance","Equip Amort.","Operations/Maintenance","99844","99844","0","99844","99844","101","10160240","60"
"2020","Comm Improve Programs","Administration","Office Supp&Exp","Operations/Maintenance","28400","29100","0","16803.2","16803.2","475","47555100","55"
"2019","Parks Recreation & Comm Svs","RSVP","Other","Personnel Cost","1989","1989","0","247.17","247.17","101","10130430","30"
"2019","Transportation","Transportation Admin","Health Benefits","Personnel Cost","119488","119488","0","106094.75","106094.75","203","20370100","70"
"2019","Community Development","Redevelopment","Payroll Taxes","Personnel Cost","0","0","0","96.6","96.6","101","10150300","50"
"2020","City Clerk","City Clerk","Office Supp&Exp","Operations/Maintenance","0","0","0","0","0","101","10111100","11"
"2021","Public Works","Wastewater Maintenance","Sal/Spc Comp/OT","Personnel Cost","1069630","1069630","0","570580.3","570580.3","204","20460300","60"
"2020","Public Works","Graffiti Abatement","Other O&M","Operations/Maintenance","2730","2730","0","1389.62","1389.62","101","10160250","60"
"2014","Parks Recreation & Comm Svs","Disability","Pension Expenses","Personnel Cost","3582","3582","0","0","0","427","42730440","30"
"2020","Finance","Treasury","Equip Amort.","Operations/Maintenance","72","72","0","72","72","101","10114400","14"
"2019","Information Technology","Information Technology","Health Benefits","Personnel Cost","19976","19976","0","19840.25","19840.25","412","41224100","24"
"2019","Community Development","Community Development Admin","Payroll Taxes","Personnel Cost","20179","20179","0","19690.67","19690.67","101","10150100","50"
"2017","Police","AB 109-PublicSafetyRealignment","Other O&M","Operations/Maintenance","0","0","0","0","0","414","41440919","40"
"2023","Public Works","Environmental Programs/Ops","Workers Comp","Personnel Cost","0","0","0","-750.33","-750.33","101","10160460","60"
"2020","Finance","Treasury","Repair-Maint","Operations/Maintenance","5500","5500","0","512","512","101","10114400","14"
"2019","Community Development","Enforcement Services","Other","Personnel Cost","24290","24290","0","19076.89","19076.89","101","10150250","50"
"2022","Community Development","Enforcement Services","Other O&M","Operations/Maintenance","3000","3000","619.3","989.35","1608.65","101","10150250","50"
"2019","Police","Operating Bureaus","Health Benefits","Personnel Cost","1975482","1975482","0","1809916","1809916","101","10140200","40"
"2021","Projects","Projects","Contract Services","Operations/Maintenance","1183866","1183866","0","0","0","423","42380000","CP"
"2019","Information Technology","IT Public Safety","Pension Expenses","Personnel Cost","61359","61359","0","45635.1","45635.1","101","10124300","24"
"2023","Finance","Treasury","Workers Comp","Personnel Cost","0","0","0","-3036.67","-3036.67","101","10114400","14"
"2020","Finance","General Accounting","Liability Reserve","Operations/Maintenance","10938","10938","0","10938","10938","101","10114200","14"
"2019","Finance","Purchasing","Sal/Spc Comp/OT","Personnel Cost","145666","145666","0","152699.29","152699.29","203","20314500","14"
"2019","Finance","Finance Administration","Pension Expenses","Personnel Cost","145693","145693","0","131233.8","131233.8","101","10114100","14"
"2019","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Health Benefits","Personnel Cost","22620","22620","0","15459.25","15459.25","101","10130220","30"
"2023","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Contract Services","Operations/Maintenance","0","0","20241.72","5897.5","26139.22","101","10130220","30"
"2021","Police","Operating Bureaus","Cap-Rolling Stock","Capital/Other","0","71161.9","0","71161.9","71161.9","101","10140200","40"
"2019","Fire","Emergency Preparedness","Pension Expenses","Personnel Cost","34694","34694","0","33808.41","33808.41","101","10145400","45"
"2019","Public Works","Maintenance Operations","Health Benefits","Personnel Cost","29156","29156","0","24983.5","24983.5","101","10160200","60"
"2020","Finance","Purchasing","Equip Amort.","Operations/Maintenance","2278","2278","0","2278","2278","101","10114500","14"
"2020","Public Works","Environmental Programs/Ops","Liability Reserve","Operations/Maintenance","4367","4367","0","4367","4367","101","10160460","60"
"2023","Public Works","Refuse Collection - Admin","Capital","Capital/Other","0","0","219070.15","0","219070.15","202","20260400","60"
"2022","Projects","Projects","Contract Services","Operations/Maintenance","0","176077.05","0","0","0","434","43480000","CP"
"2022","Transportation","Bus Stop Furnishings (P)","Capital","Capital/Other","0","91914","88929","0","88929","203","20370309","70"
"2019","Community Development","Redevelopment","Pension Expenses","Personnel Cost","0","0","0","121.7","121.7","101","10150300","50"
"2019","Public Works","Environmental Programs/Ops","Public Notices/Ad","Operations/Maintenance","0","3000","0","1891.84","1891.84","101","10160460","60"
"2019","Information Technology","Graphic Services","Health Benefits","Personnel Cost","19976","19976","0","19840.25","19840.25","101","10124200","24"
"2020","Administrative Services","Human Resources","Office Supp&Exp","Operations/Maintenance","13070","13872.8","0","12905.73","12905.73","101","10122100","22"
"2023","Parks Recreation & Comm Svs","Culver City After School Progr","Workers Comp","Personnel Cost","0","0","0","-1581.58","-1581.58","101","10130233","30"
"2019","Public Works","Streets","Pension Expenses","Personnel Cost","210842","210842","0","193778.83","193778.83","101","10160210","60"
"2021","Non-Departmental","Landscape Maint Dist #1","Contract Services","Operations/Maintenance","19827","19827","0","0","0","425","42516543","16"
"2020","Parks Recreation & Comm Svs","Youth Mentoring Program","Payroll Taxes","Personnel Cost","1294","1294","0","274.64","274.64","101","10130270","30"
"2020","Public Works","Refuse Collection - Admin","Equip Amort.","Operations/Maintenance","838192","838192","0","838192","838192","202","20260400","60"
"2020","Police","Office of the Chief","Liability Reserve","Operations/Maintenance","40348","40348","0","40348","40348","101","10140100","40"
"2019","Community Development","Community Development Admin","Sal/Spc Comp/OT","Personnel Cost","353543","353543","0","340612.15","340612.15","101","10150100","50"
"2020","Public Works","Electrical Maintenance","Liability Reserve","Operations/Maintenance","28051","28051","0","28051","28051","101","10160240","60"
"2019","Community Development","Enforcement Services","Health Benefits","Personnel Cost","97162","97162","0","96443.5","96443.5","101","10150250","50"
"2023","Administrative Services","Human Resources","Workers Comp","Personnel Cost","0","0","0","-3697.67","-3697.67","101","10122100","22"
"2019","Information Technology","IT Public Safety","Sal/Spc Comp/OT","Personnel Cost","281352","281352","0","112718.94","112718.94","101","10124300","24"
"2013","Information Technology","Graphic Services","Travel/Trng/Dues","Operations/Maintenance","1174","1174","0","0","0","101","10124200","24"
"2020","Public Works","Graffiti Abatement","Liability Reserve","Operations/Maintenance","6983","6983","0","6983","6983","101","10160250","60"
"2019","Administrative Services","Art Fund","Pension Expenses","Personnel Cost","4930","4930","0","4407.94","4407.94","413","41322400","22"
"2020","Community Development","Economic Development","Liability Reserve","Operations/Maintenance","14877","14877","0","14877","14877","101","10150120","50"
"2019","Finance","Purchasing","Other","Personnel Cost","1391","1391","0","1347.85","1347.85","202","20214500","14"
"2021","Fire","Community Risk Reduction","Office Supp&Exp","Operations/Maintenance","8779","10779","0","10712.01","10712.01","101","10145600","45"
"2019","Police","Office of the Chief","Health Benefits","Personnel Cost","45166","45166","0","39702","39702","101","10140100","40"
"2019","Administrative Services","Human Resources","Pension Expenses","Personnel Cost","167622","167622","0","166388.35","166388.35","101","10122100","22"
"2019","Fire","Office of the Chief","Other","Personnel Cost","22208","22208","0","23442.53","23442.53","101","10145100","45"
"2019","Administrative Services","Human Resources","Health Benefits","Personnel Cost","90332","90332","0","90714.25","90714.25","101","10122100","22"
"2012","Comm Improve Programs","Ivy Substation/Media Park","Office Supp&Exp","Operations/Maintenance","4000","4000","0","0","0","481","48155440","55"
"2020","Public Works","Tree Maintenance","Equip Amort.","Operations/Maintenance","9926","9926","0","9926","9926","101","10160220","60"
"2019","Community Development","Enforcement Services","Sal/Spc Comp/OT","Personnel Cost","529668","551668","0","533395.02","533395.02","101","10150250","50"
"2019","Public Works","Maintenance Operations","Pension Expenses","Personnel Cost","59288","59288","0","58809.12","58809.12","101","10160200","60"
"2019","Information Technology","Information Technology","Pension Expenses","Personnel Cost","23974","23974","0","23637.23","23637.23","412","41224100","24"
"2019","Parks Recreation & Comm Svs","Community Events & Excursions","Sal/Spc Comp/OT","Personnel Cost","15964","25964","0","27020.43","27020.43","101","10130280","30"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Payroll Taxes","Personnel Cost","16374","16374","0","15411.72","15411.72","101","10130110","30"
"2019","Public Works","Transfer Station - Admin","Depreciation","Operations/Maintenance","514980","514980","0","238384.85","238384.85","202","20260410","60"
"2019","Finance","General Accounting","Health Benefits","Personnel Cost","59560","59560","0","52264.75","52264.75","101","10114200","14"
"2019","Police","Office of the Chief","Other","Personnel Cost","14790","14790","0","14467.89","14467.89","101","10140100","40"
"2019","Fire","Communications","Health Benefits","Personnel Cost","45166","45166","0","33317.75","33317.75","101","10145700","45"
"2021","Fire","Emergency Medical Services","Office Supp&Exp","Operations/Maintenance","163104","90083.89","0","89405.03","89405.03","101","10145300","45"
"2019","Parks Recreation & Comm Svs","Senior Nutrition - CI","Pension Expenses","Personnel Cost","24151","20551","0","19964.71","19964.71","414","41430410","30"
"2022","Administrative Services","City Clerk","Sal/Spc Comp/OT","Personnel Cost","343653","343653","6656","389471.35","396127.35","101","10122300","22"
"2019","Public Works","Building Maintenance","Pension Expenses","Personnel Cost","189528","189528","0","171825.53","171825.53","101","10160230","60"
"2020","Projects","Projects","Capital","Capital/Other","14312610.96","9112376.4","0","2160551.38","2160551.38","420","42080000","CP"
"2020","Community Development","Neighborhood Preservation","Equip Amort.","Operations/Maintenance","3584","3584","0","3584","3584","101","10150500","50"
"2020","Transportation","Equipment Maintenance","Retiree Medical P","Personnel Cost","178420","178420","0","174893.31","174893.31","308","30870400","70"
"2013","Public Works","Transfer Station - Admin","Travel/Trng/Dues","Operations/Maintenance","197","197","0","0","0","202","20260410","60"
"2014","Public Works","Wastewater Maintenance","Ins Premiums","Operations/Maintenance","7680","7680","0","0","0","204","20460300","60"
"2020","Fire","Communications","Retiree Medical P","Personnel Cost","3980","3980","0","4017.13","4017.13","101","10145700","45"
"2019","Administrative Services","Human Resources","Payroll Taxes","Personnel Cost","52443","52443","0","52906.97","52906.97","101","10122100","22"
"2019","Public Works","Wastewater Maintenance","Health Benefits","Personnel Cost","124702","124702","0","89162.5","89162.5","204","20460300","60"
"2021","Public Works","Graffiti Abatement","Equip Maint Chgs","Operations/Maintenance","7075","7075","0","6252.95","6252.95","101","10160250","60"
"2019","Finance","Finance Administration","Health Benefits","Personnel Cost","49132","49132","0","38716.25","38716.25","101","10114100","14"
"2019","Public Works","Equipment Replacement","Depreciation","Operations/Maintenance","0","0","0","1538670.72","1538670.72","307","30764500","60"
"2019","Finance","Purchasing","Health Benefits","Personnel Cost","25190","25190","0","24983.5","24983.5","203","20314500","14"
"2019","Transportation","Bus Wash Replacement Project","Capital","Capital/Other","0","496000","0","0","0","203","20370311","70"
"2014","Projects","Projects","Cost Allocation","Operations/Maintenance","0","0","0","0","0","420","42080000","CP"
"2020","Parks Recreation & Comm Svs","Camp Programs","Liability Reserve","Operations/Maintenance","4502","4502","0","4502","4502","101","10130212","30"
"2019","Police","COPS/SLESF/Brulte","Payroll Taxes","Personnel Cost","4620","4620","0","5472.22","5472.22","414","41440230","40"
"2019","Administrative Services","Employee Disability (IOD)","Sal/Spc Comp/OT","Personnel Cost","480000","480000","0","672441.07","672441.07","309","30922210","22"
"2019","Police","COPS/SLESF/Brulte","Pension Expenses","Personnel Cost","14025","14025","0","14209.1","14209.1","414","41440230","40"
"2020","Transportation","Equipment Maintenance","Office Supp&Exp","Operations/Maintenance","228829","229668","0","180829.11","180829.11","308","30870400","70"
"2019","Finance","Finance Administration","Payroll Taxes","Personnel Cost","34495","34495","0","32785.28","32785.28","101","10114100","14"
"2014","Transportation","Para Transit Services","Travel/Trng/Dues","Operations/Maintenance","3000","3000","0","0","0","414","41470420","70"
"2019","Community Development","Current Planning","Pension Expenses","Personnel Cost","154927","154927","0","150403.95","150403.95","101","10150200","50"
"2020","Finance","Finance Administration","Retiree Medical P","Personnel Cost","36670","36670","0","32914.61","32914.61","101","10114100","14"
"2020","Information Technology","Information Technology","Retiree Medical P","Personnel Cost","35320","35320","0","42011.29","42011.29","101","10124100","24"
"2019","City Attorney","City Attorney","Pension Expenses","Personnel Cost","213542","213542","0","211322.28","211322.28","101","10113100","13"
"2019","Administrative Services","City Clerk","Health Benefits","Personnel Cost","36720","36720","0","38958.25","38958.25","101","10122300","22"
"2021","Transportation","Transportation Operations","Other","Personnel Cost","322567","315067","0","246919.03","246919.03","203","20370200","70"
"2019","Public Works","CicLAvia - Open Streets 2018","Contract Services","Operations/Maintenance","0","300000","0","180000","180000","414","41460912","60"
"2019","Projects","Projects","Other O&M","Operations/Maintenance","0","0","0","-502272.9","-502272.9","205","20580000","CP"
"2019","Community Development","Building Safety","Pension Expenses","Personnel Cost","231356","231356","0","205013.14","205013.14","101","10150150","50"
"2021","Community Development","Enforcement Services","Equip Maint Chgs","Operations/Maintenance","15689","15689","0","17216.41","17216.41","101","10150250","50"
"2020","Public Works","Refuse Collection - Admin","Cost Allocation","Operations/Maintenance","1969421","1969421","0","1969421","1969421","202","20260400","60"
"2019","Transportation","Para Transit Services","Pension Expenses","Personnel Cost","25419","25419","0","23379.62","23379.62","411","41170420","70"
"2019","Public Works","Streets","Health Benefits","Personnel Cost","190212","190212","0","172504.75","172504.75","101","10160210","60"
"2019","Public Works","Engineering","Health Benefits","Personnel Cost","126318","126318","0","120306.5","120306.5","101","10160150","60"
"2023","Community Development","Neighborhood Preservation","Other O&M","Operations/Maintenance","0","60000","0","0","0","476","47650760","50"
"2020","Community Development","Building Safety","Liability Reserve","Operations/Maintenance","20843","20843","0","20843","20843","101","10150150","50"
"2020","Parks Recreation & Comm Svs","Parks Division","Equip Amort.","Operations/Maintenance","54957","54957","0","54957","54957","101","10130300","30"
"2020","Public Works","Wastewater Maintenance","Retiree Medical P","Personnel Cost","12000","12000","0","29529.89","29529.89","204","20460300","60"
"2021","Fire","Fire - SAFER Grant","Sal/Spc Comp/OT","Personnel Cost","0","0","0","329244.12","329244.12","414","41445909","45"
"2021","Community Development","CDBG Emergency Rental Assist","Other O&M","Operations/Maintenance","0","0","0","25674","25674","427","42750720","50"
"2019","Finance","Treasury","Payroll Taxes","Personnel Cost","65663","65663","0","45770.65","45770.65","101","10114400","14"
"2019","Public Works","Streets","Payroll Taxes","Personnel Cost","73157","73157","0","64772.02","64772.02","101","10160210","60"
"2012","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Repair-Maint","Operations/Maintenance","1000","1000","0","0","0","101","10130211","30"
"2020","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Retiree Medical P","Personnel Cost","7950","7950","0","11047.94","11047.94","101","10130110","30"
"2020","Police","Operating Bureaus","Equip Amort.","Operations/Maintenance","216567","216567","0","216567","216567","101","10140200","40"
"2019","Transportation","Para Transit Services","Payroll Taxes","Personnel Cost","8811","8811","0","8038.57","8038.57","411","41170420","70"
"2021","Information Technology","Municipal Fiber Network Ops","Other","Capital/Other","243540","243540","0","0","0","205","20524500","24"
"2019","Public Works","Graffiti Abatement","Payroll Taxes","Personnel Cost","14982","14982","0","15027.97","15027.97","101","10160250","60"
"2020","Parks Recreation & Comm Svs","Youth Mentoring Program","Sal/Spc Comp/OT","Personnel Cost","16900","16900","0","18937","18937","101","10130270","30"
"2023","Projects","Projects","Capital","Capital/Other","202505","202505","4755219.02","15259088.64","20014307.66","423","42380000","CP"
"2023","Public Works","Public Works Admin","Contract Services","Operations/Maintenance","0","0","27490","0","27490","101","10160100","60"
"2019","Fire","Emergency Preparedness","Other","Personnel Cost","7975","7975","0","7893.48","7893.48","101","10145400","45"
"2019","Community Development","Neighborhood Preservation","Health Benefits","Personnel Cost","56641","56641","0","51105","51105","101","10150500","50"
"2020","Information Technology","Graphic Services","Retiree Medical P","Personnel Cost","16390","16390","0","16586.61","16586.61","101","10124200","24"
"2019","City Attorney","City Attorney - Risk Mgt","Payroll Taxes","Personnel Cost","10687","10687","0","3513.18","3513.18","309","30913400","13"
"2019","City Attorney","City Attorney","Payroll Taxes","Personnel Cost","54312","54312","0","56293.1","56293.1","101","10113100","13"
"2020","Fire","Fire Suppression","Retiree Medical P","Personnel Cost","743580","743580","0","745453","745453","101","10145200","45"
"2019","Information Technology","IT Public Safety","Other","Personnel Cost","8225","8225","0","3178.25","3178.25","101","10124300","24"
"2019","City Attorney","City Attorney","Health Benefits","Personnel Cost","74891","74891","0","15889.75","15889.75","101","10113100","13"
"2022","Projects","Projects","Cap-Rolling Stock","Capital/Other","6980070","7493385","511112.15","294648.12","805760.27","203","20380000","CP"
"2019","Police","Operating Bureaus","Payroll Taxes","Personnel Cost","392838","392838","0","431495.14","431495.14","101","10140200","40"
"2019","Police","Office of the Chief","Payroll Taxes","Personnel Cost","8678","8678","0","9366.23","9366.23","101","10140100","40"
"2020","Non-Departmental","Non-Departmental","Office Supp&Exp","Operations/Maintenance","2315000","2504967.73","0","2626720.83","2626720.83","101","10116100","16"
"2019","Community Development","Enforcement Services","Pension Expenses","Personnel Cost","120298","120298","0","116954.01","116954.01","101","10150250","50"
"2020","Finance","Treasury","Liability Reserve","Operations/Maintenance","17957","17957","0","17957","17957","101","10114400","14"
"2019","Public Works","Wastewater Maintenance","Payroll Taxes","Personnel Cost","81513","81513","0","53516.63","53516.63","204","20460300","60"
"2019","Parks Recreation & Comm Svs","Parks Division","Health Benefits","Personnel Cost","268794","268794","0","255975.5","255975.5","101","10130300","30"
"2019","Transportation","Transportation Operations","Health Benefits","Personnel Cost","2150414","2150414","0","1586297","1586297","203","20370200","70"
"2020","Administration","City Council","Retiree Medical P","Personnel Cost","49390","49390","0","48058.64","48058.64","101","10110000","10"
"2020","Community Development","Enforcement Services","Equip Amort.","Operations/Maintenance","7969","7969","0","7969","7969","101","10150250","50"
"2019","Public Works","Tree Maintenance","Health Benefits","Personnel Cost","39952","39952","0","39680.5","39680.5","101","10160220","60"
"2019","Transportation","Equipment Maintenance","Health Benefits","Personnel Cost","598542","598542","0","563492.75","563492.75","308","30870400","70"
"2020","Transportation","Equipment Maintenance","Equip Amort.","Operations/Maintenance","16011","16011","0","16011","16011","308","30870400","70"
"2020","Parks Recreation & Comm Svs","Youth Mentoring Program","Liability Reserve","Operations/Maintenance","308","308","0","308","308","101","10130270","30"
"2019","Administrative Services","City Clerk","Pension Expenses","Personnel Cost","78286","78286","0","78043.61","78043.61","101","10122300","22"
"2019","Finance","Budget & Accounting Operations","Capital","Capital/Other","0","1250","0","1244.63","1244.63","101","10114300","14"
"2022","Public Works","Transfer Station - Admin","Repair-Maint","Operations/Maintenance","79997","111745.01","5332.22","88757.14","94089.36","202","20260410","60"
"2021","Public Works","Recycling","Capital","Capital/Other","0","0","0","10152","10152","414","41460905","60"
"2023","Projects","Projects","Capital","Capital/Other","0","302067","63223.59","0","63223.59","431","43180000","CP"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Liability Reserve","Operations/Maintenance","11842","11842","0","11842","11842","101","10130400","30"
"2020","Fire","Community Risk Reduction","Equip Amort.","Operations/Maintenance","26471","26471","0","26471","26471","101","10145600","45"
"2023","Non-Departmental","Non-Departmental","Transfers","Transfers","0","400000","0","0","0","418","41816100","16"
"2023","Police","Operating Bureaus","Repair-Maint","Operations/Maintenance","0","0","30125.21","7721.45","37846.66","101","10140200","40"
"2023","Parks Recreation & Comm Svs","Parks Division","Sal/Spc Comp/OT","Personnel Cost","0","0","150000","151566.11","301566.11","101","10130300","30"
"2022","Public Works","Transfer Station - Admin","Other O&M","Operations/Maintenance","5138593","5005401.79","7050.96","4318959.56","4326010.52","202","20260410","60"
"2019","Parks Recreation & Comm Svs","Camp Programs","Payroll Taxes","Personnel Cost","16399","16399","0","3238.79","3238.79","101","10130212","30"
"2019","Transportation","Equipment Maintenance","Depreciation","Operations/Maintenance","0","0","0","22246","22246","308","30870400","70"
"2020","Public Works","Parking Meters","Liability Reserve","Operations/Maintenance","1768","1768","0","1768","1768","101","10160260","60"
"2019","Transportation","Transportation Admin","Other O&M","Operations/Maintenance","9799","9799","0","-525364.88","-525364.88","203","20370100","70"
"2019","Public Works","Parking Meters","Pension Expenses","Personnel Cost","32210","32210","0","31369.18","31369.18","101","10160260","60"
"2023","Finance","Budget & Accounting Operations","Other","Personnel Cost","0","0","0","5172.5","5172.5","101","10114300","14"
"2020","Public Works","Hyperion Plant Debt Service","Other","Capital/Other","1585650","1585650","0","931072.26","931072.26","204","20460310","60"
"2019","Finance","Budget & Accounting Operations","Health Benefits","Personnel Cost","83502","83502","0","82851.5","82851.5","101","10114300","14"
"2023","Public Works","Building Maintenance","Workers Comp","Personnel Cost","0","0","0","-7513.25","-7513.25","101","10160230","60"
"2019","Public Works","Tree Maintenance","Pension Expenses","Personnel Cost","32928","32928","0","31992.04","31992.04","101","10160220","60"
"2023","Projects","Projects","Capital","Capital/Other","0","0","746.8","0","746.8","435","43580000","CP"
"2019","Parks Recreation & Comm Svs","Recreation Division","Health Benefits","Personnel Cost","83502","83502","0","69435.75","69435.75","101","10130200","30"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Pension Expenses","Personnel Cost","32477","32477","0","36397.14","36397.14","101","10130110","30"
"2020","Community Development","Current Planning","Contract Services","Operations/Maintenance","857673","965874.56","0","191727.69","191727.69","101","10150200","50"
"2013","Finance","Budget & Accounting Operations","Repair-Maint","Operations/Maintenance","200","200","0","0","0","101","10114300","14"
"2019","Administrative Services","Cultural Affairs-Art Fund","Health Benefits","Personnel Cost","16010","16010","0","15702.25","15702.25","101","10122400","22"
"2020","Public Works","Electrical Maintenance","Other O&M","Operations/Maintenance","4300","16076","0","5672.71","5672.71","101","10160240","60"
"2019","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Sal/Spc Comp/OT","Personnel Cost","495502","495502","0","596465.46","596465.46","101","10130220","30"
"2019","Public Works","Graffiti Abatement","Sal/Spc Comp/OT","Personnel Cost","192860","192860","0","184636.01","184636.01","101","10160250","60"
"2019","Finance","Treasury","Other","Personnel Cost","32685","32685","0","25663.68","25663.68","101","10114400","14"
"2019","Public Works","Environmental Programs/Ops","Pension Expenses","Personnel Cost","11386","11386","0","17393.19","17393.19","101","10160460","60"
"2019","Transportation","Transportation Operations","Pension Expenses","Personnel Cost","2014188","2014188","0","1798096.04","1798096.04","203","20370200","70"
