"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"RIseBoro Community Partnership","565 Bushwick Ave","Brooklyn","NY","11206","2019","152","124","28","0","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Legal services, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.699023","-73.935359","304","34","391","3071908","3031510012","Bushwick South"
"Riverside Park Conservancy","475 Riverside Drive, Suite 455","New York","NY","10115","2019","6000","0","0","0","Community-based organization","Advocacy and organizing, Environment and sustainability","Low-income populations","MN","MANHATTAN","40.811101","-73.964168","109","7","205",,,"Morningside Heights"
"Rockaway Initiative for Sustainability and Equity (formerly Rockaway Waterfront Alliance)","58-03 Rockaway Beach Blvd","Queens","NY","11692","2019","500","200","300","0","Community-based organization","Children and youth related, Environment and sustainability","Low-income populations, Youth (17 or under)","QN","QUEENS","40.592098","-73.78784","414","31","97202","4302052","4159260044","Hammels-Arverne-Edgemere"
"RSS - Riverdale Senior Services","2600 Netherland Ave.","The Bronx","NY","10463","2019","122","11","9","101","Senior Services","Advocacy and organizing, Arts and culture, Emergency management and disaster response, Health and medicine, Senior Services, Women's issues","Older adults (60 or older)","MN, BX","BRONX","40.878744","-73.915679","208","11","29302","2083247","2057220475","Spuyten Duyvil-Kingsbridge"
"Safe Families For Children","PO BOX 380439","Brooklyn","NY","11238","2019","88","0","83","5","Community-based organization","Children and youth related, Faith-based, Homeless and shelter, Immigrants and/or refugees, Strengthening isolated families","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under), families","All Boroughs",,,,,,,,,
"Safe Horizon","2 Lafayette Street, 3rd Floor","New York","NY","10007","2019","112","2","110","0","Community-based organization","Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, Women's issues, Victim Services","Any victim of crime and abuse","All Boroughs","MANHATTAN","40.713723","-74.003586","101","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy"
"Safe Passage Project","185 W Broadway","New York","NY","10013","2019","495","0","0","0","Legal services","Children and youth related, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services","Immigrants and/or refugees, Unaccompanied minors ages 21 or under","All Boroughs","MANHATTAN","40.718175","-74.007114","101","1","33","1001967","1001760018","SoHo-TriBeCa-Civic Center-Little Italy"
"SAGE","305 Seventh Avenue, 15th fl","New York","NY","10001","2019","1270","0","0","0","Community-based organization","Advocacy and organizing, LGBTQIA+, Senior Services","LGBTQIA+, Older adults (60 or older)","All Boroughs","MANHATTAN","40.746817","-73.993655","105","3","95","1015060","1008037502","Midtown-Midtown South"
"SAGE - Advocacy and Services for LBGT Elders","305 7th Avenue, 15th Floor","New York","NY","10001","2019","1020","8","892","120","Community-based organization","LGBTQIA+, Senior Services","LGBTQIA+, Older adults (60 or older)","BK, MN, SI, BX","MANHATTAN","40.746817","-73.993655","105","3","95","1015060","1008037502","Midtown-Midtown South"
"Samuel Field YM - YWHA dba Commonpoint Queens","58-20 Little Neck Parkway","Little Neck","NY","11362","2019","636","0","0","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Human services, Legal services, People with disabilities, Senior Services","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","QN","QUEENS","40.761577","-73.723122","411","23","152902","4173029","4083520051","Douglas Manor-Douglaston-Little Neck"
"SCAN - Harbor","345 East 102nd Street","New York","NY","10029","2019","340","0","300","40","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human services, Immigrants and/or refugees, LGBTQIA+","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","MN, BX","MANHATTAN","40.787394","-73.942709","111","8","164","1086440","1016747501","East Harlem South"
"SCORE - Staten Island","950 W. Fingerboard Rd.","Staten Island","NY","10305","2019","20","0","5","15","Community-based organization","Small Business Development","Low-income populations, aspiring entrepreneurs","SI","STATEN IS","40.601118","-74.087583","502","50","9601","5047048","5031970001","Old Town-Dongan Hills-South Beach"
"Seamens Society for Children and Families","50 Bay street","Staten Island","NY","10301","2019","10","0","0","0","Community-based organization","Children and youth related","Immigrants and/or refugees, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)","SI","STATEN IS","40.640901","-74.075766","501","49","3","5000034","5000050099","West New Brighton-New Brighton-St. George"
"Search and Care","1844 Second Avenue","New York","NY","10128","2019","177","14","61","102","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.783785","-73.94741","108","5","15601","1087822","1015580003","Yorkville"
"Selfhelp Austin Street Senior Center","106-06 Queens Blvd.","Forest Hills","NY","11375","2019","96","5","1","96","Community-based organization","Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities","QN","QUEENS","40.72212","-73.847335","406","29","711","4077479","4032370040","Forest Hills"
"Selfhelp Big Six Towers NORC Program","59-55 47th Avenue, 2G","Woodside","NY","11377","2019","13","0","0","13","Community-based organization","Senior Services","Older adults (60 or older)","QN","QUEENS","40.739932","-73.904419","402","26","245","4432198","4023140001","Woodside"
"Selfhelp Community Services -  Virtual Senior Center","138-52 Elder Avenue","Flushing","NY","11355","2019","239","0","170","69","Community-based organization","Senior Services","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK, MN, BX, QN","QUEENS","40.752073","-73.823828","407","20","845","4116411","4051450049","Flushing"
"Selfhelp Community Services, Inc. - Holocaust Survivor Program","520 8th Avenue, 5th Floor","New York","NY","10018","2019","491","0","0","0","Community-based organization","Senior Services, Holocaust Survivors","Older adults (60 or older), Holocaust survivors","BK, MN, BX, QN","MANHATTAN","40.753612","-73.992417","105","3","109","1083624","1007860001","Midtown-Midtown South"
"Selfhelp Innovative Senior Center","4525 Kissena Blvd","Flushing","NY","11355","2019","133","0","0","133","Community-based organization","Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older)","QN","QUEENS","40.751765","-73.820331","407","20","1205","4117390","4052000052","East Flushing"
"Selfhelp Latimer Gardens Senior Center","34-30 137th Street","Flushing","NY","11355","2019","21","0","8","13","Community-based organization","Senior Services","Older adults (60 or older)","QN","QUEENS","40.766044","-73.829935","407","20","88901","4443410","4049510008","Flushing"
"Selfhelp NORC Northridge","33-45 90th Street","Jackson Heights","NY","11372","2019","25","0","2","23","Community-based organization","Senior Services","Older adults (60 or older)","QN","QUEENS","40.75489","-73.877655","403","25","277","4431400","4014380001","Jackson Heights"
"Selfhelp Queens North Friendly Visiting Program","45-25 Kissena Boulevard","Flushing","NY","11355","2019","48","0","35","13","Community-based organization","Health and medicine, Human rights, Human services, Immigrants and/or refugees, People with disabilities, Senior Services","Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","QN","QUEENS","40.751765","-73.820331","407","20","1205","4117390","4052000052","East Flushing"
"Selfhlp Clearview Senior Center","208-11 26th Avenue","Bayside","NY","11360","2019","75","0","30","45","Community-based organization","Senior Services","Older adults (60 or older)","QN","QUEENS","40.776381","-73.783798","407","19","99704","4130866","4058630250","Ft. Totten-Bay Terrace-Clearview"
"Senior Citizens League of Flatbush","1625 Ocean Avenue","Brooklyn","NY","11230","2019","121","5","0","116","Senior Center","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.622341","-73.955743","314","45","760","3208316","3076200025","Midwood"
"Sephardic Multi Service Senior Center","485 kings hwy","Brooklyn","NY","11223","2019","15","0","0","15","Community-based organization","Advocacy and organizing, Arts and culture, Education and literacy, Emergency management and disaster response, Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.604258","-73.971654","315","44","422","3177186","3066580048","Homecrest"
"Services for the UnderServed (S:US)","463 Seventh Avenue","New York","NY","10018","2019","360","0","0","0","Community-based organization","Employment and workforce development, Health and medicine, Homeless and shelter, Human services, People with disabilities","Homeless, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.751749","-73.990057","105","3","109","1015222","1008110001","Midtown-Midtown South"
"Services Now for Adult Person, Inc. (SNAP, Inc.)","SNAP inc, 80-45 Winchester Blvd. bldg 4  CBU 29","Queens Village","NY","11427","2019","100","1","52","47","Community-based organization","Senior Services","Older adults (60 or older)","QN",,,,,,,,,
"Shalom Task Force","500 7th Avenue, 18th Floor","New York","NY","10018","2019","100","0","60","40","Community-based organization","Human rights, Human services, Women's issues","Women, Youth (17 or under), Victims of Intimate Partner Violence of all ages, genders, and backgrounds","All Boroughs","MANHATTAN","40.752992","-73.989186","105","3","109","1014459","1007870040","Midtown-Midtown South"
"Sing for Hope","575 8th Ave, Suite 1812","New York","NY","10018","2019","856","10","839","7","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Health and medicine, Immigrants and/or refugees, People with disabilities, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.754952","-73.991467","104","3","115","1013644","1007620033","Clinton"
"Snap Brookville Neighborhood Senior Center","133-33 BROOKVILLE BLVD, ROOM LL5","Rosedale","NY","11422","2019","55","3","35","17","Community-based organization, NON-PROFIT","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Environment and sustainability, Health and medicine, Human services, Immigrants and/or refugees, Legal services, People with disabilities, Senior Services","Older adults (60 or older)","QN","QUEENS","40.674396","-73.732749","413","31","61602","4279577","4129800001","Rosedale"
"Snug Harbor Cultural Center & Botanical Garden","1000 Richmond Terrace, Building P.","Staten Island","NY","10301","2019","222","11","0","0","Cultural Center & Botanical Garden","Arts and culture, Education and literacy, Environment and sustainability","All are welcome","All Boroughs","STATEN IS","40.645232","-74.104674","501","49","97","5000000","5000760200","West New Brighton-New Brighton-St. George"
"South Asian Councial for Social Services, Inc.","14306 45TH AVE","Flushing","NY","11355","2019","20","5","13","2","Community-based organization","Civic engagement (voting, voter registration), Health and medicine, Human services, Immigrants and/or refugees, Senior Services, Food Security","Immigrants and/or refugees, Low-income populations","QN","QUEENS","40.753911","-73.818268","407","20","1205","4117452","4052030003","East Flushing"
"South Beach Civic Association","24 Cambria Street","staten Island","NY","10305","2019","54","0","44","10","Community-based organization, Volunteer-led group, Quality of life issues","Advocacy and organizing, Animals, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Faith-based, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","SI","STATEN IS","40.593927","-74.070819","502","50","70","5048250","5032810059","Old Town-Dongan Hills-South Beach"
"South Bronx Overall Economic Development Corporation","555 Bergen Ave","The Bronx","NY","10455","2019","15","5","10","0","Community-based organization","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Homeless and shelter, Human services, LGBTQIA+","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","MN, BX","BRONX","40.815959","-73.916354","201","17","71","2097027","2022940002","Melrose South-Mott Haven North"
"South Bronx United","192 E 151st Street, 5th FL","The Bronx","NY","10451","2019","313","0","0","0","Community-based organization","Children and youth related, Education and literacy, Immigrants and/or refugees","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","MN, BX","BRONX","40.820484","-73.927032","204","8","63","2001065","2023480005","West Concourse"
"Southside United Housing Development Fund Corporation","434 South 5th Street","Brooklyn","NY","11211","2019","100","15","15","70","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Employment and workforce development, Environment and sustainability, Human rights, Human services, Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older)","BK","BROOKLYN","40.707016","-73.951506","301","34","527","3321351","3024650006","North Side-South Side"
"Spanish Speaking Elderly Council-RAICES","460 Atlantic Avenue","Brooklyn","NY","11217","2019","40","1","1","38","Community-based organization","Senior Services","Low-income populations, Older adults (60 or older)","BK, QN","BROOKLYN","40.686296","-73.983223","302","33","41","3000937","3001840025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"St. John's Bread and Life Program, Inc.","795 Lexington Avenue","Brooklyn","NY","11221","2019","182","0","0","0","Community-based organization","Emergency Food and Social Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities","BK, QN","BROOKLYN","40.690209","-73.92901","303","36","387","3044164","3016220060","Stuyvesant Heights"
"St. Mary's Hospital for Children","29-01 216th Street","Bayside","NY","11360","2019","260","131","84","45","Hospital","Children and youth related, Health and medicine","Youth (17 or under)","All Boroughs","QUEENS","40.776437","-73.770182","411","19","1093","4134830","4060590001","Bayside-Bayside Hills"
"Stanley M. Isaacs Neighborhood Center","415 East 93rd Street","New York","NY","10128","2019","2505","0","0","54","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.780904","-73.945112","108","5","152","1082367","1015730001","Yorkville"
"Staten Island Children's Museum","1000 Richmond Terrace","Staten Island","NY","10301","2019","90","47","38","5","Cultural Non-Profit","Arts and culture, Children and youth related","Youth (17 or under)","SI","STATEN IS","40.645232","-74.104674","501","49","97","5000000","5000760200","West New Brighton-New Brighton-St. George"
"Stein Senior Center","204 East 23rd Street","New York","NY","10010","2019","40","10","5","25","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, People with disabilities, Senior Services, Women's issues","Older adults (60 or older)","MN","MANHATTAN","40.738655","-73.982755","106","2","64","1019664","1009030056","Gramercy"
"Stonewall Community Foundation","1270 Broadway Ste 501","New York","NY","10001","2019","75","0","50","25","Community-based organization, Community/ public foundation","Advocacy and organizing, Arts and culture, Children and youth related, LGBTQIA+, Women's issues","LGBTQIA+, Low-income populations, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.748655","-73.988097","105","4","76","1015858","1008340080","Midtown-Midtown South"
"StreetWise Partners","222 Broadway","New York","NY","10038","2019","832","0","832","0","Community-based organization","Employment and workforce development","Low-income populations","All Boroughs","MANHATTAN","40.711313","-74.008661","101","1","1501","1001245","1000890012","Battery Park City-Lower Manhattan"
"Strong Place Day Care","595 Clinton Street","Brooklyn","NY","11231","2019","9","0","0","9","Community-based organization","Children and youth related, Education and literacy","2-5 year old children","BK","BROOKLYN","40.675091","-74.001676","306","38","53","3008517","3005520005","Carroll Gardens-Columbia Street-Red Hook"
"Student Leadership Network","322 8th Ave (at 26)","New York","NY","10001","2019","200","0","200","0","Educational nonprofit","Education and literacy, Employment and workforce development, College access","Low-income populations, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.747294","-73.997023","105","3","95","1014225","1007760001","Midtown-Midtown South"
"Stuyvesant Heights NSC","562-574 Madison Street, Lower Level","Brooklyn","NY","11221","2019","15","0","3","12","Senior Center","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.686471","-73.935295","303","36","293","3045125","3016450001","Stuyvesant Heights"
"Sunnyside Community Services","43-31 39th Street","Sunnyside","NY","11104","2019","460","82","293","85","Community-based organization","Advocacy and organizing, Animals, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human rights, Human services, Immigrants and/or refugees, Justice-related, People with disabilities, Senior Services, Caregiver services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Caregivers","All Boroughs","QUEENS","40.74519","-73.925909","402","26","179","4436677","4001910005","Hunters Point-Sunnyside-West Maspeth"
"Sunset Park Family Health Center","6025 6th Ave, 2nd Floor","Brooklyn","NY","11220","2019","30","10","10","10","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, Faith-based, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","BK","BROOKLYN","40.637961","-74.014149","307","38","118","3143523","3057840001","Sunset Park East"
"Support Center for Nonprofit Management","32 Old Slip 24th FL","New York","NY","10005","2019","88","0","0","0","Community-based organization","Education and literacy, Employment and workforce development","None","All Boroughs","MANHATTAN","40.703573","-74.008036","101","1","7","1000867","1000350001","Battery Park City-Lower Manhattan"
"Sustainable United Neighborhoods","215 Moore Street","Brooklyn","NY","11206","2019","82","5","73","4","Community-based organization","Arts and culture, Emergency management and disaster response, Employment and workforce development, Environment and sustainability","Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","BK, QN","BROOKLYN","40.704393","-73.936266","301","34","485","3071475","3031000056","Bushwick South"
"Thai Community USA NYC","71-28 Roosevelt","Jackson Heights","NY","11372","2019","5","50","100","50","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Immigrants and/or refugees, Senior Services","Immigrants and/or refugees, Older adults (60 or older), Youth (17 or under), Organize","QN",,,,,,,,,
"The Battery Conservancy","1 Whitehall Street, 17th Floor","New York","NY","10004","2019","547","0","0","0","Park Conservancy","Children and youth related, Education and literacy, Environment and sustainability, Public Space Management","As a public park we serve all populations","All Boroughs","MANHATTAN","40.703973","-74.013164","101","1","9","1000027","1000100023","Battery Park City-Lower Manhattan"
"The Bowery Mission","90 Lafayette St.","New York","NY","10013","2019","17253","578","16230","506","Faith-based institution","Children and youth related, Employment and workforce development, Faith-based, Homeless and shelter, Human services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN, BX","MANHATTAN","40.717516","-74.001382","101","1","31","1002330","1001950021","SoHo-TriBeCa-Civic Center-Little Italy"
"The Bronx is Blooming","1020 Grand Concourse, Suite 15C","The Bronx","NY","10451","2019","2014","0","0","0","Community-based organization","Children and youth related, Employment and workforce development, Environment and sustainability","Low-income populations, People with disabilities, Youth (17 or under)","BX","BRONX","40.830314","-73.920785","204","16","18301","2002823","2024610094","East Concourse-Concourse Village"
"The Campaign Against Hunger","2010 Fulton Street","Brooklyn","NY","11233","2019","2603","60","2200","400","non profit","Children and youth related, Civic engagement (voting, voter registration), Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Senior Services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN, BX, QN","BROOKLYN","40.678643","-73.917677","303","41","301","3042111","3015490016","Ocean Hill"
"The Carter Burden Network, Inc.","415 East 73rd Street","New York","NY","10021","2019","2853","110","2712","31","Community-based organization","Advocacy and organizing, Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.768255","-73.954935","108","5","124","1083091","1014680009","Lenox Hill-Roosevelt Island"
"The Center @ Red Oak","135 West 106 Street","New York","NY","10025","2019","30","0","0","30","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.799919","-73.964459","107","7","193","1055957","1018610010","Morningside Heights"
"The Central Family Life Center","59 Wright Street","Staten Island","NY","10304","2019","70","5","53","12","Community-based organization","Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Justice-related, Senior Services, Women's issues","Justice-involved individuals, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","SI","STATEN IS","40.627039","-74.078084","501","49","21","5013676","5005210053","Stapleton-Rosebank"
"The Department of Education's New York City Mentoring Program","131 Livingston Street, Room 408","Brooklyn","NY","11201","2019","550","0","550","0","City agency","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development","Low-income populations, Youth (17 or under)","All Boroughs","BROOKLYN","40.690743","-73.988605","302","33","37","3000420","3001540001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"The English-Speaking Union of the United States","144 East 39th Street","New York","NY","10016","2019","316","0","32","284","Community-based organization","Education and literacy, Employment and workforce development, Immigrants and/or refugees","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), Women","All Boroughs","MANHATTAN","40.749351","-73.976999","106","4","80","1019152","1008940056","Murray Hill-Kips Bay"
"The Family Center, Inc.","493 Nostrand Avenue, 3rd floor","Brooklyn","NY","11216","2019","100","5","90","5","Community-based organization","Children and youth related, Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","BROOKLYN","40.680495","-73.949571","303","36","249","3053259","3018490056","Bedford"
"The Five Pearls Foundation","2042 Madison Avenue, #1","New York","NY","10035","2019","14","2","11","1","Volunteer-led group","Children and youth related, Education and literacy, Health and medicine, Women's issues","Low-income populations, Women, Youth (17 or under)","MN","MANHATTAN","40.808538","-73.938619","111","9","206","1054232","1017540017","Central Harlem North-Polo Grounds"
"The Fortune Society","29-76 Northern Blvd.","Long Island City","NY","11101","2019","80","0","0","0","Non-for- Profit","Advocacy and organizing, Human services, Justice-related, Outreach","Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women","All Boroughs","QUEENS","40.750433","-73.935323","401","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth"
"The Frick Collection","1 East 70th Street","New York","NY","10021","2019","38","0","0","0","Museum","Arts and culture","We do not serve a specific population","All Boroughs","MANHATTAN","40.771054","-73.967749","108","4","130","1081212","1013850001","Upper East Side-Carnegie Hill"
"The Friends of Governors Island","10 South Street, Slip 7","New York","NY","10004","2019","2493","115","2353","25","Parks and public spaces","Arts and culture, Environment and sustainability","None","All Boroughs","MANHATTAN","40.701695","-74.011631","101","1","9","1000003","1000020002","Battery Park City-Lower Manhattan"
"The Greater Ridgewood Youth Council, Inc.","59-03 Summerfield Street, GRYC","Ridgewood","NY","11385","2019","500","200","300","0","Community-based organization","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development","Low-income populations, Youth (17 or under), UPK through Seniors","QN","QUEENS","40.699463","-73.897855","405","34","557","4437841","4035880001","Ridgewood"
"The Hart Island Project","PO Box 4327","New York","NY","10163","2019","25","0","20","5","Community-based organization","Advocacy and organizing, Arts and culture, Environment and sustainability, Human rights, LGBTQIA+","LGBTQIA+, Low-income populations","All Boroughs",,,,,,,,,
"The HOPE Program","1 Smith Street 4th Floor","Brooklyn","NY","11249","2019","350","0","250","50","Community-based organization","Employment and workforce development","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, BX","BROOKLYN","40.691306","-73.987419","302","33","37","3000438","3001550010","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"The Mission Continues","50 Broad St, Suite 404","New York","NY","10004","2019","768","0","0","0","Volunteer-led group","Children and youth related, Civic engagement (voting, voter registration), Environment and sustainability","Low-income populations, Military/ veteran families, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.705689","-74.011455","101","1","9","1000820","1000240036","Battery Park City-Lower Manhattan"
"The Nest Music Conservatory","3636 Holland Ave","The Bronx","NY","10467","2019","5","3","2","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy","Youth (17 or under)","BX","BRONX","40.87966","-73.863488","212","12","380","2057857","2046620037","Williamsbridge-Olinville"
"The New York Foundling","590 Avenue of the Americas","New York","NY","10011","2019","419","0","0","0","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, Human services, People with disabilities","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.739178","-73.9955","105","3","54","1068261","1008187501","Hudson Yards-Chelsea-Flatiron-Union Square"
"The Noble Touch","188 West 135th Street","New York","NY","10030","2019","35","0","28","7","Community-based organization","HOLISTIC WELLNESS","Low-income populations, Older adults (60 or older)","BK, MN","MANHATTAN","40.815152","-73.943357","110","9","228","1058251","1019190059","Central Harlem North-Polo Grounds"
"The NYC Compost Project Hosted by Big Reuse","47-40 21st Street","Long Island City","NY","11101","2019","1038","0","0","0","Community-based organization","Environment and sustainability","Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","BK, QN","QUEENS","40.743852","-73.948791","402","26","7","4441830","4000610011","Hunters Point-Sunnyside-West Maspeth"
"The Osborne Association","809 Westchester Ave","The Bronx","NY","10455","2019","243","5","238","0","Community-based organization","Advocacy and organizing, Children and youth related, Employment and workforce development, Human rights, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN, BX","BRONX","40.819143","-73.902661","201","17","77","2004795","2026660041","Melrose South-Mott Haven North"
"The Salvation Army Greater New York Division","120 West 14th Street","New York","NY","10011","2019","13000","1","64","36","Faith-based institution","Children and youth related, Education and literacy, Faith-based, Homeless and shelter, Human services, Immigrants and/or refugees, Senior Services, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.737704","-73.997676","102","3","71","1010639","1006090023","West Village"
"Top Honors, Inc","PO Box 2009","New York","NY","10163","2019","156","0","0","0","Community-based organization","Education and literacy","Low-income populations, Youth (17 or under)","BK, MN",,,,,,,,,
"Town Square","102 Oak Street","Brooklyn","NY","11222","2019","60","40","10","10","Community-based organization","Arts and culture, Children and youth related, Environment and sustainability","Youth (17 or under), parents, adults of all ages","BK","BROOKLYN","40.727798","-73.956705","301","33","561","3065048","3025720010","Greenpoint"
"Tree LC Team of Jackson Heights Beautificagtion Group (JHBG)","35-41 80 St.","Jackson Heights","NY","11372","2019","80","30","30","20","Community-based organization, Volunteer-led group, Not for Profit (501c3)","Environment and sustainability","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Youth (17 or under), All residents of our very diverse community","QN","QUEENS","40.751235","-73.886468","403","25","283","4029679","4012800054","Jackson Heights"
"Trees New York","100 Gold Street, Suite 3100","New York","NY","10038","2019","2200","700","1300","200","Community-based organization","Employment and workforce development, Environment and sustainability","Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BK, MN, SI, QN","MANHATTAN","40.710353","-74.004007","101","1","1501","1001289","1000940025","Battery Park City-Lower Manhattan"
"Turkish Cultural Center","56 W 45th street, 4th floor","New York","NY","10036","2019","100","15","80","5","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Faith-based, Human rights, Human services, Immigrants and/or refugees, Women's issues","Immigrants and/or refugees, Youth (17 or under)","All Boroughs","MANHATTAN","40.756142","-73.981245","105","4","96","1034235","1012600064","Midtown-Midtown South"
