"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Local","Comrie","Caribbean American Repertory Theatre","11-2972441","Cleared","5000.00","DCA",,"114-13 Ovid Place ",,"11412","Funding will be used for professional theatre performances. A tribute to the late Jamaican playwright, Trevor Rhone.",,,"114-13 Ovid Place
St. Albans, NY 11412
(40.696797492444944, -73.766608132464)","QUEENS   ","40.697103","-73.766546","12","27","400","4221406","4104030027","St. Albans                                                                 "
"2012","Local","Koslowitz","AIDS Center of Queens County, Inc.","112837894-","Cleared","3000.00","DYCD",,"161-21 Jamaica Avenue",,"11432","Expansion of food pantry to meet the ever growing needs of Queens community residents.  Expansion of Youth LGBT Drop in Center for youth in the Jamaica and Long Island City areas to meet the needs of homeless youth.",,,"161-21 Jamaica Avenue
Jamaica, NY 11432
(40.70433532982116, -73.7980166956112)","QUEENS   ","40.704249","-73.797921","12","24","44601","4208875","4097607501","Jamaica                                                                    "
"2011","Boro","Rose","Special Olympics New York, Inc.","23-7061382","Cleared","3000.00","DYCD",,"211 East 43rd Street, Suite 802",,"10019","To provide cost-free innovative programming that benefit athletes in the 49th Council District. To fund programs that focus on adopting and maintaining a health lifestyle, becoming self-sufficient and team building in a fun and safe environment.",,,"211 East 43rd Street, Suite 802
New York, NY 10019
(40.7513681027434, -73.97363737198881)","MANHATTAN","40.751238","-73.973458","6","4","88","1037556","1013170007","Turtle Bay-East Midtown                                                    "
"2012","Aging","Wills","Rochdale Village Social Services, Inc.","113397470-","Cleared","1000.00","DFTA",,"169-65 137th avenue",,"11434","Funds will be used to restore monies removed from the budget by DFTA for fiscal year 2012.  Money will be used for our congregate meal program which provides nutritous hot meals that our seniors depend on to remain healthy.  This money will also allow the center to continue using consultants for our health  wellness program,nutrition awareness and exercise programs. Funding will be allocated for printing/supplies and equipment needed to support the workshops, activities and educational seminars at the center.  Social activities, bus trips will also be provided to encourage daily interaction with peers so the seniors remain vibrant and independent in their community.",,,"169-65 137th avenue
Jamaica, NY 11434
(40.672674402614106, -73.77061758587098)","QUEENS   ","40.672622","-73.770641","12","28","33402","4436348","4124950002","Springfield Gardens North                                                  "
"2012","Children under Five Initiative",,"OHEL Children's Home and Family Services, Inc.","116078704-","Cleared","100000.00","DOHMH",,"4510 16th Avenue",,"11204",,,,"4510 16th Avenue
Brooklyn, NY 11204
(40.63298160124583, -73.9835156127109)","BROOKLYN ","40.63316","-73.983315","12","44","232","3320669","3054337502","Borough Park                                                               "
"2011","Boro","Chin, Mendez, Garodnick, Lappin, Brewer, Jackson, Viverito, Dickens, Rodriguez","Asphalt Green, Inc.","13-6533158","Cleared","5250.00","DYCD",,"555 East 90th Street",,"10128","To support the Waterproofing Program which serves Manhattan Public School children in a learn-to-swim program during the school day.",,,"555 East 90th Street
New York, NY 10128
(40.778009892856204, -73.94399539161257)","MANHATTAN","40.777961","-73.943995","8","5","152","1051374","1015870001","Yorkville                                                                  "
"2012","Center for Court Innovation",,"Fund for the City of New York, Inc.","132612524-","Cleared","400000.00","OCJC",,,,,,,,,,,,,,,,,
"2012","Local","Gonzalez","Brooklyn Arts Council, Inc.","237072915-","Cleared","15000.00","DCA",,"55 Washington St.","Ste. 218","11201","Funds to support cultural programming.",,,"55 Washington St.
Brooklyn, NY 11201
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2012","Aging","Comrie","NYCHA International Towers Senior Center","136400571-","Cleared","8750.00","DFTA",,"90-20 170th Street",,"11432","The funds requested will provide four (4) off-site field trips for the senior citizens of International Tower.",,,"90-20 170th Street
Jamaica, NY 11432
(40.7081829093359, -73.79036822047811)","QUEENS   ","40.708578","-73.790579","12","27","460","4209721","4098020041","Jamaica                                                                    "
"2012","Aging","Comrie","Hollis Avenue Congregational Church","861100659-","Cleared","8000.00","DFTA",,"104-25 215 Street",,"11429","Provide counseling for seniors where necessary. Provide transportation free of charge to and from senior center. The center will provide breakfast and lunch at a nominal cost to all seniors. Provide nurse who will check blood pressure and inquire about basic health, and if necessary, recommend further medical checkups, keep records, and show the importance of taking their medicine as recommended. Provide recreational activities, arts and crafts, games, companionship and computer training. Once per month, guest speakers will speak on topic related to seniors and their protection, health, safety, and seniors wellness through food and diet. Once per month, seniors are taken on trips where they are eating out or shopping.",,,"104-25 215 Street
Queens Village, NY 11429
(40.709849999777816, -73.73998999973855)","QUEENS   ","40.71186","-73.743701","13","27","540","4239160","4111000001","Queens Village                                                             "
"2012","Local","Vann","Bedford Stuyvesant Family Health Center, Inc.","112412205-","Cleared","10000.00","DOHMH",,"1413 Fulton Street",,"11216-2607","We need six (6) Medical Assistants to work with the doctors and nurses in assisting patients through the examination and treatment process. Because of the increasing senior population, there is a need to assist these patients in preparing for the doctors examination as well as after, i.e., getting on and off the exam table.",,,"1413 Fulton Street
Brooklyn, NY 11216-2607
(40.68013305524204, -73.94448503663926)",,,,,,,,,
"2011","Elected Officials",,"District Attorney-Richmond","13-6400434","Cleared","60829.00","DASI","Prosecutor Funding","130 Stuyvesant Place",,"10301",,,,"130 Stuyvesant Place
Staten Island, NY 10301
(40.643021254286715, -74.0770384686825)","STATEN IS","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George                                  "
"2011","Youth","Chin","A Place for Kids, Inc.","13-3624631","Cleared","3514.00","DYCD",,"111 Division Street",,"10002","After-school enrichment program.",,,"111 Division Street
New York, NY 10002
(40.71436125167719, -73.99231098215745)","MANHATTAN","40.714398","-73.992299","3","1","6","1003612","1002830094","Lower East Side                                                            "
"2011","Youth","Garodnick","Peter Stuyvesant Little League","13-3700587","Cleared","7500.00","DYCD",,"285 Avenue C, 17th Floor",,"10009","Funding will support operating costs and the purchase of materials and equipment for the Little League. ",,,"285 Avenue C, 17th Floor
New York, NY 10009
(40.73030242544332, -73.97461177191836)","MANHATTAN","40.730104","-73.974599","6","4","44","1082849","1009720001","Stuyvesant Town-Cooper Village                                             "
"2011","Aging","Chin","Hamilton-Madison House, Inc.","13-5562412","Cleared","4000.00","DFTA","Battery Park City Sr. Ctr.","50 Madison Street",,"10038","To fight isolation that threatens seniors due to the separation caused by the West Side Highway.",,,"50 Madison Street
New York, NY 10038
(40.71189086204709, -73.9980012027971)","MANHATTAN","40.711958","-73.997825","3","1","25","1077420","1001110100","Chinatown                                                                  "
"2011","Local","Dilan","Cypress Hills-Fulton Street Senior Citizens Center, Inc.","11-2297647","Cleared","57500.00","DFTA",,"3208 Fulton Street",,"11208","For operational support, Buses, etc.",,,"3208 Fulton Street
Brooklyn, NY 11208
(40.68226444845146, -73.87690997935766)","BROOKLYN ","40.682337","-73.876771","5","37","1178","3092631","3041400013","Cypress Hills-City Line                                                    "
"2010","Transportation - Operating Costs",,"Meals on Wheels of Staten Island, Inc.","13-2894978  ","Pending","6100.48","DFTA",,"304 Port Richmond Avenue",,"10302","Senior Center transportation costs",,,"304 Port Richmond Avenue
Staten Island, NY 10302
(40.6340154342545, -74.13616372592189)","STATEN IS","40.634061","-74.13606","1","49","213","5025678","5010890036","Port Richmond                                                              "
"2009","CC Restoration",,"Community College Administration and Operations","13-6400434","Cleared","3912682.00","CUNY",,,,,,,,,,,,,,,,,
"2012","Local","Ulrich","Corporal John Ruoff Post No. 632, American Legion, Inc.","116104896-","Cleared","5000.00","DFTA",,"91-11 101st Avenue",,"11416","Counseling and support services for members and their families",,,"91-11 101st Avenue
Ozone Park, NY 11416
(40.68337358746342, -73.84933300983336)","QUEENS   ","40.683358","-73.84923","9","32","38","4188500","4090650030","Woodhaven                                                                  "
"2012","Cultural After-School Adventure (CASA) ","Gonzalez","Metropolitan Museum of Art","131624086-","CBO Defunded","0.00","DCA","Inter School 136 ","1000 Fifth Avenue",,"10028",,,,"1000 Fifth Avenue
New York, NY 10028
(40.77875270897505, -73.96249845688618)","MANHATTAN","40.778633","-73.962546","64","6","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"2009","Local","CC","Baruch College/Research Foundation","23-7039817","Cleared","90000.00","CUNY",,"1 Bernard Baruch Way",,"10010","to enhance the ability of Baruch College to provide for the educational needs of the student body",,,"1 Bernard Baruch Way
New York, NY 10010
(40.74072406026566, -73.98379988783117)","MANHATTAN","40.740601","-73.983389","6","2","68","1086514","1008800024","Gramercy                                                                   "
"2010","Transportation - Operating Costs",,"Wayside Out-Reach Development, Inc.","11-3528680  ","Pending","6100.48","DFTA","Tompkins Park Senior Center","1746-60 Broadway",,"11207","Senior Center transportation costs",,,"1746-60 Broadway
Brooklyn, NY 11207
(40.67857964794648, -73.90306016543055)","BROOKLYN ","40.682939","-73.910522","16","37","369","3040992","3015120022","Ocean Hill                                                                 "
"2012","Domestic Violence and Empowerment (DoVE) Initiative",,"SCAN-NY","132912963-","Cleared","62000.00","MISC",,"207 East 27th Street",,"10016",,,,"207 East 27th Street
New York, NY 10016
(40.74108010916768, -73.9805748296751)","MANHATTAN","40.741191","-73.980917","6","2","66","1019874","1009080009","Murray Hill-Kips Bay                                                       "
"2011","Youth","Gentile","Play Rugby, Inc.","20-0029252","Cleared","1000.00","DYCD","IS 259- Play Sports For Life","520 8th Avenue, 2 Floor",,"10018","To provide support for a sports education youth program in I.S. 259 in the 43rd Council District.","Bay Ridge Bensonhurst Beautification and Preservation Alliance, Inc.","11-3233233","520 8th Avenue, 2 Floor
New York, NY 10018
(40.75379652266196, -73.9922570228357)","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"2012","Local","CC","Lower East Side Girls Club, The","133942063-","Cleared","25000.00","DYCD",,"56 East 1st Street",,"10003-9345","Though Community Boards are where much of the work of local neighborhoods take place and is often the starting point for future political careers, most youth in New York City are unaware of their existence, and that they have adults willing to listen to and take their issues seriously. The Lower Eastside Girls Club requests funding to sponsor a Social Justice Training Program for Manhattan teens that focuses on grassroots points of entry and civic engagement opportunities for youth. This program will create a city-wide youth council by training 2 teens from each of the 12 community board districts in Manhattan Ã¢â¬â for a total of 24 trainees. Teens representing the geographic areas of the boards will be encouraged to attend a range of community board and CBO meetings in order to understand the local nature of urban politics. Adult allies from each board will be recruited to mentor the student observers at these meetings.In summer 2012, the 24 initial students will participate in a summer camp intensive at a retreat center in upstate New York where they will plan for a year 2 expansion of the program. ",,,"56 East 1st Street
NYC, NY 10003-9345
(40.7237142007819, -73.98941516522308)",,,,,,,,,
"2012","Local","Rose","Noble Maritime Collection, The","133351673-","Cleared","5000.00","DCA",,"1000 Richmond Terrace","Building D","10301-1114","The Noble Maritime Collection seeks funds to develop and present the exhibition, Treasures From the Sailors Snug Harbor Collection, a presentation of oil paintings, antique ship models, original furnishings, and marine artifacts from the original Sailorsâ Snug Harbor retirement home, established by Captain Robert Richard Randall in 1801.  They have never been exhibited publicly before, and the items are of significant historical value.

In December, 2009 the Trustees of Sailors Snug Harbor  designated the Noble Maritime Collection as the stewards of its prestigious collection.  All of the items were part of the furnishings of Sailorsâ Snug Harbor, and many were gifts to the retirement home by prominent members of the community.  Sailorsâ Snug Harbor is the first charitable institution of its kind established in this country, and the collection reflects what life was like for residents while the home flourished from 1831, when the first building opened, until 2009, when the home closed. The return of the collection to Staten Island is of signal importance to the Staten Island community, which remembers Sailors Snug Harbor with respect, admiration, and affection.

",,,"1000 Richmond Terrace
Staten Island, NY 10301-1114
(40.64524986989785, -74.10463422537721)",,,,,,,,,
"2012","Local","Williams","Haitian Family Resource Center","450678479-","Pending","3500.00","DYCD",,"1783 Flatbush Ave",,"11210","HFRC has developed a plan to expand current referral and case management services to include onsite direct services for mental health, basic human needs, children and youth programs, and working to establish a plan for permanent housing.",,,"1783 Flatbush Ave
Brooklyn, NY 11210
(40.62651898064445, -73.94089497877756)","BROOKLYN ","40.626575","-73.94102","18","45","740","3208238","3076180034","Flatlands                                                                  "
"2012","HIV/AIDS Faith Based Initiative",,"Power Praise and Deliverance","841650246-","Pending","6400.00","DOHMH",,"1820 Loring Place",,"10453",,,,"1820 Loring Place
Bronx, NY 10453
(40.85265000012265, -73.91573371136258)","BRONX    ","40.852496","-73.915918","5","14","24501","2009061","2028790053","University Heights-Morris Heights                                          "
"2011","Adult Literacy",,"Mixteca Organization, Inc.","11-3561651","Cleared","30952.38","DYCD",,"245 23rd Street",,"11215",,,,"245 23rd Street
Brooklyn, NY 11215
(40.66006344803428, -73.994201406317)","BROOKLYN ","40.659942","-73.994096","7","38","145","3017611","3008990001","Sunset Park West                                                           "
"2011","Youth","Rose","Truck's Roundball Classic","611676852-","Pending","5000.00","DYCD",,"171 Van Buren Steet",,"10301","Truck's is a basketball league that is open to everyone. Bring kids from all ethnicities, economic backgrounds and communities together through sports.",,,"171 Van Buren Steet
Staten Island, NY 10301
(40.64430541355896, -74.09487390351053)",,,,,,,,,
"2013","FY12 MHy Contracted Svcs Partial PEG Rest'n - DD Clinics",,"Staten Island Mental Health Society","13-5623279","Pending","322000.00","DOHMH",,,,,,,,"Staten Island, NY
(40.64244000010609, -74.07527999967209)",,,,,,,,,
"2011","Sex Assault Services",,"Mt. Sinai Sexual Assault & Violence Intervention Program","13-6171197","Cleared","43192.67","MISC",,,,,,,,,,,,,,,,,
"2012","Local","Palma","Legal Services NYC - Bronx","161759590-","Cleared","5000.00","DYCD",,"579 Courtlandt Avenue",,"10451-5013","Our attorneys conduct community education trainings, appear regularly in Family and Supreme Court on domestic violence related legal matters, and are active in a variety of task forces around the City that address issues of concern to survivors of domestic violence. LSNYC Bronx serves the entire Bronx low income community.",,,"579 Courtlandt Avenue
Bronx, NY 10451-5013
(40.81736060369292, -73.91921408761596)",,,,,,,,,
"2012","Local","Gennaro","CEC Stuyvesant Cove, Inc.","522440116-","Cleared","5000.00","DCA",,"37 West 26th Street","Suite 209","10010","Expansion of the Green Design Lab (GDL), Solar Oneâs K-12 sustainability and energy awareness curriculum and program, to 30 public schools citywide in Fall 2011.  The program provides schools with a blueprint for making their buildings more sustainable with a particular focus on reducing energy.  Students learn about the science behind energy as well as energy conservation.  Every school will track energy usage in their building and, as a result of behavioral change, will hopefully see their energy bills go down, reducing the Cityâs carbon footprint and saving tens of thousands of dollars per school per year.   In addition to the Energy unit, students will also receive classroom instruction on one or more of the Green Design Labâs units on Materials, Recycling  Waste, Air Quality, Food and Water.",,,"37 West 26th Street
New York, NY 10010
(40.74445256677757, -73.99052133131914)","MANHATTAN","40.744179","-73.989902","5","3","58","1015634","1008280009","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2011","CASA","Gentile","Midori Foundation, Inc., The (d/b/a Midori and Friends)","13-3682472","Cleared","20000.00","DCA","Public School 163K - Bath Beach School","352 Seventh Avenue, Suite 301","1664 Benson Avenue, Brooklyn, NY 11214","10001",,,,"352 Seventh Avenue, Suite 301
New York, NY 10001
(40.74820273963974, -73.99270668385032)","MANHATTAN","40.748208","-73.992663","5","3","95","1014291","1007790041","Midtown-Midtown South                                                      "
"2012","Local","Quinn","An Claidheamh Soluis, Inc. d/b/a Irish Arts Center","510244834-","Cleared","10000.00","DCA",,"553 West 51 Street",,"10019","Access Irish Arts providing free tickets for seniors and students from the community to attend performances; Offering scholarships for those in need as well as lower tuition for music, language, dance and history classes.",,,"553 West 51 Street
New York, NY 10019
(40.76598805782595, -73.99279837977056)","MANHATTAN","40.766041","-73.993054","4","3","135","1082282","1010800103","Clinton                                                                    "
"2012","Local","Greenfield","First Chernomorets USA, Inc.","113586786-","Cleared","3500.00","DYCD",,"3101 OCEAN PARKWAY","SUITE 2H","11235","We provide athletic services for local community. And the grant will be used for further developement of after school youth soccer. We have 170 children in our organization. Any child ages 4 to 17 years old who wants to join our after school program can do so.",,,"3101 OCEAN PARKWAY
BROOKLYN, NY 11235
(40.57580270662294, -73.96833505685629)","BROOKLYN ","40.575857","-73.968617","13","48","36001","3245024","3086790007","Brighton Beach                                                             "
"2011","Youth","Lappin","Stanley M. Isaacs Neighborhood Center, Inc.","13-2572034","Cleared","3500.00","DYCD",,"415 East 93rd Street",,"10128","Support for community based after-school serving 80 children a day who attend area schools. ",,,"415 East 93rd Street
New York, NY 10128
(40.78126040826671, -73.94577667379394)","MANHATTAN","40.780904","-73.945112","8","5","152","1082367","1015730001","Yorkville                                                                  "
"2012","Local","Gonzalez","Red Hook Lions                 ","113157642-","Pending","5000.00","DYCD",,"495 Columbia St., 2D,",,"11231","Summer concert in Red Hook",,"23-7072915","495 Columbia St., 2D,
Brooklyn, NY 11231
(40.675353305418184, -74.00724553274526)","BROOKLYN ","40.675587","-74.007239","6","38","85","3332222","3005380001","Carroll Gardens-Columbia Street-Red Hook                                   "
"2011","Boro","Oddo","Staten Island Federation of Parent Teacher Association's","13-3255838","Cleared","1167.00","DOE",,"715 Ocean Terrace, Room 151",,"10301","To purchase materials and supplies for workshops.",,,"715 Ocean Terrace, Room 151
Staten Island, NY 10301
(40.6074294834401, -74.10152342867468)","STATEN IS","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"2011","Unemployment/SSI Program",,"Legal Aid Society ","13-5562265","Cleared","500000.00","MISC",,"199 Water Street",,"10038",,,,"199 Water Street
New York, NY 10038
(40.707112716121, -74.00453276853563)","MANHATTAN","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"2012","Local","Fidler","Agudath Israel of America Community Services, Inc.","133975090-","Cleared","10000.00","DYCD",,"42 Broadway",,"10004","Funding is for the purpose of creating ESOL classes for adults who cannot read, write, and speak English, along with support services such as counseling and case management.",,,"42 Broadway
New York, NY 10004
(40.706177421210555, -74.01295941595015)","MANHATTAN","40.70627","-74.012909","1","1","9","1000812","1000220020","Battery Park City-Lower Manhattan                                          "
"2012","Youth","Levin","Friends of the New York Transit Museum","113299408-","Cleared","7000.00","DYCD",,"130 Livingston Street 10th floor",,"11201-5106","Funds to the NY Transit Museum will support two types of education programs serving NYC youth; guided school programs for students and free weekend workshops for visiting families. Both programs are free with Museum admission (4/child). Needy groups that cannot afford even this price are encouraged to apply to the Transit Museums fee waiver program, One for All, in which corporate supporters underwrite a group visit.
_x000D_
Museum admission covers only a small portion of the costs associated with these guided education programs, all of which have an interactive or hands-on component. The costs include salary and training for 11 part-time Museum educators (including 2 special needs educators), art supplies and materials for hands-on workshops and take-home projects, fees for visiting artists and guest performers, costumes and props for performers.
_x000D_
During the school year a growing and loyal base of teachers from across NYC repeatedly bring their classes for guided programs that tie into curricular units for different grades. Each summer the Museum develops a fun tour and activity for NYCs camps, with group bookings regularly at capacity. On weekends these educational programs are adapted and augmented to serve families who regularly return._x000D_
_x000D_
Thanks in part to FY11 NYCC discretionary funds, the Transit Museum launched a new youth education program of costumed story-telling in vintage cars, where actors dressed in garb of the decade bring to life the history of NYC mass transit. This new program serves 2nd grade school groups, summer camp groups and weekend family visitors. New characters are being developed for FY 12. In addition, the Museum will open a science exhibit in Fall 2011 about how electricity powers NYÃ¢â¬â¢s subways. New school programs that teach this science to 4th and 8th graders, for whom it is part of NYS standards, will also be supported by discretionary funds.",,,"130 Livingston Street 10th floor
Brooklyn, NY 11201-5106
(40.690691095865986, -73.98859678217644)",,,,,,,,,
"2010","Transportation - Operating Costs",,"Catholic Charities Neighborhood Services, Inc.","11-2047151  ","Pending","6100.48","DFTA","Northeast Queens Home Delivered Meals","191 Joralemon Street",,"11201","Senior Center transportation costs",,,"191 Joralemon Street
Brooklyn, NY 11201
(40.69266960433043, -73.9917354160587)","BROOKLYN ","40.692671","-73.991785","2","33","9","3002244","3002550008","Brooklyn Heights-Cobble Hill                                               "
"2012","Local","Oddo","Jacques Marchais Museum of Tibetan Art, Inc.","237280740-","Cleared","3500.00","DCA",,"338 Lighthouse Avenue",,"10306-1217","To provide funding for public programs include film screenings, special lectures, concerts, site tours and art workshops for families.",,,"338 Lighthouse Avenue
Staten Island, NY 10306-1217
(40.57615451906506, -74.13894525724965)",,,,,,,,,
"2010","IOI","Bronx","Legal Services NYC - Bronx","13-2600199","Pending","87500.00","DYCD",,,,,"Immigrant Related Legal Services",,,,,,,,,,,,
"2012","Youth Violence Initiative",,"New York County District Attorneys","136400434-","Government","58400.00","DANY",,,,,,,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"South Bronx Mental Health Council, Inc. ","133039605-","Cleared","37868.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Local","Comrie","Clergy United for Community Empowerment, Inc.","113030795-","Cleared","10000.00","DYCD",,"89-31 161 street 10th floor",,"11432","CUCE offer prevention and intervention techniques that will assist youth with how to identify being in a abusive relationship (physical, verbal, or emotional) and identify what the triggers are and how to effectively secure safety.",,,"89-31 161 street 10th floor
Jamaica, NY 11432
(40.71238999999866, -73.794439999806)","QUEENS   ","40.706034","-73.799751","12","24","44601","4208869","4097600027","Jamaica                                                                    "
"2012","Anti Eviction and SRO Legal Services",,"South Brooklyn Legal Services","132605605-","Cleared","160571.00","HPD",,,,,,,,,,,,,,,,,
"2011","Local","Recchia","Urban Neighborhood Services, Inc.","14-1997299","Cleared","8000.00","DYCD",,"1718 Mermaid Avenue",,"11224","To fund existing youth and community programs.",,,"1718 Mermaid Avenue
Brooklyn, NY 11224
(40.57652216424634, -73.98540418897244)","BROOKLYN ","40.576593","-73.984996","13","47","326","3189575","3070610005","Seagate-Coney Island                                                       "
"2012","Youth","Levin","Groundswell Community Mural Project","113427213-","Cleared","5000.00","DYCD",,"540 President Street 1A",,"11215","Groundswell respectfully requests 10,000 for summer and after-school programs in 2011/2012.  Our programs develop skills in four key areas: Creativity; Collaboration; Critical Thinking and Compassion, and how to use art as a tool for social change. Programs include: 

Summer Leadership Institute (SLI): A summer job program where 6 teams of up to 15 youth each spend 7 weeks working with artists and community partners, learn job skills, examine local issues and create public art on a local topic. Upcoming projects include a mural at Brooklyn House of Detention partnering with NYC Dept. of Corrections, Court-Livingston-Schermerhorn BID and Hersha Hospitality group are both special sponsors, and a mosaic at PS164 through the Trust for Public Land. 

Teen Empowerment Mural Apprenticeship (TEMA)âYouth create public art for community organizations. Two groups meet weekly throughout the school year. Current programs are creating a mural for Lutheran Medical Center in Sunset Park and a mural for the DOT in Downtown Brooklyn.

Voices Herâd Visionaries (VHV)âYoung women conceive and create works of public art that reflect issues of concern to girls and women. This program is both after-school and part of the SLI. This yearâs project explores how relationships are affected by technology.  

TurnStyle/Segueâ In partnership with the Center for Court Innovation, in Greenpoint and Red Hook, youth arrested for minor offences (e.g. graffiti and truancy) fulfill community service hours by working after school with our staff and artists. Upon graduation from TurnStyle, youth can join our Segue program in which they learn the necessary skills for participation in Groundswellâs art-making programs. 

Portfolio DevelopmentâAn after-school program in which youth from other Groundswell programs complete a portfolio of work to strengthen their post-secondary applications.
",,,"540 President Street 1A
Brooklyn, NY 11215
(40.6773654769921, -73.98514533456633)","BROOKLYN ","40.677354","-73.984973","6","39","119","3000000","3004480013","Park Slope-Gowanus                                                         "
"2012","Aging","Recchia","Jewish Association for Services for the Aged (JASA)","132620896-","Cleared","5000.00","DFTA","JASA  Coney Island Active Aging NORC SSP","132 West 31st Street",,"10001","JASAâs  Coney Island Active Aging (CIAA)- NORC  serving approximately 250 older residents of NYCHA Oâ Dwyer and Surfside housings.  Social services, health support and educational recreational activities are offered to the seniors age 60  in the collaboration with OâDwyer housing and MJHS. The requesting funding will be used to support monthly group outings and weekly ESL classes.  Programs will promote socialization and will decrease social isolation.",,,"132 West 31st Street
New York, NY 10001
(40.748454549807946, -73.99055730420031)","MANHATTAN","40.748345","-73.990245","5","3","101","1015171","1008060058","Midtown-Midtown South                                                      "
"2011","Local","Gentile","Public School 176K Parent Teacher Association","13-6400434","Cleared","1000.00","DOE",,"1225 Bay Ridge Avenue",,"11219","To support PTA activities which will benefit both children and parents.","GALAXY",,"1225 Bay Ridge Avenue
Brooklyn, NY 11219
(40.62472549937129, -74.00546780039215)","BROOKLYN ","40.624611","-74.005378","10","43","196","3143190","3057740001","Dyker Heights                                                              "
"2010","Transportation - Operating Costs",,"Goddard Riverside Community Center","13-1893908  ","Pending","6100.48","DFTA","Goddard Riverside Senior Center","171 West 85th Street",,"10038","Senior Center transportation costs",,,"171 West 85th Street
New York, NY 10038
(40.786864593679354, -73.97512493817754)","MANHATTAN","40.786591","-73.974513","7","6","169","1032139","1012160003","Upper West Side                                                            "
"2012","Youth","Ignizio","Friends of Blue Heron Park, Inc.","133073882-","Cleared","3500.00","DYCD",,"48 Poillon Avenue","----","10312-4726","Three teachers of environmental education will provide 50
1-1/2 hour nature-related programs.

Native plant specialist/gardener will provide 5 months of garden/landscaping services.",,,"48 Poillon Avenue
Staten Island, NY 10312-4726
(40.534971094955274, -74.17860175679873)",,,,,,,,,
"2011","Aging","Mendez","Older Adults Technology Services (OATS), Inc.","55-0882599","Cleared","3500.00","DFTA",,"1713 Eighth Avenue, #8",,"11215","Computer basic training, workforce skills, health IT, etc.",,,"1713 Eighth Avenue, #8
Brooklyn, NY 11215
(40.659259790941974, -73.98478365677221)","BROOKLYN ","40.659299","-73.984776","7","38","169","3337352","3008760003","Windsor Terrace                                                            "
"2011","Youth","Crowley","Our Lady of Hope","11-2202490","Cleared","4000.00","DYCD","Sports Association","61-27 71st Street",,"11379","To support a year-round sports program open to all in the area.","Maspeth Town Hall, Inc.","23-7259702","61-27 71st Street
Middle Village, NY 11379
(40.72047664147641, -73.88655071151175)","QUEENS   ","40.720647","-73.886733","5","30","66501","4067018","4029280068","Middle Village                                                             "
"2012","Local","Dickens","St. Luke's-Roosevelt Hospital Center, Center for Comprehensive Care","132997301-","Cleared","5000.00","DOHMH",,"St Lukes-Roosevelt Hospital Center","1111 Amsterdam Avenue Stuyvesant 7","10025-1716","The St. Lukeâs-Roosevelt Hospital Center (SLRHC), Center for Comprehensive Care (CCC) requests 10,000 from the New York City Council, to support the continuation of the Program for Children and Families (PCF) and more specifically, PCFâs Young Adult Program (YAP) which has flourished through the generous support of Councilwoman Inez E. Dickens.
_x000D_
The Young Adult Program currently supports more than 70 HIV positive young people each year, many born with the disease, as they transition from adolescence to young adulthood.  YAP provides a safe and supportive environment for HIV young people to gather, connect with each other, make friends, find support, have fun, learn, be creative and discover their place in this world.  The Young Adult Program offers psychosocial and psycho-educational group support and social and recreational opportunities. 
_x000D_
The CCC requests funds for personnel and other costs associated with: (1) Training a cadre of HIV adolescents to serve as peer mentors with other HIV adolescent patients, (2) Education and support groups including weekly âfamilyâ dinners; (3) Social/recreational outings and special events, and (4) Clothing and supplies for summer camp.",,,"St Lukes-Roosevelt Hospital Center
New York, NY 10025-1716
(40.798120000038125, -73.96729000013323)",,,,,,,,,
"2011","Youth","Ferreras","Elmcor Youth and Adult Activities, Inc.","11-2224539","Cleared","2500.00","DYCD",,"33-16 108th Street",,"11368","Academic services for teens.",,,"33-16 108th Street
Corona, NY 11368
(40.75752873167192, -73.86101421671445)","QUEENS   ","40.757429","-73.860938","3","21","381","4042761","4017220012","North Corona                                                               "
"2011","Food Pantries","Queens","City Harvest, Inc.","13-3170676","Cleared","4850.00","DYCD","First Baptist Church","2059 Nameoke Avenue",,"11691","To support the local food pantry.",,,"2059 Nameoke Avenue
Far Rockaway, NY 11691
(40.60761618793905, -73.75204457154386)","QUEENS   ","40.607691","-73.752122","14","31","103202",,,"Far Rockaway-Bayswater                                                     "
