"primaryprojecttype","subtype","projectstatus","startdateactual","finishdateactual","projectsitename","projectsiteaddress","acronym","co2e_mt_calculated","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Other","Retro-commissioning","Survey",,,"Brooklyn Heights Branch Library","280 Cadman Plaza West","BPL",,"11201","BROOKLYN ","40.695657","-73.991006","2","33","502","3001939","3002390016","Brooklyn Heights-Cobble Hill                                               "
"Lighting System Upgrade","Retrofit","Completed","6-May-10","21-Oct-10","Fleet Services R&T Building - 48-34 35th Street","48-34 35th Street","FDNY","253.34","11101","QUEENS   ","40.740165","-73.930693","2","26","199","4003451","4002540001","Hunters Point-Sunnyside-West Maspeth                                       "
"Lighting System Upgrade","Retrofit","Completed","25-Jun-09","7-Jan-10","26th Street Repair Garage","640 West 26th Street","DSNY","366.78","10001","MANHATTAN","40.751183","-74.006594","4","3","99","1012267","1006700050","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Energy Audit","None","Completed","15-Jun-12","2-Jul-12","Randals Island Fire Academy","Randals Island New York  10035","FDNY",,,,,,,,,,,
"Lighting System Upgrade","Retrofit","Completed","20-Jan-11","21-Jul-11","Leonard Covello Senior Center","312 E. 109th Street","DFTA","23.32","10029","MANHATTAN","40.792306","-73.94048","11","8","170","1074278","1016800045","East Harlem South                                                          "
"Energy Audit","None","In Progress",,,"M054- JHS 054- Booker T. Washington","103 W 107th Street","DOE",,"10025","MANHATTAN","40.800119","-73.962837","7","7","193","1055990","1018620011","Morningside Heights                                                        "
"Comprehensive","Retrofit","Design",,,"DOE Offices","65 Court Street","DOE","87.37","11201","BROOKLYN ","40.692012","-73.991227","2","33","9","3002557","3002660020","Brooklyn Heights-Cobble Hill                                               "
"Lighting System Upgrade","Retrofit","Substantially Completed","26-Jan-11","14-Oct-11","101st Precinct","1612 Mott Avenue, or 16-12 Mott Avenue","NYPD","20.56","11691","QUEENS   ","40.602862","-73.750278","14","31","103202","4298231","4155570004","Far Rockaway-Bayswater                                                     "
"Comprehensive","Retrofit","Design",,,"K126 - John Ericson Junior High School","424 Leonard St","DOE","295.13","11222","BROOKLYN ","40.719819","-73.948625","1","33","499","3067788","3027120001","Greenpoint                                                                 "
"Lighting System Upgrade","Retrofit","Completed","9-Apr-12","28-Sep-12","Leonard Branch Library","81 Devoe Street","BPL","15.1","11211","BROOKLYN ","40.713456","-73.947916","1","34","503","3068818","3027620021","East Williamsburg                                                          "
"Other","Retro-commissioning","Survey",,,"The Eileen E. Zaglin","1075 Ocean View Avenue","DOE",,"11235","BROOKLYN ","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"Energy Audit","None","Completed","16-Aug-11","6-Mar-12","Manhattan Civil Court","111 Centre Street","DCAS",,"10013","MANHATTAN","40.716317","-74.001277","1","1","31","1001833","1001690010","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Energy Audit","None","Completed","18-Jul-12","4-Sep-12","Staten Island Borough Hall","215 East 161st Street","DCAS","1400.19",,,,,,,,,,
"Other","Retro-commissioning","Survey",,,"J.H.S.142X John Philip Sousa Middle School","3750 Baychester Avenue","DOE",,"10466","BRONX    ","40.884953","-73.840524","12","12","484","2066190","2049350001","Eastchester-Edenwald-Baychester                                            "
"Lighting System Upgrade","Retrofit","Completed","29-Dec-09","8-Jul-10","P.S. 214Q","31-15 140th St.","DOE","53.86","11354","QUEENS   ","40.770387","-73.828617","7","20","88901","4100846","4044130020","Flushing                                                                   "
"Lighting System Upgrade","Retrofit","Completed","13-May-08","9-Mar-09","P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser)","61 West 183rd Street, 2280 Aqueduct Avenue","DOE","60.54",,,,,,,,,,
"HVAC System Upgrade","Retrofit","Substantially Completed","4-Apr-12",,"Fleet Services Shop","654 West 158th Street","DOT","263.59","10032","MANHATTAN","40.836","-73.947567","12","7","241","1087614","1021340218","Washington Heights South                                                   "
"Lighting System Upgrade","Retrofit","Completed","12-Feb-10","24-Nov-10","Group 5 - 71st/76th/90th/94th/77 Annex Pcts","421 EMPIRE BOULEVARD","NYPD","64.13","11225","BROOKLYN ","40.664113","-73.947763","9","35","331","3034563","3013100001","Crown Heights South                                                        "
"Lighting System Upgrade","Retrofit","Design",,,"P.S. 044 Thomas C. Brown","80 Maple Parkway","DOE",,"10303","STATEN IS","40.63179","-74.156439","1","49","231","5027641","5012180001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"Other","Retro-commissioning","Survey",,,"K279 - Herman Schreiber","1076 East 104th Street","DOE",,"11236","BROOKLYN ","40.644139","-73.892192","18","46","986","3326733","3082300001","Canarsie                                                                   "
"Other","Retro-commissioning","Survey",,,"DOE Offices","65 Court Street","DOE",,"11201","BROOKLYN ","40.692012","-73.991227","2","33","9","3002557","3002660020","Brooklyn Heights-Cobble Hill                                               "
"Energy Audit","None","Completed","6-Feb-12","29-Jun-12","Queens 7 District Garage Annex","120-15 31st Ave. Queens NY","DSNY","526.73","11354","QUEENS   ","40.769692","-73.847197","7","19","907",,,"College Point                                                              "
"Lighting System Upgrade","Retrofit","Completed","11-Mar-11","20-Dec-11","23K275 - 985 Rockaway Avenue","985 Rockaway Ave","DOE","153.36","11212","BROOKLYN ","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                "
"Lighting System Upgrade","Retrofit","Completed","3-Dec-10","11-Feb-11","44 Beaver Street","44 Beaver Street","DSNY","103.74","10004","MANHATTAN","40.705079","-74.010766","1","1","9","1000850","1000290073","Battery Park City-Lower Manhattan                                          "
"Energy Audit","None","In Progress","8-Aug-12",,"K650 - Harry Vanarsdale Vocational HS","257 North 6th Street","DOE",,"11211","BROOKLYN ","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"Energy Audit","None","Completed","18-Mar-10","1-Sep-10","Brooklyn High School of the Arts","345 Dean Street","DOE","23.32","11217","BROOKLYN ","40.683559","-73.98027","2","33","39","3001190","3001920013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Energy Audit","None","Completed","6-Feb-12","21-Jun-12","Bronx 12 District Garage","1635 East 233rd St. Bronx NY","DSNY","60.8","10466","BRONX    ","40.888188","-73.826903","12","12","456","2090261","2049740028","Eastchester-Edenwald-Baychester                                            "
"HVAC System Upgrade","Retrofit","Design","1-Feb-11",,"Snug Harbor","1000 Richmond Terrace","DCLA",,"10310","STATEN IS","40.645232","-74.104674","1","49","97","5000000","5000760200","West New Brighton-New Brighton-St. George                                  "
"Energy Audit","None","Completed","14-Oct-10","16-Mar-12","M217 - PS 217M","645 Main Street","DOE","627.8","10044","MANHATTAN","40.763894","-73.947916","8","5","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"Other","Retro-commissioning","Survey",,,"J.H.S.220K John J. Pershing","4812 9th Avenue","DOE",,"11220","BROOKLYN ","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"Lighting System Upgrade","Retrofit","Substantially Completed","26-Jan-11","9-Dec-11","114th Precinct","34-16 ASTORIA BOULEVARD","NYPD","57.26","11103","QUEENS   ","40.769581","-73.915593","1","22","6501","4009361","4006320030","Astoria                                                                    "
"Lighting System Upgrade","Retrofit","Completed","3-Aug-09","4-Feb-10","Manhattan Health Building - 125 Worth St.","125 Worth Street","DCAS","150.25","10013","MANHATTAN","40.715428","-74.002673","1","1","31","1001831","1001680032","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Comprehensive","Retrofit","Design",,,"Queens 7 District Garage Annex","120-15 31st Ave. Queens NY","DSNY","526.73","11354","QUEENS   ","40.769692","-73.847197","7","19","907",,,"College Point                                                              "
"Other","Retro-commissioning","Survey",,,"K 251 Paerdegat","1037 East 54th Street","DOE",,"11234","BROOKLYN ","40.632524","-73.924417","18","46","722","3214729","3077580001","Flatlands                                                                  "
"HVAC System Upgrade","Retrofit","Substantially Completed","15-Apr-12",,"Queens Borough Hall","120-55 Queens Blvd","DCAS","2373.48","11415","QUEENS   ","40.713329","-73.828601","9","29","216","4052812","4022740002","Kew Gardens                                                                "
"Other","None",,"1-Jan-12","1-Jun-10","CUNY Solar Mapping Project","Not applicable","CUNY",,,,,,,,,,,
"Comprehensive","Retrofit","Design",,,"Bronx 12 District Garage","1635 East 233rd St. Bronx NY","DSNY","60.8","10466","BRONX    ","40.888188","-73.826903","12","12","456","2090261","2049740028","Eastchester-Edenwald-Baychester                                            "
"Energy Audit","None","Completed","12-Apr-11","7-May-12","K383 JHS 383 Philippa Schuyler","1300 Greene Av","DOE","156.59","11237","BROOKLYN ","40.697781","-73.919777","4","37","431","3075413","3032980001","Bushwick North                                                             "
"Comprehensive","Retrofit","Install","16-Aug-12",,"K041 - P.S. 041 Francis White","411 Thatford Avenue","DOE","93.69","11212","BROOKLYN ","40.660306","-73.907355","16","42","918","3082389","3036040001","Brownsville                                                                "
"Comprehensive","Retrofit","Design",,,"Brooklyn North 1/4 District Garage","161 Varick Ave Brooklyn NY",,"1351.01","11237","BROOKLYN ","40.711118","-73.928548","1","34","449","3400387","3029620001","East Williamsburg                                                          "
"Lighting System Upgrade","Retrofit","Completed","5-Jul-11","30-Oct-11","Queens Borough Hall","120-55 Queens Blvd","DCAS","124.9","11415","QUEENS   ","40.713329","-73.828601","9","29","216","4052812","4022740002","Kew Gardens                                                                "
"Energy Audit","None","Completed","16-Feb-11","17-Apr-12","P.S.39X","965 Longwood Avenue","DOE","76.78","10459","BRONX    ","40.817512","-73.898212","2","17","87","2005616","2027100001","Longwood                                                                   "
"HVAC System Upgrade","Retrofit","Install","20-Sep-10",,"Metropolitan Museum of Art","1000 Fifth Avenue","DCLA",,"10028","MANHATTAN","40.778633","-73.962546","64","6","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"Comprehensive","Retrofit","Design",,,"P.S.111X Seton Falls School","3740 Baychester Avenue","DOE","125.56","10466","BRONX    ","40.884343","-73.840254","12","12","484","2065992","2049160001","Eastchester-Edenwald-Baychester                                            "
"Other","Retro-commissioning","Survey",,,"P.S.131K","4305 Fort Hamilton Parkway","DOE",,"11219","BROOKLYN ","40.641157","-73.993482","12","39","224","3136085","3056030001","Borough Park                                                               "
"Energy Audit","None","Completed","6-Oct-10","5-Aug-11","Randall's Island 5 Borough Complex","1 E 99th Street","DPR","379.19",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Design",,,"New York Hall Of Science - 47-01 111th Street","47-00 111th Street","DCLA","98.31","11368","QUEENS   ","40.747393","-73.853564","4","21","415",,,"Corona                                                                     "
"Other","Retro-commissioning","Proposed",,,"5 Boro","1 Randalls Island","DPR",,"10035","MANHATTAN","40.794834","-73.921697","11","8","240","1000000","1018190203","park-cemetery-etc-Manhattan                                                "
"HVAC System Upgrade","Retrofit","Substantially Completed","1-Mar-11",,"City Center","131 West 55th Street","DCLA","631.14","10019","MANHATTAN","40.763607","-73.979496","5","4","137","1023391","1010080015","Midtown-Midtown South                                                      "
"Lighting System Upgrade","Retrofit","Completed","20-May-09","28-Jan-10","63rd Precinct","1844 BROOKLYN AVENUE","NYPD","12.31","11210","BROOKLYN ","40.628162","-73.941357","18","45","740","3207376","3075990067","Flatlands                                                                  "
"HVAC System Upgrade","Retrofit","Install","1-Jul-09",,"Carnegie Hall","881 7th Avenue","DCLA","308.71","10019","MANHATTAN","40.764941","-73.980445","5","4","137","1023449","1010090001","Midtown-Midtown South                                                      "
"Lighting System Upgrade","Retrofit","Design",,,"New Explorations into Science Technology and Math (NEST) High School","111 Columbia Street","DOE","87.93","10002","MANHATTAN","40.718895","-73.979308","3","2","2201","1004070","1003350001","Lower East Side                                                            "
"Other","Retro-commissioning","Survey",,,"P.S.78X Anne Hutchinson","1400 Needham Avenue","DOE",,"10469","BRONX    ","40.878577","-73.851163","12","12","386","2060191","2047190001","Eastchester-Edenwald-Baychester                                            "
"Comprehensive","Retrofit","Install","6-Jan-12",,"St. Mary's Rec Center","450 St. Ann's Avenue","DPR","267.33","10455","BRONX    ","40.811972","-73.914275","1","8","37","2003692","2025570001","Mott Haven-Port Morris                                                     "
"Lighting System Upgrade","Retrofit","Install","14-Aug-12",,"K121 - P.S. 121 Nelson A. Rockefeller","5301 20th Avenue","DOE","37.05","11204","BROOKLYN ","40.623273","-73.978822","12","44","464","3253281","3054951101","Borough Park                                                               "
"Comprehensive","Retrofit","Design",,,"J.H.S.125X Henry Hudson Middle School","1111 Pugsley Avenue","DOE","102.28","10472","BRONX    ","40.829232","-73.856734","9","18","4001","2025717","2037900040","Soundview-Bruckner                                                         "
"Energy Audit","None","Completed",,,"Queens Supreme Court","88-11 Sutphin Blvd","DCAS",,"11435","QUEENS   ","40.704623","-73.809151","12","24","238","4207071","4096910001","Jamaica                                                                    "
"Other","Retro-commissioning","Survey","10-Aug-12","10-Sep-12","K287- Bailey K. Ashford","50 Navy Street","DOE","0","11201","BROOKLYN ","40.697901","-73.98054","2","35","23","3000203","3001110001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Comprehensive","Retrofit","Design",,,"PS 75M Emily Dickinson School","735 West End Avenue","DOE",,"10025","MANHATTAN","40.795157","-73.973292","7","6","183","1034190","1012530065","Upper West Side                                                            "
"Energy Audit","None","In Progress","14-Aug-12",,"K191 Paul Robeson","1600 Park Place","DOE","0","11233","BROOKLYN ","40.672005","-73.924329","8","41","359","3036635","3013750012","Crown Heights North                                                        "
"Lighting System Upgrade","Retrofit","Completed","1-Jul-09","8-Oct-09","I.S. 27R","15 Clove Alke Place","DOE","0",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Completed","5-Mar-09","18-Mar-10","Bureau Of Supplies","44-46 VERNON BOULEVARD","DOE","445.19","11101","QUEENS   ","40.749272","-73.95223","2","26","1","4005429","4004890001","Hunters Point-Sunnyside-West Maspeth                                       "
"Other","Photovoltaic","Substantially Completed","14-Dec-11","24-Feb-12","114th Precinct - Photovoltaic","34-16 Astoria Blvd","NYPD","15.77","11103","QUEENS   ","40.769581","-73.915593","1","22","6501","4009361","4006320030","Astoria                                                                    "
"Comprehensive","Retrofit","Design",,,"Kingsborough Community College, T-2 Building","2065 Oriental Blvd","CUNY","43.32","11235","BROOKLYN ","40.578106","-73.933388","15","48","616","3397338","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Energy Audit","None","Completed",,,"84th Precinct & Engine Company 207","301 Gold St","DCAS","137.5","11201","BROOKLYN ","40.695447","-73.983228","2","35","15","3000252","3001340006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Lighting System Upgrade","Retrofit","Install","21-Sep-12",,"14K380 - 370 Marcy Avenue","370 Marcy Avenue","DOE","121.52","11206","BROOKLYN ","40.702427","-73.952985","1","33","531","3061235","3022360009","Bedford                                                                    "
"Other","Photovoltaic","Substantially Completed","31-Oct-11","22-Feb-12","Brooklyn South 14 - Photovoltaic","1397 Ralph Avenue","DSNY","22.52","11236","BROOKLYN ","40.642674","-73.919717","18","45","960","3221978","3079180145","Canarsie                                                                   "
"Other","Retro-commissioning","Survey",,,"P.S.219Q Paul Klapper","144-39 Gravett Road","DOE",,"11367","QUEENS   ","40.735275","-73.823778","8","24","809","4448708","4065070001","Kew Gardens Hills                                                          "
"Energy Audit","None","Completed",,,,"235 E 21TH ST","NYPD",,"10010","MANHATTAN","40.737173","-73.983174","6","2","64","1019642","1009020022","Gramercy                                                                   "
"Lighting System Upgrade","Retrofit","Completed","13-May-08","7-Oct-08","P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X","2475 Southern Boulevard","DOE","64.17","10458","BRONX    ","40.855263","-73.881139","6","15","393","2086808","2031150021","Belmont                                                                    "
"Energy Audit","None","Completed","16-Mar-10","16-Dec-10","Park West High School","525 WEST 50TH STREET","DOE","106.04","10019","MANHATTAN","40.765184","-73.992953","4","3","135","1083802","1010790029","Clinton                                                                    "
"Lighting System Upgrade","Retrofit","Substantially Completed","29-Aug-11","27-Aug-12","BMS/QMS Building","59-06 LAUREL HILL BLVD","NYPD","112.24","11377","QUEENS   ","40.736834","-73.906426","2","30","243","4054168","4023440030","Elmhurst-Maspeth                                                           "
"Lighting System Upgrade","Retrofit","Install",,,"11X021 - 715 East 225th Street","715 East 225th Street","DOE","39.81","10466","BRONX    ","40.887582","-73.859733","12","12","406","2063435","2048390039","Williamsbridge-Olinville                                                   "
"Lighting System Upgrade","Retrofit","Design",,,"Studio Museum In Harlem - 144 West 125th Street","144 West 125th Street  NY, NY  10027","DCLA","134.65","10027","MANHATTAN","40.808523","-73.947278","10","9","222","1057819","1019090009","Central Harlem South                                                       "
"Lighting System Upgrade","Retrofit","Completed","26-Jun-09","12-May-10","Bklyn 8, Bklyn 7/10 District Garages","1760 Atlantic Ave, 1755 Pacific Street","DSNY","44.39","11213","BROOKLYN ","40.677494","-73.931969","8","36","309","3330693","3013360018","Crown Heights North                                                        "
"Energy Audit","None","Completed","20-Apr-11","4-Apr-12","Fashion Industries High School","225 West 24th St","DOE","29.57","10011","MANHATTAN","40.745156","-73.996074","4","3","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Lighting System Upgrade","Retrofit","Completed","24-Jul-09","13-May-10","3A","680  East 132nd Street","DSNY","22.22","10454","BRONX    ","40.801291","-73.916431","1","17","19","2003581","2025430060","Mott Haven-Port Morris                                                     "
"Lighting System Upgrade","Retrofit","Install",,,"08X152 - 1007 Evergreen Avenue","1007 Evergreen Avenue","DOE","106.34","10472","BRONX    ","40.824054","-73.880039","9","17","52","2023336","2037110001","Soundview-Bruckner                                                         "
"Other","Retro-commissioning","Proposed",,,"J.H.S.125X Henry Hudson Middle School","1111 Pugsley Avenue","DOE",,"10472","BRONX    ","40.829232","-73.856734","9","18","4001","2025717","2037900040","Soundview-Bruckner                                                         "
"HVAC System Upgrade","Retrofit","Design",,,"69th Precinct - 9720 Foster Avenue","9720 Foster Avenue","NYPD","64.56","11236","BROOKLYN ","40.648606","-73.905256","18","42","1098","3229075","3081470026","East New York                                                              "
"HVAC System Upgrade","Retrofit","Completed",,"1-Aug-12","Rikers Island Laundry Water Recycling System","8 hazen st east elmhurst","DOC","1834.84",,,,,,,,,,
"Other","Retro-commissioning","Proposed",,,"Fleet Services Shop","654 West 158th Street",,,"10032","MANHATTAN","40.836","-73.947567","12","7","241","1087614","1021340218","Washington Heights South                                                   "
"Lighting System Upgrade","Retrofit","Completed","8-Apr-10","29-Sep-10","Bronx County Court - 851 Grand Concourse","E 161ST ST & GRAND CONCORSE BX COUNTY CT","DCAS",,,,,,,,,,,
"Other","Retro-commissioning","Survey",,,"I.S.238Q Susan B Anthony School","88-15 182nd Street","DOE",,"11423","QUEENS   ","40.713094","-73.780468","12","27","470","4212425","4099190006","Jamaica                                                                    "
"Lighting System Upgrade","Retrofit","Completed","1-Mar-11","9-Aug-11","137 Centre Street","133-37 Centre Street","DCAS","71.03","10013","MANHATTAN","40.717036","-74.000747","1","1","31","1002358","1001970017","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Other","Retro-commissioning","Survey",,,"J.H.S. 383 Philippa Schuyler","1300 Greene Avenue","DOE",,"11237","BROOKLYN ","40.697781","-73.919777","4","37","431","3075413","3032980001","Bushwick North                                                             "
"Comprehensive","Retrofit","Design","12-Apr-11",,"George R. Vierno Center","09-09 Hazen St","DOC",,"11370","QUEENS   ","40.794577","-73.884162","1","22","1","2096863","2026050040","Rikers Island                                                              "
"Other","Retro-commissioning","Survey",,,"P.S.112X The Bronxwood School","1925 Schieffelin Avenue","DOE",,"10466","BRONX    ","40.885008","-73.843193","12","12","458","2065991","2049050500","Eastchester-Edenwald-Baychester                                            "
"Lighting System Upgrade","Retrofit","Substantially Completed","17-Aug-11","5-Sep-12","Metropolitan Museum of Art","1000 Fifth Avenue","DCLA",,"10028","MANHATTAN","40.778633","-73.962546","64","6","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"Energy Audit","None","Completed","3-Aug-11","3-Feb-12","Woodhull Hospital","760 Broadway, Brooklyn","HHC","1763.8","11206","BROOKLYN ","40.700528","-73.941604","3","36","28501","3048341","3017230001","Bushwick South                                                             "
"Lighting System Upgrade","Retrofit","Completed","3-Aug-09","14-Jan-10","Brooklyn Municipal Bldg - 210 Joralemon St.","Court-Joralemon Sts Bklyn Municipal Bldg","DCAS","73.13",,,,,,,,,,
"Other","Retro-commissioning","Proposed",,,"K126 John Ericsson JHS","424 Leonard Street","DOE",,"11222","BROOKLYN ","40.719819","-73.948625","1","33","499","3067788","3027120001","Greenpoint                                                                 "
"Comprehensive","Retrofit","Design",,,"P.S.39X","965 Longwood Avenue","DOE","98.81","10459","BRONX    ","40.817512","-73.898212","2","17","87","2005616","2027100001","Longwood                                                                   "
"Lighting System Upgrade","Retrofit","Completed","23-Apr-08","27-Feb-09","I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South)","90-15 Sutter Ave","DOE","68.8","11417","QUEENS   ","40.67641","-73.846773","10","32","54","4190727","4091550025","Ozone Park                                                                 "
"Comprehensive","Retrofit","Design",,,"Bronx Bergen Building","1932 Arthur Avenue Bronx NY","DCAS","153.01","10457","BRONX    ","40.845685","-73.893294","6","17","36901","2009911","2029470018","East Tremont                                                               "
"Energy Audit","None","Completed","14-Oct-10","27-May-11","M721 - PS 721 Manhattan Occupational Training Center","250 West Houston St","DOE","114.97","10014","MANHATTAN","40.728677","-74.005993","2","3","67","1009757","1005810054","West Village                                                               "
"Energy Audit","None","In Progress","30-Sep-11","15-Feb-12","Bellevue Men's Shelter","500 1st Avenue","DHS","0","10016","MANHATTAN","40.740735","-73.975717","6","4","62","1087298","1009620097","Murray Hill-Kips Bay                                                       "
"Other","Retro-commissioning","Survey",,,"M721- Manhattan Occupational Training Center","250 West Houston Street","DOE",,"10014","MANHATTAN","40.728677","-74.005993","2","3","67","1009757","1005810054","West Village                                                               "
"Lighting System Upgrade","Retrofit","Completed","27-Mar-09","15-Sep-09","Engine Company 207","301 Gold Street, 172 Tillary Street","FDNY","33.08","11201","BROOKLYN ","40.695447","-73.983228","2","35","15","3000252","3001340006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Lighting System Upgrade","Retrofit","Completed","4-Oct-07","1-Apr-08","Tony Dapolito Recreational Center"," 3 Clarkson Street","DPR","40","10014","MANHATTAN","40.729376","-74.005578","2","3","67",,,"West Village                                                               "
"Lighting System Upgrade","Retrofit","Completed","27-Mar-09","24-Jun-09","Engine Company 42 & Ladder 56","1781 Monroe Avenue","FDNY","11.52","10457","BRONX    ","40.846283","-73.906532","5","15","22901","2007448","2027970035","Mount Hope                                                                 "
"Comprehensive","Retrofit","Design",,,"P.S.68X The Bronx School","4011 Monticello Avenue","DOE","361.17","10466","BRONX    ","40.891732","-73.838471","12","12","426","2067852","2049860081","Woodlawn-Wakefield                                                         "
"Other","Retro-commissioning","Survey",,,"Police Headquarters","1 Police Plaza","NYPD",,"10038","MANHATTAN","40.712356","-74.000891","1","1","29","1079143","1001190001","Chinatown                                                                  "
"Energy Audit","None","Completed","31-Mar-10","19-Mar-12","Mario Merola Building","851 Grand Concourse","DCAS","1535.73","10451","BRONX    ","40.825999","-73.923131","4","8","63","2002869","2024680001","West Concourse                                                             "
"Lighting System Upgrade","Retrofit","Substantially Completed","26-Mar-12","21-Jun-12","East Harlem Health Care Center","158 East 115th Street","DOHMH","51.79","10029","MANHATTAN","40.797755","-73.941699","11","8","182","1052229","1016400147","East Harlem North                                                          "
"Lighting System Upgrade","Retrofit","Substantially Completed","1-Jul-11","31-Dec-11","Engine Company 268","259 Beach 116 Street","FDNY","15.94",,,,,,,,,,
"Energy Audit","None","Completed","6-Feb-12","15-Jun-12","81st Precinct","30 Ralph Ave Brooklyn NY","NYPD","42.72","11221","BROOKLYN ","40.689456","-73.924024","3","41","387","3044596","3016330039","Stuyvesant Heights                                                         "
"Other","Retro-commissioning","Survey",,,"Charles A. Dorsey PS 67","51 Saint Edwards St","DOE",,"11205","BROOKLYN ","40.695633","-73.978215","2","35","2901","3332507","3020390002","Fort Greene                                                                "
"Comprehensive","Retrofit","Design","1-Jul-11",,"Twin Parks Upper School","2055 Mapes Ave","DOE","501.16","10460","BRONX    ","40.845878","-73.886184","6","15","371","2012957","2031090001","East Tremont                                                               "
"Lighting System Upgrade","Retrofit","Completed","20-May-09","28-Jan-10","61st Precinct","2575 CONEY ISLAND AVENUE","NYPD","41.65","11223","BROOKLYN ","40.594011","-73.960853","15","48","584","3200556","3073710052","Homecrest                                                                  "
"Comprehensive","Retrofit","Cancelled",,,"Brooklyn Heights Branch Library","280 Cadman Plaza West","BPL","117.07","11201","BROOKLYN ","40.695657","-73.991006","2","33","502","3001939","3002390016","Brooklyn Heights-Cobble Hill                                               "
"Energy Audit","None","Completed","9-Jan-12","3-Apr-12","73rd Precinct","470 EAST NEW YORK AVENUE","NYPD","66.37","11225","BROOKLYN ","40.661783","-73.947073","9","40","806","3106522","3047920008","Prospect Lefferts Gardens-Wingate                                          "
"Lighting System Upgrade","Retrofit","Substantially Completed","12-Mar-12","29-Mar-12","Woodhaven Branch Library","8541 Forest Pkwy","QPL","8.27","11421","QUEENS   ","40.694619","-73.861812","9","32","12","4181578","4088560085","Woodhaven                                                                  "
"Other","Retro-commissioning","Survey",,,"John Bowne","142-30 Barclay Ave","DOE",,"11355","QUEENS   ","40.758689","-73.824832","7","20","855","4114657","4050470001","Flushing                                                                   "
"Lighting System Upgrade","Retrofit","Completed","27-Jun-08","5-May-09","H.S. Of Graphic Communication Arts","439 WEST 49TH ST","DOE","235.57","10019","MANHATTAN","40.76337","-73.990593","4","3","127","1026646","1010590015","Clinton                                                                    "
"Comprehensive","Retrofit","Design",,,"Staten Island Museum - 75 Stuyvesant Place","75 Stuyvesant Place","DCLA","187.8","10301","STATEN IS","40.644262","-74.077896","1","49","7","5000088","5000090001","West New Brighton-New Brighton-St. George                                  "
"Lighting System Upgrade","Retrofit","Completed","15-Dec-10","6-May-11","Human Resources Administration - 33-28 Northern Blvd","33-28 to 34-08 Northern Blvd","HRA","83.86",,,,,,,,,,
"Comprehensive","Retrofit","Design",,,"Elmhurst Hospital Center","79-01 Broadway  Elmhurst, NY  11373","HHC","6459.37","11373","QUEENS   ","40.744416","-73.886097","4","25","267","4437132","4015000002","Elmhurst                                                                   "
"Energy Audit","None","Completed","14-Feb-11","28-Jun-11","Bronx Concourse Plaza","198 East 161st Street","DCAS","314.72","10451","BRONX    ","40.826354","-73.921024","4","16","61","2099027","2024430094","East Concourse-Concourse Village                                           "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-07","13-Sep-08","44th Precinct","2 EAST 169TH ST","NYPD","42.07","10452","BRONX    ","40.837837","-73.91963","4","16","22101","2003017","2024890077","West Concourse                                                             "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-08","2-Jun-09","Brooklyn District 17/18 Garage","105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D","DSNY","234.06",,,,,,,,,,
"Energy Audit","None","Completed","4-Jan-12","14-May-12","NYPD 72nd Precinct","830 4th Avenue Brooklyn NY 11232","NYPD","23.76","11232","BROOKLYN ","40.65815","-74.00044","7","38","101","3009843","3006680029","Sunset Park West                                                           "
"Lighting System Upgrade","Retrofit","Completed","30-Jun-10","24-Nov-10","Group 5 - 71st/76th/90th/94th/77 Annex Pcts","100 MESEROLE AVENUE","NYPD","57.6","11222","BROOKLYN ","40.726993","-73.952982","1","33","561","3065579","3026190003","Greenpoint                                                                 "
