"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Other","tgyc-r5jh","New York City Art Galleries","Location of New York City Art Galleries","map","Recreation","No","https://data.cityofnewyork.us/d/tgyc-r5jh","8/4/2014","As needed","2014-06-17T16:50:41.000","","No","No","No","N/A","","","","11842",,,,"false"
"Department of Education (DOE)","smui-k6ms","Local Law 51 - DL Final","Local Law 51- Reporting on student-to-student bullying, harassment,
intimidation and discrimination for spring semester.","dataset","Education","Yes","https://data.cityofnewyork.us/d/smui-k6ms","May 17, 2022","Annually","2022-05-17T20:35:11.000","No","No","Yes","N/A","N/A","N/A","N/A","No","91","35","11",,"false"
"Mayor's Office of Operations (OPS)","rzqa-wvyv","FY2022 PMMR Agency Performance Indicators","NYC agency performance indicators from the FY2022 Preliminary Mayor's Management Report (PMMR). This dataset reflects measures of agency performance, organized by goal, including five full years of data for the most recent fiscal years wherever available.

The FY2022 PMMR, archived reports, and additional information is available at https://www1.nyc.gov/site/operations/performance/mmr.page.","dataset","City Government","NO","https://data.cityofnewyork.us/d/rzqa-wvyv","3/15/2022","Historical data","2022-03-08T15:23:22.000","No","No","Yes","No","N/A","Yes","Historical","No","59","1882","11",,"false"
"Department of Education (DOE)","3kj6-hxzd","2016-2017 Discharge Reporting by School Level - MS","This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042.
At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender.  Citywide, Borough, and District results represent the last discharge or transfer for each student. School level results represent all events for all students. District 79 programs are included in the Citywide, Borough and District results, but not shown in the school-level spreadsheets.","dataset","Education","Yes","https://data.cityofnewyork.us/d/3kj6-hxzd","December 31, 2020","Annually","2021-01-01T00:59:02.000","No","No","Yes","No","No","N/A","N/A","No","113","5285","6",,"false"
"Department of Education (DOE)","f4ux-qw5u","2011-2012 School Closure Discharge Reporting - ToSchool","In June 2012, 7 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2011-2012 school year, according to the guidelines set by Local Law 2011/043","dataset","Education","No","https://data.cityofnewyork.us/d/f4ux-qw5u","March 23, 2018","Historical data","2018-03-23T16:28:11.000","No","No","Yes","No","N/A","No","N/A","No","146",,"0",,"false"
"Department of Education (DOE)","uz9h-5uv2","2015 - 2016 School Closure Discharge Reporting Borough Gender","New York City public schools closed for poor performance. This report provides data regarding students enrolled in these schools during the school year, according to the guidelines set by Local Law 043","dataset","Education","No","https://data.cityofnewyork.us/d/uz9h-5uv2","02/20/2018","Historical data","2018-02-20T20:41:56.000","No","No","Yes","No","N/A","No","N/A","No","145","393","9",,"false"
"Department of Education (DOE)","aqy4-qgvz","2010-2011 School Closure Discharge Reporting Discharge Code","In June 2011, fifteen  New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2010-2011 school year, according to the guidelines set by local law 2011/043.","dataset","Education","No","https://data.cityofnewyork.us/d/aqy4-qgvz","March 20, 2018","Historical data","2018-03-20T18:45:23.000","No","No","Yes","No","N/A","No","N/A","No","128",,"0",,"false"
"Department of Records and Information Services (DORIS)","28et-rv7b","Archivesspace Digital Objects","Displays digital object(s) in table format. The data contains title, digital object identifier, object type, dates and the title and identifier of linked resources.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/28et-rv7b","9/16/2021","Monthly","2022-07-06T18:43:52.000","No","No","Yes","No","N/A","Yes","Monthly","No","145","20","5",,"false"
"Campaign Finance Board (CFB)","bf74-7bnx","2013 Public Funds Payments","Public Funds payments to 2013 Election campaigns.","dataset","City Government","YES","https://data.cityofnewyork.us/d/bf74-7bnx","3/8/2021","Historical data","2021-02-16T00:46:27.000","No","No","Yes","No","N/A","Yes","Historical","No","99","202","11",,"false"
"Department of Education (DOE)","2ith-35wn","2016-2017 Discharge Reporting by SWD - MS","This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042.
At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender. Citywide, Borough, and District results represent the last discharge or transfer for each student. School level results represent all events for all students. District 79 programs are included in the Citywide, Borough and District results, but not shown in the school-level spreadsheets.","dataset","Education","Yes","https://data.cityofnewyork.us/d/2ith-35wn","December 31, 2020","Annually","2021-01-01T00:35:28.000","No","No","Yes","No","No","N/A","N/A","No","96","228","5",,"false"
"Taxi and Limousine Commission (TLC)","am94-epxh","2018 For Hire Vehicles Trip Data","The For-Hire Vehicle (“FHV”) trip records include fields capturing the dispatching base license number and the pick-up date, time, and taxi zone location ID (shape file below). These records are generated from the FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information.

For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml","dataset","Transportation","NO","https://data.cityofnewyork.us/d/am94-epxh","10/19/2018","Historical data","2019-04-17T18:58:46.000","No","No","Yes","No","N/A","No","N/A","No","2593","260766056","6",,"false"
"Department of Education (DOE)","ap68-7a8h","2017-2018 School Closure Discharge Report Borough - Age/ELL/SWD/Gender/Grade/Ethnicity","In June 2018, 10 New York City public schools were closed.  This report provides data regarding students enrolled in these schools during the 2017-18 school year, according to the guidelines set by Local Law 2011/043","dataset","Education","Yes","https://data.cityofnewyork.us/d/ap68-7a8h","December 21, 2020","Annually","2020-12-22T00:21:10.000","N/A","No","Yes","No","No","N/A","N/A","No","99","373","27",,"false"
"Department of Youth and Community Development (DYCD)","6khm-nrue","Demographics by Borough","This dataset provides a Demographic breakdown of only DYCD-funded participants within a Borough of NYC. The data displays the counts, and percentages of the participants in each of the following categories:
●	Gender (Male, Female, Unknown)
●	Ethnicity (Hispanic/Latino, non-Hispanic/non-Latino)
●	Race (Pacific Islander, American Indian, Asian, White, Black, Other, Unknown)
This data is used to measure the numbers of the different population groups that are served by DYCD for a Borough, and Community.","dataset","Social Services","YES","https://data.cityofnewyork.us/d/6khm-nrue","6/20/2019","Annually","2021-02-04T14:29:00.000","Yes","No","Yes","No","N/A","Yes","Quarterly","Yes","2371","155","47",,"false"
"Department of Education (DOE)","9f25-223x","2017 - 2018 November2017 Avg Class Size District MSHS - Open Data Portal","MSHA Class Size Report - Aggregated by Districts","dataset","Education","No","https://data.cityofnewyork.us/d/9f25-223x","11/28/2017","Historical data","2017-11-28T14:23:06.000","No","No","Yes","No","N/A","No","N/A","No","151","2499","8",,"false"
"Taxi and Limousine Commission (TLC)","kpv8-upnp","Historical Medallion Drivers – Passenger Assistance Trained 2019-2020","This list contains information on the status of current medallion drivers who had completed Passenger Assistance Training. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. To view the latest list please visit https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Passenger-Assistance-Trained/td5q-ry6d/","dataset","Transportation","NO","https://data.cityofnewyork.us/d/kpv8-upnp","2/17/2021","Historical data","2021-02-17T03:14:20.000","No","No","Yes","No","N/A","No","N/A","No","160","130510061","7",,"false"
"Department of Environmental Protection (DEP)","3qwy-zqtv","Watershed Water Quality - Keypoint Qualifiers","Qualifiers, notes, and additional information regarding the sample data provided or omitted.","dataset","Environment","NO","https://data.cityofnewyork.us/d/3qwy-zqtv","9/30/2021","Annually","2021-09-08T20:58:46.000","No","No","Yes","No","N/A","No","N/A","No","145","341049","5",,"false"
"Other","3gx8-vrcy","New York Power Authority Net Generation (MWh) Produced by Facility","Data to solve NYC ACRE's BigIdea","href","NYC BigApps","No","https://data.cityofnewyork.us/d/3gx8-vrcy","5/7/2014","As needed","2014-05-06T15:38:17.000","","No","N/A","N/A","N/A","","","","311",,,,"false"
"Department of Education (DOE)","6x2x-mkuy","2013-2019 English Language Arts (ELA) Test Results District - All/SWD/Ethnicity/Gender/Economic Status/ELL","In 2018, NYSED rescaled the Math and ELA exams to account for a change in test administration from 3 days to 2 days. Therefore, 2018 and 2019 results can be compared to each other but cannot be compared to prior years.  
Starting in 2013, NYSED changed the exams to be Common Core aligned. 
In order to comply with regulations of the Family Educational Rights and Privacy Act (FERPA) on public reporting of education outcomes, 
groups with 5 or fewer tested students are suppressed with an “s”.","dataset","Education","Yes","https://data.cityofnewyork.us/d/6x2x-mkuy","December 31, 2020","Historical data","2020-12-31T20:23:23.000","No","No","Yes","No","No","N/A","N/A","No","167","1568","16",,"false"
"Campaign Finance Board (CFB)","cgcg-w2ys","Off Year Special Elections Campaign Expenditure","Off year special elections campaign expenditures.","dataset","City Government","NO","https://data.cityofnewyork.us/d/cgcg-w2ys","3/8/2021","Every 6 months","2021-03-08T13:29:41.000","No","No","Yes","No","N/A","No","N/A","No","114","17458","32",,"false"
"Department for the Aging (DFTA)","b8z8-mpdb","Department for the Aging (DFTA) Reported Service Units by Month of Case Management Agency Contracted Providers","Reported Units of Service by Month of registered and contracted agencies providing Case Management Services/","dataset","Social Services","YES","https://data.cityofnewyork.us/d/b8z8-mpdb","3/6/2019","Monthly","2021-10-28T11:19:35.000","Yes","Yes","Yes","No","N/A","No","N/A","Yes","159","530","9",,"false"
"Department of Education (DOE)","vww9-qguh","2013-2019 Attendance Results - School","Attendance data includes students in district 1-32, 75 (Special Education), district 79 (Alternative Schools & Programs), charter schools, home schooling.  Home and hospital instruction are excluded.  Pre-K data does not include NYC Early Education Centers or District Pre-K Centers therefore data is limited to those who attend K-12 schools that offer Pre-K.  Transfer school counts are not in school level file.  Attendance is registered to school student is attending at the time. If a student attend multiple schools in a school year the data will be reflected in multiple schools.  Chronical absence is defined if a student has an attendance rate of less than 90 percent ( students  who are absent 10 percent or more of the total days).","dataset","Education","No","https://data.cityofnewyork.us/d/vww9-qguh","February 13, 2020","Every 4 years","2020-02-13T20:08:43.000","No","No","Yes","No","N/A","N/A","N/A","N/A","1235","824146","13",,"false"
"Mayor's Office of Climate and Sustainability","4hbx-ab3c","NYC Covered Building's List (2015)","The covered building list identifies properties required to comply with Local Law 84: Benchmarking.","dataset","Environment","NO","https://data.cityofnewyork.us/d/4hbx-ab3c","12/2/2019","Historical data","2019-11-26T21:15:00.000","Yes","No","Yes","Yes","Yes","Yes","Annually","No","153","13678","19",,"false"
"Mayor's Office for Economic Opportunity","2ji4-fd5z","NYCgov Poverty Measure Data (2005)","American Community Survey Public Use Micro Sample, augmented by NYC Opportunity","dataset","City Government","NO","https://data.cityofnewyork.us/d/2ji4-fd5z","7/28/2021","Historical data","2021-07-26T19:55:27.000","No","No","Yes","No","N/A","No","N/A","No","126","60512","61",,"false"
"Department of Education (DOE)","adqm-qibj","2012-2013 School Closure Discharge Reporting - All Districts","In June 2013, Some New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2012-2013 school year, according to the guidelines set by Local Law 2011/043.","dataset","Education","No","https://data.cityofnewyork.us/d/adqm-qibj","March 26, 2018","Historical data","2018-03-26T20:03:58.000","No","No","Yes","No","N/A","No","N/A","No","154",,"0",,"false"
"Department of Education (DOE)","vxah-4hdw","2017-2018 Students with Multiple Removals or Suspensions - SWD","Student with two or more suspensions and/or removals annual report for students with and without disabilities aggregated by district, borough and school number.","dataset","Education","Yes","https://data.cityofnewyork.us/d/vxah-4hdw","November 16, 2020","Annually","2020-11-16T21:01:45.000","No","No","Yes","No","No","N/A","N/A","No","125","1660","7",,"false"
"Department of Finance (DOF)","jt7v-77mi","Parking Violations Issued - Fiscal Year 2014","Parking Violations Issuance datasets contain violations issued during the respective fiscal year.  The Issuance datasets are not updated to reflect violation status, the information only represents the violation(s) at the time they are issued. Since appearing on an issuance dataset, a violation may have been paid, dismissed via a hearing, statutorily expired, or had other changes to its status. To see the current status of outstanding parking violations, please look at the Open Parking & Camera Violations dataset.</p>
• Parking Violations Issued Fiscal Year 2020 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2020/pvqr-7yc4"">here</a>
• Parking Violations Issued Fiscal Year 2019 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2019/faiq-9dfq"">here</a>
• Parking Violations Issued Fiscal Year 2018 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2018/a5td-mswe"">here</a>
• Parking Violations Issued Fiscal Year 2017 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2017/2bnn-yakx"">here</a>
• Parking Violations Issued Fiscal Year 2016 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2016/kiv2-tbus"">here</a>
• Parking Violations Issued Fiscal Year 2015 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2015/c284-tqph"">here</a>
• Parking Violations Issued Fiscal Year 2014 can be found <a href=""https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2014/jt7v-77mi"">here</a>","dataset","City Government","No","https://data.cityofnewyork.us/d/jt7v-77mi","11/1/2013","Historical data","2017-11-15T17:04:39.000","No","No","Yes","No","N/A","No","N/A","No","25060","9100278","43",,"false"
"Department of Education (DOE)","4tqt-y424","Drivers and Attendants","OPT does not operate any buses nor does it directly employ any bus drivers or attendants. Drivers and attendants (sometimes referred to as ‘matrons’ or ‘escorts’) and employed by bus vendors themselves. OPT manages systems and processes to ensure that drivers and attendants have all requisite background checks and certifications. The Driver and Attendant summary data is available for each bus vendor and describes the number of active employees by job type.","dataset","Transportation","Yes","https://data.cityofnewyork.us/d/4tqt-y424","3/28/2016","Historical data","2022-08-01T10:38:53.000","Yes","Yes","Yes","No","N/A","No","N/A","No","1465","1008","5",,"false"
"Mayor's Office of Management & Budget (OMB)","s7yh-frbm","Capital Project Detail Data - Milestones","This dataset contains capital commitment plan data by managing agency,  project identification number and project schedules. The dataset is updated three times a year during the Preliminary, Executive and Adopted Capital Commitment Plans.","dataset","City Government","NO","https://data.cityofnewyork.us/d/s7yh-frbm","6/20/2019","Every 4 months","2022-05-18T17:19:37.000","No","No","Yes","No","N/A","Yes","Tri-annually","No","872","355506","12",,"false"
"Department of Parks and Recreation (DPR)","iidj-gxys","Parks Trails Map","Location of paths or trails in designated Forever Wild areas of NYC Parks.","map","Environment",,"https://data.cityofnewyork.us/d/iidj-gxys","10/9/2018","As needed","2022-08-06T13:00:35.000",,"No",,,,,,,"904",,,"vjbm-hsyr","true"
"Department of Consumer and Worker Protection (DCWP)","ghgh-2vas","Tobacco Retail Dealer and Electronic Cigarette Retail Dealer Caps by Community District (2020)","This dataset shows the maximum number (cap) of Tobacco Retail Dealer and Electronic Cigarette Retail Dealer licenses allowed in each Community District, as well as the current number of active Tobacco Retail Dealer and Electronic Cigarette Retail Dealer licenses.

The City set caps (limits) on the number of Tobacco Retail Dealer and Electronic Cigarette Retail Dealer licenses in each Community District established under Chapter 69 of the New York City Charter. The caps are 50 percent of the number of active Tobacco Retail Dealer licenses on February 24, 2018 and 50 percent of the number of licenses issued for Electronic Cigarette Retail Dealer as of August 23, 2018. The cap for Tobacco Retail Dealers excludes pharmacies whose licenses permanently expire before January 1, 2019 when pharmacies and businesses that contain pharmacies can no longer sell cigarettes or other tobacco products in New York City.

The number of active licenses are grouped by borough and community district number. Each row of data represents one Community District's license cap and the number of active licenses at the time of the dataset's publication.

Businesses interested in applying for these licenses may use this dataset to determine if licenses are available in their Community District. Even if licenses are not available, businesses may be able to apply if they meet limited exceptions to the cap. Visit nyc.gov/dca for license requirements.","dataset","Business","No","https://data.cityofnewyork.us/d/ghgh-2vas","4/24/2020","Historical data","2020-04-24T21:04:48.000","No","No","Yes","No","No","No","N/A","No","1618","59","9",,"false"
"Department of Transportation (DOT)","7vx2-ffkw","WalkNYC Focus BaseMap 2020","Dataset consisting of a collection of over 60 map layers used for map development for WalkNYC signage throughout New York City.","file","Transportation","NO","https://data.cityofnewyork.us/d/7vx2-ffkw","7/31/2019","Annually","2019-07-31T18:03:50.000","No","No","Yes","No","N/A","No","N/A","No","255",,,,"false"
"Department of Finance (DOF)","nzvw-cjc2","DOF: Building Classification Codes","Department of Finance (DOF) publishes a list of Building Classifications, associating Building Codes with Descriptions.","href","City Government","No","https://data.cityofnewyork.us/d/nzvw-cjc2","10/7/2011","As needed","2011-10-05T15:38:10.000","No","No","N/A","No","N/A","No","N/A","No","8065",,,,"false"
"School Construction Authority (SCA)","tsak-vtv3","Upcoming contracts to be awarded (CIP)","New school projects Capital Improvement Projects (CIP) that will complete design within the next 6 months and will be available for bid.","dataset","Housing & Development","NO","https://data.cityofnewyork.us/d/tsak-vtv3","8/23/2013","Monthly","2022-08-08T15:45:13.000","Yes","Yes","Yes","No","N/A","Yes","Monthly","No","1635","637","9",,"false"
"Department of Environmental Protection (DEP)","aa5e-digs","Entry Point LCR Monitoring Results","Daily results from the entry points for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated","dataset","Environment","Yes","https://data.cityofnewyork.us/d/aa5e-digs","2/24/2015","Every 6 months","2022-08-12T13:20:29.000","Yes","No","Yes","No","N/A","No","N/A","No","810","10789","10",,"false"
"Department of Education (DOE)","dfv3-jzjw","Pupil Transportation Count of Employees Bus Company - July 1, - December 31, 2021","Students are reported as those who were planned and routed, but may or may not have used the service provided.  Student stop assignment is done at the school, OPT creates the routes.  Routes were determined by those routed with students assigned
Vehicles are identified by school bus company reported data. This data is subject to data entry error and is dependent on the school bus companies to maintain.
All transportation sites were included, and reported by type. A transportation site was defined by a unique location identified by a street address. Please note multiple students or schools can be located in the same address and would there for represent multiple stops at the same site.","dataset","Education","No","https://data.cityofnewyork.us/d/dfv3-jzjw","January 29, 2021","As needed","2021-01-29T23:40:33.000","No","No","No","No","No","N/A","N/A","No","360","1140","4",,"false"
"New York City Tax Commission (TAXCOMM)","4nft-bihw","Assessment Actions","Assessment Actions
Actions on Applications for Reducing Assessments or Reclassifying Property. Listed here are Tax Commission actions for reducing assessments or reclassifying property. KEY: YR=Assessment year; B=Borough (1=Manhattan, 2=Bronx, 3=Brooklyn, 4=Queens, 5=Staten Island); TC=Tax Class or subclass. Classification claims. Reductions are expressed in total actual assessed value. For condominiums, actions shown are for representative lots only.","dataset","City Government","NO","https://data.cityofnewyork.us/d/4nft-bihw","3/14/2013","Annually","2019-07-12T20:00:21.000","Yes","Yes","Yes","Yes","No","Yes","Annually","No","5640","10668","9",,"false"
"Department of Education (DOE)","7wse-xesc","October_2020_21-996_Appendix New York City School Bus Route Reporting","October_2020_21-996_Appendix New York City School Bus Route Reporting","dataset","Education","NO","https://data.cityofnewyork.us/d/7wse-xesc","05/21/2021","As needed","2021-05-21T22:42:56.000","No","No","N/A","No","N/A","No","N/A","No","251","8","1",,"false"
"Department of Education (DOE)","3pzk-fyqp","2015-16 Local Law 15 Health Data K-12 Health Instructor CCD","","dataset","Education","Yes","https://data.cityofnewyork.us/d/3pzk-fyqp","8/22/2017","Historical data","2017-08-11T18:10:35.000","No","No","Yes","No","N/A","No","N/A","No","229","51","2",,"false"
"Department of Education (DOE)","rrd7-vuvp","2020-2021 Bilingual Program List (Final Publication)","Report identifies bilingual programs by program type and language per school; utilizing various DOE systems.    General business rules for  fiscal year 2020-21 for active students in bilingual programs as of February 24, 2021.","dataset","Education","No","https://data.cityofnewyork.us/d/rrd7-vuvp","March 10, 2021","Annually","2021-03-10T20:22:42.000","No","No","Yes","No","No","N/A","N/A","No","8241","538","11",,"false"
"Department of Youth and Community Development (DYCD)","chv4-k4fa","DYCD after-school programs: Neighborhood Development Area (NDA) Family Support","A database of facilities in New York City, by agency and site, that offer NDA (Neighborhood Development Area) after-school “Family Support Programs,” including immigrant services, legal assistance, domestic violence, health, housing and literacy programs for adults, seniors, young adults and children of all ages","dataset","Education","NO","https://data.cityofnewyork.us/d/chv4-k4fa","9/6/2011","As needed","2017-09-18T14:26:58.000","No","No","Yes","Yes","Yes","No","N/A","No","2006","464","26",,"false"
"Mayor's Office of Operations (OPS)","sa5w-dn2t","FY2019 MMR Spending and Budget","NYC agency spending and budget information by units of appropriation from the 
Mayor's Management Report (MMR). For information related to the ‘Applicable MMR Goals’ column, refer to <a href=""https://data.cityofnewyork.us/City-Government/FY19-MMR-Goals-and-Services/qe6k-pu9t"">FY19 MMR Goals and Services</a>.

Use ‘CSV for Excel’ when downloading this dataset and then sort in alphabetical order by Agency.","dataset","City Government","NO","https://data.cityofnewyork.us/d/sa5w-dn2t","9/26/2019","Historical data","2019-09-26T15:36:39.000","No","No","Yes","No","No","Yes","Historical","No","233","284","10",,"false"
"Department of Youth and Community Development (DYCD)","6ej9-7qyi","After-School Programs","Facilities in New York City, by agency and site, that offer after-school programs.","map","Social Services","NO","https://data.cityofnewyork.us/d/6ej9-7qyi","6/28/2013","As needed","2013-04-05T15:26:04.000","No","No","Yes","No","N/A","No","N/A","No","8538",,,,"false"
"Department of Education (DOE)","9qvi-kbpt","April_2021_89C_21-996 New York City School Bus Route Reporting","April_2021_89C_21-996 New York City School Bus Route Reporting","dataset","Education","No","https://data.cityofnewyork.us/d/9qvi-kbpt","05/21/2021","As needed","2021-05-22T00:12:32.000","No","No","No","No","N/A","No","N/A","No","412","8","1",,"false"
,"5hwa-9qfj","DSNY Sections (Map)","Shape file of DSNY District Sections","map","City Government","No","https://data.cityofnewyork.us/d/5hwa-9qfj",,"Monthly","2021-04-22T10:03:28.000","Yes","Yes","Yes","No","No","Yes","As-Needed","No","438",,,"7vgu-qbur","true"
"Department of Education (DOE)","hpzm-w4pt","2016 - 2017 School Quality Report Results for Early Childhood","New York City Department of Education 2016 - 2017 School Quality Report Results for Early Childhood.
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.","dataset","Education","Yes","https://data.cityofnewyork.us/d/hpzm-w4pt","April 30 2019","Historical data","2019-04-30T15:52:53.000","No","No","Yes","No","N/A","N/A","N/A","No","263","67","41",,"false"
"Department of Education (DOE)","pbc8-mmb4","2016 - 2017 School Quality Report Results for D75 Schools","New York City Department of Education 2016 - 2017 School Quality Report Results for D75 Schools.
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.","dataset","Education","Yes","https://data.cityofnewyork.us/d/pbc8-mmb4","April 30 2019","Historical data","2019-04-30T15:36:22.000","No","No","Yes","No","N/A","N/A","N/A","No","172","59","41",,"false"
"Department of Environmental Protection (DEP)","idfb-y78n","Recreational Boating Permits","","dataset",,"Yes","https://data.cityofnewyork.us/d/idfb-y78n","5/23/2014","As needed","2017-10-16T14:23:17.000","No","No","Yes","No","N/A","No","N/A","No","520","23","10",,"false"
"Department of Education (DOE)","gqq2-hgxd","2016-17 - 2020-21 School End-of-Year Attendance and Chronic Absenteeism Data","Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital instruction are excluded. Pre-K data do not include NYC Early Education Centers or District Pre-K Centers; therefore, Pre-K data are limited to those who attend K-12 schools that offer Pre-K. Transfer schools are included in citywide, borough, and district counts but removed from school-level files.
Attendance is attributed to the school the student attended at the time. If a student attends multiple schools in a school year, the student will contribute data towards multiple schools.
Starting in 2020-21, the NYC DOE transitioned to NYSED's definition of chronic absenteeism. Students are considered chronically absent if they have an attendance of 90 percent or less (i.e. students who are absent 10 percent or more of the total days). In order to be included in chronic absenteeism calculations, students must be enrolled for at least 10 days (regardless of whether present or absent) and must have been present for at least 1 day. The NYSED chronic absenteeism definition is applied to all prior years in the report.
School-level chronic absenteeism data reflect chronic absenteeism at a particular school. In order to eliminate double-counting students in chronic absenteeism counts, calculations at the district, borough, and citywide levels include all attendance data that contribute to the given geographic category. For example, if a student was chronically absent at one school but not at another, the student would only be counted once in the citywide calculation. For this reason, chronic absenteeism counts will not align across files.
All demographic data are based on a student's most recent record in a given year.
Students With Disabilities (SWD) data do not include Pre-K students since Pre-K students are screened for IEPs only at the parents' request.
English language learner (ELL) data do not include Pre-K students since the New York State Education Department only begins administering assessments to be identified as an ELL in Kindergarten.
Only grades PK-12 are shown, but calculations for ""All Grades"" also include students missing a grade level, so PK-12 may not add up to ""All Grades"". 
Data include students missing a gender, but are not shown due to small cell counts.
Data for Asian students include Native Hawaiian or Other Pacific Islanders . Multi-racial and Native American students, as well as students missing ethnicity/race data are included in the ""Other"" ethnicity category.
In order to comply with the Family Educational Rights and Privacy Act (FERPA) regulations on public reporting of education outcomes, rows with five or fewer students are suppressed, and have been replaced with an ""s"". Using total days of attendance as a proxy , rows with 900 or fewer total days are suppressed. In addition, other rows have been replaced with an ""s"" when they could reveal, through addition or subtraction, the underlying numbers that have been redacted. Chronic absenteeism values are suppressed, regardless of total days, if the number of students who contribute  at least 20 days is five or fewer. 
Due to the COVID-19 pandemic and resulting shift to remote learning in March 2020, 2019-20 attendance data was only available for September 2019 through March 13, 2020. Interactions data from the spring of 2020 are reported on a separate tab.
Interactions were reported by schools during remote learning, from April 6 2020 through June 26 2020 (a total of 57 instructional days, excluding special professional development days of June 4 and June 9). Schools were required to indicate any student from their roster that did not have an interaction on a given day. Schools were able to define interactions in a way that made sense for their students and families. Definitions of an interaction included:
• Student submission of an assignment or completion of an","dataset","Education","No","https://data.cityofnewyork.us/d/gqq2-hgxd","04/05/2022","Historical data","2022-04-05T16:39:35.000","No","No","Yes","No","N/A","Yes","Historical","No","1024","53366","12",,"false"
"Department of Information Technology & Telecommunications (DoITT)","pckb-8r2z","Open Space (Other)","Planimetric basemap layer containing open spaces (Excluding Parks). Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.","map","Recreation","NO","https://data.cityofnewyork.us/d/pckb-8r2z","8/4/2014","As needed","2014-06-17T20:15:46.000","No","No","Yes","No","N/A","No","N/A","Yes","3711",,,,"false"
"Department of Education (DOE)","uzmq-2khh","2019 NYC School Survey - Teachers","Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 
Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependant on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn.","dataset","Education","No","https://data.cityofnewyork.us/d/uzmq-2khh","January 14, 2021","Annually","2021-01-14T16:48:35.000","No","No","Yes","No","No","N/A","N/A","No","293","1903","11",,"false"
