"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Queensbridge Feeder Replacement Project","2017-08-14T00:00:00.000",,"Access through Queensbridge Park to Con Ed Work Area, within CDOT jurisdiction, beneath the Queensboro Bridge (waterfront) to facilitate a feeder replacement project.","Q104;","Queensbridge Park;",,"Queens","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry;#Capital Projects","Access-Only",,"Presumed Complete",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2017-08-14T00:00:00.000",,,,,,,,"2017-07-05T00:00:00.000","2017-10-20T00:00:00.000","2017-08-29T00:00:00.000","2018-01-18T00:00:00.000","2018-07-31T00:00:00.000","Due to the commencement of a Parks Capital Project at the Fieldhouse, access to the Permittee’s work area will be limited. The Permittee shall coordinate access to their work area with Mr. Mohamed Ayoub of Parks Capital, who may be reached at (347) 386-1937. Notification must be provided at least two (2) business days prior to the need for such access.",,,,,,,,,"2018-02-02T11:20:00.000","2019-11-05T15:27:00.000","40.755352, -73.950531"
"Conduit Replacement Adjacent to Baby Queensbridge Park","2017-08-18T00:00:00.000",,"Trenching to facilitate installation of conduit from the center line of Vernon Boulevard towards, but not impacting, an abutment of the 59th Street Bridge located within the Park.","Q104;","Queensbridge Park;",,"Queens","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Excavation;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2017-08-18T00:00:00.000","Q104.20171116",,,,,,,"2017-11-20T00:00:00.000","2018-02-28T00:00:00.000",,,,,,,,,,,,,"2018-02-02T11:01:00.000","2019-11-05T15:27:00.000","40.754492,-73.949082"
"Rockefeller University","2019-01-30T00:00:00.000","M-43-15NF","Reconstruction of East River Esplanade – (Rockefeller University East River Esplanade)","M289;","East River Esplanade;",,"Manhattan","Single Site","Private Developer","Private Development","Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"Turner Corporation Company","2019-01-30T00:00:00.000","M-43-15NF",,,,"Permit Extension 3","2019-03-07T00:00:00.000",,,"2019-06-30T00:00:00.000",,,,,,,,,,,,,"2019-03-11T13:52:00.000","2019-11-05T15:29:00.000",
"Queens Theater in the Park Emergency Boiler","2017-11-09T00:00:00.000",,"Installation of an emergency boiler trailer to provide heat to Queens Theater in the Park during replacement of the building's heating system","Q099;","Flushing Meadows Corona Park;",,"Queens","Single Site","Other","Public Building","Borough Operations;#Borough Forestry","Other",,"Presumed Complete",,,,,,,,,,,,,,,,"A&C Heating Services Inc.",,"Q099.20171108",,,,,,,"2017-11-09T00:00:00.000","2017-11-30T00:00:00.000",,,,,,,,,,,,,"2019-03-11T13:41:00.000","2019-11-05T15:29:00.000","40.744307, -73.843988"
"PS 127Q Overhead Protection","2015-03-02T00:00:00.000",,"Exterior Masonry Repair Project, Exterior masonry repair and parapet project","Q373;","East Elmhurst Playground;",,"Queens","Single Site","SCA",,"Borough Operations","Other",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Pro-Metal Construction Inc",,"Q-27-14NF",,,,,,,"2015-03-02T00:00:00.000","2016-06-30T00:00:00.000","2016-09-23T00:00:00.000","2016-09-23T00:00:00.000","2016-12-02T00:00:00.000",,,,,,,,,,"2019-03-11T13:29:00.000","2019-11-05T15:29:00.000","40.765452, -73.871222"
"PS 11 - Doughboy Plaza","2017-01-09T00:00:00.000",,"permit for access for school reconstruction in addition to dog run construction as mitigation for Parks",,,"Woodside Ave and 56th St","Queens","Single Site","SCA",,"Capital Projects;#Borough Operations;#Borough Forestry","Staging;#Partial Park Closure;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Citnalta Construction Corp",,"Q-23-16NF",,"Approved","QP 18-098",,,,"2017-04-01T00:00:00.000","2018-04-01T00:00:00.000","2018-07-03T00:00:00.000","2018-07-10T00:00:00.000","2018-08-31T00:00:00.000","Permittee shall perform mitigation activities as described in
Attachment A. Parks will provide Permittee with a key to access an existing construction
fence enclosing the perimeter of the expanded work area. Permittee shall ensure the
construction area is secured from unauthorized public access at all times. Flaggers should
be present at all times when equipment or materials are entering or exiting the construction
work area.",,,,,,,,,"2017-03-14T10:01:00.000","2019-11-05T16:01:00.000","40.745906, -73.908504"
"Tribeca Dog Run Borings","2018-07-17T00:00:00.000",,"Perform three (3) test pits within the limits of Tribeca Dog Run, adjacent to PS 243M Annex","M366;","Tribeca Dog Run;",,"Manhattan","Single Site","Other","Public Building","Borough Operations;#Legal/MOUs","Excavation",,"Presumed Complete",,,,,,,,,,,,,,,,"Techtonic Engineering & Surveying Consultants P.C.",,"M366.E.20180723",,,,,,,"2018-07-30T00:00:00.000","2018-08-10T00:00:00.000",,,,,"M366.E.20180723",,,,,,,,"2018-07-25T09:46:00.000","2019-11-05T17:10:00.000","40.716248, -74.012203"
"Spectrum/ TWC Overhead Utility Work","2017-09-27T00:00:00.000",,"Overhead cable replacement at rear of garden- Access and Work","M350;","Peachtree Garden;",,"Manhattan","Single Site","Verizon","Utility (gas, electric, telephone)","Greenthumb","Access-Only",,"Presumed Complete",,,,,,,,,,,,,,,,"StarCom Fiber LLC","2017-09-27T00:00:00.000","M350.20171106",,,,"Only ladders and hand tools will be permitted within the garden to facilitate the work along
the rear property line of the garden.",,,"2017-11-07T00:00:00.000","2017-11-14T00:00:00.000",,,,,,,,,,,,,"2018-02-02T09:52:00.000","2019-11-05T15:27:00.000","40.7216271,-73.98199690000001"
"Lower East Side Playground Reconstruction","2016-11-14T00:00:00.000",,"Lower East Side Playground Reconstruction","M321;","Lower East Side Playground;",,"Manhattan","Single Site","SCA","Park Improvement/New Park","Borough Operations","Park Improvement",,"Presumed Complete",,,,,,,,,,,,,,,,"WDF, Inc.",,"M321.20161114",,,,,,,"2016-11-14T00:00:00.000","2017-01-31T00:00:00.000","2017-07-31T00:00:00.000","2017-09-29T00:00:00.000","2017-10-31T00:00:00.000",,,,,,,,,,"2019-03-11T12:47:00.000","2019-11-05T15:29:00.000","40.729263, -73.982973"
"ConEd Test Pits in East River Park for East Side Coastal Resiliency","2015-06-03T00:00:00.000","SANDRESM1","test pits in association with huge DDC project","M144;","John V. Lindsay East River Park;","FDR Drive & Delancey St","Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Excavation;#Partial Park Closure;#Other",,"Construction",,,,,,,,,,,,,,,,,,"M-45-15NF",,"Approved","WS25MF15",,,,,"2015-09-01T00:00:00.000","2016-11-15T00:00:00.000","2016-11-18T00:00:00.000","2017-01-27T00:00:00.000",,,,,,,,,,"2016-11-18T11:56:00.000","2019-11-05T15:27:00.000","40.714848, -73.976362"
"74th Street Overhead Bridge Structure Repair","2017-07-06T00:00:00.000",,"Temporary nighttime closure of a portion of the bike path at East River Walk to facilitate rehabilitation work on a Con Edison overhead bridge structure","M108T;","East River Walk;",,"Manhattan","Single Site","ConEd","Bridge Component Rehabilitation","Borough Operations","Partial Park Closure;#Staging;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2017-11-17T00:00:00.000","M108T.20180110",,,,"Permittee may close the bike path only at night. Adequate signage notifying the public of
such closure should be posted at various entrances to the bike path. Parks may request
additional signage be provided if it deems such additional signage necessary.
Permittee shall protect the surface of the bike path during construction. Plywood is acceptable
to use, however, the Permittee shall ensure that any tripping hazards are mitigated using
appropriate methods.
Anchoring of any kind into pavement is prohibited without prior consent of Parks. Should
anchoring be requested and approved, Permittee is responsible to replace impacted pavement,
in kind, to the satisfaction of Parks. Permittee shall install a sidewalk shed with netting in the area of work. Permittee shall be responsible for cleaning the work area daily prior to reopening it for public
use, in the interest of public health and safety.",,,"2018-01-19T00:00:00.000","2018-02-28T00:00:00.000",,,,,,,,,,,,,"2018-02-02T10:40:00.000","2019-11-05T15:27:00.000","40.767483,-73.950111"
"(Vorcom) NYPD Randall's Island Fiber Optics Network Upgrades","2018-05-08T00:00:00.000",,"(X-ref M104.20180606: JVD). Access and Work to","M104;","Randall's Island Park;",,"Manhattan","Single Site","NYPD","Utility (gas, electric, telephone)","Borough Operations;#Capital Projects","Access-Only",,"Construction",,,,,,,,,,,,,,,,,,"M104.20180607",,,,,,,"2018-06-11T00:00:00.000","2018-08-06T00:00:00.000",,,,,,,,,,,,,"2018-06-06T10:45:00.000","2019-11-05T15:28:00.000","40.799564, -73.926383"
"(JVD) NYPD Randall's Island Fiber Optic Network Upgrades","2018-05-08T00:00:00.000",,"X-Ref with M104.20180607 (Vorcom). Access and Work to Facilitate the Installation of a New Fiber Optic Network to Support Existing NYPD Facilities in Randall's Island Park","M104;","Randall's Island Park;",,"Manhattan","Single Site","NYPD","Utility (gas, electric, telephone)","Borough Operations;#Capital Projects","Excavation",,"Presumed Complete",,,,,,,,,,,,,,,,"JVD Industries Ltd.","2018-05-08T00:00:00.000","M104.20180606",,,,,,,"2018-06-11T00:00:00.000","2018-08-06T00:00:00.000",,,,,,,,,,,,,"2018-06-06T10:41:00.000","2019-11-05T15:03:00.000","40.799535, -73.926384"
"Cross Hudson Transmission Line Replacement","2017-06-14T00:00:00.000",,"Replacement of the cross Hudson transmission lines at 63rd street","M022;","De Witt Clinton Park;",,"Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry","Excavation;#Staging;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"Prysmian Cables and Systems USA, LLC",,"M022.20170630",,"Approved","WSU01MF17",,,,"2017-07-06T00:00:00.000","2017-12-31T00:00:00.000",,,,,,,,,,,,,"2018-02-02T10:27:00.000","2019-11-05T15:07:00.000","40.767959,-73.995557"
"Emergency Repair at W96th St. Transverse","2018-02-26T00:00:00.000",,"Emergency Repair of a Burst Water Main on the W96th St. Transverse","M010;","Central Park;",,"Manhattan","Single Site","Other","Utility (gas, electric, telephone)",,,,"Presumed Complete",,,,,,,,,,,,,,,,"MSM Empire Construction","2018-02-26T00:00:00.000","M010.20180227",,,,,,,"2018-02-27T00:00:00.000","2018-03-09T00:00:00.000",,,,,,,,,,,,,"2019-03-11T12:10:00.000","2019-11-05T15:09:00.000","40.791580, -73.964367"
"953 Gates Avenue","2017-09-21T00:00:00.000",,"Verizon pole work requiring access through Community Garden (Urban Harvest Garden).",,,,"Brooklyn","Single Site","Verizon","Utility (gas, electric, telephone)","Greenthumb","Access-Only",,"Presumed Complete",,,,,,,,,,,,,,,,"Verizon Communications, Inc.",,"B518.20170928",,,,,,,"2017-10-04T00:00:00.000","2017-10-18T00:00:00.000",,,,,,,,,,,,,"2018-01-02T10:22:00.000","2019-11-05T15:27:00.000","40.689086,-73.92764199999999"
"Star Spangled Playground","2017-05-03T00:00:00.000",,"Partial closure of playground swing area to accommodate waterproofing of a retaining wall adjoining a private development.","B266;","Star Spangled Playground;","40.691881, -73.95751280000002","Brooklyn","Single Site","Private Developer","Private Development","Borough Operations","Partial Park Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"RCD Restorations Inc.","2017-05-29T00:00:00.000","B266.20170519",,,,,,,"2017-05-29T00:00:00.000","2017-06-30T00:00:00.000",,,,,,,,,,,,,"2017-12-02T08:47:00.000","2019-11-05T15:27:00.000",
"NYCHA Coney Island Houses Overhead Protection Area","2018-09-26T00:00:00.000",,"Establishment of a temporary protection area to facilitate exterior masonry work on a NYCHA facility adjacent to the Coney Island Boardwalk","B169;","Coney Island Beach & Boardwalk;",,"Brooklyn","Single Site","NYCHA","Public Building","Borough Operations","Other",,"Presumed Complete",,,,,,,,,,,,,,,,"AWL Industries, Inc.","2018-09-26T00:00:00.000","B169.20181018",,,,,,,"2018-10-22T00:00:00.000","2019-02-28T00:00:00.000",,,,,,,,,,,,,"2019-03-11T11:25:00.000","2019-11-05T15:09:00.000","40.571820, -73.990801"
"Belt Parkway between Mill Basin and Paerdegat Basin","2017-07-11T00:00:00.000",,"Sub-surface lateral boring under Belt Parkway to replace telecommunication conduit cables servicing the Jamaica Bay Riding Academy.","B166;","Belt Parkway/Shore Parkway;",,"Brooklyn","Single Site","Verizon","Utility (gas, electric, telephone)","Borough Forestry","Excavation;#Staging",,"Construction",,,,,,,,,,,,,,,,"Verizon New York, Inc.","2017-07-11T00:00:00.000","B166.20170809",,"Approved","I17-024",,,,"2017-08-16T00:00:00.000","2017-09-30T00:00:00.000","2018-10-31T00:00:00.000","2018-11-26T00:00:00.000","2018-12-31T00:00:00.000","Original permit was to restore service to Jamaica Bay Riding Academy. Permit extension/amendment adds restoring service to the FAA tower as well.",,,,,,,,,"2018-01-02T10:37:00.000","2019-11-05T15:27:00.000","40.6171985,-73.89847789999999"
"FDNY EMS Station No. 39 Station Rehabilitation","2018-07-24T00:00:00.000",,"Installation of a Temporary Construction Safety Zone to Facilitate Rehabilitation of Exterior Masonry, Parapets and Roof of FDNY EMS Station No. 39.","B078;","Grace Playground;",,"Brooklyn","Single Site","FDNY",,,,,"Construction",,,,,,,,,,,,,,,,"ZHL Group, Inc.","2018-07-18T00:00:00.000","B078.20180724",,,,,,,"2018-07-30T00:00:00.000","2018-10-31T00:00:00.000",,,,,,,,,,,,,"2018-07-24T11:22:00.000","2019-11-05T16:02:00.000","40.671181, -73.895114"
"PS 43X Interior Renovation and Temporary Kitchen","2018-10-30T00:00:00.000",,"Staging of office trailers and a temporary kitchen to facilitate interior renovation work in the adjacent PS 43X school facility","X272;","Ranaqua Park;",,"Bronx","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry;#Capital Projects","Staging;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Universal Construction Resources, Inc.","2018-10-30T00:00:00.000","X272.20190122",,"Approved","BX-120",,,,"2019-01-25T00:00:00.000","2020-09-30T00:00:00.000",,,,,,,,,,,,,"2019-01-24T12:55:00.000","2019-11-05T15:11:00.000","40.806459, -73.922043"
"PS 14X Retaining Wall Reconstruction","2017-07-27T00:00:00.000",,"Replacement of a retaining wall adjacent to Miele Park","X149;","Miele Park;",,"Bronx","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry","Excavation",,"Presumed Complete",,,,,,,,,,,,,,,,"Leon D. DeMatteis Construction","2017-06-27T00:00:00.000","X149.20170728",,"Approved","BX17-038",,,,"2017-08-28T00:00:00.000","2017-10-09T00:00:00.000",,,,,,,,,,,,,"2019-03-11T08:31:00.000","2019-11-05T15:29:00.000","40.834906, -73.825925"
"Con Ed at Bridge Playground Park","2017-08-28T00:00:00.000",,"Trenching to facilitate repair of an obstructed electrical duct along the university Avenue frontage of the Park, between Boscobel Place and Ogden Avenue.","X148A3;","Bridge Playground;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Forestry;#Borough Operations","Excavation;#Staging;#Sidewalk Closure",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.",,"X148A3.20171116",,"Approved","BX-17",,,,"2017-11-20T00:00:00.000","2018-02-28T00:00:00.000",,,,,,,,,,,,,"2018-01-02T10:57:00.000","2019-11-05T15:27:00.000","40.844259,-73.92415199999999"
"Sidewalk Conduit Work on Goulden Avenue","2017-11-01T00:00:00.000",,"Conduit replacement work","X136;","Harris Park;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry","Sidewalk Closure;#Excavation",,"Presumed Complete",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2017-11-01T00:00:00.000","X136.20170531",,"Approved","BX17-017",,,,"2017-11-02T00:00:00.000","2017-11-30T00:00:00.000","2017-11-22T00:00:00.000","2017-12-04T00:00:00.000","2017-12-31T00:00:00.000",,,,,,,,,,"2018-02-02T10:03:00.000","2019-11-05T15:15:00.000","40.876879,-73.892902"
"Con Ed Feeder Replacement Jerome Avenue","2018-06-06T00:00:00.000",,"Excavation to facilitate feeder replacement along Jerome Avenue","X092;","Van Cortlandt Park;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry","Excavation",,"Presumed Complete",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2018-06-06T00:00:00.000","X092.20180921",,"Approved","BX-87",,,,"2018-09-24T00:00:00.000","2018-12-31T00:00:00.000",,,,,,,,,,,,,"2019-03-11T07:52:00.000","2019-11-05T15:08:00.000","40.906221, -73.878378"
"Con Ed Pole Replacement in Support of EDC CWFS Clason Point Park","2018-04-23T00:00:00.000",,"Access and Work to Facilitate Utility Pole and Feeder Replacement within a Portion of Clason Point Park","X088;","Pugsley Creek Park;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Excavation",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2018-04-23T00:00:00.000","X088-01.20180518",,,,,,,"2018-05-21T00:00:00.000","2018-06-30T00:00:00.000","2018-06-13T00:00:00.000","2018-06-13T00:00:00.000","2018-07-15T00:00:00.000",,,,,,,,,,"2018-06-13T12:29:00.000","2019-11-05T15:28:00.000","40.805526, -73.849079"
"Con Ed at Joseph Rodman Drake Park","2017-06-13T00:00:00.000",,"Trenching to facilitate installation of (2) Manholes and conduits in portions of paved and unpaved right-of-way adjacent to Joseph Rodman Drake Park.","X015;","Joseph Rodman Drake Park;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry;#Arts & Antiquities","Staging;#Excavation;#Sidewalk Closure",,"Permitting",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2018-10-10T00:00:00.000","X015.20181020",,"Approved",,,,,"2018-10-24T00:00:00.000","2019-12-31T00:00:00.000",,,,,,,,,,,,,"2018-01-02T11:27:00.000","2019-11-05T16:01:00.000","40.810437,-73.881705"
"City Island Gas Main ROV and Vent Post Installation","2019-01-03T00:00:00.000",,"Temporary closure of bike path on the North side of City Island Road to facilitate excavation for the installation of a gas vent post and remote operating valves in a portion of right-of-way at the Pelham Bay Park landing of City Island Bridge","X039;","Pelham Bay Park;",,"Bronx","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Sidewalk Closure",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2019-01-03T00:00:00.000","X039.20190122",,,,,,,"2019-01-28T00:00:00.000","2019-03-31T00:00:00.000",,,,,,,,,,,,,"2019-01-23T11:19:00.000","2019-11-05T15:11:00.000","40.857260, -73.795955"
"PSAC II Temporary Parking Lot","2018-11-29T00:00:00.000",,"Access and work to resurface existing Item 4 within an area used as a temporary parking lot for PSAC II staffers within a portion of Pelham Parkway.","X003;","Pelham Parkway;",,"Bronx","Single Site","DCAS","Public Building","Borough Operations;#Borough Forestry","Other",,"Presumed Complete",,,,,,,,,,,,,,,,"Northbrook Contracting Corp.","2018-11-29T00:00:00.000","X003.20181201",,"Approved","BX-101","Work is permitted within the limits of the existing temporary parking lot currently utilized by PSAC II staffers.",,,"2018-12-01T00:00:00.000","2018-12-31T00:00:00.000",,,,,,,,,,,,,"2019-03-09T08:59:00.000","2019-11-05T15:11:00.000","40.856272, -73.837289"
"NYPD Troop D Mounted Police Fence Installation","2017-08-21T00:00:00.000",,"Installation of a fence around the perimeter of an existing NYPD Mounted Police Training campus in Pelham Bay Park.","X039;","Pelham Bay Park;",,"Bronx","Single Site","NYPD","Park Improvement/New Park","Borough Operations;#Borough Forestry","Other;#Park Improvement;#Excavation",,"Presumed Complete",,,,,,,,,,,"Project Manager","NYPD",,,,"Yaboo Fence Co, Inc.",,"X039.20180102",,,,"In return for the waiver of the Forestry permit, Contractor must stake out fence line and Parks must inspect such staking prior to the Contractor proceeding with installation/excavation of the fence.",,,"2018-01-19T00:00:00.000","2018-02-02T00:00:00.000","2018-02-16T00:00:00.000","2018-02-20T00:00:00.000","2018-03-30T00:00:00.000","AMD1.EXT2:
The permit is extended and amended to allow for the installation of the perimeter fence. /// EXT1:The permit is extended to allow an additional 3 weeks for the contractor to put lines down. Borough will re-inspect and issue its final OK to proceed with the work. A permit amendment will be needed to authorize the installation of the fence.",,,,,,,,,"2018-01-02T12:11:00.000","2019-11-05T15:27:00.000","40.850614,-73.819664"
"The Replacement of the Existing Water Siphons Between Brooklyn and Staten Island","2006-10-05T00:00:00.000",,"Construction of a new water supply to the Borough of Staten Island",,,,"Staten Island;#Brooklyn","Multi Borough","EDC","Sewer/Water Main",,,,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Tully Construction Co. Inc/OHL USA JV",,"B-5-12NF","2017-10-31T00:00:00.000",,,,,,"2012-02-02T00:00:00.000","2013-02-01T00:00:00.000","2018-04-18T00:00:00.000","2018-05-07T00:00:00.000","2018-12-31T00:00:00.000",,,,"2018-12-07T00:00:00.000",,,,"2018-12-07T00:00:00.000","2019-03-05T00:00:00.000","2017-10-31T16:04:00.000","2019-11-05T15:27:00.000",
"Bayswater Park South Salt Marsh Restoration","2018-12-07T00:00:00.000",,"Bayswater Park South Salt Marsh Restoration","Q007;","Bayswater Park;",,"Queens","Single Site","Parks - NRG","Environmental Improvement/Remediation","Borough Operations;#Natural Resources Group (NRG)","Staging;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Galvin Bros","2018-12-07T00:00:00.000","Q007.20181218",,"Not Required",,,"2018-12-18T00:00:00.000",,"2019-01-02T00:00:00.000","2019-10-30T00:00:00.000",,,"2019-10-30T00:00:00.000",,,,,,,,,,"2018-12-14T16:55:00.000","2019-11-05T15:11:00.000","40.598070, -73.769425"
"Monitoring Well Access for Shell Oil","2018-12-10T00:00:00.000",,"Access to existing monitoring wells for envi consultant","Q135;","Cross Island Parkway;","149-10 14th Ave, Whitestone, NY","Queens","Single Site","Other","Environmental Improvement/Remediation","CDOT Arterial Maintenance","Access-Only",,"Permitting",,,,,,,,,,,"Geologist","AECOM",,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-12-12T14:38:00.000","2019-11-05T15:28:00.000","40.787571, -73.815953"
"East Midtown Waterfront Esplanade Pile Repairs","2018-03-22T00:00:00.000",,"D’Onofrio will perform marine construction services for EDC’s East Midtown Waterfront Esplanade Pile Repairs project along the East River and FDR Drive, between E. 38th and E. 41st St. The project repairs are intended to protect the precast concrete substructure pilings that support the waterfront esplanade. The work consists of in-water repairs and will be staged from barges on the river. No closures, restrictions, or repair work on the park esplanade are anticipated. Egress pathways to/from barges will use temporary ballast barriers and locking fence gates along the existing railing to protect the public. Equipment/vehicles transiting the esplanade will utilize flaggers. Parks has management responsibility for the surface area of the pier.","M289;","East River Esplanade;","East River and FDR Drive, between E. 38th and E. 41st St","Manhattan","Single Site","EDC","Retaining Wall/Seawall","Borough Operations;#Planning and Parklands","Access-Only;#Staging","1223000","Presumed Complete",,,,,,,,,,,,,,,,"D'Onofrio General Contractors Corp","2018-03-22T00:00:00.000","M289.20180326","2018-03-23T00:00:00.000","Not Required",,,"2018-03-23T00:00:00.000",,"2018-04-01T00:00:00.000","2018-09-30T00:00:00.000",,,"2018-09-30T00:00:00.000",,,,,,,,,,"2018-03-23T11:11:00.000","2019-11-05T15:27:00.000","40.745600, -73.969930"
"East River Park Waterfront Structure Inspection","2018-05-09T00:00:00.000","NYCDDC #P-303ERPK","BTMI Engineering will be performing a design level above and underwater inspection of the existing East River Park bulkhead and Fireboat House piers, between Montgomery 14th Streets along the East River. The work comprises the inspection of the high-level platform, low-level platform, and timber substructure for the Fireboat House. The inspection crew is planning to perform the work utilizing a combination of approaches and shifts, from land and water.","M144;","John V. Lindsay East River Park;","between Montgomery St & 14th St along the East River","Manhattan","Single Site","DDC","Retaining Wall/Seawall","Borough Operations;#Capital Projects","Staging;#Access-Only",,"Presumed Complete",,,,,,,,,,,,,,,,"COWI","2018-05-09T00:00:00.000","M144.20180511",,"Not Required",,,"2018-05-10T00:00:00.000",,"2018-05-14T00:00:00.000","2018-06-30T00:00:00.000","2018-06-25T00:00:00.000","2018-06-29T00:00:00.000","2018-07-31T00:00:00.000","E1 - Extend permit through 7/31/2018",,,,,,,,,"2018-05-10T11:12:00.000","2019-11-05T16:02:00.000","40.717430, -73.974360"
"Squash Court Repairs","2019-02-04T00:00:00.000",,"Replacement of two squash court panels","M033;","Hamilton Fish Park;","Stanton St & Pitt St","Manhattan","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations","Staging;#Partial Park Closure;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"McWIL Squash USA","2019-02-04T00:00:00.000","M033.20190205","2019-02-08T00:00:00.000","Not Required",,"The contractor is permitted to drive in the park as long as the contractor limits the vehicle speed to no more than 5 mph and has a flagger who walks in front of the vehicle to ensure safety.","2019-02-04T00:00:00.000",,"2019-02-08T00:00:00.000","2019-02-15T00:00:00.000",,,"2019-02-15T00:00:00.000",,,,,,,,,,"2019-02-05T15:18:00.000","2019-11-05T15:11:00.000","40.719478, -73.980568"
"The Highline -","2018-03-15T00:00:00.000",,"Demolition of Stair and Electrical modifications at 18th Street & 10th Avenue – Highline 76 11th Avenue, Manhattan","M360;","The High Line;","76 11th Avenue. New York NY","Manhattan","Single Site","Other","Private Development",,,"12000","Construction",,,,,,,,,,,,,,,,"Omnibuild Construction, Inc.","2018-04-03T00:00:00.000",,,"Not Required",,,"2018-04-18T00:00:00.000",,,,,,,,,,,,,,,,"2018-05-14T11:57:00.000","2019-11-05T15:29:00.000","40.748226, -74.007148"
"Subsurface Geotechnical Investigations","2019-02-04T00:00:00.000","QG.20190213","Subsurface Geotechnical Investigations - Q020 -Highland Park
Q285 - Al Stabile Playground (John Adams Playground) 
Q337 - Maurice A. Fitzgerald Playground
Q129 - Phil “Scooter” Rizzuto Park
Q092 - Police Officer Edward Byrne Park","0;",,,"Queens","Multi Site","DEP","Environmental Improvement/Remediation","Green Infrastructure","Other",,"Construction",,,,,,,,,,,,,,,,"Warren George Inc","2019-02-04T00:00:00.000","QG.20190213",,,,,"2019-02-01T00:00:00.000",,"2019-02-15T00:00:00.000","2019-05-15T00:00:00.000",,,,,,,,,,,,,"2019-02-14T09:02:00.000","2019-11-05T15:29:00.000",
