"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Richard Tucker","NULL","Hebald","Milton","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Abramovitz, Harris & Kingsland","NULL","NULL","1979","N","1980","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Richard Tucker Park","Columbus Avenue and West 66th Street","New York","NY","10023","Manhattan","Jewish, Musician, Opera","Bust: HEBALD 1979 / 

Base (south): RICHARD TUCKER  / AUGUST 28 1913  - JANUARY 8 1975  / METROPOLITAN OPERA TENOR / GIFT TO THE CITY OF NEW YORK / IN LOVING MEMORY OF RICHARD TUCKER / FROM / MRS RICHARD TUCKER AND FAMILY / 

Base (north): IL TROVATORE / LA BOHEME / LA FANCIULLA DEL WEST / LA FORZA DEL DESTINO / LA GIOCONDA / LA JUIVE / LA TRAVIATA / LUCIA DE LAMMERMOOR / LUISA MILLER / MADAMA BUTTERFLY / 

Base (west): MANON LESCAUT / MARTHA / RIGOLETTO / SAMSON ET DELILA / SIMON BOCCANEGRA / THE MAGIC FLUTE / THE TALES OF HOFFMAN / TOSCA / TURANDOT / BALLO EN MASCHERA /

Base (east): AIDA / ANDREA CHENIER / BORIS GODUNOV / CARMEN / CAVALLERIA RUSTICANA / COSI FAN TUTTE / DIE FLEDERMAUS / DON CARLOS / EUGENE ONEGIN / FAUST / I PAGLIACCI /","Department of Parks and Recreation","Gift of Richard Tucker Music Foundation and Mrs. Sarah Tucker","4179","40.773534","-73.981885","1137","36"
"The Family","NULL","Gross","Chaim","NULL","NULL","NULL","NULL","Jewish, Polish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Karahan Schwarting Architectural Co.","Bedi-Makky Art Foundry","Lithos International (pedestal)","1979","N","1992","N","Sculpture","Artwork","Bronze, Carnelian red granite","Bleecker Playground","Bleecker Street and West 11th Street","New York","NY","10014","Manhattan","Abstract, Children","Base: THE FAMILY / 1979 / CHAIM GROSS /---/ DONATED TO THE CITY OF NEW YORK, 1991 / IN HONOR OF / EDWARD I. KOCH / MAYOR 1978-1989","Department of Parks and Recreation","Gift of Irwin Hersey and Friends of Chaim Gross","5357","40.736066","-74.005292","632","2"
"Gay Liberation","NULL","Segal","George","NULL","NULL","NULL","NULL","Jewish, LGBTQ+","NULL","NULL","NULL","NULL","NULL","NULL","Winslow","Philip","N.","NULL","Johnson Atelier, Hamilton Township, NJ","NULL","1980","N","1992","N","Statues","Artwork","Lacquered bronze","Christopher Park","Christopher Street, Grove Street and West 4th Street","New York","NY","10014","Manhattan","LGBTQ+, Stonewall Inn, Gay Liberation, Gay Rights","GAY LIBERATION / BY / GEORGE SEGAL / BRONZE CAST -- 1980 / DEDICATED -- 1992 /---/ GIFT OF THE MILDRED ANDREWS FUND / TO THE CITY OF NEW YORK","Department of Parks and Recreation","Gift of Mildred Andrews Fund","1314","40.733585","-74.002402","592","87"
"John Paul Jones Memorial Flagstaff","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Alton Douglas, Lt","1980","N","1980","N","Plaque","Monument/Memorial","Bronze, stone, concrete","John Paul Jones Park","Fourth Avenue and 101st Street","Brooklyn","NY","11209","Brooklyn","American Revolutionary War, Maritime, Navy, War","IN HONOR OF / JOHN PAUL JONES / FATHER OF THE U.S. NAVY / THIS FLAGPOLE HAS BEEN REFABRICATED FROM THE / MAST OF THE U.S.S. DANIEL NO. 335 / BY LT. ALTON DOUGLAS AND THE CREW OF / U.S.S. SEATTLE A.O.E.3, AND INSTALLED / ON THIS SITE WITH THE GENEROUS / ASSISTANCE OF INTERESTED CONTRACTORS. / MEMORIAL COMMITTEE / EDWARD W. EVANS, PRESIDENT / ARTHUR J. O'BRIEN, VICE PRESIDENT / HONORABLE ANGELO J. ARCULCO, CITY COUNCIL / MINORITY LEADER / CHARLES J. HENRY, ENGINEER / ERECTED OCTOBER 27, 1980 / U.S.S. SEATTLE / AOE-3 / (BRONZE SEAL)","Department of Parks and Recreation","Gifted by The Committee for John Paul Jones","6278","40.611333","-74.033944","6140","1"
"Peace Form One","NULL","LaRue Johnson","Daniel","NULL","NULL","NULL","NULL","African American, Black American","Waehler","Haines","Lundberg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Lippincott, Inc., North Haven, CT","1980","N","1980","N","Sculpture","Artwork/Memorial","Steel, bronze, bluestone paver","Ralph Bunche Park","1st Avenue and East 43rd Street","New York","NY","10017","Manhattan","African American, Black American, Black History, Diplomat, Nobel Peace Prize, Obelisk","Paver: ""...PEACE, TO HAVE MEANING FOR / MANY WHO HAVE KNOWN ONLY SUFFERING / IN BOTH PEACE AND WAR / MUST BE TRANSLATED INTO BREAD OR RICE, / SHELTER, HEALTH, AND EDUCATION, / AS WELL AS FREEDOM AND HUMAN DIGNITY."" / NOBEL PEACE PRIZE LECTURE, 1950 / 
RALPH JOHNSON BUNCHE / UNDER SECRETARY-GENERAL FOR / SPECIAL POLITICAL AFFAIRS / THE UNITED NATIONS / 1904 - 1971 / DANIEL LARUE JOHNSON, ARTIST /","Department of Parks and Recreation","Gift of The Phelps-Stokes Fund","2716","40.749515","-73.969610","1335","23"
"William F. Moore Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1980","N","1980","N","Flagstaff base","Monument/Memorial","NULL","William F. Moore Park","108th Street, Corona Avenue and 51st Avenue","Corona","NY","11368","Queens","World War I, War","WILLIAM F. MOORE MEMORIAL PARK / RECONSTRUCTED AND DEDICATED 1980 / IN MEMORIAM TO OUR BELOVED PRIVATE - USMC / 47TH COMPANY 3RD BATTALION 5TH REGIMENT / WHO SACRIFICED HIS LIFE IN COMBAT / BELLEAU WOODS, FRANCE - JUNE 7, 1918","Department of Parks and Recreation","NULL","1362","40.743667","-73.855417","NULL","NULL"
"Civil Engineers Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","American Society of Civil Engineers and J.J. Kasmer Co.","NULL","NULL","1981","N","1981","N","Plaque, plinth","Marker","Bronze, granite","City Hall Park","Chambers and Centre Street","New York","NY","10007","Manhattan","Engineering, Museum","THE ROTUNDA / A SMALL DOMED ROMAN-STYLE BUILDING NAMED FOR THE ROTUNDA / STOOD ON THIS SITE, 1818-1870. IT WAS THE CITY'S FIRST ART / MUSEUM AND WAS ERECTED TO DISPLAY PANORAMAS PAINTED / BY THE ARTIST, JOHN VANDERLYN. AT TIMES THE STRUCTURE / HOUSED A POST OFFICE, COURTS AND VARIOUS CITY AGENCIES. / --- / ON NOVEMBER 5, 1852 IN THE OFFICES OF THE CROTON / AQUEDUCT DEPARTMENT, THE AMERICAN SOCIETY OF CIVIL / ENGINEERS WAS FOUNDED. THE SOCIETY IS THE OLDEST / NATIONAL ASSOCIATION OF ENGINEERS IN THE UNITED STATES. / --- / THIS MARKER DONATED TO THE CITY OF NEW YORK BY THE SOCIETY MAY 1981. /","Department of Parks and Recreation","Gift of the American Society of Civil Engineers","4329","40.713038","-74.004622","122","1"
"Phillip Mazzei Flagstaff","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1981","N","1981","N","Flagstaff base, plaque","Monument/Memorial","Steel, granite","Mazzei Playground","Mace Avenue and Williamsbridge Road","Bronx","NY","10469","Bronx","Diplomat, Author, Italian, American Revolutionary War, Colonial, War","DEDICATED TO THE MEMORY OF / PHILIP MAZZEI / DIPLOMAT AND WRITER WHOSE WORDS / ""ALL MEN ARE CREATED EQUAL"" / WERE INTEGRATED INTO THE / DECLARATION OF INDEPENDENCE. / COLUMBUS ESCA ALLIANCE INC. / BRONX COUNTY / MAY 1981","Department of Parks and Recreation","Gift of Columbus ESCA Alliance, Inc.","NULL","40.862485","-73.858314","4444","300"
"Rockaway Mosaic","NULL","Evans","Ann","NULL","NULL","NULL","NULL","Woman, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","City Arts Workshop","1981","Y","1981","N","Mosaic","Artwork","Brick","Rockaway Park","Ocean Promenade and East 116th Street","Rockaway Park","NY","11694","Queens","Beach, Summer, Mosaic, Recreation","MOSAIC DESIGNS BY ANN EVANS 1981 / PRODUCED BY CITYARTS WORKSHOP INC. / WITH A GRANT FROM THE NEW YORK CITY / DEPARTMENT OF CULTURAL AFFAIRS COMMUNITY / ARTS DEVELOPMENT PROGRAM AND THE / OFFICE OF NEIGHBORHOOD ECONOMIC / DEVELOPMENT, O.E.D. FUNDED BY / THE UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT COMMUNITY / DEVELOPMENT BLOCK GRANT PROGRAM. / MOSAICS PRESENTED IN COOPERATION WITH THE NEW YORK CITY DEPARTMENT OF PARKS / AND RECREATION AND THE CHAMBER OF / COMMERCE OF THE ROCKAWAYS.","Department of Parks and Recreation","Commissioned through Department of Cultural Affairs Community Art Development Program","2530","40.577715","-73.835982","NULL","NULL"
"Francis Makemie","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Duncan Long Inc.","NULL","1982","N","1982","N","Plaque, plinth","Marker","Bronze, granite","Bowling Green Park","Broadway and Beaver Street","New York","NY","10004","Manhattan","Irish, Religious Leader","FRANCIS MAKEMIE / NEAR THIS SITE IN 1707, FRANCIS MAKEMIE, / A NATIVE OF IRELAND AND FATHER OF AMERICAN PRESBYTERIANISM, / CHALLENGED THE EDICT OF LORD CORNBURY, GOVERNOR OF THE / COLONY, FORBIDDING HIM FROM PREACHING HERE. THE SERVICES / HE CONDUCTED IN WILLIAM JACKSON'S HOME RESULTED IN HIS / BEING INDICTED FOR PREACHING A ""PERNICIOUS DOCTRINE."" / HIS SPIRITED COURT APPEARANCE RESULTED IN HIS ACQUITTAL. / IT WAS THE FIRST GREAT VICTORY HERE FOR / RELIGIOUS LIBERTY. / JULY 27, 1982 / IRISH INSTITUTE OF NEW YORK /","Department of Parks and Recreation","Gift of the Paul O'Dwyer, Irish Institute of New York","NULL","40.705162","-74.013655","12","28"
"Margaret Corbin","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1982","N","1982","N","Plaque","Marker","Bronze","Fort Tryon Park","190th Street and Fort Washington Avenue","New York","NY","10040","Manhattan","Women, Woman, American Revolutionary War, Colonial, War","MARGARET COCHRAN CORBIN / 1751 - 1800 / DURING THE BRITISH-HESSIAN ATTACK ON FORT / WASHINGTON 16 NOVEMBER 1776 MARGARET / CORBIN WAS WOUNDED WHEN SHE FILLED THE / POST OF HER HUSBAND JOHN AND WAS KILLED / WHILE LOADING ARTILLERY. THE FIRST WOMAN / TO FIGHT AS A SOLDIER IN THE REVOLUTIONARY / WAR, SHE IS BURIED AT WEST POINT. / CHAMBER OF COMMERCE / WASHINGTON HEIGHTS INWOOD 1982 /","Department of Parks and Recreation","Gift of Chamber of Commerce of Washington Heights","NULL","40.859428","-73.93368","2179","625"
"Norwegian Veterans Monument","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Ottavino Corp.","1982","N","1982","N","Plaque","Monument/Memorial","Granite, natural boulder","Battery Park","northwest of Castle Clinton","New York","NY","10004","Manhattan","Norwegian, World War II, War","Large boulder (south):DEDICATED IN THE YEAR 1982 / TO THE PEOPLE OF THE UNITED STATES OF AMERICA / BY WAR VETERANS OF / THE NORWEGIAN MERCHANT MARINE / AND THE ROYAL NORWEGIAN NAVY / IN MEMORY OF HELP AND HOSPITALITY / SHOWN DURING OUR MUTUAL STRUGGLE / FOR FREEDOM AND PEACE / IN WORLD WAR II / 

Large boulder (north): 
THESE BOULDERS WERE BROUGHT HERE / FROM THE COAST OF NORWAY / -- WHERE FORCES OF NATURE HAVE WORN / AND SHAPED THEM FOR THOUSANDS OF YEARS / 

Granite marker: 
IN WORLD WAR II 1100 / NORWEGIAN SHIPS SERVED THE / ALLIED CAUSE BY HAULING SUPPLIES / BETWEEN U.S. PORTS AND THE WAR / THEATERS ABROAD. / A SIZEABLE PART OF THE ALLIED / FORCES WERE SUPPLIED BY SHIPS / FLYING THE NORWEGIAN FLAG. / MORE THAN 30,000 SAILORS / AND NAVAL GUNNERS MANNED THE SHIPS. / MANY OF THEM LOOKED TO / NEW YORK, THE PRINCIPAL PORT OF / CALL, AS THEIR HOME PORT DURING / THE WAR. / THE LOSSES WERE HEAVY / 570 SHIPS AND 4000 SAILORS. /","Department of Parks and Recreation","Gift of Norwegian War Veterans","1371","40.703778","-74.017333","3","1"
"Raoul Wallenberg Marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1982","Y","1982","N","Plaque","Monument/Memorial","Granite, concrete","Forest Park","Metropolitan Avenue and Park Lane South","Richmond Hill","NY","11418","Queens","Architect, Holocaust, Humanitarian, Christian, Swedish, Diplomat","RAOUL WALLENBERG / SQUARE / SWEDISH RIGHTEOUS CHRISTIAN / IN DEDICATION TO HIS EFFORTS / IN SAVING 100,000 HUNGARIAN / JEWS FROM THE HOLOCAUST / QUEENS WALLENBERG / COMMITTEE / DEDICATED APRIL 25, 1982","Department of Parks and Recreation","Gift of Queens Wallenberg Committee","NULL","40.707908","-73.837441","3907","1050"
"Reverend Benjamin J. Lowry","NULL","Pugh","Robert","W.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1982","N","1982","N","Bust, pedestal","Monument/Memorial","Stainless steel, Ebony Mist granite","Lowry Triangle","Atlantic Avenue between Underhill Avenue and Washington Avenue","Brooklyn","NY","11238","Brooklyn","African American, Black American, Black History, Christian, Baptist, Religious leader","Pedestal (front) REV. BENJAMIN J. LOWRY /


Pedestal (proper left): REV. BENJAMIN J. LOWRY / ""LIFE HAS TAUGHT ME THAT / THERE IS NO SUBSTITUTE FOR PERSISTENCE / AND HARD WORK. / NO MATTER HOW GIFTED OR TALENTED / AN INDIVIDUAL, LIFE DOES NOT / GUARANTEE HIM SUCCESS. / SUCCESSFUL AND WORTHWHILE LIVES / COME FROM CONSECRATION, DEDICATION, / PERSISTENCE AND FAITH IN GOD."" / DR. B.J. LOWRY /


Pedestal (rear):
REV. BENJAMIN J. LOWRY / DEDICATED / JUL Y 31, 1982 /


Pedestal (proper right):
REV. BENJAMIN J. LOWRY / D.D. PH.D LL.D / UNIVERSALIST SCHOLAR / DEDICATED TO RELIGIOUS / SERVICE. HIS INNER / STRENGTH AND MANIFEST / PRACTICE OF THE / SPIRITUAL VALUES / PREACHES WILL ALWAYS / BE A VITAL FORCE / AMONG US. / ZION BAPTIST CHURCH INC. / AND THE COMMUNITY /","Department of Parks and Recreation","Gift of Zion Baptist Church and Community","NULL","40.680788","-73.964504","1123","1"
"Florence Gallagher","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1983","N","1983","N","Plaque, plinth","Monument/Memorial","Bronze, granite","Van Cortlandt Park","6036 Broadway","Bronx","NY","10471","Bronx","Woman, Conservationist","IN MEMORY OF / FLORENCE GALLAGHER / ""CASS"" / HELPMATE TO VAN CORTLANDT / 1912-1983 / KINGSBRIDGE HISTORICAL SOCIETY / OCTOBER 1983","Department of Parks and Recreation","Gift of the Kingsbridge Historical Society","NULL","40.89114","-73.894559","5900","150"
"Gravesend Veterans Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1983","N","1983","N","Stele","Monument/Memorial","Granite","Lady Moody Triangle","Avenue U and Village Road North","Brooklyn","NY","11223","Brooklyn","Veterans, World War I, World War II, War","Front: GRAVESEND VETERANS MEMORIAL / IN HONOR OF THOSE WHO / SERVED IN THE ARMED FORCES / OF THE UNITED STATES OF AMERICA / TO PRESERVE LIFE, LIBERTY / AND THE PURSUIT OF HAPPINESS.

Rear: GRAVESEND WAS FOUNDED IN 1643 / BY LADY DEBORAH MOODY / WHO NAMED THIS COMMUNITY / AFTER HER HOME TOWN GRAVESEND / ENGLAND, FOUNDED ON THE PRECEPTS OF / RELIGIOUS FREEDOM, GRAVESEND / WHICH MEANS / AT THE END OF THE GROVE / DERIVES ITS NAME FROM / TWO SAXON WORDS / ""GRAFES ENDE""","Department of Parks and Recreation","Gift of the Gravesend Chamber of Commerce Inc.","4719","40.596722","73.974472","7123","2"
"Ilse Metzger","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1983","N","1983","N","Plaque","Monument/Memorial","Gray granite","NULL","Grand Central Parkway and 78th Avenue","Forest Hills","NY","11375","Queens","Civic Leader, Holocaust survivor, World War II, Woman, Jewish, Immigrant, Austrian","DEDICATED TO THE MEMORY OF / ILSE METZGER / FOR HER DEVOTION AND / LABOR FOR THIS COMMUNITY / FAMILY AND FRIENDS / OCT. 2, 1983","Department of Parks and Recreation","NULL","NULL","40.716369","-73.830731","NULL","NULL"
"Sheridan Square Viewing Garden Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1983","N","1983","N","Plaque","Marker","Bronze","Sheridan Square Viewing Garden","West 4th Street and Barrow Street","New York","NY","10014","Manhattan","American Civil War, Environmentalism, Community Garden, War","THE SHERIDAN SQUARE GARDEN / CREATED AND MAINTAINED BY THE / SHERIDAN SQUARE TRIANGLE ASSOCIATION, INC. / A NON-PROFIT NEIGHBORHOOD GROUP. / THIS SQUARE WAS NAMED IN 1896 / FOR CIVIL WAR GENERAL PHILIP SHERIDAN. / THE GARDEN WAS FOUNDED IN 1982 WITH / THE COOPERATION OF THE NEW YORK CITY / DEPARTMENT OF TRANSPORTATION. /","Department of Parks and Recreation","Gift of Sheridan Square Triangle Association, Inc.","4433","40.733162","-74.002322","NULL","NULL"
"Untitled Stainless Steel Sculpture","NULL","Williams","Todd","NULL","NULL","NULL","NULL","African American, Black American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A.W. Geller & Associates / Architects","NULL","Polymer Plastics Corp.","1983","N","1983","N","Sculpture","Artwork","Stainless Steel","New York City Police Department 83rd Precinct","480 Knickerbocker Avenue","Brooklyn","NY","11237","Brooklyn","Abstract","NULL","Department of Citywide Administrative Services","Commissioned by The City of New York","4401","40.698362","-73.917865","3307","22"
"Face to Face","NULL","Chinni","Peter","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Swanke Hayden Connell & Partners","NULL","NULL","1984","Y","1984","N","Sculpture","Artwork","Stainless steel","New York City Police Department 73rd Precinct","1470 East New York Avenue","Brooklyn","NY","11212","Brooklyn","Abstract","NULL","Department of Citywide Administrative Services","Commissioned by The City of New York","4263","40.670831","-73.913703","3497","2"
"Firefighting Mosaic","NULL","Smyth","Ned","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1984","N","1984","N","Mosaic","Artwork","Marble","FDNY Engine 326 / Ladder 160 / Battalion 53","64-05 Springfield Boulevard","Oakland Gardens","NY","11364","Queens","Fire Station, Mosaic, Firefighters","NULL","New York City Fire Department","Purchased by the Department of General Services","4393","40.747067","-73.755823","7621","12"
"Cactus Couple","NULL","Tewi","Thea","NULL","NULL","NULL","NULL","Woman, American, German, Jewish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1985","N","1990","N","Sculpture","Artwork","Marble, Formica","Central Park","830 Fifth Avenue","New York","NY","10019","Manhattan","Plants","NULL","Department of Parks and Recreation","Gift of Thea Tewi","1858","40.767580","-73.971360","1111","1"
"Frank D. Paulo","NULL","Davidson","Amy","Rachel","NULL","NULL","NULL","American, Woman","Melniker","Albert","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1985","N","1985","N","Statue","Monument/Memorial","Bronze","Staten Island Borough Hall","10 Richmond Terrace","Staten Island","NY","10301","Staten Island","Judge, Lawyer","NULL","Department of Citywide Administrative Services","Gift of the Paulo Foundation Committee","124","40.642915","-74.076245","7","12"
"Growth","NULL","Rodríguez","Jorge","Luis","NULL","NULL","NULL","Puerto Rican, American, Latinx, Latin American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Housing Preservation and Development Open Spaces Program","NULL","NULL","1985","N","1985","N","Sculpture","Artwork","Painted steel","East Harlem Artpark","Sylvan Place and East 120th Street","New York","NY","10035","Manhattan","Tree, Nature, Seed, Metamorphosis","NULL","Department of Parks and Recreation","Commissioned through Department of Cultural Affairs Percent for Art Program","1807","40.801183","-73.938828","1769","29"
"Imagine","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kelly","Bruce","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1985","N","1985","N","Mosaic","Monument/Memorial","Marble, bronze","Central Park","Central Park West & 72nd Street","New York","NY","10023","Manhattan","Musician","IMAGINE ALL THE PEOPLE LIVING LIFE IN PEACE /---/ JOHN LENNON / [names of 118 countries arranged in vertical columns] / THE TREES AND STONES IN THIS GARDEN OF PEACE WERE DEDICATED / BY THE ABOVE COUNTRIES IN HONOR OF JOHN LENNON","Department of Parks and Recreation","Gift of the city of Naples, Italy","4591","40.775787","-73.975215","1111","1"
"Subway Map Floating on a New York Sidewalk","NULL","Schein","Francoise","NULL","NULL","NULL","NULL","Woman, Belgian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1985","N","1985","N","Installation","Artwork","Stainless steel bars, terrazzo flooring, glass","110 Greene Street","110 Greene Street","New York","NY","10012","Manhattan","Abstract, Transportation, Sidewalk","""SUBWAY MAP FLOATING ON A N.Y.C. SIDEWALK"" / 
ARTIST FRANCOISE SCHEIN/SPONSOR GOLDMAN PROPERTIES /
THIS PROJECT INSPIRED THE ARTIST TO REINVENT /
FIVE SUBWAY STATIONS ARTICULATING THE MESSAGE /
OF ""THE UNIVERSAL DECLARATION OF HUMAN RIGHTS"" /
PARIS-BRUSSELS-LIBSON-STOCKHOLM-BERLIN","Department of Transportation","Commissioned by Tony Goldman, Goldman Properties","4730","4"" BORE","-73.999696","499","7"
"Vietnam Memorial","NULL","Fellows","William","NULL","Wormser","Peter","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1985","N","1985","N","Memorial wall","Monument/Memorial","Glass, Granite, Bronze","Vietnam Veterans Plaza","Water Street and Coenties Slip","New York","NY","10041","Manhattan","Vietnam War, War, Veterans","(Inscriptions are quotes from letters sent to friends and family from the men in Vietnam during the war)","Department of Parks and Recreation","Gift of Vietnam Veterans Memorial Commission","3982","40.702667","-74.009806","6","1"
"Crack Is Wack","NULL","Haring","Keith","NULL","NULL","NULL","NULL","American, LGBTQ+","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1986","N","1986","N","Mural","Artwork","Paint, concrete","Crack is Wack Playground","East 128th Street & Harlem River Drive","New York","NY","10035","Manhattan","Graffiti, Pop Art","NULL","Department of Parks and Recreation","Gift of the artist (Keith Haring)","NULL","40.804722","-73.931839","1803","80"
"Frederick E. Samuel","NULL","Benevento","Albert","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1986","Y","1992","N","Plaque, plinth","Monument/Memorial","Bronze, concrete","Frederick Johnson Playground","Seventh Avenue and West 151st Street","New York","NY","10001","Manhattan","Politician, public servant, City Councilmember","IN MEMORY OF / CITY COUNCILMAN FRED SAMUEL / 1921-1985 / WHOSE TIRELESS EFFORTS / HELPED TO MAKE OUR PARK / AN OASIS IN THE COMMUNITY / FRED JOHNSON PARK ASSOCIATION, INC. / MAY 31, 1986","Department of Parks and Recreation","Gift of the New York City Department of Parks and Recreation","NULL","40.824778","-73.935527","2016","101"
"Mohandas Gandhi","NULL","Patel","Kantilal","B.","NULL","NULL","NULL","Indian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1986","N","1986","N","Statue","Monument/Memorial","Bronze","Union Square Park","Union Square West between East 15th Street and East 14th Street","New York","NY","10003","Manhattan","Activist, Civil Rights, Hindu, Indian, Reformer, Asian, South Asia","“MY OPTIMISM RESTS IN MY BELIEF IN THE INFINITE POSSIBILITIES OF THE INDIVIDUAL TO DEVELOP NONVIOLENCE. ..IN A GENTLE WAY YOU CAN SHAKE THE WORLD.”/
MOHANDAS K. GANDHI/OCTOBER 2, 1869-JANUARY 30, 1948/
STATUE PRESENTED TO THE CITY OF NEW YORK /AND CITIZENS OF THE UNITED STATES OF AMERICA BY/
GANDHI MEMORIAL INTERNATIONAL FOUNDATION/
PATRON/MOHAN B. MURJANI/
CONTRIBUTORS/
MURJAN INTERNATIONAL, LTD., PAR PHARMACEUTICALS, AIR INDIA, GANDHI BROTHERS, INC., PRAVEEN AFRIDI, RAM M. BACAI, SANTS CHATWAL, DEV R. CHITKARA, SURESH C. GUPTA, NARENDRA K. HADPAWAT, KAMLU AND SHAM LALL, PERRY LEVINE, SURESH P. MASTER, KRISHNA K. MEHTA, PAVNOV PANDHI, HARSHAD PAREKH, ASHOK PATEL, R.K. PATEL, ZLATKO PAUNOV, GOVINDAPPA RANGAIAH, H.K. CHANDRA SEKHAR,  SHAMAROA AND LAXMI TATTI, DON SHELDON, KOTHARI AND GANDHI FAMILY, ANONYMOUS/ DEDICATED OCTOBER 2, 1986/ EDWARD I. KOCH/ MAYOR OF THE CITY OF NEW YORK/ HENERY J. STERN/ COMMISSIONER OF PARKS AND RECREATION/","Department of Parks and Recreation","Gift of Gandhi Memorial International Foundation and Mohan B. Murjani","4211","40.735556","-73.991333","845","2"
"Pete McArdle","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Puma","Al","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S. Puma Co. Inc.","NULL","NULL","1986","N","1986","N","Installation","Artwork/Memorial","Aluminum, granite","Van Cortlandt Park","Broadway and West 251nd Street","Bronx","NY","10471","Bronx","Athlete, Sports, Immigrant, Irish, Runner","FINISH LINE / PETE MCARDLE","Department of Parks and Recreation","Gift of Pete McArdle Memorial Committee","628","40.894001","-73.896050","5900","150"
