"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B02687","ECO RIDE INC.","7186463500","No","6002","FOSTER AVENUE","BROOKLYN","NY","11236","LIVERY BASE","40.640231","-73.918947","2022-08-29T00:00:00.000","18:00:20","
,  
(40.640231, -73.918947)"
"B02699","PRESIDENTIAL LUXURY LIMO INC.","7187079999","No","50-19","49 STREET","WOODSIDE","NY","11377","BLACK CAR BASE","40.736437","-73.917154","2022-08-29T00:00:00.000","18:00:20","
,  
(40.736437, -73.917154)"
"B02711","TRANS CITY TRANSPORTATION INC","2125050900","No","43 - 23","35 STREET","LIC","NY","11101","BLACK CAR BASE","40.713758","-73.75641","2022-08-29T00:00:00.000","18:00:20","
,  
(40.713758, -73.75641)"
"B02719","49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.","7185362800","No","49","WESTCHESTER SQUARE","BRONX","NY","10461","LIVERY BASE","40.841873","-73.843614","2022-08-29T00:00:00.000","18:00:20","
,  
(40.841873, -73.843614)"
"B02723","CHARLIE BLACK CAR INC.","2016662222","No","162 - 13","46TH AVENUE  SUITE #3A","FLUSHING","NY","11358","BLACK CAR BASE","40.7557","-73.8046","2022-08-29T00:00:00.000","18:00:20","
,  
(40.7557, -73.8046)"
"B02724","CORE CAR, INC","2033483199","No","30","COMMERCE ROAD","STAMFORD","CT","06902","LUXURY/LIMOUSINE","41.046382","-73.56163","2022-08-29T00:00:00.000","18:00:20","
,  
(41.046382, -73.56163)"
"B02725","KIRIN TRANSPORTATION INC","7185268888","No","136 - 85","ROOSEVELT AVENUE  SUITE #2002","FLUSHING","NY","11354","BLACK CAR BASE","40.755756","-73.836021","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755756, -73.836021)"
"B02727","OSCAR LIMOUSINE INC","5166650538","No","3646","PRAIRIE PATH","BETHPAGE","NY","11714","LUXURY/LIMOUSINE","40.803977","-73.40549","2022-08-29T00:00:00.000","18:00:20","
,  
(40.803977, -73.40549)"
"B02728","NEWTOWN PRIVATE CAR SERVICE INC.","7187987802","No","3443","BAYCHESTER AVENUE","BRONX","NY","10469","LIVERY BASE","40.880322","-73.83821","2022-08-29T00:00:00.000","18:00:20","
,  
(40.880322, -73.83821)"
"B02729","LOW TOUCH LUXURY INC.","3479322498","No","5030","BROADWAY AVENUE  SUITE 622","NEW YORK","NY","10034","BLACK CAR BASE","40.86885","-73.91664","2022-08-29T00:00:00.000","18:00:20","
,  
(40.86885, -73.91664)"
"B02731","EMES OF BOROPARK CAR SERVICE INC","7188715400","No","5401","13 AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.631994","-73.99489","2022-08-29T00:00:00.000","18:00:20","
,  
(40.631994, -73.99489)"
"B02735","BEST DEAL CAR SERVICE 2,INC.","7183790009","No","2100","BARTOW AVENUE","BRONX","NY","10475","LIVERY BASE","40.868211","-73.82485","2022-08-29T00:00:00.000","18:00:20","
,  
(40.868211, -73.82485)"
"B02736","TRINITY CAR SERVICE INC","7183228700","No","134-15","ROCKAWAY BOULEVARD","SOUTH OZONE PK","NY","11420","LIVERY BASE","40.674804","-73.80358","2022-08-29T00:00:00.000","18:00:20","
,  
(40.674804, -73.80358)"
"B02737","BWJ GROUP INC","7183530188","No","132-08","SANFORD AVENUE","FLUSHING","NY","11355","BLACK CAR BASE","40.754681","-73.83279","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754681, -73.83279)"
"B02738","EXPLORER CAR SERVICE INC.","7182380404","No","6809","3 AVENUE","BROOKLYN","NY","11220","LIVERY BASE","40.636094","-74.02563","2022-08-29T00:00:00.000","18:00:20","
,  
(40.636094, -74.02563)"
"B02739","TRAXLINE CAR SERVICE INC.","7187894901","No","7","MARCUS GARVEY BLVD  STE 212","BROOKLYN","NY","11206","BLACK CAR BASE","40.693704","-73.962047","2022-08-29T00:00:00.000","18:00:20","
,  
(40.693704, -73.962047)"
"B02747","LEGEND LUXURY LIMO INC.","7187881234","No","209","25 STREET  2ND FLR","BROOKLYN","NY","11232","BLACK CAR BASE","40.681771","-73.98047","2022-08-29T00:00:00.000","18:00:20","
,  
(40.681771, -73.98047)"
"B02749","FACE LIMO INC","9176764239","No","111-15A","ROOSEVELT AVENUE  1FL","CORONA","NY","11368","BLACK CAR BASE","40.744986","-73.86426","2022-08-29T00:00:00.000","18:00:20","
,  
(40.744986, -73.86426)"
"B02751","RELIANCE GROUP INC","7188509100","No","148-09","LIBERTY AVENUE","JAMAICA","NY","11435","LUXURY/LIMOUSINE","40.728434","-73.78331","2022-08-29T00:00:00.000","18:00:20","
,  
(40.728434, -73.78331)"
"B02756","ALLY CAR SERVICE LLC","7184357777","No","2939","AVENUE Y","BROOKLYN","NY","11235","LIVERY BASE","40.591996","-73.93961","2022-08-29T00:00:00.000","18:00:20","
,  
(40.591996, -73.93961)"
"B02760","VISMAR RADIO DISPATCH INC.","9174737777","No","1040-52","FREEMAN STREET","BRONX","NY","10459","LIVERY BASE","40.828466","-73.88637","2022-08-29T00:00:00.000","18:00:20","
,  
(40.828466, -73.88637)"
"B02762","SHOWTIME TRANSPORTATION CORP.","7182606666","No","161","BRIGHTON   11 STREET","BROOKLYN","NY","11235","BLACK CAR BASE","40.578441","-73.958514","2022-08-29T00:00:00.000","18:00:20","
,  
(40.578441, -73.958514)"
"B02769","MAVROS TRANSPORTATION INC","6462668282","No","2143","CORTELYOU ROAD","BROOKLYN","NY","11226","BLACK CAR BASE","40.639749","-73.929511","2022-08-29T00:00:00.000","18:00:20","
,  
(40.639749, -73.929511)"
"B02770","CAVALIER CAR & LIMOUSINE, INC.","7184542900","No","185-08","UNION TURNPIKE","FRESH MEADOWS","NY","11366","BLACK CAR BASE","40.728365","-73.78328","2022-08-29T00:00:00.000","18:00:20","
,  
(40.728365, -73.78328)"
"B02772","TAP & RIDE,INC.","3476666666","Yes","86-11","LEFFERTS BOULEVARD  SUITE 2A","RICHMOND HILL","NY","11418","BLACK CAR BASE","40.701122","-73.83138","2022-08-29T00:00:00.000","18:00:20","
,  
(40.701122, -73.83138)"
"B02774","ALFRED HOLDINGS INC.","7185291111","No","31-00","47 AVENUE  3RD SUITE 3100","LIC","NY","11101","BLACK CAR BASE","40.67239","-73.82997","2022-08-29T00:00:00.000","18:00:20","
,  
(40.67239, -73.82997)"
"B02782","NEW APP CAR & LIMO INC","2122227999","No","908","AMSTERDAM AVENUE","NEW YORK","NY","10025","LIVERY BASE","40.79961","-73.96671","2022-08-29T00:00:00.000","18:00:20","
,  
(40.79961, -73.96671)"
"B02783","PREFERRED CARE TRANSPORTATION SERVICE,INC","7183285248","No","914","SOUNDVIEW AVENUE  SUITE #3","BRONX","NY","10473","BLACK CAR BASE","40.823574","-73.86786","2022-08-29T00:00:00.000","18:00:20","
,  
(40.823574, -73.86786)"
"B02784","SMILE TRANSPORTATION GROUP INC","7187553733","No","945","EAST 108TH STREET  SUITE B101","BROOKLYN","NY","11236","BLACK CAR BASE","40.641403","-73.91821","2022-08-29T00:00:00.000","18:00:20","
,  
(40.641403, -73.91821)"
"B02787","SEMPERIDE LLC","7183509591","No","85","BROAD STREET  27TH FLOOR","NEW YORK","NY","10004","BLACK CAR BASE","40.7042","-74.00824","2022-08-29T00:00:00.000","18:00:20","
,  
(40.7042, -74.00824)"
"B02788","TAKE ME 2 INC","6466534575","No","38 - 10","50 AVENUE","LIC","NY","11101","BLACK CAR BASE","40.633484","-74.02124","2022-08-29T00:00:00.000","18:00:20","
,  
(40.633484, -74.02124)"
"B02794","ASAP LUXE INC","7183630046","No","1304","UTICA AVENUE","BROOKLYN","NY","11203","BLACK CAR BASE","40.640752","-73.92954","2022-08-29T00:00:00.000","18:00:20","
,  
(40.640752, -73.92954)"
"B02795","LIMO SEVEN TRANSPORTATION INC","6464625191","No","635","EAST    5 STREET  FIRST FLOOR","BROOKLYN","NY","11218","BLACK CAR BASE","40.641301","-73.98238","2022-08-29T00:00:00.000","18:00:20","
,  
(40.641301, -73.98238)"
"B02797","CJ LIMOUSINE LLC","2012425466","No","1605","JOHN STREET  SUITE 201","FORT LEE","NJ","07024","BLACK CAR BASE","40.854042","-73.979192","2022-08-29T00:00:00.000","18:00:20","
,  
(40.854042, -73.979192)"
"B02799","CHURCH AVENUE EXPRESS INC","7186338444","No","99","CHURCH AVENUE","BROOKLYN","NY","11218","LIVERY BASE","40.64171","-73.98135","2022-08-29T00:00:00.000","18:00:20","
,  
(40.64171, -73.98135)"
"B02800","FLATIRON TRANSIT LLC","7187904661","No","31 - 00","47TH  AVENUE  2ND FLOOR","LIC","NY","11101","BLACK CAR BASE","40.74393","-73.98819","2022-08-29T00:00:00.000","18:00:20","
,  
(40.74393, -73.98819)"
"B02806","WIZ LIMO TRANSIT INC.","7189695555","No","147-13","UNION TURNPIKE","FLUSHING","NY","11367","BLACK CAR BASE","40.718909","-73.813241","2022-08-29T00:00:00.000","18:00:20","
,  
(40.718909, -73.813241)"
"B02811","M.L TRIPS CORP.","7183884242","No","141","MAUJER STREET","BROOKLYN","NY","11206","BLACK CAR BASE","40.713899","-73.95531","2022-08-29T00:00:00.000","18:00:20","
,  
(40.713899, -73.95531)"
"B02814","BELL LX INC","7185931683","No","405","51 STREET","BROOKLYN","NY","11220","BLACK CAR BASE","40.645794","-74.012777","2022-08-29T00:00:00.000","18:00:20","
,  
(40.645794, -74.012777)"
"B02817","ANYTIME FORSYTH TRANSPORT CORP","2124315919","No","210","CANAL STREET  SUITE #406","NEW YORK","NY","10013","BLACK CAR BASE","40.719179","-73.992121","2022-08-29T00:00:00.000","18:00:20","
,  
(40.719179, -73.992121)"
"B02819","FIVE STAR LUXURY INC.","7189400044","No","787","CONEY ISLAND AVENUE","BROOKLYN","NY","11218","BLACK CAR BASE","40.638265","-73.96821","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638265, -73.96821)"
"B02822","MILKY WAY LIMO CORP","7186746277","Yes","75-19","PARSONS BOULEVARD","FRESH MEADOWS","NY","11366","BLACK CAR BASE","40.72595","-73.810672","2022-08-29T00:00:00.000","18:00:20","
,  
(40.72595, -73.810672)"
"B02823","AAA FAMILY LIMOUSINE SERVICE INC","7183170055","No","12","ELTINGVILLE BOULEVARD","STATEN ISLAND","NY","10312","LUXURY/LIMOUSINE","40.544833","-74.16503","2022-08-29T00:00:00.000","18:00:20","
,  
(40.544833, -74.16503)"
"B02825","GUADALUPANA II CAR & LIMO INC","7186210404","No","6506","20 AVE","BROOKLYN","NY","11204","BLACK CAR BASE","40.616294","-73.98612","2022-08-29T00:00:00.000","18:00:20","
,  
(40.616294, -73.98612)"
"B02826","NEW BELL LUXURY CORP","7182304490","No","640","MYRTLE AVENUE","BROOKLYN","NY","11205","BLACK CAR BASE","40.694109","-73.958852","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694109, -73.958852)"
"B02832","NYC FLY WHEELS INC.","7184231111","No","208-01","NORTHERN BOULEVARD  SUITE #4B","BAYSIDE","NY","11361","LIVERY BASE","40.759035","-73.775438","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759035, -73.775438)"
"B02833","ADVANCED LUXURY LIMO SVC. INC.","7182312188","No","3945","PROVOST AVENUE","BRONX","NY","10466","BLACK CAR BASE","40.833404","-73.84037","2022-08-29T00:00:00.000","18:00:20","
,  
(40.833404, -73.84037)"
"B02834","811 TRANSIT CORP","9176887993","No","107-50","VAN WYCK EPXY  FL1","EAST ELMHURST","NY","11419","BLACK CAR BASE","40.761071","-73.876906","2022-08-29T00:00:00.000","18:00:20","
,  
(40.761071, -73.876906)"
"B02838","THA MAYA CAR SERVICE INC","9175645451","No","6121","17 AVENUE","BROOKLYN","NY","11204","BLACK CAR BASE","40.622281","-73.99041","2022-08-29T00:00:00.000","18:00:20","
,  
(40.622281, -73.99041)"
"B02839","YERUSHALAYIM CAR&LIMO INC","7183874900","No","343","ROEBLING STREET","BROOKLYN","NY","11211","LIVERY BASE","40.707303","-73.96101","2022-08-29T00:00:00.000","18:00:20","
,  
(40.707303, -73.96101)"
"B02840","RAELEEN CAR CORP.","7189753200","No","565","VAN NEST AVENUE","BRONX","NY","10460","BLACK CAR BASE","40.755734","-73.93795","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755734, -73.93795)"
"B02846","DLS TRANSPORTATION CORP.","7182850357","No","914","SOUNDVIEW AVENUE  2ND FL","BRONX","NY","10473","BLACK CAR BASE","40.823574","-73.867859","2022-08-29T00:00:00.000","18:00:20","
,  
(40.823574, -73.867859)"
"B02847","JOY LUXURY INC","7186846000","No","2078","CROSS BRONX EXPRESSWAY","BRONX","NY","10472","BLACK CAR BASE","40.831091","-73.85419","2022-08-29T00:00:00.000","18:00:20","
,  
(40.831091, -73.85419)"
"B02849","BROOKLYN RIDES CORP","7182186900","No","86 - 40","96 STREET","WOODHAVEN","NY","11421","BLACK CAR BASE","40.714797","-73.95974","2022-08-29T00:00:00.000","18:00:20","
,  
(40.714797, -73.95974)"
"B02852","OP CAR SERVICE INC.","7186598888","No","90-19","LIBERTY AVENUE","OZONE PARK","NY","11417","BLACK CAR BASE","40.680275","-73.848047","2022-08-29T00:00:00.000","18:00:20","
,  
(40.680275, -73.848047)"
"B02853","SAFE RIDES CAR & LIMO SERVICES INC","3479832800","No","5488","AMBOY ROAD  SUITE 3","STATEN ISLAND","NY","10312","BLACK CAR BASE","40.511457","-74.241468","2022-08-29T00:00:00.000","18:00:20","
,  
(40.511457, -74.241468)"
"B02855","JUNIORS LUXURY INC","7189401919","No","406","45TH STREET","BROOKLYN","NY","11220","BLACK CAR BASE","40.641619","-73.96416","2022-08-29T00:00:00.000","18:00:20","
,  
(40.641619, -73.96416)"
"B02856","MARIACHI CAR SERVICE INC","7185247323","No","1264 A","CASTLETON AVENUE","STATEN ISLAND","NY","10310","BLACK CAR BASE","40.63375","-74.12479","2022-08-29T00:00:00.000","18:00:20","
,  
(40.63375, -74.12479)"
"B02860","EVERY WHERE LIMO SERVICE INC.","7186586008","No","110-00","ROCKAWAY BOULEVARD","JAMAICA","NY","11420","BLACK CAR BASE","40.67239","-73.82997","2022-08-29T00:00:00.000","18:00:20","
,  
(40.67239, -73.82997)"
"B02863","NYC MIDDTOWN LIMO CORP","7188481221","No","100-01","97 AVENUE","OZONE PARK","NY","11416","BLACK CAR BASE","40.687993","-73.83363","2022-08-29T00:00:00.000","18:00:20","
,  
(40.687993, -73.83363)"
"B02868","CHA CHA TRANSPORTATION CORP","7186830246","No","35 - 30","154 STREET  2ND FLOOR","FLUSHING","NY","11354","BLACK CAR BASE","40.739075","-73.787622","2022-08-29T00:00:00.000","18:00:20","
,  
(40.739075, -73.787622)"
"B02881","DIANE CAR AND LIMO SERVICE LLC","7185444444","No","71-19","80TH STREET  SUITE# 8310","GLENDALE","NY","11385","BLACK CAR BASE","40.717248","-73.857586","2022-08-29T00:00:00.000","18:00:20","
,  
(40.717248, -73.857586)"
"B02886","PRINCE LUXURY CORP.","7184396000","No","5915","4 AVENUE","BROOKLYN","NY","11220","BLACK CAR BASE","40.640935","-74.01791","2022-08-29T00:00:00.000","18:00:20","
,  
(40.640935, -74.01791)"
"B02892","SEAMAN EXPRESS CORP.","6469644686","No","4020","10 AVENUE","NEW YORK","NY","10034","BLACK CAR BASE","40.869265","-73.91584","2022-08-29T00:00:00.000","18:00:20","
,  
(40.869265, -73.91584)"
"B02897","FC LIMOUSINE INC","2126530087","No","85 - 56","118 STREET","KEW GARDENS","NY","11415","LUXURY/LIMOUSINE","40.764583","-73.83384","2022-08-29T00:00:00.000","18:00:20","
,  
(40.764583, -73.83384)"
"B02898","SANO CAR LLC","2125675009","No","5030","BROADWAY  SUITE 676","NEW YORK","NY","10034","BLACK CAR BASE","40.86885","-73.91664","2022-08-29T00:00:00.000","18:00:20","
,  
(40.86885, -73.91664)"
"B02899","NEW BLACK LUXURY CARS CORP","7183887777","No","390","BROADWAY","BROOKLYN","NY","11211","BLACK CAR BASE","40.707063","-73.95449","2022-08-29T00:00:00.000","18:00:20","
,  
(40.707063, -73.95449)"
"B02901","GALLANT LUXURY SERVICE CORP.","2123040707","No","5030","BROADWAY  SUITE 804","NEW YORK","NY","10034","BLACK CAR BASE","40.86885","-73.91664","2022-08-29T00:00:00.000","18:00:20","
,  
(40.86885, -73.91664)"
"B02902","NY CAR & LIMO SERVICES INC.","7182551798","Yes","71-16","35 AVENUE","JACKSON HEIGHTS","NY","11372","BLACK CAR BASE","40.750655","-73.894345","2022-08-29T00:00:00.000","18:00:20","
,  
(40.750655, -73.894345)"
"B02903","JFK LUXURY LIMOUSINE INC","7186595501","No","115-13","JAMAICA AVENUE","RICHMOND HILL","NY","11418","BLACK CAR BASE","40.680573","-73.85844","2022-08-29T00:00:00.000","18:00:20","
,  
(40.680573, -73.85844)"
"B02905","PUEBLA LUXURY CORP","7186335454","No","3916","9 AVENUE","BROOKLYN","NY","11232","BLACK CAR BASE","40.644255","-74.0001","2022-08-29T00:00:00.000","18:00:20","
,  
(40.644255, -74.0001)"
"B02909","PUERTO RICO EXPRESS BLACK LUXURY INC","7184439600","No","1072","BROADWAY AVE","BKLYN","NY","11221","BLACK CAR BASE","40.694521","-73.93158","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694521, -73.93158)"
"B02912","FIRST CLASS LUXURY INC","2123040452","No","4980","BROADWAY","NEW YORK","NY","10034","BLACK CAR BASE","40.868198","-73.91923","2022-08-29T00:00:00.000","18:00:20","
,  
(40.868198, -73.91923)"
"B02913","DAT TRANSPORTATION INC.","7183288889","No","650","SOUNDVIEW AVENUE","BRONX","NY","10473","BLACK CAR BASE","40.818455","-73.86271","2022-08-29T00:00:00.000","18:00:20","
,  
(40.818455, -73.86271)"
"B02917","C & A BLACK CAR CORP.","7184052222","No","3106","WEBSTER AVENUE","BRONX","NY","10467","BLACK CAR BASE","40.871095","-73.876751","2022-08-29T00:00:00.000","18:00:20","
,  
(40.871095, -73.876751)"
"B02918","LEOPARD INC","7183884488","No","670","FLUSHING AVE  #221","BROOKLYN","NY","11206","BLACK CAR BASE","40.711065","-73.94753","2022-08-29T00:00:00.000","18:00:20","
,  
(40.711065, -73.94753)"
"B02920","AMAZING CAR AND LIMO SERVICE INC","7189425959","No","1903","WEST FARMS RD","BRONX","NY","10460","LIVERY BASE","40.605623","-74.008705","2022-08-29T00:00:00.000","18:00:20","
,  
(40.605623, -74.008705)"
"B02921","GRAVITAS PRIMO,LLC","9176057800","No","348","WEST 14 STREET  6TH FLOOR","NEW YORK","NY","10014","BLACK CAR BASE","40.720613","-73.984519","2022-08-29T00:00:00.000","18:00:20","
,  
(40.720613, -73.984519)"
"B02924","CELEBRITY LUXURY INC.","7186180093","No","1748","EAST TREMONT AVENUE","BRONX","NY","10460","BLACK CAR BASE","40.839235","-73.869701","2022-08-29T00:00:00.000","18:00:20","
,  
(40.839235, -73.869701)"
"B02926","SAI EXECUTIVE LIMO CORP","6469200000","No","4","DORIS RD","HICKSVILLE","NY","11801","LUXURY/LIMOUSINE","40.754119","-73.526293","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754119, -73.526293)"
"B02929","OTTOMAN TRANSPORTATION INC.","7185692525","No","61-43","186TH STREET  C112","FRESH MEADOWS","NY","11365","BLACK CAR BASE","40.764356","-73.884555","2022-08-29T00:00:00.000","18:00:20","
,  
(40.764356, -73.884555)"
"B02930","V.I.T. BLACK CAR TRANSPORTATION CORP.","7189048080","No","1478","WHITE PLAINS RD","BRONX","NY","10462","BLACK CAR BASE","40.837752","-73.863335","2022-08-29T00:00:00.000","18:00:20","
,  
(40.837752, -73.863335)"
"B02931","NEW TECHNOLOGY TRANSPORTATION INC.","9179332001","No","69","FEATHERBED LANE","BRONX","NY","10452","BLACK CAR BASE","40.846629","-73.917362","2022-08-29T00:00:00.000","18:00:20","
,  
(40.846629, -73.917362)"
"B02932","GRAND TRANSPORTATION SERVICES INC","7184334255","Yes","36-13","32ND STREET","LIC","NY","11106","BLACK CAR BASE","40.755937","-73.928979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755937, -73.928979)"
"B02934","JUN'S LIMOUSINE AND CAR SERVICE LLC","7184816363","No","145-117","GUY R BREWER BOULEVARD","JAMAICA","NY","11434","LIVERY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02937","ACCESS TRANSPORTATION GROUP, LLC","9295220450","Yes","33-24","NORTHERN BOULEVARD","LIC","NY","11101","LIVERY BASE","40.751736","-73.930223","2022-08-29T00:00:00.000","18:00:20","
,  
(40.751736, -73.930223)"
"B02942","FANNY RADIO DISPATCHER SERVICE INC.","7186414444","No","129 - 02","LIBERTY AVENUE  SUITE #6","RICHMOND HILL","NY","11419","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02944","SCORPIO FIVE STAR CAR & LIMO SERVICE INC","9176839470","No","127-19","ROCKAWAY BOULEVARD","SOUTH OZONE PAR","NY","11420","BLACK CAR BASE","40.675409","-73.810012","2022-08-29T00:00:00.000","18:00:20","
,  
(40.675409, -73.810012)"
"B02947","ONIX TRANSPORTATION, INC","7189181888","No","73","MARKET STREET  3RD FLOOR","YONKERS","NY","10710","BLACK CAR BASE","40.851497","-73.827653","2022-08-29T00:00:00.000","18:00:20","
,  
(40.851497, -73.827653)"
"B02949","MEEM SERVICES INC","9174827281","No","24506","JERICHO TKPE  SUITE#LL111","FLORAL PARK","NY","11001","LUXURY/LIMOUSINE","40.724491","-73.723094","2022-08-29T00:00:00.000","18:00:20","
,  
(40.724491, -73.723094)"
"B02956","W.K.EXPRESS LIMO SERVICE INC","7182747888","No","1206","60 STREET","BROOKLYN","NY","11219","BLACK CAR BASE","40.712007","-73.99515","2022-08-29T00:00:00.000","18:00:20","
,  
(40.712007, -73.99515)"
"B02962","HEALTH BLACK CAR SERVICES, CORP","7186761132","No","454B","RIVERDALE AVENUE  GROUND FLOOR","YONKERS","NY","10705","BLACK CAR BASE","40.829281","-73.876669","2022-08-29T00:00:00.000","18:00:20","
,  
(40.829281, -73.876669)"
"B02965","ORION LUXURY CORP","2123040102","No","5030","BROADWAY  STE 604","NEW YORK","NY","10034","BLACK CAR BASE","40.86885","-73.916637","2022-08-29T00:00:00.000","18:00:20","
,  
(40.86885, -73.916637)"
"B02967","ABIEL TRANSPORTATION CORP","7187336000","No","261","EAST KINGSBRIDGE ROAD  N-46","BRONX","NY","10458","BLACK CAR BASE","40.863983","-73.89383","2022-08-29T00:00:00.000","18:00:20","
,  
(40.863983, -73.89383)"
"B02968","NEW GENERATION BLACK CAR TRANSPORTATION CORP.","3479916111","No","2112","WESTCHESTER AVENUE","BRONX","NY","10462","BLACK CAR BASE","40.82923","-73.871067","2022-08-29T00:00:00.000","18:00:20","
,  
(40.82923, -73.871067)"
"B02969","LYFE AUTO GROUP INC","7187066234","No","32-10","GREENPOINT AVENUE","LIC","NY","11101","BLACK CAR BASE","40.734944","-73.935733","2022-08-29T00:00:00.000","18:00:20","
,  
(40.734944, -73.935733)"
"B02970","FLYTE LINE TRANSPORTATION LLC","8888885466","No","90","MCKEE DRIVE","MAHWAH","NJ","07430","BLACK CAR BASE","41.083191","-74.149513","2022-08-29T00:00:00.000","18:00:20","
,  
(41.083191, -74.149513)"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.","7189929162","No","277","EAST  165 STREET","BRONX","NY","10456","BLACK CAR BASE","40.82939","-73.916073","2022-08-29T00:00:00.000","18:00:20","
,  
(40.82939, -73.916073)"
"B02972","BLESSING TRANSPORTATION GROUP INC","9174737373","No","1890","RANDALL AVE","BRONX","NY","10473","BLACK CAR BASE","40.830852","-73.881796","2022-08-29T00:00:00.000","18:00:20","
,  
(40.830852, -73.881796)"
"B02975","LI YANG LIMOUSINE INC","9293379394","No","578","58 STREET","BROOKLYN","NY","11220","BLACK CAR BASE","40.639423","-74.013137","2022-08-29T00:00:00.000","18:00:20","
,  
(40.639423, -74.013137)"
"B02977","MEDROCK CAR SERVICE INC.","7188884848","No","162-13","46 AVENUE  #2 FLOOR","FLUSHING","NY","11358","BLACK CAR BASE","40.762492","-73.803318","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762492, -73.803318)"
"B02978","ONYX 1 INC","5168844782","No","1225","FRANKLIN AVE  325","GARDEN CITY","NY","11530","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02987","7 WAYS TRANSPORTATION CORP.","3476416431","No","2387","WESTCHESTER AVENUE","BRONX","NY","10461","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02989","GOOD FRIENDS CAR SERVICE INC","7183218282","No","59-01","FRESH MEADOW LN.","FRESH MEADOWS","NY","11365","BLACK CAR BASE","40.63186","-73.984917","2022-08-29T00:00:00.000","18:00:20","
,  
(40.63186, -73.984917)"
"B02990","GO MY SEDAN LLC","2124340400","No","1430","BROADWAY  RM507","NEW YORK","NY","10018","BLACK CAR BASE","40.753913","-73.986417","2022-08-29T00:00:00.000","18:00:20","
,  
(40.753913, -73.986417)"
"B02996","FOREVER BLUE CAR SERVICE INC.","9175635993","No","41-31","MAIN STREET","FLUSHING","NY","11355","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02997","KALUMA TRANSPORTATION GROUP INC.","7185430001","No","3107","KINGSBRIDGE AVENUE","BRONX","NY","10463","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02998","GENESIS LUXURY TRANSPORTATION CORP.","7188725260","No","955","SOUNDVIEW AVENUE  2ND FL","BRONX","NY","10473","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B02999","TEST BASE, TEST TEST","7183910002","Yes","33","BEAVER STREET","NEW YORK","NY","10503","LIVERY BASE","40.74209","-73.935516","2022-08-29T00:00:00.000","18:00:20","
,  
(40.74209, -73.935516)"
"B03002","REYNO,INC.","2129272225","No","199","AUDUBON AVENUE","NEW YORK","NY","10033","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03006","HUDSON HEIGHTS TRANSPORTATION INC.","7186062710","No","2470","49 STREET  #3","ASTORIA","NY","11103","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03010","CSL MANHATTITUDE EXECUTIVE TRANSPORTATION LLC","6468128948","No","500","TROLLEY LINE ROAD","BABYLON","NY","11702","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03011","GOOD DAY TRANSPORTATION INC","3475336221","No","1111","CHURCH AVENUE","BROOKLYN","NY","11218","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03015","TRI-COUNTY BLACK CARS INC","7188460747","No","86-29","102 STREET","RICHMOND HILL","NY","11418","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03016","BEST DEAL BLACK INC.","7185155555","No","757 A","BURKE AVENUE","BRONX","NY","10467","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03017","SDR TRANSPORTATION CORP.","7188630002","No","3717","EAST TREMONT AVENUE","BRONX","NY","10465","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03018","AUREUS LLC","9178872105","No","240","KENT AVENUE","BROOKLYN","NY","11249","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03021","ALBAJOSH TRANSPORT CORP","7189270001","No","3440","ATLANTIC AVENUE","BROOKLYN","NY","11208","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03022","BLACK CAR EXPRESS.COM CORP","5164720811","No","8","MAPLE ST  STE 4","PORT WASHINGTON","NY","11050","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
