"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-05357-0017","280 OCEAN PARKWAY
Brooklyn, NY 
(40.642613343824, -73.97428236005)","3","11218","40.642518","-73.973955","12","39","494","3125449","3053570017","Kensington-Ocean Parkway                                                   ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","114","1941","132200","833062","6.3","398826","3.02","434236","2255000","17.06","3-05358-0077","279 OCEAN PARKWAY
Brooklyn, NY 
(40.642697390836, -73.973669858729)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","77","1926","95106","969571","10.19","577197","6.07","392374","2445000","25.71","0.09","3-05357-0045","330 OCEAN PARKWAY
Brooklyn, NY 
(40.641179654402, -73.973996764547)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","54","1929","51426","576576","11.21","313752","6.1","262824","1628000","31.66","0","3-05358-0086","269 OCEAN PARKWAY
Brooklyn, NY 
(40.642985681151, -73.973725132436)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","49","1941","56,100","577,000","10.29","329,190","5.87","247,810","1,485,000","26.47","0.09"
"3-06138-9001","10031 4 AVENUE
Brooklyn, NY 
(40.61227060517, -74.034106535728)","3","11209","40.612244","-74.034144","10","43","162","3253519","3061380001","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","30","1985","21725","441452","20.32","146427","6.74","295025","2108000","97.03","3-06124-0028","150 MARINE AVENUE
Brooklyn, NY 
(40.616583580505, -74.035665379032)","BAY RIDGE","D1-ELEVATOR","50","1958","40500","822960","20.32","370170","9.14","452790","3235000","79.88","0.33","3-06114-0006","310 94 STREET
Brooklyn, NY 
(40.617672303917, -74.032842558123)","BAY RIDGE","D7-ELEVATOR","74","1928","48000","905280","18.86","434880","9.06","470400","3380000","70.42","0.35","3-06120-0046","125 96 STREET
Brooklyn, NY 
(40.61638760288, -74.036565830107)","BAY RIDGE","D1-ELEVATOR","58","1963","43,182","696,957","16.14","334,661","7.75","362,296","2,024,000","46.87","0.38"
"3-04905-0001","3400 SNYDER AVENUE
Brooklyn, NY 
(40.649135202407, -73.945487464654)","3","11203","40.649161","-73.945368","17","45","856","3110167","3049050001","East Flatbush-Farragut                                                     ","FLATBUSH-EAST","D4-ELEVATOR","129","1956","114346","1126308","9.85","723810","6.33","402498","2376000","20.78","3-04885-0054","31 31 STREET
Brooklyn, NY 
(40.600769830002, -73.99372200113)","FLATBUSH-EAST","D1-ELEVATOR","41","1931","44400","353491","7.96","212786","4.79","140705","830000","18.69","0.21","3-05139-0035","2801 BEVERLY ROAD
Brooklyn, NY 
(40.645034731547, -73.950854049622)","FLATBUSH-CENTRAL","D1-ELEVATOR","48","1941","46980","486382","10.35","293068","6.24","193314","1203000","25.61","0.33",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01172-0021","280 ST JOHN'S PLACE
Brooklyn, NY 
(40.674024499796, -73.968237997814)","3","11238","40.674073","-73.968171","8","35","207","3029355","3011720021","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","16","1912","12628","238417","18.88","108853","8.62","129564","930000","73.65","3-01172-0029","310 ST JOHN'S PLACE
Brooklyn, NY 
(40.674309448255, -73.967288169615)","PROSPECT HEIGHTS","C1-WALK-UP","13","1920","12660","262805","20.76","124929","9.87","137876","1013000","80.02","0","3-01172-0027","298 ST JOHN'S PLACE
Brooklyn, NY 
(40.674195468856, -73.967668100945)","PROSPECT HEIGHTS","C1-WALK-UP","15","1920","13923","262805","18.88","120024","8.62","142781","1025000","73.62","0","3-01176-0040","440 ST JOHN'S PLACE
Brooklyn, NY 
(40.673686680742, -73.963522830935)","PROSPECT HEIGHTS","C1-WALK-UP","16","1912","13,920","201,257","14.46","104,971","7.54","96,286","666,000","47.84","0.15"
"3-07422-0040","2939 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","55","1960","44100","541548","12.28","320607","7.27","220941","1401000","31.77","3-07422-0917","2440 29 STREET
Brooklyn, NY 
(40.575866953862, -73.995486224446)","SHEEPSHEAD BAY","D1-ELEVATOR","113","1961","117500","1443094","12.28","813915","6.93","629179","3990000","33.96","0.11","3-08791-0224","3685 NOSTRAND AVENUE
Brooklyn, NY 
(40.594065167957, -73.940639465668)","SHEEPSHEAD BAY","D1-ELEVATOR","50","1966","35520","461948","13.01","266441","7.5","195507","1303000","36.68","0.44","3-07422-0101","2813 OCEAN AVENUE
Brooklyn, NY 
(40.592695469092, -73.950057936405)","SHEEPSHEAD BAY","D1-ELEVATOR","60","1929","55,920","537,965","9.62","300,313","5.37","237,652","1,408,000","25.18","0.5"
"3-05056-0040","590 PARKSIDE AVENUE
Brooklyn, NY 
(40.656006358528, -73.953747908265)","3","11226","40.656013","-73.954019","9","40","822","3116008","3050560040","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-CENTRAL","C6-WALK-UP","40","1931","29200","240533","8.24","127940","4.38","112593","663000","22.71","3-01314-0086","131 STERLING STREET
Brooklyn, NY 
(40.662809907205, -73.956582817547)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1916","18040","157309","8.72","102287","5.67","55022","320000","17.74","0.53","3-01314-0083","137 STERLING STREET
Brooklyn, NY 
(40.662821573211, -73.956394132591)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1916","17870","147070","8.23","97034","5.43","50036","295000","16.51","0.53","3-01309-0039","470 MONTGOMERY STREET
Brooklyn, NY 
(40.665269114543, -73.949183632414)","CROWN HEIGHTS","C1-WALK-UP","52","1925","50,024","454,756","9.09","287,483","5.75","167,273","818,000","16.35","0.7"
"3-02421-0012","274 2 STREET
Brooklyn, NY 
(40.675867254419, -73.987892314336)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","37","1910","32100","633975","19.75","322284","10.04","311691","2231000","69.5","3-02420-0043","209 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","C1-WALK-UP","20","1910","23700","468052","19.75","237871","10.04","230181","1648000","69.54","0.08","3-02420-0005","215 ROEBLING STREET
Brooklyn, NY 
(40.712015925633, -73.959112972595)","WILLIAMSBURG-SOUTH","C7-WALK-UP","18","1910","16400","390043","23.78","198225","12.09","191818","1397000","85.18","0.08","3-02463-0021","386 5 STREET
Brooklyn, NY 
(40.670796926841, -73.982733620523)","WILLIAMSBURG-SOUTH","C7-WALK-UP","36","1913","27,000","416,340","15.42","212,220","7.86","204,120","1,400,000","51.85","0.27"
"3-06795-0015","1720 13 STREET
Brooklyn, NY 
(40.604659990445, -73.985785843941)","3",,,,,,,,,,"MADISON","D4-ELEVATOR","75","1959","46000","579140","12.59","258060","5.61","321080","2150000","46.74","3-06795-0047","1225 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MADISON","D1-ELEVATOR","65","1939","70000","867221","12.39","485438","6.93","381783","2417000","34.53","0","3-06818-0017","1820 13 STREET
Brooklyn, NY 
(40.602265172156, -73.985318741119)","MADISON","D1-ELEVATOR","94","1941","106000","1354682","12.78","790812","7.46","563870","3766000","35.53","0.17",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05248-0012","50 KENILWORTH PLACE
Brooklyn, NY 
(40.634730384576, -73.951018482322)","3","11210","40.634803","-73.951065","14","45","770","3121600","3052480012","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","73","1955","87027","522403","6","322208","3.7","200195","1191000","13.69","3-07554-0056","714 27 STREET
Brooklyn, NY 
(40.633185662933, -73.951036024759)","MIDWOOD","D1-ELEVATOR","71","1927","77047","807415","10.48","502321","6.52","305094","1896000","24.61","0.12","3-07554-0048","712 27 STREET
Brooklyn, NY 
(40.633223749525, -73.951043320238)","MIDWOOD","D1-ELEVATOR","59","1931","69782","635013","9.1","408717","5.86","226296","1347000","19.3","0.12","3-05251-0038","616 29 STREET
Brooklyn, NY 
(40.635783220462, -73.948989011693)","FLATBUSH-CENTRAL","D1-ELEVATOR","54","1931","62,320","543,263","8.72","331,737","5.32","211,526","1,254,000","20.12","0.11"
"3-05307-0070","40 TEHAMA STREET
Brooklyn, NY 
(40.644585275361, -73.982076354943)","3","11218","40.644518","-73.982163","12","39","498","3123699","3053070070","Kensington-Ocean Parkway                                                   ","KENSINGTON","D4-ELEVATOR","75","1931","98604","624513","6.33","322574","3.27","301939","1796000","18.21","3-05309-0029","45 TEHAMA STREET
Brooklyn, NY 
(40.644471536155, -73.982208869475)","KENSINGTON","D1-ELEVATOR","65","1940","70944","507701","7.16","200424","2.83","307277","1825000","25.72","0.05","3-05334-0006","114 ALBEMARLE ROAD
Brooklyn, NY 
(40.645099524231, -73.979675857651)","KENSINGTON","D1-ELEVATOR","65","1927","62934","643810","10.23","377671","6","266139","1573000","24.99","0.19","3-05325-0065","199 2 STREET
Brooklyn, NY 
(40.676321385053, -73.9887644504)","KENSINGTON","D1-ELEVATOR","48","1937","49,800","353,880","7.11","136,056","2.73","217,824","812,000","16.31","0.25"
"3-05597-0058","1163 43 STREET
Brooklyn, NY 
(40.640306667779, -73.991752350897)","3","11219","40.640347","-73.991849","12","39","224","3135867","3055970058","Borough Park                                                               ","BOROUGH PARK","C6-WALK-UP","20","1926","17800","211399","11.88","115231","6.47","96168","531000","29.83","3-05595-0030","958 42 STREET
Brooklyn, NY 
(40.643458138255, -73.995572952164)","BOROUGH PARK","C1-WALK-UP","16","1915","17800","293144","16.47","168422","9.46","124722","681000","38.26","0.29","3-00733-0031","862 43 STREET
Brooklyn, NY 
(40.644179538557, -73.998257211075)","BOROUGH PARK","C1-WALK-UP","25","1927","17040","233950","13.73","156249","9.17","77701","513000","30.11","0.44",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-02007-0014","475 CARLTON AVENUE
Brooklyn, NY 
(40.683499927213, -73.970883049264)","3","11238","40.683478","-73.970918","2","35","179","3321981","3020070014","Fort Greene                                                                ","FORT GREENE","D4-ELEVATOR","304","1974","476450","3399237","7.13","1080823","2.27","2318414","13775000","28.91","3-02186-0001","555 WYTHE AVENUE
Brooklyn, NY 
(40.705035857796, -73.966460893803)","WILLIAMSBURG-CENTRAL","D3-ELEVATOR","647","1975","748308","10098934","13.5","5514178","7.37","4584756","30355000","40.56","1.42","3-01798-0040","550 GREENE AVENUE
Brooklyn, NY 
(40.688662422549, -73.948653796504)","BEDFORD STUYVESANT","D1-ELEVATOR","151","1984","128000","2276067","17.78","1037068","8.1","1238999","6990000","54.61","1.14","3-01588-0001","157 MARCUS
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BEDFORD STUYVESANT","D6-ELEVATOR","272","1976","290,715","4,145,596","14.26","2,238,506","7.7","1,907,090","12,457,000","42.85","1.84"
"3-00231-0019","44 PINEAPPLE STREET
Brooklyn, NY 
(40.698494232627, -73.994254469655)","3","11201","40.698462","-73.994057","2","33","501","3001726","3002310019","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","275","1929","441063","6854119","15.54","4031316","9.14","2822803","15950000","36.16","3-00220-0016","35 ORANGE STREET
Brooklyn, NY 
(40.699265124451, -73.994165515869)","BROOKLYN HEIGHTS","D1-ELEVATOR","48","1924","47136","744258","15.79","392493","8.33","351765","2405000","51.02","0.12","3-00234-0043","12 CLARK STREET
Brooklyn, NY 
(40.698202590446, -73.99584995323)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1936","17184","239136","13.92","134809","7.85","104327","687000","39.98","0.15","3-00241-0011","63 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1923","9,972","185,778","18.63","78,480","7.87","107,298","771,000","77.32","0.22"
"3-06439-0052","208 BAY 22 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11214","40.601442","-74.003929","11","43","282","3168733","3064390052","Bath Beach                                                                 ","BATH BEACH","C6-WALK-UP","16","1916","13940","174477","12.52","67924","4.87","106553","674000","48.35","3-06439-0046","194 BAY 22 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C1-WALK-UP","12","1916","13940","180523","12.95","97441","6.99","83082","554000","39.74","0","3-06447-0046","8806 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C1-WALK-UP","16","1927","13000","175761","13.52","83825","6.45","91936","599000","46.08","0.39","3-06435-0014","199 BAY 17 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C1-WALK-UP","26","1928","24,000","324,439","13.52","117,583","4.9","206,856","1,369,000","57.04","0.2"
"3-08378-0001","5607 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OLD MILL BASIN","C6-WALK-UP","22","1955","18576","287556","15.48","145079","7.81","142477","976000","52.54","3-07868-0036","20 BAUGHMAN PLACE
Brooklyn, NY 
(40.620131853583, -73.933865235847)","FLATLANDS","C1-WALK-UP","24","1926","10750","257706","23.97","111504","10.37","146202","1004000","93.4","0.78","3-07597-0034","1791 NEW YORK AVENUE
Brooklyn, NY 
(40.628886927663, -73.944335488243)","FLATBUSH-EAST","C1-WALK-UP","15","1930","8892","161970","18.22","79204","8.91","82766","596000","67.03","1.57","3-07808-0036","3728 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","FLATBUSH-EAST","C1-WALK-UP","58","1926","41,596","607,474","14.6","380,926","9.16","226,548","1,565,000","37.62","1.22"
"3-05979-0046","7914 4 AVENUE
Brooklyn, NY 
(40.627806841642, -74.026343650148)","3","11209","40.62774","-74.026349","10","43","64","3150871","3059790046","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","76","1923","50310","941803","18.72","475933","9.46","465870","3348000","66.55","3-06034-0041","8502 4 AVENUE
Brooklyn, NY 
(40.623526331909, -74.02810830344)","BAY RIDGE","D7-ELEVATOR","55","1925","64000","1208320","18.88","567680","8.87","640640","3850000","60.16","0.31","3-05961-0001","7721 4 AVENUE
Brooklyn, NY 
(40.629207528221, -74.025698203808)","BAY RIDGE","D7-ELEVATOR","41","1921","23750","444600","18.72","213513","8.99","231087","1661000","69.94","0.17","3-06026-0001","8415 4 AVENUE
Brooklyn, NY 
(40.623897963169, -74.027877752129)","BAY RIDGE","D1-ELEVATOR","112","1926","81,000","1,284,660","15.86","642,330","7.93","642,330","4,389,000","54.19","0.33"
"3-07579-0010","1655 FLATBUSH AVENUE
Brooklyn, NY 
(40.630175300855, -73.944816225154)","3","11210","40.630096","-73.944757","18","45","776","3206459","3075790010","Flatlands                                                                  ","FLATBUSH-EAST","D4-ELEVATOR","644","1964","689000","7840820","11.38","4285580","6.22","3555240","22330000","32.41","3-07612-0011","2425 NOSTRAND AVENUE
Brooklyn, NY 
(40.625550747377, -73.946604017779)","FLATBUSH-EAST","D1-ELEVATOR","178","1955","204830","2433941","11.88","1466898","7.16","967043","6083000","29.7","0.41","3-07578-0057","3210 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","FLATBUSH-EAST","D1-ELEVATOR","78","1941","78420","892225","11.38","488107","6.22","404118","2475000","31.56","0.09","3-07559-0011","777 31 STREET
Brooklyn, NY 
(40.632407508261, -73.946606180675)","FLATBUSH-EAST","D1-ELEVATOR","125","1961","110,604","1,118,724","10.11","659,969","5.97","458,755","2,861,000","25.87","0.18"
"3-01961-0006","451 CLINTON AVENUE
Brooklyn, NY 
(40.684786580561, -73.96711960443)","3","11238","40.684945","-73.967171","2","35","199","3321898","3019610006","Clinton Hill                                                               ","CLINTON HILL","D4-ELEVATOR","31","1930","29542","441357","14.94","210634","7.13","230723","1590000","53.82","3-01948-0040","91 CLIFTON PLACE
Brooklyn, NY 
(40.688104504418, -73.960469215355)","CLINTON HILL","D5-ELEVATOR","22","1920","22500","375128","16.67","186174","8.27","188954","1367000","60.76","0.35","3-01960-0070","464 CLINTON AVENUE
Brooklyn, NY 
(40.684497260879, -73.967136938919)","CLINTON HILL","D1-ELEVATOR","62","1930","47304","706875","14.94","337440","7.13","369435","2545000","53.8","0.05","3-02075-0001","65 WILLOUGHBY AVENUE
Brooklyn, NY 
(40.691629725329, -73.970415267485)","FORT GREENE","D3-ELEVATOR","29","1928","27,702","357,895","12.92","207,277","7.48","150,618","1,005,000","36.28","0.51"
"3-08710-0055","50 SHORE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11235","40.582266","-73.954005","15","48","61004","3245440","3087100055","Brighton Beach                                                             ","SHEEPSHEAD BAY","D4-ELEVATOR","72","1957","38778","490929","12.66","148132","3.82","342797","2294000","59.16","3-08716-0038","3026 BRIGHTON 14 STREET
Brooklyn, NY 
(40.579173401869, -73.955069971411)","BRIGHTON BEACH","D1-ELEVATOR","53","1928","49000","620279","12.66","187105","3.82","433174","1837000","37.49","0.26","3-08717-0096","3031 BRIGHTON 14 STREET
Brooklyn, NY 
(40.578976742782, -73.95513349288)","BRIGHTON BEACH","D1-ELEVATOR","47","1932","40000","554800","13.87","277600","6.94","277200","1827000","45.68","0.27","3-08709-0072","3030 BRIGHTON 12 STREET
Brooklyn, NY 
(40.579375266086, -73.957051916014)","BRIGHTON BEACH","D1-ELEVATOR","96","1931","100,800","1,157,184","11.48","659,232","6.54","497,952","3,179,000","31.54","0.26"
"3-01064-0021","45 PLAZA ST
Brooklyn, NY 
(40.673532367688, -73.971459797548)","3","11217","40.673366","-73.971333","6","39","159","3024626","3010640021","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","46","1941","46200","897204","19.42","470778","10.19","426426","3057000","66.17","3-01179-0083","73 EASTERN PARKWAY
Brooklyn, NY 
(40.672841371071, -73.966267087644)","PROSPECT HEIGHTS","D7-ELEVATOR","23","1926","13021","252911","19.42","132706","10.19","120205","862000","66.2","0.37","3-01173-0007","195 UNDERHILL AVENUE
Brooklyn, NY 
(40.674972994425, -73.966681591531)","PROSPECT HEIGHTS","D1-ELEVATOR","36","1940","24000","394036","16.42","183642","7.65","210394","1452000","60.5","0.38","3-01081-0043","78 PROSPECT PARK
Brooklyn, NY 
(40.700610222719, -73.987290136408)","PARK SLOPE","D1-ELEVATOR","41","1920","41,113","903,286","21.97","317,950","7.73","585,336","4,287,000","104.27","0.39"
"3-05853-0001","6735 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11220","40.638041","-74.028036","10","43","70","3144595","3058530001","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","108","1928","120594","1611136","13.36","809186","6.71","801950","5320000","44.11","3-05868-0007","6901 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","24","1928","19250","261033","13.56","133585","6.94","127448","843000","43.79","0.43","3-05927-0043","7420 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","84","1930","89628","1179282","13.16","621071","6.93","558211","3421000","38.17","0.41",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01107-0009","41 PROSPECT PARK
Brooklyn, NY 
(40.700744744272, -73.989234718086)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","WINDSOR TERRACE","C6-WALK-UP","20","1920","17324","284114","16.4","126812","7.32","157302","1139000","65.75","3-01107-0005","38 PROSPECT PARK
Brooklyn, NY 
(40.700693630839, -73.989393037301)","WINDSOR TERRACE","C1-WALK-UP","20","1920","15200","310764","20.45","125003","8.22","185761","1326000","87.24","0","3-01113-0079","437 PROSPECT AVENUE
Brooklyn, NY 
(40.659948802368, -73.983537821647)","PARK SLOPE SOUTH","C1-WALK-UP","16","1920","17000","278782","16.4","124379","7.32","154403","1118000","65.76","0.31","3-01103-0009","442 14 STREET
Brooklyn, NY 
(40.662666050593, -73.981630465593)","PARK SLOPE","C1-WALK-UP","16","1920","12,816","147,407","11.5","81,817","6.38","65,590","412,000","32.15","0.3"
"3-07681-0010","2705 KINGS HIGHWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11229","40.614331","-73.947284","14","45","756","3211030","3076810010","Midwood                                                                    ","MIDWOOD","D4-ELEVATOR","108","1950","85165","1090112","12.8","436045","5.12","654067","4368000","51.29","3-07648-0016","2635 NOSTRAND AVENUE
Brooklyn, NY 
(40.620347739437, -73.945625253727)","FLATBUSH-EAST","D1-ELEVATOR","54","1963","48510","685619","14.13","362542","7.47","323077","2241000","46.2","0.37","3-06772-0015","2520 KINGS HIGHWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MADISON","D1-ELEVATOR","47","1936","54000","619530","11.47","319727","5.92","299803","1749000","32.39","0.23",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07381-0079","2675 OCEAN AVENUE
Brooklyn, NY 
(40.596169962996, -73.950699382025)","3","11229","40.596036","-73.950762","15","48","59401","3201014","3073810079","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","D4-ELEVATOR","85","1954","98000","1078980","11.01","465500","4.75","613480","3791000","38.68","3-07380-0013","2662 OCEAN AVENUE
Brooklyn, NY 
(40.596601833789, -73.950981896179)","SHEEPSHEAD BAY","D1-ELEVATOR","77","1931","79200","633339","8","333925","4.22","299414","1496000","18.89","0.09","3-07378-0078","2222 18 STREET
Brooklyn, NY 
(40.596520157961, -73.953087891932)","SHEEPSHEAD BAY","D1-ELEVATOR","67","1963","55674","797419","14.32","436153","7.83","361266","2502000","44.94","0.18","3-07405-0052","2765 OCEAN AVENUE
Brooklyn, NY 
(40.593946444412, -73.950280530055)","SHEEPSHEAD BAY","D1-ELEVATOR","60","1930","57,000","627,317","11.01","356,042","6.25","271,275","1,342,000","23.54","0.15"
"3-01083-0005","411 8 AVENUE
Brooklyn, NY 
(40.668684069488, -73.976731644337)","3","11215","40.668633","-73.976807","6","39","165",,,"Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","31","1922","49188","810126","16.47","472697","9.61","337429","2443000","49.67","3-01079-0040","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","PARK SLOPE","D1-ELEVATOR","30","1920","36636","603351","16.47","261998","7.15","341353","2471000","67.45","0.1","3-01079-0001","575 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","PARK SLOPE","D1-ELEVATOR","36","1920","32388","371490","11.47","209550","6.47","161940","949000","29.3","0.1","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39,261","653,750","16.65","364,847","9.29","288,903","2,091,000","53.26","0.18"
"3-06078-0031","8901 NARROWS AVENUE
Brooklyn, NY 
(40.623248417014, -74.039927797595)","3","11209","40.62321","-74.039978","10","43","5201","3154422","3060780031","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","72","1950","61026","979467","16.05","469900","7.7","509567","3474000","56.93","3-06083-0041","9108 COLONIAL ROAD
Brooklyn, NY 
(40.620909904482, -74.038039109393)","BAY RIDGE","D1-ELEVATOR","69","1949","66800","1156976","17.32","578488","8.66","578488","4176000","62.51","0.08","3-06083-0052","55 92 STREET
Brooklyn, NY 
(40.620880355724, -74.039129360217)","BAY RIDGE","D1-ELEVATOR","42","1936","45756","582016","12.72","320292","7","261724","1749000","38.22","0.08","3-06060-0032","8802 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","48","1935","46,488","746,132","16.05","358,422","7.71","387,710","2,643,000","56.85","0.16"
"3-02005-0029","147 OXFORD STREET
Brooklyn, NY 
(40.579096737424, -73.937937336505)","3","11235","40.579723","-73.937987","15","48","616","3246834","3087580057","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","FORT GREENE","D4-ELEVATOR","21","1930","16780","256902","15.31","116118","6.92","140784","967000","57.63","3-01979-0003","495 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CLINTON HILL","D1-ELEVATOR","42","1928","25500","435140","17.06","235589","9.24","199551","1442000","56.55","0.43","3-01960-0070","464 CLINTON AVENUE
Brooklyn, NY 
(40.684497260879, -73.967136938919)","CLINTON HILL","D1-ELEVATOR","62","1930","47304","706875","14.94","337440","7.13","369435","2545000","53.8","0.26",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01068-0003","115 8 AVENUE
Brooklyn, NY 
(40.672335646517, -73.973696513301)","3","11215","40.672392","-73.973691","6","39","165","3024793","3010680003","Park Slope-Gowanus                                                         ","PARK SLOPE","C6-WALK-UP","12","1920","5780","127622","22.08","56991","9.86","70631","517000","89.45","3-01064-0001","71 8 AVENUE
Brooklyn, NY 
(40.673484721006, -73.97290346769)","PARK SLOPE","C7-WALK-UP","12","1920","7314","204845","28.01","65427","8.95","139418","1004000","137.27","0.1","3-01070-0012","786 CARROLL STREET
Brooklyn, NY 
(40.672823830782, -73.97546750576)","PARK SLOPE","C1-WALK-UP","9","1920","4620","102000","22.08","45549","9.86","56451","1148000","248.48","0.16","3-01063-0001","89 7 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","PARK SLOPE","C7-WALK-UP","14","1920","10,240","159,845","15.61","70,812","6.92","89,033","610,000","59.57","0.18"
