"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Out of School Time","H.S. 528 HIGH SCHOOL FOR GLOBA","Brooklyn","Global Kids, Inc.","(212) 226-0130","High School","883 Classon Avenue
,  11225
(40.670458657699, -73.961628275734)","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Classic Center","Bronx","Center for the Integration and Advancement of New Americans","(212) 243-9090"," High School","286 156 Street
,  10451
(40.821871730999, -73.919853400074)",,,,,,,,,
"After-School Programs","Teen Action Program","Riverdale/Kingsbridge Academy (MS/HS 141)","Bronx","Riverdale Community Center","718.796.4724","13 to 21","660 237th Street
,  10463
(40.888267323329, -73.913187318551)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Opportunities for a Better Tomorrow","Brooklyn","Opportunities for a Better Tomorrow","718.369.0303","16 to 21","783 4th Avenue
,  11232
(40.659289154121, -73.999107468615)","11232","40.65927","-73.999268","7","38","101","3009757","3006610005","Sunset Park West                                                           "
"After-School Programs","Out of School Time","PS 154","Manhattan","Harlem Children's Zone, Inc","(646) 619-1004","Elementary","250 127th Street
,  10027
(40.810878085427, -73.948867242444)",,,,,,,,,
"After-School Programs","Out of School Time","East Bronx NAACP","Bronx","Tremont Crotona Day Care Center, Inc","(718) 617-2900","Elementary","1113 Colgate Avenue
,  10472
(40.826046739969, -73.881479645755)","10472","40.82629","-73.881509","9","17","52","2023714","2037360001","Soundview-Bruckner                                                         "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA EDENWALD HOUSES","Bronx","Mosholu Montefiore  @Edenwald Community Center","(718) 652-0246","6 and up","1150 229th Street
,  10466
(40.886200971745, -73.845154371492)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","St. Nicholas NPC/Williamsburg Works","Brooklyn","St Nicholas NPC - Williamsburg Works","(718) 302-2057 x 204","16+","545 Broadway
Lower Level,  11206
(40.704933618362, -73.949262532429)","11206","40.704937","-73.949311","1","34","491","3071328","3030760006","East Williamsburg                                                          "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Andrews Senior Housing","Bronx","Vannguard Urban Improvement Association, Inc.","(718) 542-0006","Seniors","2155 Virgil Place
,  10473
(40.822348788595, -73.850239575603)","10473","40.822318","-73.850263","9","18","86","2022369","2036120013","Soundview-Castle Hill-Clason Point-Harding Park                            "
"After-School Programs","Out of School Time","Sunset Park Center","Brooklyn","The Salvation Army ","(718) 438-1771","Elementary","520 50 Street
,  11220
(40.64479920707, -74.009854255647)",,,,,,,,,
"After-School Programs","Out of School Time","M.S. 210 ELIZABETH BLACKWELL S","Queens","Forest Park Rangers Inc.","(917) 309-4059","Middle School","93 11 101st Avenue
,  11416
(40.684578097002, -73.849601668482)","11416","40.683858","-73.84747","9","32","38","4188567","4090670001","Woodhaven                                                                  "
"After-School Programs","Out of School Time","Central Park East","Manhattan","East Harlem Tutorial Program, Inc.","(212) 831-0650","High School","1573 Madison Avenue
,  10029
(40.7936339869, -73.94945722406)","10029","40.793763","-73.949381","11","8","17401","1051515","1016120050","East Harlem South                                                          "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","New Life Child Develop. #2","Brooklyn","New Life Child Development Corporation","(718) 417-4206","OST","408 Grove Street
,  11237
(40.700948166255, -73.913106715145)","11237","40.701224","-73.912863","4","37","441","3397531","3033290016","Bushwick North                                                             "
"After-School Programs","Teen Action Program","Michell Community Center","Bronx","East Side House, Inc.","718.665.5250 ext.111","13 to 21","205 Willis Avenue
,  10454
(40.808120011712, -73.923664456479)","10454","40.808109","-73.923629","1","8","23",,,"Mott Haven-Port Morris                                                     "
"After-School Programs","Out of School Time","Brooklyn Children's Museum","Brooklyn","Brooklyn Childrens Museum","(718) 735-4400","High School","145 Brooklyn Avenue
,  11213
(40.674878941596, -73.944424715924)","11213","40.674773","-73.944464","8","36","341","3031049","3012290001","Crown Heights North                                                        "
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Tolentine-Zeiser Community Center/St. Ritas","Bronx","Good Companions Senior center","(718) 933-6935","Adults","2342 Andrews Avenue
,  10468
(40.86173644443, -73.90704037104)","10468","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        "
"After-School Programs","Out of School Time","P.S. 124 SILAS DUTCHER SCHOOL","Brooklyn","YMCA of Greater New York/Prospect Park","(718) 788-0246","Elementary","515 4th AVENUE
,  11215
(40.667471421344, -73.990984840358)","11215","40.667545","-73.991046","6","39","141","3023391","3010340001","Park Slope-Gowanus                                                         "
"After-School Programs","Out of School Time","I.S. 271 JOHN M. COLEMAN SCHOOL","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(617) 877-9744","Middle School","1137 Herkimer Street
,  11233
(40.677823649732, -73.915831667237)",,,,,,,,,
"Runaway & Homeless Youth","Street Outreach","Safe Horizon","Manhattan","Safe Horizon, Inc","212.268.3943",,"214 30th Street
,  10001
(40.748652585386, -73.992945344893)",,,,,,,,,
"After-School Programs","Out of School Time","Tremont Crotona Center","Bronx","Tremont Crotona Day Care Center, Inc","(718) 378-5600","Elementary","1600 Crotona Park
,  10460
(40.836686602373, -73.891307011738)","10457","40.837941","-73.895254","3","17","163",,,"park-cemetery-etc-Bronx                                                    "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","SEBCO Father Banome Senior Housing","Bronx","Turning Point HDFC (Main Office)","(718) 542-0006","Seniors","1876 Belmont Avenue
,  10457
(40.844379558484, -73.893210560706)","10457","40.844581","-73.893053","6","17","36901","2086691","2029460001","East Tremont                                                               "
"After-School Programs","Out of School Time","PAL Webster Center","Bronx","Police Athletic League, Inc.","(718) 733-6748","Elementary","2255 Webster Avenue
,  10457
(40.855630916719, -73.896023210038)","10457","40.855656","-73.895978","5","15","38302","2013329","2031430203","Fordham South                                                              "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)","Bronx","CPC Queens Branch Office","(718) 665-2486"," High School","1100 BOSTON ROAD
,  10456
(40.827438058055, -73.904676763458)","10456","40.827514","-73.904622","3","16","135","2004526","2026340001","Morrisania-Melrose                                                         "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Mill Brook Center","Bronx","East Side House, Inc.","(718) 585-1254","OST","201 St Ann's Avenue
,  10454
(40.805947017287, -73.918140026334)","10454","40.805742","-73.918238","1","8","25","2090986","2022630019","Mott Haven-Port Morris                                                     "
"After-School Programs","Out of School Time","P.S. 229 DYKER SCHOOL","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 236-5447","Elementary","1400 Benson Avenue
,  11228
(40.610669431614, -74.012920465726)","11228","40.610963","-74.013376","11","43","170","3167212","3063910024","Bath Beach                                                                 "
"Jobs & Internships","Young Adult Internship Program","Brooklyn Job Corps Academy","Brooklyn","Arbor - NY","718.623.4031","16 to 24","585 DeKalb Avenue
,  11205
(40.691240660643, -73.952776188341)","11205","40.691223","-73.952765","3","33","241","3049016","3017640001","Bedford                                                                    "
"After-School Programs","Out of School Time","P.S. 14 JOHN D. CALANDRA SCHOOL","Bronx","YMCA of Greater New York/Bronx","(718) 822-5341","Elementary","3041 Bruckner Boulevard
,  10461
(40.835554365176, -73.825433043726)","10461","40.835779","-73.825735","10","13","184","2072754","2053130092","Schuylerville-Throgs Neck-Edgewater Park                                   "
"After-School Programs","Out of School Time","Flatbush Club (high school)","Brooklyn","Madison Square Boys & Girls Club","(718) 462-6100","High School","2245 Bedford Avenue
,  11226
(40.649137318601, -73.955760550637)","11226","40.649122","-73.955765","17","40","794","3117297","3051070008","Erasmus                                                                    "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 259 WILLIAM MCKINLEY (K259)","Brooklyn","Elmhurst Jackson Heights Senior Center","(212) 652-2812","Middle School","7301 FT HAMILTON PARKWAY
,  11228
(40.626732548243, -74.015007520944)","11228","40.626694","-74.015098","10","43","206","3148031","3059230001","Dyker Heights                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","MS 56-Corlears","Manhattan","Vision Urbana Senior Center","(212) 227-0762","Middle School","220 Henry Street
,  10002
(40.713663660512, -73.986511242953)","10002","40.713684","-73.986336","3","1","201","1003223","1002690041","Lower East Side                                                            "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Alianza Dominicana, Inc. (Admin & Activity site)","Bronx","Alianza Dominicana, Inc.","212.740.1960","18+","1257 Ogden Avenue
,  10452
(40.839270545805, -73.925788279798)","10452","40.839378","-73.925714","4","16","201","2003519","2025290081","Highbridge                                                                 "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Kips Bay Boys and Girls Club -","Bronx","Kips Bay Boys & Girls Club","(718) 828-4518","OST","625 Castle Hill Avenue
,  10473
(40.819663515906, -73.848215304338)","10473","40.819754","-73.848209","9","18","86","2092673","2035700001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"After-School Programs","Out of School Time","Franklin K. Lane","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-1521","High School","999 Jamaica Avenue
,  11208
(40.690728527416, -73.870165673629)","11208","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"After-School Programs","Out of School Time","I.S. 302 RAFAEL CORDERO Y. MOL","Brooklyn","New York Junior Tennis League","(347) 417-8182","Elem/MS/HS","350 Linwood Street
,  11208
(40.677050352415, -73.883435680721)","11208","40.677104","-73.883433","5","37","1170","3088357","3039690001","East New York                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 140 EAGLE SCHOOL","Bronx","Kips Bay Boys & Girls Club","(718) 585-1205","OST","916 Eagle Avenue
,  10456
(40.822594087546, -73.908217692813)","10456","40.823289","-73.907948","3","17","185","2004469","2026270009","Morrisania-Melrose                                                         "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Grant Day Care","Manhattan","Boys & Girls Harbor, Inc","(646) 270-1210","Elementary","1299 Amsterdam Avenue
,  10027
(40.812567202299, -73.956821696479)","10027","40.811919","-73.957318","9","7","20901","1084095","1019640001","Morningside Heights                                                        "
"After-School Programs","Out of School Time","Jewish Institute of Queens","Queens","Jewish Institute of Queens","(718) 426-9369","Elementary","60 05 Woodhaven Boulevard
,  11373
(40.738710402563, -73.878351155182)","11373","40.731256","-73.871561","6","29","687","4072178","4030880001","Rego Park                                                                  "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.S. 134 GEORGE F. BRISTOW SCH","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 825-5626","OST","1330 Bristow Street
,  10459
(40.831333018957, -73.894754089007)","10459","40.83132","-73.894794","3","17","153","2010273","2029650082","Crotona Park East                                                          "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","CAB Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","1130 Grand
Concourse,  10456
(40.830436680009, -73.907765199504)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 79 CRESTON SCHOOL","Bronx","Good Shepherd Services","(718) 933-7439","Elementary","125 181st Street
,  10453
(40.854878793912, -73.903423365652)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 170 LEXINGTON SCHOOL","Brooklyn","CAMBA  ","(718) 921-2486","Elementary","7109 6th Avenue
,  11209
(40.630838137776, -74.019093990101)","11209","40.630843","-74.01913","10","43","134","3146921","3058990001","Bay Ridge                                                                  "
"After-School Programs","Out of School Time","Youth Connections","Manhattan","Lincoln Square Neighborhood Center, Inc.","(212) 874-0860","High School","250 65th Street
,  10023
(40.774760858662, -73.986366373434)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Phipps Opportunity Center","Bronx","PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)","(212) 243-9090",,"3125 Third Avenue
,  10451
(40.822057811069, -73.911764964498)","10451","40.821959","-73.911877","1","17","69","2000000","2023800051","Melrose South-Mott Haven North                                             "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","The International High School @ Prospect Heights (K524)","Brooklyn","Chinese American Planning Council","212.941.0920","High School","883 Classon Avenue
,  11225
(40.670458657699, -73.961628275734)","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Red Hook Initiative","Brooklyn","Morrisania Revitalization Corporation","(718) 858-6782","Middle School","595 Clinton Street
,  11231
(40.675068096986, -74.001585560798)","11231","40.675091","-74.001676","6","38","53","3008517","3005520005","Carroll Gardens-Columbia Street-Red Hook                                   "
"After-School Programs","Out of School Time","Bronx River Center 1","Bronx","Bronx River Art Center, Inc.","(718) 589-5819","High School","1087 Tremont Avenue
,  10460
(40.84006972385, -73.877718053393)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Guardians of the Sick, Inc.","Brooklyn","Queens Community House","(718) 438-2020",,"5216 11th Avenue
,  11219
(40.635910755078, -73.998398351425)","11219","40.635862","-73.998429","12","44","218","3138585","3056600050","Borough Park                                                               "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","PAL Webster Center","Bronx","Police Athletic League, Inc.","(718) 733-6748","OST","2255 Webster Avenue
,  10457
(40.855630916719, -73.896023210038)","10457","40.855656","-73.895978","5","15","38302","2013329","2031430203","Fordham South                                                              "
"After-School Programs","Out of School Time","M.S. 223 M.S. 223 - THE LABORATORY","Bronx","Young Athletes, Inc.","(718) 401-9300","Middle School","360 145th Street
,  10454
(40.814006958026, -73.920877713054)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 166 GEORGE GERSHWIN (K166)","Brooklyn","IPR/HE Brooklyn Caregivers","(212) 652-2812","Middle School","800 VAN SICLEN AVENUE
,  11207
(40.660221698125, -73.885485457846)","11207","40.66011","-73.885387","5","42","1104","3097675","3043490050","East New York                                                              "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","CONNECT","Manhattan","Safe Space","212.206.3440 ext. 237","All Ages","3 29th Street
,  10001
(40.745522716048, -73.987242979944)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA Bensonhurst District Office","Brooklyn","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)","(718) 438-0008","Seniors","6809 20th Avenue
,  11204
(40.614704025531, -73.987710397179)","11204","40.61468","-73.987765","11","47","258","3135071","3055790007","Bensonhurst West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 123 P.S. 123","Queens","Safe Space","(347) 678-6437","OST","145 01 119th Avenue
,  11436
(40.675718209128, -73.796465014948)","11436","40.678296","-73.79562","12","28","18402","4260828","4120190010","Baisley Park                                                               "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","New York Legal Assistance Group (NYLAG)","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","450 33rd St
,  10001
(40.75347794566, -73.998646928717)",,,,,,,,,
"After-School Programs","Out of School Time","P.S./I.S. 83 DONALD HERTZ SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 319-0769","Elementary","950 Rhinelander Avenue
,  10462
(40.849332468677, -73.859331226638)","10462","40.849395","-73.859249","11","13","244","2045344","2041250001","Van Nest-Morris Park-Westchester Square                                    "
"After-School Programs","Out of School Time","P.S. 64 ROBERT E. SIMON","Manhattan","Educational Alliance, Inc.","(347) 262-1264","Elementary","600 6th Street
,  10009
(40.724441522089, -73.981621299326)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Queens Community in Jackson Heights","Queens","Agnes Y. Humphrey School for Leadership 27 (K027)","(718) 592-5757","Adults","74 09 37th Avenue
,  11372
(40.751630739367, -73.883612545283)","11372","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            "
"After-School Programs","Beacon","IS 302","Brooklyn","Cypress Hills Local Develoment Corporation ","718.277.3522","6 and up","350 Linwood Street
,  11208
(40.677050352415, -73.883435680721)","11208","40.677104","-73.883433","5","37","1170","3088357","3039690001","East New York                                                              "
"After-School Programs","Out of School Time","P.S. 48 POLICE OFFICER MICHAEL","Manhattan","Community Association of Progressive Dominicans","(646) 652-9918","Elementary","4360 Broadway
,  10033
(40.853700534151, -73.933898080387)","10033","40.853466","-73.934048","12","10","271","1076752","1021670029","Washington Heights North                                                   "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","New Immigrant Community Empowerment (NICE) (Admin & Activity site)","Queens","New Immigrant Community Empowerment (NICE)","718.205.8796","18+","37 41 77th Street
,  10302
(40.630833311108, -74.137734298699)","11372","40.748031","-73.888838","3","25","287","4029910","4012880060","Jackson Heights                                                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Five Block Day Care","Brooklyn","Big Five Block Association Inc.","(718) 363-3211","Elementary","995 Carroll Street
,  11225
(40.667692470026, -73.957242719187)","11225","40.66771","-73.957331","9","35","325","3033470","3012800054","Crown Heights South                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 73 P.S. 73","Bronx","Woodycrest Center For Human Development","(718) 293-3198","OST","1020 ANDERSON AVENUE
,  10452
(40.832779162508, -73.926733511735)","10452","40.832706","-73.926838","4","8","189","2003051","2025040082","Highbridge                                                                 "
"After-School Programs","Out of School Time","I.S. 113 RONALD EDMONDS SCHOOL","Brooklyn","Long Island University","(718) 488-1514","Middle School","300 Adelphi Street
,  11205
(40.688733680334, -73.971009252648)","11205","40.688811","-73.971009","2","35","181","3059051","3021030004","Fort Greene                                                                "
"After-School Programs","Out of School Time","I.S. 13 JACKIE ROBINSON SCHOOL","Manhattan","New York Junior Tennis League","(347) 417-8189","Middle School","1573 Madison Avenue
,  10029
(40.7936339869, -73.94945722406)","10029","40.793763","-73.949381","11","8","17401","1051515","1016120050","East Harlem South                                                          "
"After-School Programs","Out of School Time","P.S./I.S. 31 WILLIAM LLOYD GAR","Bronx","Community Association of Progressive Dominicans","(718) 293-4397","Middle School","250 156 STREET
,  10451
(40.822983598861, -73.921130965005)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 219 KENNEDY-KING SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 828-6376","Elementary","1060 CLARKSON AVENUE
,  11212
(40.659256566717, -73.922919495458)","11212","40.659288","-73.922919","17","41","886","3101168","3046480001","Rugby-Remsen Village                                                       "
"After-School Programs","Beacon","PS 269","Brooklyn","Church Avenue Merchants Block Association Inc. ","718.462.2597 ext.232","6 and up","1957 Nostrand Avenue
,  11210
(40.63792479299, -73.948168194715)","11210","40.637711","-73.948159","17","45","788","3113780","3049940023","Flatbush                                                                   "
"After-School Programs","Beacon","JHS 168","Queens","Child Center of New York ","718.820.0760","6 and up","158 40 76th Road
,  11366
(40.728164407262, -73.792268173937)","11366","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","5010 8th Avenue
,  11220
(40.641053712241, -74.003818581755)","11220","40.640998","-74.003848","7","38","108","3013420","3007940042","Sunset Park East                                                           "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Southern Queens Park Association","Queens","Southern Queens Park Association","718-276-4630  x107","14 to 24","177 01 Baisley Boulevard
,  11434
(40.676945262114, -73.775306901692)","11434","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 "
"After-School Programs","Teen Action Program","IS 219 NEW VENTURE SCHOOL (X219)","Bronx","Directions For Our Youth, Inc.","212.362.4020","13 to 21","3630 Third Avenue
,  10456
(40.833636708483, -73.904406064983)","10456","40.833511","-73.90449","3","16","14701","2009611","2029250001","Claremont-Bathgate                                                         "
"After-School Programs","Teen Action Program","High School for Global Citizenship","Brooklyn","Hospital Audiences, Inc.","212.575.7670 ext.251","13 to 21","883 Classon Avenue
,  11203
(40.649721601171, -73.934276085673)","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"After-School Programs","Out of School Time","M.S. 158 MARIE CURIE SCHOOL","Queens","Samuel Field YM & YWHA, Inc.","(718) 281-1053","Middle School","46 35 Oceania Street
,  11361
(40.764188848137, -73.7723255286)","11361","40.756139","-73.772862","11","19","1447","4438325","4073120001","Bayside-Bayside Hills                                                      "
"After-School Programs","Out of School Time","P.S. 56 LOUIS DE SARIO SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","Elementary","250 KRAMER AVENUE
,  10309
(40.542237935472, -74.213927431151)","10309","40.542246","-74.214002","3","51","20801","5128148","5070440001","Rossville-Woodrow                                                          "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Italian American Civil Rights League (Italian American Civil","Brooklyn","Italian American Civil Rights League (Italian American Civil","718.642.2857","High School","1460 Pennsylvania Avenue
,  11239
(40.646077795287, -73.879950181902)","11239","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"After-School Programs","Out of School Time","P.S. 19 CURTIS SCHOOL","Staten Island","YMCA of Greater New York/Staten Island YMCA","(718) 889-3477","Elementary","780 POST AVENUE
,  10310
(40.631189624083, -74.127115288525)","10310","40.631214","-74.127101","1","49","141","5006175","5002270024","West New Brighton-New Brighton-St. George                                  "
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","JHS 22- Jordan L Mott School","Bronx","Supportive Childrens Advocacy Network (SCAN)","212.683.2522","grades 6 to 8","270 167th Street
,  10456
(40.833227654258, -73.914085372255)",,,,,,,,,
"After-School Programs","Beacon","Tottenville HS","Staten Island","Jewish Community Center of Staten Island","718.605.3033","6 and up","100 Luten Avenue
,  10312
(40.528261987233, -74.192176976724)","10312","40.528092","-74.192032","3","51","198","5082634","5066130001","Annadale-Huguenot-Prince's Bay-Eltingville                                 "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Henry Street Settlement, Inc. - Vulnerable Youth","Manhattan","Henry Street Settlement, Inc. - Vulnerable Youth","212-254-3100","14 to 24","265 Henry Street
,  10002
(40.713875617781, -73.984342988978)","10002","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 61 FRANCISCO OLLER SCHOOL","Bronx","The Childrens Aid Society","(718) 991-2719","Elementary","1550 Crotona Park
,  10460
(40.836569959474, -73.892953108729)","10457","40.837941","-73.895254","3","17","163",,,"park-cemetery-etc-Bronx                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 223 LYNDON BAINES JOHNSON","Queens","The Child Center of New York (QCG) ","(347) 510-4895","OST","125 20 SUTPHIN BOULEVARD
,  11434
(40.676945262114, -73.775306901692)","11434","40.674519","-73.789399","12","28","18401","4261713","4120510001","Baisley Park                                                               "
"After-School Programs","Out of School Time","YMCA/Flatbush","Brooklyn","YMCA of Greater New York/Flatbush Branch","(718) 469-8100","High School","1401 Flatbush Avenue
,  11210
(40.636590672567, -73.951602593108)","11210","40.636511","-73.951539","14","45","788","3120877","3052280008","Flatbush                                                                   "
"Family Support,NDA Programs","Healthy Families","YMPJ","Bronx","Jay Harama Senior Center","(347) 851-5619",,"1384 Stratford Avenue
,  10472
(40.833517940517, -73.876466311155)","10472","40.833322","-73.876452","9","18","62","2027513","2038670036","West Farms-Bronx River                                                     "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 189 P.S.  189","Manhattan","Washington Heights- Inwood Coalition, Inc","(347) 726-8046","OST","2580 AMSTERDAM AVENUE
,  10040
(40.85286583741, -73.927424897743)","10040","40.852631","-73.927604","12","10","277","1076750","1021590051","Washington Heights North                                                   "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Tolentine -Zeiser Community Life Center/ St, Rita","Bronx","Catholic Charities Community Service, Archdiocese of N Y","718-365-4360 ","Adult","2342 Andrews Av (near Fordham Rd
Program Site,  10468
(40.869693003729, -73.898926992487)","10468","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        "
"Jobs & Internships","Young Adult Internship Program","Southern Queens Park Association - NY","Queens","Southern Queens Park Association - NY","718.276.4630 ext.126","16 to 24","117 01 Baisley Blvd
,  11434
(40.676945262114, -73.775306901692)",,,,,,,,,
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Citizens Advice Bureau","Bronx","Baruch Houses (Senior Building)","(718) 293-0727","Adults","1130 Grand
Concourse,  10453
(40.852786838342, -73.913426784319)",,,,,,,,,
"After-School Programs","Teen Action Program","Lower East Side Preparatory School / AAFE","New York","Asian Americans for Equality","212.979.8381 ext.117","13 to 21","145 Stanton Street 111 Norfolk Street
,  10002
(40.721076261987, -73.987369289644)","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"After-School Programs","Out of School Time","Washington Irving HS","Manhattan","The Union Square Partnership","(212) 358-0165","High School","40 Irving Place
,  10003
(40.735537114027, -73.987604942278)","10003","40.735494","-73.987659","6","2","50","1017828","1008720057","Gramercy                                                                   "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Middle School 206","Bronx","I.S. 126 - The Albert Shanker School for the Visual and Performing Arts","(212) 243-7070","Middle School","2280 Aqueduct Avenue
,  10468
(40.859680178355, -73.906475602979)","10468","40.859686","-73.906495","7","14","253","2086823","2032090001","Kingsbridge Heights                                                        "
"After-School Programs","Out of School Time","P.S. 291","Bronx","Good Shepherd Services","(718) 563-0473","Elementary","2195 Andrews Avenue
,  10453
(40.859437629217, -73.909211750662)","10453","40.85881","-73.909746","7","14","255","2096013","2032240009","Kingsbridge Heights                                                        "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Harlem YMCA","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","180 135th Street
,  10030
(40.815023338273, -73.943122982412)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Southeast Bronx Neighborhood Centers, Inc.","Bronx","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718-542-2727","A parent 16 Years Old or Older ","955 Tinton Avenue
,  10456
(40.823097254176, -73.903034140456)","10456","40.823096","-73.902991","3","16","133","2091964","2026390001","Morrisania-Melrose                                                         "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","United Communities Centers ","Brooklyn","United Communities Centers","718-649-7979","All Ages","613 New Lots Ave
,  11207
(40.664726498258, -73.88659110359)","11207","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              "
"After-School Programs","Beacon","Wings Academy","Bronx","Phipps Community Development","718.542.8333","6 and up","122 180th Street
,  10460
(40.843090348041, -73.87860282506)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Franklin K. Lane High School","Brooklyn","Cypress Hills Local Development Corporation","718-235-1521 x103","14 to 24","999 Jamaica Avenue
,  11208
(40.690728527416, -73.870165673629)","11208","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","MOTT HALL IV (K522)","Brooklyn","IS 52","(212) 652-2812","Middle School","1137 HERKIMER STREET
,  11233
(40.677823649732, -73.915831667237)",,,,,,,,,
