"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-01216-0016","131 85 STREET
New York, NY 
(40.625422148028, -74.035218219266)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","41","1900","25090","664634","26.49","155056","6.18","509578","3686000","146.91","1-01216-0140","120 86 STREET
New York, NY 
(40.624514611888, -74.035608993255)","UPPER WEST SIDE (79-96)","D9-ELEVATOR","48","1912","57799","1375337","23.8","327673","5.67","1047664","7630000","132.01","0","1-01200-0043","20 87 STREET
New York, NY 
(40.624718283672, -74.039873204651)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","16","1910","17046","497150","29.17","114076","6.69","383074","2874000","168.6","0.18",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00849-0055","30 21 STREET
New York, NY 
(40.664753966392, -73.999003498059)","1",,,,,,,,,,"FLATIRON","D0-ELEVATOR","14","1904","32800","1124056","34.27","420496","12.82","703560","5213000","158.93","1-00844-0008","9 16 STREET
New York, NY 
(40.6680646639, -73.995844244183)","FLATIRON","D6-ELEVATOR","16","1900","30680","1211840","39.5","337800","11.01","874040","6608000","215.38","0.2","1-00819-0020","31 17 STREET
New York, NY 
(40.607062036743, -74.00403290793)","FLATIRON","D7-ELEVATOR","14","2005","27600","1050343","38.06","249180","9.03","801163","6064000","219.71","0.26",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01491-0012","21 79 STREET
New York, NY 
(40.631054339213, -74.037957426204)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","14","1930","56017","2452424","43.78","1251980","22.35","1200444","9042000","161.42","1-01491-0063","14 80 STREET
New York, NY 
(40.630468453515, -74.039087748775)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","15","1925","8290","389314","46.96","101430","12.24","287884","2057000","248.13","0","1-01509-0006","107 80 STREET
New York, NY 
(40.629333012145, -74.035511629588)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","33","1925","52272","2335704","44.68","712236","13.63","1623468","12219000","233.76","0.2","1-01391-0002","952 5 AVENUE","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41,287","1,605,662","38.89","361,009","8.74","1,244,653","9,415,000","228.04","0.16"
"1-00577-0042","74 5 AVENUE
New York, NY 
(40.735567265128, -73.99392976181)","1","10011","40.735519","-73.993981","2","3","63","1009719","1005770042","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","D0-ELEVATOR","38","1910","93396","3298747","35.32","1159978","12.42","2138769","15813000","169.31","1-00556-0015","112 11 STREET
New York, NY 
(40.670640292075, -73.992872141188)","GREENWICH VILLAGE-CENTRAL","C4-WALK-UP","371","1900","117012","5822000","49.76","1640326","14.02","4181674","31337000","267.81","0.46","1-00572-0038","20 5 AVENUE
New York, NY 
(40.73289057348, -73.995918519)","GREENWICH VILLAGE-CENTRAL","D9-ELEVATOR","113","1940","132420","5109988","38.59","926559","7","4183429","31652000","239.03","0.24",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01244-0012","401 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","76","1900","65522","1543043","23.55","752193","11.48","790850","5767000","88.02","1-01186-0083","393 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","114","1927","134183","2809728","20.94","1438606","10.72","1371122","10066000","75.02","0.06","1-01244-0072","441 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (79-96)","D5-ELEVATOR","103","1926","240040","5652942","23.55","2542024","10.59","3110918","22686000","94.51","0.1","1-01245-0075","495 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3-ELEVATOR","128","1907","83,154","1,982,949","23.85","536,010","6.45","1,446,939","10,537,000","126.72","0.2"
"1-00719-0036","405 21 STREET
New York, NY 
(40.745296544577, -74.002400167466)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","12","1900","6072","182342","30.03","47787","7.87","134555","1008000","166.01","1-00745-0029","309 21 STREET
New York, NY 
(40.65994421082, -73.991035975995)","CHELSEA","C4-WALK-UP","16","1900","9250","299443","32.37","73430","7.94","226013","1682000","181.84","0.17","1-00745-0031","303 21 STREET
New York, NY 
(40.660076513904, -73.991258795583)","CHELSEA","C4-WALK-UP","15","1900","9575","283883","29.65","92591","9.67","191292","1434000","149.77","0.17","1-00745-0028","311 WEST 21 STREET","CHELSEA","C4-WALK-UP","15","1900","9,690","291,000","30.03","76,241","7.87","214,759","1,609,000","166.05","0.17"
"1-00621-0013","96 PERRY STREET
New York, NY 
(40.735243509198, -74.005324171921)","1","10014","40.735242","-74.005301","2","3","73","1011231","1006210013","West Village                                                               ","GREENWICH VILLAGE-WEST","D4-ELEVATOR","36","1930","16986","684876","40.32","120091","7.07","564785","3990000","234.9","1-00620-0078","203 10 STREET
New York, NY 
(40.568232801068, -74.118431192555)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","30","1920","15084","715693","47.45","196079","13","519614","3903000","258.75","0.09","1-00622-0056","53 PERRY STREET
New York, NY 
(40.735495319366, -74.003552507524)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","72","1930","34140","1376553","40.32","241331","7.07","1135222","8578000","251.26","0.09","1-00588-0009","26 GROVE STREET","GREENWICH VILLAGE-WEST","D1-ELEVATOR","42","1926","22,392","743,452","33.2","132,025","5.9","611,427","4,544,000","202.93","0.18"
"1-01495-0001","1020 5 AVENUE
New York, NY 
(40.779741963207, -73.96168906706)","1","10028","40.779558","-73.961531","8","4","142","1046777","1014950001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","14","1925","66983","1977338","29.52","631650","9.43","1345688","10090000","150.64","1-01497-0009","1150 MADISON AVENUE
New York, NY 
(40.780542359813, -73.959045060294)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","360","1923","472600","14804490","31.33","4531971","9.59","10272519","76683000","162.26","0.1","1-01509-0066","104 81 STREET
New York, NY 
(40.628493014629, -74.035530781119)","UPPER EAST SIDE (79-96)","D1-ELEVATOR","48","1900","40632","1057800","26.03","182217","4.48","875583","6340000","156.03","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00742-0060","340 19 STREET
New York, NY 
(40.600536403456, -74.008568746945)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","26","1920","19438","791904","40.74","271160","13.95","520744","3934000","202.39","1-00741-0060","350 18 STREET
New York, NY 
(40.660798222878, -73.988014541856)","CHELSEA","C1-WALK-UP","18","1910","9864","410790","41.65","125981","12.77","284809","2150000","217.96","0.05","1-00741-0061","352 18 STREET
New York, NY 
(40.660756232434, -73.987950903891)","CHELSEA","C1-WALK-UP","16","1910","8825","306079","34.68","96338","10.92","209741","1553000","175.98","0.05","1-00743-0022","333 WEST 19 STREET","CHELSEA","C4-WALK-UP","15","1910","8,525","347,309","40.74","118,919","13.95","228,390","1,725,000","202.35","0.04"
"1-01350-0011","317 57 STREET
New York, NY 
(40.643489361493, -74.018158700609)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","62","1929","92593","2981495","32.2","1131486","12.22","1850009","13775000","148.77","1-01347-0034","342 55 STREET
New York, NY 
(40.644295351766, -74.016588438065)","MIDTOWN EAST","D5-ELEVATOR","26","1930","13000","470673","36.21","226547","17.43","244126","1800000","138.46","0.15","1-01369-0037","422 58 STREET
New York, NY 
(40.641612682503, -74.016654034764)","MIDTOWN EAST","D9-ELEVATOR","24","1939","18654","600692","32.2","227930","12.22","372762","2776000","148.82","0.14","1-01369-0042","410 EAST 58 STREET","MIDTOWN EAST","D3-ELEVATOR","125","1974","105,734","4,285,399","40.53","1,457,015","13.78","2,828,384","21,369,000","202.1","0.14"
"1-00817-0085","568 AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"FLATIRON","D4-ELEVATOR","121","1955","126300","3853413","30.51","1010400","8","2843013","21258000","168.31","1-00817-0001","552 AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","FLATIRON","D9-ELEVATOR","111","1973","101231","3088232","30.51","809878","8","2278354","17036000","168.29","0","1-00816-0042","92 5 AVENUE
New York, NY 
(40.736475580378, -73.993264263508)","FLATIRON","D6-ELEVATOR","223","1962","180000","5232885","29.07","1673391","9.3","3559494","26713000","148.41","0.05","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5-ELEVATOR","63","1907","41,300","1,841,747","44.59","547,499","13.26","1,294,248","9,742,000","235.88","0.05"
"1-02142-0136","4113 BROADWAY
New York, NY 
(40.845374484906, -73.938702395991)","1","10033","40.845193","-73.938748","12","10","263","1063502","1021420136","Washington Heights South                                                   ","WASHINGTON HEIGHTS LOWER","D4-ELEVATOR","50","1926","47580","696095","14.63","274537","5.77","421558","2827000","59.42","1-02142-0058","651 171 STREET
New York, NY 
(40.843670593005, -73.940165093701)","WASHINGTON HEIGHTS LOWER","D1-ELEVATOR","48","1922","50802","746047","14.69","348950","6.87","397097","2420000","47.64","0.1","1-02142-0109","4087 BROADWAY
New York, NY 
(40.844565095079, -73.938891253617)","WASHINGTON HEIGHTS LOWER","D7-ELEVATOR","63","1920","64896","945517","14.57","302428","4.66","643089","3267000","50.34","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-02122-0127","535 163 STREET
New York, NY 
(40.837274831786, -73.940802701754)","1",,,,,,,,,,"WASHINGTON HEIGHTS LOWER","C6-WALK-UP","36","1900","26650","346983","13.02","155370","5.83","191613","1277000","47.92","1-02117-0034","1996 AMSTERDAM AVENUE
New York, NY 
(40.834043569868, -73.941214963739)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","31","1907","26184","384119","14.67","203450","7.77","180669","821000","31.36","0.25","1-02117-0023","524 159 STREET
New York, NY 
(40.83438814756, -73.941852762677)","WASHINGTON HEIGHTS LOWER","C1-WALK-UP","25","1907","17905","203580","11.37","118173","6.6","85407","542000","30.27","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01380-0033","55 65 STREET
New York, NY 
(40.640499819403, -74.025450871983)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","36","1910","30800","1056440","34.3","291984","9.48","764456","5664000","183.9","1-01378-0007","5 63 STREET
New York, NY 
(40.642966377077, -74.026512366322)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","12","1900","11875","409442","34.48","139736","11.77","269706","1998000","168.25","0.14","1-01398-0008","107 63 STREET
New York, NY 
(40.642290222092, -74.025391985828)","UPPER EAST SIDE (59-79)","D7-ELEVATOR","15","1920","17250","580754","33.67","177842","10.31","402912","2991000","173.39","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00875-0019","81 IRVING PLACE
New York, NY 
(40.737186044781, -73.986447402526)","1","10003","40.737143","-73.986483","6","2","50","1017914","1008750019","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","103","1930","72501","2826089","38.98","1162916","16.04","1663173","12552000","173.13","1-00850-0064","12 22 STREET
New York, NY 
(40.605227458458, -74.000034101555)","FLATIRON","D5-ELEVATOR","87","1911","78646","3548932","45.13","962364","12.24","2586568","19463000","247.48","0.15","1-00902-0049","220 22 STREET
New York, NY 
(40.601158678863, -74.004273949079)","GRAMERCY","D9-ELEVATOR","123","1930","77275","4258943","55.11","1022560","13.23","3236383","24143000","312.43","0.23",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01407-0008","117 72 STREET
New York, NY 
(40.634857579484, -74.03247427107)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","20","1928","81622","2767802","33.91","817852","10.02","1949950","14470000","177.28","1-01409-0021","1033 LEXINGTON AVENUE
New York, NY 
(40.771908868332, -73.961122494181)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71189","2336130","32.82","868302","12.2","1467828","10916000","153.34","0.14","1-01409-0042","192 75 STREET
New York, NY 
(40.632130015803, -74.030723663133)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","43","1927","40249","1408542","35","315371","7.84","1093171","8088000","200.95","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00762-0014","335 38 STREET
New York, NY 
(40.653888375419, -74.006616970697)","1",,,,,,,,,,"FASHION","D0-ELEVATOR","13","1925","50968","1551466","30.44","527519","10.35","1023947","7657000","150.23","1-00786-0042","488 7 AVENUE
New York, NY 
(40.752564451482, -73.989496104206)","FASHION","D9-ELEVATOR","108","1902","88872","3068183","34.52","792441","8.92","2275742","16854000","189.64","0.2","1-00806-0012","143 30 STREET
New York, NY 
(40.658268043106, -74.001841346496)","FASHION","D7-ELEVATOR","27","2008","26957","994713","36.9","287901","10.68","706812","6500000","241.12","0.52",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01519-0001","1125 PARK AVENUE
New York, NY 
(40.782835630988, -73.955088043365)","1","10128","40.782973","-73.955152","8","4","14802","1048245","1015190001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","71","1926","211870","6656955","31.42","2048783","9.67","4608172","34392000","162.33","1-01524-0001","1225 PARK AVENUE
New York, NY 
(40.786055203853, -73.95278577897)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","86","1925","165834","4358929","26.28","1514748","9.13","2844181","20582000","124.11","0.25","1-01516-0013","1290 LEXINGTON AVENUE
New York, NY 
(40.780344508967, -73.95493515862)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","123","1962","151184","4750837","31.42","1462338","9.67","3288499","24543000","162.34","0.15","1-01523-0034","1680 3 AVENUE","UPPER EAST SIDE (79-96)","D6-ELEVATOR","253","1980","242,158","9,788,639","40.42","3,018,791","12.47","6,769,848","51,151,000","211.23","0.22"
"1-00517-0008","147 SULLIVAN STREET
New York, NY 
(40.727104644832, -74.001825809227)","1","10012","40.727044","-74.001883","2","3","49","1008044","1005170008","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","C6-WALK-UP","22","1920","9433","387508","41.08","119422","12.66","268086","2025000","214.67","1-00517-0030","139 THOMPSON STREET
New York, NY 
(40.726619010937, -74.001187290587)","SOHO","C7-WALK-UP","17","1900","9451","371106","39.27","109784","11.62","261322","1976000","209.08","0","1-00517-0031","137 THOMPSON STREET
New York, NY 
(40.726556058394, -74.001232256688)","SOHO","C7-WALK-UP","18","1900","9583","410993","42.89","131162","13.69","279831","2110000","220.18","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00584-0061","79 BEDFORD STREET
New York, NY 
(40.731691187182, -74.005018402431)","1","10014","40.731586","-74.004976","2","3","67","1009850","1005840061","West Village                                                               ","GREENWICH VILLAGE-WEST","D4-ELEVATOR","36","1954","24635","817882","33.2","145347","5.9","672535","4998000","202.88","1-00588-0009","26 GROVE STREET
New York, NY 
(40.732572522771, -74.005054375313)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","42","1926","22392","743452","33.2","132025","5.9","611427","4544000","202.93","0.07","1-00582-0020","60 LEROY STREET
New York, NY 
(40.730171332952, -74.005189273617)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","37","1941","22242","703764","31.64","238072","10.7","465692","3474000","156.19","0.13","1-00592-0062","140 WAVERLY PLACE","GREENWICH VILLAGE-WEST","D1-ELEVATOR","23","1930","12,144","482,594","39.74","139,826","11.51","342,768","2,591,000","213.36","0.22"
"1-01391-0029","55 76 STREET
New York, NY 
(40.632160009227, -74.033931087231)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","21","1920","36694","1427030","38.89","320706","8.74","1106324","8369000","228.08","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.09","1-01412-0012","117 77 STREET
New York, NY 
(40.631199887925, -74.033238618216)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","40","1929","29500","1384419","46.93","380450","12.9","1003969","7545000","255.76","0.11","1-01412-0057","138 EAST 78 STREET","UPPER EAST SIDE (59-79)","C7-WALK-UP","14","1910","21,581","799,360","37.04","244,513","11.33","554,847","4,084,000","189.24","0.11"
"1-01861-0008","153 106 STREET
New York, NY 
(40.799902400098, -73.964363825642)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","C6-WALK-UP","15","1910","8735","192607","22.05","67347","7.71","125260","705000","80.71","1-01859-0046","140 105 STREET
New York, NY 
(40.799033233477, -73.964534097758)","UPPER WEST SIDE (96-116)","D1-ELEVATOR","29","1920","20994","516307","24.59","144974","6.91","371333","1695000","80.74","0.11","1-01838-0038","6 103 STREET
New York, NY 
(40.79611530855, -73.961543182515)","MANHATTAN VALLEY","C5-WALK-UP","20","1910","13030","254116","19.5","110852","8.51","143264","792000","60.78","0.3",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01976-0013","523 121 STREET
New York, NY 
(40.810310236383, -73.959373510028)","1",,,,,,,,,,"MORNINGSIDE HEIGHTS","D4-ELEVATOR","24","1926","28668","556446","19.41","243391","8.49","313055","2244000","78.28","1-01993-0015","3105 BROADWAY
New York, NY 
(40.812846007106, -73.960519948422)","MORNINGSIDE HEIGHTS","D1-ELEVATOR","70","1941","51870","1049028","20.22","492225","9.49","556803","1980000","38.17","0.16","1-01976-0039","506 122 STREET
New York, NY 
(40.792356863833, -73.845444244616)","MORNINGSIDE HEIGHTS","D1-ELEVATOR","29","1910","20238","376164","18.59","151561","7.49","224603","1615000","79.8","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01993-0057","140 CLAREMONT AVENUE
New York, NY 
(40.813142783376, -73.961455243332)","1","10027","40.813071","-73.961494","9","7","211","1059848","1019930057","Morningside Heights                                                        ","MORNINGSIDE HEIGHTS","D4-ELEVATOR","61","1905","36623","799480","21.83","287491","7.85","511989","3751000","102.42","1-01994-0066","189 CLAREMONT AVENUE
New York, NY 
(40.814788542689, -73.960259145033)","MORNINGSIDE HEIGHTS","D1-ELEVATOR","31","1905","28416","680847","23.96","292685","10.3","388162","2200000","77.42","0.07","1-01993-0112","180 CLAREMONT AVENUE
New York, NY 
(40.814455793538, -73.960501961981)","MORNINGSIDE HEIGHTS","D7-ELEVATOR","38","1926","44622","878484","19.69","318451","7.14","560033","3487000","78.15","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01832-0036","370 CENTRAL PARK
New York, NY 
(40.792377860938, -73.964227433406)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","MANHATTAN VALLEY","D4-ELEVATOR","74","1918","84612","1526400","18.04","571977","6.76","954423","6710000","79.3","1-01851-0005","143 96 STREET
New York, NY 
(40.6164560004, -74.036369859683)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","92","1927","96000","1939200","20.2","872640","9.09","1066560","7623000","79.41","0.17","1-01838-0021","50 MANHATTAN AVENUE
New York, NY 
(40.796289488546, -73.963190934849)","MANHATTAN VALLEY","D1-ELEVATOR","49","1925","42783","525813","12.29","315793","7.38","210020","1332000","31.13","0.3",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01523-0014","1450 LEXINGTON AVENUE
New York, NY 
(40.78473320047, -73.951751558636)","1","10128","40.784728","-73.951778","8","4","15801","1048419","1015230014","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","47","1928","67882","2012701","29.65","478568","7.05","1534133","11500000","169.41","1-01522-0158","1442 LEXINGTON AVENUE
New York, NY 
(40.78442743098, -73.951967395923)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","17","1920","15596","553034","35.46","193546","12.41","359488","2657000","170.36","0.05","1-01521-0064","118 93 STREET
New York, NY 
(40.619575837681, -74.037129557838)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","38","1926","42857","977770","22.81","205313","4.79","772457","5642000","131.65","0.1","1-01602-0033","1240 PARK AVENUE","UPPER EAST SIDE (96-110)","D7-ELEVATOR","39","1920","47,822","1,628,817","34.06","570,038","11.92","1,058,779","7,849,000","164.13","0.15"
"1-00568-0024","60 UNIVERSITY PLACE
New York, NY 
(40.732824332939, -73.993713924523)","1","10003","40.732865","-73.993711","2","2","61","1009265","1005680024","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","D4-ELEVATOR","62","1926","56252","2340646","41.61","765590","13.61","1575056","11891000","211.39","1-00562-0044","25 10 STREET
New York, NY 
(40.572142324589, -74.114671380126)","GREENWICH VILLAGE-CENTRAL","D6-ELEVATOR","62","1929","45496","1893259","41.61","619008","13.61","1274251","9620000","211.45","0.11","1-00575-0077","55 11 STREET
New York, NY 
(40.671044407806, -73.993574423385)","GREENWICH VILLAGE-CENTRAL","D9-ELEVATOR","88","1924","63943","2450267","38.32","838784","13.12","1611483","12194000","190.7","0.15","1-00572-0062","39 WEST 8 STREET","GREENWICH VILLAGE-CENTRAL","D6-ELEVATOR","37","1923","16,777","720,755","42.96","246,216","14.68","474,539","3,146,000","187.52","0.18"
"1-00630-0043","511 HUDSON STREET
New York, NY 
(40.733345939716, -74.006340405815)","1","10014","40.733461","-74.006351","2","3","75","1084966","1006300043","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","30","1911","40320","1406765","34.89","341914","8.48","1064851","7880000","195.44","1-00619-0001","502 HUDSON STREET
New York, NY 
(40.733354932936, -74.006340405815)","GREENWICH VILLAGE-WEST","D8-ELEVATOR","57","1948","37721","1379788","36.58","417081","11.06","962707","7093000","188.04","0.08","1-00588-0009","26 GROVE STREET
New York, NY 
(40.732572522771, -74.005054375313)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","42","1926","22392","743452","33.2","132025","5.9","611427","4544000","202.93","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01890-0040","310 RIVERSIDE DRIVE
New York, NY 
(40.800525295304, -73.971329799214)","1","10025","40.800423","-73.971383","7","6","191","1057188","1018900040","Upper West Side                                                            ","UPPER WEST SIDE (96-116)","D4-ELEVATOR","325","1929","204463","3835726","18.76","1245180","6.09","2590546","18617000","91.05","1-01890-0064","306 104 STREET
New York, NY 
(40.800361256231, -73.969668559688)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","37","1927","51414","684819","13.32","329320","6.41","355499","2360000","45.9","0","1-01890-0015","865 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","78","1925","143604","2694011","18.76","1293872","9.01","1400139","10062000","70.07","0.05","1-01890-0036","305 RIVERSIDE DRIVE","UPPER WEST SIDE (96-116)","D3-ELEVATOR","63","1911","126,785","2,691,646","21.23","1,237,422","9.76","1,454,224","10,669,000","84.15","0.05"
"1-01207-0016","31 93 STREET
New York, NY 
(40.618793553389, -74.038874868498)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","34","1920","47349","1113175","23.51","433717","9.16","679458","4955000","104.65","1-01239-0044","2476 BROADWAY
New York, NY 
(40.791855830942, -73.973695016151)","UPPER WEST SIDE (79-96)","D7-ELEVATOR","64","1920","67954","1862613","27.41","656625","9.66","1205988","8697000","127.98","0.31","1-01242-0128","203 94 STREET
New York, NY 
(40.61860507695, -74.035906575443)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","24","1925","22800","447028","19.61","197439","8.66","249589","1788000","78.42","0.3",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01119-0029","65 CENTRAL PARK
New York, NY 
(40.765206229381, -73.975012995737)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","UPPER WEST SIDE (59-79)","D4-ELEVATOR","111","1929","182048","6422653","35.28","2149987","11.81","4272666","31596000","173.56","1-01124-0059","50 72 STREET
New York, NY 
(40.6354694992, -74.03531367271)","UPPER WEST SIDE (59-79)","D7-ELEVATOR","213","1927","143791","5072576","35.28","1698857","11.81","3373719","24948000","173.5","0.24","1-01158-0033","212 AMSTERDAM AVENUE
New York, NY 
(40.777026010679, -73.982796155087)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","233","1926","160049","6325208","39.52","2064037","12.9","4261171","32218000","201.3","0.35","1-01142-0064","2054 BROADWAY","UPPER WEST SIDE (59-79)","D6-ELEVATOR","320","1923","235,400","7,195,339","30.57","2,801,264","11.9","4,394,075","32,853,000","139.56","0.25"
"1-01184-0007","305 72 STREET
New York, NY 
(40.633502924083, -74.026791469314)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","49","1913","56074","1828573","32.61","545600","9.73","1282973","9545000","170.22","1-01184-0002","2 RIVERSIDE DRIVE
New York, NY 
(40.780659271677, -73.985539087277)","UPPER WEST SIDE (59-79)","D1-ELEVATOR","24","1963","12656","417697","33","144421","11.41","273276","2032000","160.56","0","1-01184-0089","306 75 STREET
New York, NY 
(40.631380556951, -74.027561565385)","UPPER WEST SIDE (59-79)","D1-ELEVATOR","30","1920","20130","627145","31.15","156190","7.76","470955","3517000","174.71","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
