"ceqr","project_name","project_description","borough","lead_agency","url"
"11BSA069M","12 East 18th Street","Special Permit (ZR 73-36) to legalize the operation of physical culture establishment on the fifth floor of a five-story  mixed-use bulding in a M1-5M zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7760-11BSA069M"
"15BSA051Q","910 Lanark Road","Special Permit (§64-92) to waive bulk regulations for the replacement of homes damaged/destroyed by Hurricane Sandy, on properties which are registered in the NYC Build it Back Program. R3-2 zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10899-15BSA051Q"
"11DCP025R","393 Ashland Avenue","Certification to subdivide 1 lot into 2  and for school seats into 2 homes","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7414-11DCP025R"
"14BSA045K","7914 Third Avenue","This application is being filed pursuant to section 72-21 of the Zoning Resolution seeking a variance to permit the operation of a PCE on the second floor of the existing building at the premises.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9946-14BSA045K"
"21DPR010Q","Kissena Park Forest Restoration","NYC Parks proposes to improve and restore the health and resiliency of upland forest and adjacent freshwater wetland ecosystems in a highly degraded section of Kissena Park. The growth of invasive plant species in the identified project area is detrimental to the ecosystem health by reducing biodiversity, causing loss of habitat structure, and degrading functional wildlife habitat. The project will conduct debris and invasive species removals and plant native tree, shrub, and herbaceous plant species to establish a more diverse native plant species community.","Queens","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15319-21DPR010Q"
"18DHS003M","419 West 126th Street","A new safe haven site. This site will service 60 street homeless clients. The New York City (NYC) Department of Homeless Services (DHS) is proposing to enter into a contract with CUCS to operate a transitional residence for single adults in a newly renovated building located at 419 West 126th Street, New York, NY. The fourstory, approximately 32-foot (ft.) tall facility encompasses 15,937 sf of gross floor area. The building was originally constructed in 1926.  According to the project sponsor, the DHS facility will have 8 residential units on floors 2 and 3 that will house a maximum transitional resident population of approximately 60 adults. There would also be offices and medical facilities on the first floor and recreational space on the fourth floor.  Maximum staffing is approximately 13 persons during the daytime shift. The building is currently unoccupied.","Manhattan","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13172-18DHS003M"
"19DCP136R","Barry Street","The applicant, 15 Barry Street, LLC., seeks school seat certification for 7 dwelling units.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14218-19DCP136R"
"18TLC008K","Midwood VS, Inc.","Relocation of a livery car service. The proposed dispatch office location at 3089 Brighton 3 Street, East Brooklyn, N.Y. 11235. The propose location of the off-street parking are is at 3103 Cropsey Avenue, Brooklyn, N.Y. 11214.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13694-18TLC008K"
"18DCP090R","66 Bennett","Subdivision of one zoning lot into two zoning lots.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13424-18DCP090R"
"12BSA036X","1677 Bruckner Boulevard","Special Permit, 73-243 to allow for a drive through facility.","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8190-12BSA036X"
"17DCP085R","101 Circle Road","Requestfor first renewal of authorization 105-421, 105-422, and 105-425 granted on Dec, 2012.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12580-17DCP085R"
"14BSA156K","1224 East 27th Street","Two story extension at the rear of the exisitng two story one family dwelling.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10493-14BSA156K"
"20DCP049R","6257 Amboy Road","This is a private application by Guido Passarelli requesting a certification for ZR 107-121 to facilitate a new building development at 6257 Amboy Road in Pleasant Plains neighborhood, Community Board #3, Staten Island.   Requesting school seat certification for four dwelling units.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14746-20DCP049R"
"19DCP144R","446 and  450 Vineland Avenue","The applicant, Anthony Franco, seeks subdivision of one zoning lot into two zoning lots for (2) two family residences","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14237-19DCP144R"
"21DPR012Q","Forest Park LIRR Tower Removal","The New York City Department of Parks and Recreation (NYC Parks) is proposing to undertake a project to remove 13 abandoned and deteriorated Long Island Rail Road (LIRR) towers that present a potential hazard to public safety and property at Forest Park in Queens, New York","Queens","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15330-21DPR012Q"
"16HPD111X","930 Jennings Street","The Department of Housing Preservation & Development (HPD), through its Low-Income Housing Tax Credit Portfolio Preservation (Year 15) Program, is seeking tax exemptions pursuant to Section 577 of the Private Housing Finance Law and Section 420-c of the NYS Real Property Tax Law for one building located in the Crotona Park East neighborhood of the Bronx. The proposed actions are intended to preserve the affordability of a total of 84 existing dwelling units.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12007-16HPD111X"
"11DCP053R","674 Edgegrove Avenue","The applicant, Joseph Verdino, is seeking a certification pursuant to ZR Section 107-08 (Subdivision Certification).  The proposed action would facilitate a proposal by the applicant to subdivide a single property, currently developed with a one-family dwelling, into three tax lots.  The applicant intends to demolish the one-family dwelling and construct three two-family dwellings.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7571-11DCP053R"
"12DCP097R","31 Glover Street","The applicant, KDC of Staten Island, is seeking certifications pursuant to ZR Sections 107-08 and 107-121.  The proposed actions would facilitate a proposal by the applicant to subdivide one zoning lot into two zoning lots within the Special South Richmond Development District to build two one-family semi-detached residences.  The project site is located at 29 Glover Street in Staten Island Community District 3.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8335-12DCP097R"
"16DHS020M","Huntington House Family Transitional Residence","The New York City Department of Homeless Services (DHS) is proposing to enter into a contract with Women's Prison Association (WPA) ('Provider') to operate a transitional residence ('Shelter'' or 'Facility') for formerly incarcerated women and their children at 34 7 East 1 o Street in the East Village neighborhood of Manhattan. The Facility, the Huntington House Family Transitional Residence, would be located in a six-story building ('Building' or 'Project Site'), with a total of approximately 31,267 square feet of floor area, on a 6,603 square-foot Jot. The Facility would contain 28 units for women and children, with an expected total residential population of up to 1 DO homeless persons that would be referred to the Facility by DHS. Adult residents would have access to services to assist them in obtaining employment and permanent housing. There are expected to be 12 program and security staff members at the Facility over three daily shift periods.","Manhattan","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11687-16DHS020M"
"14DCP148R","Dunham Street","The applicant, Edward Esposito, is seeking a certification pursuant to ZR Section 107-121 pertaining to school seats.  The proposed action would facilitate a proposal by the applicant to construct one two-family house in addition to an existing house.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10326-14DCP148R"
"21DPR003M","Pier 42 Deck","The Pier 42 Deck (the 'proposed project') would repair the concrete deck surface of Pier 42 and construct atheltic and ball fields onto the deck to offer replacement recreational opportunities for the genereal public while East River Park is closed during the East Side Coastal Resiliency Project (ESCR). Approximately 17,000 square feet of concrete deck will be repaired, up to 4 inches deep. This repair will replace deteriorated concrete in the deck. After deck repairs, approximately 13,720 square yards of geotextile fabric will be laid on a bed of loose stone. Approximately 81 cubic yards of reinforced concrete will be used to construct concrete curbs and deck improvements prior to laying miscellaneous playing surfaces and appurtenances. After the concrete deck is repaired, interim athletic ballfields and other features will be constructed on the deck. The proposed features will comprise four (4) half basketball courts, one (1) soccer field, four (4) tennis courts, adult fitness equipment, picnic tables, and benches.","Manhattan","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15235-21DPR003M"
"12DCP007R","Briggin Property","The applicant, Debra Williams, is seeking an Authorization pursuant to ZR Section 105-422 (Authorization of development on Tier II zoning lot).  The proposed action would facilitate a proposal by the applicant to construct three one-family residences on a property located at 141 Douglas Road, and 20 and 30 Briggins Lane (Block 831, Lots 1, 5, and 10), Staten Island, Community District 2.  The project site is located in an R1-1 zoning district within the Special Natural Area District (NA-1).","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7994-12DCP007R"
"09DEP028Y","Transshipment of Tallman Island Sludge and Bowery Bay Centrate","Temorarily ship thickened digested sludge from NYCDEP Tallman Island Water Pollution Control Plant (WPCP).","Citywide","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8100-09DEP028Y"
"19BSA107K","1370 	East 24th Street","Special Permit (§73-622) to permit the enlargement of an existing single-family residence contrary to ZR 23-141 (FAR & open space ration); ZR 23-461(a) (side yards) and 23-47 (rear yard).  R2 zoning district.7","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14469-19BSA107K"
"19DCP174R","333 Flagg Place","The applicant, Ralph Andrews, is requesting certification ZR 105-41 that no authorization is required for vertical enlargement at 333 Flagg Place in Todt Hill neighborhood, Community District 2, Staten Island.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14352-19DCP174R"
"13DCP100M","Water Street POPS Text Amendment","The Department of City Planning (DCP) proposes a zoning text amendment to the Special Lower Manhattan District to modify the requirements for existing privately owned public spaces (POPS) to allow events and temporary items in these spaces as-of-right for the summer, fall, and holiday seasons.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9428-13DCP100M"
"14DCP015M","80 South Street","The applicant, 80 South Street Realty Associates, is seeking a Certification pursuant to ZR Section 91-65 pertaining to the addition of development rights to receiving lots.  The proposed action would facilitate the transfer of 104,167 sq. ft. of development rights from a granting lot to a receiving lot in connection with a proposal by the applicant to construct a new building of approximately 288,670 sq. ft. on the receiving lot.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9819-14DCP015M"
"15TLC030Q","Handi Car Service Corp","Establish a new livery business. The proposed location for the dispatch office and off-street parking area is at 42-11 35 Street, Long Island City, N.Y. 11101.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10997-15TLC030Q"
"13DOT021Q","College Point Permeable Pavement","NYCDOT is proposing a permeable pavement project in the College Point section of Queens Community Board 7 which will develop five different pavement profiles for implementation in New York City.  The demonstration site will encompass approximately 40 low-traffic residential blocks (see attached) bounded by 119th Street to the west, 126th Street to the east, 14th Avenue to the north and 23rd Avenue to the south.  The permeable pavement will mitigate storm water overflow and pollution while improving street level drainage.  After assessing the five different treatments, DOT will determine the pervious pavement profile which is most effective in reducing stormwater runoff volume/velocity while improving water quality.","Queens","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9420-13DOT021Q"
"11BSA011R","170 Edinboro Road","Bulk Variance for residential building","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7342-11BSA011R"
"18DEP001Q","SEQ200492: Constructin of Storm Sewer in 41st Avenue","Construction of Storm and Sanitary Sewers and Appurtenances in 41st Avenue, Corporal Kennedy Street and 28th Avenue in Little Neck and Bayside, Queens under contract SEQ200492.","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13092-18DEP001Q"
"10DCP036R","New York Korean Evangelical Church Expansion","The proposed action involves an authorization pursuant to Section 107-67 & 107-68 of the Zoning Resolution to facilitate a proposal by the applicant to develop additional accessory group parking facilities at 323 Arden Ave. (Block 5777, Lot 15) and expand the existing two-story church building at 333 Arden Ave. (Block 5777, Lot 8) in the South Richmond Special Purpose District neighborhood of Staten Island, Community District 3.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7121-10DCP036R"
"15DCP201M","528 West 38th Street & 435 Tenth Avenue",,"Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11373-15DCP201M"
"18HPD055K","Columbia Street Rezoning","The Columbia Street New Infill Homeownership Opportunities Program (NIHOP) (P2016K0437) project  site is comprised of nine (9) sites to include four (4) Proposed Development sites, three (3) Projected Development sites, and two (2) Potential Development sites. The four (4) Proposed Development sites are overseen by NYC Housing Preservation and Development (HPD) and are within the Columbia Street Urban Renewal Area (URA).  The goal of the project is to facilitate the construction of four (4) new buildings on the Proposed Development sites with a total of 13 residential units and 7,806 square feet of ground floor retail space, located at 199 Columbia Street (Block 330, Lot 4), 155 Union Street (Block 336, Lot 35), 294 Columbia Street (Block 357, Lot 36), and 307-309 Columbia Street (Block 363, Lots 9-10). All buildings apart from that improvement to be constructed at 155 Union Street (Block 336, Lot 35) are seeking amendment to the Columbia Street Urban Renewal Plan (URP) by HPD to waive the three-story height limit on residential  buildings to allow the proposed four-story buildings. The Projected Development sites and the Potential Development sites are proposed to be rezoned from a M1-1 Manufacturing district to a R6A district with a C2-4 Commercial Overlay.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13334-18HPD055K"
"11DEP052U","Replacement of Disconnect Switches at the North Street Pumping Station at Port Jervis","The proposed  project includes the remediation of potential dangerous hazards on the disconnect switches at the North Street Pumping Station in Port Jervis, New York. New Solid State disconnect switches would be installed and arc flash labeling would be placed in appropriate locations around the switches.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7972-11DEP052U"
"16DME013R","Teleport Site A","Corporate Commons Three, LLC and the  New York City Economic Development Corporation (NYCEDC) (collectively, the 'Applicant') seek disposition approval of an 8.5 acre City-owned vacant lot (Block 2165, Lot 120) within the Teleport office park in the Bloomfield neighborhood of Staten Island in Community Board 2. The disposition would facilitate the development of an approximately 240,000 gsf mixed-use development (the Proposed Project) consisting of approximately 173,000 gsf of commercial office, a 2,000 gsf bank, a 5,000 gsf restaurant, and approximately 60,000 gsf of medical office uses. The Proposed Project would also include approximately 885 accessory parking spaces within an open parking lot and an above-grade parking garage. The proposed development program would be permitted as-of-right within the existing M1-1 zoning district. Additionally, the Proposed Project includes the preservation of 1.6 acres of wetland and woodland areas within the project site, and the reforestation of 1.2 acres of natural area both on and off the project site. Attachment E provides details of the proposed natural area improvements. Finally, the Proposed Project requires a certification of cross access connections from the Chair of the City Planning Commission pursuant to Section 36-594 of the New York City Zoning Resolution (ZR). Construction of the Proposed Project is expected to begin in fall 2017 with all components complete and fully operational by 2019.","Staten Island","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11914-16DME013R"
"12DEP015Q","Enhance BNR Process at Bowery Bay","Implement supplemental carbon addition.  #BB-63","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8063-12DEP015Q"
"17HPD016M","Third Party Transfer TMN904 - Precise Management - Type II","The City of New York  Department of Housing Preservation and Development (HPD), through its Third Party Transfer (TPT) Program, intends to facilitate the disposition through accelerated Urban Development Action Area Proejct (UDAAP) process, of three (3) City-owned residential properties, located at 410-18 West 128th Street (Block 1954, Lot 55), 116-18 West 129th Street (Block 1913, p/o Lot 40), and 111 West 131st Street (Block 1916, Lot 25) in the Harlem and West Harlem neighborhoods of Manhattan to the project sponsor, MLG 904 Development LLC, who will undertake rehabilitation at these properties to provide seventy-nine (79) dwelling units.   The project sponsor will request real estate tax benefits under §11-243 (§J-51-2.5) of the City Administrative Code and the project sponsor will enter into a Regulatory Agreement for the length of the tax benefit to ensure affordability in the project.  No ground disturbance or building expansion would occur.  The requested approvals would further HPDs goals of preserving safe, affordable housing throughout New York City.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12400-17HPD016M"
"14DCP171R","4093 Richmond  Avenue","The applicant, MSB Development Company, Inc., is seeking a certification pursuant to ZR Section 107-08 pertaining to future subdivision and certification pursuant to ZR Section 107-121 pertaining to school seats.  The proposed action would facilitate a proposal by the applicant to subdivide two zoning lots into four zoning lots to construct four two-family residences.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10448-14DCP171R"
"17DEP035U","Amawalk Dam Ogee Spillway Project","The New York City Department of Environmental Protection (DEP) is seeking to replace the spillway approach walls at the Amawalk Dam at the Amawalk Reservoir near Amawalk Road, in the Town of Somers, Westchester County, New York. Specifically, the agency is proposing  the construction of a cantilevered concrete wall using salvaged and replaced stone and cap-stone as one-foot-thick facing. The stones will be rigidly attached to the concrete wall with steel dovetail anchors inserted into channels cast into the face of the concrete wall. The walls will have a 1-6 structural concrete thickness combined with a front layer of the stone facing, making the total wall thickness 2-7. These cantilevered walls will be supported by concrete foundations. The proposed project follows the collapse a large portion of the right spillway approach wall of the Amawalk Dam in late 2012. A temporary gabion wall has been installed in its place until a new wall can be designed and constructed. In 2014, the left spillway approach wall showed signs of movement toward the spillway channel, indicated that it would also be in danger of collapsing. As a temporary measure, DEP constructed a bolster in front of the left approach wall to provide support to this wall until a permanent solution was developed and implemented.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12622-17DEP035U"
"98BSA035M","Bally Total Fitness","Special permit pursuant to ZR 73-36 to allow in an C2-5 district, the proposed operation of a PCE on the cellar level in a new blding currently under construction","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2011-98BSA035M"
"16BSA089M","70 Pine Street","Special Permit (§73-36) to permit the operation of a physical culture establishment (La Palestra) in portions of the basement and sub-cellar levels of an existing building.  C5-5 (LM) zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12109-16BSA089M"
"12BSA112Q","96-01/05 Metropolitan Avenue Queens","Special Permit (§73-243) to permit the demolition and reconstruction of an eating and drinking establishment (Use Group 6) with an accessory drive-through and on-site parking.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8716-12BSA112Q"
"18BSA101K","16 Dover Street","Dover Street","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13592-18BSA101K"
"15BSA137M","1065 Avenue of the Americas","Special Permit (§73-36) to allow for a physical culture establishment within portions of an existing commercial building, located within an C5-3(MID)(T) zoning.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11135-15BSA137M"
"15BSA152K","219 26th Street","Variance (72-21) to pro posed to construct a residential building on a small lot at premises ,located in an M1-1D zoning district, contrary to (Section 42-00) not permitted as of right..","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11211-15BSA152K"
"19HPD081X","Woodlawn Senior Housing","The Project Applicant, Woodlawn Affiliates LLC, is seeking construction financing from New York City Department of Housing Preservation and Development (HPD) to facilitate the development of a new affordable senior housing building in the Woodlawn neighborhood of the Bronx, Community District 12 ('Proposed Action'). The requested funding would provide for a total of 80 units of affordable housing (including one superintendent unit) on a privately-owned property in  a new four-story (40 feet) building. The 23,356 Project Site is comprised of four parcels located at 69, 81, 83, and 85 East 233rd Street ('Project Site;' Bronx Block 3365, Lots 63, 64, 65 and 71) and is situated on the north side of East 233rd Street between Napier Avenue to the west and Oneida Avenue to the east. Under the Proposed Action, the Project Site would be redeveloped with a new, 51,995 gross square foot (gsf) senior residential development developed as an  Affordable Independent Residence for Seniors (AIRS). The 79 affordable units (plus one superintendent unit) would be targeted to moderate and low income seniors with 63 units targeted to incomes below 50% of area median income (AMI) and 16 units at up to 80% of AMI. The proposed project will include 59 studio apartments, 20 one-bedroom apartments, and 1 superintendent's unit. The building will have a laundry room, 2,248 square feet of community  meeting space for residents, 7,725 square foot open space and garden at the rear of the building and be built to passive house standards. The proposed project also includes the development of an 11-space surface parking lot and 3,264 square foot active-design greenspace for building residents located on an off-site parcel at 63 East 233rd Street, (Bronx Block 3365, Lot 79), one lot down from the Project Site. In addition to city capital funding from HPD, the Applicant is also requesting construction financing from HPD's Senior Affordable Rental Apartments (SARA) program which utilizes a combination of tax-exempt bonds issued by New York City Housing Development Corporation (HDC), 9% as-of-right Low Income Housing Tax Credit (LIHTC) equity, deferred developer fee and a Sponsor loan, originating from a 501(c)(3) entity. The proposed project would be developed in conformance with the requirements of the existing R5 zoning district  regulations and would help address the continuing need for affordable housing in New York City. The proposed project is expected to be completed and occupied by 2021.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14238-19HPD081X"
"19DCP216K","215 Moore Street","The applicant, 215 Moore Acquisition, LLC., seeks a zoning map amendment and large scale general development plan to facilitate the development of a 360,000 sf mixed commercial/retail building in East Williamsburg, Community District 1, Brooklyn.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13897-19DCP216K"
"11DCP047R","Nevada Avenue","The applicant, David Flynn, is seeking an authorization pursuant to ZR Section 105-421 (Modification of Topographic Feastures on Tier I Sites) and ZR Section 105-425 (Modification of Botanic Environment and Tree Preservation and Planning Requirements).  The proposed action would facilitate a proposal by the applicant to construct a single family detached residence with an accessory in-ground swimming pool.  The project site is located in an R1-2 zoning district within the Special Natural Area District (NA-1) in the High Rock neighborhood of Staten Island.  It is currently developed with a single family detached residence, which would be demolished.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7538-11DCP047R"
"12DEP057U","Replacement Windows, Doors and Sheet Rock at Kensico Manor Annex","proposed project includes the replacement of windows, doors and sheetrock at the Kensico Manor Annex located in the Town of Mount Pleasant, Westchester County, New York.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8478-12DEP057U"
"12DEP059U","Realignment and Reconstruction of Route 28A Hairpin Curve","DEP proposed to correct existing geometric and safety deficiencies of a horizontal curve of Route 28A known as the Hairpin Curve located near Boiceville, in the Town of Olive in Ulster County, NY. to improve traffic flow and facilitate safer traffic operations. The project area consists of approximately 1.77 acres, comprised mostly of previously cleared field, some shrub land, two driveway curb cuts serving residential properties, and surrounded by mature forest. All construction would occur on City owned land.    The Proposed project would entail changes related to: (1) realigning and reconstructing of a 950 ft. section of Route 28A at Ashokan Reservoir in order to eliminate a non-engineered curve, and replace the section with a realigned relatively straight section. This would improve traffic flow, lane adherence, and facilitate safer traffic operations; and (2) increase sight distance for two intervening driveway entrances within the section. An intermittent watercourse traverses the project site. The watercourse is carried under the existing Rt. 28A alignment (hairpin curve) in a double barrel two ft. by three ft. concrete box culvert. This culvert has collapsed and is in poor condition, with only one of the two barrels serving as a waterway. Approximately 140 ft. downstream from the existing culvert, a new four ft. diameter round   steel pipe culvert would be installed in the watercourse bed together with headwalls in order to carry the new road alignment.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8584-12DEP059U"
"19DCP063M","110 Wall Street Arcade Café Cert","The applicant, Westville Wall Street, seeks  certification for the operation of a café within an arcade located at 110 Wall Street pursuant to 91-821.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13970-19DCP063M"
"10SBS007K","Myrtle Avenue Brooklyn Business Improvement District Expansion","The Bid Services will include street maintenance, marketing and promotion, holiday lighting, small capital improvements and administration.","Brooklyn","Department of Small Business Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7187-10SBS007K"
"14DOT002X","Library Lane","NYCDOT, as lead agency, is proposing to improve what is currently Coles Lane in the Bronx. The principal objective of the proposed project is to improve an existing substandard pedestrian connection.  The project corridor is approximately 220 linear feet and extends between Briggs Avenue on the north and Bainbridge Avenue on the south. The project corridor is currently a step-stair street on its northern half and primarily provides driveway access on its southerly half with access to Bainbridge Avenue.  Since the project corridor is currently not a mapped City street, the proposed improvements require the mapping of the project corridor as a City Street. The street is currently named Coles Lane and with the proposed project the street would be renamed Library Lane.  With the proposed project, the existing street would be reconstructed as would the step-stairs in accordance with NYCDOT Street Design Manual specifications. Also proposed is the installation of new curbs and sidewalks where necessary. Implementation of the proposed project requires the acquisition of a portion of a privately owned lot that is within the proposed right-of-way.","Bronx","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9788-14DOT002X"
"10TLC049K","Atlicxco Fleet Car Service LLC",,"Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7460-10TLC049K"
"18HPD091K","811-817 Lexington Avenue","IMPACCT BK is proposing a new SARA project with 50 units and parking. The site is comprised of a vacant industrial building and an unused parking lot. The proposed work consists of the new construction of one 4-story senior affordable housing residential building fronting Lexington Avenue, totaling 61 residential units. The proposed building will provide community facility space in the cellar, in addition to mechanical rooms, storage areas, a fitness center, and office space. The ground floor will consist of residential units, the residential lobby, and a recreational area. The proposed building roof will include a green roof and garden space. The proposed development will occupy approximately 41.5 percent of the footprint of the subject lots, with the remaining 58.5 percent designated for  onsite parking, totaling 21 parking spaces, and associated drive lanes. The proposed foundation depth is approximately 11 feet below grade.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13619-18HPD091K"
"08BSA078Q","101-17 Lefferts Boulevard","Variance pursuant to 72-21 to allow the commercial office conversion of an existing residential blding, contrary to use regulationss Sec 22-00 R5 District.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6662-08BSA078Q"
"14DCP156R","11 and 13 Redgrave Avenue","The applicant, U.A.S.M.B.Y. LLC, is seeking a certification pursuant to ZR Section 107-08 pertaining to future subdivision.  The proposed action would facilitate a proposal by the applicant to subdivide one zoning lot into two zoning lots to construct one two-family residence.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10349-14DCP156R"
"91-188Q","Electrical Supply Building",,"Queens","NYC Departments of Environmental Protection and City Planning (co-lead)","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/87-91-188Q"
"93DEP020R","Cannon Avenue Pump Station",,"Staten Island","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/468-93DEP020R"
"17HPD023X","967 East 224th Street","The above mentioned project has applied to receive a rehabilitation loan through HPD's Multifamily Housing Rehabilitation Program (HRP).  The requested funding will ensure the continued affordability of 6 dwelling units and further HPD's goals of preserving safe, affordable housing throughout New York City.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12427-17HPD023X"
