"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Korean Community Services of Metropolitan New York, Inc.","Flushing","Korean Community Services of Metropolitan New York, Inc.","(718) 353-2253","16+","35 56 159th Street
Flushing, NEW YORK 11358
(40.760350968822, -73.796326458199)","40.765263","-73.806158","7","19","1171","4119327","4052740070","Murray Hill                                                                ","11358"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Make the Road New York","Brooklyn","Harlem RBI","(347) 243-7249","Adults","301 Grove Street
Brooklyn, NEW YORK 11237
(40.698428502523, -73.915623474994)","40.698448","-73.915629","4","37","433","3075926","3033170041","Bushwick North                                                             ","11237"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YWCA of Queens","Flushing","YWCA of Queens","(718) 353-4553","16+","42 08 Parsons Boulevard
Flushing, NEW YORK 11355
(40.751299796948, -73.821478547897)","40.758297","-73.819779","7","20","857",,,"Flushing                                                                   ","11355"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6","Brooklyn","The Children's Art Carnival","(718) 951-5015"," High School","145 PENNSYLVANIA AVENUE
Brooklyn, NEW YORK 11207
(40.674271059788, -73.896452428929)","40.674135","-73.89643","5","37","1144","3083660","3037040001","East New York (Pennsylvania Ave)                                           ","11207"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Flushing Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-640-9223","All Ages","39 07 Prince St
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.759543","-73.832255","7","20","871","4112321","4049767501","Flushing                                                                   ","11354"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           ","11214"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Luke A.M.E Church","New York","FREDERICK DOUGLASS ACADEMY (M499)","(800) 624-8474","Seniors","1854 Amsterdam Avenue
New York, NEW YORK 10031
(40.829510444309, -73.944485036639)","40.829461","-73.94453","9","7","237","1075506","1020830035","Hamilton Heights                                                           ","10031"
"Family Support,NDA Programs","Health Stat Initiative","Make the Road New York","Staten Island","Make the Road New York","347.547.5133","All Ages","479 Port Richmond Ave Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 292 MARGARET S DOUGLAS (K292)","Brooklyn","Kingsbridge Heights Community Center","(718) 346-2200","Middle School","301 VERMONT STREET
Brooklyn, NEW YORK 11207
(40.67232012791, -73.893980855849)","40.671987","-73.893896","5","42","1144","3083931","3037400001","East New York (Pennsylvania Ave)                                           ","11207"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I S 187 (K187)","Brooklyn","Morrisania Air Rights Housing Development","(718) 236-5266","Middle School","1171 65 STREET
Brooklyn, NEW YORK 11219
(40.627718796576, -74.004344439195)","40.627784","-74.004485","10","38","212","3142008","3057450029","Dyker Heights                                                              ","11219"
"Family Support,NDA Programs","Healthy Families","MIDDLE SCHOOL 322 (M322)","New York","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)","(212) 949-4919",,"4600 BROADWAY
New York, NEW YORK 10040
(40.861067654317, -73.930518565524)","40.86079","-73.930672","12","10","285","1076756","1021720016","Washington Heights North                                                   ","10040"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","David Ruggles I.S. 258","Brooklyn","Haber, Bernard Senior Houses","(718) 453-3330"," High School","141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834988, -73.945596139676)","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    ","11216"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Bronx Neighborhood Office, Legal Aid Society","Bronx","The Legal Aid Society","718.991.4758","Adult","953 Southern Blvd
Bronx, NEW YORK 10459
(40.821386978766, -73.891682337351)","40.82148","-73.891688","2","17","159","2005787","2027240186","Hunts Point                                                                ","10459"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","African Services Committee, Inc.","New York","African Services Committee, Inc.","(212) 222-3882","16+","429 127 Street
New York, NEW YORK 10027
(40.813196742697, -73.95433261286)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Rice High School","New York","St. Cecilias R.C. Church","(212) 575-7681"," High School","74 124th
New York, NEW YORK 10027
(40.806667285016, -73.945029378395)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","PS 015 PATRICK F. DALY (K015)","Brooklyn","Polonians Organized to Minister to Our Community, Inc.","(718) 237-2017",,"71 SULLIVAN STREET
Brooklyn, NEW YORK 11231
(40.677587445856, -74.011928709244)","40.677343","-74.011558","6","38","53","3008585","3005660001","Carroll Gardens-Columbia Street-Red Hook                                   ","11231"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","F.E.G.S Brooklyn Resource Center","Brooklyn","JHS 292 MARGARET S DOUGLAS (K292)","(212) 366-8531","Adults","938 Kings Highway
Brooklyn, NEW YORK 11223
(40.607008519866, -73.962821012237)","40.607066","-73.962714","15","44","418","3177634","3066660112","Homecrest                                                                  ","11223"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Good Companions Senior center","New York","I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005)","(212) 766-9200","Seniors","334 Madison Street
New York, NEW YORK 10002
(40.713290169435, -73.983016878047)","40.713266","-73.983237","3","2","202","1077526","1002600001","Lower East Side                                                            ","10002"
"Family Support,NDA Programs"," Housing","FAC Center for Community Development","Brooklyn","Cypress Hills Local Development","(718) 237-2017","Adults","621 DeGraw Street
Brooklyn, NEW YORK 11217
(40.678560088361, -73.981798438269)","40.678948","-73.982857","6","33","119","3336109","3004200045","Park Slope-Gowanus                                                         ","11217"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services - Horizons","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","060280 Brooklyn
NEW YORK,  11206
(40.701912016826, -73.942379198541)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Council of Jewish Orgainzations of Flatbush, Inc.","Brooklyn","MOTT HALL IV (K522)","(718) 377-2900","Adults","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        ","11230"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I.S 286 M","Manhattan","Make the Road New York Staten Island","(347) 417-8180","Middle School","509 129 Street
Manhattan, NEW YORK 10027
(40.815206697159, -73.955146464979)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SCO Family of Services","Brooklyn","SCO Family of Services","(718) 455-1166","16+","75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.695007999414, -73.937422302529)","40.694962","-73.937422","3","36","287","3379533","3015920001","Stuyvesant Heights                                                         ","11206"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Organization of Flatbush, Inc.","Brooklyn","Workforce Development Division","(718) 377-2900","Seniors","1658 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.616970915723, -73.963785333505)","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        ","11230"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Orgainzations of Flatbush, Inc.","Brooklyn","St. Raymond Community Outreach","(718) 377-2900","Seniors","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        ","11230"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Refugee and Immigrant Services","Brooklyn","Guardians of the Sick, Inc.","(718) 777-6326","Adults","1416 Ave
M Brooklyn, NEW YORK 11230
(40.617899964727, -73.960775041287)","40.617962","-73.960396","14","48","768","3180877","3067430006","Midwood                                                                    ","11230"
"Family Support,NDA Programs","Healthy Families","Restoration Plaza","Brooklyn","Clinton Senior Housing","(718) 636-6906",,"1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.680167097693, -73.94592248315)","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        ","11216"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Youth Opportunity Center","Bronx","Metropolitan Diploma Plus High School (K647)","(212) 366-8531"," High School","412 147th Street
Bronx, NEW YORK 10455
(40.814487302565, -73.918175218003)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Mirabal Sisters Cultural and Community Center Office Space","New York","Grand Street Settlement","(646) 459-3002","Adults","618 142 Street
New York, NEW YORK 10031
(40.825013834162, -73.953037589138)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 383 PHILLIPPA SCHUYLER (K383)","Brooklyn","Make the Road New York","(347) 417-8180","Middle School","1300 GREENE AVENUE
Brooklyn, NEW YORK 11237
(40.697627046513, -73.919869721703)","40.697781","-73.919777","4","37","431","3075413","3032980001","Bushwick North                                                             ","11237"
"Family Support,NDA Programs"," Housing","Legal Services NYC-Bronx","Bronx","Abigail Mejia Technology Center","(718) 928-3736","Adults","579 Courtlandt Avenue
Bronx, NEW YORK 10451
(40.817333922357, -73.919220308047)","40.817397","-73.919178","1","17","65","2001850","2024100048","Melrose South-Mott Haven North                                             ","10451"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Queens Jewish Community Council","Forest Hills","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","119 45 Union Turnpike Forest Hills
NEW YORK,  11375
(40.72070726303, -73.846284296083)","40.713909","-73.832351","6","29","76902","4312087","4033477501","Forest Hills                                                               ","11375"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Jacob Riis Neighborhood Settlement House","Queens","Staten Island Community Center","(718) 784-7447"," High School","10 25 41st Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   ","11101"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Northern Manhattan Improvement Corporation (NMIC)","Manhattan","Northern Manhattan              Improvement Corporation","212-822-8319","All Ages","76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Father David Cassella Plaza","Bronx","U.C.C. Immigration Program","(718) 542-0006","Seniors","961 180 Street
Bronx, NEW YORK 10460
(40.84387567217, -73.880350540415)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Tompkins Resident Association Office","Brooklyn","San Andres Church","(718) 636-6906",,"77 Tompkins Avenue
Brooklyn, NEW YORK 11206
(40.696908167663, -73.946566441612)","40.696995","-73.946591","3","36","25902","3324252","3017400001","Bedford                                                                    ","11206"
"Family Support,NDA Programs","Fatherhood Initiative","Project Bridge ","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718.628.1905","16 to 24","52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.702590552559, -73.929089057738)","40.702549","-73.928986","4","34","425","3072069","3031640026","Bushwick South                                                             ","11237"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Citizens Advice Bureau","Bronx","Brooklyn Housing & Family Services, Inc.","(718) 293-0727"," High School","1130 Grand
Bronx, NEW YORK 10453
(40.852786838342, -73.913426784319)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","PAUL ROBESON HIGH SCHOOL (K625)","Brooklyn","Marble Hill Community Center","(718) 951-5015"," High School","150 ALBANY AVENUE
Brooklyn, NEW YORK 11213
(40.675468738365, -73.938875268219)","40.675612","-73.938843","8","36","311","3030553","3012160046","Crown Heights North                                                        ","11213"
"Family Support,NDA Programs","Healthy Families","The Friends of Crown Heights Educational Centers, Inc.","Brooklyn","Sauti Yetu Center for African Women","(718) 638-8686",,"36 Ford Street
Brooklyn, NEW YORK 11213
(40.665048954694, -73.929345794578)","40.664905","-73.929282","9","41","355","3038317","3014200051","Crown Heights South                                                        ","11213"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Khalil Gibran International Academy","Brooklyn","Jonas Bronck Housing for Seniors","(718) 643-8000","Middle School","50 Navy Street
Brooklyn, NEW YORK 11201
(40.697950139744, -73.980574173788)","40.697901","-73.98054","2","35","23","3000203","3001110001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","11201"
"Family Support,NDA Programs","Fatherhood Initiative","Midtown Community Court","New York ","Fund for the City of New York/Center for Court Innovation","646.264.1329","16 to 24","314 54 Street
New York, NEW YORK 10019
(40.765190932773, -73.985242311007)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Brooklyn College Arts Lab","Brooklyn","NEW UTRECHT HIGH SCHOOL (K445)","(718) 951-5015"," High School","2900 Bedford Avenue
Brooklyn, NEW YORK 11210
(40.631966842283, -73.95273309691)","40.631691","-73.952656","14","45","772","3347326","3075520100","Flatbush                                                                   ","11210"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Marble Hill Community Center","10463","Homecrest Community Services, Inc.","(212) 923-7766","Middle School","210 230 Street
NEW YORK,  10463
(40.87711465626, -73.907033209945)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I.S.117 JOSEPH H WADE (X117)","Bronx","PS 126 JACOB AUGUST RIIS (M126)","(212) 652-2812","Middle School","1865 MORRIS AVENUE
Bronx, NEW YORK 10453
(40.848548418407, -73.908435068196)","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 ","10453"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 199Q - Maurice Fitzgerald","Queens","Sunnyside Community Service, Inc.","718-784-6173","A parent 16 Years Old or Older ","39 20 48th Avenue
Queens, NEW YORK 11104
(40.744893366636, -73.920541345307)","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       ","11104"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Queens Gateway to Health and Sciences Secondary School","Queens","SEBCO Father Banome Senior Housing","(212) 630-6980","Middle School","150 91 87th Road
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.707527","-73.806412","8","24","236","4207510","4097070048","Briarwood-Jamaica Hills                                                    ","11432"
"Family Support,NDA Programs","Healthy Families","Agnes Y. Humphrey School for Leadership 27 (K027)","Brooklyn","West Farm Technology and Career Center","(718) 237-2017",,"27 HUNTINGTON STREET
Brooklyn, NEW YORK 11231
(40.677570464914, -74.005095356805)","40.677564","-74.005166","6","38","59","3008342","3005250001","Carroll Gardens-Columbia Street-Red Hook                                   ","11231"
"Family Support,NDA Programs","Healthy Families","Center for the Integration and Advancement of New Americans","Queens","Northern Manhattan Improvement Corporation","(718) 545-4040",,"31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","40.767493","-73.920661","1","22","71","4536739","4006190020","Old Astoria                                                                ","11102"
"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services, Inc.","Brooklyn","Cooper Square Committee","(718) 435-7585","Adults","1281 Saint Johns Place
Brooklyn, NEW YORK 11213
(40.670863378541, -73.935839824969)","40.670848","-73.935649","8","35","353","3036781","3013770054","Crown Heights North                                                        ","11213"
"Family Support,NDA Programs","Healthy Families","Project Bridge","Brooklyn","JHS 383 PHILLIPPA SCHUYLER (K383)","(718) 722-6023",,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.702590552559, -73.929089057738)","40.702549","-73.928986","4","34","425","3072069","3031640026","Bushwick South                                                             ","11237"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Goodwill Industries Greater NY-NJ (Admin & Activity site)","Brooklyn","Goodwill Industries of Greater New York","718.339.0937","11+","1416 Avenue
Brooklyn, NEW YORK 11230
(40.621929510239, -73.965511060187)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Grand Street Settlement","New York","Jewish Community Council of Greater Coney Island, Inc","(646) 201-4288","Middle School","80 Pitt Street
New York, NEW YORK 10002
(40.718892797837, -73.982159024877)","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            ","10002"
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","The Door","Manhattan","The Door - A Center of Alternatives","212-941-9090 ext. 3280","20-May","121 6th Avenue
Manhattan, NEW YORK 10013
(40.723983997391, -74.004649680399)","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10013"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Queens Community House","Jackson Heights","Queens Community House","(718) 898-7461","16+","74 09 37 Avenue Jackson Heights
NEW YORK,  11372
(40.751630739367, -73.883612545283)","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            ","11372"
"Family Support,NDA Programs","Health Stat Initiative","Asian Americans for Equality","Queens","Asian Americans for Equality","718.961.0888","All Ages","133 04 39th Ave
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   ","11354"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Alianza Dominicana, Inc. (Admin & Activity site)","Bronx","Alianza Dominicana, Inc.","212.740.1960","18+","1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.839270545805, -73.925788279798)","40.839378","-73.925714","4","16","201","2003519","2025290081","Highbridge                                                                 ","10452"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Erasmus H.S. of Service Learning","Brooklyn","Jacob Riis Neighborhood Settlement House","(718) 859-3800","Middle School","911 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.649532936565, -73.958457559936)","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    ","11226"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Brooklyn","Make the Road New York","718-418-7690 X 205","Adult","391 Grove Street
Brooklyn, NEW YORK 11237
(40.700819092814, -73.913330754504)","40.700955","-73.913163","4","37","441","3075982","3033200001","Bushwick North                                                             ","11237"
"Family Support,NDA Programs","Fatherhood Initiative","Coalition for Hispanic Family Services ","Brooklyn","Coalition for Hispanic Family Services","718.497.6090","16 to 24","315 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.700089964438, -73.912032912223)","40.700045","-73.911981","4","37","439","3076376","3033380001","Bushwick North                                                             ","11237"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)","Brooklyn","Goodwill Industries of Greater New York","718-339-0939 ","Adult","1222 Avenue
M Brooklyn, NEW YORK 11230
(40.61772526252, -73.962279929501)","40.617702","-73.962525","14","48","768","3180783","3067410006","Midwood                                                                    ","11230"
"Family Support,NDA Programs"," Housing","Rego Park Center","Queens","PS 015 PATRICK F. DALY (K015)","(718) 592-5757","Adults","93 29 Queens Boulevard
Queens, NEW YORK 11374
(40.726464917022, -73.861480847563)","40.73147","-73.866044","6","29","71702","4050408","4020770050","Rego Park                                                                  ","11374"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Mount Hope Community Center","Bronx","Dr. White Community Center","(718) 446-3600"," High School","55 175th Street
Bronx, NEW YORK 10453
(40.847312989377, -73.911364754436)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Lt. Joseph P. Kennedy, Jr. Memorial Community Center","New York","Council of Jewish Organization of Flatbush, Inc.","(212) 371-1011","Adults","34 134 Street
New York, NEW YORK 10037
(40.812765068123, -73.939817555307)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","San Andres Church","Bronx","Mirabal Sisters Cultural and Community Center Office Space","(718) 542-0006","Seniors","351 Soundview Avenue
Bronx, NEW YORK 10473
(40.813006954452, -73.857389981858)","40.813278","-73.857646","9","18","2","2020476","2034730030","Soundview-Castle Hill-Clason Point-Harding Park                            ","10473"
"Family Support,NDA Programs","Healthy Families","Asian Americans for Equality","Queens","Aquinas Housing for Seniors","(212) 979-8381",,"133 04 39th Ave
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   ","11354"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","I.S. 126- Astoria Intermediate School","Queens","Jacob Riis Neighborhood Settlement","718.204.6797","grades 6 to 8","31 51 21st Street
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    ","11106"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Inwood Community Services, Inc.","New York","Inwood Community Services, Inc.","(212) 942-0043 x 126","16+","651 Academy Street
New York, NEW YORK 10034
(40.866018005307, -73.924772644837)","40.866001","-73.924777","12","10","291","1081917","1022340001","Marble Hill-Inwood                                                         ","10034"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Crown Heights Jewish Community Council","Brooklyn","IS 281 JOSEPH B CAVALLARO (K281)","(718) 771-8808","Seniors","387 Kingston Ave
Brooklyn, NEW YORK 11225
(40.665762628592, -73.942503354999)","40.665708","-73.942532","9","35","333","3034315","3013000010","Crown Heights South                                                        ","11225"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Fredrick Douglas Academy VI High School","Queens","Grace Dodge Technical High School","(718) 523-6868","Middle School","821 Beach 25 Street
Queens, NEW YORK 11691
(40.601499504033, -73.762679723954)","40.60201","-73.762795","14","31","100802",,,"Far Rockaway-Bayswater                                                     ","11691"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Haber, Bernard Senior Houses","Brooklyn","South Brooklyn Legal Services, Inc.","(800) 624-8474","Seniors","2410 Surf Avenue
Brooklyn, NEW YORK 11224
(40.573583396163, -73.990819353324)","40.573651","-73.990904","13","47","352","3322050","3070700001","Seagate-Coney Island                                                       ","11224"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","Bronx","SoBRO","(718) 292-3113 x 7611","16+","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             ","10455"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Jackson Heights","Make the Road New York","718-418-7690 X 205 ","Adult","92 10 Roosevelt Avenue Jackson Heights
NEW YORK,  13372
(40.751979000031, -73.882823999928)","40.748623","-73.874487","4","21","469","4038783","4015500020","Elmhurst                                                                   ","11372"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","MS 35- Decatur Clearpool School","Brooklyn","Stanton Heiskell Center","212.817.2106","grades 6 to 8","272 McDonough Street
Brooklyn, NEW YORK 11233
(40.681892092944, -73.935841631993)","40.681896","-73.935963","3","36","273","3047054","3016740011","Stuyvesant Heights                                                         ","11233"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 227 EDWARD B SHALLOW (K227)","Brooklyn","Highbridge Gardens","(718) 236-5266","Middle School","6500 16 AVENUE
Brooklyn, NEW YORK 11204
(40.621991704444, -73.994957377043)","40.62191","-73.995022","11","38","250","3133741","3055510018","Bensonhurst West                                                           ","11204"
"Family Support,NDA Programs","Fatherhood Initiative","FRIENDS Program","Bronx","Visiting Nurse Service of New York","212.794.9200","16 to 24","389 391 East 153rd Street
Bronx, NEW YORK 10455
(40.813535754971, -73.905355252043)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services  - Transition Center","Queens","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","629 Far
Queens, NEW YORK 11691
(40.600614338481, -73.762567774683)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA","718-646-1444","A parent 16 Years Old or Older ","1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             ","11235"
"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services","Brooklyn","Council of Jewish Orgainzations of Flatbush, Inc.","(718) 435-7585","Adults","130 Clarkson Avenue
Brooklyn, NEW YORK 11226
(40.655060832085, -73.955450664977)","40.655105","-73.955238","17","40","822","3116227","3050650021","Prospect Lefferts Gardens-Wingate                                          ","11226"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 8 - Luis Belliard School","New York","The Children's Aid Society","212-949-4917","A parent 16 Years Old or Older ","465 167 Street
New York, NEW YORK 10032
(40.838920516451, -73.936766910909)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YMCA of Greater New York / ELESAIR","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","229 14th Street
New York, NEW YORK 10011
(40.739101600703, -74.00098044652)",,,,,,,,,
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Tolentine-Zeiser Community Center/St. Ritas","Bronx","Good Companions Senior center","(718) 933-6935","Adults","2342 Andrews Avenue
Bronx, NEW YORK 10468
(40.86173644443, -73.90704037104)","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        ","10468"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Baruch Houses (Senior Building)","New York","I S 187 (K187)","(646) 201-4288","Seniors","72 Columbia Street
New York, NEW YORK 10002
(40.717388686578, -73.980017832764)","40.717007","-73.980268","3","2","1002","1078043","1003230001","Lower East Side                                                            ","10002"
"Family Support,NDA Programs","Healthy Families","Tompkins Housing Community Center","Brooklyn","Lafayette Estates","(718) 636-6906",,"736 Park Avenue
Brooklyn, NEW YORK 11206
(40.697955194281, -73.946193609096)","40.697972","-73.946128","3","36","25902","3324248","3017400001","Bedford                                                                    ","11206"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Sanctuary for Families","Manhattan","Sanctuary for Families","212.349.6009          ","All Ages","1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.705453000256, -74.006956000119)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Citizens Advice Bureau","Bronx","The Classic Center","(718) 293-0727",,"2925 Grand
Bronx, NEW YORK 10468
(40.867850652405, -73.899511666178)",,,,,,,,,
