"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Mastic Management LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","91-11 Rosevelt Avenue","1479","38","Queens","New building, commercial","General Contractor, hvac, electrical, etc.","$5,000,000.00","2018-12-01T00:00:00.000","11372","Queens 3","2021-09-26T09:18:55.000",,,,,,,,
"26 Court Associates LLC","RE Tax Service, LLC","718-222-3500","Esty@retaxservice.com","26 Court Street","250","1","Broorlyn","Commercial, alteration","fa̤ade, etc.","$11,000,000.00","2020-08-15T00:00:00.000","11242","Brooklyn 2","2021-09-26T09:18:55.000","40.693244","-73.990660","2","33","9","3002094","3002500001","Brooklyn Heights-Cobble Hill"
"107 North First Street Realty LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 599-4459","bgottlieb@tkwll.com","109 North 1st Street","2364","26","Brooklyn","Commercial, alteration","electrical, fire alarm, hvac, plumbing, mechanical, sprinkler, steel, elevator, asbestos, sidewalk","$3,600,000.00","2018-05-15T00:00:00.000","11249","Brooklyn 1","2021-09-26T09:18:55.000","40.715759","-73.962639","1","34","555","3062443","3023640026","North Side-South Side"
"932 Grand Street LLC","Tuchman, Korngold et. Al.","212 687-3747","bgottlieb@tkwlg.com","315 Maujer Street","3019","73","Brooklyn","Commercial new building","excavation, drainage and containment, structural steel, stair, concrete, foundation, fa̤ade, roofing, waterproofing, elevator, drywall, carpentry, electric, plumbing, sprinklers, fire alarm, hvac, painting, sidewalk, glazing","$4,600,000.00","2017-11-15T00:00:00.000","11206","Brooklyn 1","2021-09-26T09:18:55.000","40.712133","-73.936850","1","34","485","3070772","3030190073","Bushwick South"
"425 Westchester Fee Owner","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","423 Westchester Avenue","2362","25, 26","Bronx","Commercial renovation","concrete, plumbing, electric, hvac, etc.","$39,000,000.00","2019-06-02T00:00:00.000","10455","Bronx 1","2021-09-26T09:18:55.000","40.816467","-73.916068","1","17","71","2000000","2023620025","Melrose South-Mott Haven North"
"Lian Feng International LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinato@verizon.net","147-12 Roosevelt Avenue","5027","34","Queens","Commercial, Residential, New building","electrical, plumbing, heating, steel, etc.","$4,000,000.00","2019-03-30T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000","40.762653","-73.818237","7","20","1163","4113955","4050270034","Murray Hill"
"12 Ave Real Property","Law Offices of Thomas E.  Berinato","718 575-3400","tberinator@verizon.net","6301 12 Avenue","5739","1","Brooklyn","Commercial, retail, new building, residential","foundation, excavation, superstructure, plumbing, electrical, sprinkler, etc.","$25,000,000.00","2019-06-01T00:00:00.000","11219","Brooklyn 10","2021-09-26T09:18:55.000","40.628385","-74.002594","10","38","194","3345686","3057390001","Dyker Heights"
"102 Commerce Street BRK LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 599-4459","bgottlieb@tkwll.com","102 Commerse Street","507","1","Brooklyn","Commercial, alteration","Demolition, concrete, masonry, structural steel, misc metasl, rough carpentry, millwork, thermal and moisture protection, roofing, fireprofing, doors, frames and hardware, overhead doors and grilles, windows and stonefronts, framing & gypsum boards, acoustics ceilings, floor covering, epoxy, concrete finishing/sealer, fibergrass reinfirced plastic, painting, toilet partitions & accessories, conveyance, elevator, fire sprinklers, plumbing, mechanical electrical, data, voice & av systems, fire alarm, exterior/sitework","$240,000.00","2021-03-15T00:00:00.000","11231","Brooklyn 6","2021-09-26T09:18:55.000",,,,,,,,
"61st Street Building LLC","New York Grant Company","646 673-9709","marsha@nygrants.com","1649-1655 61st Street","5517","64, 65","Brooklyn","Commercial, Alteration, Addition to Existing Space","Concrete, Masonry, Structural Steal, Roofing, Electrical, HVAC, Sprinkler","$7,000,000.00","2019-08-19T00:00:00.000","11204","Brooklyn 12","2021-09-26T09:18:55.000","40.623549","-73.991333","12","44","242","3132079","3055170065","Borough Park"
"26 West 39th LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","24-28 West 39th St./19 West 38th St.","840","62, 63, 30","Manhattan","Commercial alteration","concrete, steelwork, electrical & plumbing","$80,000,000.00","2015-12-01T00:00:00.000","10018","Manhattan 5","2021-09-26T09:18:55.000",,,,,,,,
"Jerome and W Clark Retail LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","1325 Jerome Avenue","2856","53","Bronx","Commercial, retail, new building","shed, scaffold, crane, hoist, excavation, structural steel, foundation, shoring, concrete, ceramic tile, painting, elevator, plumbing, etc.","$7,750,000.00","2019-03-15T00:00:00.000","10452","Bronx 4","2021-09-26T09:18:55.000","40.838715","-73.918794","4","16","219","2129224","2028560053","Highbridge"
"Scholes Street Properties LLC","Tuchman, Korngold, Weiss, Leibman & Gelles, LLP","212 687-3747","bgottlieb@tkwlg.com","321 Scholes Street","3038","27","Brooklyn","New building, retail","Sprinkler, Fire Alarm","$2,500,000.00","2018-08-20T00:00:00.000","11201","Brooklyn 1","2021-09-26T09:18:55.000","40.709550","-73.935479","1","34","485","3070902","3030380027","Bushwick South"
"JSB Realty No. 2 LLC","Grunfeld & Associates LLC","718 284-9500","jay@grunlaw.com","78-15 Linden Boulevard","11376","23","Queens","Commercial, new building","steel, carpentry, masonry, hvac, roofing, electric","$6,685,000.00","2015-12-01T00:00:00.000","11414","Queens 10","2021-09-26T09:18:55.000","40.670300","-73.857025","10","32","6202","4617796","4113760023","Lindenwood-Howard Beach"
"Jamaica Queens LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","143-02 Jamaica Avenue","9983","1","Queens","Commercial, new building","GC, drywal, plumbing, etc.","$3,000,000.00","2018-09-25T00:00:00.000","11435","Queens 12","2021-09-26T09:18:55.000","40.702299","-73.811733","12","24","212","4442233","4099830001","Jamaica"
"Rockaway Hotel LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","120 Thatford Avenue","3522","32","Brooklyn","Commercial, hotel, new building","GC, masonry, roofing, etc.","$3,200,000.00","2018-07-15T00:00:00.000","11212","Brooklyn 16","2021-09-26T09:18:55.000","40.668882","-73.909567","16","41","906","3000000","3035220032","Brownsville"
"Margarita Davydov","Moseson & Associates Corporation","718 327-5779","yehudda_moseson@hotmail.com","80-15 188th Street","7266","56","Queens","Commercial, new building","general contractor, electric, plumbing, hvac","$3,000,000.00","2018-12-01T00:00:00.000","11432","Queens  8","2021-09-26T09:18:55.000","40.728773","-73.780947","8","23","1277","4000000","4072660056","Jamaica Estates-Holliswood"
"378 Schermerhorn Street LLC","Seiden & Schein PC","212 593-4545","taxincentives@seidenschein.com","100 Flatbush Avenue","174","23","Brooklyn","Commercial, retail, alteration","concrete, steel, electrical, carpentry,  plumbing, masonry, fa̤ade, flooring, hvac, etc.","$5,200,000.00","2020-05-01T00:00:00.000","11217","Brooklyn 2","2021-09-26T09:18:55.000","40.685511","-73.978525","2","33","39","3000603","3001740023","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"452 87 LLC","Lawrence J. Berger, P.C.","212-532-0222","jfriedman@ljbpc.com","450 87th Street","6050","28","Brooklyn","Commercial alteration","Plumbing, drywall, concrete, mansory, structural steel, fireproofing, woodwork, roofing, doors, hardware, gas, carpentry, ceramic tile, stone, elevator, hvac, tile setting/polishing, outlets, insulation, plaster & painting, etc.","$3,300,000.00","2018-04-01T00:00:00.000","11209","Brooklyn 10","2021-09-26T09:18:55.000","40.621408","-74.027719","10","43","160","3153755","3060500028","Bay Ridge"
"Northern 13770 Properties LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinator@verizon.net","137-70 Northern Boulevard","4977","48","Queens","Commercial, residential, new building","plumbing, general construction, electric, carpentry, painting, etc.","$10,000,000.00","2017-01-02T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000","40.763746","-73.828887","7","20","869","4112352","4049770048","Flushing"
"86 North 11th Owner LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwlg.com","86 North 11th Street","2296","4","Brooklyn","Commercial, retail, new building","steel, framing, hvac, electrical, plumbing, sprinkler, fire alarm","$81,504,145.00","2018-05-15T00:00:00.000","11249","Brooklyn 1","2021-09-26T09:18:55.000","40.721497","-73.957693","1","33","557","3000000","3022960004","North Side-South Side"
"SNL XX LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","4380 Bullard Avenue","5035","30","Bronx","Commercial, retail, new building","HVAC, concrete, metal,work, masonry, electrical, etc.","$8,500,000.00","2019-06-19T00:00:00.000","10466","Bronx 12","2021-09-26T09:18:55.000","40.899567","-73.858998","12","11","418","2000000","2050350030","Woodlawn-Wakefield"
"G & Z CPB Realty LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","131-78 40th Road","5060","38","Queens","Commercial, retail, hotel, new building","electrical, plumbing, hvac, etc.","$3,900,000.00","2020-04-15T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000","40.756725","-73.834705","7","20","871","4114943","4050600038","Flushing"
"WF Industrial IV, LLC","Anthony Como Associates","718 327-5779","acomo@nyrets.com","35-15 19th Avenue","814","10","Queens","Industrial New Building","steel, electrical, plumbing, sprinkler, windows, doors, elevator, carpentry, etc.","$300,000,000.00","2020-08-01T00:00:00.000","11105","Queens 1","2021-09-26T09:18:55.000","40.780124","-73.902028","1","22","10701",,,"Steinway"
"572 RT LLC","Seiden & Schein, P.C.","212 935-1400","taxincentives@seidenschein.com","572 Richmond Terrace","62","27","Staten Island","Commercial, New Building","Steel, Concrete, Masonry, Carpentry, Elevator, Plumbing, HVAC, Electrical, Painting, Title, etc.","$23,000,000.00","2019-06-01T00:00:00.000","10301","Staten Island 1","2021-09-26T09:18:55.000","40.645872","-74.091299","1","49","81","5001471","5000620027","West New Brighton-New Brighton-St. George"
"SIP Holdings Venture, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","70-24 20th Street","638","10","Brooklyn","Commercial, new building","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$51,000,000.00","2020-08-31T00:00:00.000","11232","Brooklyn 7","2021-09-26T09:18:55.000","40.665105","-73.998032","7","38","18","3336808","3006380010","Sunset Park West"
"Edenworks","John Bowman","310 804-1305","johnny@edenworks.com","181 Lombardy Street","2821","11","Brooklyn","Industrial, alteration","plumbing, electrical, hvac, painting, drywall, flooring, architectural, millwork, sprinkler, fire alarm","$4,400,000.00","2020-07-01T00:00:00.000","11222","Brooklyn 1","2021-09-26T09:18:55.000","40.723549","-73.933492","1","34","449","3069720","3028210011","East Williamsburg"
"Tiffany & Company U.S. Sales LLC","Herman Katz Cangemi & Clyne LLP","212 953-5000","wdubitsky@hkcclaw.com","727 Fifth Avenue","1292","69","Manhattan","Commercial, retail, alteration","excavation, foundation, steel, concrete, electrical, plumbing, hvac, sprinkler, windows, doors, roof, carpentry, etc.","$297,000,000.00","2019-05-01T00:00:00.000","10022","Manhattan 5","2021-09-26T09:18:55.000","40.762569","-73.974247","5","4","11202","1035792","1012920069","Midtown-Midtown South"
"East West Plaza LLC","Thomas E. Berinato, Esq.","718 575-3400","tberinato@verizon.net","44-15 College Point Blvd.","5102","1","Queens","Commercial, Residential, New Building","electrical, plumbing, hvac, etc.","$6,000,000.00","2021-04-01T00:00:00.000","11355","Queens 7","2021-09-26T09:18:55.000","40.753327","-73.832689","7","20","849","4115076","4051020001","Flushing"
"45th Street II Realty LLC","Lawrence J. Berger P.C.","212 532-0222","jfriedman@ljbpc.com","45-10 19 Avenue","775","23","Queens","Commercial, new building, alteration","windows, elevator, sprinkler, electric, floor, paint, demo, etc.","$5,874,000.00","2020-12-01T00:00:00.000","11105","Queens 1","2021-09-26T09:18:55.000","40.776128","-73.896413","1","22","12301","4014854","4007750023","Steinway"
"C + G Empire Realty, LLC","Moseson & Assoc.","718 327-5779","yehuda_moseson@hotmail.com","134-03 35 Avenue, Flushing","4949","46","Queens","Commercial, new building, hotel","hvac, electric, plumbing, etc.","$15,000,000.00","2018-08-01T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000",,,,,,,,
"5 Bay St. LLC","Triangle Equities","718 463-5757","bhenderson@triequities.com","5 Bay St.","1","58, 60","Staten Island","Commercial, retail, new building, hotel","demolition, site work, paving, fence, structural steel, waterproofing, millwork, iron, masonry, metal panel work, etc.","$132,100,495.11","2015-09-01T00:00:00.000","10301","Staten Island 1","2021-09-26T09:18:55.000","40.641476","-74.073976","1","49","3","5131766","5000010068","West New Brighton-New Brighton-St. George"
"135 West 50th Street Investors LLC","Seiden & Schein PC","212 935-1400","taxincentives@seidenschein.com","135 West 50th Street","1003","5","Manhattan","Commercial, retail, new building","concrete, steel, masonry, electrical, plumbing, mechanical, etc.","$143,000,000.00","2019-04-30T00:00:00.000","10020","Manhattan 5","2021-09-26T09:18:55.000","40.760374","-73.981533","5","4","131","1022708","1010030005","Midtown-Midtown South"
"Cook Equities LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","187 Cook Street","3117","42","Brooklyn","Hotel, new building","CM, masonry, plumbing, roofirng, etc.","$4,000,000.00","2018-08-01T00:00:00.000","11206","Brooklyn 1","2021-09-26T09:18:55.000","40.703031","-73.935708","1","34","485","3000000","3031170042","Bushwick South"
"Two Fulton Square LLC","Top 8 Construction","718 713-0232","tom.barone@fandtgroup.com","37-09 College Point Boulevqrd","4972","68","Queens","New building, residential","earthwork, foundation, site work, concrete, masonry, metals, hvac, elec.","$30,990,487.00","2016-09-16T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000",,,,,,,,
"640 Columbia Owner LLC","Marcus & Pollack, LLP","212 599-3167","jmarcus@marcuspollack.com","640 Columbia Street","612","99","Brooklyn","Commercial, new building","carpentry, plumbing, hvac, electrical, roofing, elevators, concrete, masonry, etc.","$54,000,000.00","2018-10-01T00:00:00.000","11231","Brooklyn 6","2021-09-26T09:18:55.000","40.670789","-74.008965","6","38","53","3394734","3006120099","Carroll Gardens-Columbia Street-Red Hook"
"Ying City Plaza Corporation","Law Office of Thomas E. Berinato","718 575-3400","tberinato@verizon.net","143-16 41 Avenue","5048","13","Queens","Commercial, Residential, New building","foundation, electric, elevators, plumbing, etc.","$10,000,000.00","2019-08-01T00:00:00.000","11355","Queens 7","2021-09-26T09:18:55.000","40.760056","-73.823301","7","20","855","4443459","4050480013","Flushing"
"Cooper 8200 Realty LLC","Lawrence J. Berger P.C.","212 532-0222","jfriedman@ljbpc.com","81-80 Cooper Avenue","3810","2","Queens","Commercial, alteration, addition to new building","joist, electric, floor, roofing, ac ducts, windows, sprinklers, doors, sound proofing","$4,446,500.00","2020-07-02T00:00:00.000","11385","Queens 5","2021-09-26T09:18:55.000","40.710325","-73.866836","5","30","637",,,"Glendale"
"628 FGH LLC","Dai & Associates PC","212 730-8880","lxyang@daiassociates.com","629 62nd Street","5793","64","Brooklyn","Commercial, Retail, New Building","electrical, plumbing, hvac, etc.","$20,000,000.00","2018-11-01T00:00:00.000","11220","Brooklyn 7","2021-09-26T09:18:55.000","40.636556","-74.014369","7","38","118",,,"Sunset Park East"
"Juste La Pointe LLC","Tuchman, Korngold, Weiss, Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwlg.com","113 Broadway","2471","13","Brooklyn","Commercial, retail, new building","electric, carpentry, roof, masonry","$5,000,000.00","2017-05-15T00:00:00.000","11211","Brooklyn 1","2021-09-26T09:18:55.000","40.710386","-73.964568","1","34","549","3000000","3024710013","North Side-South Side"
"215 N Partners LLC","D'Agostino, Levine, Landesman & Lederman, LLP","212 564-9800 ext. 414","jrivera@dagll.com","215 North 10th Street11211","2299","21","Brooklyn","Commercial, new building","Carpentry, Masonry, plumbing, electric, roofing, hvac, etc.","$12,570,742.00","2018-10-01T00:00:00.000","11211","Brooklyn 1","2021-09-26T09:18:55.000","40.718196","-73.953839","1","33","519","3329934","3022990021","North Side-South Side"
"Safeguard Properties III, LLC and MRA LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","101-21 101st Street","9419","49, 149","Queens","Commercial, new building","concrete, steel, electrical, hvac, plumbing, fa̤ade, windows, roofing, etc.","$7,500,000.00","2020-10-01T00:00:00.000","11416","Queens 9","2021-09-26T09:18:55.000","40.685192","-73.841445","9","32","112","4198339","4094190049","Richmond Hill"
"3025 Avenue U LLC","MGNY Consulting Corp.","718 522-111","michael@mgnyconsulting.com","3025 Avenue U","7339","49","Brooklyn","Commercial, New Building, Retail","electrical, plumbing, hvac, etc.","$2,775,000.00","2020-10-01T00:00:00.000","11229","Brooklyn 15","2021-09-26T09:18:55.000","40.600869","-73.937967","15","46","568","3199213","3073390049","Madison"
"548 W. 22 Holdings LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","548 West 22nd Street","693","59","Manhattan","Commercial, retail, alteration","elevators, plumbing, electric, carpentry, painters, etc.","$2,500,000.00","2021-03-01T00:00:00.000","10011","Manhattan 4","2021-09-26T09:18:55.000","40.747676","-74.006236","4","3","99","1012318","1006930059","Hudson Yards-Chelsea-Flatiron-Union Square"
"148 Classon LLC","Robert S. Altman Esq. PLLC","212 232-8713","rsalaw@nyctaxbreak.com","148 Classon Avenue","1895","42","Brooklyn","Industrial, commercial alteration","plumbing, electrical, carpentry, etc.","$4,000,000.00","2020-09-01T00:00:00.000","11205","Brooklyn 2","2021-09-26T09:18:55.000","40.695453","-73.961428","2","35","191","3054626","3018950042","Clinton Hill"
"4720 Third Avenue LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","4720 3rd Avenue","3042","13, 22, 28","Bronx","Commercial, retail, new building","excavation, concrete, masonry, carpentry, roofing, metals, electrical, plumbing, etc.","$30,000,000.00","2019-04-30T00:00:00.000","10458","Bronx 6","2021-09-26T09:18:55.000","40.859417","-73.891128","6","15","387","2011421","2030420013","Belmont"
"980 East 149th Propert LLC, Lot 175 Property LLC, 940 East 149th Property LLC, Nazareth Religious Craft LLC, TJ Palma Realty Partners LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","980 East 149th Street","2599","87, 175, 69, 61, 62","Bronx","Commercial, new building","Footing foundation, steel, electrical, plumbing, sprinkler, windows, doors, elevator, carpentry, flooring, water proofing insulation, roof, etc.","$360,000,000.00","2020-10-01T00:00:00.000","10455","Bronx 1","2021-09-26T09:18:55.000","40.806847","-73.902563","1","17","19","2117503","2025990087","Mott Haven-Port Morris"
"LIC Site B-1 Owner","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","28-10 Queens Plaza South","420","1","LIC","Commercial, retail, new building","concrete, steel, electrical, hvac, plumbing, etc.","$709,004,250.00","2016-12-01T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.749630","-73.938551","2","26","19","4000000","4004200001","Hunters Point-Sunnyside-West Maspeth"
"211 Schermerhorn Development LLC","Marcus & Pollack LLP","212 460-2900","jmarcus@marcuspollack.com","221-215 Schermerhorn Street","165","60","Brooklyn","Commercial, retail, new building","carpentry, plumbing, HVAC, electrical, etc.","$4,000,000.00","2017-02-21T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.688646","-73.985176","2","33","37","3397443","3001657501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"VP Capital Holdings LLC","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","77-39 Vleigh Place","6630","1","Queens","Commercial, new building","general contractor, electrical, plumbing, hvac, etc.","$22,000,000.00","2019-05-01T00:00:00.000","11367","Queens 8","2021-09-26T09:18:55.000","40.720012","-73.820601","8","24","77903","4000000","4066300001","Kew Gardens Hills"
"45-18 Court Square Owner LLC","Akerman LLP","212 880 3800","wendy.rossi@akerman.com","45-18 Court Square","84","11","Queens","Commercial, Alteration, Addition to Existing Space","General Contractor, Foundation, Concrete, Elevator, Fa̤ade Reconstruction, Electrical, HVAC, Telecommunications infrastructure, drywall, millwork, carpentry, tile, flooring, painting","$120,000,000.00","2019-09-01T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.745732","-73.943517","2","26","19","4441059","4000840011","Hunters Point-Sunnyside-West Maspeth"
"Nicotra Hotel II, LLC","Stempel Bennett Claman & Hochberg","212-681-6500","sskolnik@sbchlaw.com","1120 South Avenue","1725","510","Staten Island","Hotel, alteration","Asphalt/Landscaping, electrical, plumbing, masonry, hvac, roofer, carpentry","$10,000,000.00","2018-08-01T00:00:00.000","10314","Staten Island 2","2021-09-26T09:18:55.000","40.612403","-74.175490","2","50","29102","5151613","5017250510","New Springville-Bloomfield-Travis"
"31st Astoria Holdings LLC","SJP Tax Consultants, Inc.","7187678216","jp@sjpny.com","30-17 31st Street","615","30","Queens","Commercial, new building","demo, roofing, foundation, concrete, masonry, steel, railings, painting","$5,326,000.00","2017-07-01T00:00:00.000","11102","Queens 1","2021-09-26T09:18:55.000","40.766360","-73.921806","1","22","63","4000000","4006150030","Astoria"
"ZP Gunhill Road LLC","Moseson & Associates Corporation","718 327-5779","yehudda_moseson@hotmail.com","1920 Gunhill Road","4505","9, 1","Bronx","Commercial, New Building, Retail","Footing foundation, steel, electrical, plumbing, sprinkler, windows, doors, elevator, carpentry, flooring, water proofing insulation, roof security","$4,000,000.00","2019-04-01T00:00:00.000","10469","Bronx 11","2021-09-26T09:18:55.000","40.862504","-73.831384","11","13","310","2053521","2045050009","Allerton-Pelham Gardens"
"160 East 125th Owner LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","180 East 125th Street","1773","20, 27","Manhattan","Commercial, New Building, Retail","Fa̤ade, HVAC, Electrical, Plumbing, Carpentry, Painting, and others associated with the construction of a new building to be determined.","$135,000,000.00","2020-10-01T00:00:00.000","10035","Manhattan 11","2021-09-26T09:18:55.000","40.803942","-73.936413","11","8","196","1087605","1017730020","East Harlem North"
"1310 Myrtle LLC","Metropolitan Realty Exemptions, Inc.","718 387-3004","martin@mretax.com","1308-1310 Myrtle Avenue","3255","16, 17","Brooklyn","Commercial, new building","plumbing, electrical, etc.","$5,097,852.00","2020-10-01T00:00:00.000","11221","Brooklyn 4","2021-09-26T09:18:55.000","40.698245","-73.923686","4","37","421","3000000","3032550016","Bushwick South"
"ZL MACEDONIA LLC","Robert S. Altman, Esq., PLLC","212 232-8713","rsalaw@nyctaxbreak.com","37-16 Union Street, Flushing, NY 11354","4978","46","Queens","Commercial, new building","plumbing, electrical, carpentry, etc.","$51,000,000.00","2020-09-01T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000",,,,,,,,
"45 West Hotel Limited Partnership","Podell, Schwartz, Schechter & Banfield LLP","212 883-6500  x285","pgreco@pssb-law.com","43-49 West 35 Street","837","15","Manhattan","Commercial, hotel, retail, hotel, alteration","plumbing, electrical, hvac, carpentry, etc.","$7,000,000.00","2015-03-01T00:00:00.000","10018","Manhattan 5","2021-09-26T09:18:55.000","40.749766","-73.985636","5","4","84","1015888","1008370015","Midtown-Midtown South"
"BGY Cityview LLC","Seiden & Schein, P.C.","212 593-4545","jayseiden@seidenschein.com","23-15 44th Drive","437","5, 7, 8, 9, 10, 11, 13, 15, 20","Queens","Commercial, retail, new building","electric, hvac, steel, plumbing, etc.","$11,902,580.00","2018-11-01T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.747575","-73.944540","2","26","19","4005166","4004370005","Hunters Point-Sunnyside-West Maspeth"
"24 West 25th Street Property Investors IV, LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","24 West 25th Street","826","57","Manhattan","Commercial, Retail, Alteration","Fa̤ade, HVAC, Electrical, Plumbing, Carpentry, Painting, and others to be determinded","$5,500,000.00","2019-08-01T00:00:00.000","10010","Manhattan 5","2021-09-26T09:18:55.000","40.743383","-73.990004","5","3","58","1080686","1008260057","Hudson Yards-Chelsea-Flatiron-Union Square"
"2669 Atlantic Avenue LLC","MGNY Consulting Corp.","718 522-1112","michael@mgnyconsulting.com","149 New Jersey Avenue","3671","143","Brooklyn","Hotel, new building","general contractor, electrical, foundation, electrical, etc.","$4,500,000.00","2019-04-25T00:00:00.000","11207","Brooklyn 5","2021-09-26T09:18:55.000","40.676364","-73.895951","5","37","1198",,,"East New York"
"Justice Ave. Tower LLC","Moseson & Assoc.","718 327-5779","yehuda_moseson@hotmail.com","88-08 Justice Ave.","1842","37","Queens","Commercial, new building","excavation, shoring, masonry, electric, plumbing, sprinkler, HVAC, elevator, interior","$18,000,000.00","2016-01-06T00:00:00.000","11373","Queens 4","2021-09-26T09:18:55.000","40.736887","-73.875054","4","25","473","4596930","4018420039","Elmhurst"
"AJT Properties, LLC","Moseson & Associates Corporation","718 327 5779","yehuda_moseson@hotmail.com","4220 Arthur Kill Road","7315","1","Staten Island","Industrial, New Building","Foundation, HVAC, Electric, Steel, Plumbing, Sprinkler, Fire Alarm, Roof, Carpentry, Window Doors.","$5,000,000.00","2020-03-01T00:00:00.000","10309","Staten Island 3","2021-09-26T09:18:55.000","40.539428","-74.237497","3","51","226","5086780","5073150001","Charleston-Richmond Valley-Tottenville"
"1462 Atlantic Avenue LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","1462 Atlantic Avenue","1203","10","Brooklyn","New building, hotel","concrete, steel, electrical, carpentry, hvac, plumbing","$3,000,000.00","2015-09-15T00:00:00.000","11216","Brooklyn 8","2021-09-26T09:18:55.000","40.678085","-73.942943","8","36","313","3029869","3012030010","Crown Heights North"
"Brighton 11th Street LLC","MGNY Consulting Corp.","(718) 522-1112","michael@mgnyconsulting.com","50 Brighton 11 Street","8707","391","Brooklyn","Commercial, New Bulding","Electrical, carpentry, painting and others to be determined","$3,500,000.00","2018-11-15T00:00:00.000","11235","Brooklyn 13","2021-09-26T09:18:55.000","40.581356","-73.956720","13","48","61004","3245362","3087070391","Brighton Beach"
"207 Street Owner LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","3875 Ninth Avenue","2188","1","Manhattan","Commercial, retail, new building","carpentry, concrete, doors, excavtion, fence, fire alarm, fireproofing, heating, hvac, painting, plumbing, roofing scaffolding, waterproofing, etc.","$5,140,000.00","2019-06-01T00:00:00.000","10034","Manhattan 12","2021-09-26T09:18:55.000","40.864022","-73.916807","12","10","299","1089192","1021880001","Marble Hill-Inwood"
"Epic Tower LLC","Law Office of Thomas Berinato","718 575-3400","tberinato@verizon.net","41-62 Bowne St.","5181","40","Queens","Commercial, residential, new bldg.","boring tests, sidewalk, foundation, excavation, windows, door, demolition, asbestos","$18,000,000.00","2015-12-15T00:00:00.000","11355","Queens 7","2021-09-26T09:18:55.000","40.757918","-73.823000","7","20","857","4000000","4051810040","Flushing"
"Bay Plaza Hospitality Investors LLC","Akerman LLP","212 822-2211","djuro.villaran-rokovich@akerman.com","2300 Bartow Avenue","5141","810, 805","Bronx","Hotel, new building","concrete, fa̤ade, windows, doors, drywall, paint, elevator, mechanical, electrical, plumbing, fire protection, etc.","$25,560,367.00","2018-03-04T00:00:00.000","10475","Bronx 10","2021-09-26T09:18:55.000","40.868567","-73.821726","10","12","46201","2000000","2051410805","Co-op City"
"240 Broadway Property LLC","Seiden & Schein, P.C.","212 433-1400","taxincentives@seidenschein.com","240 Broadway","2140","13","Brooklyn","Commercial, Retail, Alteration","electrical, plumbing, hvac, etc.","$8,000,000.00","2020-07-01T00:00:00.000","11211","Brooklyn 1","2021-09-26T09:18:55.000","40.709086","-73.960096","1","33","525","3059648","3021400013","North Side-South Side"
