Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
ROVC Technische Opleidingen B.V.;;;;;;4;;;4
Royal Delft;;;;1;;;;;1
Rozenbeek Advocatuur;2;;;;;;;;2
RPS advies- en ingenieursbureau;;;;;;1;;;1
RPS Analyse B.V.;;;5;;;;;;5
RS Audio;;;;1;;;;;1
RS Components B.V.;;;;;;1;;;1
RTL Nederland B.V.;;;;;2;;;;2
Runnershigh;;;;;;1;;;1
S&S Sports B.V.;;;1;;;;;;1
S.B.I. Zonheuvel B.V.;;;;1;;;;;1
SafanDarley Eijsden B.V.;;;;;;1;;;1
Safaripark Beekse Bergen Vastgoed B.V.;;;;;;;2;;2
Safety Traffic Allround dienstverlening;;;1;1;;;;;1
SALT Amsterdam;;;2;;;;;;2
Sang Lee Rotishop;;;;1;;;;;1
Santon Holland B.V.;;;;;;1;;;1
Saskia Creations;;;;;;;1;;1
SBA-Academy B.V.;;;;;;1;;;1
SBI Formaat Opleiding en Advies B.V.;1;;;;;1;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;;;5;;;5
Scaffolding Training Europe B.V.;;;;;;3;;;3
Scania Nederland B.V.;;;;;;3;;;3
Schaak en Gowinkel Het Paard;;;;1;;;;;1
Scheidegger Opleidingen B.V.;;;;;;2;;;2
Schermer Wijnkopers;;;;1;;;;;1
Scherp in Veiligheid;;;;;;2;;;2
Schildersbedrijf de Kleermaeker;;;;1;;;;;1
Schoonmaeck Pulito;;;;1;;;;;1
Schott & Co;;;;;;1;;;1
Schouten & Nelissen Nederland B.V.;;;;;;2;;;2
Schulten Opleidingen & Certificeringen B.V.;;;;;;4;;;4
ScienceWorks B.V.;;;;;;1;;;1
Scos Software B.V.;;;;;;4;;;4
Scott Specialty Gases Netherlands B.V.;;;;;;1;;;1
Script Factory;;;;;;1;;;1
SCS Training & Consultancy B.V.;;;;;;2;;;2
SDL Netherlands B.V.;;;;;;1;;;1
Sdu Uitgevers B.V.;;;;;;2;;;2
Seagull International B.V.;;;;1;;;;;1
Seaside Sports B.V.;;;1;;;;;;1
Seats2Meet.com Utrecht B.V.;;;;;;1;;;1
Secu Drive Training B.V.;;;;;;1;;;1
SeeTrue Base Holding B.V.;;;;;;1;;;1
Semaphore;;;;;;2;;;2
Semper Pretiosus B.V.;;;;;;1;;;1
Sens2Sea B.V.;;;4;;;;;;4
SenseTek B.V.;;;;;;1;;;1
SENSO Retail B.V.;;;;;;;1;;1
September;;;;1;;;;;1
Set in motion B.V.;;;;;;;1;;1
Sfeer aan de muur;;;;1;;;;;1
SGS Intron Certificatie B.V.;;;1;;;;;;1
Shoe & Leather Repair Anica;;;;1;;;;;1
Sieben Recreatie B.V.;;;;;1;;;;1
Sigma-Aldrich Chemie N.V.;;;;;;1;;;1
Sikkema Verpakking;;;;;;;1;;1
Silersshop;;;;1;;;;;1
Silka Holiday Rentals B.V.;;;;;;;1;;1
Simon Levelt Breda B.V.;;;;;;1;;;1
Simonis Oude Visafslag B.V.;;;;;;;1;;1
Six Fingers B.V.;;;;;;2;;;2
Ski- en wakecenter In Plané;;;;;;;1;;1
Skilltrade B.V.;;;;;;1;;;1
Skydive SOLPHES;;;;;;1;;;1
Slaapschepen B.V.;;;;;;6;;;6
Slangevegt Exploitatie B.V.;;;;;;;1;;1
Sligro B.V.;;;;1;;;;;1
Sligro Food Group Nederland B.V.;;;;7;;;;;7
Slijterij bij Bert uw drankenspeciaalzaak;;;;;;;1;;1
Slijterij Herkert;;;;1;;;;;1
Slijterij Wijnhandel De Bodega;;;;;;;1;;1
Slimstock B.V.;;;;;;3;;;3
Smaak Enzo;;;;;;;1;;1
Smart Camels;;;;1;;;;;1
Smits Opleidingen Transport B.V.;;;;;;4;;;4
Snel-Braber Bathmen;;;;1;1;;2;;2
Snoepstore.nl;;;;;;;1;;1
SnowWorld N.V.;;;;;2;1;1;;2
SnowWorld Rucphen B.V.;;;1;1;1;;1;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;;5;;;5
SOBA Security Academy B.V.;;;;;;2;;;2
SOBA Security Opleidingen B.V.;;;;;;2;;;2
SODA Klusbedrijf;;;;;;4;;;4
Soesterduinen B.V.;;;;;;1;;;1
SolexSloten;;;;;;;1;;1
SOLUTIONS! vpr B.V.;;;;;2;;;;2
SOMA Exploitatie B.V.;;;;;;1;;;1
Sonnevelt Opleidingen B.V.;;;;;;1;;;1
SOS Solutions B.V.;;;;;;1;;;1
SOS Sport en Events B.V.;;;;;;;1;;1
SoSecure Academy B.V.;;;;;;4;;;4
Soul Expression;;;;;;2;;;2
Southpark Utrecht B.V.;;;;;;1;;;1
SpanSet Nederland B.V.;;;;;;2;;;2
SPAT Verandert B.V.;;;;;2;;;;2
Special Cargo Services B.V.;;;;;;2;;;2
Spido B.V.;;;;1;;;;;1
Spijz Eten & Drinken;;;;1;;;1;;1
Spilter Holding B.V.;;;;;;1;;;1
Sport Nu Westerland;;;;1;;;;;1
Sportbedrijf Deventer N.V.;;;;;1;;;;1
Sportfondsen Roosendaal B.V.;;;;;1;;;;1
Sportfondsen 's-Hertogenbosch B.V.;;;;;1;;;;1
Sportquest;;;;;;1;;;1
Sports Planet;;;;;1;;;;1
Sports/Bus.campus De Vechtsebanen Horeca B.V.;;;;;1;;;;1
Sporttainment Center De Uithof B.V.;;;;;1;;;;1
Spotlight Research;;;;;;1;;;1
Springer Nature B.V.;;;;;;1;;;1
SPRONG project- en bouwmanagement B.V.;;;;;;2;;;2
SPRUIT IN COMPANY TRAININGEN B.V.;;;;;;1;;;1
Spruyt Hillen;;;1;;;;;;1
Squashtime;;;1;;;;;;1
SRM Communicatie B.V.;;;;;;1;;;1
SRO Amersfoort B.V.;;;;;1;;;;1
SRS Consulting B.V.;;;;;;1;;;1
SSB B.V.;;;;;;2;;;2
St. Annastraat 10 B.V.;;;;;;1;;;1
Staat & Co Businessgifts B.V.;;;;;;1;;;1
Staatvandienst B.V.;;;;;1;;;;1
Stadion Alkmaar Beheer B.V.;;;;;1;;;;1
Stadsarrangement.nl;;;;;;;1;;1
Starlet DC;;;2;;;;;;2
Start2move B.V.;;;;;;1;;;1
Stay Safe BHV;;;;;;1;;;1
STC B.V.;;;;;;3;;;3
STC-KNRM B.V.;;;;;;3;;;3
Steam Advertising;;;;;7;;;;7
Stecher & Partners B.V.;;;;;;3;;;3
Steenstraat B.V.;;;;;;;1;;1
Stegman Groothandel B.V.;;;;5;;;;;5
Stelvio Coaching & Advies;;;;;;1;;;1
Stickerwinkel.com B.V.;;;1;;;;;;1
Stimag B.V.;;;;;;1;;;1
Stomerij Neptunus;;;;;;;1;;1
Story Sound;;;;1;;;;;1
Strandpaviljoen Bremerbaai;;;;;;;1;;1
Strijbosch B.V.;1;;1;;;;1;;1
STS B.V.;;;;;;1;;;1
Studiecentrum Minerva I.T.S., B.V.;;;;;;2;;;2
Studio De Clercq;;;;1;;;;;1
Studio Indruk;;;;;;;1;;1
Studio Visioen;;;;;;1;;;1
Studium B.V.;;;;;;3;;;3
Suijlen Sport Service;;;;;;;1;;1
Summit Sports B.V.;;;;;;;1;;1
Super Car Sunday B.V.;;;;;1;;;;1
Superflora B.V.;;;1;;;;;;1
Superfun B.V.;;;;;;;1;;1
Survival Limburg;;;;;;1;;;1
SV Land B.V.;;;;;5;;;;5
SVC SchoolvoorCoaching B.V.;;;;;;3;;;3
Sweco Vastgoedmanagement B.V.;;;;;;2;;;2
SWOOP;;;;;;2;;;2
Sybit;;;;;1;;;;1
t Caves;;;;;1;;;;1
t Dametje;;;;;;;1;;1
t Hoogt B.V.;;;;1;;;1;;1
t Oude Raadhuis;;;;;;;1;;1
t Oude Tolhuys B.V.;1;;;1;;;1;;1
t Riddershof;;;;1;;;;;1
t Sonnetje;;;;;;;1;;1
t Tussenstation;;;;;;;1;;1
t Wapen van Bunnik B.V.;;;;;;;1;;1
t Zusje Breda B.V.;;;;1;;;;;1
TaalPerfect.NL;;;;;;2;;;2
TACTGROUP;;;;;;2;;;2
Tafelen Rijsbergen B.V.;;;;;;;1;;1
TAG Icons B.V.;;;;;1;;;;1
TAG Movement B.V.;;;;;2;;;;2
TAGS Academy B.V.;;;;;;1;;;1
Take Ten B.V.;;;1;;;;;;1
Talent & Organisatie;;;;;;2;;;2
Tapavino;;;;;;;1;;1
Tapster B.V.;;;;;;2;;;2
Taqmedsolutions;;;;1;;;;;1
TAQT Training en Advies;;;;;;1;;;1
Taverne Zaal St. Joris;;;;;;;1;;1
TBM Technisch Bureau H.A. Muller B.V.;;;;;;1;;;1
Teambuilding Texel B.V.;;;;;;;1;;1
Teamvorm B.V.;;;;;;1;;;1
TEC / CAD College B.V.;;;;;;2;;;2
Techforce one;;;;;;2;;;2
Technical Consultancy and Training TC&T;;;;;;2;;;2
Technical Diving Equipment Pommec B.V.;;;;;;1;;;1
Technicom B.V.;;;;;;1;;;1
Technisch Bureau Magema B.V.;;;;2;;1;;;2
Technische Handelsonderneming Beerepoot B.V.;;;;;;1;;;1
TEDU-opleidingen;;;;;;2;;;2
Tekst en Plaat;;;;1;;;;;1
Teleflex Medical B.V.;;;;;;1;;;1
Tele'Train;;;;;;2;;;2
Tempelman Bedrijfskleding & Relatiegeschenken;;;;1;;;2;;2
Tempo-Team Employability B.V.;;;;;1;;;;1
Ten Have Consultancy B.V.;;;;;;2;;;2
Ten Heuvelhof;;;;;;1;;;1
Tennishal D'n Ouwe Toren;;;;;;;1;;1
Tentenverhuur De Weerd Voorst;;;;2;;2;;;2
Terpstra Muziek B.V.;;;;1;;;;;1
Test and Training Centre De Goud. Stand. B.V.;;;;;;4;;;4
Testo;;;;;;1;;;1
Tetrix Bedrijfsopleidingen B.V.;;;;;;7;;;7
Textielcompany;;;;1;;;1;;1
Tezet Business Gifts B.V.;;;;1;;;1;;2
The Asia Connection B.V.;;;;;;1;;;1
The Change Studio B.V.;;;;;1;;;;1
The China Agenda;;;;;;1;;;1
The Creative Mill B.V.;;;;;;1;;;1
The Gear Company B.V.;;;1;;;;;;1
The Glasshouse B.V.;;;;1;;;;;1
The Pancake Bakery B.V.;;;;;;1;;;1
The Readshop;;;;1;;;;;1
the Recharge Company;;;;;;2;;;2
The Startup Agency B.V.;;;;;;2;;;2
Thepractise.Com B.V.;;;;;;2;;;2
Thermae Son B.V.;;;;;1;;;;1
Thialf B.V.;;;;;1;;1;;1
ThiemeMeulenhoff B.V.;;;;;;1;;;1
THP Opleiding en Training;;;;;;4;;;4
Throwing Snowballs;;;;1;;;;;1
TiasNimbas Business School;;;;;;3;;;3
TieConcepts;;;;1;;;;;1
Tierolff Muziekcentrale B.V.;;;;1;;;;;1
Tili;;;;;1;;;;1
Time-Lines.NL B.V.;;;;;;1;;;1
Tinley Academie B.V.;;;;;;1;;;1
TNS Nipo B.V.;;;;;1;;;;1
Tolk- en Vertaalcentrum Nederland;;;;;;1;;;1
Tony's Chocolonely Nederland B.V.;;;;;;;1;;1
Top Art International;;;;1;;;;;1
Top Sportprijzen B.V.;;;;;;;1;;1
Topcon Positioning Netherlands;;;;;;1;;;1
Topgeschenken Nederland B.V.;;;;1;;;1;;1
Topgiving B.V.;;;;1;;;;;1
Topsportplaza Breda B.V.;;;;;;;1;;1
Total ESD Solutions;;;;;;2;;;2
Touw;;;;;;2;;;2
Touw Timmer en Montage;;;;;;3;;;3
Tower Leisure B.V.;;;;;;;1;;1
Train je Team;;;;;;1;;;1
Training and Development Document Security;;;;;;1;;;1
