Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ specifiek;Eindtotaal
Suraya de Leeuw photography;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Swartlicht;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Sweco Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Synergy Internation. Systems Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
't Goude Hooft Exploitatie B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
't Hof van Eten;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
T. Antonakos;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Taarten.nl B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tabasco;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Talent123;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Tangram Automatisering Bv Zeist;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Tapperij Atjeh;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Taverne Meer en Bosch B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Taxibedrijf Van der Wijst;;;;;;;;2;;;1;;;;;;1;;;;;1;;;;2;;;3
TBK Technisch Aannemer;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
TDNL Strafrechtadvocaten;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
Te Werve B.V.;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;2
TEAMWORK;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Techn. Inst.bur. F.M. van den Dop & Zn B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Technisch Bureau Verhagen B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Technolab B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tekstenzo;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Tele'Train Education II B.V.;;;;;4;;;;;;;;;;;;;;;;;1;;;;;;;4
Telstar Uitgeverij B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tempo-Team Uitzenden;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Teylers Museum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
The Benjamin New York;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
THE BOULEVARD ARJAAN BY ROTANA;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
The Commons Den Haag B.V.;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1
The Commons Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
The Dupont Circle Doyle Hotel Group USA Limited;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
The Hague Marriott;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1
The Head Office Consulting;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1
THE INDIAN HOTELS CO. LTD. THE TAJ MAHAL PALACE MUMBAI;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
The New How;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
The Ravestijn Gallery B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
The Room of Listening;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
The Set Company B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
The Square Mile Public Sector Training B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Tijdloos Theater- en Muziekproducties;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Tilkema Horeca B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
TimeChimp;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1
Timmermans Opleidingsconsultancy;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Tindemans Translations B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
TMF Netherlands B.V.;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;4
TNO B.V.;;;;;;;;;2;;4;;;;;;;;;;;3;;;;;;;4
Toko Asli B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Tonco Modderman Training & Advies;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Topa Verpakking B.V.;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1
Topgeschenken Nederland B.V.;;1;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Topper Verpakkingen;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Tornak Groep B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Total Care Store Heerhugowaard;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Tower Leisure B.V.;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1
train2work B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Tramrestaurant Hoftrammm B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Transamerica Comercial E Servicos Ltda Sao Paolo;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Transip B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Tri Tunggal;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
TriamFloat B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
TRIBES Holding B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1
Troje Training en Theater;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
TWO4C;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
U2pi B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
UF De Schilde B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Uitgeverij Balans;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Uitgeverij Lecturis B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Uitgeverij Van Zoetendaal;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Uitjes in Holland;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
UNDP/PNUD;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
UniCarriers Netherlands B.V.;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1
Unicum Elzenhagen B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Upstream Gallery;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
UrbanGuides;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Valerie Kuypers Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Valsplat B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Van de Bunt, Advis. v. Org. en Beleid B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Van de Haterd Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Van der Meer Tours/Tournado B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Van der Valk Hotel Bijhorst;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Van Dijk Zakelijk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
van Hemmen;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Van Heugten Tours;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Van Hulzen Communicatie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Van Kappel Security Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Van Rijn-Dewina Praktijk B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Van Slobbe B.V.;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;2
VCK Travel B.V.;4;;1;;1;1;;8;1;;;;;;;;;;;;;1;;;;1;;;8
Veenerick V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Venduehuis der Notarissen te 's-Gravenhage;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ver. v. Corp. Real Estate Manag. Execut.;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1
Verdraaide Organisaties B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vereniging Bedrijfscollecties Nederland;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vereniging SANEC Emea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Vereniging VNO-NCW;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;;;2
Verliefd op Vrijheid;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Veronica Cars Nv Leefdaal;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vertaalbureau Egas Repáraz;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Vertaalbureau 'I.V. I.';;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Vertaalbureau Keijzer;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
VerversAdvies B.V.;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;3
Verybz;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;2
Victor de Stuersstichting;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vijverberg Interim B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
VILLA K�LLHAGEN;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Village Ridge Boutique Hotel Pretoria;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Vincent's Management B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Virtual Sciences Solutions B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Vision Brands;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Vital Change B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;1
Vlaardingse Taxicentrale B.V.;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;;1
VNSG Diensten B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vocale Communicatie Training Elizabeth Ebbink;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Vodafone;;;;;;;;;;;;;;;;;;;;6;4;;;;;;;;7
Vodafone Libertel B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Voedingsbodem;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Voor Tekst;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Vossen Chocoladewerken;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
W.P. Joh. de Liefde & Zn.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Waag Leiden B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Waardebron Bilthoven;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;2
Warung Bude Kati;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
We Like Art Amsterdam;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Webbeat Products B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Wendy van Leusen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Werklust;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
WFP - World Food Programme;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Wicked Jazz Sounds;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Wilmar Photography;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
WIM managementtrainingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
WITh Accountants B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Wonderbox NL B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
World Forum Convention Center N.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;2
World Resources Institute Washington D.C.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Worldmeetings.com B.V.;;;;;2;1;;3;;;2;;;;;;;;;;1;3;;;;5;;;6
Xerox (Nederland) B.V.;;;;1;1;1;;1;;;1;;1;;1;;;;;;1;2;;;;1;4;;4
XL10 Training B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
XpatCoach;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;2
Xportwise;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
XWebinar.nl;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Yearth B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
YESGIFTS.NL B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Your Choice Catering;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Yuan Massage;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Zandhof B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Zebedeus Café-Restaurant;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Zero10 Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ZIC ZERP;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
ZijSpreekt;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ZINWAARTS;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Zorg voor Party;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Zumpolle Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Zzamen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Eindtotaal;7;6;2;5;7;5;2;8;4;4;7;7;1;5;4;4;7;1;9;7;10;7;1;5;6;6;5;2;11
