Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
Huf en Go Tuk Tuk den Haag;;;;;1;;;1
Hugo Lumens Interactiemanagement;;;1;;1;;;1
Huib Koeleman;;;;;1;;;1
Huis in Danba;;;;;1;;1;1
Huis van Bewaring Bed & Breakfast;;;;;;;1;1
Huisaanhuis.nu;;;1;;;;;1
Huisman L.;;;;;;;1;1
Huisman Tweewieler B.V.;;;;;;;1;1
Huize Molenaar Cuisinier;;;1;;;;;1
Hulshof Tcp;;;;;1;;;1
Hulst Verzuimpreventie en Reïntegratiebegeleiding;;1;1;;;;;1
Human Ability Medisch Advies;;;1;;;;;1
Human Company;;;1;1;1;;;2
Human Factors;;;;;1;;;1
Human Quality Management;;;;;2;;;2
Human Resultancy;;;;;1;;;1
Humanity House;;;1;;1;;;1
Humphrey's Restaurant;;;;;1;;;1
Husmans Arbeidsmarkt Advies;;;1;;;;;1
Hutten Exclusieve Catering;;;1;;;;;1
Huureendjes;;;1;;;;;1
Huurwel;;;;;;;1;1
Huyer Gelegenheidskleding (De Togamaker);;;1;;;;;1
HV Victoria;;;;;1;;;1
H-Weld;;;;;1;;;1
I. Brouwer;;;;;;;1;1
I. de Waal - van Wessem;;;;;;;1;1
I. Graaf;;;;;;;1;1
I. Hooykaas;;;;;;;1;1
I. Schilperoord;;;;;;;1;1
I. van Asselt;;;;;;;2;2
I.E. Troost;;;;1;;;1;1
I.T.O. PCO B.V.;;;;;;;3;3
Ibis Accor Hotels;;;;;1;;2;2
IBR Instituut Voor Bouwrecht;;;;;1;;;1
Icara;;1;1;;1;;;1
ICE Bureau voor Interculturele Evaluatie;;;;;1;;;1
ICM Holding;;;3;;4;;1;5
ICN Inpakcentrale;;4;2;;;;;4
Ictrecht;;;;;1;;;1
id Plein netwerk;;;;;1;;;1
Ideas4;;;;;1;;;1
IDOS grafische communicatie;;;;;1;;;1
I-Faculty;;;;;2;;;2
Igo Post Internationale Geschenken Organisatie;;1;1;;;;;1
IgrowthLegal B.V.;;;;1;;;;1
IIA Instituut van Internal Auditors;;;;;1;;;1
IIR Institute For International Research;;;;;2;;;2
IIR Technology;;;;;2;;;2
Ijsseltours Touringcarbedrijf;;;;;;;1;1
Ikea;;;1;;;;;1
IK-werk;;1;;;;;;1
Il Lago;;;1;;;;;1
Ilse Dekker Communicatie;;;1;;;;;1
Image Care;;;5;;;;;5
Imago Su Misura;;1;;;1;;;1
IMK-BPO Medezeggenschap;;;;;1;;;1
Impact R&D;;;;;;;1;1
Impero Romano Restaurant;;;;;;;1;1
Implacement;;;;;3;;;3
Impromex Technics/Ergoshop;;1;1;;;;;1
Impuls;;;;;;;1;1
Impulse Info Systems;;;;;2;;;2
Impulsus/CIEP Personal Quality&Results;;;;;2;;;2
Imre Leenhouts Nautic Consultancy;;;1;;;;;1
IMTC2;;;;1;1;;;2
Imtech (incl. Radio Holland, Bostec);;;;;1;;;1
In De Driehoek, Zalencentrum;;;;;2;;1;1
In Scéne;;;1;;1;;;1
In to autisme;;;;;1;;;1
Incentivo;;1;2;;;;;2
Incredible Years Nederland;;;;;1;;;1
Indigo Beachclub;;1;;;;;;1
Indonesisch Specialiteiten Restaurant Sari Djawa;;;;;1;;;1
Info Support;;;;;1;;;1
Info Training;;;;;1;;;1
Infoland, Intranet & Interneto;;;1;;1;;;1
Information Security Academy;;;;;3;;;3
InfraControl;;;;;1;;;1
ING Bank;;;1;;;;1;1
Inge I.B. Meyer Coaching & Training;;;;;1;;;1
Ingeborg Lunenburg Opleiding en Advies;;;;;1;;;1
Ingenium;;;;;1;;;1
Inholland Academy;;;;;1;;;1
Ink Stichting;;;1;;1;;;1
Inkesta;;;;;1;;;1
Inn2You;;;;;1;;;1
Innerland;;;;;1;;;1
InnerMatch;;;1;;1;;;1
Innovalor;;;;;1;;;1
Innovam;;;;;1;;;1
Inntel Hotels;;;;;;;2;2
Inpositie coaching & advies;;;;;1;;;1
Insights Internationaal;;;;;2;;;2
Insightsworld;;;;;1;;;1
Insolad;;;;;1;;;1
Inspearit (incl. CIBIT);;;;;2;;;2
Inspelen op de Zaak;;;;;1;;;1
Inspiratie in Werk;;;;;1;;;1
Inspiration Company Nederland;;1;;;2;;2;3
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;;1;;;1
Instituut Voor Arbeidsrecht;;;;;1;;;1
Instituut voor Juridische Opleidingen;;;;;1;;;1
Instituut voor Mediation en Familierecht Opleidingen;;;;;1;;;1
Instituut Werk En Stress;;1;;;1;;;1
Instruct;;;;;1;;;1
Intalent;;;2;1;4;;;4
Integraal.eu;;;;;1;;;1
Integratieve Training & Advies (Herman van Gemerden);;;;;1;;;1
Intelligent Learning Centre;;;;;2;;;2
Intend Centra voor Werk & Psyche;;1;1;;2;;;2
Inter Sport Gunneman;;;1;;;;;1
Interactive Acts;;;;;2;;;2
Interactive Perception;;;;;1;;;1
Interall;;;;;;;1;1
Intercash;;;;;;;1;1
Interflon Holland;;;1;;;;;1
Interfysiek;;;1;;;;;1
Interim Direct/Van der Wijst personenvervoer;;;;;;;1;1
Interim Masters;;;;;1;;;1
International Card Services;;;;;1;;;1
Interparking Nederland;;;;;;;1;1
Intersafe Groeneveld;;1;2;;1;;;2
Intershow;;;;;1;;;1
Intertoys;;1;1;;;;;1
into-ACT;;;;1;1;;1;1
Intop Zorgsector, Madiationtoets;;;;;1;;;1
Intratuin Groenprojecten Interieurbeplanting;;;1;;;;;1
Invloedrijk;;;;;1;;;1
Involve;;;1;;1;;;1
Inzetbaar Ambulante Dienstverlening;;;;;1;;;1
Inzicht;;;1;;2;;;2
IOD International association for Organisational and social Development;;;;;1;;;1
IP Computer Traning Centrum;;;;;2;;;2
Ipanema;;;1;;;;;1
IPD Instituut Voor Praktijkdiploma's;;;1;;;;;1
Ipma Nl;;;1;;;;;1
Iris Coaching & Training;;;;;1;;;1
Iris De Veer;;;;;1;;;1
Iris Optiek;;1;;;;;;1
Irodion Grieks Restaurant;;;1;;;;;1
Isala Klinieken;;;;;2;;;2
Istana Indonesisch Restaurant;;;1;;;;1;1
ISVW Instituut voor Wijsbegeerte;;;1;;1;;;1
It Fits;;;1;;;;;1
It Management Group;;;;;2;;;2
It Rains Fishes;;;1;;;;;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;1;1;;;1
ITAQ Interim Professionals;;;;2;;;;2
ITIP School Voor Leven en Werk;;;1;;2;;;2
ITIS incl. Quis Products;;;;;1;;;1
IVIO-Examenbureau;;;;;1;;;1
IVM Instituut voor Veiligheid & Milieu;;1;;;1;;;1
