;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Layalay B.V.;;;;1;;;;;1
LB Handel;;;;1;;;;;1
LDC Uitgeverij B.V.;;;;;3;;;;3
LDP International B.V.;;;;;2;;;;2
Le Connaisseur;;;;;;;1;;1
Le Ponpom;;;;1;;;;;1
Lean Consultancy Group B.V.;;;;;;1;;;1
Learn it B.V.;;;;;;3;;;3
Leba 'Bakker' Sport B.V.;;;1;;;;;;1
LED-visuals B.V.;;;;1;;;;;1
LeerKRACHTcoach.nl;;;;;;1;;;1
Leeuwendaal Advies B.V.;;;;;5;2;;;5
LEF Media;;;;;2;;;;2
Leica Geosystems B.V.;;;;;;1;;;1
Leidse Onderwijsinstellingen B.V.;;;;;;3;;;3
Leienplein 5-9 B.V.;;;;;;;1;;1
Leitz Service B.V.;;;;;;1;;;1
Lets Bloom;;;;1;;;;;1
Leuk! Eten & Drinken;;;;1;;;1;;1
L'Exception B.V.;;;;1;;;;;1
LifeGuard Health Services B.V.;;;;;3;;;;3
Lifemaxx B.V.;;;;;;;1;;1
LifeTec Group B.V.;;;;;;1;;;1
Lifo Benelux B.V.;;;;;;1;;;1
Liftinstituut B.V.;;;;;;1;;;1
Linde Gas Cryoservices B.V.;;;;;;1;;;1
Line Up Events;1;;;1;;;2;;2
Linge Zicht;;;;;;;1;;1
LION;;;;;;1;;;1
LMB Leusden B.V.;;;;;;1;;;1
Lokaal 58 B.V.;;;;;;2;;;2
Lous Fotografie;;;;;;;1;;1
Louwman Musea B.V.;;;;;;;1;;1
Loyalty Makers B.V.;;;;5;;;;;5
LPMW Lasinstituut B.V.;;;;;;1;;;1
LR Sound & Light;;;;;;;1;;1
LSSG B.V.;;;;;;2;;;2
LT Insights B.V.;;;;;;1;;;1
LTP Holding B.V.;;;;;6;;;;6
LTV (Leiderschap en Teamvorming);;;;;;;1;;1
Luchttechnisch Revis.-Bureau Van Elewout B.V.;;;;;;1;;;1
Luctra;;;;;;1;;;1
Lunchroom Royal Corner;;;;1;;;1;;1
maak de ander beter;;;;;;1;;;1
Maartenskliniek Research B.V.;;;;;;3;;;3
Maatschap Xpand Nederland;;;;;;1;;;1
Macovikim;;;;;1;;1;;1
Mad Multimedia;;;;;;3;;;3
Magna Entertainment;;;;;;;1;;1
Mainpress B.V.;;;;;;1;;;1
Makro Zelfbedieningsgroothandel;;;;;1;;;;1
Malipaard Verhuur B.V.;;;;;;1;1;;1
MAN Rollo B.V.;;;;;;2;;;2
Manchetknopen-Groothandel;;;;1;;;;;1
Manege Soethout;;;;;1;;;;1
Manhoef Fight & Fitness B.V.;;;1;;;;;;1
Mannies klussenbedrijf;;;;;;3;;;3
Manuputtij Holding B.V.;;;;;;;1;;1
Manutan B.V.;1;;1;1;;1;;;1
Marad Match*maker;;;;1;;;;;1
MarcelisDékavé B.V.;;;;1;;;;;1
Mare Holland B.V.;;;;;2;;;;2
Margrietbloembinders B.V.;;;;1;;;;;1
Maritime & More Solutions;;;;;;1;;;1
MARK Academy voor Levenskunst;;;;;;1;;;1
MARK IT ZERO;1;;;;;;;;1
Martinair Vestiging Vliegveld Lelystad B.V.;;;;;;1;;;1
Masha International;;;;1;;;;;1
Mastertent B.V.;;;;;1;;;;1
Match It;;;;;;;1;;1
Matdesign bierviltjes B.V.;;;;;;;1;;1
Maters & Hermsen Opleidingen B.V.;;;;;;1;;;1
MATTECH;;;;;;1;;;1
Maximum Alliances B.V.;;;;;7;;;;7
Maxon Motor Benelux B.V.;;;;;;1;;;1
MB Business Promotion B.V.;1;;;;;;;;1
MCenters;;;;;;1;;;1
Me4Care;;;;;;1;;;1
Meat and More;;;;;;;1;;1
Media Markt Apeldoorn B.V.;;;;1;;;;;1
Media Markt Zwolle;;;;;1;;;;1
Mediahuis Nederland B.V.;;;;1;;;;;1
MediaShot;;;;;;1;;;1
Mediat. & Train. Network The Lime Tree B.V.;;;;;;1;;;1
Mediationbureau 'Talking is Solving';;;;;;1;;;1
Medibox;;;;;;1;;;1
Medicalparts;;;;;;1;;;1
Meditel;;;3;;;;;;3
Medz Europe B.V.;;;1;;;;;;1
meereffect;;;;;;2;;;2
Meesterzaak;;;;;;1;;;1
Meet the Marines;;;;;2;;;;2
Meetingselect B.V.;;;;;;;;1;1
Mega Paintdiscount;;;;;;1;;;1
Memory Events B.V.;;;;;2;;;;2
Memory Group B.V.;;;;;3;;;;3
Mennens Amsterdam B.V.;;;;;;1;;;1
Mennens Groningen B.V.;;;;;;1;;;1
Mensely B.V.;;;;;6;;;;6
MEProductions;;;;1;;;1;;1
MeteoGroup Nederland B.V.;;;;;;1;;;1
METS Center B.V.;;;;;;1;;;1
Meurs HRM;;;;;5;;;;5
MG Energy Systems B.V.;;;;;;1;;;1
Micro Brouwerij De Rijpelaer;;;;1;;;;;1
Mijn Torpedoloods;;;;;;;1;;1
Mikrocentrum Activiteiten B.V.;;;;;;2;;;2
Mikrocentrum Opleidingen B.V.;;;;;;2;;;2
Military Master Models;;;;1;;1;1;;1
Millers;;;;1;;;;;1
Mind Cultivation;;;;;;2;;;2
Mipapo B.V.;;;;1;;;1;;1
Mirion Technologies (Dosimetry Services) B.V.;;;1;1;;;;;1
MK2 Audiovisueel B.V.;;;;;;2;;;2
Mmax Medisch-Lab.- Onderw. - Kant. meubilair;;;;;1;;;;1
MMS Communications;;;;;1;;;;1
Mobiel Casino Nederland B.V.;;;;1;;;;;1
Mobilit. Adv.bur. Apeldoorn (MAA-coaching);;;;;;1;;;1
Mobstacle;;;;;;;1;;1
Moestuin Maarschalkerweerd B.V.;;;;;;;1;;1
Mol Audiovisueel V.O.F.;;;;;;1;;;1
Monkey XL;;;;;;1;;;1
Monkland Productions;;;;;;1;;;1
Montana Snowcenter B.V.;;;;;1;1;;;1
Montopinto;;;;;;;1;;1
Monuta Uitvaartverzorging;1;;;1;;;;;1
Mooii Eten & Drinken B.V.;;;;1;;;;;1
Moon Horeca Exploitatie B.V.;;;;;;;1;;1
Moon HRM B.V.;;;;;1;;;;1
Mosa Aggregaten B.V.;;;;;;2;;;2
Motel Assen B.V.;;;;;;;1;;1
Motivaction International B.V.;;;;;2;;;;2
Motrac Intern Transport B.V.;;;;;;1;;;1
Mouwes Kosher Delicatessen;;;;1;;;;;1
Move a Mountain Bewustzijnstrainingen B.V.;;;;;;1;;;1
MPR Shops;;;;;;1;;;1
MSA Nederland B.V.;;;;;;1;;;1
MSA Safety Service GmbH Netherlands;;;;;;1;;;1
MSC Interim;;;;;;;1;;1
Mud Masters B.V.;;;;;4;;;;4
Mulder Motoren B.V.;;;;;;1;;;1
Mullerwenskaarten;;;;;;1;;;1
Multi Bier B.V.;;;;;;;1;;1
Multigift Relatiegeschenken B.V.;;;;1;;;1;;1
multiSim B.V.;;;;;2;;;;2
Muscle Power B.V.;;;1;;;;;;1
Museum Catering B.V.;;;;;;1;;;1
Museumcafe Gouda;;;;;;;1;;1
Music Shop Europe B.V.;;;;1;;;;;1
Muta Sport Nederland B.V.;;;1;;;;;;1
Muylkens Informatie Communicatie;;;;;;1;;;1
Muziekburo.nl;;;;;;;1;;1
Muziekcentrum van Gorp;;;;;;2;;;2
My Mepal B.V.;;;;;;;1;;1
My Motivation Insights B.V.;;;;;;2;;;2
My Productions B.V.;;;;1;;1;;;1
Mylaps;;;1;;;1;1;;1
N.V. Golf Exploit. Mij. Schipluid.;;;;;;;1;;1
N.V. Port of Den Helder;;;;;;1;;;1
Nationaal Parachutisten Centrum Teuge B.V.;;;;;;2;1;;2
Navingo B.V.;;;;;2;;;;2
NavTrain International B.V.;;;;;;2;;;2
NCOI Techniek Trainingen B.V.;;;;;;1;;;1
NCOI Trainingen B.V.;;;;;;1;;;1
NDC mediagroep B.V.;;;;1;2;;;;2
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;;1;;;1
Nederl. Acad. voor Arbeidswetenschappen B.V.;;;;;;3;;;3
Nederlands Congres Bureau;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;2;;;2
Nederlands EMDR Instituut;;;;;;1;;;1
Nederlands Loodswezen B.V.;;;;;;1;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;;5;;;5
Nederlandse Triathlon Bond;;;1;;;1;;;1
NEDFAC B.V.;;;;;;2;;;2
Nedvan Projectverhuizingen Facility Solutions;;8;;;;;;;8
Negometrix B.V.;;;;;;2;;;2
Nel Entertainment V.O.F.;;;;;;1;;;1
Nell import;;;1;;;;;;1
Nespresso Nederland B.V.;;;;1;;;;;1
Nestas Communicatie B.V.;;;;;1;1;;;1
Neth. Inst. for Adv. Study in the hum. and ss;;;;;;1;;;1
Netherlands Maritime Technology B.V.;;;;;;1;;;1
Neuland Nederland;;;;;;1;;;1
Neve Design B.V.;;;;;;2;;;2
NeVeTe;;;;1;;;;;1
NEVI-Purspective B.V.;2;;;;;5;;;6
New Skool Media B.V.;;;;;2;;;;2
Newa Techniek B.V.;;;;;;1;;;1
NEXT Corporate Innovation B.V.;;;;;;1;;;1
Next Step Management B.V.;;;;;;1;;;1
NIBHV B.V.;;;;;;1;;;1
Nicothe;;;;1;;;;;1
Nieuwe Sporen;1;;;;;;;;1
Nieuwe Tijd;;;;1;;;;;1
Nieuwenburg V.O.F.;;;;1;;;;;1
Nieuwhuis Consult B.V.;;;;;;1;;;1
Nikko Sports;;;1;;;;;;1
Nina's keuken;;;;;;;1;;1
Nivoo Opleidingen B.V.;;;;;;1;;;1
Njoy WorkLife;;;;;;1;;;1
NLTactical;;;;1;1;1;2;;2
NMP;;;;1;;;;;1
Noloc;;;;;;2;;;2
Non Plus Ultra;;;;;;;1;;1
Noordhoff Uitgevers;;;;;;2;;;2
Noordkop Gifts;;;;1;;;;;1
Noorloos Specialist Equipment B.V.;;;;;;1;1;;1
NOSCERE;;;;;;1;;;1
Noten Organisatieadvies;;;;;2;;;;2
Notuleerservice Nederland B.V.;;;;;1;;;;1
noviostores.nl;;;;;;1;;;1
Novitas Heritage;;;;;;;1;;1
NRC Handelsblad Weekeditie voor buitenland;;;;1;;;;;1
NTI B.V.;;;;;;2;;;2
Nu-Swift Brandbeveiliging B.V.;;;;;;1;;;1
Nyenrode Services B.V.;;;;;;2;;;2
Oase Beach Exploitatie B.V.;;;;;;;1;;1
OBI4wan B.V.;;;;;;1;;;1
Oerlikon Metco Europe GmbH;;;;;;1;;;1
Oesterdam;;;;;;;1;;1
OGZ B.V.;;;;;3;;;;3
Oh My! wheels;;;;;;;1;;1
Old Dutch Sports Bar & Grill B.V.;;;;;;;1;;1
Olea Nuts;;;;1;;;;;1
Olivetta Biking;;;;;;;1;;1
Omicron Defence Supplies B.V.;;;;;;1;;;1
Omnicom Public Relations Group B.V.;;;;;2;;;;2
Onlineafspraken.nl B.V.;;;;;2;;;;2
Oogenlust;;;;1;;;1;;1
Oostendorp Muziek B.V.;;;;1;;;;;1
Op Drift Teamontwikkeling;;;;;;2;;;2
Op Noord B.V.;;;;;;;1;;1
Open Ateliers B.V.;;;;;;1;;;1
Open Studio B.V.;;;;;;2;;;2
