;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Guliker's Gas- en Oliehandel B.V.;1;;;;;;;;;;1
Gullimex B.V.;1;;;;;;;1;;;1
H & S Cleaning B.V.;1;;;;;;;;;;1
H&S Mode;1;;;;;;;;;;1
H.B.A.;;;1;;;;;;;;1
H.C.R. Lands End B.V.;1;1;;;;;;;;;1
H2K Brandweeropleidingen B.V.;;;2;;;;;;;;2
Haagse Taxi Mobilofoon Centrale B.V.;1;;;;;;;;;;1
Habermehl;1;;;;;;;;;;1
Habitat Solutions B.V.;1;;;;;;;;;;1
Habraken B.V.;;;;;;;;;1;;1
Haenel Kantoor en Magazijnsystemen;;;;;;;;;1;;1
Haesje Claes B.V.;;1;;;;;;;;;1
Hako B.V.;;;;;;;;;4;;4
Haltronic Electro-Installaties B.V.;;;;;;;;;7;;7
Hamag Magazijninrichting B.V.;1;;;;;;;;;;1
Hamer B.V.;1;;;;;;;;4;;4
HAMU Automaterialen B.V.;1;;;;;;;;;;1
Handelsmaatschappij Goos B.V.;1;;;;;;;;;;1
Handelsonderneming Beijer;1;;;;;;;;;;1
Handelsonderneming 'De Paander';1;;;;;;;;;;1
Handelsonderneming Dolco Kampen B.V.;1;;;;;;;;;;1
Handelsonderneming Van der Blij B.V.;1;;;;;;;;;;1
Handelsonderneming Van Huigenbos B.V.;;;1;;;;;;;;1
Handelsonderneming Vathorst;1;;;;;;;;;;1
Handelsonderneming 'Votex' Nijmegen;1;;;;;;;;1;;1
Hangop Entertainment;1;;;;;;;;;;1
Hannover Milieu- en Veiligheidstechniek B.V.;1;;;;;;;;;;1
Hanos Apeldoorn B.V.;;1;;;1;;;1;;;1
Hanos Heerenveen B.V.;1;1;;;;;;;;;1
HANOS-ISPC Breda B.V.;1;;;;;;;;;;1
Hans de echte Bakker B.V.;;1;;;;;;;;;1
Hanzehal;1;;;;;;;;;;1
Hape Aviation & Marine Service;2;;;;;;;;;;2
Hapers Tweewielers;;;;;;;;;1;;1
Happe en van Rijn Holding B.V.;1;;;;;;;;;;1
HappinessBureau;1;;;;;;;;;;1
Happy Day Tours;;1;;;;;;;;;1
Happy Meat B.V.;;1;;;;;;;;;1
Haprotech Lasopleidingen B.V.;1;;;;;;;;;;1
Harbers Trucks Barneveld B.V.;1;;;;;;;;;;1
Hart Beach B.V.;1;;;;;;;;;;1
Hartech Meet- & Testapparatuur B.V.;1;;;;;;;;;;1
Harting B.V.;1;;;;;;;;;;1
Hartwig Instruments B.V.;1;;;;;;;;;;1
Hatz-Nederland B.V.;1;;;;;;;;;;1
Haverkamp IJzerhandel;1;;;;;;;;;;1
Havic Kantoormeubelen B.V.;1;;;;;;;;;;1
Havik Auto;1;;;;;;;;;;1
H'Baron;;1;;;;;;;;;1
HBM Machines B.V.;1;;;;;;;;1;;1
Health2Work B.V.;1;;;;;;;1;1;;1
HeartMath BeNeLux B.V.;1;;;;;;;;;;1
Heemskerk Bloemisten;1;;;;;;;;;;1
Heeres Boat Service;;;;;;;;;1;;1
Heerlijkheid Marienwaerdt;;1;;;;;;;;;1
Heesbeen Feest Groep;;;;;;;;;1;;1
Heetkamp Orthopedische Schoentechnieken B.V.;;;;;;;;;1;;1
Heidelberg Benelux B.V.;;;;;;;;;1;;1
Heidenhain Nederland B.V.;;;;;;;;;1;;1
Heijkoop Projectstoffering;2;;;;;;;;;;2
Heijneman Medical B.V.;1;;;;;;;;;;1
Heijtech B.V.;1;;;;;;;;;;1
Heike Dierrijk Klinieken B.V.;;;2;;;;;;;;2
Heineken Nederland B.V.;;4;;;2;;;;1;;4
Heinen Tuincentrum B.V.;1;;;;;;;;;;1
Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;;;;;;1;;1
HeliCentre B.V.;1;;;;;;;;;;1
Helix Learning;1;;;;;;;;;;1
Héman Verhuurservice B.V.;;1;;;;;;1;;;1
Hemels Breda;;1;;;;;;;;;1
Hemels Lekker B.V.;;1;;;;;;;;;1
Hemstea Wijnen B.V.;;1;;;;;;;;;1
Herberg De Schutskuil;1;;;;;;;;;;1
Herpertz Kraanverhuur en Transport;1;;;;;;;;;;1
Herruer Holding B.V.;1;;;;;;;;;;1
Herten en Wilde Zwijnen B.V.;;1;;;;;;;;;1
Hertz Automobielen Nederland B.V.;1;;;;;;;;;;1
Herwers Nissan Zevenaar;1;;;;;;;;;;1
Herzog Medical B.V.;1;;;;;;;;;;1
Hesje.com B.V.;1;;;;;;;;;;1
Hessel's Toiletwagenverhuur B.V.;;;;;;;;;1;;1
Het Bergpaviljoen, proeftuin van A'foort B.V.;;1;;;;;;;;;1
Het Expeditiehuis B.V.;1;;;;;;;;;;1
Het Grootste Kennisfestival;2;;;;;;;;;;2
Het Kabinet, Eten en Drinken;;1;;;;;;;;;1
Het Meisje van Rustenburg;1;;;;;;;;;;1
Het Muziek Bos;1;;;;;;;;;;1
Het Nederlandse Rode Kruis;1;;;;;;;;;;1
Het Oude Stadhuis;;1;;;;;;;;;1
Het Portret Restaurant;1;;;;;;;;;;1
Het Rooster;1;;;;;;;;;;1
Het Scheepvaartmuseum Enterprise B.V.;;1;;;;;;;2;;2
Het Spreeuwken B.V.;1;;;;;;;;;;1
Het Zalmhuis B.V.;;1;;;;;;;;;1
Heuts Werkplaats;1;;;;;;;;;;1
Heuvelman Sound & Vision B.V.;;;;;;;;;1;;1
Hevel Vacuum B.V.;;;;;;;;;1;;1
HGA Sport V.O.F.;1;;;;;;;;;;1
HGN Europe;;1;;;;;;;;;1
Hiab Benelux B.V.;1;;;;;;;;1;;1
Hielkema Services & Calibration B.V.;;;;;;;;;1;;1
Hijsenenzo.nl B.V.;1;;;;;;;;;;1
Hilda B.V.;;4;;;;;;;;;4
Hildering Packaging B.V.;1;;;;;;;;;;1
Hilti Nederland B.V.;1;;;;;;;;;;1
Hippefruitmand.nl;1;;;;;;;;;;1
HippoLine B.V.;1;;;;;;;;;;1
HLC Wereld B.V.;;1;;;;;;;;;1
HMM Wasservice;;;;;;;;;1;;1
Hoarse Fashion;1;;;;;;;;;;1
Hobbit Imaging Software B.V.;1;;;;;;;;;;1
Hobrand B.V.;1;;5;;;;;;1;;5
Hoekstra Beroepsopleidingen B.V.;1;;;;;;;;;;1
Hof van Solms;;1;;;;;;;;;1
Hoffmann Quality Tools B.V.;1;;;;;;;;;;1
Hofman Top Sport B.V.;2;;;;;;;;;;2
Hogenboom Vakantieparken B.V.;1;;;;;;;;;;1
Hogeschool NOVI B.V.;1;;;;;;;;;;1
Hogrefe Uitgevers B.V.;1;;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;;;;;;;1
Holland Casino;1;;;;;;;;;;1
Holland Inbouw;2;;;;;;;;;;2
Holland Music Center;1;;;;;;;;;;1
Holland Tour Guides B.V.;;1;;;;;;;;;1
Holmatro Rescue Equipment;;;6;;;;;;;;6
Home Center Wolvega;1;;;;;;;;;;1
Homeij Nederland B.V.;1;;;;;;;;7;;7
Honden- en kattenhotel Pico-Bello;1;;;;;;;;;;1
Hondenhotel Maas en Waal;;;1;;;;;;;;1
Hoogeboom B.V.;1;;;;;;;;;;1
Hooghoudt B.V.;;1;;;;;;;;;1
Hoogsteder Elektrotechniek B.V.;1;;;;;;;;;;1
Hoogwerkerverhuur van der Voort B.V.;1;;;;;;;;1;;1
Horeca Cacaofabriek B.V.;;1;;;;;;;;;1
Horeca Exploitatie Maatschappij Zalmhuis B.V.;1;;;;;;;;;;1
Horeca Meent 108 B.V.;;1;;;;;;;;;1
Horeca Spoordonk B.V.;;1;;;;;;;;;1
Horeca World Europe B.V.;1;;;;;;;1;;;1
Horecaexploitatie Moeke B.V.;;1;;;;;;;;;1
Horecaheld;;1;;;;;;;;;1
Horecaslijperij Bloom B.V.;1;;;;;;;;1;;1
Horizon 66 B.V.;1;;;;;;;;;;1
Horst World Kitchen;;2;;;;;;;;;2
Hortus Flora;;1;;;;;;;;;1
Hotel Café Restaurant 'De Posthoorn';;1;;;;;;;;;1
Hotel De l'Europe B.V.;;2;;;;;;;;;2
Hotel De Zwaan B.V.;1;;;;;;;;;;1
Hotel Den Helder;;1;;;;;;;;;1
Hotel Ekamper B.V.;1;;;;;;;;;;1
Hotel Exploitatie Kerckebosch B.V.;;1;;;;;;;;;1
Hotel Indigo The Haque - Palace Noordeinde;;1;;;;;;;;;1
Hotel Keershuys B.V.;1;;;;;;;;;;1
Hotel Leeuwarden Centre B.V.;1;;;;;;;;;;1
Hotel Mitland;;1;;;;;;;;;1
Hotel Park Handelskade B.V.;;2;;;;;;;;;2
Hotel Post Plaza B.V.;;1;;;;;;;;;1
Hotel Restaurant 'in den Hoof';;1;;;;;;;;;1
Hotel Restaurant Princenhof;;1;;;;;;;;;1
Hotel Restaurant The Kettle B.V.;;1;;;;;;;;;1
Hotel Rozenburg B.V.;;;1;;;;;;;;1
Hotel Schylge B.V.;;1;;;;;;;;;1
Hotel Uden-Veghel Exploitatie B.V.;;1;;;;;;;;;1
Hotel Wieringermeer B.V.;;1;;;;;;;;;1
Hotel Zuiderduin B.V.;;1;;;;;;;;;1
Hotel-Café-Restaurant 'De Kroon';;1;;;;;;;;;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;1;;;;;;;;;1
Hotel-Restaurant 'Oud London';;1;;;;;;;;;1
House of Bloomz;;;;;;;;1;;;1
House of Lords B.V.;;1;;;;;;;;;1
Houthandel Wevers;1;;;;;;;;;;1
Hoza B.V.;1;;;;;;;;;;1
HPS Industrial B.V.;1;;;;;;;;;;1
HR Groep Streetcare B.V.;;;;;;;1;;;;1
HSK Interventie B.V.;;;;;;;;;1;;1
HTOI B.V.;1;;;;;;;;;;1
Hugen Brandbeveiliging en Adviesbureau B.V.;1;;1;;;;;;;;1
Hugo Verwijskliniek;;;1;;;;;;;;1
Huize Bergen B.V.;;1;;;;;;;;;1
Huize Molenaar B.V.;;1;;;;;;;;;1
Humphrey's Utrecht B.V.;;1;;;;;;;;;1
Hunter 4 all sports B.V.;1;;;;;;;;;;1
Huta Holding B.V.;1;;;;;;;;;;1
HvH Advocaten;;;;;;;;;1;;1
HWS;1;;;;;;;;;;1
Hydac B.V.;;;;;;;;;1;;1
Hydrauliekservice Utrecht B.V.;1;;;;;;;;;;1
Hyphen Holding B.V.;1;;;;;;;;;;1
Hytrans Systems B.V.;1;;;;;;;;;;1
I.C.S. (Industrial Cryogenic Services) B.V.;1;;;;;;;;;;1
I.T.C. Alles voor Uw Kantoor N.V.;1;;;;;;;;;;1
Ibouw Bouwmarkt B.V.;1;;;;;;;;;;1
ICS Cool Energy B.V.;;;;;;;;;2;;2
ICT Specialist B.V.;1;;;;;;;;;;1
Ideeon B.V.;1;;;;;;;;;;1
Identiteit & Diensten B.V.;1;;;;;;;;;;1
IDGift.nl;1;;;;;;;;;;1
i-did Den Haag B.V.;1;;;;;;;;;;1
i-did slow fashion B.V.;1;;;;;;;;;;1
IFM Ecom;1;;;;;;;;1;;1
Igop;1;;;;;;;;;;1
Igo-Post B.V.;1;;;;;;;;1;;1
Ik wil Graffiti;1;;;;;;;;;;1
Il Pozzo B.V.';;1;;;;;;;;;1
Il Vesuvio;1;;;;;;;;;;1
IM structural event engineering;1;;;;;;;;;;1
Image Sign V.O.F.;;;;;;;;2;;;2
Imaging People;1;;;;;;;;;;1
Imbema Cleton B.V.;;;;;;;;;1;;1
Imbema SMT B.V.;;;;;;;;;3;;3
Imhotep Promotions B.V.;1;;;;;;;;;;1
Impero Romano Holding B.V.;;1;;;;;;;;;1
In 't Groene Woud B.V.;;1;;;;;;;;;1
IN2 productions;2;;;;;;;;;;2
In2Content B.V.;2;;;;;;;;;;2
Inbody Europe B.V.;1;;;;;;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;;;;;;1
Incassobureau Plaggemars;1;;;;;;;;;;1
Indicium B.V.;1;;;;;;;;;;1
Indisch Restaurant Garoeda;1;1;;;;;;;;;1
Indonesia Indah;;1;;;;;;;;;1
Indonesisch Restaurant Poentjak;;1;;;;;;;;;1
Industrieel Klimmen B.V.;1;;;;;;;;1;;2
Informatiebord.nl B.V.;1;;;;;;;;;;1
Informatique Computers & Componenten;1;;;;;;;;;;1
Infrastructure Services & Projects B.V.;1;;;;;;;;;;1
ING Bank N.V.;1;;;;;;;;;;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;2;;;;;;;;;;2
Ingressus B.V.;2;;;;;;;;;;2
Initial B.V.;1;;;;;;;;;;1
Inkada B.V.;;;;2;;;;;;;2
Inkooptopper B.V.;1;;;;;;;;;;1
Inscentives Europe B.V.;;;;;;;;1;;;1
Insight Enterprises Netherlands B.V.;1;;;;;;;;;;1
Inspiratie op Locatie B.V.;;1;;;;;;;;;1
Instituut van Internal Auditors Nederland;1;;;;;;;;;;1
Int. Handelsonderneming 'Explora' B.V.;1;;;;;;;;;;1
InterActie - Sportbedrijf Ermelo;1;;;;;;;;;;1
Intercédé B.V.;1;1;;;;;;;;;1
InterConnect Services B.V.;1;;;;;;;;;;1
InterDuinen B.V.;1;1;;;;;;;;;1
Interflon Holland B.V.;1;;;;;;;;;;1
Interflow;;;;;;;;;2;;2
Intergamma Bouwmarkten Exploitatie B.V.;1;;;;;;;;;;1
International Music School Netherlands;1;;;;;;;;;;1
International Wellness Resorts B.V.;1;;;;;;;;;;1
Internedservices;1;;;;;;;;;;1
Interroutier Nederland B.V.;1;;;;;;;;;;1
Intersafe Netherlands B.V.;2;;;;;;;;2;;2
Interspiro B.V.;1;;;;;;;;;;1
Intertoys B.V.;1;;;;;;;;;;1
Intimus International Netherlands B.V.;1;;;;;;1;1;3;;3
Intramat Group;2;;;;;;;;;;2
Intratuin Apeldoorn B.V.;;1;;;;;;;;;1
Intratuin Barneveld B.V.;;;;;1;;;1;;;1
Intratuin Duiven;;;;;;;;1;;;1
Intratuin Pijnacker;;;;;;;;1;;;1
Intratuin Zoetermeer;1;;;;;;;;;;1
Ipar Industrial Partners B.V.;;;;;;;;;1;;1
IQ-Pass International B.V.;2;;;;;;;;;;2
Isero IJzerwarengroep;1;;;;;;;;;;1
Israel Producten Centrum;;1;;;;;;;1;;1
itsme B.V.;1;;;;;;;;3;;3
Iveco Nederland B.V.;1;;;;;;;;;;1
Iwena;1;;;;;;;;;;1
J.B.S. Handelsonderneming;3;;;;;;;;;;3
J.P. Beheergroep B.V.;2;;;;;;;;;;2
J.S. Tuin en Bosbouwmachines B.V.;1;;;;;;;;;;1
Jaarbeurs B.V.;1;;;;;;;;;;1
Jalema B.V.;1;;;;;;;;;;1
Jan Steen Heino B.V.;;1;;;;;;;;;1
Jansen International Trading B.V.;1;;;;;;;;;;1
Jansen Musical Instruments;1;;;;;;;;;;1
Janssen Sound & Light;1;;;;;;;;1;;1
Janssens Kassasystemen;1;;;;;;;;;;1
Janus Vaten B.V.;;;;;;;;;1;;1
Jarp;1;;;;;;;;;;1
Jaspers Verhuur B.V.;1;;;;;;;;;;1
Javaanse catering Ramini;;1;;;;;;;;;1
JCB;1;;;;;;;;;;1
JCE B.V.;1;;;;;;;;;;1
JD Holding Alphen aan den Rijn B.V.;;;;;;5;;;;;5
Jeka Industriële Efficiency B.V.;1;;;;;;;;;;1
Jet Aviation Netherlands B.V.;3;;;;;;;;;;3
JetSupport B.V.;1;;;;;;;;;;1
JF Music Productions;1;;;;;;;;;;1
JN Music;1;;;;;;;;;;1
Job Procleaning;1;;;;;;;;;;1
Johnson & Johnson Medical B.V.;1;;;;;;;;;;1
Jongsma Impresariaat;1;;;;;;;;;;1
Joosten B.V.;1;;;;;;;;;;1
Jörg Machines B.V.;;;;;;;;;1;;1
Jorny Products;;;;;;;;1;;;1
Joulz Infradiensten B.V.;1;;;;;;;;;;1
Juma International B.V.;1;;;;;;;;;;1
Jungheinrich Nederland B.V.;2;;;;;;;;6;;6
Jura Nederland B.V.;;;;;;;;;1;;1
Jura Service Factory B.V.;;1;;;;;;1;1;;1
Just Inspired Media;1;;;;;;;;;;1
K.I.G. Heerenveen B.V.;1;;;;;;;;;;1
K.M. A. Logistics and Textiles B.V.;;;;;;;;;1;;1
K.W.D. Sport B.V.;1;;;;;;;;;;1
Kabelbinders.nl;1;;;;;;;;;;1
Kalibra International B.V.;;;;;;;;;3;;3
Kaltenbach Tools B.V.;;;;;;;;;1;;1
Kamera Express;1;;;;;;;;;;1
Kamera Express Zwolle B.V.;1;;;;;;;;;;1
Kampeerwereld Hendriks B.V.;1;;;;;;;;;;1
Kantoor in Beweging B.V.;1;;;;;;;;;;1
Kantoorinrichter B.V.;1;;;;;;;;;;1
Kantoorstempels.nl B.V.;;;;;;;;;1;;1
Kapenga Wonen B.V.;;;;;;;;1;;;1
Karcher B.V.;1;;;;;;;;3;;3
Kasteel Oud-Poelgeest B.V.;;1;;;;;;;;;1
KATO Group B.V.;1;;;;;;;;;;1
Katreintje;;;;;;;;1;;;1
Keemink Integrale Veiligheid Management;1;;;;;;;;;;1
Kemet Europe B.V.;2;;;;;;;;1;;2
Kenbri Fire Fighting B.V.;1;;6;;;;;;;;6
Kennelbouw Exclusief V.O.F.;1;;1;;;;;;;;2
Kenter;;;;;;;;1;;;1
Kentie Nederland B.V.;1;;;;;;;1;2;;2
KES Zeewolde Holding B.V.;1;;;;;;;;;;1
Kessel Rental B.V.;;2;;;;;;;;;2
Ketelaar Sport Zevenaar B.V.;1;;;;;;;;;;1
Keylight Holding B.V.;1;;;;;;;;;;1
Keysight Technologies Netherlands B.V.;1;;;;;;;;;;1
Kicks Promo B.V.;1;;;;;;;;;;1
Kiekens Products B.V.;;;;;;;;;2;;2
KijkDaan B.V.;2;;;;;;;;1;;2
Kill Cliff Benelux;;1;;;;;;;;;1
Kimman Amsterdam B.V.;1;;;;;;;;;;1
Kindergarden Nederland B.V.;;;;;;;;;1;;1
King Nederland B.V.;1;;;7;;;;1;;;7
Kippers Rijssen B.V.;1;;;;;;;;;;1
Kistler B.V.;1;;;;;;;;;;1
Kitlv Press v. Inst. Taal-, Land- en Volkenk.;1;;;;;;;;;;1
Kitty's Heksenketel;;;;;;;;;1;;1
Kivo Petfood;1;;1;;;;;;;;1
Kiwi Electronics B.V.;1;;;;;;;;;;1
Klein Units B.V.;;;1;;;;;1;;;1
KleurPoeder B.V.;;;;;;;;;1;;1
Kliniek voor Gezelschapsdieren 'Kerkewijk';1;;;;;;;;;;1
Kloek Pallets Kampen B.V.;1;;;;;;;;;;1
KM Human Factors Engineering;1;;;;;;;;;;1
KM Nederland B.V.;1;;;;;;;;;;1
KNAL VERHUUR B.V.;1;;;;;;;;;;1
Knapzak Benelux B.V.;1;;;;;;;;;;1
KNMP Holding B.V.;1;;;;;;;;;;1
Kobatt Benelux B.V.;2;;;;;;;;;;2
Kocken Industrieovenbouw B.V.;1;;;;;;;;;;1
Kofferfabriek Gefken B.V.;1;;;;;;;;;;1
Koi Amersfoort B.V.;;1;;;;;;;;;1
Kolibri Labels B.V.;;;;;;;;2;;;2
Komfort B.V.;1;;;;;;;;;;1
Kompaan;;1;;;;;;;;;1
Komplett NL;2;;;;;;;;;;2
Koni B.V.;;;;;;;;;1;;1
Koninklijke Begeer B.V.;2;1;;;;;;;1;;2
Koninklijke Burgers' Zoo;1;;;;;;;;;;1
Koninklijke Fabrieken Posthumus B.V.;2;;;;;;;;;;2
Koninklijke Gazelle N.V.;;;;;;;;;3;;3
Koninklijke Scheepsagentuur Dirkzwager B.V.;1;;;;;;;;;;1
Koninklijke van der Most B.V.;;1;;;;4;;;1;;4
Kooi Trading B.V.;2;;;;;;;;;;2
Kooksoof B.V.;;1;;;;;;;;;1
Kop & Schoud. Conc. & Promot. Services B.V.;1;;;;;;;;;;1
Kors Hoogwerksystemen B.V.;;;;;;;;;1;;1
KPMG N.V.;1;;;;;;;;;;1
KPN B.V.;3;;;;;;;;;;3
KPN Consulting B.V.;1;;;;;;;;;;1
Kraan- en Hoogwerkerverhuur vd Brink B.V.;;;;;;;;;1;;1
Kragtwijk Catering B.V.;;1;;;;;;;;;1
Kralen en Kettingen Van Daalen;1;;;;;;;;;;1
Kranenspecialist B.V.;1;;;;;;;;;;1
Kraton Rosbeijer B.V.;1;1;;;;;;;;;1
Kreisler Import B.V.;1;;;;;;;;;;1
Krijtbordenservice;;;;;1;;;1;;;1
Kroezen Artwork;;;;;;;;1;;;1
Kroftman Structures B.V.;2;;;;;;;;;;2
Kroon B.V.;1;;;;;;;;;;1
KRSolar B.V.;2;;;;;;;;;;2
Kruis IJzerhandel B.V.;1;;;;;;;;;;1
Kruizinga B.V.;1;;;;;;;1;;;1
KS Hardware;1;;;;;;;;2;;2
Kubus Totaal;1;;;;;;;;;;1
Kuipers Gassen Eemnes V.O.F.;1;;;;;;;;;;1
