Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Auto Sturm Lease B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedr. Jos v. Boxtel 's-Hertogenbosch B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Bloemenkamp B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf Bochane B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Dago B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf de Jonge B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf 'De Waal' Gouderak B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1
Autobedrijf Dré;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Fijneman B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf Holsch B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf J. Maas Uithoorn B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Mulder V.O.F.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Nieuwendijk Amstelveen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Ouwerkerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf P. Verkerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf Park Honingen Prinsenland B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Pril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf R. Boer;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Sprinkhuizen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Vaassen V.O.F.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf van den Udenhout B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Van Der Heide;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Van Reenen;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autobedrijf Van Voorden Almere B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf W. Budel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autobedrijf Wierikx B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijf Wim Kok B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autobedrijven Dijkstra Lelystad B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autocleanbedrijf Kees van der Meer;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autohaas B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autohaas Lease;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoland Van den Brug B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Automatic Signal Rijsenhout B.V.;;;;;;;;;;;;;;3;;;;;;;;1;;;1;;;;1;1;;;;;;;3
Automatiseringsgids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Automator B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Automobielbedrijf Martin Schilder B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Automobielbedrijf P. en D. Broere B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Automotions Breda;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Automotive Publishing B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Autop Roermond B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autop Sittard;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autopallas Verhuur B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autorijschool Bruinsma B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autorijschool Espeldoorn;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autorijschool Rens de Geus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autoschade Groningen B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoschade Herstel Wibu;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoschade Leidsche Rijn B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoschade Splinter B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autotelex B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;2
Autoverhuur Ad Melissant B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;1
Autoverhuur Bultman B.V.;;;1;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoverhuur Doesburg B.V.;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoverhuur Rijnmond B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Autoverhuur Sloothaak B.V.;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Autoverhuur Van Kaam Zuid West B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;1
Autoverhuurbedrijf Tigchelaar B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Autowascentrum 'David';;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
AV Bloemsierkunst;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AV Onderzoek & Consult;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AV Partners;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
AV Point Europe B.V.;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2
Avans Hogeschool B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Avantes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
AvaTarZ Fun B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AVB Language Group B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
AVD Solutions;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
AVDD B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
AVEQ Creatieve Producties B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1
Avéro Achmea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Avetica B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
Aveve tuin dier hobby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Avex B.V.;;;;;;;;;;;;;;;;;;;1;1;;;2;2;;1;;2;1;2;;;;;;;3
Aviste B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
AW Kroeze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AwnettenWoude Mediation ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
AXA;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Axent Groen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Axians;;;;;;;;;;;;;;;;;;;;;;;;2;;4;2;;;1;;;;;;;4
Axiell ALM Netherlands B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Axtron B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Axxicom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Axyos B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AYDEM Facilitaire Diensten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Aziatisch Restaurant Azisa;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aziatisch Restaurant Jasmijn & Ik;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aziatische Bloemsierkunst V.O.F.;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Azion;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;;;;;;;;;;2
B & B Ambachtelijke Bakkerij B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B & B Autogroep;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
B & O Bakkerijtechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B & T Productions;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B & V Bedrijfshulpverlening B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
B & V Brandbeveiliging B.V.;;1;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
B Tax;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
B&B Aan de Werf;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B&B bij de jongens;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B&B Mollenvlied;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B&C Melissen Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B&D Creative;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;1;;;;;;;;;1
B&G Catering Service;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
B&G Hekwerk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B&S Vastgoed Nederland N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;5
B. Braun Medical B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
B. en S. Luxe Verhuur V.O.F.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
B. Kerkhof & Zn. B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
B. van Loon Groentechniek B.V.;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1
B.G. van den Boogaard Mus. and Magic Product.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.J. Bontekoe;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.J.H. Dierick Huisarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.L. Mulder B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
B.V. Aannemings- en Handelmij. Schapers & Zn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B.V. Aannemingsbedrijf Gebr. Van der Steen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
B.V. Alg. Boekh. en Antiquariaat H. De Vries.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;;;;;;;;;;;;;;1;;;;;;2;;;2;;;;;3;;;;4
B.V. Algemeen Verpakkings Centrum A.V.C.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
B.V. Autozaak.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.V. Bouwbedrijf Breumelhof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B.V. Bunkercentrale Bece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.V. Copes SNEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B.V. Doetam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Fryslan Miljeu Bedrijfsservice (Omrin);;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
B.V. Glashandel Markendaal;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2
B.V. Handelsond. Chem.hand. 'Vriesia';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
B.V. Haxpema;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Hotel Bel Air Den Haag;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. IJzerleeuw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.V. Installatiebureau A.L. van Wijlen;;;;;;;;;;;;;;1;;;;;2;2;;;;1;;;;;;2;;;;;;1;3
B.V. Jachthaven H. Geijsman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
B.V. Korthofah;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1
B.V. Leeuwbouw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
B.V. Loodgieters en Install.bedr. 'C.L.B.';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B.V. Ondernemingshuis Kantorenpark Sittard;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
B.V. Panorama Mesdag;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Perscentrum Nieuwspoort;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Princeville Exploitatie;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
B.V. Rovinij Adviesgroep;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Schildersbedrijf Noud van Bussel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
B.V. se Conduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
B.V. Sport;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Staafjes en Kegeltjes Instituut;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. 't Nest Regio Sevenum;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
B.V. Technisch Bureau Jacot;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;1;;;;;;;1
B.V. tot Expl. van het Landg. 'de Leperkoen';;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B.V. Uitgeverij SWP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;2
B.V. Weekbladpers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
B.V.D.A. International B.V.;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;1
B+B Vakmedianet B.V.;;;1;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;1;3
B2RT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
B3partners B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
B55;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BA Repair B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1
Baakbeeld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Baars Verhuis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Baas & Co.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babel B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babello Entertainment;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babo café;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babycompany.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babymand.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Babypark Kesteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bacchus Bistro;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bacco Perbacco;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bäckerei Derks GmbH & Co KG;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Backup Transport & Depot Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Badge Promotions B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Badhu B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Badoux Fietsen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bagels & Beans Vivaldi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
bagsandboxes;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bak Travel;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baker Tilly Berk Eindhoven;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;1;2
Bakers Architekten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakers Consult;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bakery Cafe Kottier;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Administratie, Coaching en Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Breggen Bakkerij B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Derks 'Der Deutsche Backer';;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Gerard;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Groenvoorzieningen B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;1;2
Bakker Professional B.V.;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;;;;;;2;2
Bakker Springs B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakker Van Maanen Productie B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Voskamp B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakker Wim;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij A.M.J. Verbeek;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Aelbers IJsselstein B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bakkerij Beerse B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Bongaards V.O.F.;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakkerij Bornhijm B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Broekmans B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij De Lekkerbek B.V.;;;1;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Bakkerij Deterd B.V.;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Bakkerij Drieslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakkerij Ercan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Gerards;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Hilvers B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Jansen en Terpstra;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Joop;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Jos Rood B.V.;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bakkerij Kaspers;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Korteweg;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Lubbers;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Menekse;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Nass;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakkerij Nazar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakkerij Nico en Aeltsje de Groot V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Nijkamp;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
bakkerij Piet Haaksma;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Pots;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Saada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bakkerij Schutte;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Schuurmans;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Slager V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij 't Zand B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij van den Berg;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij Van den Dobbelsteen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakkerij van Zuijlen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bakx & Meijer catering en organisatie;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Balans;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Balans & Impuls B.V.;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Balans International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Balansys B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Balhoofd B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baljon & Mora WOZ Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Balk Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Balkan Grill Boro;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Balkan Restaurant Makedonia;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BalkTrade B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Ballon Express 2.0 B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ballonnenservice.nl;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Balloons 2 Go B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bally's eten & drinken;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Balsobé Huidspecialisaties en Huidverzorging;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Balthazar Communicatie en Evenementen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BAM Bouw en Techniek regio Zuidwest;;;2;;;;;;;;;;2;1;;;4;;2;;;;;;;;;;;1;;;;;;;4
BAM Techniek - Fire Protection;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1
Bamihuisje;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Banana Pancakes;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bandenservice Poeder Roden B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BandZoeker Music B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bangarage Amsterdam;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;1;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
