2;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Pllek-NDSM B.V.;;;1;;;;;;1
Plok B.V.;;;1;;;;;;1
Pluc B.V.;;;;;1;;;;1
PM-groenwerk;;;;;1;;;;1
Polysport B.V.;;;1;;;;;;1
Ponderosa;;;1;;;;;;1
Pool-Café 'De Tapperij';;;1;;;;;;1
Post B.V.;;;1;;;;;;1
Postillion Deventer B.V.;;;;;;1;;;1
Postwagen Tolbert B.V.;;;;;;1;;;1
Potenco B.V.;;1;;;;;;;1
Powerstar One B.V.;;;1;;;;;;1
Prachtig B.V.;;;1;;1;;;;1
Prakt. voor haptotherapie Marleen van Leeuwe;;;;1;;;;;1
Praktijk Dialogos;;;;1;;;;;1
Praktijk Peetoom;;;;1;;;;;1
Praktijk psychotherapie en;;;;;1;;;;1
Praktijk voor Bewustzijnstraining;;;;1;;;;;1
Praktijk voor Haptotherapie Anke Berentschot;;1;;;;;;;1
Praktikos B.V.;;;;;1;;;;1
Prana Nederland B.V.;;;;;1;;;;1
Prego Zeilzwerven;;;1;;;;;;1
Premed Health Care (PHC) B.V.;;;;1;;;;;1
PreSafe B.V.;;1;;;;;;;1
Preston Palace B.V.;;;1;;;;;;1
Pricewaterhousecoopers B.V.;;;1;;1;;;;1
Privacy Company B.V.;;;;;2;;;;2
PROCentrum Tactics B.V.;;;;;5;;;;5
Process Minery B.V.;;;;;1;;;;1
Prodrive Technologies Engineering Serv. B.V.;;;;;2;;;;2
Proeflokaal België B.V.;;;1;;;;;;1
Proeflokaal De Gaper;;;1;;;;;;1
Proeflokaal Entrepothaven;;;1;;;;;;1
Proeverij de Roode Laars;;;1;;;;;;1
Prof. dr. P.J. van Koppen;;;;;1;;;;1
Profiel;;;;;2;;;;2
Progress Events B.V.;;;1;;;;;;1
Project B-Amsterdam B.V.;;;1;;;;;;1
Projob B.V.;;;;;1;;;;1
Promar Sales Rotterdam B.V.;;;1;;;;;;1
Promo Rent;;;1;;;;;;1
Promo Solutions;;;;;;1;;;1
Promostore Merchandising B.V.;;;;;;1;;;1
Protekt Nederland;;;;;2;;;;2
Protocolbureau B.V.;;;;;1;;;;1
Psychologen Weerdsingel/M. Bollema;;;;1;;;;;1
Psychologisch Bureau de Belt;;;;1;;;;;1
Psychologisch Centrum Lambertushof Veghel;;;;1;;;;;1
Psyon B.V.;;;;2;;;;;2
Publicimage.nl;;;;;3;;;;3
Publieke Werken B.V.;;;1;;;;;;1
Puur Amsterdam;;;;;1;1;;;1
Puur Utrecht;;;1;;;;;;1
Puur Werk Uitzendbureau B.V.;;;1;;;;;;1
PVAA;;1;;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;2;;1;;2
QO Storm Utrecht B.V.;;;1;;;;;;1
QP negotiations;;;;;1;;;;1
QS Gezondheidsmanagement B.V.;;;;3;;;;;3
Quadrant B.V.;;;;;1;;;;1
Quality Office;;;;1;;;;;1
Qued;;;;;1;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;5;;;;5
R. Jansen Boerke Mutsaers;;;1;;;;;;1
R. Meessen Music Productions;1;;;;;;;;1
R.B. van Baaren Holding B.V.;;;;;1;;;;1
RöstConsult;;;;;1;;;;1
Raadgever & Raadgev. thodn 't Zusje Apeldoorn;;;2;;;;;;2
RAAKuitroepteken;;;1;;;;;;1
Raatwerk B.V.;;3;;;;;;;3
Radar Vertige Training & Opleiding B.V.;;;;;4;;;;4
Raderstoomboot 'De Nederlander';;;2;;;;;;2
Radio Royaal B.V.;;;1;;;;;;1
Rama Horeca B.V.;;;1;;;;;;1
Ramblas;;;1;;;;;;1
Randstad HR Solutions;;;;2;;;;;2
Raro Holding B.V.;;1;;;;;;;1
Rassin Rechtspsychologische Analyses;;;;;1;;;;1
Reacon;;1;;;;;;;1
Realize;;;;;1;;;;1
Real-life Xcape;;;1;;;1;;;1
Recreatiepark De Veerstal B.V.;;;1;;;;;;1
Rederij Aemstelland B.V.;;;;;;;;1;1
Rederij Belle B.V.;;;;;;1;;;1
Rederij Brands;;;1;;;;;;1
Rederij de Nederlanden B.V.;;;1;;;;;;1
Rederij P. Kooy B.V.;1;;;;;;;;1
Rederij Schuttevaer V.O.F.;;;1;;;;;;1
REEDERIJ P. KOOIJ BV AMSTERDAM;;;;;;1;;;1
Re-Enter;;;;;1;;;;1
Reframe InTensis B.V.;;;;;2;;;;2
Refrisk B.V.;;;;1;;;;;1
Regeldat;;;;;;1;;;1
Register Belastingadviseurs;;;;;1;;;;1
Regus Amsterdam B.V.;;;2;;;;;;2
Re-integratiebureau re-turn B.V.;;;;1;;;;;1
Reisbureau en Touringcarbedrijf Pasteur B.V.;;;;;;1;;;1
Relatiegeschenken.nl B.V.;;;1;;;;;;1
Remco Reij Advies;;;1;;;;;;1
Remedy Services;;;1;;;;;;1
Rene Kookt;;;1;;;;;;1
Re-on B.V.;;7;;;;;;;7
Rest. De Twentse Taveerne;;;1;;;;;;1
Restaria Sterk;;;1;;;;;;1
Restaurant Aan Tafel Zaandam;;;1;;;;;;1
Restaurant Allure B.V.;;;1;;;;;;1
Restaurant Amigo's Rotterdam B.V.;;;1;;;;;;1
Restaurant Amuse;;;1;;;;;;1
Restaurant Bar NIVOO B.V.;;;1;;;;;;1
RESTAURANT BASAAL;;;1;;;;;;1
Restaurant Bogor B.V.;;;1;;;;;;1
Restaurant Brasserie Boas;;;1;;;;;;1
Restaurant Breed Almere B.V.;;;1;;;;;;1
Restaurant Catalunia;;;1;;;;;;1
Restaurant Cathay B.V.;;;1;;;;;;1
Restaurant Clouds;;;1;;;;;;1
Restaurant Cuba Libre;;;;;;1;;;1
Restaurant De Basiliek B.V.;;;1;;;;;;1
Restaurant De Betuwe;;;1;;;;;;1
Restaurant De Goedheyd B.V.;;;1;;;;;;1
Restaurant 'De Handschoen' B.V.;;;1;;;;;;1
Restaurant De Heerlijckheyt Het Loo B.V.;;;1;;;;;;1
Restaurant De Hemel;;;1;;;;;;1
Restaurant De Hexelse Berg;;;1;;;;;;1
Restaurant De Smoezer V.O.F.;;;1;;;;;;1
Restaurant De Wagenmaker;;;1;;;;;;1
Restaurant 'De Wok';;;1;;;;;;1
Restaurant De Zwaan Etten-Leur B.V.;;;1;;;;;;1
Restaurant Deja-Vu Veldhoven B.V.;;;1;;;;;;1
Restaurant DOK B.V.;;;1;;;;;;1
Restaurant d'Olifant Heerhugowaard;;;1;;;;;;1
Restaurant 'Due Tonino';;;1;;;;;;1
Restaurant Elders;;;1;;;;;;1
Restaurant Finn;;;1;;;;;;1
Restaurant Fouquet;;;1;;;;;;1
Restaurant Gaar;;;1;;;;;;1
Restaurant Giornale;;;1;;;;;;1
Restaurant Grand Caf� Peacock's;;;1;;;;;;1
Restaurant Greenfield's V.O.F.;;;1;;;;;;1
Restaurant Groeskamp B.V.;;;1;;;;;;1
Restaurant Het Hooihuis;;;1;;;;;;1
Restaurant Huson;;;1;;;;;;1
Restaurant Ida B.V.;;;1;;;;;;1
Restaurant Indonesisch 'Srikandi';;;1;;;;;;1
Restaurant Indonesisch Tjendrawasih;;;1;;;;;;1
Restaurant Karakter;;;1;;;;;;1
Restaurant La Bella Sera;;;1;;;;;;1
Restaurant La Viña;;;1;;;;;;1
Restaurant La Vi�a;;;1;;;;;;1
Restaurant l'Abeille;;;1;;;;;;1
Restaurant Mediterrance;;;1;;;;;;1
Restaurant Meneer Buscourr;;;1;;;;;;1
Restaurant Mira;;;1;;;;;;1
Restaurant Molen De Jonge Dikkert B.V.;;;;;;;;1;1
Restaurant nul 10;;;1;;;;;;1
Restaurant OKAY;;;2;;;;;;2
Restaurant Onesto;;;1;;;;;;1
Restaurant Oost;;;1;;;;;;1
Restaurant Parthenon;;;1;;;;;;1
Restaurant Pastis;;;;;;1;;;1
Restaurant Poppe Apeldoorn B.V.;;;2;;;;;;2
Restaurant Poppe Zwolle;;;1;;;;;;1
Restaurant Recht;;;1;;;;;;1
Restaurant Rhodos;;;1;;;;;;1
Restaurant Rijnmozaïk;;;1;;;;;;1
Restaurant Sizzles;;;1;;;;;;1
Restaurant Soeboer B.V.;;;1;;;;;;1
Restaurant Steakhouse Grill-ig;;;1;;;;;;1
Restaurant t Reeuwijkse Hout B.V.;;;1;;;;;;1
Restaurant 't Veerhuys;;;1;;;;;;1
Restaurant Thailand;;;1;;;;;;1
Restaurant Three;;;1;;;;;;1
Restaurant Trix, de Menthenberg;;;1;;;;;;1
Restaurant van Speijk;;;1;;;;;;1
Restaurant Vandaag Amsterdam B.V.;;;1;;;;;;1
Restaurant Vrijdag B.V.;;;1;;;;;;1
Restaurant Wiesen;;;1;;;;;;1
Restaurant Xie;;;1;;;;;;1
Restaurant Zenne B.V.;;;1;;;;;;1
Restaurant Zijdewinde;;;1;;;;;;1
Restaurant Zilt & Zoet;;;1;;;;;;1
Restaurant/Brasserie Binnenmaas;;;1;;;;;;1
Restaurant-Caf� 'in de Waag' B.V.;;;1;;;;;;1
Result ADR B.V.;;1;;;;;;;1
Retro Horeca Exploitatie B.V.;;;1;;;;;;1
Revalidatie Friesland, locatie Sneek;;;;1;;;;;1
RHN Projectmanagement;;;1;;;;;;1
Rhodos;;;1;;;;;;1
Rhone Events & Congrescenter B.V.;;;1;;;;;;1
Riant Restaurant De Foyer B.V.;;;1;;;;;;1
Ribhouse Texas Boekelo B.V.;;;1;;;;;;1
Ribsfactory B.V.;;;1;;;;;;1
Ricas Inst. v. Risico-Adv. en Veiligheidsopl.;;;;;7;;;;7
RICS B.V.;;;;;1;;;;1
Ridderikhoff B.V.;;;1;;;;;;1
Rijksmuseum Volkenkunde;;;1;;;;;;1
Rijksvastgoedbedrijf;;;1;;;;;;1
Rinet;;;1;;;;;;1
Ristorante Da Vinci;;;1;;;;;;1
Ristorante Pizzeria Lanterna;;;1;;;;;;1
Ristorante Trattoria Impero Romano;;;1;;;;;;1
Rob N. Nieuwenhuizen B.V.;;;;;1;;;;1
ROC van Flevoland locatie Almere Buiten;;;1;;;;;;1
Rockanje Events B.V.;;;1;;;;;;1
Roel Klaassen Haptotherapie;;;;1;;;;;1
Roessingh Revalidatie Techniek;;1;;;;;;;1
Roger Tonnard;;;;;1;;;;1
Rohlfs Training & Coaching;1;;;;;;;;1
RONA Ridderkerk B.V.;;;1;;;;;;1
Ronald Gerards;1;;;;;;;;1
Rondvaart Zwolle;;;1;;;;;;1
ROOM koffie, eten en meer;;;1;;;;;;1
Rosa van Koningsbruggen Make Up Artist;;;1;;;;;;1
Rose Garden;;;1;;;;;;1
Rotisserie Claudius;;;1;;;;;;1
RotterdamseUitjes.nl;;;1;;;;;;1
Routiers Maasvlakte;;;1;;;;;;1
ROVC Certificeringen B.V.;;;;;1;;;;1
ROVC Technische Opleidingen B.V.;;;;;2;;;;2
Royal Schiphol Group N.V.;;;;;;;;1;1
Royem verhuur;;;1;;;;;;1
Rozee B.V.;;;2;;;1;;;2
Ruischcoaching, Recovery en Re-integratie;;;;1;;;;;1
Ruwan Heggelman;1;;;;;;;;1
S&L Training & Consultancy B.V.;;;;;1;;;;1
S. Kats, Psychiater;;;;;1;;;;1
S.B.I. Zonheuvel B.V.;;;;;2;1;;;2
S.-Cure B.V.;;;;;1;;;;1
S.J. de Vries;;;1;;;;;;1
SAB CATERING B.V.;;;1;;;;;;1
Safety Lux Nederland B.V.;;1;;;;;;;1
Saison;;;1;;;;;;1
Samaya B.V.;;;1;;;;;;1
Samen Eten en Drinken (S.E.D.) B.V.;;;1;;;;;;1
Sanne Havinga;;;1;;;;;;1
SAP Deutschland SE & Co. KG;;;;;1;;;;1
Saray Turks Restaurant;;;1;;;;;;1
Sas Institute B.V.;;;;;2;;;;2
SB Gaasterland;;;1;;;;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;;1;;;;1
Scandinavisch Dorp;;;1;;;;;;1
Schalen maatwerk;;;;1;;;;;1
Scheidegger Opleidingen B.V.;;;;;1;;;;1
Scheidsr.ver. Horst-Venray en omstreken;;;1;;;;;;1
Scheppend Hart;;;;;1;;;;1
Scheuer Verzekeringen;;;;;;;;1;1
Schiphol Nederland B.V.;;;1;;2;;;;2
Schippers Centrale Rotterdam;;;;;;1;;;1
Schippers IT B.V.;;;;;1;;;;1
ScholsBurgerhartSchols not.-jurid. advis. VOF;;;;;1;;;;1
Schouten & Nelissen Nederland B.V.;;;;;2;;;;2
Schouwburg en Congrescentrum Orpheus N.V.;;;;;;1;;;1
Scrum Company B.V.;;;1;;;;;;1
SDU Licent Academy B.V.;;;;;1;;;;1
Sdu Uitgevers B.V.;;;;;1;;1;;1
Sea Palace Restaurant B.V.;;;1;;;;;;1
Seatec UK Limited;;;;;1;;;;1
Secur. and Bus. Intellig. Adv. Serv. (SBIAS);;;;;1;;;;1
See Tickets Nederland;;;1;;;;;;1
SeeTrue;;;;;1;;;;1
Senioren-Catering 'de Seniorie';;;1;;;;;;1
Se�ora Rosa;;;1;;;;;;1
Sepia horecaconcepts B.V.;;;1;;;;;;1
Serifoglu West B.V.;;;1;;;;;;1
Service Theater 'Skopein';;;1;;;;;;1
SF Training Facilities;;;;;3;;;;3
Sfeertje 5 B.V.;;;1;;;;;;1
sfizio mario;;;1;;;;;;1
SGE Werkt B.V.;;;;1;;;;;1
Shabu Shabu Apeldoorn B.V.;;;1;;;1;;;1
Shared Ambition;;;;1;;;;;1
Shuttel B.V.;;;;;;;;10;10
Signpost Six B.V.;;;;;1;;;;1
Sila Consulting SAS;;;;;;;;1;1
Silver Pond B.V.;;;1;;;;;;1
Simonis Oude Visafslag B.V.;;;1;;;;;;1
Sinjoor B.V.;;;1;;;;;;1
Sioo B.V.;;;;;1;;;;1
Sirtaki;;;1;;;;;;1
Sirtaki Breda;;;1;;;;;;1
Sirvan B.V.;;;1;;;;;;1
Siska;;;1;;;;;;1
Siss trainingen;;;;;1;;;;1
Sjako Ten Haken Consultancy & Visualisatie;;;;;1;;;;1
Sjapo;;;1;;;;;;1
Sjiek Kookpunt;;;1;;;;;;1
Sjoerd Ceelen;1;;;;;;;;1
Skills Unlimited B.V.;;;;;2;;;;2
Skils B.V.;;;;3;1;;;;3
Skippy-Rent;;;;;;1;;;1
Slagerij Heigank;;;;;;1;;;1
