Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Wok Euroborg;;;1;;;1;;;1
Work21 B.V.;;;;;1;;;;1
Workshops Noord Nederland;;;;;1;;;;1
World Cleaning Jobs B.V.;;;;;1;;;;1
worldonlinetickets;;;1;;;;;;1
Wortelboer Professionele Coaching;;;;1;;;;;1
WOX BV;;;1;;;1;;;1
WPA Exploitatie B.V.;;;1;;;;;;1
W'tje;;;1;;;;;;1
Xerox (Nederland) B.V.;;;1;1;1;;;;1
Xomnia B.V.;;;;;1;;;;1
XTG Bedrijfsopleidingen B.V.;;;;;1;;;;1
Y. Blenk;;;1;;;;;1;1
Yearth B.V.;;;;;1;;;;1
Yogaroom;;;;;1;;;;1
Yogastudio5;;;;;1;;;;1
Yolanda van Tilborgh;;;;;1;;;1;1
Yvon BEEMSTERBOER coaching I training;;;;;1;;;;1
Yvonne Compier Fotografie;;;;;;1;;;1
Zaans Medisch Centrum;;1;;;;;;;1
Zanzibar Beachclub B.V.;;;1;;;;;;1
Zebedeus;;;1;;;;;;1
ZieZ;;;;;1;;;;1
Ziggurat Taaltrainingen;;;;;1;;;;1
ZijSpreekt;;;;;1;;;;1
Zilverline B.V.;;;;;1;;;;1
Zomers B.V.;;;1;;;;;;1
Zonvaart Reizen;;;;;;;;1;1
Zoooeva!;;;;;1;;;;1
Zorgcentrum De Overloop;;1;;;;;;;1
Zwaardski;;;1;;;;;;1
3w;2;;;;;;;;2
4 Seasons Events;;;2;;;;;;2
5hart-IT Opleidingen B.V.;;;;;2;;;;2
Absoluta Food and Facilities B.V.;;;1;;;;;2;2
Amgate B.V.;;;1;;;2;;;2
Ardis Opleidingen B.V.;;;;;2;;;;2
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;2
Art Poetry & Design B.V.;;;2;;;;;;2
B.S. Gevelwerken;;;;;2;;;;2
Beheer Centrum voor Mindfulness;;2;;;2;;;;2
Berenschot Groep B.V.;;;;;2;;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2
Beteor Organisatie Ontwikkelings Groep B.V.;;;;2;1;;;;2
Bigband Hogeschool van Arnhem en Nijmegen;;;;;2;;;;2
Bob de Ronde Partners;;;;;2;;;;2
Bourgonje Geluid- en Lichtservice B.V.;;;2;;;;;;2
Bureau Tromp B.V.;;;;;2;;;;2
Bureau Zuidema Learning Solutions B.V.;;;;;2;;;;2
Burn Out Poli;;1;;;1;;;;2
Buro Venekamp;;;1;;;;;1;2
Carlton Hotel Collection;;;2;;;;;;2
Carlton Hotels Nederland B.V.;;;2;;;1;;1;2
Centraal Boekhuis B.V.;;;2;;1;;;;2
Citrus;;;;;2;;;;2
Coöperatie Werk & Loon UA;;;;;2;;;;2
Company Webcast B.V.;;;1;;2;;;;2
COMPAREX Nederland B.V.;;;;;2;;;;2
Compass Group Nederland B.V.;;;2;;;;;;2
Contact Communicatietrainingen;;;;;2;;;;2
Customer Contact Career Portal B.V.;;;;;2;;;;2
De Gezonde Zaak B.V.;;;;;2;;;;2
De Koers;;;;;2;;;;2
Dekker Zoetermeer;;;2;;;;;;2
DeVries Bedrijfscommunicatie bv;;;;;2;;;;2
Drenthe tours;;;;;;;;2;2
Drs. H.M. Bakker Organisatie Adviseurs B.V.;;;1;;2;;;;2
Dutch Blockchain Hackathon B.V.;;;;;2;;;;2
ECHT Nienke;;;;;2;;;;2
Effectivents;;;;;2;;;;2
EnergyFinder B.V.;;;;;2;;;;2
Ergatis B.V.;;2;;;1;;;;2
Euroforum;;;;;2;;;;2
Expertisecentrum Drost;;;;;2;;;;2
Fast Lane Benelux;;;;;2;;;;2
Frank Schaper;;;;;2;;;;2
Gerard Borkus;;1;1;;2;;;;2
GITP B.V.;;;;;2;;;;2
GoodHabitz B.V.;;;;;2;;;;2
Happy Chocolate Creations;;;2;;;;;;2
Helicon;;;;;2;;;;2
Hillie's opvang;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;2;;;;2
ICT Partners Noord B.V.;;;;1;1;;;;2
Infotopics B.V.;;;;;2;;;;2
ING Commercial Finance B.V.;;;2;;1;;;1;2
InsightsWorld B.V.;;;;;2;;;;2
Int. Knowledge & Networking (IKN) B.V.;;;;;2;;;;2
Intermenso;;1;;;2;;;;2
IT Management Group;;;;;2;;;;2
Jutta Hulshof;;;;;2;;;1;2
Kloek B.V.;;;2;;;;;;2
La Bouquetterie;;;2;;;;;;2
Lagerweij & Partner Consultants B.V.;;;;;2;;;;2
Leaseplan Nederland N.V.;;;;;;;;2;2
Leeuwendaal Advies B.V.;;;;;2;;;;2
Loof training en advies B.V.;;;;;2;;;;2
LTP Holding B.V.;;;;;2;;;;2
M.J. Cornelissen;;;2;;;;;1;2
Matthieu Maas;;;;;2;;;;2
Maxxecure B.V.;;;;;2;;;;2
Mea Facta Personeelsadvies;;;;;2;;;;2
Michel Renses h.o.d.n. Makelaarnu Stadskanaal;;;1;;2;;;;2
Moodboost;;1;;;1;;;;2
Mosa Conference;;;;;2;;;;2
Munckhof Regie;;;1;;1;1;;1;2
Nationaal Onderduik Museum;;;;;;2;;;2
Nationale Notaris Delft B.V.;;;;;;;2;;2
NCOI Trainingen B.V.;;;;;2;;;1;2
NEMO Science Museum;;;;;;2;;;2
NEVI-Purspective B.V.;;;;;2;;;;2
Nibud;;;;;2;;;;2
O&i management consultants B.V.;;;;;2;;;;2
Onderneem 't - Projecten;;;;;2;;;;2
P.B.N. Sport & Adventure B.V.;;;;;2;;;;2
PBLQ B.V.;;;;;2;;;;2
PBLQ Opleidingscentrum;;;;;2;;;;2
Personenvervoer Van Dijk Delzijl;;;;;;;;2;2
Pluc B.V.;;;;;2;;;;2
Protinus IT B.V.;;1;;;2;;;;2
Psychologisch Adviesbureau Leidekker;;2;1;;;;;;2
Purple Monkey;;;;;2;;;;2
Puur Amsterdam;;;1;;;1;;;2
Quint Wellington Redwood Learning B.V.;;;;;2;;;;2
Rebelpoint;;;;;2;;;;2
Respectief B.V.;;;;;2;;;;2
SAP (UK) Ltd;;;;;2;;;;2
Schoevers Trainingen B.V.;;;;;2;;;;2
Schouten & Nelissen B.V.;;;;;2;;;;2
Sioo B.V.;;;;;2;;;;2
Stavoor B.V.;;;;;2;;;;2
Stenden University Hotel B.V.;;;;;2;;;;2
Stichting De Letselschade Raad;;;;2;1;;;;2
Stichting Endora;;;;;2;;;;2
Stichting Groningen Declaration Network;;;;;2;;;;2
Stichting Hanzehogeschool Groningen;;;;1;2;;;;2
Stichting Open State Foundation;;;;;2;;;;2
Stolk Informatiemanagement;;;;;2;;;;2
Studievereniging Perikles;;;;;2;;;;2
Symbol B.V.;;;;;2;;;;2
Taleninstituut Linguamedia;;;;;2;;;;2
Taxibedrijf Van der Wijst;;;;;;;;2;2
Toby enzo;;;;;2;;;;2
Topscore B.V.;;;;;2;;;;2
Traffic b2b Events;;;;;2;;;;2
Train2Work;;;;;2;;;;2
train2work B.V.;;;;;2;;;;2
Tridata B.V.;;;;;2;;;;2
Turner;;;;;2;;;;2
Twynstra Gudde;;;;;2;;;;2
Tyrilo B.V.;;;2;;;;;;2
Vaccinatiezorg B.V.;;2;;;;;;;2
Vakmedianet Management B.V.;;;;;2;;;;2
VVV Business B.V.;;;2;;;;;;2
WannaFlex B.V.;;;;2;;;;;2
Waterloo Bar;;;;;;2;;;2
Winnock B.V.;;1;;1;1;;;;2
Xebia Nederland B.V.;;;;;2;;;;2
ZWL Expertise Centrum B.V.;;;;;2;;;;2
Acteursbureau Kapok B.V.;;;;;3;;;;3
AOG Contractonderwijs B.V.;;;;;3;;;;3
Bedrijfsfitness Nederland B.V.;;3;;;;;;;3
Computrain Opleidingen;;;;;3;;;1;3
De Baak Administratie;;;;;3;;;;3
De Baak B.V.;;;;;3;;;1;3
Dijksterhuis & van Baaren;;;;;3;;;;3
European Registration Office B.V.;;;;;3;;;;3
KSG Trainers & Consultants;;;;;3;;;;3
LTP Advies B.V.;;;;3;1;;;;3
Meetingselect B.V.;;1;1;;2;2;;1;3
MWM2 B.V.;;;;3;;;;;3
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;;;3
NS Reizigers B.V.;;;;;;;;3;3
POSG B.V.;;1;;3;2;;;;3
RONT Management Consultants B.V.;;;;;3;;;;3
SCM Company B.V.;;;1;;3;;;;3
Stichting Bestuursbureau Noorderlink;;;;;3;;;;3
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;3;;;;3
Bureau Zuidema B.V.;;;;;4;;;;4
BVO Opleidingen B.V.;;;;;4;;;;4
Global Knowledge;;;;;4;;;;4
Kon. Verenig. van Archivarissen in Nederland;;;;;4;;;;4
Lumage Managing Customer Relations B.V.;;;;;4;;;;4
Marosel B.V.;;;;;4;;;;4
Olivier van Herpt B.V.;;;4;;;;;;4
Quint Wellington Redwood Nederland B.V.;;;;1;4;;;;4
STERKADO;;;4;;;;;;4
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;4;;;;;4
Tardis B.V.;;;;;4;;;;4
Tintelingen B.V.;;1;4;;;1;;;4
Mobility Mixx B.V.;;;;;;;;5;5
SterConcepts BV;;;5;;;;;;5
Worldmeetings.com B.V.;;;1;;3;1;;5;5
VCK Travel B.V.;;;;;1;;;6;6
Shuttel B.V.;;;;;;;;8;8
Eindtotaal;2;5;7;5;8;5;3;8;9
