Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Eetcafe De Eend;;;;;;;1;1
Eetcafe De Fabriek;;;1;;;;;1
Eetcafé 'De Notaris' B.V.;;;;;;;1;1
Eetcafe De Poort;;;1;;;;;1
Eetcafé het leven;;;1;;;;;1
Eetcafé Jan Klaassen V.O.F.;;;;;;;1;1
Eetcafe Jonker Sikke;;;1;;;;;1
Eetcafe Spinoza;;;1;;;;1;1
Eetcafe 't Keershuys;;;1;;;;1;1
Eetcafe 't 'Klavertje Vier';;;;;;;1;1
Eetcafe 't Pakhuis;;;1;;;;;1
Eetcafé Voor Jou;;;;;;;1;1
Eethuis Misto;;;1;;;;;1
Eethuis Smaak;;;1;;;;;1
Eetmosfeer Het Elfde Gebod;;;;;;;1;1
Eetpark V.O.F.;;;1;;;;;1
Eet-Villa Van den Brink;;;;;;;1;1
EETZE B.V.;;;1;;;;;1
EEZI V.O.F. / Brasserie 't Zusje Eindhoven;;;1;;;;;1
EFA Business Support;;;;;;;1;1
Effectory B.V.;;1;2;;;;;2
Efficient Hotel Partner B.V.;;;;;3;;2;4
EHM Hotel Breda B.V.;;;;;;;1;1
EHP Exploitatie Holding B.V.;;;1;;;;;1
EHP Exploitatie Hotel Victoria B.V.;;;;;;;1;1
Ehrm Vision;;;;;1;;;1
Eigenwijs Counseling;;;;;1;;;1
EIPA;;;;;1;;;1
Ekelmans & Meijer Advocaten;;;;;;;1;1
El Caballo B.V.;;;1;;;;;1
El Mundo de las Tapas;;;;;;;1;1
El Olivo;;;;;;;1;1
El Zorro;;;1;;;;;1
Elabo B.V.;;;1;;;;;1
Eladco B.V.;;;;;1;;;1
Elan Groep;;;;;1;;;1
elasticsearch B.V.;;;;;1;;;1
E-Learningportals B.V.;;;1;;2;;;2
Eleftheria B.V.;;;1;;;;1;1
Eline Brinkhof, Praktijk voor Bewustzijnstraining;;;;;1;;;1
Eline Sluys Coaching en Training;;;;;1;;;1
Elke dag een stukje wijzer;;;;;1;;;1
Ellen Janse Training & Councelling;;;;;1;;;1
Ellen van Wissen Personal Coaching;;;;;2;;;2
Ellis Oudendijk Veranderingsmanagement;;;;;1;;;1
Elsemieke Havenga Communicatie B.V.;;;;;1;;;1
ElVi, Koffie, Lunch, Diner;;;;;;;1;1
Elycio B.V.;;;;;1;;;1
Elycio Talen B.V.;;;;;2;;;2
Elysisch Talent;;;;;1;;;1
Elzenboom Online Retail B.V.;;;1;;;;;1
Elzinga Catering;;;1;;;;;1
Emkapak Verpakkingen B.V.;;;1;;;;;1
Emmaüs Coaching (organisatie-team-individu);;;1;;;;;1
Emmerig Advocaten;;;2;;;;;2
emovement;;;;;1;;;1
En plein public;;;;;1;;;1
En Route B.V.;;1;;;;;;1
Endemol Shine Nederland Producties B.V.;;;;;1;;;1
Endlich Communicatie;;;;;1;;;1
Energie & Balans, integrale lichaamstherapie;;1;;;;;;1
Energie-Coaching Karo van der Burgt;;;;;1;;;1
ENFSI Secretariat Wiesbaden;;;;;1;;1;1
Engelen Arbeidsadvies;;;2;;;;;2
Engels Horeca Rotterdam B.V.;;;1;;;;1;1
Enginar B.V.;;;;;;;1;1
Enof creatieve communicatie B.V.;;;;;1;;;1
Enschede/SDU;;;;;7;;;7
Ensior B.V.;;;;;1;;;1
Enterprise Engineering Institute;;;;;1;;;1
Enterprise Nederland;;;1;;;;;1
Entopic B.V.;;;;;1;;;1
ENVIR Advocaten B.V.;;;;;1;;;1
EPEA-NL;;;1;;1;;;1
e-quine.com B.V.;;;;;1;;;1
Equipe Acteurs B.V.;;;;;1;;;1
Er Es: Train. en Begel. v. Mensen in Org.;;;;;;;1;1
ER Events B.V.;;;1;;;;;1
ERA;;;1;;2;;;2
Erasmus Academie;;;;;2;;1;2
Erasmus Universit. Medisch Centrum Rotterdam;;;;;1;;1;1
Erasmus Universiteit Rotterdam;;;;;1;;;1
ErBij Events;;;1;;;;;1
Erftemeyer Advies en Bemiddeling;;;1;;;;;1
Ergatis B.V.;;3;3;;1;;;4
Ergobrain B.V.;;1;;;;;;1
Ergodirect;;1;;;1;;;1
Ergonomique;;1;;;;;;1
Ergotherapie Adviesbureau Ester Haver Droeze;;;1;;;;;1
Ergoweb;;1;;;;;;1
Ergozit;;2;;;;;;2
ERHA Trading B.V.;;;1;;;;;1
Eric Coolen Kunstenaar;;;1;;;;;1
Eric Magnusson B.V.;;;;;1;;;1
Erik de Jongh Advies;;;;;1;;;1
Erik du Pon Communicatietraining;;;1;;;;;1
Eriko Beheer B.V.;;;;;;;1;1
ERLens Holding B.V.;;;;;;;1;1
Ermermeer Exploitatie B.V.;;;1;;;;;1
Erna van den Brink Werkt!;;;;;1;;;1
Ernst Sillem Hoeve B.V.;;;1;;1;;2;2
ERNW Insight GmbH i.G.;;;;;1;;;1
Ervaringsgerichte Therapie Melanie Visscher;;;1;;;;;1
Erve Hulsbeek B.V.;;;1;;;;;1
Escal Institute of Advanced Technologies;;;;;3;;;3
Escape Challenge B.V.;;;1;;;;;1
Escape Hotel;;;1;;;;;1
Escape Hunt Groningen;;;1;;;;;1
Escape Room;;;1;;;;;1
Escape Room Deventer;;;1;;;;;1
Escape Room Rijswijk;;;1;;;;;1
Escape This Room;;;1;;;;;1
Escape World Group B.V.;;;1;;;;;1
Escape010;;;1;;;;;1
EscapeRoom Leerfabriek KVL;;;1;;;;;1
Escaperoom Leiden;;;1;;;;;1
Escaping;;;1;;;;1;1
E-Semble;;;;;1;;;1
Esenzia;;;1;;;;;1
Esoterra;;;1;;;;;1
Eten & Drinken B.V.;;;;;;;1;1
Eten & Zo Zoetermeer B.V.;;;1;;;;1;1
Eten bij Werelds;;;1;;;;1;1
Ethika Advies over ethiek in onderwijs;;;1;;;;;1
Ethiopisch Restaurant Sunshine;;;;;;;1;1
Ethnopsych Consultancy;;;;;1;;;1
Etiflex B.V.;;;;;1;;;1
Etop;;;1;;1;;1;1
Eudaimonia B.V.;;;;;1;;;1
Eur. Instit. voor Certified Public Controll.;;;1;;1;;;1
Eur. Organ. of Prison and Correctional Serv.;;;;;;;1;1
Euregionaal Congresburo;;;1;;2;;;2
Euro Events B.V.;;;1;;;;;1
Euroforum;;;1;;3;;;3
Euromast Horeca B.V.;;;1;;;;;1
Europe Service;;;;1;;;;1
European institute of public administration EIPA;;;;;1;;;1
European Network of Forensic Science Institutes;;;;;2;;;2
Europees Instituut De Baak B.V.;;;;;2;;;2
Euroticket;;;1;;;;;1
EURS B.V.;;;;;1;;;1
Eva Haas;;;;;;;1;1
Evangelische Bank;;;;;1;;;1
Evangelos Xintaropoulos;;;;;;;1;1
EVC Centrum Nederland B.V.;;;;;2;;;2
evenementen organisatie de waterkoets;;;1;;1;;;1
Evenses B.V.;;;1;;;;1;1
EventBranche.nl;;;;;1;;;1
Eventmaker;;;1;;;;;1
Eventmate;;;1;;;;;1
Eventr B.V.;;;1;;;;;1
Events Holland;;;1;;;;;1
Events Holland B.V.;;;1;;;;;1
Eventury Productions;;;1;;;;;1
EverDevelop;;;;;;;1;1
Evers Research & Training;;;;;1;;;1
Everything DiSC;;;;;1;;;1
Everywhere Medical Care B.V.;;;;;;;1;1
EVO;;;;;1;;;1
EVO Fenedex B.V.;;;;;1;;;1
EVU-Nederland;;;;;1;;;1
EVW Creations;;;1;;;;;1
eX:plain;;;1;;3;;;3
Examen Bureau Brabant B.V.;;;;;1;;;1
Examens en Comp.registr. B.V.;;;;;1;;;1
Excalibur Entertainment;;;1;;;;;1
Excel Tekst en uitleg;;;;;1;;;1
Exita;;;1;;;;;1
Exito Beekbergen B.V.;;;1;;;;;1
Exotic Kitchen;;;1;;;;;1
Experience Island;;;1;;;;;1
Expertise en Kwaliteitsadvies Nederland B.V.;;;1;;;;;1
Explainit Company;;;2;;4;;;4
ExplainIT Special Accounts B.V.;;;1;;2;;;3
Exploit.maatsch. Seaport Beach Resort B.V.;;;;;1;;;1
Exploitatie De Binnenhof;;;;;;;1;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;1;;;;1;1
Exploitatie Maatschappij De Nieuwe Poort B.V.;;;1;;1;;1;1
Exploitatie Maatschappij Delta Hotel B.V.;;;;;;;1;1
Exploitatie Maatschappij Lommerrijk B.V.;;;;;1;;1;1
Exploitatie Maatschappij Spant B.V.;;;2;;;;;2
Exploitatie Rijnkade Dining 56 B.V.;;;1;;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;1;;;;;1
Exploitatiemaatschappij Crayestein V.O.F.;;;1;;;;;1
Exploitatiemaatschappij De Oostvaarders B.V.;;;;;;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;;1;2
EXPO 66 B.V.;;;1;;;;;1
Exponential Expansion B.V.;;;;;1;;;1
Exquizzit;;;1;;1;;;1
Exsultet;;;;;2;;;2
Extra Trainers B.V.;;;;;1;;;1
Extrarius Adventures;;;1;;1;;;2
EYE - Bar Restaurant B.V.;;;;;1;;;1
Eye Hotel B.V.;;;;;;;1;1
Eyechange;;;1;;;;;1
F&U Nederland B.V.;;;;;1;;;1
F.A.T. Boys Nijmegen;;;;;;;1;1
F.H.A. Langhout Consultancy B.V.;;;;;1;;;1
F2D WKD B.V.;;;;;;;1;1
Fa. Klein;;1;;;;;;1
Fa. Spreksel v/h v.d. Rhee;;;1;;;;;1
Fabius Opleidingen B.V.;;;1;;2;;;2
Fabulous;;;1;;;;;1
FacilitationProfs;;;1;;;;;1
Facint B.V.;;;1;;1;;1;1
Factor Veiligheid! B.V.;;;;;1;;1;1
Factor Vijf;;;;;1;;;1
FactorVeermans Trainingsacteurs B.V.;;;;;1;;1;1
Factory Refurb;;;1;;;;;1
Faculteit der Rechtsgeleerdh. vd Universiteit;;;2;1;4;;1;4
Faes Entertainment & Events;;;1;;;;;1
Faillissementsfraude.nl B.V.;;;;;2;;;2
Fairplay-Sport;;;;;1;;1;1
Falck Prevention B.V.;;;1;;1;;;1
Falke & Verbaan B.V.;;;;;1;;;1
FAMAS Facility Management Solutions B.V.;;;;;2;;;2
Familie Pots Beheer Maatschappij B.V.;;;1;;;;;1
Familie Wok B.V.;;;;;;;1;1
Famostar Emergency Lighting B.V.;;;;;1;;;1
Fantazy Sound & Advertising;;;1;;;;;1
Faralda Exploitatie B.V.;;;;;;;1;1
Fari B.V.;;;;1;;;;1
Farida's Surinaams-Indisch Afhaalcentrum;;;1;;;;;1
Fashion Flower;;;1;;;;;1
Fast Feet t.h.o.d.n. Runnersworld Hoorn;;;5;;6;;;6
Fast Forward People in Motion;;;;;2;;;2
Fast Lane Benelux B.V.;;;;;1;;;1
Fastgood B.V.;;;1;;;;;1
Favier Training & Coaching in Samen- werking;;;;;1;;;1
FC de Rebellen Entertainment B.V.;;;1;;1;;;1
FEBO Beheer B.V.;;;;;;;1;1
Fed. Dienst. Ressort. Onder het Min. v. Just.;;;1;;;;;1
Fed. v. Gezondh.psychol. en Psychotherapeuten;;;;;1;;;1
Federatie Nederlandse Vakbeweging;;;1;;;;;1
Federatie West Nederlandse Personeelsver.;;;;;1;;;1
Feedback Food & Wine;;;;;;;1;1
Feestcentrale Arnhem;;;1;;;;;1
Feestidee;;;1;;;;;1
Feestquiz;;;1;;;;;1
