Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Rebel Finance & Transactions B.V.;2;;;;;;;2
Rebel Infrastructure Assets & Operations B.V.;2;;;;;;;2
Rebel Strategy & Finance B.V.;1;;;;;;;1
Rebel Transitiemanagement B.V.;2;;;;;;;2
RebelGroup Executives B.V.;7;;;;;;;7
Rechtsdraaiende-Organisatie B.V.;3;;5;;;;;5
Re-Connect;;1;;;;;;1
Record Toegangstechniek;1;;;;;;;1
Rederij de Nederlanden B.V.;1;;;;;;;1
Rederij Thalassa B.V.;1;;;;;;;1
Redrum Bureau B.V.;1;;;;;;;1
Regardz Business Center;2;;;;;;;2
Regio 8 B.V.;1;;;;;;;1
Regulator;;;2;;;;;2
Regus Amsterdam;2;;;;;;;2
Reinout Koning Consultancy;;;1;;;;;1
Reisswolf Nederland B.V.;;1;;;;;;1
Reith - Hendriks & partners;1;;;;;;;1
Reitsma Reclame;1;;;;;;;1
Reitze de Graaf;1;;;;;;;1
Rekaf Advies en Beheer;1;;;;;;;1
Remmelt Oosterhuis;1;;;;;;;1
Rene Verleg Fotografie;1;;;;;;;1
ReneBoerboom Advies;1;;;;;;;1
Renée Broekmeulen Tekst & Training;1;1;1;;;;;2
Renewmedia;;2;;;;;;2
Rens Hijs- en Spanbanden;2;;;;;;;2
Reputatiegroep B.V.;1;;;;;;;1
Residence Rhenen B.V.;1;;;;;;;1
Resilience B.V.;;;2;;;;;2
Restaurant & Brasserie De Brabantse Biesbosch;1;;;;;;;1
Restaurant De Basiliek B.V.;1;;;;;;;1
Restaurant De Cantine;1;;;;;;;1
Restaurant De Zwethheul;1;;;;;;;1
Restaurant JACOB;1;;;;;;;1
Restaurant La Passione;1;;;;;;;1
Restaurant Logisch;1;;;;;;;1
Restaurant Rozemarijn B.V.;1;;;;;;;1
Restaurant Saigon;1;;;;;;;1
Restaurant Scheeps;1;;;;;;;1
Restaurant Spuiplein 41;1;;;;;;;1
Restaurant Wilhelminapark B.V.;1;;;;;;;1
Revis Verkeerstechniek B.V.;1;;;;;;;1
RF Marketing & Communicatie;2;;;;;;;2
RHD Training & Coaching;1;;;;;;;1
Rho Adviseurs B.V.;3;;;;;;;3
RijnmondICT;1;;;;;;;1
Rijwielspecialist Hart;1;;;;;;;1
RIKILT;3;;;;;;;3
Rikkers Infographics;2;;;;;;;2
Ring-Ring B.V.;2;;;;;;;2
Riool Techniek Kraggenburg;1;;;;;;;1
Ristorante Napoli Haarlem B.V.;1;;;;;;;1
ROBKOOPS.COM;1;;;;;;;1
'Rodesk B.V.';2;;;;;;;2
Rodin Horeca;1;;;;;;;1
Rodrigues & Batelaan Management Consult B.V.;2;;;;;;;2
ROI B.V.;3;;;;;;;3
ROM B.V.;2;;;;;;;2
Roorda Reclamebureau B.V.;2;;;;;;;2
Rosarium Wokrestaurant Westbroekpark;1;;;;;;;1
Rostra B.V.;2;;;;;;;2
Routine;2;;;;;;;2
Rouweler IJzerwaren B.V.;1;;;;;;;1
Rozemond Tentoonstellingen;1;;;;;;;1
RPS advies- en ingenieursbureau;1;;;;;;;1
Rris;;1;;;;;;1
RRS Nederland B.V.;1;;;;;;;1
RSS Recruitment B.V.;1;;;;;;;1
Ruben Jorksveld Fotografie;1;;;;;;;1
Ruben Smit Productions B.V.;2;;;;;;;2
Ruhe Advies B.V.;1;;;;;;;1
Ruigrok NetPanel;2;;;;;;;2
Ruimtelijk Economisch Atelier Tordoir;1;;;;;;;1
RuimTeUtrecht B.V.;1;;;;;;;1
Ruud Broekhuizen Tekst & Training;1;;;;;;;1
S.O.S. Freelance;3;;;;;;;3
SAB Stg. Afvalst. & Vaardocumenten Binnenv.;3;;;;;;;3
Sabel Beheer B.V.;2;;;;;;;2
Sabel Communicatie B.V.;2;2;;;;;;2
Safe Beveiliging;1;;;;;;;1
Safety Green B.V.;1;;;;;;;1
Safety Works B.V.;2;;;;;;;2
Salentijn Consult;1;;;;;;;1
Sancy Tres B.V.;1;;;;;;;1
Sapori d'Italia B.V.;1;;;;;;;1
Sas Institute B.V.;4;;;;;;;4
Saskia Opdam Vertaling en Redactie;;1;;;;;;1
Saybolt Nederland B.V.;1;2;;;;;;2
SBI Formaat Opleiding en Advies B.V.;;1;;;;;;1
Scenarios 4 Summits B.V.;4;;;;;;;4
Schaal X B.V.;2;;;;;;;2
Schade-auditors B.V.;2;;;;;;;2
Schattenberg Commissiesecretaris;2;;;;;;;2
Scheepswerf Reimerswaal B.V.;1;;;;;;;1
Schenk-Papendrecht B.V.;;1;;;;;;1
Scheppen B.V.;3;;;;;;;3
Schepro B.V.;1;;;;;;;1
Schildersbedrijf Donker;1;;;;;;;1
Schinkelshoek & Verhoog B.V.;;1;;;;;;1
Schiphol Nederland B.V.;4;;;;;;;4
Scholten Awater B.V.;4;;;;;;;4
Schouten & Nelissen Nederland B.V.;1;;;;;;;1
Schouwburg en Congrescentrum Orpheus N.V.;4;;;;;;;4
Schreurs Wessem B.V.;1;;;;;;;1
Schrijen Maatwerk;1;1;;;;;;1
Schürgers Sleutelservice V.O.F.;1;;;;;;;1
Schwandt Infographics B.V.;2;;;;;;;2
Science and Technology Experts Pool B.V.;;5;;;;;;5
Screensuccess;1;;;;;;;1
Scrum Company;;1;;;;;;1
Sdu Uitgevers B.V.;2;;;;;;;2
SeaFields B.V.;1;;;;;;;1
Seats2Meet.com Utrecht B.V.;1;;;;;;;1
Second Soul;1;2;;;;;;2
secretariele ondersteuning;2;;;;;;;2
Secumar Benelux B.V.;1;;;;;;;1
Security Beheer B.V.;1;;;;;;;1
Seepje B.V.;1;;;;;;;1
Segerentekst;1;;;;;;;1
Seinwezen Beheer B.V.;1;;;;;;;1
Selçuk Akinci;1;;;;;;;1
Sendsteps B.V.;;1;;;;;;1
Senet Eindhoven B.V.;;1;;;;;;1
Senior Jurist Training & Coaching;1;;;;;;;1
Sense Organisatie & Coaching B.V.;1;;;;;;;1
Sent Waninge Twente B.V.;;1;;;;;;1
Service Support B.V.;2;;;;;;;2
Settels Sustainable Workconditions;1;;;;;;;1
Severs Advocatuur;1;;;;;;;1
S-Four Exploitatie B.V.;1;;;;;;;1
SGS Nederland B.V.;1;2;;;;;;2
SGS Search Laboratorium B.V.;1;1;1;;;;;1
Shades of Green - Natural Translations;;1;;;;;;1
Sharewire B.V.;2;;;;;3;;3
Sheraton A'dam Airp. Hotel & Conference Cntr.;1;;;;;;;1
Show Rental B.V.;1;;;;;;;1
SHSH Schiphol Hotel Exploitatie B.V.;1;;;;;;;1
Siemens Nederland N.V.;5;;;;;;;5
Sigma-Aldrich Chemie N.V.;1;;;;;;;1
Sign en Meer B.V.;1;;;;;;;1
Signa Terra B.V.;2;;;;;;;2
Signature Games;2;;;;;;;2
Significance B.V.;5;2;1;;;;;5
Significant B.V.;4;;;;;;;4
Silent Partners;1;;;;;;;1
Simon à Campo;1;;;;;;;1
Simon Groen International;1;;;;;;;1
Simone Langeweg Tekst- en Communicatieadvies;1;1;;;;;;2
Simonis Oude Visafslag B.V.;1;;;;;;;1
Sint Joseph Stichting;1;;;;;;;1
Sira Consulting B.V.;5;;;;;;;5
Sistron B.V.;2;;;;;;;2
SITA Recycling Services Zuid;1;;;;;;;1
SITE Urban Development B.V.;3;;;;;;;3
Sjaak Otten's Catering;1;;;;;;;1
Sjeng;1;;;;;;;1
Skeye B.V.;;1;;;;;;1
Skouts B.V.;2;;;;;;;2
slechtziende en blinde mensen;2;1;;;;;;2
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;;;;1
Slim Development B.V.;2;;;;;;;2
Slotenexpert B.V.;1;;;;;;;1
Sluitplanadvies.nl;1;;;;;;;1
Smaackmakers Experience;;1;;;;;;1
Smaak & Zo;1;;;;;;;1
SMAKLK;1;;;;;;;1
Smit & Dorlas Koffiebranders B.V.;1;;;;;;;1
Smoor-Tax;;1;1;;;;;1
Snelvertaler B.V.;1;;;;;;;1
Snoek Centraal Stofzuiger Apparatuur B.V.;1;;;;;;;1
Sociaal Economisch OndeRzoek Rotterdam B.V.;3;;;;;;;3
Soeters Inter-Door;1;;;;;;;1
Soft Landings;1;;;;;;;1
Software AG Nederland B.V.;;1;;;;;;1
SOIA B.V.;1;;;;;;;1
Soit;1;;;;;;;1
SolBeach;1;;;;;;;1
Solutions for Security B.V.;1;;;;;;;1
Something Else Advies;3;;;;;;;3
SouS Recruitment;4;;;;;;;4
Sovon Vogelonderzoek Nederland;1;;;;;;;1
