Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Emeritor Procurement Services B.V.;;;;2;;;;2
Emile Buring Praktijk voor Rebalancing;;;;;1;;;1
Emily van Dijk;;;;;;;1;1
EMMA Communicatie B.V.;;;;;;;1;1
Emmen Specsavers B.V.;;1;;;;;;1
EMMENEL B.V.;;;;3;;;;3
emovement;;;1;;;;;1
EN HR solutions B.V.;;;1;;;;;1
En plein public;;;;;1;;;1
En Route B.V.;;1;1;;;;;2
Endemeul V.O.F.;;;;;1;;;1
Enforz;;;;3;;;;3
Engarde B.V.;;;1;;;;;1
Engelen Arbeidsadvies;;;1;;;;;1
Engels Horeca Rotterdam B.V.;;;;;;;1;1
Enjy;;;1;;;;;1
Enliven Media;;;;;1;;;1
Entangle;;;;;1;;;1
Enterprise Nederland;;;2;;;;;2
Entertainmen do Chamas;;;1;;;;;1
Entopic B.V.;;;;;1;;;1
ENVIR Advocaten B.V.;;;;;1;;;1
EPEA-NL;;;1;;;;;1
Equipe Acteurs B.V.;;;;;1;;;1
ER;;;1;;;;;1
Er Es: Train. en Begel. v. Mensen in Org.;;;;;;;1;1
ERA B.V.;;;;;1;;1;1
ErBij Events;;;1;;;;;1
Ergatis B.V.;;2;4;;1;;;4
Ergo2Work B.V.;;1;;;;;;1
Ergos B.V.;;;;;1;;;1
Ergozit;;2;1;;1;;;2
Eric Gugelot;;;;;1;;;1
Eric Magnusson B.V.;;;;;;;1;1
Eriko Beheer B.V.;;;;;;;1;1
Ernst Sillem Hoeve B.V.;;;;;;;1;1
Eruditie;;;;;;;1;1
Esbe Sportprijzen;;;1;;;;;1
Escape Factory B.V.;;;1;;;;;1
Escape Room Rijswijk;;;1;;;;;1
Escape World Group B.V.;;;1;;;;;1
Escape World Hoofddorp B.V.;;;1;;;;;1
EscapeRoom Leerfabriek KVL;;;1;;;;;1
Escaperoom Leiden;;;1;;;;;1
ESDsite;;;;;1;;;1
Esenso B.V.;;;;;1;;;1
Espressivo B.V.;;;1;;;;;1
Essence Trainingen Amsterdam B.V.;;;;;1;;;1
Essential XL;;;;;1;;;1
Est̩e Culinair Events B.V.;;;;;1;;1;1
E-Storage Services B.V.;;;;;1;;;1
Eten & Co Groningen B.V.;;;;;;;1;1
Eten & Zo Zoetermeer B.V.;;;1;;;;1;1
Eten & Zo Zwolle B.V.;;;1;;;;1;1
Eten bij Werelds;;;1;;;;1;1
Ethika Advies over ethiek in onderwijs;;;1;;;;1;1
Ethnopsych Consultancy;;;;;1;;;1
Etop;;;;;2;;;2
Eur. Instit. voor Certified Public Controll.;;;1;;1;;;1
Euregionaal Congresburo;;;;;1;;;1
Euro Events B.V.;;;1;;;;;1
Euroforum;;;;;4;;;4
Euro-Gifts Exports B.V.;;;1;;;;;1
Eurolinguist Nederland;;;;;1;;;1
Euromast Horeca B.V.;;;1;;;;;1
Europcar Autoverhuur B.V.;;;1;;;;;1
European Language Centre B.V.;;;;;1;;;1
Europees Examen Instituut B.V.;;;;;1;;;1
Europees Instituut De Baak B.V.;;;;;2;;;2
Eurosafe Solutions B.V.;;;1;;;;;1
Eurosport V.O.F.;;;1;;;;;1
EVC Centrum Nederland B.V.;;;;;2;;;2
Evelution;;;;;1;;;1
evenementen organisatie de waterkoets;;;1;;;;;1
Evenementenverhuur Hollewand;;;1;;;;;1
EverDevelop;;;;;;;1;1
Evers Kassasystemen B.V.;;;;;1;;;1
Evers Research & Training;;;;;1;;;1
Evident B.V.;;;;;1;;;1
EVO Fenedex;;;;;1;;;1
evofenedex;;;1;;;;;1
Evorsa;;;1;;;;;1
EVU-Nederland;;;1;;;;;1
EVW Creations;;;1;;;;;1
eX:plain;;;1;;4;;1;4
Excalibur Entertainment;;;1;;;;;1
Exempla Opleidingen B.V.;;;;;1;;;1
Exin Holding B.V.;;;;;1;;;1
ExitGame;;;1;;;;;1
Expertise Rapportage Pro Justitia;;;;;;;2;2
Explainit Company;;;;;4;;;4
ExplainIT Special Accounts B.V.;;;2;;2;;;3
Exploit. Maatsch. De Nwe Poort Amsterdam B.V.;;;;;;;1;1
Exploit.maatsch. De Roode Schuur Nijkerk B.V.;;;;;;;1;1
Exploitatie Landgoed Westerlee;;;;;;;1;1
Exploitatie Maatschappij Lommerrijk B.V.;;;1;;;;;1
Exploitatie Marlot;;;1;;;;;1
Exploitatie van Eventlocaties B.V.;;;;;;;1;1
Exploitatiemaatsch. De Poort van Leyden B.V.;;;1;;;;;1
Exploitatiemaatschappij De Oostvaarders B.V.;;;;;1;;;1
Exploitatiemaatschappij Groot Kievitsdal B.V.;;;;;;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;;1;1
EXPOINTS B.V.;;;1;;;;;1
Extra Mile Acad. for Trainership/Coach. B.V.;;;;;2;;;2
Extrarius Adventures;;;1;;;;;1
EYE - Bar Restaurant B.V.;;;1;;;;;1
Eyequote;;;1;;1;;;1
F&B Sherlock B.V.;;;;;;;1;1
F. de Graaf t.h.o.d.n. DSR food;;;;;;;1;1
F. Hermsen Transport B.V.;;;;;;;1;1
F. Jonker, GZ-Psycholoog;;;1;;;;1;1
F.A. de Winter;;;1;;;;;1
Fa. Boer Geert;;;1;;;;;1
Fa. C. van Doremaele;;;1;;;;;1
Fa. H. Visser;;;;;;;1;1
Fa. 'Het Haags Bloemenhuis';;;1;;;;;1
Fa. Klein;;1;;;;;;1
Faasen training - coaching;;;;;1;;;1
Fabius Opleidingen B.V.;;;;;1;;;1
FacilitationProfs;;;1;;1;;;2
Facint B.V.;;;1;;1;;1;1
Factor Veiligheid! B.V.;;;;;;;1;1
Factor Vijf;;;;;1;;;1
FactorVeermans Trainingsacteurs B.V.;;;;;;;1;1
Faillissementsfraude.nl B.V.;;;;;2;;;2
FairBusiness;;;;;;;1;1
Fairplay-Sport;;;;;2;;1;2
Falke & Verbaan B.V.;;;;;1;;;1
Famed;;;1;;;;;1
Familie Pots Beheer Maatschappij B.V.;;;;;;;1;1
Fan Factory B.V.;;;;;1;;;1
Fanplay;;;2;;3;;1;3
Fantazy Sound & Advertising;;;1;;;;;1
Farci;;;;;;;1;1
FashCom B.V.;;;1;;;;;1
Fast Feet t.h.o.d.n. Runnersworld Hoorn;;;2;;5;;;5
Fast Forward people in motion B.V.;;;;;1;;;1
Fast Lane Benelux B.V.;;;;;1;;;1
FB Beheer B.V.;;;;;;;1;1
FB Security & Training;;;;;;;1;1
FC de Rebellen Entertainment B.V.;;;1;;;;;1
Fed. Dienst. Ressort. Onder het Min. v. Just.;;;2;;;;;2
Fed. v. Gezondh.psychol. en Psychotherapeuten;;;1;;1;;;1
Feelgood2GO B.V.;;;1;;;;;1
Feesterij 't Stokske;;;1;;;;;1
Feestquiz;;;1;;;;;1
Feithhuis Exploitatie B.V.;;;;;;;1;1
Felicivin B.V.;;;1;;;;;1
Fellini Alkmaar Exploitatie B.V.;;;1;;;;1;1
Fellini Assen B.V.;;;1;;;;1;1
Fellini city lounge;;;1;;;;;1
Fellini City Lounge B.V.;;;1;;;;;1
Femily Events;;;1;;;;;1
Fepa Horeca B.V.;;;1;;;;;1
FERRY Store B.V.;;;1;;;;1;1
Fibbe Advocaten;;;;;1;;;1
Fico Urban Italian;;;1;;;;1;1
Fidelia AD Advies;;;1;;;;;1
Fidessa Mens Werk Motivatie;;;;;1;;;1
Finn's;;;1;;;;;1
Fiori Style;;;1;;;;;1
FIORIRE Talentontwikkeling;;;;;;;1;1
Fire Palace B.V.;;;1;;;;;1
Firma Banketbakkerij Kallenberg;;;1;;;;;1
Firma Hijdra;;;1;;;;;1
Firma Hof der Muzen;;;1;;;;1;1
Firma Manege Laarbrug;;;1;;;;;1
Firma Poelier/Slagerij Van den Heuvel;;;1;;;;1;1
Firma van Drunen Bloemen en Planten;;;1;;;;;1
Firma wed.A. Garsen;;;1;;;;;1
First Care Company;;;2;;;;;2
First Choice Events;;;1;;;;;1
First Eet;;;;;;;1;1
FirstTrade Events B.V.;;;1;;;;;1
Fiscaal Economisch Instituut B.V.;;;;;1;;;1
Fish & Me;;;;;;;1;1
Fishes to Birds Training en Ontwikkeling;;;;;1;;;1
FishFace;;;;;1;;;1
Fitness Occasions B.V.;;;;;1;;;1
Fitt-Outdoor;;;1;;;;;1
Fl.expl. Ver. Spilbergenstr. Nr. 74 te A'dam;;;1;;1;;;1
FLAKBIR;;;;;1;;;1
Flamingo's Plaza B.V.;;;;;;;1;1
Flash Rental Services B.V.;;;1;1;1;;;1
Fletcher Hotel Erica;;;;;1;;1;2
Fleur van den Breemer;;;1;;;;;1
Fleurop-Interflora Nederland B.V.;;;1;;;;;1
Flex-I.D. B.V.;;;;;1;;;1
FlexIntens Werving, Selectie & Detacher. B.V.;;;;4;;;;4
Flexus Trainingen en Advies;;;;;1;;;1
Flip! Reclame Promotie & Ontwerp;;;1;;;;;1
FLOC Restaurant;;;;;;;1;1
Floor van Dijk;;1;;;;;;1
Floor's Catering;;;;;;;1;1
FLORIAN;;;;;;;1;1
Flow d'Azur Management & Coaching B.V.;;;1;;;;;1
Flowers4u;;;1;;;;;1
Fluunt;;;;;1;;;1
Fluxicon;;;;;1;;;1
Fly & Food;;;;;;;1;1
FNV Sport;;;1;;;;;1
Focus e-commerce;;;1;;;;;1
Focus Insight;;;;;1;;;1
Focus Learning Journeys B.V.;;;;;1;;;1
Focus Nederland;;;;;1;;;1
Fonk Beach B.V.;;;;;;1;;1
Fonq.nl B.V.;;;1;;;;;1
Fonteyn Advies;;;;;2;;;2
FonVis B.V.;;;;;;;1;1
Food Enjoyce;;;;;;;1;1
Food Experience;;;1;;;;;1
Food for the Mood;;;;;;;1;1
Food4Sharing;;;;;;;1;1
Fooddock B.V.;;;1;;;;;1
Foodhall Foodexplore;;;1;;;;;1
Football Club Utrecht B.V.;;;1;;;;;1
Fopshop B.V.;;;1;;;;;1
Fop-Sjop;;;1;;;;;1
Forellen Visvijvers De Woldstek;;;1;;;;;1
Forens. Psycholog. Adv.bur. drs. R. de Vries;;;;;;;1;1
Forensicon B.V.;;;;;1;;;1
