Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
KPN B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;2
KPN Corporate Market;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
KPN HotSpots B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;2
Kracht van Beleving;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Krauthammer Holding B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kropman Installatietechniek;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
KSG B.V.;;;;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Kuik & Partn. Gerechtsdeurw. & Inc.bur. B.V.;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Kunstgras Events B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
KWS Infra B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
La Cantina di David B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
La Cucina Italiana;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
La Gro Advocaten;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
La Raduzzi Kunsteducatie;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
La Résidence Business Services;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lagerweij Holding B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Laheij Gespreksleiding;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Lambert & Company B.V.;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3
Landelijk Werkverband Praktijkonderwijs;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Landgoed de Horst;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Landgoed Zonheuvel;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
LAVA;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Le Connaisseur;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Leaseplan Nederland N.V.;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;4
Lectric Trainingen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Leeuwendaal Advies B.V.;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3
Leidje Witte Coaching en Training;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lentjes Training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Leo Birza Advies B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
LexisNexis Benelux;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;2
Libra Revalidatie & Audiologie;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
LifeGuard Academy B.V.;2;;;1;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;3
Lijst-in (R.C. Koolen);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Linja Logistics;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Little V Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Livit Orthopedie;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lloyd Hotel;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Lloyd's Register Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Logeion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Logicx Berging B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
LogoChoc B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Lokaal 305;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lokaal 58 B.V.;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Lokaal Centraal;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Loohuis Installatietechnieken;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Loon- en verhuurbedrijf T. van Beijnum;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Louter Communicatie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
LS Holding B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lumenz;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Lummus Technology Heat Transfer B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Lunch at Your Job Catering;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lydia Jumelet, Communicatiemanagement;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Lyreco Nederland B.V.;;1;;;;;;;;;;;;;;;;;1;5;;1;;;;;;;;;;;1;;;;5
M & I /Partners B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
M. de Rooij Sound Service;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
M. Dooper;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Maastricht Events Company;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Maatsch. Huisartsen Gezondh.centr. Daalmeer;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatsch. Internisten en MDL artsen Roosendaal;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Kaakchirurgie;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Neurologie Roosendaal;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Orthopedie;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Orthopedie Bernhoven;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Orthopedie Havenziekenhuis;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Orthopedie MCgroep;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap plastische chirurgen GHZ;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap Suijker;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Maatschap Urologie Nij Smellinghe;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Maatschap voor Communicatie;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3
M-Act;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mad Multimedia;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Madurodam B.V.;;1;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
MaMa Kelly B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mammoni Koken + Eten;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Management Drives Europe B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Manonne Make Up & Hair;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Manutan B.V.;;;;;;;;;;;;;;1;;;;;1;1;;;1;;;;;;;;;;;;;1;1
Marijke Vromans Communicatieadvies & Teksten;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Marion Matthijssen onderzoek & training;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
MarJony Events;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Marlies Dijkstra Communicatie;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
Marmaris Restaurant;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Martijn Beekman Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Más Mik;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Massage in Bedrijf;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Maters & Hermsen Journalistiek B.V.;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Maxilia B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Media Info Groep B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mediavrouw;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Medisch Specialisten Noord West;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Mediterraan Restaurant Het Zuiden B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
meereffect;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Meeting Plaza Utrecht B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
MeetingDistrict;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Mercure Den Haag Central;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Metier Academy Benelux B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Metis IT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;6;6
Mett;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Millers;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
Misco Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;2
Mitsubishi Nederland B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mobility Mixx B.V.;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
Moduli Print B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Momento;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mommers Managementadvies & Coaching;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Monier B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Monique Speelman Communicatie;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Montage Onderneming Benelux B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
MOOI van Marian Voorburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
More Balls Than Most B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Mosselman & Beernink B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Motel Spier Exploitatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Motivaction International B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Motus B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Movenience B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Mozjda V.O.F.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
MSB de Medici;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Mts. Gynaec. Atrium Medisch Centrum Parkstad;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Muijs Touringcarbedrijf en Reisbureau B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Multigift Relatiegeschenken B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Multiply-it;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Multirent Den Haag;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Multiwal B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Museum Beelden aan Zee;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Museum Catering B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Museum Het Schip;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Museumkwartier B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
MYbusinessmedia B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
N.T.I. Nederlands Talen Instituut B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
N.V. Nederlandse Spoorwegen;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Nationale Beeldbank B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nationale-Nederlanden Nederland B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Natuurlijk in je kracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Nauta Services B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
NEBO Foto-Video-Digitaal;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Nederland. Stg. v. Management Development;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Nederlands Genootschap voor Sociale Zekerheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Nederlandse Stg. v. Corporate Universities;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nederlandse Vereniging voor Arbeidshygiene;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Neopost;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Nestlé Nederland B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Nestlé Waters Direct Netherlands B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Netstar Audiovisueel B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Neuland Nederland;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
New Babylon Meeting Center B.V.;;1;;1;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;2
NewTeam B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
NFGD Zoetermeer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
NH Den Haag;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Nice thingZ;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Niembooda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Nieuwe of Litteraire Sociëteit De Witte;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nijgh Publishing Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Nikita Horeca B.V.;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
NIOW B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
NIVO Plus;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nivoo Opleidingen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
NMS National Multiple Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
NOA;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Noise B.V.;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Noordbeek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;3
Noordzij-Brielle B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Novares Gennep B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
NRC Media Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
NS Reizigers B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
NSI Training & Periodieke Inspectiedienst;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nsob;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Nuclear Research and Consultancy Group;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Nynke Jagersma Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
O'Casey's Irish Pub & Restaurant;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
OCLC EMEA B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Odrada Ontwerp & Organisatie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Odyssee B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Oesterbaai B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Oker B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Oldschool Restaurant B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Omerus B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Onder Ogen B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Onderzoeksbureau Labyrinth B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Onestopsourcing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;5;6
onlinekabelshop.nl;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ontuitive Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Ontwerpwerk B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Oosterhoorn Medezeggenschap;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Open Ateliers B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Opleidingscentrum Haaglanden B.V.;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Opmeer Drukkerij B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Optica Bogaerts B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Optiek 't Ginneke;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Optiek Van der Velde;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Optima Forma B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Orange5 Catering & Events B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Organisatieregie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
OSAGE communicatie en ontwerp;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;4
Oscars Scheveningen B.V.;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2
Otro Timmerbedrijf;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Oudaen B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Oude Pakhuys B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ouëndag & Silberman;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Out of The Sun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Overbosch;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Paagman Den Haag B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Paardentaxi Groene Hart;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Paco Verpakkingen;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Pageshuis B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Palatium Amstelodamum N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Paleishotel;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Pan;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Panteia B.V.;;;;;;;7;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;4;7
Papyrus Groep Nederland B.V.;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
Pardon Consult;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1
Parosha Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Parthen Meeting Essentials B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Patisserie Linnick;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Paul Tolenaar Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
PaulBlok.Com B.V.;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
PBT Consult B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Pearle opticiens;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Pearle opticiens Hans Eggink Optiek;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Pelosa Network Engineering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;2;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;3
Pensioen J. Min B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Per Saldo;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Perfect Couriers;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Performa Uitgeverij B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Perinco Real Estate II B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Peter Scholten Holding B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Petersen Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Phaos Advies B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Phil Nijhuis Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Philip Roermond B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Phoenix Opleidingen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Physio-Control Operations Netherlands B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Pieterson Delicatessen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Pilkington's Food Group;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Pino Evenementen & Congressen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Pizzeria La Fontana B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
PlakKaatje;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Planet Jump;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Planon B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Plein 9 A B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
POL Heteren B.V.;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3
Poleypalm;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Polichlo Holland B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Pondres Direct Mail B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Porter Novelli B.V.;;;;;;1;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5
Postillion Amersfoort;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
PostNL Retail B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Postwagen Tolbert B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
PQR B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
