OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_TUNNELBUIS_PUIC,ROTATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
192,f246cc7d-403c-41d7-90e4-02977e2bf222,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.810621,"38,810621",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97670.908,429726.106,51.85315425,4.55508974
193,7516ff34-47f2-4d94-887c-89796288122b,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.555993,"38,555993",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97816.499,429518.596,51.85130419,4.55723711
194,429a0bc2-2bb0-4a5e-8b68-9453300c0c9e,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.394893,"173,394893",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115673.445,492577.882,52.41960007,4.80910864
195,14315b13-fc50-4e00-9979-b78f8d9d2b51,,283,Onbekend,-1,,230,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,13.470832,"13,470832",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112780.182,480932.109,52.31472283,4.76804314
196,3e262be7-3d21-449c-9654-80d4f8ae048a,,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.599474,"49,599474",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155520.474,390496.178,51.50348344,5.39469591
197,e2bc5396-8064-4a3d-ae89-abd617f81b7d,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.25335,"39,253350",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97425.315,430091.948,51.85641696,4.55146438
198,ddfc4317-c198-4756-af0e-8915415c4a0a,,120,Bestaand,-1,,145,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.359087,"14,359087",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112261.155,480213.883,52.3082279,4.76052306
199,2e16624d-e6f9-4527-ac9e-f54bddc57ee1,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.003376,"173,003376",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115831.402,492936.828,52.42283726,4.81138855
200,cee70a1e-663b-4722-83d0-f3df989b2926,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.505203,"39,505203",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97294.127,430307.968,51.85834488,4.54952417
201,d46c0451-034d-4579-9c90-2dd012d95573,,283,Onbekend,-1,,15,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.742634,"16,742634",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110233.45,479019.633,52.29733368,4.7309511
202,977bf183-23b7-4818-914b-2341e49a0a0b,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.351443,"210,351443",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97588.68,429779.629,51.85362682,4.55388745
203,eb5455f0-ab41-4afc-9ee9-15d7ecc8aee3,,283,Onbekend,-1,,265,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,10.850065,"10,850065",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,104981.704,498513.145,52.47206803,4.651066
204,7824139b-7c2c-48cd-8aad-e93761555779,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.553155,"46,553155",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93915.549,436501.721,51.91365099,4.49938664
205,b60dfbe7-553e-44bb-abd9-c4f245fc58c9,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.088665,"49,088665",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155292.865,390955.591,51.50761311,5.39141814
206,3c8401c8-322e-47e9-829b-fad46ace6e61,,283,Onbekend,-2,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.964716,"30,964716",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,228104.23,487045.362,52.36641768,6.46055776
207,bcce5521-e1fb-4196-9e42-a032905b8668,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.4,"30,400000",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187266.851,504598.24,52.52808786,5.86268914
208,6c93553d-2f0d-4273-9514-edad3f294376,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.429315,"38,429315",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97893.528,429417.903,51.8504071,4.55837166
209,1a0c029c-50a4-4b72-888a-1a1b2bce6d57,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.935128,"209,935128",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97367.936,430132.115,51.85677203,4.55062486
210,9c5b4c94-6087-4b0f-ac6e-472dbcabdb6e,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.799975,"173,799975",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115517.361,492204.854,52.4162364,4.80685825
211,07b47776-a5fb-4b64-8c81-7da2b9618ca2,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.957228,"210,957228",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97973.8,429310.614,51.84945106,4.55955431
212,519df26a-d03d-4166-9a19-37644b7cded8,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.824668,"210,824668",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97888.894,429413.878,51.85037045,4.55830507
213,62845497-1635-4af6-883b-c0853af1b3b3,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.698079,"210,698079",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97803.935,429507.649,51.85120452,4.55705659
214,0c6187cf-06ac-4bcb-8e9f-ec9ed739a3ad,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.698504,"210,698504",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97795.264,429499.75,51.85113263,4.55693206
215,27c11d29-ffe4-4363-974b-b0de8f4c094e,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.245705,"210,245705",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97519.423,429860.569,51.85434714,4.55286882
216,01f5a016-8847-4410-b93d-46eb1a1b8aee,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.003073,"173,003073",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115837.678,492934.408,52.42281596,4.81148109
217,0f63a43b-7e7f-4f75-a1bf-5dc97b6fa9b6,,283,Onbekend,-1,,245,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.435277,"172,435277",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,116066.282,493453.828,52.42750034,4.8147813
218,ed34698e-28ff-4bd4-9dc9-20ed4a5eeece,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.29637,"38,296370",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,98001.864,429337.822,51.84969846,4.55995709
219,03c49a1c-c825-42b3-a258-9f408de40b93,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.297187,"38,297187",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,98008.969,429346.377,51.84977607,4.56005878
220,6026c35c-1140-4db9-b4b5-ce38c7d02e42,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.365035,"38,365035",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97945.874,429378.74,51.85006048,4.55913779
221,fca04e06-7216-41f9-a2bc-7b72f8425120,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.365174,"38,365174",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97961.228,429394.03,51.85019947,4.55935809
222,d038172a-2aae-4d4f-a51c-8a2e0a0d606e,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.491946,"38,491946",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97874.91,429486.154,51.85101861,4.55809018
223,0e09eb55-9b5b-469d-94e1-e83aba8ca7ce,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.619884,"38,619884",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97784.799,429574.539,51.85180373,4.55676779
224,d9ccba49-4394-47ad-93da-b6805c3ac31c,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.682807,"38,682807",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97736.052,429615.282,51.85216491,4.55605358
225,d03893c4-9aa8-4dcc-9818-667fe52390fd,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.746879,"38,746879",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97708.244,429674.773,51.85269673,4.55564013
226,371761b4-5c79-4a7d-a71f-c3c454ec4f86,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.811041,"38,811041",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97681.368,429734.317,51.85322912,4.55524019
227,fda8b210-f054-49e6-ab81-67fefa57f4a3,,120,Bestaand,-1,,150,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.352492,"14,352492",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112248.124,480232.839,52.30839725,4.76032959
228,a71fa882-7a3e-4ad0-bfaf-804ea56d3a51,,283,Onbekend,-1,,225,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.254589,"47,254589",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93412.29,436996.849,51.91804544,4.49198431
229,a38d903c-ae9c-4bce-a303-fe15cd4ec0d4,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.665109,"173,665109",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115565.052,492330.813,52.41737184,4.80754441
230,58f10864-965d-4993-822b-7a8acfa957e4,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.253906,"48,253906",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92755.485,437769.536,51.92491677,4.48229845
231,e753d2d6-4db1-4e0d-a837-03935c6a903c,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.568241,"39,568241",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97284.028,430373.931,51.85893668,4.54936655
