Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
TAPAS MIRÓ;;;1;;;;;;1
Tappan Communicatie;;;;;1;;;;1
TAQT TRAINING EN ADVIES;;;;;1;;;;1
Taran B.V.;;;1;;;;;;1
TASTE AMSTERDAM;;;1;;;;;;1
Tasty Wok Hotel Restaurant;;;1;;;;;;1
Tauw;;;;;1;;;;1
Taverne De Resident Restaurant;;;1;;;;;;1
TAVERNE LAMBIECK;;;1;;;;;;1
Taxi & Tour P. van De Pol;;;;;;;;1;1
Taxi Prins Reizen;;;;;;;;1;1
TAXI RADEMAKERS B.V.;;;;;;;;1;1
TAXI-EVENTS;;;;;;;;1;1
TB Total Blue Events Evenementenbureau;;;1;;;;;;1
TC en O Mobydesk;;;;;;;;1;1
TCR Tours;;;1;;;;;;1
Team Out;;;1;;;;;;1
TEAMLUYT EVENTS B.V.;;;;;;;;1;1
TECH VAKEXAMENS INST VOOR;;;;;1;;;;1
Telecom Service Groep;;1;;;;;;;1
Telindus (incl. ISIT, 2-Store);;;;;1;;;;1
Tenn Sales;;;1;;;;;;1
TER DUIN EXPPOITATIE;;;;;;;;1;1
Terminus Hotel;;;;;;;;1;1
Texel Hotel;;;;;;;;1;1
Tezet Business Gifts;;;2;;;;;;2
Thalia Taxi;;;;;1;;;;1
The Amsterdam Dungeon;;;1;;;;;;1
THE BARON'S LODGE B.V.;;;1;;;;;;1
The Game Company;;;1;;;;;;1
The Grand Winston Hotel;;;1;;;;;1;1
The Learning Circle;;;;;1;;;;1
The Lime Tree;;;;;1;;;;1
The Prince;;;1;;;;;;1
The Raffles Oriental Restaurant;;;1;;;;;;1
The Room of Listening;;;;;1;;;;1
The SharePoint Academy;;;;;1;;;;1
The Square Mile;;;;;2;;;;2
The Trafalgar Pub;;;1;;;;;;1
The Twins;;;1;;;;;;1
The Unit;;;;;1;;;;1
Theaterhotel De Oranjerie;;;1;;;;;1;1
Theehuis Rhijnauwen;;;1;;;;;;1
Theeschenkerij Het Rieten Dak;;;1;;;;;;1
THEGAMEFREAK;;;1;;;;;;1
TIEKAMP BUITENSPORT;;;1;;;;;;1
Tijsterman Restaurant;;;1;;;;;;1
TNO;;;;;1;;;;1
Toba Maastricht;;;1;;;;;;1
Toet Bakkerij;;;1;;;;;;1
TOEVERSHOF;;;1;;;;;;1
Toko Eddo;;;1;;;;;;1
Toko Kediri;;;1;;;;;;1
Tollius Restaurant;;;1;;;;;;1
TOMASSEN SLAGERIJ;;;1;;;;;;1
Tonna/Waller V.O.F.;;;1;;;;;;1
Top Boulevard;;;1;;;;;;1
Top Movers;1;;;;;;;;1
Topbloemen Nederland;;;2;;;;;;2
TOPCIVIEL;;;;;2;;;;2
Topkapi - Sense Restaurant;;;1;;;;;;1
Topselect;;;;;1;;;;1
Toque-Toque Restaurant;;;1;;;;;;1
Tornak Groep;;;;;1;;;;1
TOS Transport & Offshore Services;;;;1;;;;;1
Touchee;;;1;;;;;;1
Toverland Attraktiepark;;;1;;;;;;1
Tower Leisure (Haagse Toren);;;1;;;;;;1
TRABANTHUREN.NL;;;1;;;;;;1
Tradaware;;;1;;;;;;1
Trainingsinstituut Tjongeroog;;;;;1;;;;1
transform@work;;;;;1;;;;1
Transparant Systemisch Werken;;;1;;;;;;1
Transportopleidingen Zuid-Nederland;;;;;1;;;;1
TRConsult;;;;;1;;;;1
TREES FOR ALL STICHTING;;;1;;;;;;1
Triamfloat;;;;;5;;;;5
TRICEPS IDE;;;;;1;;;;1
Trimension;;;;;1;;;;1
TRIPLE BRIDGE;;;;;1;;;;1
Troje Training en Theater;;;1;;;;;;1
TSTC Tshukudu Technology College;;;;;2;;;;2
TVK INSTRUCTIE B.V.;;;;;1;;;;1
Twitter;;;1;;;;;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;;4;;;;4
Tyco Integrated Fire & Security (incl. ADT Fire & Security);;1;;;;;;;1
Tyrilo (incl. Oscars restaurant);;;2;;;;;;2
U&I Learning Nederland;;;;;4;;;;4
Uit je eigen stad;;;1;;;;;;1
Uit koken / Diner Thuis;;;1;;;;;;1
Uitspanning Het Engelse Werk;;;1;;;;;;1
UITSPANNING MOLEN DE HOOP;;;1;;;;;;1
Ultimo Software Solutions;;;;;1;;;;1
Umberto Hotel-Restaurant-Zalen;;;;;;;;1;1
Ume Venlo;;;1;;;;;;1
Unico Kampen;;;1;;;;;;1
Uniekaas International;;;1;;;;;;1
Unisafe;;1;;;;;;;1
United Talent;;;;;1;;;;1
Unlimited People (incl. Burnout Poli);;;;;1;;;;1
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);;;;;;;;1;1
Utrecht Toerisme & Recreatie;;;1;;;;;;1
Utrecht's Rondvaartbedrijf Rederij Schuttevaer;;;1;;;;;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;2;;;;;;;1;2
Uturnity;;;;;2;;;;2
V.O.F. AARNOUTSE;;;;;1;;;;1
V.O.F. Arie Schep Catering- en;;;1;;;;;;1
V.O.F. BOELHOUWER T.H.O.D.N. BAKKER;;;1;;;;;;1
V.O.F. DE COCK & DE KOK;;;1;;;;;;1
V.O.F. DE STEENBOK;;;1;;;;;;1
V.O.F. GASTERIJ DE KROMSTEERT;;;1;;;;;;1
V.O.F. Horeca Flevoland;;;1;;;;;;1
V.O.F. JACOBS SLAGERIJ;;;1;;;;;;1
V.O.F. PENSION OUDDORP;;;;;;;;2;2
V11 LLP;;;1;;;;;;1
Va Bien;;;1;;;;;;1
Valkerij De Havikshoeve;;;1;;;;;;1
Van Aemstel Produkties;;;1;;;;;;1
Van Buuren Restaurant;;;1;;;;;;1
Van Dantzig Communicatiepartners;;;;;1;;;;1
Van De Sande Drukkerij;;;1;;;;;;1
van de Velde-Quiambao;;;1;;;;;;1
Van der Dussen Restaurant;;;1;;;;;;1
VAN DER ENDE & DEN HEIJER V.O.F.;;;1;;;;;;1
Van der Heide Bliksembeveiliging, Opleiding & Inspectie;;;;;1;;;;1
Van der Hilst Communicatie-Trainingen;;;;;2;;;;2
Van der Linde Catering + Evenementen;;;1;;;;;;1
Van der Peijl Groep;;1;;;;;;;1
Van der Pluijm & Roodenrijs de Bakkers;;;1;;;;;;1
Van der Sterren Beheer Amsterdam;;;1;;;;;;1
Van der Valk Hotels;;;2;;1;1;;2;3
Van der Veeken en De Bruijn Trainingen;;;;;1;;;;1
Van Dijke Adviesbureau;;;;;1;;;;1
Van Driel Vervoersdienst;;;1;;;;;1;1
Van Harte & Lingsma;;;;;2;;;;2
Van Oldenborgh Consult;;;;;1;;;;1
Van Oss & Partners / Training Coach;;;;;1;;;;1
Van Stockum;;;1;;1;;;;1
Van Velsen Reflectielijnen;;;1;;;;;;1
Van werk naar werk (The Expat Company);;;;;2;;;;2
Van Zelf;;;;;1;;;;1
Van Zoggel Complete Catering;;;1;;;;;;1
Vandaag Restaurant;;;1;;;;;;1
VanDoClean / Absorbit;;1;;;;;;;1
Vastgoed Cert (Stichting);;;;;1;;;;1
VBR Vereniging Voor Bouwrecht;;;1;;;;;;1
VCK Groep, Travel & Logistics;;;1;;1;;;7;7
VDM Van der Meer Tours;;;1;;;;;;1
VEERDIENST AFFERDEN;;;;;;;;1;1
Veilig Verkeer Nederland;;;;;1;;;;1
Veilingmeester;;;1;;;;;;1
VELP SCHOOL VOOR PODIUMKUNSTEN-;;;1;;;;;;1
VELTEN & DE WITH;;;;;;;;1;1
Velzen Textielreiniging (incl. Zilvermeeuw);;1;;;;;;;1
VEN IN T ST GASTERIJ;;;1;;;;;;1
VENDRIG J BEDRIJFCATERING;;;1;;;;;;1
VERAAR TOURS B.V;;;;;;;;1;1
Verborg Holding B.V.;;;;;1;;;;1
Verder Organisatiebegeleiding;;;1;;;;;;1
VERDRAAGZAAMHEID DE CAFE REST;;;1;;;;;;1
Vereniging de Ceuvel;;;1;;;;;;1
VERENIGING DEMETER;;;;;1;;;;1
Vereniging Tot Behoud van Natuurmonumenten;;;1;;;;;;1
VERENIGING VAN WATERBOUWERS;;;1;;;;;;1
Vereniging Vastgoed Juristen;;;;;1;;;;1
Vereniging Voor Overheidsmanagement;;;2;;;;;;2
Vereniging Voor Waterstaat en Landinrichting;;;1;;;;;;1
VERKADE HORIZONVERKENNING & ORG;;;;;1;;;;1
VERKEERS OPLEIDINGEN ZUID B.V.;;;;;1;;;;1
Verkeersveiligheid Groep Nederland (incl. SEC Safety Experience Center);;;;;2;;;;2
Vermaat Leisure, Horeca, Service;;;1;;;;;;1
Vermeij Verpakkingsmateriaal;;1;;;;;;;1
VERSLOOT & PARTNERS;;;;;1;;;;1
Versteegh en van Baars;;;;;1;;;;1
VHIC (Van Heijst Information Consulting) Uitgeverij;;;;;2;;;;2
Via Milia;;;;;1;;;;1
Vicrea Solutions;;;;;1;;;;1
Victoria EHP Exploitatie Hotel;;;;;;;;1;1
Vijfschaft Catering en Verhuur;;;1;;;;;;1
Vijverberg Juristen (incl. Detachering);;;;;1;;;;1
Viking Life Saving Equipment;;1;;;;;;;1
Villa Augustus Hotel-Restaurant;;;1;;;;;1;1
Villa Velperweg;;;1;;;;;;1
Villa Vredeoord;;;1;;;;;;1
Villa Westend;;;1;;;;;;1
Vino & Cucina Restaurant;;;1;;;;;;1
Vis Trainingen;;;;;1;;;;1
Viskwekerij Neeltje Jans B.V.;;;1;;;;;;1
Vistanova;;;;;1;;;;1
Vitaria-Eeterij Family;;;1;;;;;;1
Vlaanderen Cafe Diner Restaurant;;;1;;;;;;1
VLIETZICHT;;;1;;;;;;1
Vlissingse Bootliedenwacht (incl. VLB Services Bedrijf);;;;;;;;1;1
VMR Vereniging voor Milieurecht;;;;;1;;;;1
VMTL;;;;;1;;;;1
Vodafone (incl. Libertel);;;;;1;;;;1
VOELCOACHING;;;;;1;;;;1
Voelspriet;;;;;1;;;;1
VOERMAN NIJMEGEN;;1;;;;;;;1
VOF Arx & Zenit;;;;;1;;;;1
VOGELVRIJ;;;;;1;;;;1
Voor Claar;;;1;;;;;;1
Vos van Loon & Partners;;;;;;;;1;1
Vreugde Tours;;;1;;1;;;1;1
Vriendschap Café-Restaurant;;;1;;;;;;1
VVC Verkeersschool;;;1;;;;;;1
VVCR Europe;;;;;1;;;;1
VVM Netwerk van Milieuprofessionals;;;;;1;;;;1
VVV Nederland;;;2;;;;;;2
''W DORST ''''RESTO LISSE'''' B.V.'';;;1;;;;;;1
W. de Boer Party Service;;;1;;;;;;1
W. Meijer Horeca;;;1;;;;;;1
Waa Leer Werk;;;1;;;;;;1
Waddentaxi;;;;;;;;1;1
Waddenvereniging;;;1;;;;;;1
WAGENAAR BBQ;;;1;;;;;;1
Wagenborg Passagiersdiensten;;;;;;;;1;1
Wagner Group;;;;;1;;;;1
Wakkere Zaken;;;;;1;;;;1
Wally's;;;1;;;;;;1
Wantij Paviljoen;;;1;;;;;;1
WARD WELLING;;;1;;;;;;1
Waterproef Restaurant;;;1;;;;;;1
Watersnoodmuseum;;;1;;;;;;1
Watertaxi Rotterdam;;;1;;;;;1;1
Wato Events;;;1;;;;;;1
WBS - Wageningen Business School;;;;;1;;;1;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;1;;;;;;1
WEGWEZEN PERSONEELSVER;;;1;;;;;;1
Weka Uitgeverij;;;1;;1;;;;1
WesselinkVanZijst;;;;;2;;;;2
Westcord Hotels;;;;;;;;2;2
''''''wezenlijk werken'''' training & coach'';;;;;1;;;;1
WICC Hotel en Congrescentrum;;;1;;;;;;1
Wicked Wines Ii;;;1;;;;;;1
Wielders Management;;;1;;;;;;1
WIELEMAN ZALENCENTR;;;1;;;;;;1
Wielinga Wijnkoperij;;;1;;;;;;1
Wieringermeer Hotel;;;1;;;;;1;1
WIJ Strandclub;;;1;;;;;;1
Wijngaarden Veilig Goed;;1;;;;;;;1
Wijnhandel Koninginneweg;;;1;;;;;;1
WIJNKOPERS;;;1;;;;;;1
Wijnlokaal 1900;;;1;;;;;;1
Wilhelminapark Restaurant;;;1;;;;;;1
Willem Pot B.V.;;;;;1;;;;1
Wim van Rooijen Beheer;;;1;;;;;;1
Wings Food & Drinks;;;1;;;;;;1
Winkel van Sinkel Cultureel;;;1;;;;;;1
Winkelman van Hessen;;;;;2;;;;2
Wisseloord;;;1;;;;;;1
WNM Beheer;;;1;;;;;;1
Wok Masters;;;1;;;;;;1
Wok-hotel Middelburg;;;;;;;;1;1
Wolters Kluwer (incl. Kluwer);;;;;1;;;;1
Woonwenz (Venlo-Blerick Woningstichting);;;1;;;;;;1
Workshop-to-Go;;;;;1;;;;1
Worktrainer;;;1;;;;;;1
Woudschoten Conferentiecentrum;;;;;1;;;;1
Wouters Café;;;1;;;;;;1
X ELST;;;1;;;;;;1
XL Adventure and Events;;;1;;;;;;1
YACHT CLUB LELYSTAD HAVEN;;;1;;;;;;1
Yakimono;;;1;;;;;;1
Yinglixia;;;1;;;;;;1
Ying's Wokpalace;;;1;;;;;;1
Yolk;;;;;3;;;;3
YZZO;;;1;;;;;;1
Zaan Inn Hotel;;;;;;;;1;1
Zalm Bowling Westerpark;;;1;;;;;;1
Zanzibar Beachclub;;;1;;;;;;1
ZCN Totaalvervoer (incl. Zorgvervoercentrale Nederland);;;1;;;;;4;4
Zebs Rest;;;1;;;;;;1
ZEE-EN VERVOERSRECHT NED VER;;;;;1;;;;1
Zeeland Delta Promotie en Marketing;;;1;;;;;;1
Zeetop;;;;;1;;;;1
Zeeuwse Volksuniversiteit;;;;;1;;;;1
Zeezicht Hotel-Café-Restaurant;;;;;;;;1;1
Zen.nl;;;;;1;;;;1
Ziggo (vh Casema);;;;;;;;1;1
Zinaplatform Stg;;;1;;;;;;1
Zoetermeerse Dagtochten Specialist;;;;;;;;1;1
Zorba de Griek Restaurant;;;1;;;;;;1
Zuid café;;;1;;;;;;1
ZUID NEDERLAND REIZEN;;;1;;;;;;1
Zuid Strandpalviljoen;;;1;;;;;;1
Zuidema Bureau;;;;;3;;;;3
Zuiver Restaurant;;;1;;;;;;1
Zussen Lobby Restaurant;;;1;;;;;;1
Zwaluw Reizen;;;1;;;;;1;1
Zwartewater Hotel;;;1;;;;;;1
Zwarts & Jansma Architecten;;;;;;;;1;1
Zwolle Restaurant;;;1;;;;;1;1
Eindtotaal;2;6;7;4;9;2;3;9;10
