Leveranciersnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
NH Atlanta Rotterdam;;;;;;;;;1;1
NH Central Station;;;;;;;;;1;1
NH Conference Centre Leeuwenhorst;;;;;;;;;1;1
NH Den Haag;;;;;;;;;1;1
NH Heidelberg;;;;;;;;;1;1
NH Schiller;;;;;;;;;1;1
NH Zoetermeer;;;;;;;;;1;1
nhow Rotterdam;;;;1;;;;;;1
NHOW Rotterdam B.V.;;;;;;2;;;;2
Nieuwe of Litteraire Sociëteit De Witte;;;;1;;;;;;1
NieuwPerspectief;;;;;;1;;;;1
NIKS & PARTNERS, INTERIM EVENTMANAGEMENT;;;;2;;;;;;2
NIMO Academy B.V.;;;;;;2;;;;2
NIOW VAARDIGHEIDSTRAININGEN;;;;;;1;;;;1
NIP;;;;;;1;;;;1
Nisto Opleidingen;;;;;;1;;;;1
NL Oracle User Group;;;;;;1;;;;1
NLJUG B.V.;;;;;;2;;;;2
NOBBE MIERAS;;;;;;1;;;;1
NOEN;;;;1;;;;;;1
NOLOC;;;;;;1;;;;1
NOTARIAAT WINSCHOTEN;;;;;;1;;;;1
Notuleren.nl;;;;;;1;;;;1
Novotel (Amsterdam / Den Haag);;;;;;;;;1;1
NOVOTEL DEN HAAG CITY CENTRE;;;;;;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;;;1;;1;;;;1
NRC Handelsblad Weekeditie voor het;;;1;1;;1;;;;1
NS REIZIGERS B V;;;;;;;;;1;1
NS Reizigers B.V.;;;;;;;;;1;1
NSOB B.V.;;;;;;2;;;;2
NTI B.V.;;;;;;1;;;;1
NTI Opleidingen;;;;;;1;;;;1
Numa Business & IT Management B.V.;;;;;;1;;;;1
Numase B.V.;;;;;;1;;;;1
NVB;;;;;;1;;;;1
NW OF LITTERAIRE SOCIETEIT DE WITTE;;;;1;;;;;;1
NYENRODE SERVICES;;;;;;2;;;;2
O & S Consultants;;;;;;1;;;;1
O.L.V.S. Optical Low Vision Services;;;1;;;;;;;1
Oase Beach Exploitatie B.V.;;;;1;;;;;;1
OASIS;;;;2;;;;;;2
Obex Opleidingen B.V.;;;;;;2;;;;2
OCA Operations BV;;;1;;;;;;;1
Ockenburgh Leisure;;;;1;;;;;;1
Odissea;;;;;;1;;;;1
Odyssee B.V.;;;;;;2;;;;2
ODYSSEE OO;;;;;;1;;;;1
OEDIPUS BREWING;;;;1;;;;;;1
Oefentherapie Cesar;;;1;;;;;;;1
Office Athletes B.V.;;;1;;;;;;;1
OFFICE DEPOT;;;;;;1;;;;1
Oker B.V.;;;;1;;;;;;1
Oker Breda B.V.;;;;1;;;;;;1
Ollini;;;;2;;;;;;2
OmgevingsAlert B.V.;;;;1;;;;;;1
OmniCard B.V.;;1;;;;;;;;1
Onder de Luifel;;;;1;;;;;;1
ONI B.V.;;;;1;;;;;;1
ONLINEBP;;;;;;1;;;;1
OnlyHuman Groep B.V.;;;;;1;;;;;1
ONS VOORGESLACHT;;;;;;1;;;;1
Ontbijt & Lunch Juni;;;;1;;;;;;1
Oortwijn;;;;1;;;;;;1
OOSTDUINHAGHE HOTEL;;;;1;;;;;;1
Opblaasplaza.nl;;;;1;;;;;;1
Open Ateliers B.V.;;;;;;1;;;;1
Open Monumentendag;;;;;;1;;;;1
Opleidingscentrum haaglanden;;;;;;1;;;;1
Opleidingscentrum Haaglanden B.V.;;;;;;1;;;;1
OpleidingscentrumHaaglanden;;;;;;1;;;;1
OPPORTUNITY OPLEIDINGEN;;;;;;3;;;;3
OR.NL INTERNETDIENSTEN;;;;;;1;;;;1
Oracle Benelux Usergroups;;;;;;1;;;;1
ORGANISATIEREGIE;;;;;;1;;;;1
ORIGINAL TOURS EN EVENTS AMSTERDAM;;;;1;;;;;;1
OSR JURIDISCHE OPLEIDINGEN;;;;;;1;;;;1
Osteria Elpidio;;;;1;;;;;;1
OTCP;;;;;;1;;;;1
OTS InterStudie;;;;;;1;;;;1
Otto Wijnen Speaker & Coach;;;;;;1;;;;1
Otys International B.V.;;;;;;1;;;;1
Oudaen B.V.;;;;1;;;;;;1
Outdoor Valley;;;;1;;;;;;1
OUWEHANDS DIERENPARK B.V.;;;;1;;;;;;1
OVERIJSSELSCH REGT EN GESCHIEDENIS;;;;;;1;;;;1
P1 Parking Hooghuis B.V.;;;;;;;;;1;1
Pact Eilander;;;;;;1;;;;1
PACT groep;;;;;;1;;;;1
PAGESHUIS;;;;1;;1;;;;1
Pan;;;;1;;;;;;1
Pantem B.V.;;;;1;;;1;;;1
Paralax B.V.;;;;;;1;;;;1
Parck Restaurant;;;;1;;;;;;1
PARK PLAZA UTRECHT;;;;1;;;;;;1
PARKHOTEL DEN HAAG;;;1;;;;;;2;2
Parktheater Eindhoven N.V.;;;;1;;;;;;1
Partner in Leiderschap;;;;;;1;;;;1
Partners in Cultuur en Beleving B.V.;;;;1;;;;;;1
PARTYBOERDERIJ DE URNENHOEVE;;;;1;;;;;;1
Party-centrum de Haas;;;;1;;;;;;1
Partycentrum Dekker's Hoeve;;;;1;;;;;;1
Partycentrum 't Drieluik;;;;1;;;;;;1
Partycharter B.V.;;;;;;1;;;;1
Passe-Partout;;;;;;1;;;;1
Passion@Work;;;;;;1;;;;1
PAST PRESENTS;;;;;;1;;;;1
PASTIS DEN HAAG;;;;1;;;;;;1
Pause to Play;;;;;;1;;;;1
PBL-Coaching & Training;;;;;;1;;;;1
PBLQ B.V.;;;;;;2;;;;2
PBLQ HEC ( Het Expertise Centrum);;;;;;1;;;;1
PBLQ ROI;;;;;;1;;;;1
PDS Professional Driving Solutions B.V.;;;;;;3;;;;3
Pegasus Events;;;;1;;;;;;1
PELLENAER EVENTS PAVILJOEN DE WITTE;;;;1;;;;;;1
Pennekamp PHB;;;;;;;;;1;1
PENNINGMEESTER VERENIGING GELRE;;;;;;1;;;;1
PENTA SCOPE;;;;;;1;;;;1
PeP;;;;1;;;;;1;1
PeP Restaurants B.V.;;;;1;;;;;1;1
PERFORMA UITGEVERIJ;;;;1;;1;;;;1
Permes;;;1;;;;;;;1
Perron 4/5;;;;1;;;;;;1
Personal Talent;;;;;;1;;;;1
PERSONALWORKZ;;;;;;1;;;;1
PHAOS ADVIES;;;;;;1;;;;1
Phaos Advies B.V.;;;;;;1;;;;1
PHAROS ADVIES LOOPBAANDIENSTEN;;;;;;1;;;;1
PHOENIX OPLEIDINGEN;;;;;;1;;;;1
Phonsawan B.V.;;;;1;;;;;;1
PHONSAWAN THAIS RESTAURANT;;;;1;;;;;;1
PHYLEON;;;;;;1;;;;1
PII B.V.;;;;;;1;;;;1
PIM II B.V.;;;;1;;;;;;1
PINKCUBE;;;;1;;;;;;1
Pinkcube B.V.;;;;1;;;;;;1
Pino Communicatie;;;;;;1;;;;1
Pino Evenementen & Congressen B.V.;;;;3;;;;;;3
PINOCCHIO PIZZERIA;;;;1;;;;;;1
Pitch & Putt Golf Heerde;;;;1;;;;;;1
PK2 Selfmanagement;;;;;;1;;;;1
PLANGROEP SCHULDHULPVERLENING B V;;;;;1;;;;;1
Planon Building Management B.V.;;;;;;1;;;;1
PlanTel;;;;;;1;;;;1
Plata Foundation B.V.;;;;;;2;;;;2
PLATA FUNDAMENT B.V.;;;;;;1;;;;1
Pleidooi Het;;;;1;;;;;;1
PLEIN 10A;;;;1;;;;;;1
Plein 10a BV;;;;1;;;;;;1
Plein 12a B.V. Cloos;;;;1;;;;;;1
Plein 9 A B.V.;;;;1;;;;;;1
PLLEK;;;;1;;;;;;1
Plus Delta B.V.;;;;;;1;;;;1
Plusport B.V.;;;;;;1;;;;1
PM Ruiter Coaching;;;;;;2;;;;2
Podium onder de Dom B.V.;;;;1;;;;;;1
Polec Project Engineering B.V.;;;;;1;;;;;1
Pondok Indah;;;;1;;;;;;1
Popocatepetl;;;;1;;;;;;1
POSG PROFESSIONALS;;;;;;2;;;;2
Postillion;;;;;;;;;1;1
POSTILLION ARNHEM B.V.;;;;1;;;;;;1
POSTILLION BUNNIK B.V.;;;;2;;2;;;1;3
POSTILLION HOTELS;;;;1;;;;;;1
Postwagen Tolbert B.V.;;;;1;;;;;;1
Pouw Vervoer B.V.;;;;1;;;;;;1
Powerboat Scheveningen B.V.;;;;1;;;;;;1
PPS Netwerk B.V.;;;;;;1;;;;1
PRAKTIJK O.N. MARKX;;;;;;1;;;;1
Premium Cards B.V.;;;;1;;;;;;1
Premium Gids;;;;1;;;;;;1
Premiumgids.nl;;;;1;;;;;;1
PRENTENKABINET DEN HAAG;;;;1;;;;;;1
Prepend;;;;;;1;;;;1
Prevention & Safety B.V.;;;;;;1;;;;1
PRGTE B.V.;;;;1;;;;;;1
PricewaterhouseCoopers B.V.;;;;;;1;;;;1
PRiMAN Talent Management;;;;;;1;;;;1
PRIMERA VAN DER ZWAAN;;;;1;;;;;;1
Profource B.V.;;;;;;4;;;;4
Project Management Instituut (P.M.I.) B.V.;;;;;;2;;;;2
PROKWADRAAT GROEPSWIJZER.NL;;;;1;;;;;;1
PROMOPODIUM B.V.;;;;2;;;;;;2
PromoPoduim BV (Uitjes.nl);;;;1;;;;;;1
PROMOSNOEPJE;;;;1;;;;;;1
Promostore Merchandising B.V.;;;;1;;;;;;1
Propertynl B.V.;;;;;;1;;;;1
Protinus IT B.V.;;;3;1;2;2;;;1;4
PROTOCOLBUREAU;;;;;;1;;;;1
PROVADA B.V.;;;;;;1;;;;1
Prowareness Academy B.V.;;;;;;1;;;;1
psychotherapie en seksuologie,;;;;;;1;;;;1
Psy-Kho B.V.;;;1;;;;;;;1
Psyon B.V.;;;1;;;;;;;1
PTWEE B.V.;;;;;;1;;;;1
PUBLIC PARTNERS;;;;;;1;;;;1
Public Support Groep B.V.;;;;;;;;;1;1
PUBLIC SUPPORT YOUNG;;;;;;;;;1;1
Publiek Denken;;;;;;1;;;;1
PUEDO;;;;;;;;;1;1
Puur Amsterdam;;;;1;;;;;;1
Puur Events;;;;1;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;;1;;;;1
Q DELFT;;;;;;1;;;;1
QA Sourcing BV;;;;;;1;;;;1
QO Storm Utrecht B.V.;;;;1;;;;;;1
Q-PARK BEHEER;;;;;;1;;;1;1
Q-Park Nederland;;;;1;;;;;3;3
Quadsk8;;;;1;;;;;;1
QUALITY BOOKINGS B.V.;;;;1;;;;;;1
Quartel Modelbouw B.V.;;;;1;;;;;;1
Quercus Technical Services B.V.;;;;;;1;;;;1
Quint Wellington Redwood Academy B.V.;;;;;;1;;;;1
QUINT WELLINGTON REDWOOD NEDERLAND B.V.;;;;;;2;;;;2
Quint Wellington Redwood Nederland BV;;;;;;1;;;;1
Quinton Brandveiligheid B.V.;;;;;;1;;;;1
QuoVadis Trustlink B.V.;;;;;;1;;;;1
R2B Inspecties B.V.;;;;;;1;;;;1
Rafael Rocha;;;;1;;;;;;1
Rafiki Training;;;;;;1;;;;1
Rainmen B.V.;;;;;;1;;;;1
Ramblas Arhnem;;;;1;;;;;;1
Randstad HR Solutions;;;;;;;;;1;1
RAS Partycatering en Services BV;;;;1;;;;;;1
React Advies en Training;;;;;;1;;;;1
REAL - LIFE XCAPE;;;;1;;;;;;1
Real-life Xcape;;;;1;;;;;;1
Realnomics B.V.;;;;;;2;;;;2
REASeuro;;;;;;2;;;;2
Rebelgroup B.V.;;;;;;1;;;;1
Rederij Brands;;;;1;;;;;;1
Rederij Brands te Delft;;;;1;;;;;;1
Rederij Mokum B.V.;;;;1;;;;;;1
REDERIJ 'T SMIDTJE B.V.;;;;1;;;;;;1
REDORWHTIE;;;;1;;;;;;1
REED BUSINESS INFORMATION;;;;;;1;;;;1
REGINA BLOEMSIERKUNST;;;;1;;;;;;1
REGIO ACADEMIE B.V.;;;;;;1;;;;1
Re-integratiebureau re-turn B.V.;;;1;;;;;;;1
Reisbureau en Touringcarbedrijf Pasteur B.V.;;;;1;;;;;;1
RenÃ©esense kleur + stijladvies;;;;;;1;;;;1
RENDEMENT UITGEVERIJ;;;;;;1;;;;1
Rendement Uitgeverij B.V.;;;;;;1;;;;1
REST DEKXELS;;;;1;;;;;;1
REST LA PASSIONE;;;;1;;;;;;1
Restaurant & Catering Brunel;;;;1;;;;;;1
Restaurant Al Hayat;;;;1;;;;;;1
RESTAURANT ALLEMANSGEEST;;;;1;;;;;;1
Restaurant Bar NIVOO B.V.;;;;1;;;1;;;1
RESTAURANT BASAAL;;;;1;;;;;;1
Restaurant Bogor B.V.;;1;;1;;;;;;1
RESTAURANT CIAO CIAO;;;;1;;;;;;1
Restaurant Dartel;;;;1;;;;;;1
RESTAURANT DE BASILIEK;;;;1;;1;;;;1
Restaurant De Basiliek B.V.;;;;1;;1;;;;1
Restaurant De Goedheyd B.V.;;;;1;;;;;;1
Restaurant 'De Sniep' B.V.;;;;;;;1;;;1
RESTAURANT DIE DRIE HARINGHE;;;;1;;;;;;1
Restaurant Floris V.;;;;1;;;;;;1
Restaurant Fouquet;;;;1;;;;;;1
Restaurant Havenrijk;;;;1;;;;;;1
Restaurant Jagersrust;;;;1;;;;;;1
RESTAURANT LA LANTERNA;;;;1;;;;;;1
Restaurant Loic;;;;1;;;;;;1
Restaurant Oker;;;;1;;1;;;;1
Restaurant onder de Linde;;;;1;;;;;;1
Restaurant Papermoon;;;;1;;;;;;1
Restaurant Pizzeria Taormina;;;;1;;;;;;1
Restaurant Poppe Apeldoorn B.V.;;;;1;;;;;;1
RESTAURANT SEQUENZA;;;;1;;;;;;1
Restaurant Shintori;;;;1;;;;;;1
Restaurant Speakers Corner;;;;1;;;;;;1
Restaurant Vroeger;;;;1;;;;;;1
Restaurant Wox;;;;1;;;;;;1
RESTUARANT VAN DER DUSSEN;;;;1;;;;;;1
Reyes Magos B.V.;;;;1;;;;;;1
RICS International Limited;;;;;;1;;;1;1
Right Time Private Label;;;;1;;;;;;1
Rijdes aan de Gracht;;;;1;;;;;;1
Rijksvastgoedbedrijf;;;;1;;;;;;1
Rijndam Revalidatiecentrum;;;2;;;;;;;2
RIONED Stichting, Platform Buitenriolering Nederland;;;;;;1;;;;1
Ristorante Italiano Pizzeria Romagna;;;;1;;;;;;1
Ristorante La Liguria;;;;1;;;;;;1
Ristorante Pizzeria Lanterna;;;;1;;;;;;1
Ristorante Tanta Roba B.V.;;;;;;;1;;;1
ROADS B.V.;;;;1;;;;;;1
ROC van Twente;;;;;;2;;;;2
Roels B.V.;;;;1;;;;;;1
Roestvrij Taal B.V.;;;;;;6;;;;6
ROHDE & GRAHL B.V.;;;1;;;;;;;1
ROI B.V.;;;;;;2;;;;2
Rond Software & Maintenance;;;;;;1;;;;1
Rondvaart Zwolle;;;;1;;;;;;1
ROOM koffie, eten en meer;;;;;;;1;;;1
Roossien Hoogwerktechniek;;;;1;;;;;;1
ROPENI;;;;2;;1;;;;2
Rosarium Westbroekpark;;;;1;;;;;;1
Royal Casino Company;;;;1;;;;;;1
S2 Institute;;;;;;1;;;;1
Samiera Buikdanseres;;;;1;;;;;;1
Sancy Tres B.V.;;;;1;;1;;;;1
Sanremo;;;;1;;;;;;1
Sante Horeca Beheer B.V.;;;;1;;;;;;1
Santé Horeca Beheer B.V.;;;;2;;;;;;2
Santos argentijns grillrestaurant;;;;1;;;;;;1
SAP Nederland B.V.;;;;;;2;;;;2
Sapore Den Haag B.V.;;;;1;;;;;;1
SBI FORMAAT;;;;;;1;;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;;;1;;;;1
Schateiland Training B.V.;;;;;;1;;;;1
Scheidegger Opleidingen B.V.;;;;;;1;;;;1
SCHELTEMA LEIDEN, THEATHERCAFÃ? EN;;;;1;;;;;;1
Schietsportvereniging De Treffer;;;;1;;;;;;1
SCHIPHOL NEDERLAND;;;;;;;;;2;2
Schiphol Nederland Privium BV;;;;;;;;;1;1
