;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Outdoor Centrum Nunspeet;;;1;;;;;;1
Ouwe Dikke Dries;;;1;;;;;;1
Oxygen Events;;;1;;;;;;1
P&G Surinaams restaurant Nederland;;;1;;;;;;1
P&S Entertainment;;;;;;1;;;1
P.B.N. Sport & Adventure B.V.;;;;;;2;;;2
P.V. Reval.centr. Rijndam Adriaansticht.;;1;;;;;;;1
P.W. Akkerman B.V.;;;1;;;;;;1
PAALKOEPEL DE;;;1;;;;;;1
Paddy's;;;1;;;;;;1
Paintball World;;;1;;;;;;1
Paleis van Weemoed;;;1;;;;;;1
Palmette B.V.;;;1;;;;;;1
Pan Support;;;;;3;;;;3
Pand 13;;;1;;;;;;1
Pandahallen;;;1;;;;;;1
Pannekoek Podologie BV;;1;;;;;;;1
Pannekoekenboot;;;1;;;;;;1
Pannekoekenhuis Berg & Dal;;;1;;;;;;1
Papa's Beach House B.V.;;;1;;;;;;1
PARAVANI bewust leven & werken;;2;;;;;;;2
Park Centraal Den Haag Operations B.V.;;;;;;;;1;1
Parkpaviljoen Wezenlanden B.V.;;;1;;;;;;1
Parkstad Limburg Theaters N.V.;;;1;;;;;;1
Parthen Meeting Essentials B.V.;;;;;1;;;;1
Part-up B.V.;;;;;2;;;;2
Party- & Bowlingcentrum de Griethse Poort;;;1;;;;;;1
Party en catering restaurant Evers;;;1;;;;;;1
Party Unlimited;;;1;;;;;;1
Party&Catering Service Het hof;;;1;;;;;;1
PARTYBOERDERIJ VOSSENBERG B.V.;;;1;;;;;;1
Partycafé de Doos;;;1;;;;;;1
"PARTYCENTRUM ""DE BRASSERY""";;;1;;;;;;1
Partycentrum Lasersensation;;;1;;;;;;1
Partyspullen Huren;;;1;;;;;;1
PASpast B.V.;;1;;1;;;;;1
PassusAdvies;;2;;;;;;;2
Paul Maassen Music Productions;;;;;;1;;;1
Paviljoen de Ontmoeting;;;1;;;;;;1
Paviljoen de Turfvaart;;;1;;;;;;1
Paviljoen Overdiep;;;1;;;;;;1
Paviljoen Paal 3;;;1;;;;;;1
Paviljoen Sterrebos B.V.;;;1;;;;;;1
Paviljoen Stormvogel B.V.;;;1;;;;;;1
PBLQ B.V.;;;;;1;;;;1
Peerkes Hoeve B.V.;;;1;;;;;;1
Peg's Communication;;;;;2;;;;2
Pelle's Eten & Drinken;;;1;;;;;;1
Pentesterlab;;;;;1;;;;1
PEOPLE Unlimited B.V.;;;;;2;;;;2
PepperByte B.V.;;;;;1;;;;1
Percuris B.V.;;;;2;;;;;2
Performance Development Group;;;;;2;;;;2
Performance in Business;;;;;1;;;;1
Perron 22 cafe restaurant;;;1;;;;;;1
Perticas;;;;;;1;;;1
Peter Joosten Media;;;;;1;;;;1
Peter Vader Producties BV;;;;;1;;;;1
Petit Pain Lunchverzorging;;;2;;;;;;2
PG Support B.V.;;;;;1;;;;1
Phoenix Opleidingen;;;;;1;;;;1
Phonsawan B.V.;;;1;;;;;;1
Physical Solutions;;2;;;;;;;2
PianoFortissimo;;;;;;2;;;2
PIBIA;;;1;;;;;;1
Picasso Restaurant;;;1;;;;;;1
PiCompany B.V.;;;;1;;;;;1
Piet Plezier;;;1;;;;;;1
Pieter de Hoochweg;;2;;;;;;;2
Piket-Tonnon VOF;;;1;;;;;;1
PILKINGTON'S;;;1;;;;;;1
PIMM Solutions B.V.;;;6;;;;;;6
Pinkcube B.V.;;;1;;;;;;1
Pino Evenementen & Congressen B.V.;;;1;;;;;2;2
Pitch en Putt Golf Bussloo;;;2;;;;;;2
Pizza Cantina;;;1;;;;;;1
PIZZA NEW YORK DELIVERY;;;1;;;;;;1
Pizze Pronto Rotterdam B.V.;;;1;;;;;;1
Pizzeria Verlengde Hereweg B.V.;;;1;;;;;;1
PK Bar & Kitchen;;;1;;;;;;1
PKM-MP B.V.;;;1;;;;;;1
Plancius;;;1;;;;;;1
PlanHR;;1;;;;;;;1
Plastic-Industrie J.L. Hooymayers;;;1;;;;;;1
Platform Outsourcing Nederland;;;;;1;;;;1
Plein 19 Den Haag B.V.;;;1;;;;;1;1
Plein 2;;;1;;;;;;1
Plein 20 Den Haag B.V.;;;1;;;;;;1
Plein 9 A B.V.;;;2;;;;;;2
Plek;;;1;;;;;;1
Plek Nijmegen;;;1;;;;;;1
Pllek-NDSM B.V.;;;1;;;1;;;1
PNA Products B.V.;;;;;3;;;;3
Podium Bloos;;;1;;;;;;1
Podotherapie Landgraaf;;1;;;;;;;1
Poeliersbedrijf Ten Velde;;;1;;;;;;1
Polysport B.V.;;;1;;;;;;1
Poolcentrum 't Dijkje;;;1;;;;;;1
Popocatepetl;;;1;;;;;;1
POSG Professionals B.V.;;;;2;;;;;2
Possible B.V.;;;;;1;;;;1
Postwagen Tolbert B.V.;;;1;;;;;;1
Prachtig B.V.;;;1;;;1;;;1
Prakt. psychotherapie en coaching R. Horvath;;;;;1;;;;1
Praktijk Dialogos;;1;;;;;;;1
Praktijk Doorzien;;1;;;;;;;1
Praktijk Van Berkel & Van Wenum;;;;1;;;;;1
Praktijk voor Bewustzijnstraining;;;;;1;;;;1
Pret a Porter;;;1;;;;;;1
Pricewaterhousecoopers Accountants N.V.;;;;;1;;;;1
Pricewaterhousecoopers Advisory N.V.;;;;;2;;;;2
Prinsenhof Groningen;;;1;;;;;1;1
Prison Island en Glowgolf;;;1;;;;;;1
Privacy Management Partners Co;;;;;2;;;;2
Prix de Rome;;;1;;;;;;1
PROCentrum Tactics B.V.;;;;;3;;;;3
PROCOS Nederland B.V.;;;;;2;;;;2
Prodrive Technologies Engineering Serv. B.V.;;;;;1;;;;1
Proef;;;1;;;;;;1
Proeflokaal de Polderboom;;;1;;;;;;1
Proeflokaal Draaijer;;;1;;;;;;1
Proeflokaal Gorissen;;;1;;;;;;1
Proeflokaal 't Gelagh;;;1;;;;;;1
Proeverij de Roode Laars;;;1;;;;;;1
PROFESSIONAL DEVELOPMENT SYSTEMS BV;;;;;1;;;;1
Professional Strategies;;;;;;1;;;1
Professionals in NAH B.V.;;1;;;;;;;1
Profilo B.V.;;;;;1;;;;1
Profit4Cloud B.V.;;;;;1;;;;1
PROFTAX;;;;;;;;1;1
Progress Events B.V.;;;1;;;;;;1
Project BOKS;;;1;;;;;;1
Promar Sales Rotterdam B.V.;;;1;;;;;;1
Protekt Nederland;;;;;1;;;;1
Protinus IT B.V.;;1;;;;;;;1
Prowareness Academy B.V.;;;;;1;;;;1
Psycholog. Onderzoek en Advies Bureau Boosten;;2;;;;;;;2
PSYCHOLOGENPRAKTIJK ETTEN-LEUR;;1;;;;;;;1
Psychologenpraktijk Utrecht Oost;;1;;;;;;;1
Psychologisch Bureau de Belt;;1;;;;;;;1
Psyon B.V.;;2;;;;;;;2
Public Support Groep B.V.;;;;4;;;;;4
Publicimage.nl;;;;;2;;;;2
Publieke Werken B.V.;;;2;;;;;;2
Pubquizshop.nl;;;1;;;;;;1
Purple Monkey Breinonderwijs;;;;;1;;;;1
Puur Amsterdam;;;;;;1;;;1
Puur Smaeck BV;;;1;;;;;;1
Puur Utrecht;;;;;;1;;;1
PVAA;;;1;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;2;;1;;2
Qaducation;;;;;1;;;;1
QO Storm Utrecht B.V.;;;1;;;;;;1
QS Gezondheidsmanagement B.V.;;4;;;;;;;4
Quakernaat Automatiserings Praktijk;;;;;1;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;5;;;;5
R. Farid - Restaurant Limón;;;1;;;;;;1
R. Jansen Boerke Mutsaers;;;1;;;;;;1
R.K. St. Beheer Insula Dei;1;;;;;;;;1
Raadgever & Raadgev. thodn 't Zusje Apeldoorn;;;2;;;;;;2
RAAKuitroepteken;;;1;;;;;;1
Radar Vertige Training & Opleiding B.V.;;;;;2;;;;2
Radder Horecare B.V.;;;1;;;;;;1
Raderstoomboot 'De Nederlander';;;2;;;;;;2
Radisson Blu Hotel;;;;;;;;1;1
Rama Horeca B.V.;;;1;;;;;;1
Ramblas;;;1;;;;;;1
Randstad HR Solutions;;;;1;;;;;1
RAS-examenbureau B.V.;;;;;1;;;;1
Ratatouille Food and Wine;;;1;;;;;;1
Reaktie Safety Shops B.V.;;;;;1;;;;1
Reality events;;;1;;;;;;1
Real-life Xcape;;;;;;1;;;1
ReBBels (branding ambition!);;;;;1;;;;1
Rebelle Maastricht;;;1;;;;;;1
Recreatiepark De Veerstal B.V.;;;1;;;;;;1
Rederij Nassau;;;1;;;;;;1
Rederij Schuttevaer V.O.F.;;;1;;;;;;1
Reframe InTensis B.V.;;;;;1;;;;1
Refrisk B.V.;;;;1;;;;;1
Regeldat;;;1;;;1;;;1
Reginbald Psychologisch Adviesbureau;;;;3;;;;;3
Register Belastingadviseurs;;;;;1;;;;1
Reisbureau en Touringcarbedrijf Pasteur B.V.;;;;;;1;;;1
Relatiegeschenken.nl B.V.;;;1;;;;;;1
Relax en Ontspan massage;;1;;;;;;;1
Relitech B.V.;;4;;;;;;;4
Rembrandt Lunchroom en Wijnbar;;;1;;;;;;1
REMBRANDT REDERIJ;;;1;;;;;;1
Remco Reij Advies;;;1;;;;;;1
Remko van Broekhoven;1;;;;;;;;1
Re-on B.V.;;7;;;;;;;7
Rest. De Twentse Taveerne;;;1;;;;;;1
Rest.-Bar-Zalencentr.-Hote de Engel;;;1;;;;;;1
Restaria Sterk;;;1;;;;;;1
"Restaurant ""De Oude Sluis"" V.O.F";;;1;;;;;;1
Restaurant & Kookstudio NINE;;;1;;;;;;1
Restaurant Abby's B.V.;;;1;;;;;;1
Restaurant Achter de Poorte;;;1;;;;;;1
Restaurant Antonis;;;1;;;;;;1
Restaurant Assen B.V.;;;1;;;;;;1
Restaurant Auberge Nassau;;;1;;;;;;1
Restaurant Avant Garde;;;1;;;;;;1
RESTAURANT BASAAL;;;1;;;;;;1
Restaurant BIS B.V.;;;1;;;;;;1
Restaurant Breed Almere B.V.;;;1;;;;;;1
Restaurant Bueno;;;1;;;;;;1
Restaurant Café De Eetkamer;;;1;;;;;;1
Restaurant Cafe De Engel;;;1;;;;;;1
Restaurant Campman;;;1;;;;;;1
Restaurant Catalunia;;;1;;;;;;1
Restaurant Cathay B.V.;;;1;;;;;;1
Restaurant Chardonnay;;;1;;;;;;1
Restaurant Copa Cabana;;;1;;;;;;1
Restaurant De Basiliek B.V.;;;2;;;;;;2
Restaurant De Beurs;;;1;;;;;;1
Restaurant de Blaauwe Kamer;;;1;;;;;;1
Restaurant de Dolle Joncker;;;1;;;;;;1
Restaurant De Gaanderij;;;1;;;;;;1
Restaurant De Heerlijckheyt Het Loo B.V.;;;1;;;;;;1
Restaurant De Hexelse Berg;;;1;;;;;;1
Restaurant de Hoeskamer;;;1;;;;;;1
Restaurant De kat in de wilg;;;1;;;;;;1
Restaurant de Nije;;;1;;;;;;1
Restaurant De Open Keuken;;;1;;;;;;1
Restaurant De Piraat;;;1;;;;;;1
Restaurant De Rooij Peper;;;1;;;;;;1
Restaurant De Smoezer V.O.F.;;;1;;;;;;1
Restaurant De Werf;;;1;;;;;;1
Restaurant d'Olifant Heerhugowaard;;;1;;;;;;1
Restaurant Drie Cronen;;;1;;;;;;1
Restaurant Eetwaar;;;1;;;;;;1
Restaurant Engbergen;;;1;;;;;;1
Restaurant Finn;;;1;;;;;;1
Restaurant Fouquet;;;1;;;;;;1
Restaurant Giornale;;;1;;;;;;1
Restaurant Groeskamp B.V.;;;1;;;;;;1
Restaurant Gusto;;;1;;;;;;1
Restaurant Het Hooihuis;;;1;;;;;;1
Restaurant hotel Quartier du Port B.V.;;;1;;;;;;1
Restaurant Humphrey's Leeuwarden;;;1;;;;;;1
Restaurant in den Weijenborg;;;1;;;;;;1
Restaurant Indonesia Bunga Melati;;;1;;;;;;1
Restaurant JanZen;;;1;;;;;;1
Restaurant 'Kampanje' B.V.;;;1;;;;;;1
Restaurant Kasteel Heemstede;;;1;;;;;;1
Restaurant Kazerne;;;;;;1;;;1
Restaurant Klein Hartenstein;;;1;;;;;;1
Restaurant Kleinsman;;;1;;;;;;1
Restaurant La Griotte;;;1;;;;;;1
Restaurant La Passione;;;1;;;;;;1
Restaurant La Vista;;;1;;;;;;1
Restaurant LaSalle;;;1;;;;;;1
Restaurant Lasanie;;;1;;;;;;1
Restaurant Le Meridien;;;1;;;;;;1
Restaurant Leff;;;1;;;;;;1
Restaurant Levantin;;;1;;;;;;1
Restaurant L'Hirondelle;;;1;;;;;;1
Restaurant Manoto;;;1;;;;;;1
Restaurant Mechoui;;;1;;;;;;1
Restaurant Mediterrance;;;1;;;;;;1
Restaurant MIU;;;1;;;;;;1
Restaurant Molen De Jonge Dikkert B.V.;;;1;;;;;;1
Restaurant naast de Poort;;;1;;;;;;1
Restaurant Nieuwe Tijd;;;1;;;;;;1
Restaurant Noble;;;1;;;;;;1
Restaurant OKAY;;;2;;;;;;2
Restaurant Oker;;;1;;;;;;1
Restaurant Onz;;;1;;;;;;1
Restaurant Onze Kerk B.V.;;;1;;;;;;1
