Leveranciersnaam;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Kazerne B.V.;;;1;;;;;;1
Keizer Culinair B.V.;;;2;;;;;;2
Kelder65;;;1;;;;;;1
Kennis- en Adviescentrum Dierplagen;;;;;1;;;;1
Kenniscocreatie, onderzoek & advies;1;;;;;;;;1
Kern Konsult B.V.;2;;;1;2;;;;2
Kernspectief;1;;;;;;;;1
Kessels & Smit, the Learning Company B.V.;1;;;;2;;;;2
Keukenvuur;;;1;;;;;;1
Keurslagerij Wim de Graaf;;;1;;;;;;1
Key West Beachhouse B.V.;;;1;;;;;;1
Kickerprofs;;;1;;;;;;1
Kiel Communicatie, Advisering en Uitvoering;;;;1;1;;;;1
KIEZ Events;1;;;;;;;;1
KIM training & coaching;;;;;1;;;;1
King Arthur B.V.;;;1;;;;;;1
Kingsdish;;;1;;;;;;1
Kitchen Pirates;;;1;;;;;;1
Kite-Extreme;;;1;;;;;;1
Kiwa KOAC;;;;;1;;;;1
Kiwa Register B.V.;1;;;;;;;;1
Kiwa Training B.V.;;;;;1;;;;1
Kjenning B.V.;;;;;1;;;;1
Klankveld B.V.;;;1;;;;;;1
Klaretaal Arnhem Sonsbeek;;;;;1;;;;1
Klimpark Fun Forest Amsterdam B.V.;;;1;;;;;;1
Klinkhamer Conference Management B.V.;;;1;;;;;;1
KLM;;;;;;;;1;1
KLM Health Services B.V.;1;;;;;;;;1
KM Consult;;;;;1;;;;1
KMIKS-Training B.V.;;;;;2;;;;2
Kochen Lasance Brave Business Behavior;;;;;2;;;;2
Koeman's Belegde Broodjes B.V.;1;;;;;;;;1
Koers Bedrijfspsychologie B.V.;2;;;1;;;;;2
Koffie- en Eetsalon 't Achterommetje;1;;;;;;;;1
Koken-op-maat;;;1;;;;;;1
Kompaan;;;1;;;;;;1
Koninkl. Ned. Ver. v. Afval en Reinigingsman.;;;;;1;;;;1
Koninklijk Instituut van Ingenieurs;1;;1;;2;;;1;2
Koninklijk NIOZ;;;;1;;;;;1
Koninklijke Pbna B.V.;;;;;1;;;;1
Konnichi WA B.V.;;;1;;;;;;1
Kook en Proefstudio Den Haag;;;1;;;;;;1
Kookkunsten;1;;;;;;;;1
Kookmeesters B.V.;;;1;;;;;;1
Kookstudio De Kombuis;;;1;;;;;;1
Kop Beveiliging B.V.;1;1;;;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;;1
KPMG Advisory N.V.;2;;;;;;;;2
KPN B.V.;;;;;1;;;;1
Kraakman Coaching;;;;1;1;;;;1
Kriton Learning B.V.;;;;;1;;;;1
Krol Konsult;1;;;;;;;;1
Kruim Exploitatie Maatschappij (K.E.M.);;;2;;;;;;2
Kruisherenhotel Maastricht;;;1;;;;;;1
KSG B.V.;;;;;2;;;;2
Kuiters idee en organisatie;;;;;2;;;;2
Kunstenhuis, locatie De Werkschuit Zeist;;;1;;;;;;1
Kunstgras Events B.V.;1;;;;;;;;1
Kupers Touringcars;;;;;;;;1;1
KVE Composites Repair B.V.;;;;;1;;;;1
KwaliteitsTaxi Swierts V.O.F.;;;;;;;;1;1
KWR Water B.V.;1;;;;;;;;1
L.C.M. Stegmann, praktijk psychotherapie;;;;;2;;;;2
La Bonne Auberge B.V.;;;1;;;;;;1
La Cantina di David B.V.;1;;2;;;;;;2
La Fontana events;;;1;;;;;;1
La Liguria;;;1;;;;;;1
La Parada;;;1;;;;;;1
LA PERLE;;;1;;;;;;1
La Red B.V.;;;;;1;;;;1
La Se�orita;;;1;;;;;;1
La Tasca;;;1;;;;;;1
La Vina B.V.;;;1;;;;;;1
Lab QAcademy;;;;;1;;;;1
Lagerweij & Partner Consultants B.V.;;;;1;2;;;;2
Lalotta Academy B.V.;1;;;;;;;;1
LaLotta B.V.;;;1;;;;;;1
Landal Greenparks B.V.;;;;;;;;1;1
Landgoed de Biestheuvel B.V.;;;2;;;;;;2
Landgoed de Horst B.V.;;;;;1;;;1;1
Landmeetkundig en Adviesbureau Meet B.V.;;;;;1;;;;1
Langendijk Training & Consult;;;;;1;;;;1
Language Partners;;;;;1;;;;1
Larssen Advies;;;;;1;;;;1
Lasergame Houten B.V.;;;1;;;;;;1
Latijnhouwers Media en Communicatie;1;;;;1;;;;1
Le Baroque;;;1;;;;;;1
Le Bateau B.V.;;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Connaisseur Utrecht B.V.;;;1;;;;;;1
Le Nord;;;1;;;;;;1
Le Strasbourg;;;3;;;;;;3
LE:EN Restaurant B.V.;;;1;;;;;;1
Lead Academy;;;;;1;;;;1
LeadersInformed B.V.;;;;1;2;;;;2
Leads and Deals;;;;1;;;;;1
Lean Consultancy Group B.V.;;;;1;;;;;1
Lean Consultancy Group Opleidingen B.V.;;;;;2;;;;2
Lean Management Teachers;;;;;2;;;;2
Learn it B.V.;;;;;2;;;;2
Leaudewijkx B.V.;;;1;;;;;;1
Leeuwarder Eurohotel B.V.;;;;;;;;1;1
Leeuwendaal Advies B.V.;1;;;7;4;;;;7
Leger des Heils Welzijns- en Gezondheidszorg;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Leijnse Stadstours;;;1;;;;;;1
Leike van Oss Organisatievragen;1;;;;;;;;1
lekkerbootjevaren.nl;;;1;;;;;;1
Lemon Grass Gastronomie B.V.;;;1;;;;;;1
Leo Ringelberg Touringcars;;;;;;;;1;1
LeonArt;;;1;;;;;;1
Leonidas;;;1;;;;;;1
Leren door Ervaren training en advies;;;;;1;;;;1
Les grands buffets;;;1;;;;;;1
Les Ombrelles;;;1;;;;;;1
Leuntje B.V.;1;;;;;;;;1
Lexicon Trainingen;;;;;2;;;;2
L'Hirondelle V.O.F.;1;;1;;;;;;1
Librt B.V.;;;;;2;;;;2
Liedehoeve;;;1;;;;;;1
Life Impact Company;;;;;1;;;;1
Life Recruitment B.V.;;;;;;;;1;1
LifeGuard Health Services B.V.;2;;;;;;;;2
Lijm & Cultuur B.V.;;;1;;;;;;1
Lijst-in;;;1;;;;;;1
Lindbergh Excursions Amsterdam B.V.;;;1;;;;;;1
Link Art Company B.V.;;;1;;;;;;1
Linkedln Ireland Unlimited Company;;;;;1;;;;1
Lisets Taarten Winkel;1;;;;;;;;1
Little V Den Haag B.V.;;;1;;;;;;1
Living Life Lab;1;;;;;;;;1
Lloyd Hotel;;;;;1;;;;1
Lloyd's Register Emea;;;;;1;;;;1
Lloyd's Register Nederland B.V.;;;;;2;;;;2
Loetje Rotterdam B.V.;;;1;;;;;;1
Lofar C.V.;;;;;;;;2;2
Loffelijk;;;1;;;;;;1
Logeion;1;;;;1;;;;1
Logement de Reiziger;;;;;;;;1;1
LogoChoc B.V.;;;1;;;;;;1
LOMBEGO SYSTEMS GMBH;;;;;1;;;;1
LOOF;;;1;;;;;;1
Looks;;;;;;;1;;1
Look-Tours;;;1;;;;;;1
Lorre;;;;;1;;;;1
Los Che;1;;;;;;;;1
Lostivale;;;1;;;;;;1
Lourens-van Vliet h.o.d.n. Bakkerij Bart;;;1;;;;;;1
LPD;;;;3;;;;;3
LS Holding B.V.;;;;;1;;;;1
LSE ENTERPRISE;;;;;1;;;;1
LTP Impact B.V.;;;;3;;;;;3
Luden Utrecht;1;;1;;;;;;1
Luid en Duidelijk;;;;;1;;;;1
Lumen Lichtletters;;;1;;;;;;1
Lumenz;;;1;;;;;1;1
Lumineux;;;1;;;;;;1
Lunchroom Harrels;;;1;;;;;;1
LUXINNOVATION GIE;;;;;1;;;;1
M. den Ouden B.V.;;;1;;;;;;1
M. Mesu Holding B.V.;;;1;;;;;;1
M. Ringelberg Touringcars B.V.;;;1;;;;;1;1
Maarsingh & Van Steijn Psynovatie B.V.;1;;;1;;;;;1
Maas groep Expert B.V.;1;;;1;;;;;1
MAAS GROEP RE-INTEGRATIE EN OUTPLAC;;;;1;;;;;1
Maas groep Re-integratie en Outplacement B.V.;;;;1;;;;;1
Maastricht Mobility Services B.V.;;;1;;;;;;1
Mackel&Bergh Training & Coaching;1;;;;1;;;;1
Mad Mick's Breakaway CafÃ©;;;1;;;;;;1
Madurodam B.V.;;;3;;;;;;3
Maestro Academy;;;;;1;;;;1
MaetisArdyn;1;;;;;;;;1
Magazijn 'De Bijenkorf' B.V.;;;1;;;;;;1
Magna Carta B.V.;;;;;1;;;;1
Maguise Partycatering;;;1;;;;;;1
Mainpress B.V.;1;;;;1;;;;1
Maison de la Foret;;;1;;;;;;1
Maison Gustaf;;;1;;;;;;1
Maison van den Boer Mus.kwart. 's-Hertogenb.;2;;;;;;;;2
MaJe 2015 B.V.;;;1;;;;;;1
Make Me See;;;;;1;;;;1
MALM� STAD KOMMUNSTYRELSEN;;;;;1;;;;1
MaMa Kelly B.V.;;;1;;;;;;1
Management Drives Holding B.V.;;;;;4;;;;4
Management Drives Netherlands B.V.;1;;;;2;;;;2
Management Producties B.V.;;;;;1;;;;1
Manpower Personeelplanning;;;;;1;;;;1
Maqutos B.V.;;;;;2;;;;2
Maria Dani�ls Opleidingen en Trainingen;;;;;1;;;;1
MariÃ«nhof Amersfoort B.V.;;;;;1;;;;1
Marie-JosÃ© van der Meij & Partners;1;;;;;;;;1
Maritech Marine B.V.;;1;;;;;;;1
Maritiem Museum Rotterdam;;;1;;;;;;1
Maritieme Herbergh Neptunus B.V.;;;1;;;;;;1
MARITIME OFFICE;;;;;2;;;;2
Marlies Kortekaas de Vries Train. Coach.&Adv.;;;;;1;;;;1
Marstrand Oosterschelde Evenementen;;;1;;;;;;1
Martijn de Groot Communicatie;;;;;1;;;;1
Martinair Vestiging Vliegveld Lelystad B.V.;;;;;1;;;;1
Master it Training B.V.;;;;;1;;;;1
Mauritshoeve B.V.;;;1;;;;;;1
Mavim B.V.;;;;;1;;;;1
Mavro Advies en Management B.V.;1;;;;;;;;1
Max Boltendal Fotografie;1;;;;;;;;1
Maxilia B.V.;1;;;;;1;;;1
Maximes Denneweg 10B B.V.;;;1;;;;;;1
Maxximize;;;;;1;;;;1
MCCULLOUGH MOORE;;;;;1;;;;1
MCI BENELUX SA;;;;;2;;;;2
MCTI;;;;;1;;;;1
MEC Training en Advies;;;;;1;;;;1
Media Groep Limburg B.V.;1;;;;;;;;1
Mediat. & Train. Network The Lime Tree B.V.;;;;;1;;;;1
Mediavrouw;1;;;;2;;;;2
meereffect;;;;;1;;;;1
Meet & Connect 's-Hertogenbosch B.V.;;;1;;;;;;1
Meeting at Home;;;1;;;;;;1
Meeting Plaza Utrecht B.V.;;;1;;;;;;1
MEEUS - TIELENS LOOPBAANADV;;;;1;1;;;;2
Meinsch bewind & Beheer B.V.;;;;;1;;;;1
Melief Bender;;;1;;;;;;1
Memo B.V.;;;1;;;;;;1
Memories of Asia;;;1;;;;;;1
Mendix Technology B.V.;;;;;1;;;;1
Meneer Van Eijck B.V.;;;1;;;;;;1
Mercure Art Leipzig;;;;;;;;1;1
Mercure Hotel Zwolle;;;1;;;;;;1
Merlijn B.V.;;;;;2;;;1;2
MET OFFICE;;;;;;;;1;1
Metamorfase;;;;;2;;;;2
METEO SERVICE;;;;;;;;2;2
Metzo l.b.d.;;;1;;;;;;1
Mibacu B.V.;;;;;2;;;;2
Midas Consultancy B.V.;;;;;1;;;;1
Middin;1;;1;;;;;;1
Mier Entertainment;;;1;;;;;;1
Mies/Tekst en Training;;;;;2;;;;2
Millers;;;2;;;;;;2
Minckelers;;;1;;;;;;1
Mind Academy B.V.;;;;;1;;;;1
Mind at Work B.V.;1;;;;1;;;;2
Mind Productions Webdesign;1;;;;;;;;1
Mindfactory;;;;;1;;;;1
Mindful InSight;;;;;1;;;;1
MindfulCentrum;;;;1;;;;;1
MindHug B.V.;;;3;;;;;;3
MingleMush B.V.;;;1;;;;;;1
Minos Pallas Grieks Restaurant;;;1;;;;;;1
mis-s B.V.;;;;;1;;;;1
MKB Cursus & Training B.V.;;;;;1;;;;1
MKPC Zelfstudie B.V.;;;;;1;;;;1
ML Hospitality Exploitatie B.V.;;;;;;;;1;1
MM Art-Edu;;;1;;;;;;1
M'n Tante;;;1;;;;;;1
Mobility Mixx B.V.;;;;;;;;8;8
Mocha Maastricht B.V.;;;1;;;;;;1
Model 2;1;;;;;;;;1
Moduli Print B.V.;1;;;;1;;;;1
Moestuin Maarschalkerweerd B.V.;;;1;;;;;;1
Molecaten Horeca B.V.;;;1;;;;;;1
Molen & Molen;;;;;1;;;;1
Molenbuur Party Service;;;1;;;;;;1
Mondial Movers B.V.;1;;;;;;;;1
Montae Advies;;;;;1;;;;1
Mood4Food B.V.;;;1;;;;;;1
Moodz eten & drinken;;;1;;;;;;1
Mooii Eten & Drinken B.V.;;;1;;;;;;1
MOOIwerk Dokkum;;;;;;;;1;1
Moon Horeca Exploitatie B.V.;1;;1;;;;;;1
Moon HRM B.V.;1;;;;1;;;;1
Motel De Molenhoek;;;;;;;;1;1
Motivaction International B.V.;;;;;1;;;;1
Movement Sports V.O.F.;;;1;;;;;;1
Movenience B.V.;1;;;;;;;1;1
Mr. W.E.H. Sloots Beheer B.V.;2;;;;;;;;2
MSA Nederland B.V.;;;;;1;;;;1
