Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Lands End 'T Veerhuis;;;;;;;1;;1
Landskroon Event B.V.;;;;;1;;;;1
Landstede;;;;;;1;;;1
Lang Town & Country;;2;;;;;;;2
Language Partners;;;;;;1;;;1
Lankhorst Taselaar B.V.;;;;;;1;;;1
Lars Sieberg;1;;;;;;;;1
Laserfeestje.nl;;;;;;;1;;1
Laura Vink Fotografie;;;;;;1;;;1
Lavista Relatiegeschenken B.V.;;;;1;;;;;1
Lawi Sportswear;;;;;;;1;;1
LCMC B.V.;;;;;;1;;;1
LDC Uitgeverij B.V.;;;;;2;;;;2
Le Blanc Diensten B.V.;;;;;;1;;;1
Le Connaisseur;;;;;;1;;;1
Lean Consultancy Group B.V.;;;;;;1;;;1
Lean Library B.V.;;;;;;1;;;1
Learn it B.V.;;;;;;2;;;2
Learning Unlimited Preparatory School;;;;;;3;;;3
Learning4me B.V.;;;;;;1;;;1
Leba 'Bakker' Sport B.V.;;;1;;;;1;;1
Lectric Opleidingen B.V.;;;;;;1;;;1
Leerhotel 'Het Klooster';;;;1;;;1;;1
Leeuw aan de Brug B.V.;;;;1;;;;;1
Leeuwendaal Advies B.V.;;;;;5;2;;;5
Leidse Onderwijsinstellingen B.V.;;;;;1;3;;;3
Leijsen-van der Meer, L.;1;;;;;;;;1
Lek Bloemenservice B.V.;;;;;;1;;;1
Lens B.V.;;;;;;1;;;1
LEONARDO MW LTD;;;;;;2;;;2
Leonardo Restaurant & Cafe;;;;1;;;;;1
Léonie van Eldik;;;;;;1;;;1
Let us Train You;;;;;;1;;;1
Leuk! Eten & Drinken;;;;1;;;;;1
Leus Opleidingen B.V.;;;;;;1;;;1
Levelt, S.;;;;1;;;;;1
Lexicon Advisory Board;;;;;;2;;;2
Lexima B.V.;;;1;;;;;;1
Liferaft Systems Australia Pty Ltd;;;;;;1;;;1
LifeTec Group B.V.;;;;;;1;;;1
Lifo Benelux B.V.;;;;;;1;;;1
Liftinstituut B.V.;;;;;;2;;;2
Lilu Apartments Curacao;;1;;;;;;;1
Lilybiri's Consultancy/Training;;;;;;1;;;1
Limburgs Uitje;;;;;;;1;;1
Limegifts.nl;;;;;1;;;;1
Limestone Holiday;;1;;;;;;;1
Linguistique Communicacion Informat;;;;;;2;;;2
Linschoten-Vereeniging;;;;;;1;;;1
Liuwherne Eetablissement;;;;;;;1;;1
Living Lebanon;;;;;;1;;;1
Livingstone Jan Thiel Resort N.V.;;3;;;;;;;3
Ljouwert '80 R.J. Boskma penningmeester;;;;1;;;;;1
Lloyd's Register Nederland B.V.;;;1;;;2;;;2
LM Ingressus Information Delivery;;;;;;1;;;1
Loc Logistiek Opleidingscentrum B.V.;;;;;;1;;;1
Locatie Rochussenstraat;;;;;;1;;;1
Locks&Keys escaperoom;;;;;;;1;;1
Logeion;1;;;;;1;;;1
Logic-all;;;;;;1;;;1
Logistics Support Analysts Ltd;;;;;;1;;;1
Lohmann Grundbesitz GbR;2;;;;;;;;2
Lokaal 58 B.V.;;;;;;2;;;2
Longroom MVK De Kooy;;;;;;;2;;2
Lotte Paans;;;;;;1;;;1
Lotuskring Lange Jaap;;;;;;1;;;1
Lounge 8 Roosendaal B.V.;;;;1;;;;;1
Lounge Restaurant Sultan;;;;;;1;1;;1
Louwman Musea B.V.;1;;;;;;;;1
LS telcom Aktiengesellschaft;;;;;;1;;;1
LS Travel Retail;;;;;;;1;;1
LSSO Opleidingen B.V.;;;;;;1;;;1
LTP Advies B.V.;;;;;6;;;;6
Luchttechnisch Revis.-Bureau Van Elewout B.V.;;;;;;1;;;1
Luctra;;;;;;1;;;1
Lumineux;;;;1;;;;;1
Lunchroom Royal Corner;;;;1;;1;1;;1
M&M Health;;;;;;1;;;1
M. Josephia;;;;;;;1;;1
M. Schall GmbH & Co. KG;;;;1;;;;;1
M4168- Camp Roi Albert;;;;;;;1;;1
M4175 All Ranks - KMS / ERM;;;;;;1;;;1
M7 Group S.A. vh CanalDigitaal B.V.;2;;;;;;1;;2
Maashof V.O.F.;;;;;;;1;;1
Maasstad BHV;;;;;;1;;;1
Maatschap Gerechtsdeurwaarders- en Incassokantoor Winschoten;1;;;;;;;;1
Maatschap T&C Systeemtherapeuten in Company;;;;;;1;;;1
Maatschap Zoontjes;;;;;;1;;;1
Mabo-Lifting Nederland B.V.;;;;;;1;;;1
Mad Multimedia;;;;;;1;;;1
Madame Catherine BERTA;2;;;;;;;;2
Madame Tussauds Amsterdam B.V.;;;;;;;1;;1
Maepa;;;;;;;1;;1
Magic Mike;;;;;;;1;;1
Magic Moves;;;;;;;1;;1
Magnolia Bloemen Tilburg;;;;1;;;;;1
Mainpress B.V.;;;;;;1;;;1
Makerpoint B.V.;;;;;;1;;;1
Makerpoint Harlingen;;;;1;;;;;1
Malipaard Verhuur B.V.;;;;1;;;;;1
MaMa Kelly B.V.;;;;;;;1;;1
Man. Adv.buro drs. R. Janssen Duyghuysen B.V.;;;;;;2;;;2
Manege Van Loon B.V.;;;;;;;1;;1
Mannies klussenbedrijf;;;;;;2;;;2
Manpower Project Support;;;;;;1;;;1
Manutan B.V.;1;;1;1;;1;;;1
Maquet Netherlands B.V.;;;;;;1;;;1
Maqutos B.V.;;;;;1;;;;1
Marad Match*maker;;;;;;;1;;1
Marant Interstudie NDO B.V.;;;;;;2;;;2
Margrietbloembinders B.V.;;;;1;;;;;1
MariÃƒÂ«nhof Amersfoort B.V.;;;;2;;;;;2
Maria-Jesus Fernandez-Diaz;1;;;;;;;;1
Marijn Kroese Bloem en Plant B.V.;;;;1;;1;;;1
Marine Sport Vereniging Zeemacht Cu;;;1;;;;;;1
Marine Trading & Services B.V.;;;1;;;;1;;1
Marine Watersport Vereniging;1;;;1;;1;;;1
Maritime & More Solutions;;;;;;1;;;1
Marja van Aken Consult;;;;;;1;;;1
Markiezaat College;;;;;;6;;;6
Marksmen Holding B.V.;;;;;;1;;;1
MARSHALL OF CAMBRIDGE AEROSPACE LIMITED;;;;;;2;;;2
Martinair Vestiging Vliegveld Lelystad B.V.;;;;;;2;;;2
Massive Productions;;;;;;1;;;1
Master in Event Management B.V.;;;;;;1;;;1
Master it Training B.V.;;;;;;2;;;2
Materiaal Metingen Testgroep;;;;;;1;;;1
Matix Souvenirs B.V.;;;;;;;1;;1
Mattheis van Leeuwen Holding B.V.;;;;;;1;;;1
Maxilia B.V.;;;;;;1;1;;1
Maximum Alliances B.V.;;;;;7;;;;7
MB Business Promotion B.V.;1;;;1;;;1;;2
MBO Amersfoort;;;;;;1;;;1
MBO College Airport & MBO College Amstelland;;;;;;2;;;2
MBSOV;;;;1;;;;;1
McMahon Properties;2;;;;;;;;2
Meander Medisch Centrum;;;1;;;;;;1
Media Academie B.V.;;;;;;2;;;2
Media Markt Utrecht Hoog Catharijne B.V.;1;;;1;;;1;;2
Media Markt Zwolle;;;;;1;;;;1
Mediavision B.V.;;;;;;1;;;1
Medische Faculteits Ver. Rotterdam' (MFVR);;;;;1;;;;1
Medivus Services B.V.;;;;;1;;;;1
Medizon B.V.;;;;;;1;;;1
Meelhattan B.V.;;;;;;1;;;1
meereffect;;;;;;3;;;3
MeetingDistrict;;;;;;;1;;1
Meetwinkel B.V.;;;;;;;1;;1
Mekking banketbakkerij;;;;1;;;;;1
Memorum;;;;1;;;;;1
Memory Events B.V.;;;;;4;;;;4
Mennens Dongen B.V.;;;;;;1;;;1
Mennorode B.V.;;;;;1;;;;1
Mensely B.V.;;;;;7;;;;7
Mercure Den Haag Central;;;;;;;;1;1
Mess de Quartier M 4118 Camp Elsenborn;;;;;;1;;;1
Mess Leopold I;;;;;;1;;;1
MeteoGroup Nederland B.V.;;;;;;1;;;1
METS Center B.V.;;;;;;2;;;2
Meximum Promotions V.O.F.;1;;;;;;;;1
Meys, G.;;;;;;1;;;1
Meyton Elektronik;;;1;;;;;;1
MICRO NAV LIMITED;;;;;;2;;;2
Mika Agency;;;;;;;1;;1
Mikrocentrum Activiteiten B.V.;;;;;;2;;;2
Militaire Ruitersport Vereniging 'te Paard!';;;1;;;;;;1
Military Master Models;;;;1;;1;;;1
Millers;;;;;;;1;;1
Ministerie van Landsverdediging;;;;;;1;;;1
Ministerio de Defensa;;;;;;2;;;2
Ministry of Defence DBS Finance;1;1;;;;7;;;7
Miranda Schmink;;;;;;;1;;1
Mirion Technologies (Canberra BNLS) NV;;;;;;2;;;2
Misco Nederland B.V.;;;;;;2;;;2
Misco Solutions B.V.;;;;;;1;;;1
MK2 Audiovisueel B.V.;;;;;;5;;;5
MM Lab B.V.;;;;;;2;;;2
Mobiel Casino Nederland;;;;1;;;1;;1
Moduli Print B.V.;;;;;;;1;;1
Molly's Kitchen express Wai-ha Wong;;;;;;;1;;1
Mon Papillon;;;;1;;;;;1
Monk bouldergym Amsterdam B.V.;;;1;;;;;;1
Monkshop B.V.;;;;;;1;;;1
Monseurs Total Office Point;;;;;;1;;;1
Monuta Heidi Markus;;;;1;;;;;1
Mooij Verf;;;;;;1;;;1
Morena Resort;;3;;;;;;;3
Motivaction International B.V.;;;;;3;;;;3
Motivatiewerkt;;;;;;1;;;1
Motrac Intern Transport B.V.;;;;;;1;;;1
Move a Mountain Bewustzijnstrainingen B.V.;;;;;;1;;;1
Mr. P.S. de Jong FinanciÃƒÂ«le Dienstverlening;;;;;;;1;;1
MRproducts Nederland B.V.;;;;;1;;;;1
MSA Nederland B.V.;;;;;;1;;;1
Mud Masters B.V.;;;;;3;;;;3
Mullerwenskaarten;;;;;;1;;;1
Multi Print Holding B.V.;;;;;;;1;;1
Multi Vlaai Zeist;;;;1;;;;;1
Multifit Health & Racket Centre B.V.;;;1;;;;1;;1
Multigift Relatiegeschenken B.V.;;;;1;;;;;1
multiSim B.V.;;;;;2;;;;2
Multi-Vlaai Maarssen;;;;1;;;;;1
Multivlaai Utrecht B.V.;;;;1;;;;;1
Muscle Power B.V.;;;1;;;;;;1
Museum Het Grachtenhuis;;;;;;1;;;1
MuseumcafÚ;;;;;;;1;;1
Museumpark Orientalis;;;;;;;1;;1
Muta Holding B.V.;;;;;;;1;;1
Muta Sport Nederland B.V.;;;1;;;;1;;1
Muziek en Showbureau Jan Vis B.V.;;;;;;;2;;2
Muziekcentrum van Gorp;;;;;;2;;;2
MWM2 B.V.;;;;;3;;;;3
My Motivation Insights B.V.;;;;;;2;1;;2
My Productions B.V.;;;;;;1;;;1
Mylaps;;;1;;;;1;;1
N. Aarnoudse B.V.;;;;;;1;;;1
N.V. Culligan s.a.;;;;;;;1;;1
N.V. Golf Exploit. Mij. Schipluid.;;;;;;;1;;1
N.V. UnivÚ Zorg;7;;;;;;;;7
N.V.T. Benelux B.V.;;;1;;;;;;1
NAF Ovingsbane;;;;;;1;;;1
Naider Chen & Vicky Sun;;2;;;;;;;2
NANCO Nordic Air Navigation Consult;;;;;;1;;;1
Nationaal Bevrijdingsmuseum 1944-1945;;;;1;;;1;;1
Nationaal Gevangenismuseum;;;;;;;1;;1
Nationaal Militair Museum;;;;;2;1;1;;2
Nationaal Parachutisten Centrum Teuge B.V.;;;;;;2;;;2
National Defence;;2;;;;4;;;4
National Instruments Netherlands B.V.;;;;;;1;;;1
Nationale Dinerbon B.V.;;;;1;;;;;1
Nationale Handelsacademie B.V.;;;1;;;1;;;1
Nationale Vereniging De Zonnebloem;;;;;;;1;;1
NATO JFC HQ BRUNSSUM;;;;1;;1;1;;2
Nato School;;;;;;5;;;5
NATO Shape Supreme Headquarters Allied Powers;;;;;;;1;;1
NATO Supreme Allied Command Transformation;;;;;;1;1;;1
Nature Trail;;;;;;;1;;1
Natuurcentrum De Maashorst;;;;;;;1;;1
Natuursteenbedrijf Midden-Brabant B.V.;;;;1;;;;;1
Navingo B.V.;;;;;2;;;;2
NBB Nederlandse Basketball Bond;;;;;;1;;;1
NCI Agency CSA - The Hague;;;;;;1;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;;4;;;4
NCOI Techniek Trainingen B.V.;;;;;;1;;;1
NCOI Trainingen B.V.;;;;;;2;;;2
Ned. Centrum voor Automatiserings-Management;;;;;;1;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;2;;;4;;;5
Ned. Software Metrieken Gebruikers Associatie;;;;;;1;;;1
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;;1;;;1
Nederl. Ver. van Commissariss. en Directeuren;;;1;;;;;;1
Nederland Sales & Service B.V.;;;;;;1;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;;;;;1;;;1
Nederlands Certificatie Instituut;;;;;;1;;;1
Nederlands Debat Instituut Holding B.V.;;;;;2;2;;;2
Nederlands EMDR Instituut;;;;;;1;;;1
Nederlands Examen Centr. Vertic.transp. B.V.;;;;;;1;;;1
Nederlands Instituut van Psychologen;;;;;1;;;;1
Nederlands Instituut voor de Bouw;;;;;;1;;;1
Nederlands Instituut voor Lastechniek;1;;;;;2;;;2
Nederlands Instituut voor Navigatie;;;;;;1;;;1
Nederlands Instituut Voor Psychosynthese B.V.;;;;;;1;;;1
Nederlands Loodswezen B.V.;;;;;;1;;;1
Nederlandse Orde van Register EDP-Auditors;;;;;;1;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;;2;;;2
Nederlandse Ski Vereniging;;;;;;1;;;1
Nederlandse Unifil Vereniging;;;;1;;;1;;1
Nederlandse Vereniging Casteau;;;;2;;;;;2
Nederlandse Vereniging voor Arbeidshygiene;;;;;;1;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;;;1;;;1
Nederlandse Vereniging voor Zeegeschiedenis;;;;;;1;;;1
NEDFAC B.V.;;;1;;;1;;;1
Negometrix B.V.;;;;;;2;;;2
Nestas Communicatie B.V.;;;;;1;;;;1
Netherlands Liaison Office;;;;1;;;1;;1
Netherlands Maritime Technology B.V.;;;;;;1;;;1
Netherlands Patriot Office (NLPO);;;;1;;;1;;1
Netherlands Training Detachment;;1;;1;;;1;;2
NetwerkShop;;;;;;1;;;1
Nevi B.V.;;;;;;1;;;1
NEVI-Purspective B.V.;1;;;;;5;;;5
New Babylon Meeting Center B.V.;;;;1;;;;;1
New Haro;;;;1;;;;;1
New Line Licht en Geluid B.V.;;;;;;;1;;1
Newa Techniek B.V.;;;;;;1;;;1
Newman, K.;;2;;;;;;;2
NeXTLearningValley B.V.;;;;;;1;;;1
NGI B.V.;;;;;;1;;;1
NH Capelle;;;;;;;;1;1
NH Grand Hotel Krasnapolsky;1;;;;;;;;1
NHL Hogeschool;;;;;;2;;;2
NIA Academie;;;;;;1;;;1
NIBE-SVV Trainingen B.V.;;;1;;;;;;1
NIBHV B.V.;;;;;;2;;;2
Nic Kupers Attractie Verhuur;;;;;;;1;;1
Nickels, Ilona;;;;;;1;;;1
Nicothe;;;;1;;;;;1
Nieuwhuis Consult B.V.;;;;;;1;;;1
Nijland Verkeersscholen;;;1;;;;;;1
NIOW Taaldiensten B.V.;;;;;;1;;;1
NIVE Opleidingen B.V.;;;;;;2;;;2
Nivel B.V.;;;1;;;;;;1
NIVSL;;;;;;1;;;1
Nix Moed Trainingen en Coaching;;;;;;1;;;1
NLTD Fort Rucker;;3;;1;;;1;;3
NME Media B.V.;;;;;4;;;;4
Nobbe Mieras Trainingen;;;;;;1;;;1
Nogal Wiedus;;;;1;;;;;1
Noll Entsorgung GmbH + Co.KG;;;;;;;1;;1
Noloc;;;;;;1;;;1
Noorderlicht Consultancy;;;;;;1;;;1
Noordhoff Uitgevers;;;;;;1;;;1
Noorloos Specialist Equipment B.V.;;;;;;;2;;2
NOR/NSE HAW Papa;;;;;;;1;;1
North Atlantic Treaty Organisation Staff Centre-Sports;;;;;;;1;;1
Northpark Associates II LP;;2;;;;;;;2
Northpark Associates IILp;;1;;;;;;;1
Norwegian Center For Global Analyse Rapid Response Unit;;;;;;1;;;1
Notariaat Kremer;2;;;;;;;;2
Notuleren.nl;;;;;;1;;;1
Nova College Regionaal Opleidingen Centrum;;;;;;1;;;1
NRC Handelsblad Weekeditie voor buitenland;;;;1;;;;;1
NTI B.V.;;;;;;1;;;1
Nuclear Research and Consultancy Group;1;;1;;;;;;1
Nurse Acadamy;;;;;;1;;;1
Nursing Nu!;;;;;;1;;;1
Nu-Swift Brandbeveiliging B.V.;;;;;;1;;;1
Nvdo, Ned. Verenig. voor Doelmatig Onderhoud;;;;;;1;;;1
