;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
The Terrace B.V.;2;;;;;;;2
The Three Engineers Consultants B.V.;2;;;;;;;2
The Thrive B.V.;;;;2;;;;2
The UnOfficial;1;;;;;;;1
Theehuis Cruquius;1;;;;;;;1
Theo Hendriks Corporate Storytelling;2;;;;;;;2
TheRockGroup Holding B.V.;2;;;;;;;2
Things To Make And Do B.V.;3;1;1;;;;;3
Think8;2;;;;;;;2
THL B.V.;;4;;;;;;4
Thuiswinkel B.V.;2;;;;;;;2
Thuramedia;2;;;;;;;2
Tijdloos Theater- en Muziekproducties;1;;;;;;;1
Tilkema Horeca B.V.;1;;;;;;;1
Tim Hamann Photography;1;;;;;;;1
Time2c B.V.;1;;;;;;;1
Tindemans Translations;1;;;;;;;1
Tineke Dijkstra Fotografie;2;;;;;;;2
Tinqwise B.V.;2;;;;;;;2
TMC Test & Integration B.V.;;;1;;;;;1
TNO Caribbean;3;;;;;;;3
TNO International Holding B.V.;4;4;3;;;;;5
To Interface Projects B.V.;2;;;;;;;2
To70 B.V.;7;;;;;;;7
Today Designers B.V.;2;;;;;;;2
TOLK Transform. & Organizat. Learning- Kempen;;2;;;;;;2
Tom Leest Training & Consultancy B.V.;1;;;;;;;1
Topgeschenken Nederland B.V.;1;1;;;;;;1
TOT Team Ontwikkel Trajecten B.V.;;;1;;;;;1
Total Design B.V.;2;;;;;;;2
Total Package Productions (T.P.P.) B.V.;1;;;;;;;1
Townsville;1;;;;;;;1
Trade and Industrial Policy Strateg;2;;;;;;;2
TRAINING FOR TRANSPORTATION PROFESS;1;;;;;;;1
Trainings- en Adviesbureau Bevers;;;;;1;;;1
Traiteur Saveurs et Couleurs;1;;;;;;;1
Trans Link Systems B.V.;1;;;;;;;1
Transit-Impuls;2;;;;;;;2
TRANSPORT & ENVIRONMENT (T&E);2;;;;;;;2
Transport en Logistiek Nederland;1;;;;;;;1
Transpute B.V.;;;;;;1;;1
Transvision B.V.;2;;;;;;;2
Tranzer B.V.;2;;;;;;;2
TRConsult B.V.;2;1;1;1;;;;2
Trend Office Bakas B.V.;1;;;;;;;1
TRESORERIE GENERALE POUR L'ETRANGER;1;;;;;;;1
Treveri;2;;;;;;;2
TRIBES Holding B.V.;1;;;;;;;1
TRIDÉE adviseurs in duurzame mobiliteit B.V.;2;;;;;;;2
Trifolium B.V.;3;;;;;;;3
TriOpSys B.V.;;5;;;;;;5
Triple Bridge B.V.;;2;;;;;;2
Triple E Publications;;1;;;;;;1
TripleArch B.V.;;;;;;1;;1
Trivident B.V.;;;;;;1;;1
Tuinbranche Nederland;2;;;;;;;2
Turnitin;;1;;;;;;1
Turntoo B.V.;2;;;;;;;2
Tussen Kaag en Braassem;1;;;;;;;1
TÜV Nederland QA B.V.;;;1;1;;;;1
TW Restaurant B.V.;1;;;;;;;1
Twynstra Gudde Overheid en Organisatie B.V.;3;;;;;;;3
Twynstra Gudde Water B.V.;3;;1;;;;;3
TwynstraGudde;4;2;;;;;;4
TwynstraGudde Adviseurs;2;;;;;;;2
Tyrilo B.V.;2;;;;;;;2
U.T.V.;;1;;;;;;1
Ubbels en Langerak V.O.F.;3;;;;;;;3
UBM Hotel Zuidas B.V.;1;;;;;;;1
UEA CONSULTING LIMITED;;2;;;;;;2
Uitgeefhuis Nieuw Amsterdam;1;;;;;;;1
Uitjesbazen B.V.;1;;;;;;;1
UJG;1;1;;;;;;2
UL TS B.V.;;;2;;;;;2
Ultimade;;;;;;2;;2
Umami Restaurant Den Haag B.V.;1;;;;;;;1
UMWELTBUNDESAMT GMBH;2;1;;;;;;2
UnifiedPost B.V.;;1;;;;;;1
Unique Sources Advies;;;1;1;;;;1
Unit 3 protection;;;1;;;;;1
UNITED NATIONS ECONOMIC COMMISSION;4;;;;;;;4
UNITED NATIONS ENVIRONMENT PROGRAMM;3;;;;;;;3
United Nations University [UNU];1;;;;;;;1
United Talent B.V.;;;1;;;;;1
Unitit Solutions B.V.;;;;;;2;;2
Universiteit Twente;2;;;;;;;2
UNIVERSITY OF OXFORD;3;;;;;;;3
University of Reading;;;2;;;;;2
University of Waterloo;;;1;;;;;1
UPD;;;;;1;;;1
Urban Events;1;;;;;;;1
Urbancore;2;;;;;;;2
UrbanGuides;1;;;;;;;1
Urgent Vertalen;1;;;;;;;1
Urhahn Urban Design B.V.;2;;2;;;;;2
US Kurier Transportunternehmen GmbH;1;;;;;;;1
Utrecht Business School;;1;;;;;;1
V.O.F. Aalsmeersch Bloemenhuis te Rotterdam;1;;;;;;;1
V.O.F. Cafetaria Dolle Dries;1;;;;;;;1
V.O.F. Creative Beards Group;2;;;;;;;2
V.O.F. de Goudreinet Barneveld;1;;;;;;;1
Valerie Kuypers Fotografie;1;;;;;;;1
Valkenhorst Corporate Sales;1;;;;;;;1
Van Bommel FAUNAWERK;1;;;;;;;1
Van Dam en Kruidenier Advocaten;;;;;1;;1;1
Van den Kommer Legal B.V.;2;;;;;;;2
Van der Kolk Advies;1;;;;;;;1
Van der Laan Touringcar B.V.;1;;;;;;;1
Van der Plas Nuclear Safety Consultant;2;;;;;;;2
Van der Valk Exclusief Hotel Haarlem;1;;;;;;;1
Van der Valk Hotel 's-Hertogenbosch-Vught;1;;;;;;;1
Van Doesburg Company;;;1;;;;;1
Van Eijnsbergen Training & Advies;;;1;1;;;;2
Van Engen Advies;2;;;;;;;2
van Hes Projectmanagement;2;;;;;;;2
Van Hoven Juridisch Advies;2;;;;;;;2
Van Lint in vorm;1;;;;;;;1
Van Nelle Ontwerpfabriek Exploitatie B.V.;1;;;;;;;1
Van Oss & Partners B.V.;;1;1;;;;;1
Van Reijsen KennisCommunicatie;1;;;;;;;1
Van Stockum, Belinfante & Coebergh B.V.;1;;;;;;;1
van Vliet Psychodiagnostiek;;;1;;;;;1
Van Zeggeren Communicatie;2;;;;;;;2
VanAnaarBooy B.V.;2;;;;;;;2
Vanberkel Professionals B.V.;3;;2;;;;;4
VanBerlo B.V.;1;;;;;;;1
VandenBroek Consulting;1;;;;;;;1
Vanduursen Natuurlijk;;;1;;;;;1
Vangoud Advocaten B.V.;1;;;;;;;1
VanWaarde;3;;;;;;;3
VBvri B.V.;2;;;;;;;2
VCK Travel B.V.;4;;;;;;;4
VDT (Voice Data Technologies);1;;;;;;;1
VeeEee Advies;1;;;;;;;1
VEI B.V.;2;;;;;;;2
Veilig Verkeer Nederland;1;1;;;;;;1
Veldkamp Produkties B.V.;1;;;;;;;1
VenM B.V.;3;;;;;;;3
Ver. van Ambt. Secr. Medezeggensch.org. Ned.;1;;;;;;;1
Ver. voor Lok. Natuur- en Milieucommunicatie;1;;;;;;;1
Veranderbrigade B.V.;1;;1;;;;;1
Verdonck, Klooster & Associates B.V.;3;;;;;;;3
Vereniging Nationaal Netwerk voor;;;1;;;;;1
Vereniging v. Nederlandse Proj.ontw. Mij.;1;;;;;;;1
Vereniging van Milieuprofessionals;1;;;;;;;1
Vereniging voor Overheidsmanagement;1;;;;;;;1
Vereniging Wildbeheer Zaanstreek en Omgeving;1;;;;;;;1
Verleidkundig Instituut;;;1;;;;;1
Verliefd op Vrijheid;1;;;;;;;1
Vermaat Bedrijfshoreca B.V.;1;;1;;;;;1
Vermaat Leisure B.V.;1;;;;;;;1
Vertaalbureau Perfect B.V.;2;;;;;;;2
Vertus B.V.;1;;;;;;;1
Vervoersdienst Van Driel B.V.;1;;;;;;;1
VGA (van Geffen Automatisering);1;;;;;;;1
VHC Jongens B.V.;4;;;;;;;4
vhp Human Performance B.V.;;;2;;;;;2
VIA Software;2;;;;;;;2
Vialis B.V.;2;;;;;;;2
VideoAgency Productions B.V.;2;;;;;;;2
Videonieuwsbericht B.V.;;1;;;;;;1
Villa Jongerius;;1;;;;;;1
ViNU Consult B.V.;3;;;;;;;3
Virtual Business Manager;1;;;;;;;1
Virtual Play;;1;;;;;;1
Visio B.V.;;;;;;1;;1
Visionrail;2;;;;;;;2
VISSER waterbeheer;4;;;;;;;4
Vlonck;;;;1;;;;1
VNO-NCW West;1;;;;;;;1
VNSG Diensten B.V.;;;1;;;;;1
Voerman Bestuursadvies;1;;;;;;;1
Vogelpark en Hotel-Café-Restaurant Avifauna;1;;;;;;;1
Volda;1;;;;;;;1
Vorderman Consultancy;1;;;;;;;1
Vorm Vijf Adviesteam;4;;;;;;;4
Vorm Vijf Ontwerpteam B.V.;3;1;1;;;;;4
Vormgevers van Toekomst;;1;;;;;;1
VORtech B.V.;1;;;;;;;1
V-Tron B.V.;2;;;;;;;2
Vurich B.V.;;1;;;;;;1
VVV Business B.V.;1;;;;;;;1
W/E adviseurs duurzaam bouwen;2;;;;;;;2
W2Economics;1;;;;;;;1
WAD43 B.V.;2;;;;;;;2
Wagemaker-Kragten V.O.F.;;;1;;;;;1
Wageningen Centre for Development Innovation;2;;;;;;;2
Wageningen Food & Biobased Research;3;;;;;;;3
Walhalla in De Meern B.V.;1;;;;;;;1
Wally's B.V.;1;;;;;;;1
Walter Benedict B.V.;1;;;;;;;1
WASHNote;1;;;;;;;1
Water and Land Resource Centre;2;;;;;;;2
Water en Wind B.V.;2;;;;;;;2
Water Matters;2;;;;;;;2
Watercollectief B.V.;2;;;;;;;2
Watertaxi Rotterdam B.V.;1;;;;;;;1
Waterwindow B.V.;2;;;;;;;2
WayToSustain;2;;2;;;;;3
WB de Ruimte B.V.;2;;;;;;;2
WCMC;2;;;;;;;2
WD Consultancy;;;2;;;;;2
We are you Rotterdam;;;1;;;;;1
Weather Impact B.V.;;;5;;;;;5
Weerman Omgevingsadvies;;;2;;;;;2
Weide Does Hok;;;1;;;;;1
Welldra B.V.;2;;;;;;;2
Wesselink Van Zijst B.V.;2;;1;;;;;2
West Tech Solutions B.V.;2;;;;;;;2
Wetgevingswerken B.V.;2;;;;;;;2
