Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Persoonlijk Succes B.V.;1;;;;;;1
Pete Thomas Translations;1;;;;;;1
Peter Appel Transport B.V.;1;;;;;;1
Peter Faber vertelt/telt/organiseert;;1;;;;;1
Peters-Geven thodn Bak. Schellens Trudoplein;1;;;;;;1
Petronia advies & interim-management;4;;;;;;4
Peukie Beheer B.V.;1;;;;;;1
Phanta Visual B.V.;1;;;;;;1
Phil Nijhuis Fotografie;1;;;;;;1
Philips Nederland B.V.;1;;;;;;1
Photo Republic;1;;;;;;1
PhotoLogiX;1;;;;;;1
Pieter van Geel Consultancy;2;;;;;;2
Pine Lawful Interception B.V.;1;;;;;;1
Pinkcube B.V.;1;;;;;;1
Pino Evenementen & Congressen B.V.;4;;;;;;4
Pino Productions B.V.;2;;;;;;2
PinsandMore.nl;1;;;;;;1
Plan to behaviour;1;;;;;;1
Plancius eten en drinken C.V.;1;;;;;;1
Planecologie;2;;;;;;2
Planmen International B.V.;5;;;;;;5
Plastic Whale B.V.;2;;;;;;2
Platform P;1;;;;;;1
Play-Time Visie Beleid Actie;3;;2;;;;3
Plein 13 Consultancy B.V.;2;;;;;;2
Plein 9 A B.V.;1;;;;;;1
Plotgemak.nl B.V.;1;;;;;;1
Plugg B.V.;1;;;;;;1
Plurel;1;;;;;;1
Plusport B.V.;1;;;;;;1
PMA Exclusive;3;;;;;;3
PmcB INFRA B.V.;2;;;;;;2
PNO Ondernemingen B.V.;2;;;;;;2
Podium onder de Dom B.V.;1;;;;;;1
POI-Creatives;1;;;;;;1
Poisson & Cuisine - Fresh Quality Fish B.V.;1;;;;;;1
POL Heteren B.V.;1;;;;;;1
Polaroidfoto.nl;1;;;;;;1
Polemiek tekst & advies;1;;;;;;1
Policy Research Corporation Nederland B.V.;2;;;;;;2
Polm Management Support;1;;;;;;1
Pon Dealer;1;;;;;;1
Pondera Consult B.V.;1;;;;;;1
Pondres Direct Mail B.V.;1;1;;;;;1
Poolen Organisatieadvies B.V.;3;;;;;;3
Pooltime Pool/Snooker & Bowling B.V.;1;;;;;;1
Poortvliet Fotografie V.O.F.;1;;;;;;1
Popov Acting;2;;;;;;2
Pop-up Fun B.V.;1;;;;;;1
Port of Amsterdam International B.V.;4;;;;;;4
Posad B.V.;4;;;;;;4
POSG;6;;;;;;6
POSG B.V.;5;;;;;;5
Postillion Hotels B.V.;3;;;;;;3
Pouw Vervoer B.V.;1;;;;;;1
Powertec Diesel Services B.V.;1;;;;;;1
PPI-Management;3;;;;;;3
PPO/PRI Praktijkonderzoek AGV/LEI;2;;;;;;2
PPO/PRI Prkt.onderz. Bloembol. Boomkw./Fruit;1;;;;;;1
PR Vastgoed;1;;;;;;1
Prachtig B.V.;1;;;;;;1
Praktijk voor Psychotherapie Hoxe;1;;;;;;1
Premium & Promotion Partners B.V.;1;;;;;;1
Premium Cards B.V.;1;;;;;;1
Premium Connect B.V.;1;;;;;;1
Premium Voices;1;;;;;;1
Presenter B.V.;4;;;;;;4
Pricewaterhousecoopers Advisory N.V.;5;;;;;;5
Pricewaterhousecoopers B.V.;3;;;;;;3
Pricewaterhousecoopers N.V.;7;4;;;;4;7
Primaned Projectadvies B.V.;2;;;;;;2
Primaplan (Project Control Services) B.V.;3;;;;;;3
Prime Advice B.V.;1;;;;;;1
Prince Helicopters;1;;;;;;1
Prins Walvisch;1;;;;;;1
Print Point Totaalreclame B.V.;1;;;;;;1
Printstudio Statenkwartier B.V.;1;;;;;;1
Pro Facto B.V.;1;;;;;;1
Pro Infra Project Support B.V.;4;;;;;;4
PROambt Advies;1;;;;;;1
Probata B.V.;2;;;;;;2
Probe It;1;;;;;;1
Procap B.V.;4;;;;;;4
PROCentrum B.V.;3;;;;;;3
ProCon advies;2;;;;;;2
Prodicom B.V.;3;;;;;;3
Proefboerderij 'Rusthoeve';1;;;;;;1
Proeverij Koekfabriek B.V.;1;;;;;;1
Professional Rebel;1;;;;;;1
Profundo B.V.;1;;;;;;1
Project 13;2;;;;;;2
Project Leadership Academy;1;;;;;;1
Projectbureau Oosterwaal;1;;;;;;1
Prolan;1;;;;;;1
PROLECO;4;;;;;;4
Promavise;2;;;;;;2
Promenade Hotel B.V.;1;;;;;;1
Prominent Inn/De Blauwe Gans B.V.;1;;;;;;1
Promopodium B.V.;1;;;;;;1
Pronk Ontwerp;1;;;;;;1
ProRail B.V.;7;;;;;;7
Protinus IT B.V.;2;;;;;;2
Proven Workspace B.V.;3;;;;;;3
Provero;1;;;;;;1
Provisional Media International B.V.;1;;;;;;1
Pryme Consulting B.V.;4;;;;;;4
Public Creation B.V.;1;;;;;;1
Public Matters B.V.;1;;;;;;1
Public Partners B.V.;1;;;;;;1
Publicimage.nl;1;;;;;;1
PubliContact B.V.;2;;;;;;2
Publieke Ondernemers;1;;;;;;1
Publistat B.V.;3;;;;;;3
'Puur & Co';3;;;;;;3
Q Delft B.V.;1;;;;;;1
Q-doc B.V.;1;;;;;;1
Qidos B.V.;1;;;;;;1
Q-Link Bemiddeling & Advies;2;;;;;;2
QNH Consulting B.V.;4;;;;;;4
Qoncepts B.V.;1;;;;;;1
QS graphics B.V.;1;;;;;;1
QTwee Nederland B.V.;1;;;;;;1
Quadrand B.V.;1;;;;;;1
Quakernaat Automatiserings Praktijk;1;;;;;;1
Quality Developments & Advice (QD&A) B.V.;1;;;;;;1
Quest Traffic Consultancy B.V.;2;;;;;;2
Quint Wellington Redwood Nederland B.V.;2;;;;;;2
Quintel Intelligence B.V.;1;;;;;;1
QuoVadis Trustlink B.V.;1;;;;;;1
R. van der Zwan Consultancy B.V.;5;;;;;;5
R. van Noortwijk Ruimte voor Duurz. Initiat.;2;;;;;;2
R.J. Bagerman t.h.o.d.n. Multi-Vlaai Arnhem;1;;;;;;1
R.P. Oud t.h.o.d.n. Euronics;1;;;;;;1
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;3;;;;;;3
RAAP Archeolog. Adviesbureau Oost Nederland;1;;;;;;1
Rabobank Utrechtse Heuvelrug;1;;;;;;1
RAI Amsterdam B.V.;2;;;;;;2
Railinfra Opleidingen;1;;;;;;1
Railinfra Solutions;3;;;;;;3
Rainbow Management B.V.;1;;;;;;1
Rama Horeca B.V.;1;;;;;;1
Randstad Holding Nederland B.V.;2;;;;;;2
