"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"2029","Corrigan Station","Jackson","Kansas City","158","* 2,765,187","* 1,064,677","1828",,"Walnut","St","1828  Walnut St","2016","Approved","* 40","Non-Residential","Building","Renovation","Office","Building","Renovation","Office / Retail / Parking",,,,,,,"$40 million project remodeling 100,000 sq. ft. of office space, and adding 44,000 sq. ft. of office space, 15,000 sq. ft. of retail, and 392 parking spaces in the addition to the original building and in a garage across the street","Copaken Brooks and 3D Development","No","No"
"1782","Truman Community Mental Health Center","Jackson","Kansas City","158","* 2,763,801","* 1,064,618","300","W","19th","Te","300 W 19th Te","2011","Completed","* 6","Non-Residential","Building","Use Conversion","Medical","Building","Use Conversion","Medical"," ",,,,," ","conversion of former commercial building to 60,000 sq. ft. mental health clinic","Truman Medical Center","No","No"
"1603","Buck O'Neil Education and Research Center","Jackson","Kansas City","161","* 2,770,319","* 1,064,605","1814"," ","Paseo"," ","1814   Paseo  ","2015","Underway","* 17","Non-Residential","Building","Renovation","Entertainment","Building","Renovation / Expansion","Entertainment / Education"," ",,,,," ","$14 million project with renovation and 13,558 sq. ft. expansion of 35,696 sq. ft. building","Negro Leagues Museum","No","No"
"1793","Highland Place Apartments Conversion","Jackson","Kansas City","161","* 2,771,150","* 1,064,579","1821"," ","Highland","Av","1821   Highland Av","2013","Completed","* 6","Residential","Building","Use Conversion","Housing","Building","Use Conversion / Style Conversion","Housing","Multifamily",,,,,"* 22","conversion of hotel and 6 houses into 22 apartments","Dromara Development","No","Yes"
"1731","Dermadoctor Renovation","Jackson","Kansas City","158","* 2,766,037","* 1,064,487","1901"," ","McGee","St","1901   McGee St","2009","Completed","* 3","Non-Residential","Building","New","Retail","Building","New","Retail / Office"," ",,,,," ","renovation of 11,000 sq. ft. of retail space and 11,000 sq. ft. of office space","1901 McGee LLC","No","No"
"435","Villa Del Sol Residential","Jackson","Kansas City","153","* 2,761,228","* 1,064,484","1915"," ","Holly","St","1915   Holly St","1998","Completed","* 12","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 120","120 new garden apartments and townhouses","Kansas City Housing Authority","No","Yes"
"663","Trailwoods Elementary School","Jackson","Kansas City","21","* 2,785,798","* 1,064,469","6201","E","17th","St","6201 E 17th St","1994","Completed","* 9","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $9 million school","Kansas City School District","No","No"
"564","American Royal Show and Exhibit Facilities","Jackson","Kansas City","152","* 2,759,042","* 1,064,456","1701"," ","American Royal","Ct","1701   American Royal Ct","1992","Completed","* 33","Non-Residential","Building","New","Entertainment","Building","New / Renovation","Entertainment / Office"," ",,,,," ","new 5,100-seat arena and exhibition hall and remodeling of Governor's Exposition Building","City of Kansas City, MO","No","No"
"1528","18th & Vine Townhouses","Jackson","Kansas City","161","* 2,770,757","* 1,064,416","1612","E","19th","St","1612 E 19th St","2010","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 19","19 townhouses built since 2005"," ","No","No"
"2102","Switzer Lofts","Jackson","Kansas City","153","* 2,762,021","* 1,064,388","1936",,"Summit","St","1936  Summit St","2017","Underway","* 24","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 114","conversion of former school into 114 apartments","Foutch Brothers LLC","No","Yes"
"1062","Qwest Communications Building","Jackson","Kansas City","158","* 2,767,535","* 1,064,349","1926"," ","Charlotte","St","1926   Charlotte St","2001","Completed","* 8","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new 33,000 sq. ft. communications building","Qwest","No","No"
"1947","1914 Main Apartments","Jackson","Kansas City","158","* 2,764,854","* 1,064,343","1914",,"Main","St","1914  Main St","2015","Underway","* 8","Residential","Building","New","Housing","Building","New","Housing / Retail","Multifamily",,,,,"* 44","new 44-unit apartment building with 1,500 sq. ft. of retail","Linden Street Partners","No","Yes"
"443","Basie Court Apartments","Jackson","Kansas City","161","* 2,771,190","* 1,064,262","1940"," ","Woodland","Av","1940   Woodland Av","1995","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 88","88 new multifamily housing units ","Black Economic Union","No","Yes"
"1563","Zahner Building Office Renovation","Jackson","Kansas City","158","* 2,763,698","* 1,064,227","310","W","20th","St","310 W 20th St","2008","Completed","* 5","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","office renovation of 36,000 sq. ft. building","Broadway Development LLC","No","No"
"541","Olive Housing Experiment Single Family","Jackson","Kansas City","161","* 2,773,545","* 1,064,050","2020"," ","Park ","Av","2020   Park  Av","2005","Completed","* 3","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 35","from 25 to 50 new single family housing units","community development corporations and City of Kansas City, Missouri","No","No"
"2064","Hilton Home2Suites Hotel","Jackson","Kansas City","158","* 2,765,012","* 1,064,004","2001",,"Main","St","2001  Main St","2016","Approved","* 19","Non-Residential","Building","New","Lodging","Building","New","Lodging",,,,,,,"new 110-room hotel","Sunflower Development Group","No","No"
"2079","ARTerra","Jackson","Kansas City","31","* 2,764,238","* 1,063,786","2100",,"Wyandotte","St","2100  Wyandotte St","2016","Approved","* 27","Residential","Building","New","Housing","Building","New","Housing / Retail","Multifamily",,,,,"* 125","new 125-unit apartment building, 2,000 sq. ft. of retail and 150 parking spaces","Copaken Brooks","No","Yes"
"1456","23rd Street Bridge near Kemper Arena","Jackson","Kansas City","152","* 2,758,839","* 1,063,770",," "," "," ","       ","2008","Completed","* 11","City Capital Improvement","Infrastructure","Renovation","Bridge","Infrastructure","Renovation","Bridge"," ",,,,," ","$6 million bridge renovation","City of Kansas City, MO","No","No"
"573","Tony Aguirre Community Center","Jackson","Kansas City","153","* 2,761,716","* 1,063,770","2050"," ","West Pennway"," ","2050   West Pennway  ","2001","Completed","* 4","Non-Residential","Building","New","Entertainment","Building","New","Entertainment / Meeting Space"," ",,,,," ","new 26,000 sq. ft. community center","City of Kansas City, MO","No","No"
"1422","PCB Treatment Building Remediation","Jackson","Kansas City","158","* 2,764,217","* 1,063,757","2100"," ","Wyandotte","St","2100   Wyandotte St","2005","Completed","* 18","Non-Residential","Building","Remediation","Industrial","Building","Remediation","Industrial"," ",,,,," ","$18 million environmental cleanup of building","Linda Long","No","No"
"2092","Aparium Hotel","Jackson","Kansas City","158","* 2,763,944","* 1,063,700","2107",,"Central","St","2107  Central St","2017","Approved","* 17","Non-Residential","Building","Use Conversion","Lodging","Building","Use Conversion","Lodging",,,,,,,"conversion of former industrial facility to 125-room hotel","Aparium Hotel Group and Agman Partners","No","No"
"782","Benton Boulevard Infill Housing","Jackson","Kansas City","160","* 2,774,671","* 1,063,662","2001"," ","Benton","Bl","2001   Benton Bl","1996","Completed","* 3","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 19","19 new infill housing units","Citizens Housing and Information Council","No","No"
"753","Washington Wheatley Housing","Jackson","Kansas City","160","* 2,775,000","* 1,063,618","2100"," ","Kansas","Av","2100   Kansas Av","2002","Completed","* 5","Residential","Building","New","Housing","Building","New / Renovation","Housing","Mix",,,,,"* 32","32 new single family homes built 1990, plus rehabilitation of both single family and multifamily housing to 2002"," ","No","No"
"1625","Freight House District Infrastructure & Streetscape","Jackson","Kansas City","158","* 2,764,044","* 1,063,583",," "," "," ","       ","2008","Completed","* 5","City Capital Improvement","Infrastructure","Upgrade","Sewer","Infrastructure","Upgrade / Replacement","Sewer / Water Service / Streetscape"," ",,,,," ","$4 million project to separate storm and sanitary sewers, add larger water mains, provide new curbs and sidewalks and add to street lighting","City of Kansas City, MO","No","No"
"1634","American Royal Drive Bridge Replacement","Jackson","Kansas City","152","* 2,759,034","* 1,063,556",," "," "," ","       ","2008","Completed","* 7","City Capital Improvement","Infrastructure","Replacement","Bridge","Infrastructure","Replacement","Bridge"," ",,,,," ","$7 million bridge replacement","City of Kansas City, MO","No","No"
"396","Freight House District Redevelopment","Jackson","Kansas City","158","* 2,764,561","* 1,063,550","2100"," ","Wyandotte","St","2100   Wyandotte St","2015","Underway","* 233","Non-Residential","Building","Use Conversion","Office","Building","Use Conversion / Renovation / New","Office / Retail / Hotel / Housing / Parking","Multifamily",,,,,"* 479","ongoing conversion from industrial and warehouse uses to commercial uses (including offices, art galleries, restaurants, and boutiques) and residential uses; plus some renovation or construction of buildings, including parking","Levitt Enterprises Inc.","No","Yes - Separated"
"981","Western Auto Lofts Conversion","Jackson","Kansas City","158","* 2,765,658","* 1,063,527","2107"," ","Grand","Bl","2107   Grand Bl","2004","Completed","* 30","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 157","conversion of office building complex to 157 condominium units","MCZ Development Corp. and Centrum Properties","No","Yes"
"1964","2101 Broadway Remodeling","Jackson","Kansas City","158","* 2,763,513","* 1,063,444","2101",,"Broadway","Bl","2101  Broadway Bl","2014","Completed","* 3","Non-Residential","Building","Renovation","Retail","Building","Renovation","Retail",,,,,,,"$3 million remodeling for retail and offices","3D Development","No","No"
"2007","Truman Med Hospital Hill Outpatient Center","Jackson","Kansas City","43","* 2,767,665","* 1,063,343","2101",,"Charlotte","St","2101  Charlotte St","2015","Underway","* 29","Non-Residential","Building","New","Medical","Building","New","Medical",,,,,,,"New 90,000 sq. ft. outpatient center","Landmark Healthcare Facilities","No","No"
"915","Vine Street Lofts","Jackson","Kansas City","161","* 2,770,740","* 1,063,340","2101"," ","Vine","St","2101   Vine St","2003","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 62","new 62-unit apartment building","Bank of America, Black Economic Union, and Move-Up","No","No"
"1040","Lincoln Prep Renovations","Jackson","Kansas City","161","* 2,771,544","* 1,063,266","2111"," ","Woodland","Av","2111   Woodland Av","2002","Completed","* 10","Non-Residential","Building","Renovation","Education","Building","Renovation","Education"," ",,,,," ","$10 million of library and other renovations to both the high school and the middle school","Kansas City School District","No","No"
"2090","Children's Mercy Office Tower","Jackson","Kansas City","43","* 2,766,957","* 1,063,252","600","E","22nd","St","600 E 22nd St","2017","Approved","* 27","Non-Residential","Building","New","Medical","Building","New","Medical / Parking",,,,,,,"new","Children's Mercy Hospital","No","No"
"1523","Vine Street Place Single Family Homes","Jackson","Kansas City","161","* 2,772,233","* 1,063,235","2104"," ","Garfield","Av","2104   Garfield Av","2017","Underway","* 5","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 26","26 single family homes built since 2003"," ","No","No"
"460","Brooklyn East I and II Single Family Homes","Jackson","Kansas City","161","* 2,773,278","* 1,063,193","2202"," ","Park ","Av","2202   Park  Av","2010","Completed","* 6","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 36","36 new infill single family homes built since 1990"," ","No","No"
"1126","Cabot Westside Health Center","Jackson","Kansas City","153","* 2,762,167","* 1,063,189","2121"," ","Summit","St","2121   Summit St","2004","Completed","* 6","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new 19,000 sq. ft. clinic","Cabot Westside Health Center","No","No"
"1446","Union Station to Crossroads Pedestrian Bridge","Jackson","Kansas City","158","* 2,764,244","* 1,063,155",," "," "," ","       ","2006","Completed","* 5","Other Capital Improvement","Infrastructure","Move","Bridge","Infrastructure","Move / Use Conversion","Bridge"," ",,,,," ","$5 million 3-mile move and alterations to former River Market railroad bridge to become a pedestrian bridge","Pershing Road Development","No","No"
"419","2301 McGee Office Building","Jackson","Kansas City","158","* 2,765,970","* 1,063,041","2301"," ","Mc Gee","St","2301   Mc Gee St","2000","Completed","* 42","Non-Residential","Building","New","Office","Building","New","Office / Exhibition Hall"," ",,,,," ","new 180,000 sq. ft. office building and 54,000 sq. ft. exhibition hall","Crown Center Redevelopment Corp.","No","No"
"1063","Amtrak Station","Jackson","Kansas City","158","* 2,764,245","* 1,063,017","2300"," ","Main","St","2300   Main St","2002","Completed","* 5","Non-Residential","Building","Expansion","Transportation","Building","Expansion","Transportation"," ",,,,," ","addition to Union Station for operational train station","Amtrak","No","No"
"2048","Blue Cross Blue Shield Renovations","Jackson","Kansas City","158","* 2,765,404","* 1,062,976","2301",,"Main","St","2301  Main St","2015","Underway","* 4","Non-Residential","Building","Renovation","Office","Building","Renovation","Office",,,,,,,"$4 million office building renovation","Blue Cross Blue Shield","No","No"
"2031","Two Pershing Square Renovation for GSA","Jackson","Kansas City","158","* 2,764,632","* 1,062,930","2300",,"Main","St","2300  Main St","2014","Completed","* 12","Non-Residential","Building","Renovation","Office","Building","Renovation","Office",,,,,,,"$12 million renovation of 140,000 sq. ft. of office space","General Services Administration","No","No"
"894","Guadalupe Center Expansion","Jackson","Kansas City","153","* 2,761,341","* 1,062,885","1015"," ","Avenida Cesar Chavez"," ","1015   Avenida Cesar Chavez  ","2003","Completed","* 7","Non-Residential","Building","Expansion","Education","Building","Expansion / Renovation","Education / Entertainment / Social Service"," ",,,,," ","new 18,000 sq. ft. building for a theater, culinary arts training, senior citizen programs, meeting rooms, administrative offices, plus renovation of the existing 6,000 sq. ft. social service building","Guadalupe Center","No","No"
"1284","Old Ballpark Homes","Jackson","Kansas City","161","* 2,772,614","* 1,062,860","2200"," ","Brooklyn","Av","2200   Brooklyn Av","2005","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 47","47 new single family homes","Vine St. LP","No","No"
"456","22nd-23rd Street Corridor - McGee to I-70","Jackson","Kansas City","161","* 2,772,950","* 1,062,843",," "," "," ","       ","2015","Underway","* 22","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","$22 million reconstruction and widening of parts of 22nd and 23rd Streets from McGee Av. to I-70","City of Kansas City, MO","No","No"
"1990","Crossroads West","Jackson","Kansas City","158","* 2,762,845","* 1,062,665","2311",,"Jefferson","St","2311  Jefferson St","2016","Approved","* 60","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 275","275 new apartments","Cityscape Residential","No","Yes"
"756","Hospital Hill Offices","Jackson","Kansas City","43","* 2,767,145","* 1,062,598","2310"," ","Holmes","St","2310   Holmes St","1992","Completed","* 8","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new 176,000 sq. ft. medical office building","Peters and Assocs.","No","No"
"418","Truman Medical Center Expansion","Jackson","Kansas City","43","* 2,767,272","* 1,062,577","2301"," ","Charlotte","St","2301   Charlotte St","1997","Completed","* 29","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","82,000 sq. ft. expansion to replace the intensive care unit and expand the emergency room/trauma center and the outpatient surgery center","Truman Medical Center","No","No"
"1130","Truman Med. Cen. Parking Expansion","Jackson","Kansas City","43","* 2,767,272","* 1,062,577","2301"," ","Charlotte","St","2301   Charlotte St","2004","Completed","* 5","Non-Residential","Building","Expansion","Parking","Building","Expansion","Parking"," ",,,,," ","292-space parking expansion","Truman Medical Center","No","No"
"1120","Truman Med. Cen. Emergency Rm. Expan.","Jackson","Kansas City","43","* 2,767,272","* 1,062,577","2301"," ","Charlotte","St","2301   Charlotte St","2005","Completed","* 16","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","20,000 sq. ft. emergency room expansion","Truman Medical Center","No","No"
"1899","Truman Medical Center Renovation","Jackson","Kansas City","43","* 2,767,272","* 1,062,577","2301"," ","Charlotte","St","2301   Charlotte St","2012","Completed","* 34","Non-Residential","Building","Renovation","Medical","Building","Renovation","Medical"," ",,,,," ","$34 million hospital renovation","Truman Medical Center","No","No"
"1982","Truman Med. Bloch Cancer Center","Jackson","Kansas City","43","* 2,767,272","* 1,062,577","2301"," ","Charlotte","St","2301   Charlotte St","2014","Completed","* 6","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","17,000 sq. ft. cancer center","Truman Medical Center","No","No"
"1898","Seton Center Expansion","Jackson","Kansas City","160","* 2,774,835","* 1,062,576","2816","E","23rd","St","2816 E 23rd St","2013","Completed","* 5","Non-Residential","Building","Expansion","Social Service","Building","Expansion / Renovation","Social Service"," ",,,,," ","9,000 sq. ft. expansion and 14,000 sq. ft. renovation to social service agency related to thrift store, food pantry, dental and educational facilities","Seton Center","No","No"
"432","Union Station Restoration and Science City","Jackson","Kansas City","158","* 2,764,495","* 1,062,574","2300"," ","Main","St","2300   Main St","1999","Completed","* 253","Non-Residential","Building","Use Conversion","Entertainment","Building","Use Conversion / Renovation","Entertainment / Meeting Space / Transportation"," ",,,,," ","restoration of the Grand Hall as public space, and development of a 234,000 sq. ft. science museum and transportation center","Union Station Assistance Corp.","No","No"
"2074","Union Station Expansion","Jackson","Kansas City","158","* 2,764,495","* 1,062,574","2300"," ","Main","St","2300   Main St","2017","Approved","* 8","Non-Residential","Building","Expansion","Entertainment","Building / Infrastructure","Expansion","Entertainment / Transportation"," ",,,,,,"Expansion of museum and construsction of pedestrisn and traffic bridges from street to parking garage","Union Station","No","No"
"1915","Sheraton Hotel Renovations","Jackson","Kansas City","158","* 2,766,006","* 1,062,572","2345",,"Mcgee","St","2345  Mcgee St","2013","Completed","* 6","Non-Residential","Building","Renovation","Lodging","Building","Renovation","Lodging"," ",,,,," ","$6 million hotel renovation","Starwood Hotels and Resorts","No","No"
"900","2311 Jefferson Telecom. Hotel Conversion","Jackson","Kansas City","158","* 2,762,609","* 1,062,562","2311"," ","Jefferson","St","2311   Jefferson St","2000","Completed","* 5","Non-Residential","Building","Use Conversion","Office","Building","Use Conversion","Office"," ",,,,," ","conversion of former warehouse to offices for telecommunications companies","Grubb & Ellis / The Winbury Group","No","No"
"414","Southwest Boulevard Streetscape","Jackson","Kansas City","153","* 2,762,045","* 1,062,498",," "," "," ","       ","1995","Completed","* 5","City Capital Improvement","Infrastructure","Upgrade","Sidewalks","Infrastructure / Building / Open Space","Upgrade","Sidewalks / Parking / Facades"," ",,,,," ","$5 million project to provide new curbs, gutters, brick sidewalks, trees, planters, streetlights and parking between Washington and 25th Streets","City of Kansas City, MO","No","No"
"871","The Link Skywalk- Union Sta.-Crown Cen.","Jackson","Kansas City","158","* 2,764,884","* 1,062,416","2400"," ","Main","St","2400   Main St","2000","Completed","* 13","Other Capital Improvement","Infrastructure","New","Skywalk","Infrastructure","New","Skywalk"," ",,,,," ","$13 million skywalk","Union Station Assistance Corp.","No","No"
"440","Western Missouri Mental Health Center","Jackson","Kansas City","43","* 2,768,191","* 1,062,403","2301"," ","Campbell","St","2301   Campbell St","2004","Completed","* 50","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new 164,000 sq. ft. mental health building","State of Missouri","No","No"
"1280","Vine Street Manor Senior Citizen Housing","Jackson","Kansas City","162","* 2,770,549","* 1,062,316","2300"," ","Vine","St","2300   Vine St","2007","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 60","new 60-unit senior citizen apartment building","Vine Street Housing Corp.","No","No"
"1604","National Archives Central Plains Center","Jackson","Kansas City","44","* 2,763,255","* 1,062,268","400","W","Pershing","Rd","400 W Pershing Rd","2009","Completed","* 10","Non-Residential","Building","Renovation","Education","Building","Renovation / Expansion","Education / Entertainment"," ",,,,," ","$10 million project with renovation and 8,000 sq. ft. expansion of 36,000 sq. ft. building","Broadway Square Partners LLP","No","No"
"445","J.A. Rogers Academy Middle School","Jackson","Kansas City","21","* 2,786,101","* 1,062,198","6400","E","23rd","St","6400 E 23rd St","1995","Completed","* 11","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new 152,000 sq. ft. school","Kansas City School District","No","No"
"1141","Todd Bolender Center for Dance and Creativity","Jackson","Kansas City","44","* 2,763,102","* 1,062,169","500","W","Pershing","Rd","500 W Pershing Rd","2011","Completed","* 32","Non-Residential","Building","Use Conversion","Education","Building","Use Conversion","Education / Office"," ",,,,," ","conversion of former power plant to 60,000 sq. ft. of seven ballet studios, one of which could serve as a 180-seat theater, and offices","Powerhouse Properties KC LLC","No","No"
"1123","The Liberty (Dakota Lofts)","Jackson","Kansas City","44","* 2,763,263","* 1,062,120","360","W","Pershing","Rd","360 W Pershing Rd","2007","Completed","* 9","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 44","conversion of former armed forces examining center to 44 residential loft condos","Ben Bryan","No","Yes"
"556","Westin Crown Center Hotel Renovation","Jackson","Kansas City","44","* 2,765,203","* 1,062,039","1"," ","Pershing","Rd","1   Pershing Rd","1998","Completed","* 11","Non-Residential","Building","Renovation","Lodging","Building","Renovation","Lodging"," ",,,,," ","renovation of guest rooms in 725-room hotel","Westin Crown Center Hotel","No","No"
"1890","Westin Crown Center Hotel Renovation","Jackson","Kansas City","44","* 2,765,203","* 1,062,039","1"," ","Pershing","Rd","1   Pershing Rd","2014","Completed","* 3","Non-Residential","Building","Renovation","Lodging","Building","Renovation","Lodging"," ",,,,," ","renovation of hotel lobby","Westin Crown Center Hotel","No","No"
"1800","Legoland Discovery Center","Jackson","Kansas City","44","* 2,765,571","* 1,062,024",,"E","25th","St","200A E 25th St","2012","Completed","* 15","Non-Residential","Building","Use Conversion","Entertainment","Building","Use Conversion","Entertainment"," ",,,,," ","conversion of retail space into 30,000 sq. ft.  entertainment center","Merlin Entertainments Group","No","No"
"2023","UMKC Beacon Hill Dormitories","Jackson","Kansas City","162","* 2,768,824","* 1,062,017","2401",,"Troost","Av","2401  Troost Av","2014","Completed","* 30","Non-Residential","Building","New","Housing","Building","New","Housing","Group Quarters",,,,,,"new $30 million dormitory","UMKC","No","No"
"1934","215 W. Pershing ","Jackson","Kansas City","44","* 2,763,983","* 1,061,982","215","W","Pershing","Rd","215 W Pershing Rd","2015","Underway","* 18","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 60","conversion to 60 apartments","Mike Rainen","No","Yes"
"551","KCMO Health Department Headquarters","Jackson","Kansas City","43","* 2,768,462","* 1,061,965","2400"," ","Troost","Av","2400   Troost Av","1997","Completed","* 18","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 122,000 sq. ft. office building, with meeting rooms, auditorium and a medical/public health library","City of Kansas City, MO","No","No"
"592","Crown Center Shops Remodeling","Jackson","Kansas City","44","* 2,765,132","* 1,061,931","2450"," ","Grand","Av","2450   Grand Av","1999","Completed","* 8","Non-Residential","Building","Renovation","Retail","Building","Renovation / Reconfiguration","Retail"," ",,,,," ","$8 million retail renovation","Crown Center Redevelopment Corp.","No","No"
"390","Children's Mercy Hospital Expansion I","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","1999","Completed","* 88","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","1.4 million sq. ft. of expansions for hospital beds, medical offices and research facilities","Children's Mercy Hospital","No","No"
"921","Children's Mercy Cong. Heart Failure Expan.","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2003","Completed","* 35","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","hospital expansion to construct 4 operating rooms for congestive heart failure","Children's Mercy Hospital","No","No"
"1122","Children's Mercy Parking Garage","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2004","Completed","* 12","Non-Residential","Building","New","Parking","Building","New","Parking"," ",,,,," ","new 860-space parking garage","Children's Mercy Hospital","No","No"
"1121","Children's Mercy Pediatric Research Center","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2004","Completed","* 17","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","32,000 sq. ft. hospital expansion for research","Children's Mercy Hospital","No","No"
"1421","Children's Mercy IC Nursery Expansion","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2006","Completed","* 4","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","$4 million expansion to intensive care nursery to add 17 beds","Children's Mercy Hospital","No","No"
"1450","Children's Mercy Emergency Department Expansion","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2009","Completed","* 40","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","$40 million expansion to hospital emergency department","Children's Mercy Hospital","No","No"
"1807","Children's Mercy Hospital Link","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2011","Completed","* 3","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","18,000 sq. ft. of mediacal offices and meeting rooms","Children's Mercy Hospital","No","No"
"1746","Children's Mercy Elizabeth Ann Hall Patient Tower","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2012","Completed","* 63","Non-Residential","Building","Expansion","Medical","Building","Expansion","Medical"," ",,,,," ","$63 million expansion to hospital of 73 patient beds, fetal health center, pediatric intensive care, oncology unit and chapel","Children's Mercy Hospital","No","No"
"1913","Children's Mercy Genetics & Genomics Lab Relocation","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2013","Completed","* 3","Non-Residential","Building","Reconfiguration","Medical","Building","reconfiguration","Medical"," ",,,,," ","$3 million hospital reconfiguration","Children's Mercy Hospital","No","No"
"2049","Children's Mercy Miscellaneous Improvements","Jackson","Kansas City","43","* 2,766,780","* 1,061,928","2401"," ","Gillham","Rd","2401   Gillham Rd","2015","Completed","* 18","Non-Residential","Building","Renovation","Medical","Building","Renovation","Medical",,,,,,,"$18 million in miscellaneous hospital improvements","Children's Mercy Hospital","No","No"
"1921","Oakland Heights Homes Rehab","Jackson","Kansas City","166","* 2,771,652","* 1,061,874","2409"," ","Michigan","Av","2409   Michigan Av","2013","Completed","* 14","Residential","Building","Renovation","Housing","Building","Renovation","Housing","Single Family",,,,,"* 107","rehabilitation of 107 single family and townhouse homes","Blue Hills Community Services and McCormack Baron Salazar","No","No"
"1996","Beacon Hill Student Housing","Jackson","Kansas City","162","* 2,768,754","* 1,061,858","2401",,"Troost","Av","2401  Troost Av","2014","Completed","* 30","Residential","Building","New","Housing","Building","New","Housing / Parking","Group Quarters",,,,,,"new dormitory for 245 students and 196-space parking garage","Beacon Hill Developers LLC","No","No"
"1438","Crown Center Square Makeover","Jackson","Kansas City","44","* 2,765,567","* 1,061,809","2411"," ","Grand","Av","2411   Grand Av","2006","Completed","* 7","Other Capital Improvement","Open Space","Reconfiguration","Recreation","Open Space","Reconfiguration","Recreation"," ",,,,," ","$7 million reconfiguration of open space","Crown Center Redevelopment Corp.","No","No"
"583","Attucks Elementary School","Jackson","Kansas City","166","* 2,773,735","* 1,061,806","2400"," ","Prospect","Av","2400   Prospect Av","1992","Completed","* 4","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $4 million school","Kansas City School District","No","No"
"588","23rd Street Bridge over Blue River","Jackson","Kansas City","21","* 2,789,383","* 1,061,805",," "," "," ","       ","1998","Completed","* 7","City Capital Improvement","Infrastructure","Replacement","Bridge","Infrastructure","Replacement","Bridge"," ",,,,," ","new bridge","City of Kansas City, MO","No","No"
