Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
1330,Residence Inn by Marriott - KCI,Platte,6800,NW,Tiffany Springs,Rd,2006,Completed,23,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,150,,new 150-room hotel,John Q. Hammons,No,No,"6800 Tiffany Springs Rd
Kansas City, MO
(39.257142597000495, -94.61270990299965)",203,5,3,81
1112,Operation Breakthrough Preschool,Jackson,3039, ,Troost,Av,2006,Completed,8,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 32,000 sq. ft. preschool",Operation Breakthrough,No,No,"3039 Troost Av
Kansas City, MO
(39.07159382100048, -94.57123129699966)",57,3,7,19
842,Park View Manor Single Family Homes,Platte,7660,N,Pomona,Pl,2006,Completed,41,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,177,177 single family homes built 1990 to 2006,Park View Manor Development Inc.,No,No,"7660 Pomona Pl
Kansas City, MO
(39.23649409500047, -94.67185938899968)",182,5,3,77
1276,46 Washington Townhomes,Jackson,4537, ,Washington,St,2006,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,18,18 new townhouses,MacKenzie House LLC,No,Yes,"4537 Washington St
Kansas City, MO
(39.04530994100048, -94.59221811299966)",44,4,7,50
1526,Shoal Creek Townhomes at The Preserve,Clay,8701,N,Sycamore,Av,2006,Completed,15,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,20,20 townhouses built since 2005,Shoal Creek Valley Development LLC,No,No,"8701 Sycamore Av
Kansas City, MO
(39.2513181650005, -94.48609896199969)",244,6,4,152
1006,Granada Oaks Single Family Homes,Clay,4840,N,Beacon,Av,2006,Completed,13,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,85,85 single family homes built 1990 to 2006, ,No,No,"4840 Beacon Av
Kansas City, MO
(39.18217588900046, -94.50613561899968)",172,6,4,135
1368,North Oak Townhomes,Clay,9519,N,Main,St,2006,Completed,6,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,46,46 townhomes built since 2004, ,No,No,"9519 Main St
Kansas City, MO
(39.265483703000484, -94.57978575799967)",220,5,4,82
1474,The Parking Spot,Platte,12060,NW,Prairie View,Rd,2006,Completed,25,Non-Residential,Building,New,Parking,Building / Infrastructure,New,Parking, ,,,,,,"992 covered parking spaces and 1,420 uncovered spaces",The Parking Spot,No,No,"12060 Prairie View Rd
Kansas City, MO
(39.316039042000455, -94.69223241699967)",203,5,3,133
1020,Newcastle Residential,Jackson,13121, ,Summit,St,2006,Completed,59,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,233,197 single family homes and 36 duplex units built 1990 to 2006,Price Residential Inc.,No,No,"13121 Summit St
Kansas City, MO
(38.88918020500046, -94.60315534399967)",159,1,7,129
820,Ridgefield Single Family Homes,Clay,8012,N,Flora,Av,2006,Completed,50,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,187,187 single family homes built 1990 to 2006,Peterson Companies,No,No,"8012 Flora Av
Kansas City, MO
(38.9822724280005, -94.57041589399967)",205,2,7,163
1267,Springs Aquatic Center,Platte,9400,N,Congress,Av,2006,Completed,8,City Capital Improvement,Infrastructure,New,Recreation,Infrastructure,New,Recreation, ,,,,,,new $8 million aquatic center,"City of Kansas City, MO",No,No,"9400 Congress Av
Kansas City, MO
(39.26441661300049, -94.66827648699967)",203,5,3,130
1458,Starlight Theater Backstage & Dining Improvements,Jackson,4600, ,Starlight,Rd,2006,Completed,6,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / Expansion,Entertainment, ,,,,,,"$6 million renovation of backstage area and concession stands, and addition of restaurant at Starlight Theater","City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
1205,Wind Tree Single Family Homes,Clay,1309,NW,57th,Te,2006,Completed,18,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,74,74 single family homes built since 2002, ,No,No,"1309 57th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1397,Shoal Creek Patrol Division Police Station,Clay,6801,NE,Pleasant Valley,Rd,2006,Completed,10,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 22,000 sq. ft. police station","City of Kansas City, MO",No,No,"6801 Pleasant Valley Rd
Kansas City, MO
(39.2165853730005, -94.49988053799967)",187,6,4,135
1358,Concord Fortress of Hope Church,Jackson,11050, ,West Longview,Pkwy,2006,Completed,6,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new $6 million church, ,No,No,"11050 Longview Pkwy
Kansas City, MO
(38.92291692600048, -94.48493824099967)",200,1,7,143
1354,Residences at West Paseo,Jackson,2625, ,West Paseo, ,2006,Completed,11,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,46,conversion of former hospital to 46 housing units for senior citizens,Cohen-Esrey Development LLC,No,No,"2625 Paseo
Kansas City, MO
(39.07939422400045, -94.56556120499965)",234,3,7,92
848,North Lakes Residential,Platte,6204,NW,78th,St,2006,Completed,50,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,189,131 single family homes and 58 duplex units built since 1990, ,No,No,"6204 78th St
Kansas City, MO
(39.23539851600049, -94.65095337499969)",144,5,3,66
1253,Metropolitan Condominiums Conversion,Jackson,600,E,8th,St,2006,Completed,30,Residential,Building,Style Conversion,Housing,Building,Style Conversion,Housing,Multifamily,,,,,220,conversion of 236-unit apartment building into 220 condos,Time Equities,No,Yes,"600 8th St
Kansas City, MO
(39.1048285010005, -94.59102012499966)",185,4,7,72
1308,Professional Building Conversion to Housing,Jackson,1103, ,Grand,Av,2006,Completed,21,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,132,coversion of office building to 132 apartments,Alexander Co.,No,Yes,"1103 Grand Av
Kansas City, MO
(39.100908811000465, -94.58081501099969)",5,4,7,75
1234,N. Agnes Bridge Replacement over Shoal Cr.,Clay,, , , ,2006,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement / Upgrade,Bridge / Road, ,,,,,,$3 million bridge replacement and approach realignment,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
988,Estates of North Brook Single Family,Clay,7318,N,Tullis,Av,2006,Completed,42,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,114,114 single family homes built 1990 to 2006,Hunt Midwest Real Estate Development,No,No,"7318 Tullis Av
Kansas City, MO
(39.22586165000047, -94.48581588799965)",244,6,4,122
1198,Silvertooth Fahey Farms Single Family,Jackson,9317, ,Pleasant,Av,2006,Completed,21,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,32,32 single family homes built since 1990,Ernest Wassman,No,No,"9317 Pleasant Av
Kansas City, MO
(38.95097322000049, -94.42784022499967)",8,2,7,98
817,North Hampton Single Family Homes,Clay,11010,N,Wallace,Av,2006,Completed,65,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,485,485 single family homes built 1990 to 2006,Northwest Land,No,No,"11010 Wallace Av
Kansas City, MO
(39.295607550000454, -94.4783029519997)",244,6,4,152
1083,Police Headquarters Renovation,Jackson,1125, ,Locust,St,2006,Completed,18,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$18 million renovation to police building,"City of Kansas City, MO",No,No,"1125 Locust St
Kansas City, MO
(39.10022072000049, -94.57733859099966)",5,4,7,75
1360,Quintiles Packaging Facility,Jackson,10236, ,Marion Park,Dr,2006,Completed,14,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,140000,,,new $14 million packaging building,Quintiles Transnational Corp.,No,No,"10236 Marion Park Dr
Kansas City, MO
(38.94449331600049, -94.53340546499965)",108,2,7,149
1488,Carriage Club Coach House,Jackson,5301, ,State Line, ,2006,Completed,7,Non-Residential,Building,New,Recreation,Building,New,Recreation, ,,,,,,$7 million expansion of recreation facilities,Carriage Club,No,No,"5301 State
Line Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1462,Cordoba Retail and Office Conversion,Jackson,460, ,Nichols,Rd,2006,Completed,11,Non-Residential,Building,Use Conversion,Office,Building,Use Conversion / Renovation,Office / Retail, ,44000,22000,,,,"conversion and renovation of former Saks store to 44,000 sq. ft. of office space and 22,000 sq. ft. of retail space",Highwoods Properties Inc.,No,No,"460 Nichols Rd
Kansas City, MO
(39.041316175000475, -94.59276264299967)",103,4,7,44
1406,KCI Departure Lounge Restrooms,Platte,2, ,Amsterdam,Cir,2006,Completed,5,Non-Residential,Building,Reconfiguration,Transportation,Building,Reconfiguration,Transportation, ,,,,,,reconfiguration of airport departure lounges to include 12 restrooms,"City of Kansas City, MO",No,No,"2 Amsterdam Cir
Kansas City, MO
(39.29928402200045, -94.71930302499965)",203,5,3,130
1392,Kansas City Hospice and Palliative Care Center,Jackson,12000, ,Wornall,Rd,2006,Completed,10,Non-Residential,Building,New,Medical,Building,New,Medical / Housing,Group Quarters,,,,,,"new 40,000 sq. ft. hospice",Kansas City Hospice and Palliative Care,No,No,"12000 Wornall Rd
Kansas City, MO
(38.909733263000476, -94.59382574899968)",121,1,7,129
1156,Founders at Union Hill Phase l Housing,Jackson,2929, ,McGee,St,2006,Completed,50,Residential,Building,New,Housing,Building,New / Use Conversion,Housing / Retail,Mix,,45000,,,276,"new construction and conversion of auto showroom to create 216 apartments, 30 condos, 30 townhouses, a health club, and 45,000 sq. ft. of retail space",Robert Frye,No,Yes,"2929 McGee St
Kansas City, MO
(38.886373269000444, -94.59168820099967)",159,1,7,129
1459,R.H. Johnson Headquarters,Jackson,4520, ,Madison,Av,2006,Completed,5,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,24000,,,,,"$5 million renovation of 24,000 sq. ft. office building",R.H. Johnson Co.,No,No,"4520 Madison Av
Kansas City, MO
(39.04533276100045, -94.5972854099997)",148,4,7,50
803,Valley Brook Single Family Homes,Clay,4611,NE,65th,Te,2006,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,65,65 single family homes built 1990 to 2006, ,No,No,"4611 65th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1153,Oak Pointe Townhouses,Jackson,4501,E,38th,St,2006,Completed,15,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,106,106 new townhouses,Kansas City Neighborhood Alliance,No,No,"4501 38th St
Kansas City, MO
(39.0564827930005, -94.53126168299968)",208,3,7,36
1327,St. Pius High School Expansion & Renovation II,Clay,1500,NE,42nd,Te,2006,Completed,5,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education / Entertainment, ,,,,,,$5 million new performing arts activity center and renovation of classrooms and gym,Catholic Diocese of Kansas City - St. Joseph,No,No,"1500 42nd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1477,Gary Crossley Ford Dealership,Clay,8050,N,Church,Rd,2006,Completed,5,Non-Residential,Building,New,Retail,Building,New,Retail, ,,30000,,,,new auto dealership, ,No,No,"8050 Church Rd
Kansas City, MO
(39.237698639000484, -94.46128676699965)",,,4,121
1401,Fire Station # 41,Jackson,9300, ,Hillcrest,Rd,2006,Completed,4,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $4 million fire station,"City of Kansas City, MO",No,No,"9300 Hillcrest Rd
Kansas City, MO
(38.9567556020005, -94.5209224139997)",35,2,7,98
1124,Truman Med. Cen. Lakewood Expansion,Jackson,7900, ,Lee's Summit,Rd,2006,Completed,38,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"$38 million hospital expansion, including 50-bed medical-surgical unit, 12-bed addition to emergency room, 8-bed intensive care unit, 8 outpatient surgery suites, family practice clinic and more waiting rooms",Truman Medical Center,No,No,"7900 Lee's Summit Rd
Kansas City, MO
(38.9731749770005, -94.39055501199965)",214,2,7,4
1503,Bristol Park South Single Family Homes,Clay,819,NW,110th,St,2006,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,16,16 single family homes built since 2004, ,No,No,"819 110th St
Kansas City, MO
(39.29347367000048, -94.59108739399966)",180,5,4,82
1310,The Metropolitan (Plaza) Apartments,Jackson,4417, ,Madison,Av,2006,Completed,20,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,132,new 132-unit apartment complex,MacKenzie House LLC,No,Yes,"4417 Madison Av
Kansas City, MO
(39.04766677200047, -94.59710844399967)",148,4,7,50
1337,Boulevard Brewing Expansion II,Jackson,2501, ,Southwest,Bl,2006,Completed,25,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,70000,,,"70,000 sq. ft. brewery expansion",Boulevard Brewing Co.,No,No,"2501 Bl
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1527,Kinsley Forest Townhomes,Clay,5401,N,Mercier,Av,2006,Completed,14,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,79,79 townhouses built since 2005,Pulte Homes,No,No,"5401 Mercier Av
Kansas City, MO
(39.19267896800045, -94.5970449569997)",209,5,4,154
1481,Notre Dame de Sion School Wornall Expansion,Jackson,10631, ,Wornall,Rd,2006,Completed,5,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$5 million school expansion,Notre Dame de Sion of Kansas City,No,No,"10631 Wornall Rd
Kansas City, MO
(38.93485267000045, -94.5968139149997)",51,1,7,162
1241,Wheeler Airport Runway Overlay/Safety Area,Clay,400,N,Richards,Rd,2006,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade / New,Aviation, ,,,,,,$5 million overlay of airport runway and construction of a safety area,"City of Kansas City, MO",No,No,"400 Richards Rd
Kansas City, MO
(39.121376592000445, -94.5884497139997)",241,4,4,167
488,Cleaver Family YMCA,Jackson,7000, ,Troost,Av,2006,Completed,7,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 32,000 sq. ft. sports facility and meeting rooms",YMCA of Greater Kansas City,No,No,"7000 Troost Av
Kansas City, MO
(39.0005247470005, -94.5752683719997)",114,1,7,163
1101,Residences of Kirkwood,Jackson,4901, ,Wyandotte,St,2006,Completed,85,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,115,"64 high-rise housing units, 26 mid-rise units, 17 townhouses and 8 single family homes",Kirkwood Realty LLC,No,Yes,"4901 Wyandotte St
Kansas City, MO
(39.03849871800048, -94.58939487299966)",36,4,7,44
837,Wildwood Single Family Homes,Platte,8500,N,Wayland,Av,2006,Completed,18,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,103,103 single family homes built 1990 to 2006, ,No,No,"8500 Wayland Av
Kansas City, MO
(39.24918149000047, -94.69273579199967)",203,5,3,130
1139,H & R Block Downtown Hq. & Parking,Jackson,1301, ,Main,St,2006,Completed,138,Non-Residential,Building,New,Office,Building,New,Office / Parking, ,525000,,,,,"new 525,000 sq. ft. office building and 1,250-space parking garage",H & R Block Inc.,No,No,"1301 Main St
Kansas City, MO
(39.19596004700048, -94.68314799699965)",,,3,77
1263,4646 Broadway Lofts,Jackson,4646, ,Broadway, ,2006,Completed,16,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,18,18 new condos,George Birt,No,Yes,"4646 Broadway
Kansas City, MO
(39.042916586000445, -94.59154262899966)",103,4,7,44
1576,Clay Terrace Apartments,Clay,9361,NE,79th,St,2007,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,210,210 multifamily units built since 2006, ,No,No,"9361 79th St
Kansas City, MO
(39.238306854000484, -94.68906418599965)",,,3,77
1244,Platte Purchase Park,Platte,, , , ,2007,Completed,10,Other Capital Improvement,Open Space,New,Recreation,Open Space,New,Recreation, ,,,,,,new 140-acre park,Platte County,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1418,811 Main Office Building Renovation II,Jackson,811, ,Main,St,2007,Completed,24,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$24 million renovation to office building,Tower Properties Co.,No,No,"811 Main St
Kansas City, MO
(39.19344861600047, -94.68362998399965)",,,3,77
1250,Lowry Hills Shopping Center,Clay,7200,NE,Cookingham,Dr,2007,Completed,29,Non-Residential,Building,New,Retail,Building,New,Retail, ,,235000,,,,"new 235,000 sq. ft. shopping center",Tim Harris,No,No,"7200 Cookingham Dr
Kansas City, MO
(39.30264465100049, -94.4948700869997)",244,6,4,126
1626,Truman Road Streetscape,Jackson,, , , ,2007,Completed,4,City Capital Improvement,Infrastructure,Upgrade,Streetscape,Infrastructure,Upgrade / Replacement,Streetscape / Road, ,,,,,,"$4 million project to provide new curbs, expanded sidewalks, decorative bridge guardrails and street lighting, landscaping, crosswalk safety features, and intersection modifications","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1562,Rivergate Business Center Renovation and Parking Deck,Jackson,600, ,Broadway, ,2007,Completed,6,Non-Residential,Building,Renovation,Office,Building,Renovation / Expansion,Office / Parking, ,,,,,,$4 million office building renovation and $2 million parking deck addition for 100 new spaces,Rivergate Ventures LLC,No,No,"600 Broadway
Kansas City, MO
(39.106372492000446, -94.58815598099966)",185,4,7,72
1403,Fire Station # 16 Renovation,Platte,9205,NW,112th,St,2007,Completed,3,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$3 million renovation of fire station,"City of Kansas City, MO",No,No,"9205 112th St
Kansas City, MO
(39.295851367000466, -94.68733122599969)",203,5,3,130
1461,Aladdin Hotel Renovation,Jackson,1215, ,Wyandotte,St,2007,Completed,15,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,193,,$15 million renovation to 193-room hotel,"Wright Investment Propertoes, Inc.",No,No,"1215 Wyandotte St
Kansas City, MO
(39.09948752000048, -94.5855751529997)",5,4,7,72
1533,Linden Woods Condo Conversion Improvements,Jackson,9701, ,Woodland,Av,2007,Completed,8,Residential,Building,Style Conversion,Housing,Building,Style Conversion,Housing,Mix,,,,,270,conversion of former Mews Apartments into 270 condos,Diversified Asset Management,No,No,"9701 Woodland Av
Kansas City, MO
(39.27105042800048, -94.5570853649997)",30,6,4,82
1489,Falcon Falls East Duplexes,Clay,7109,N,Wyoming,Av,2007,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,64,64 duplex units built 2005 to 2007, ,No,No,"7109 Wyoming Av
Kansas City, MO
(39.2229515570005, -94.60017655399969)",101,5,4,154
1547,Cargill Biodiesel Plant,Jackson,610,N,Olive,St,2007,Completed,45,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,150000,,,new $45 million industrial plant,Paseo Cargill Energy LLC,No,No,"610 Olive St
Kansas City, MO
(39.105990981000446, -94.55330882999965)",109,3,7,70
1475,U.S. Oncology,Platte,8700,N,Green Hills,Rd,2007,Completed,5,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,new $5 million medical building,U.S. Oncology,No,No,"8700 Green Hills Rd
Kansas City, MO
(39.25268023600046, -94.63110622499966)",14,5,3,81
1577,Carrington Place Apartments at Shoal Creek,Clay,8731,N,Ditzler,Av,2007,Completed,14,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,270,270 multifamily units built since 2006, ,No,No,"8731 Ditzler Av
Kansas City, MO
(39.25098333200049, -94.46800478799969)",244,6,4,152
1485,Midwest Mechanical Contractors Building,Jackson,13800, ,Wyandotte,St,2007,Completed,3,Non-Residential,Building,New,Office,Building,New,Office, ,30000,,,,,"new 30,000 sq. ft. office building",Midwest Mechanical Contractors,No,No,"13800 Wyandotte St
Kansas City, MO
(38.87719398000047, -94.59860602599969)",159,1,7,129
1236,Truman Rd. Bridge Rehab over Blue River,Jackson,, , , ,2007,Completed,18,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation / Upgrade,Bridge, ,,,,,,$7 million rehabilitation and roadway widening of bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1596,Corporate Express Warehouse,Jackson,1400,N,Cambridge,Av,2007,Completed,8,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,250000,,,"new 250,000 sq. ft. warehouse",CB Richard Ellis,No,No,"1400 Cambridge Av
Kansas City, MO
(39.13367076300045, -94.50090645099965)",53,4,7,144
521,Bannister Plaza Retail,Jackson,649,E,Bannister,Rd,2007,Completed,37,Non-Residential,Building,New,Retail,Building,New / Expansion,Retail, ,,248000,,,,"75,000 sq. ft. expansion of printing shop and 173,000 sq. ft. of new retail space",Sam Carter,No,No,"649 Bannister Rd
Kansas City, MO
(38.95547279200048, -94.58288180499966)",162,1,7,163
1447,Children's Spot Therapy Center,Jackson,4325, ,Pennsylvania,Av,2007,Completed,3,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,new $3 million therapy center for children,St. Luke’s Hospital,No,No,"4325 Pennsylvania Av
Kansas City, MO
(39.04855909300045, -94.59318498399966)",44,4,7,50
769,Renaissance North Residential and Retail,Clay,8001,N,Agnes,Av,2007,Completed,66,Residential,Building,New,Housing,Building,New,Housing / Retail,Mix,126000,135000,,,207,"new development with 171 townhouses, 28 single family homes, 8 duplexes, 135,000 sq. ft. of retail space, and 126,000 sq. ft. of office space",Kurt Degenhardt and Stephen Block,No,No,"8001 Agnes Av
Kansas City, MO
(38.98140898800045, -94.55300791399969)",93,2,7,151
1623,Shoal Creek Valley Water Park,Clay,9001,NE,79th,Te,2007,Completed,4,Other Capital Improvement,Infrastructure,New,Recreation,Infrastructure / Building,New,Recreation, ,,,,,,"new 9-acre water park, clubhouse and barbeque area",Shoal Creek Valley Development LLC,No,No,"9001 79th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1178,Estates of Bristol Park Single Family Homes,Clay,1101,NW,108th,Ct,2007,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,27,275 single family homes built since 2002,David K. Miller,No,No,"1101 108th Ct
Kansas City, MO
(39.29021299100049, -94.5918904239997)",180,5,4,82
839,Wildwood West Single Family Homes,Platte,10305,NW,86th,St,2007,Completed,64,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,403,403 single family homes built since 1990,Wildwood West Inc.,No,No,"10305 86th St
Kansas City, MO
(39.25032326100046, -94.70033733299965)",203,5,3,130
1001,Tremont Manor Single Family Homes,Platte,5934,N,Chatham,Av,2007,Completed,58,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,116,116 single family homes built since 1990,Tremont Manor Development,No,No,"5934 Chatham Av
Kansas City, MO
(39.20335668400048, -94.64492591599969)",246,5,3,66
1269,Proctor and Gamble Distribution Center,Jackson,6900, ,Stillwell,Av,2007,Completed,3,Non-Residential,Building,Renovation,Distribution,Building,Renovation,Distribution, ,,,361000,,,"renovation of 361,000 sq. ft. distribution building",Proctor and Gamble,No,No,"6900 Stillwell Av
Kansas City, MO
(39.143977496000446, -94.50371942299967)",53,4,7,144
1483,Life Church,Jackson,10400, ,View High,Dr,2007,Completed,7,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new $7 million church, ,No,No,"10400 View High Dr
Kansas City, MO
(38.93734640100047, -94.44766200799967)",,,7,9
1375,Estates at Barrington Woods Single Family Homes,Clay,9801,N,Evanston,Av,2007,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,46,46 single family homes built since 2004,McBride and Son Homes KC LLC,No,No,"9801 Evanston Av
Kansas City, MO
(39.27068918300046, -94.45861829099965)",244,6,4,152
1575,Weber North American Headquarters,Platte,10701,N,Ambassador,Dr,2007,Completed,5,Non-Residential,Building,New,Distribution,Building,New,Distribution / Office, ,15000,,70000,,,new $5 million distribution and office facility,"Weber, Inc.",No,No,"10701 Ambassador Dr
Kansas City, MO
(39.28690019700048, -94.67674507799967)",203,5,3,130
1268,Research Medical Center Improvements,Jackson,2316,E,Meyer,Bl,2007,Completed,92,Non-Residential,Building,Renovation,Medical,Building,Renovation / Expansion,Medical, ,,,,,,"$92 million for upgrade and expansion of emergency department and oncology center, new outpatient imaging center, moving of nursing school and registration area, and renovation of patient rooms, nurse stations, treatment areas and lobby","HCA, Inc.",No,No,"2316 Meyer
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1322,Blue Ridge Mall Redevelopment,Jackson,4200, ,Blue Ridge,Bl,2007,Completed,90,Non-Residential,Building,New,Retail,Building,New,Retail, ,,580000,,,,"redevelopment of a former shopping mall into a 580,000 sq. ft. of retail space, consisting of a Wal-Mart, big boxes and other retail stores",MBS Investor-98 LLC,No,No,"4200 Blue Ridge
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1189,Kingswood Manor Duplexes,Jackson,737,W,100th,St,2007,Completed,5,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,14,14 duplex units built since 2002, ,No,No,"737 100th St
Kansas City, MO
(38.947757021000484, -94.60010994499964)",210,1,7,162
1484,Kansas City Central SDA Church,Jackson,14651, ,Peterson,Rd,2007,Completed,3,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new $3 million church, ,No,No,"14651 Peterson Rd
Kansas City, MO
(38.85664802800045, -94.46348503099966)",161,1,7,48
950,31st St. Bridge at Wyandotte Replacement,Jackson,, , , ,2007,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
945,Barry Rd. Widening - I-29 to Westside Dr.,Platte,, , , ,2007,Completed,23,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$22 million road widening,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
594,Garment District Loft Conversions,Jackson,318,W,7th,St,2007,Completed,120,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,772,ongoing building renovation and conversion to housing: 772 dwelling units created since 1990,many,No,Yes - Separated,"318 7th St
Kansas City, MO
(39.10568790400049, -94.58706987699969)",5,4,7,72
1123,The Liberty (Dakota Lofts),Jackson,360,W,Pershing,Rd,2007,Completed,9,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,44,conversion of former armed forces examining center to 44 residential loft condos,Ben Bryan,No,Yes,"360 Pershing Rd
Kansas City, MO
(39.08340496900047, -94.5882010309997)",97,4,7,92
1535,Shoal Creek Patrol Division Road Impvts.,Clay,, , , ,2007,Completed,3,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$3 million in upgrades to roads near police station,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1555,Avila University Residence Hall,Jackson,11901, ,Wornall,Rd,2007,Completed,4,Residential,Building,Expansion,Housing,Building,Expansion,Housing,Group Quarters,,,,,,new $4 million college residence hall,Catholic Diocese of Kansas City - St. Joseph,No,No,"11901 Wornall Rd
Kansas City, MO
(38.912320973000476, -94.59356035499968)",136,1,7,162
