"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Historical Monuments and Memorials","Statue Of Liberty","Meyer Blvd and Prospect Ave, Kansas City, MO 64132","F.A. Bertholdi",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1950","Outside",,,"39.0074157 -94.5564167",,,
"Public Art","The Spirit","W. 47th Street and JC Nichols Pkwy, Kansas City, MO 64112","Rita Blitt",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stainless Steel","1991","Outside","M-Sun 5am-12am",,"39.0421455 -94.5880325",,,"POINT (-94.58803 39.042146)"
"Theater","Boone Theater","1701 E. 18th Street, Kansas City, MO 64108",,"H. Alexander Drake","Kansas City Parks & Recreation Department",,,,,,"UNDER RENOVATION","39.090895 -94.561964",,,"POINT (-94.562011 39.091158)"
"Historical Monuments and Memorials","Andrew Drips Monument","Jarboe Street and W. 16th Terrace, Kansas City, MO 64108","Unknown",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone","1951","Outside","24/7",,"39.0945416 -94.5965624",,,"POINT (-94.596557 39.094555)"
"Public Art","Formidable","Kansas City Police Department Headquarters, 1125 Locust Street, Kansas City, MO 64106","Rob Ley",,"Municipal Art Commission","Kansas City Police Department","Aluminum and Steel","2014","Inside","24/7",,"39.0998964 -94.577063",,"Formidable is an aluminum and steel sculpture that hangs in a two-story space connecting the older headquarters (built in 1938) with the 2014 construction that added new offices, workspaces, electrical facilities and a spacious boardroom/community room. Rob Ley's graceful sculpture is made of hundreds of gold and silver tubes that hang as one, reminding people of the passage between old and new and the connection between all members of the community. The flow of the work lends an open and welcoming feeling to the area used by the public and the police department.",
"Fountains","Harry Evans Minty Memorial Fountain","Kansas City Zoo within Great Cat Walk Exhibit, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Wheeler Williams, artist; Duane Carpenter, designer; Roman Bronze Works, founder",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze and Concrete","1965","Inside","Check for seasonal hours","Entry fee required","39.0075608 -94.5296046","https://www.kcfountains.com/single-post/2016/08/07/Harry-Evans-Minty-Memorial-Fountain","Located at the Kansas City Zoo, this working drinking fountain is decicated to Harry Evans Minty, who was a respected member of the Park Board in the 1940s.  The fountain features the bronze likeness of a lion cub.  The lion cub's likeness was based on ""Tyke"", one of Mr. Minty's favorites at the Zoo.

The sculpture and fountain were originally located near the African Veldt section of the zoo but is now situated on the Tiger Trail near the Red Panda exhibit.",
"Public Art","Air Play","West Terrace Park, 611 W 8th Street, Kansas City, MO 64105","Stacey Sharpe",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Steel","2018","Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Public Art","A Man with the Certainty of a Tree and the Flair of a Fish: Tony Aguirre","Tony Aguirre Community Center, 2050 W. Pennway Street, Kansas City, MO 64108","Concetta Morales",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Mosaic","2001","Outside","24/7",,"39.0880962 -94.5950576",,"Concetta Morales designed the art for the Tony Aguirre Community Center based on Tony Aguirre's commitment and dedication to the people of the Westside. A Man with the Certainty of a Tree and Flair of a FISH: Tony Aguirre, the artwork consists of mosaic panels set into the concrete exterior of the building. Each contains images from Aguirre's time as coach and athletic direstor at the Guadalupe Center, as well as from his various other roles in the Westside community. One depiction of a large fish represents Aguirre's nickname and the character traits he encouraged in young people (FISH stands for Friendship, Intelligence, Scholarship, and Honor).",
"Historical Monuments and Memorials","The Wagon Master","Ward Pkwy and Broadway Street, Kansas City, MO 64112","L.E. ""Gus"" Shafer",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1973","Outside",,,"39.0405128 -94.5916199",,"The Wagonmaster is a  larger-than-life size figure of a man attired in western clothing. He is sitting on a horse with a gun placed across the saddle. The man is  pointing in a westerly direction. The sculpture sits on a very large limestone rock. There is a crack in the right rear hoof of the horse.  The artist used his own face as a model. At the base of the statue are button activated recordings that tell the story of the Wagon Master and the Battle of Westport. Inscription: God slumbers in the rock He breathes in the plant He dreams in the animal He awakens in man – An Indian Proverb.","POINT (-94.591691 39.040497)"
"Fountains","Martha and Jack Steadman Fountain","Starlight Theatre, 4600 Starlight Road, Kansas City, MO, 64132",,"Mackey, Mitchell, and Zahner","Kansas City Parks & Recreation Department","City of Fountains Foundation","Bricks","1997","Outside","Check for seasonal hours","Entry fee may be required","39.0071355 -94.5334149","https://www.kcfountains.com/single-post/2016/09/07/Martha-and-Jack-Steadman-Fountain","Near the west entrance of Starlight Theatre sits this fountain backed by a beautifully landscaped terrace.  It was donated to the theatre in honor of long-time Starlight supporters Martha and Jack Steadman.  

 Jack is a former president of the Kansas City Chiefs and he also served as president of the Starlight Board of Directors in 1984-85, led the theatre's first-ever capital campaign with Anita Gorman in the 1980s, led a second capital campaign that resulted in the construction of the new stage in 2000, received Starlight's first and only Lifetime Achievement Award in 2011, and remained a Starlight Board member until his passing in July 2015.",
"Fountains","The Vision Fountain","E. 5th and Grand Blvd, Kansas City, MO 64106","Jim Brothers",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze","1991","Outside","24/7","Steamboat Arabia Museum","39.1088029 -94.5804291","https://www.kcfountains.com/single-post/2016/07/06/Vision","This fountain can be found in front of the Arabia Steamboat Museum in the River Market area, north of downtown Kansas City, Missouri.  The sculpture is called “The Vision” by artist Jim Brothers which features a boy sharing his vision of the future with his dog.  It is a memorial to local businessman Cliff C. Jones, Jr. for his work in the development of the River Market area.",
"Historical Monuments and Memorials","Walk of Honor","2 Memorial Drive, Kansas City, MO 64108","Stephan N. Abend",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bricks",,"Outside","Check for seasonal hours",,"39.0808521 -94.5858203",,,"POINT (-94.585189 39.077638)"
"Historical Monuments and Memorials","Corps Of Discovery","West Terrace Park, 611 W 8th Street, Kansas City, MO 64105","Eugene Daub",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","2000","Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Fountains","Meyer Circle Sea Horse Fountain","E Meyer Blvd and Ward Parkway, Kansas City, MO 64113",,"Edward Buehler Delk","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","1925","Outside","24/7",,"39.0128374 -94.602331","https://www.kcfountains.com/single-post/2016/08/29/Meyer-Circle-Sea-Horse-Fountain","Purchased by J. C. Nichols in Venice, Italy in the early 1920s - the sculpture dates back to the 1700s - the fountain is named for the three mythological sea horses perched atop the stone pyramid.  The horses support a fluted saucer which has a carved lion's head which spouts water as the saucer fills.  The middle tier has three cherubs holding an identical smaller saucer.  On top of that saucer is a sculpture of another cherub holding a fish with water coming out of the fish's mouth.  The original statue had a child riding a dolphin but vandalism forced the Park Board to change to the saucer top in 1960.  The Sculpture is atop a stone base approx. 30′ high. The entire fountain and statuary was refurbished in 1992.

In 2015, this fountain was taken out of service when continual flooding into the vault containing its pump and electrical equipment rendered it inoperable.  Funds for the million-dollar renovations were raised in part by the City of Fountains Foundation and a neighborhood alliance headed by David Fowler. The fountain was repaired and now boasts a new vault, new plumbing, new lighting, and a repaired basin.

The fountain was re-dedicated on October 25, 2017.  The Meyer Circle Sea Horse Fountain is one of Kansas City's most popular and most visible fountains. Located in the traffic circle at Ward Parkway and Meyer Boulevard, nearly 40,000 vehicles pass by the fountain every day.  It is a treasured part of the Ward Parkway corridor and it is good to have it running again.",
"Fountains","Ward Parkway Mirror Pool","Ward Pkwy and W. 62nd, Kansas City, MO 64113",,"Edward Buehler Delk","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1924","Outside","24/7",,"39.0154546 -94.601882","https://www.kcfountains.com/single-post/2016/08/26/Ward-Parkway-Mirror-Pool-Fountain","Taking up almost the entire median block between W 61st Terrace and W 62nd Street along Ward Parkway, the Mirror Pool Fountain was constructed in 1924 as part of a beautification effort along Ward Parkway.  It was originally a reflecting pool but was also used at times for miniature boating and ice skating.

 

The Mirror Pool was renovated in 1965 at which time 3 sets of spray rings were added to the pool.  The middle ring produces higher jets of water giving the Mirror Pool symmetry.

 
At the north end of the Mirror Pool sits the commemorative plaque for when Ward Parkway was designated a Great Street by the American Planning Association through Great Places in America in 2012.",
"Historical Monuments and Memorials","Mjr. Murray Davis Memorial","Main Street and E. 40th Street, Kansas City, MO 64111","Wight and Wight",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Marble and Granite","1928","Outside","24/7",,"39.0541749 -94.5862542",,,"POINT (-94.586244 39.054162)"
"Public Art","Quenching Cup, Offering Hat and Illuminating Boat","Kansas City Health Department, 2400 Troost Ave, Kansas City, MO 64108","Buster Simpson",,"Municipal Art Commission","Kansas City Health Department","Steel and Mixed Media","1997","Inside","M-F 8am - 5pm, Sat-Sun Closed",,"39.0832995 -94.5713145",,"Emphasizing the healing properties of water, light and plant life, Buster Simpson's stylized origami-like folded vessels blend art and the environment. Water spills from Quenching Cup into a pool outside, while the suspended Illuminating Boat reflects light in the atrium. Offering Hat provides plants in reference to nature's role in healing. Abstract figures resembling fingers hold each piece, adding human touch to the composition. Simpson's art reflects a social consciousness, believing we shouldd ""act in concert with the planet.""",
"Public Art","Strange Strange Sam","Kansas City Zoo, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Andy Dufford",,"Municipal Art Commission","Kansas City Zoo","Rubberized Play Surface, Carved and Polished Stone","2008","Outside","Check for seasonal hours",,"39.0075608 -94.5296046",,"The Zoo's entry plaza is designed as a transitional area where parents can sit and kids can play while waiting to enter or leave the zoo. The selection panel was impressed by Dufford's use of carved stone and his interst in working with zoo's education department to create hangs-on artwork which could be used for play and imagining. The artwork includes Strange Strange Sam, a poem by the artist. The poem is embedded in several numbered medallions surrounding the artwork, leading the children the children through an investigation of this imaginary creature who thrives on land, in the water, and in the air.",
"Public Art","The River","Police Academy/Shoal Creek Patrol Station, 6885 N.E. Pleasant Valley Road, Kansas City, MO 64119","Wopo Holup",,"Municipal Art Commission","Kansas City Police Department","Stainless Steel, Bronze, and Limestone","2007","Outside","24/7",,"39.2150245 -94.4985299",,"Coursing through the interior of the Shoal Creek Police Station, and across the greenspace and parking area of the nearby Kansas City Police Academy is a stylize bronze and stainless steel representation of the Missouri River as it winds from Kansas City to St. Louis. On nearby benches and atop limestone pillars set along the river are larger-than-life bronze and limestone eagles, keeping figurative watch over the teritory. The strong, stately birds attest to the power and durability of the natural surroundings, and represent out national emblem which also appears on the badges of the Kansas City Police Department.",
"Museums","Union Cemetery","227 E. 28th Terrace, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Union Cemetery Historical Society",,,,"M-F, 8am-3pm, Sat-Sun 8am-dusk",,"39.0754502 -94.5815568","http://www.uchskc.org/home","The Union Cemetery sits on 27 acres of land, minutes from Crown Center and downtown. Download Walking Tour Map of Union Cemetery. It is listed on the National Register of Historic Places.","POINT (-94.582957 39.075206)"
"Historical Monuments and Memorials","Salvatore Grisafe Memorial","Kansas City Zoo, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Jac T. Bowen",,"Kansas City Parks & Recreation Department","Kansas City Zoo","Steel and Concrete","1968",,,,"39.0075608 -94.5296046",,,
"Fountains","Delbert J. Haff Circle Fountain","Meyer Blvd and Swope Parkway, Kansas City, MO 64132","William Ayers and J. Klos WPA Project",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1940","Outside","24/7",,"39.0075346 -94.5423022","https://www.kcfountains.com/single-post/2016/09/10/Delbert-J-Haff-Circle-Fountain","In the 1890s, Delbert J. Haff became an essential influence in the direction that the Kansas City Parks and Recreation Board has evolved into today.  In 1937, a circle just west of Swope Park was designed and dedicated to this important figure in Kansas City history.  The circle and fountain welcomes visitors to the west entrance of Swope Park and pays tribute to one of Kansas City's most influential proponents of the local parks system.

The sculptor, Jorgen Dreyer, was commissioned to design a bust of Delbert Haff in 1916 but when completed it was placed into storage.  In 1937, Delbert J. Haff Circle was designed by Wilbur H. Dunn with construction being overseen by J. V. Lewis.  A mirror pool was added in 1939.  The landscaped circle and mirror pool were officially dedicated in 1940.  The fountain elements were added in 1966.  Finally in 1967, the bust of Delbert J. Haff was taken out of storage and placed upon a granite base at the west end of the circle. 

The bronze bust looks out over the mirror pool and fountains and towards Swope Park and sits 15 feet west of the west end of the pool.  The granite base is 52 inches tall and the bust is shielded on top and on the sides by a granite canopy which tops out at 94 inches high.  Haff Circle is 600 feet long.  The pool is 160 feet long by 60 feet wide.  The area is landscaped with flowers with benches.  The pool has a low retaining wall of coursed stone.  The fountains consists of a center spray ring and seven vertical jets that operate year round.  The Delbert J. Haff Circle Fountain is one of three KCMO Parks and Recreation Department fountains that remain on year round.

The Delbert J. Haff Circle Fountain was taken out of operation in 2018.  In summer of 2018, the fountain was closed to begin repairs and renovations.",
"Historical Monuments and Memorials","Married Love, Churchill Monument","Plaza Southwest Corner of Ward Parkway and Wornall","Oscar Nemon",,"City Trust",,,"1982","Outside",,,"39.0417613 -94.5916284",,"The seated figures of Lady Churchill and Sir Winston Churchill reside on a bronze garden-type bench. She, Lady Churchill, sits to his right facing  him. He, on her  left, looks forward with ""whatever it is she is saying to him."" These are bulky ""larger than life"" sculptures. The courtyard contains  two flagpoles, two park benches with ornate bronze arm rests. A non-working recording box sits behind the sculpture. Its intent is to emit to the viewer the sound of Sir Winston's voice, giving a speech. The courtyard is surrounded by elevated flower boxes with pine trees behind. A British flag and an American flag are a part of the overall setting. This statue depicting British Prime Minister Winston Churchill and his wife, Clementine seated on a bench, was created for this location.  Nemon, who knew Churchill for 30 years, had created a smaller version of the statue for Blenheim Palace, where Churchill was born and married.",
"Museums","Japanese Tea Room and Garden","Loose Park 5200 Penn. Ave, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,,"Available apon request",,"39.031411 -94.5944738","https://kcparks.org/places/japanese-tea-room/",,
"Fountains","Barney Allis Plaza Fountain","205 W 12th Street, Kansas City, MO 64106",,"California landscape architectural firm of SWA and local architects Marshall & Brown","Convention and Facilities Department","Convention and Facilities Department",,"1985","Outside","24/7",,"39.1000097 -94.5857262","https://www.kcfountains.com/single-post/2016/07/16/Barney-Allis-Plaza-Fountain","Located In Barney Allis Park near the Bartle Hall Convention Center in downtown Kansas City, this fountain runs nearly a block long. Computer-assisted cycling action varies both the colors and height of the water columns formed by the 112 geyser jets that propel water several feet high onto a series of granite steps. The park, dedicated in 1956, was redesigned in 1985 with the addition of sidewalks and this huge fountain. Located on the north side of the Park on 12th Street, it is a memorial to Barney Allis, well-known citizen and manager of the historic Muehlbach Hotel.","POINT (-94.585868 39.100031)"
"Public Art","Seven Sentinels","City of Kansas City Mo., Vehicle Impound Facility, 7750 E. Front Street, Kansas City, MO 64120","Matthew Dehaemers",,"Municipal Art Commission",,"Specially Fabricated Parking Gates","2008","Outside","24/7",,"39.1299586 -94.4896115",,"""Life is full of challenges. Some are self-induced and some are thrust upon us. Regardless, after we face them, it's nice to get a pat on the shoulder to help us move on,"" Dehaemers said during one planning meeting. ""When people experience Seven Sentinel, I hope they smile. At least they'll have a chance to gain some closure and move forward."" Seven Sentinels is made of automatic parking gates modified into seven, 16-foot-tall sculpturess standing equidistant inside the traffic island that separate traffic impound facility. Each gate rises as cars leave the facility, presenting a synchronized display akin to a salute. after the car passes all the gates, they return to their level state in a similarly staggered wave pattern. They gates represent clousure and moving forward. Dehaemers' goal was to make smile, even if they are not happy.",
"Historical Monuments and Memorials","The Scout","Penn Drive, Kansas City, MO 64108","Cyrus E. Dallin",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1922","Outside","M-Sun 5am-12am",,"39.0752684 -94.5915463",,,
"Fountains","Liberty Memorial Fountain, South","2 Memorial Drive, Kansas City, MO 64108",,"ASAI Architects","Kansas City Parks & Recreation Department","City of Fountains Foundation","Black Granite and Indiana Limestone","2002","Outside",,,"39.0808521 -94.5858203","https://www.kcfountains.com/single-post/2016/08/12/South-Entry-Fountain","On the south side of the Liberty Memorial, in front of the entrance to the National World War I Museum sits this fountain.  It is constructed of black granite and Indiana limestone.  The fountain consists of three tiers reflecting the oval form of the lower basin.  Water gently cascades over the top tier and down the lower two tiers.  The lower two tiers have cut channels in them which directs the water into the lower basin.  The lower basin then acts as a reflecting pool. 

The entire Liberty Memorial complex was constructed between 1923 and 1938.  The site was renovated in the early 2000s and was reopened to the public in 2002.  The South Entry Fountain was constructed during this renovation period.","POINT (-94.585189 39.077638)"
"Historical Monuments and Memorials","French Traders Memorial Plaques","West Terrace Park, 611 W 8th Street, Kansas City, MO 64105",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Plaque",,"Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Historical Monuments and Memorials","Black Veterans Memorial","12th Street and Paseo Eastbound, Kansas City, MO 64106","Jocelyn Ball-Edson",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Polished Granite","2010","Outside","24/7",,"39.099225 -94.57804",,,
"Public Art","Bonfire and Meridian","Kansas City Zoo, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Deborah Butterfield",,"Municipal Art Commission","Kansas City Zoo","Bronze","1995","Inside","Check for seasonal hours","Entry fee required","39.0075608 -94.5296046",,"At first glance, Bonfire (reclining) and Meridian (standing) appear to be branchesm vines, and pieces of scrap wood, but they are actually cast bronze. The horses give observers feelings of calm and wonder, and even a sense of pathos. Butterfield's profound understanding of horses and her love for them is apparent, allowing an easy appreciation for the work that is found at the Kansas City Zoo",
"Public Art","Neo-Millennic Lights","2050 W. Pennway Terrace, Kansas City, MO 64108","Christian Mann",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside",,,"39.0889702 -94.5961581",,,"POINT (-94.595895 39.089179)"
"Historical Monuments and Memorials","James Pendergast Memorial","West Terrace Park, 611 W 8th Street, Kansas City, MO 64105","Frederick C. Hibbard",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1913","Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Fountains","Independence Plaza Fountain","Park Ave E. and Independence Ave, Kansas City, MO 64124",,,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Concrete","1996","Outside","M-Sun 5am-12am",,"39.1064337 -94.5544358","https://www.kcfountains.com/single-post/2016/09/08/Independence-Plaza-Park-Fountains","Independence Plaza Park is a unique park in that a major street, Independence Avenue, runs through it splitting into two smaller parks.  The park on the north features play area for kids and open space.  The park on the south is where the fountains are located.

There are two identical fountains in the south park.  Each fountain has three tiers with ornate saucers of increasing size going downward.  The fountains are circled by bricks with sidewalks criss-crossing through the park.  The park is laid out symmetrically.",
"Fountains","Bernard Powell Memorial Fountain","Spring Valley Park Rd, Kansas City, MO 64109","Eugene ""Bud"" Bortner",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze and Granite","Fountain and plaza dedicated August 15, 1988, Sculpture installed 1991","Outside","24/7",,"39.0745769 -94.5584014","https://www.kcfountains.com/single-post/2016/09/04/Bernard-Powell-Memorial-Fountain","The Bernard Powell Memorial Fountain and Plaza is located on the east side of Spring Valley Park at the intersection of Brooklyn Avenue and E 28th Street and across the street from Powell's childhood home at 2801 Brooklyn Avenue.

Bernard Powell was a Kansas City native and social activist.  He co-founded the Social Action Committee of 20 aimed at teaching leadership and job skills to African-American youth.  He was also a proponent of neighborhood beautification with the theme of ""Ghetto or Goldmine - The Choice of Yours.""  He was fatally shot in 1979 at the East Side Social Club.  After his death, the Social Action Committee of 20 worked tirelessly for many years to raise $170,000 for a fountain in his memory.  The fountain and plaza were installed in 1985 and officially dedicated in 1988.  The lifesize bronze likeness of Powell was installed in 1991.  Behind the fountain, a time capsule is buried.  It is set to be opened in 2041.  Numerous plaques surround the plaza.  Two tell about Powell while the others list contributors to the memorial.

The fountain is a hexagonal pyramid topped by the statue of Powell.  Water bubbles up under the base of the statue and cascades down the sides of the 5-foot tall pyramid into the catch basin.  The statue is life-sized, approximately 5-foot-8, and looks across the street at his childhood home.  He is wearing a sport jacket and slacks with his arms crossed over his chest.  On the left lapel is a 2-inch circular button and there is a 1-inch square button on the right lapel.  He has an earring in his left ear and is wearing a beret.",
"Historical Monuments and Memorials","American Eaglet Bi-plan","Airline History Museum - Wheeler Airport",,,"City Trust","National Airline History Museum",,,"Outside",,,"39.118695 -94.600403",,,
"Public Art","Double Monopole","Kansas City International Airport, Kansas City, MO 64153","Keith Sonnier",,"Municipal Art Commission","Aviation","Steel, Neon, and Water","2006","Outside","24/7","Best seen at night","39.2991181 -94.7107786",,"Keith Sonnier was inspired to create an environmentally friendly beacon for travelers, whether on land or in the air. The sculpture uses low wattage neon lights and two sustainable 30 foot water falls. The reservoir collects run-off from the airport's roads and runways, allowing the cycling and recycling of water.",
"Public Art","Prairie Logic","12th Street and Walnut Street, Kansas City, MO 64106","Janet Sweig and el dorado",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Prairie grass, Landscaping, and a Modified box car","2012","Outside","Check for hours and events",,"39.0999136 -94.5820808",,"The sculpture is a perforated, semi-transparent boxcar and the landscaping consists of native prairie grass that covers the green roof area of the park. The boxcar sits on rails that trail off into the prairie a few feet on either side. From the artist's proposal: ""Conceptually, the piece is about our contemporary condition of longing-the longing to be someplace else, both spatially and temporally. We have nostalgia for an imaginary past, and sometimes we long to leave home. Urbanites long to be in the suburbs; suburbanites long to be in the city. Urbanites and suburbanites long to be in the wild; people in tall office buildings may wish they were outdoors. People without jobs might be wondering what it would be like to work in one of the tall buildings that surround the roof. We hope the artwork can form a reality that is strikingly different than the city or the suburbs, a stange escape from both time and place."" Prairie Logic is primarily intended to be a place of contemplation and reflection as viewed from adjacent buildings and as experienced on stage. The site includes a small gravel-paved area adjacent to the sculpture where a small audience for art or educational events can gather.",
"Historical Monuments and Memorials","The Hiker","W. 28th Street, Kansas City, MO 64108","Theo Alice Ruggles Kitson",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1947","Outside","M-Sun 5am-12am",,"39.0772831 -94.6014354",,,
"Fountains","49/63 Neighborhood Fountain","Paseo Blvd and Lydia Ave at E. 58th Street, Kansas City, MO 64110","Will Nettleship",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bricks","1997","Outside","24/7",,"39.0216019 -94.5694811","https://www.kcfountains.com/single-post/2016/07/25/4963-NEIGHBORHOOD-FOUNTAIN","Designed by artist Will Nettleship, this fountain is found in a green space at the intersection of E 58th and Lydia and bordered on the east by The Paseo.  It is in the 49-63 Neighborhood Coalition which encompasses many neighborhoods between 49th Street and 63rd Street.

The fountain is made of brick and concrete.  The water comes out at the top of the brick area and flows down to a drain.  Some bricks are raised causing the water to follow a predetermined course to the drain.  The concrete outcropping with brick lines is a theme of the green area as there are three others in the park of same design.","POINT (-94.569402 39.020147)"
"Museums","Black Archives of Mid-America","1722 E. 17th Terr., Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Black Archives of Mid-America",,,,"W-Sat, 10am-5pm","To request a tour please contact Glenn North, 816-221-1640","39.0923324 -94.5611934","http://www.blackarchives.org/","The mission of the Black Archives of Mid-America in Kansas City, Inc. is to collect, preserve and make available to the public materials documenting the social, economic, political and cultural histories of persons of African American descent in the central United States, with particular emphasis in the Kansas City, Missouri region. Black Archives of Mid-America is an educational resource and provides access to its collections for research, exhibition and publication to honor our community heritage and to catalyze public awareness.","POINT (-94.50856 39.088876)"
"Historical Monuments and Memorials","Amry Mothers Founders Post Memorial","2 Memorial Drive, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Trees and Plaques",,"Inside the Gate",,,"39.0808521 -94.5858203",,,"POINT (-94.585189 39.077638)"
"Historical Monuments and Memorials","Navy Mothers Club – Heart Of America Memorial","Memorial Drive, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Inside",,"Inside the gates","39.0770258 -94.5860912",,,
"Fountains","Shoal Creek Golf Course Entry Fountain","8905 Shoal Creek Pkwy, Kansas City, MO 64157","Dennis McMan",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Trees, Flowers, and Limestone","2002","Outside","Check for seasonal hours",,"39.2554595 -94.4862696","https://www.kcfountains.com/single-post/2016/09/08/Shoal-Creek-Golf-Course-Entry-Fountain","In the median of Shoal Creek Parkway at the entrance to the Shoal Creek Golf Course sits this little waterfall fountain.  Lots of landscaping with trees, flowers and limestone blocks surround a small pool with multiple small waterfalls feeding it.",
"Public Art","Urban Palisade","Central Police Patrol Station, 1200 Linwood Blvd, Kansas City, MO","Jay Markel",,"Municipal Art Commission","Kansas City Police Department","Bronze, Steel, and Stone","1994","Outside","24/7",,"39.0690078 -94.5696631",,"Jay Markel's Urban Palisade is situated in front of Kansas City Police Department's Central Patrol Division station. The sculpture is a representation of a mountain range, with intersecting metal bars forming the earth's crust. Secure inside the symbolic mountain is a sizeable piece of stone. The bronze latticework and the internal stone add color and texture to the severe architecture of the building behind it.",
"Historical Monuments and Memorials","August R. Meyer Memorial","Mary Lou Williams Lane and Dr. Martin Luther King Jr Blvd, Kansas City, MO 64106","Daniel Chester French",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone and Bronze","1909","Outside","24/7",,"39.1016982 -94.5634406",,,
"Public Art","Large Interior Form","Emanuel Cleaver II Blvd and Rockhill Road, Kansas City, MO 64110","Henry Moore",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1981","Outside",,,"39.0419372 -94.5785484",,,"POINT (-94.578517 39.041872)"
"Historical Monuments and Memorials","Westport Memorial Marker","Broadway Blvd and W. 40th Street, Kansas City, MO 64111","Robert Merrell Gage",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1920","Outside","24/7",,"39.054333 -94.5909071",,,"POINT (-94.590885 39.054652)"
"Fountains","Henry Wollman Bloch Memorial Fountain","W. Pershing Road and Main Street, Kansas City, MO 64108",,"Wet Design and BNIM","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"2001","Outside","24/7",,"39.0841112 -94.5841014","https://kcparks.org/places/bloch-henry-wollman-fountain-2/","This gift to the city in the name of the co-founder of H&R Block, Inc is located at Pershing & Main Streets between Union Station and the Liberty Memorial. It features 232 jets arranged in three concentric rings within an ellipse of black granite. A thin sheen of water on the flat granite creates a mirror to reflect the monumental architecture on either side. A computer choreographs an ever-changing pattern of display. On each hour and half-hour, a five-minute “high show” presents a celebration of water in movement. The fountain was designed by WET Design, the designers of the Bellagio fountains in Las Vegas.","POINT (-94.584123 39.083948)"
"Public Art","Triple Blome","Swope Soccer Village, 6310 Lewis Road, Kansas City, MO 64132","Jake Balcom",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Mettle Design","2014","Outside","24/7",,"39.0125389 -94.520629",,"Triple Blome by Jake Balcom is a series of three geometric sculptures made of stainless steel, standing on ten-foot steel poles. Towering over the sidelines of the Swope Soccer Village playing fields, the sculptures use the hexagonal/pentagonal shapes found in soccer balls to evoke the natural beauty of flowers blooming nearby. Triple Blome serves as a symbolic marker, inviting players and observers to enjoy sport and art simultaneously.",
"Historical Monuments and Memorials","Thomas H. Swope Memorial","Swope Park, 4201 E. 63rd Street, Kansas City, MO 64130","Charles Keck",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze and Stone","1918","Outside","M-Sun 5am-12am",,"39.011378 -94.5421342",,,
