"project_no","title","area","project_district","address_concatenation","finish_year","status","cost_in_millions","activity_type","use","office_sq_ft_in_1000_s","retail_sq_ft_in_1000_s","industrial_sq_ft_in_1000_s","hotel_rooms","parking_spaces","developer","also_in_1990_onward_database","none"
,"Completed","construction completed, except, possibly, tenant finishing, landscaping, etc. ",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"Status *","""approved"", ""underway"", or ""completed"" *","to note projects' situation in development process","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"190.00","Midland Brake Warehouse","7","North","8600 NE Underground Dr.
Kansas City, MO 
(39.157241398529806, -94.47823325588925)","1986","Completed","1.2","New","Storage / Distribution","0","0","150","0","0","Hunt Midwest","No",
,"17","West Westport",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"11","Downtown Freeway Loop",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"83.00","Plaza Medical Building","26","East","5000 Troost Av.
Kansas City, MO 
(39.03616651004929, -94.57335137471902)","1986","Completed","8.5","New","Medical","0","0","0","0","0","Leo Eisenberg Co.","No",
"166.00","Hawthorne Square","31","East","14101 U S 40 Hwy.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1987","Completed","6.0","New","Office/Retail","108","192","0","0","0","Terra Ventures;Noland Partners","No",
"Direction","part of real or estimated address (e.g. N)","to convey specific location with commonly used geographic references","when appropriate","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"234.00","All American Sports","30","South","9607 Elmwood Av.
Kansas City, MO 
(38.95113249459098, -94.53583886016759)","1987","Completed","3.0","New","Entertainment","0","0","0","0","0","All American Indoor Sports","No",
"170.00","Universal Plaza","9","East","6900 Executive Dr.
Kansas City, MO 
(39.138899487834735, -94.50011801637623)","1987","Completed","5.0","New","Office","45","0","0","0","0","Reardon Co.","No",
,"Storage / Distribution","primarily storage and/or distribution uses",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"Field","Content","Purpose","When Filled In","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"96.00","Watts Mill Plaza Center","29","South","1140 W 103rd St.
Kansas City, MO 
(38.94203212625655, -94.60582998678976)","1986","Completed","6.5","New","Retail","0","129","0","0","0","Bleakley Investment Co.","No",
"Status","Under Construction","under construction (or experiencing major site work or demolition of the previous use, with construction expected to follow soon after)",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"Industrial/Office/Showroom","primarily a combination of industrial, office, and showroom uses",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"88.00","Ronda Tower","19","Plaza","209 W 46th Te.
Kansas City, MO 
(39.043135174955125, -94.5883616456414)","1986","Completed","2.0","New","Retail","0","21","0","0","0","J.C. Nichols Co.","No",
"** Originally there were 35 areas, with ""Executive Hills East"" as Area 30. That area was eliminated due to the",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"94.00","Dwight Building","11","Downtown","1004 Baltimore Av.
Kansas City, MO 
(39.10174934686372, -94.58429246331208)","1985","Completed","1.0","Rehab","Office","4","0","0","0","0","George K. Baum Group","No",
"361.00","Woodland School Addition","21","East","711 Woodland Av.
Kansas City, MO 
(39.10469370094467, -94.56030628072514)","1990","Underway","3.7","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"127.00","Trinity Lutheran Addition","15","Midtown","3101 Wyandotte St.
Kansas City, MO 
(39.070841914698086, -94.58835172326093)","1983","Completed","14.0","New","Medical","0","0","0","0","0","K.C. Lutheran Home & Hos. Assoc.","No",
"99.00","North Crown Center Garage","15","Midtown","2235 Mc Gee St.
Kansas City, MO 
(39.086131289967646, -94.58035823882504)","1987","Completed","7.5","New","Garage","0","0","0","0","821","Crown Center Redevelopment Corp.","No",
,"2","First and Second Creek",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"106.00","Executive Hills N. - 26A","1","North","7600 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.274029791070056, -94.6660222396369)","1987","Completed","3.4","New","Office","43","0","0","0","0","Executive Hills","No",
"357.00","Satchel Paige Greek Acad.","26","East","7500 Indiana Av.
Kansas City, MO 
(38.99034290168834, -94.54797758376196)","1990","Underway","4.9","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
