"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","06 Children Special Needs","State Grants"
"2019","Public Safety","Municipal Court","Court Operations","Service Charges-General Gov't","1100","1100","General Fund","General Fund","Miscellaneous Service Fees","Service Charges-General Gov't"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","14960","14960","Development Services","Development Services","Deposits-Std & Appel-Bldg Code","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","11500","11500","Parks and Recreation","Parks and Recreation","Grove Pool-Admissions and Other","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","186550","186550","Convention and Tourism","Convention and Tourism","Audio Visual Services","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Housing Services","Other Contributions","20000","20000","General Fund","General Fund","W.H.O. Mulkey Square Contribut","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","10250000","10250000","General Fund","General Fund","Pers Prop Tax-Current","Property Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","15500","15500","Parks and Recreation","Parks and Recreation","Swope Pool-Admissions and Other","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Cliff Drive Scenic BywayRestoP2","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Service Charges-Public Safety","2964100","2964100","General Fund","General Fund","Tow-In And Storage Charges","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","249600","249600","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Valentine Net Operating Inc","Miscellaneous Revenues"
"2019","Public Safety","Municipal Court","Court Operations","Fines & Forfeitures","21623","21623","General Fund","General Fund","Mun Court Costs-Arrest Cost","Fines & Forfeitures"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Redevelopment Services","Service Charges-Public Safety","2700","2700","General Fund","General Fund","Demolition Waiver","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","1800","1800","TIF Special Allocation","TIF Special Allocation","Natural Gas - Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","70000","70000","Golf Operations","Golf Operations","Beer Sales-Hodge Park","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","500","500","Health Levy","Health Levy","05-Medicare","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","38789","38789","Arterial Street Impact Fee","Arterial Street Impact Fee","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Justice Assistance Grant","Justice Assistance Grant","05 Justice Assistance Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Justice Assistance Grant","Justice Assistance Grant","05 Justice Assistance Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Justice Assistance Grant","Justice Assistance Grant","05 Justice Assistance Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Justice Assistance Grant","Justice Assistance Grant","05 Justice Assistance Grant","Federal Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","0","0","Sewer","Sewer","Interest On Invest-Res 1962","Interest"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","198727","198727","Water","Water","Interest-Capital Repayment","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","-2886900","-2886900","Fire Sales Tax","Fire Sales Tax","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","0","0","Sewer","Sewer","Miscellaneous Income","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","222000","222000","General Fund","General Fund","Steam Companies","Utility Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","1623488","1623488","Convention and Tourism","Convention and Tourism","Catering Fees","Rental Income"
"2019","Public Safety","Fire","Emergency Operations","Other Contributions","100000","100000","General Fund","General Fund","Misc Contributions","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","160000","160000","General Fund","General Fund","Steam Companies-Emerg","Utility Taxes"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","0","0","Sewer","Sewer","Interest On Invest-P&I 1973","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Ryan White HIV/AIDS","Ryan White HIV/AIDS","04 Ryan White Title I Emerg.Gr","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","43096","43096","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","166200","166200","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Public Safety","Fire","Fire Revenues","Federal Grants","0","0","Fire Sales Tax","Fire Sales Tax","Assist to FF's - FEMA","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Aquatics-Other","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Aquatics-Other","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Maternal Family and Child Health","Other Contributions","0","0","Health Levy","Health Levy","AIM 4 Peace","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","737000","737000","General Fund","General Fund","Tax Penalties  Interest & Fees","Property Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","197900","197900","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Federal Grants","0","0","KC Airports","KC Airports","KCI-Other-Grants","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","0","0","STIF HOK Sport Garage","STIF HOK Sport Garage","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","5950000","5950000","General Fund","General Fund","Bus Replacement Tax-Current","Property Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","29019","29019","Convention and Tourism","Convention and Tourism","Utility Charges","Rental Income"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","315000","315000","KC Airports","KC Airports","Landing Fees - General Aviatio","KCI Airport"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","0","0","Development Services","Development Services","Elevator Permits &Inspec Fees","Service Charges-Public Safety"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Other Contributions","2000000","2000000","Inmate Security","Inmate Security","Contr - Area Hospitals","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","General Fund","General Fund","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Service Charges-Downtown Airport","35000","35000","KC Airports","KC Airports","Rental Car Concession Fees-DT","Service Charges-Downtown Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","1400","1400","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Finance and Governance","General Services","Facilities Management","Service Charges-General Gov't","0","0","General Fund","General Fund","Miscellaneous Service Fees","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Community Development Funds","Community Development Funds","Community Dev Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Community Development Funds","Community Development Funds","Community Dev Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","22000","22000","Golf Operations","Golf Operations","Banquet Room Rental","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","0","0","Parking Garage","Parking Garage","West Bottoms Garage Parking","Rental Income"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","1448673","1448673","Street Maintenance","Street Maintenance","Street Lane Rental","Licenses & Permits"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Service Charges-Public Safety","0","0","Inmate Security","Inmate Security","Probation Fees","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","142397","142397","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Miscellaneous Revenues","396","396","General Fund","General Fund","Miscellaneous Income","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","116724","116724","Sewer","Sewer","Northmoor Sewer Serv Charg","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","963400","963400","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Restaurant - Contra","Convention & Tourism Taxes Redirection"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","Revolving Public Improvement","Revolving Public Improvement","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","25000","25000","Parks and Recreation","Parks and Recreation","SVSP Sponsorships","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","232000","232000","Convention and Tourism","Convention and Tourism","Exhibition Hall Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","Other Rentals","1200","1200","Parks and Recreation","Parks and Recreation","Lease of Building","Other Rentals"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","10000","10000","TIF Special Allocation","TIF Special Allocation","EAT-Zoo","Other Taxes"
"2019","Finance and Governance","Office of the City Clerk","City Clerk Revenues","Other Contributions","0","0","General Fund","General Fund","Misc Contributions","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","60000","60000","General Fund","General Fund","New License App Fee","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","267021","267021","General Debt And Interest","General Debt And Interest","Rr & Util Tax Pers Prop-Curr","Property Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","32500","32500","Governmental Grants Fund","Governmental Grants Fund","Local Sanitation Inspection","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","80000","80000","Street Car ","Street Car ","Interest On Investments","Interest"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Service Charges-Sewer","0","0","Capital Improvements","Capital Improvements","Capital Contribution-PIAC","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HIV Services ACA Outreach Proj","Federal Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","100150","100150","Development Services","Development Services","Sign Inspection Fees","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","8500000","8500000","General Fund","General Fund","Wireless Telephone Companies","Utility Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","425000","425000","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","Service Charges-Parks & Rec","6000","6000","Parks and Recreation","Parks and Recreation","Brush Creek Concessions","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","220500","220500","KC Airports","KC Airports","Transportation - Taxi","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","Development Services","Development Services","Interest On Investments","Interest"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","51570","51570","Fire Sales Tax","Fire Sales Tax","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","19725","19725","General Fund","General Fund","Leaf & Brush Dropoff Fee","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","Service Charges-Parks & Rec","25000","25000","Parks and Recreation","Parks and Recreation","Cultural Arts Fees & Permits","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","51570","51570","Public Safety Sales Tax","Public Safety Sales Tax","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","7011","7011","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","10142","10142","Parks and Recreation","Parks and Recreation","Skate Rental","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","28500","28500","Health Levy","Health Levy","Medicaid","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","0","0","Revolving Public Improvement","Revolving Public Improvement","Collections From Assessments","Special Assessments"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","0","0","General Fund","General Fund","Day Labor Business Permit","Licenses & Permits"
"2019","Public Safety","Fire","Fire Revenues","Miscellaneous Revenues","0","0","Fire Sales Tax","Fire Sales Tax","Sale of Vehicles","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","2600","2600","TIF Special Allocation","TIF Special Allocation","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","600","600","General Fund","General Fund","Cigarette Lic Registrations","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Miscellaneous Revenues","60","60","General Fund","General Fund","Reimb-Office Copier- Gen Gov","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","KCI Airport","27000","27000","General Fund","General Fund","Administrative Fees","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Children's Mercy One Touch KC","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","0","0","STIF Uptown","STIF Uptown","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Management","Service Charges-General Gov't","275000","275000","Development Services","Development Services","City Plan Commission Fees","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","60129","60129","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HUD Shelter Plus Care Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HUD Shelter Plus Care Grant","Federal Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Federal Grants","0","0","Water Working Capital","Water Working Capital","EPA Clean Diesel Emissions Red","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","37653140","37653140","General Fund","General Fund","Real Property Taxes-Current","Property Taxes"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Fines & Forfeitures","0","0","KC Airports","KC Airports","Tow Fines","Fines & Forfeitures"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","41000","41000","Health Levy","Health Levy","Records Immigration Clinic","Service Charges-Health"
"2019","Finance and Governance","General Services","Procurement","Miscellaneous Revenues","20000","20000","General Fund","General Fund","Sale Of Property","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","0","0","KC Airports","KC Airports","Other","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Licenses & Permits","24000","24000","General Fund","General Fund","Hotel/Motel Occupancy Fee - Arena","Licenses & Permits"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","-24258","-24258","Parking Garage","Parking Garage","Rental from Parking â€“ Contra","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","0","0","Sewer","Sewer","Interest On Invest-P&I 1962","Interest"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","315100","315100","KC Airports","KC Airports","Concessions - Terminal Other","KCI Airport"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","95410","95410","Public Mass Transportation","Public Mass Transportation","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Service Charges-General Gov't","437895","437895","Street Maintenance","Street Maintenance","Street Plate Permits","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","85800","85800","STIF Linwood Shopping Center","STIF Linwood Shopping Center","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","2274000","2274000","KC Airports","KC Airports","Prop Rent - Ambassador Bldg","KCI Airport"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","10000","10000","Stormwater","Stormwater","Sale of Vehicles","Miscellaneous Revenues"
"2019","Public Safety","Fire","Fire Revenues","Service Charges-General Gov't","1","1","Fire Sales Tax","Fire Sales Tax","Training Fees/Services","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","718000","718000","General Fund","General Fund","Sale Of Refuse Coll Stickers","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Licenses & Permits","45000","45000","General Fund","General Fund","Vehicle Licenses-Prior","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","13500000","13500000","KC Airports","KC Airports","Terminal Lease - Sig","KCI Airport"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Service Charges-General Gov't","0","0","Inmate Security","Inmate Security","Mun Crt Cst-Computer Records","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Platte County Stormwater Grant 2007","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","40000","40000","Parks and Recreation","Parks and Recreation","Race Permits","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","405","405","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Service Charges-General Gov't","0","0","KC Airports","KC Airports","Miscellaneous Service Fees","Service Charges-General Gov't"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","10780","10780","Development Services","Development Services","Application For Certificates","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","Water","Water","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","9100","9100","STIF East Village","STIF East Village","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","17036","17036","Parks and Recreation","Parks and Recreation","Ice Rink-Pro Shop Sales","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","38000","38000","KC Airports","KC Airports","Terminal Area Other","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","38665000","38665000","Public Mass Transportation","Public Mass Transportation","Sales Tax","Sales Tax"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Reimb Services","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Reimb Services","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Reimb Services","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","20000","20000","Sewer","Sewer","Reimb Services","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","200","200","Convention and Tourism","Convention and Tourism","Equipment Charges","Rental Income"
"2019","Transportation and Infrastructure","Transportation Authorities","Street Car","Other Contributions","0","0","Street Car ","Street Car ","Misc Contributions","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","52400","52400","TIF Special Allocation","TIF Special Allocation","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","157187","157187","Water","Water","Lee's Summit Cap Repayment","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","320427","320427","Parks and Recreation","Parks and Recreation","Ice Rink Rental","Service Charges-Parks & Rec"
"2019","Public Safety","Police","Police Revenues","Federal Grants","775367","775367","Police Drug Enforcement","Police Drug Enforcement","99 Co Contr-Police Drug Enforc","Federal Grants"
"2019","Public Safety","Municipal Court","Court Operations","Service Charges-General Gov't","205026","205026","Inmate Security","Inmate Security","Mun Crt Cst-Computer Records","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","0","0","STIF East Village","STIF East Village","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","215496","215496","Governmental Grants Fund","Governmental Grants Fund","Support Male Survivor Violence","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","70000","70000","Golf Operations","Golf Operations","Beer Sales-Minor Park","Service Charges-Parks & Rec"
"2019","Public Safety","Police","Police Revenues","Service Charges-Public Safety","6000","6000","Police Grant","Police Grant","Alert II - L.E. & Court Fines","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","1000","1000","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","12000","12000","General Fund","General Fund","Sale Of Recyclables","Service Charges-General Gov't"
"2019","Public Safety","Police","Police Revenues","State Grants","0","0","Police Grant","Police Grant","Smart Policing Innovation Grant","State Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","7746","7746","Water","Water","Cass Co. #3 Capital Repayment","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","22889","22889","Museum","Museum","Tax Penalties  Interest & Fees","Property Taxes"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","0","0","KC Airports","KC Airports","Other Interest","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","122100","122100","STIF Linwood Shopping Center","STIF Linwood Shopping Center","Valentine Net Operating Inc","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Miscellaneous Revenues","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Misc Non-Revenue Receipts","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","0","0","General Fund","General Fund","Adlt Entertainmnt Bus (Live)","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","10956","10956","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","00-Surveillance","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","Other Contributions","13500","13500","Parks and Recreation","Parks and Recreation","Contr For J L Loose Memr Grdn","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","5760000","5760000","General Fund","General Fund","Telephone Companies","Utility Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","362900","362900","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","41800","41800","STIF East Village","STIF East Village","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","State Grants","12400000","12400000","Street Maintenance","Street Maintenance","Gasoline And Motor Fuel Taxes","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Ebola Virus Disease Monitoring","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Planning and Design","Licenses & Permits","130000","130000","Parks and Recreation","Parks and Recreation","Street Excavation Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","9100000","9100000","Development Services","Development Services","Bldg Permit & Inspection Fees","Service Charges-Public Safety"
