"organization_name","description_of_services","populations_served","counties_served","website","how_to_access_resources","days_of_operation","hours_of_operation","notes","table3_addressline1","table3_addressline2","table3_city","table3_phone_numb"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,,,"Springfield","802-885-6440"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,"5 South Main Street","Suite 307 Gate Briggs Building","White River Junction","802-295-1854"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,"459 Portland Street","Suite 2","Saint Johnsbury","802-751-1212"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,,,"Jacksonville","802-348-6608"
"RSVP & The Volunteer Center","Provides free basic tax preparation for low and moderate income households.","Mature Adults","Addison;Rutland","http://www.volunteersinvt.org","Appointment;Telephone",,"Hours vary.",,"6 Court Street",,"Rutland","802-775-8220"
"RSVP & The Volunteer Center","Provides free basic tax preparation for low and moderate income households.","Mature Adults","Addison;Rutland","http://www.volunteersinvt.org","Appointment;Telephone",,"Hours vary.",,"79 Court Street","Suite 7","Middlebury","802-388-7044"
"Vermont Department of Financial Regulation","Resources on banking, investing, and insurance. Scam awareness and high-school financial literacy programs.","General;Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.dfr.vermont.gov/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"89 Main Street",,"Montpelier","802-828-3301"
"Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtlegalaid.org/elder-law-project","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",,"264 North Winooski Avenue",,"Burlington","800-889-2047 Information & Intake
800-747-5022 Main Office Administrative"
"Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtlegalaid.org/elder-law-project","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",,"56 College Street",,"Montpelier","800-889-2047"
"Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtlegalaid.org/elder-law-project","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",,"57 North Main Street","Suite 2","Rutland","800-889-2047"
"Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtlegalaid.org/elder-law-project","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",,"177 Western Avenue","Suite 1","Saint Johnsbury","800-889-2047"
"Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtlegalaid.org/elder-law-project","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",,"56 Main Street","Suite 301","Springfield","800-889-2047"
"Office of the Vermont State Treasurer","Money management and personal finance education resources for kids and adults. Savings program for persons with disabilities.","General;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vermonttreasurer.gov","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"109 State Street","4th Floor","Montpelier","800-642-3191
802-828-2301"
"Vermont Department of Libraries","""Financial Literacy in Your Library"" workshops during financial literacy month (April) for local libraries. Provides related resources year-round for libraries. Underwrites the community legal information center.","Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://libraries.vermont.gov/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"60 Washington Street","Suite 2","Barre","802-636-0040"
"Vermont Department of Labor","Workforce development, economic & labor market information, information pertaining to unemployment insurance and workers compensation. Offers money management education and referrals to program participants.","Employers;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://labor.vermont.gov/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"5 Green Mountain Drive","PO Box 488","Montpelier","802.828.4000"
"Vermont Department of Human Resources","Financial wellness and retirement planning workshops for state employees. Money wellness integrated into employee wellness program. Employee assistance program includes finance page.","Employers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://humanresources.vermont.gov/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"120 State Street",,"Montpelier","802-828-3491"
"Vermont Jump$tart Coalition","The Vermont Jump$tart Coalition for Personal Financial Literacy is an all-volunteer, nonprofit organization dedicated to improving the financial literacy of Vermont youth by providing advocacy, information, and educational resources. Vermont Jump$tart strives to prepare young people for life-long successful financial decision making.","Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://vermontjumpstart.wordpress.com/","Online;Telephone",,"Days and hours of operation vary",,"89 Main Street #16",,"Montpelier","802-229-0341"
"Neighborhood Connections","Provides preventative health care education and referrals for individuals and families. Services include assistance with access to benefit programs, assistance finding housing and employment, home wellness checks, health education and wellness programs, and linkages to health care and to local resources such as volunteer drivers, utlility assistance, and food programs.","Families;Individuals;Mature Adults","Windham","https://www.neighborhoodconnectionsvt.org/","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm","Benefits screening, health care, housing, employment. Appointment preferred, walk-ins could experience wait time or be asked to schedule an appointment.",,,,
"CVOEO: Alburgh Outreach Office","Food & nutrition assistance, utility assistance. 
Provides financial assistance to help Green Mountain Power (GMP) customers pay their bill when they have received a disconnect notice. Part of the bill will be paid by the program, and payment arrangements will be made for the balance.","General","Grand Isle","http://www.cvoeo.org","Walk-In","Tuesday","10:00 am - 1:00 pm","Open last two Tuesdays of the month. Utility services 10:00 am - 12:00 pm. Food services 12:00 pm - 1:00 pm.",,,,
"NEKCA: Canaan Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","Families;General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Some services require an appointment.",,,,
"NEKCA: Island Pond Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Thursday","9:00 am - 2:30 pm","Walk-ins may experience a wait time or asked to schedule an appointment.",,,,
"Milton Family Community Center","Adult Basic Eduction and vocational training for pregnant/parenting youth. 
Temporary Financial Aid: Assists with completion of applications for Economic Services benefits. Provides one-time emergency financial assistance for utility shut off notices, lot rent, transportation to medical appointments and other emergency situations. Receipt of financial assistance is coupled with a personal budget counseling session.","Families","Chittenden","http://www.miltonfamilycenter.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:00 pm",,,,,
"Putney Community Cares","Provides support to individuals and families in the form of resource and referral services for basic needs, family crises, mental health issues, parenting issues, and child care. Offers assistance by a certified application counselor with enrollment in health care insurance. Assists individuals in applying for 3SquaresVT, subsidized housing, and fuel assistance.","General","Windham","https://www.putneycommunitycares.org/","Telephone","Monday;Thursday;Tuesday;Wednesday","10:00 am - 2:00 pm",,,,,
"Department of Vermont Health Access","Provides a member website for Vermonters who have Medicaid or Dr. Dynasaur. Assists Vermonters in enrolling in and answers questions about Medicaid, Dr. Dynasaur, Medicaid for the Aged, Blind, and Disabled (MABD), Choices for Care, and Prescription Assistance.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.greenmountaincare.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm",,,,,
"Vermont Adult Technical Education Association","Provides an interactive web page that provides contact information for all tech centers and the courses they are offering. Technical Career Centers offer classes and trainings in specific technical occupations and skilled and semiskilled trades for individuals who have graduated from high school or the equivalent. Included are programs that prepare people for careers in areas as diverse as business, cosmetology, computer science, allied health occupations, auto mechanics, building trades, and manufacturing. Centers also offer classes to the public that augment self sufficiency in areas such as home gardening, food preservation, cooking, computer use, chainsaw safety, and more.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vtadultcte.org/","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","24 Hours/7 Days",,,,,
"SEVCA White River Junction Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Windham;Windsor","http://www.sevca.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,,,,
"Vermont Works for Women","Offers a work-readiness training system to help women overcome employment barriers and achieve meaningful employment that can move them toward economic independence. Participants may receive a stipend for the on-the-job portion of this program. The program is customized to meet each individual's needs with long term, post-program support. Online job bank.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vtworksforwomen.org","Appointment;Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","1:00 am - 2:30 pm","Appointment preferred or walk-in to orientation Mondays at 10:30 am",,,,
"The Center for an Agricultural Economy","Offers a loan program that supports agricultural entrerprises that directly support the expansion of the Vermont food system. Loans are provided for businesses to invest and innovate for growth, thereby increasing the availability of local foods in Vermont.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vermontfarmfund.org/loan-programs/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","By appointment.",,,,,
"Bennington Housing Authority","Provides permanently affordable rental housing, including single room occupancy housing units. Section 8 choice voucher program.","General","Bennington","http://www.benningtonhousingauthority.org/properties.html","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:00 pm",,,,,
"Military OneSource","Provides free tax counseling sessions to aid in financial awareness. During tax season provides free online access to H&R Block tax preparation services through the MilTax program located on website. Includes free federal and state filing.","Active Duty Military","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.militaryonesource.mil","Online","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","24 Hours/7 Days",,,,,
"University of Massachusetts New England Pension Action Center","Provides pension assistance to workers, retirees, and their families by resolving problems with benefit denials and miscalculations, locating retirement benefits from former employers, and obtaining and explaining complex retirement plan documents. Also provides fact sheets on pension and retirement issues as well as investor education.","General;Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.umb.edu/pensionaction","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,,,,
"Vermont Department for Children and Families: Office of Economic Opportunity","Office of Economic Opportunity provides financial capability training for grant partners.","Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/oeo","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,,,,
"Center for Financial Literacy","Champlain College's Center for Financial Literacy (CFL) was designed to promoteand develop financial literacy skills in K-12 students, college students, teachers (K-12 andcollege) and adults, which leads to more sound decisions about spending, credit, debt,investments and complex financial situations, such as buying a home and saving for retirement.","Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor",,"Online","Friday;Monday;Thursday;Tuesday;Wednesday",,,,,,
