LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
R.C.'S LOUNGE INC.,R.C.'S LOUNGE,330,E 135TH STREET,KANSAS CITY,MO,64145,8169424999,27250,27251,RBD,SBD ,JACKSON,1,00,"(38.883303, -94.591477)",43,178,525
DIGREGORIO FOOD PRODUCTS INC.,DIGREGORIO'S,5200,DAGGETT,ST LOUIS,MO,631103026,3147761062,27533,155350,OPL,OPT ,ST. LOUIS CITY,3,00,"(38.61662640000001, -90.27289569999999)",54,200,2223
AMERICAN LEGION 283,ROCK MEMORIAL POST 283,910,AMERICAN LEGION COURT,IMPERIAL,MO,630520126,6364642599,27548,27549,RBD,SBD ,JEFFERSON,3,00,,,,
BOARD OF PARKS & REC. COMMISSIONERS,HODGE PARK,7000,NE BARRY ROAD,KANSAS CITY,MO,64156,8167814152,27793,30304,5BDW,5SBD,CLAY,1,00,,,,
BOARD OF PARKS & REC. COMMISSIONERS,HEART OF AMERICA GOLF COURSE,7501,BLUE RIVER RD.,KANSAS CITY,MO,64132,8165138940,27799,30306,5BDW,5SBD,JACKSON,1,00,,,,
ORRIS ENTERTAINMENT COMPANY INC.,ORRIS,265,MERCHANT STREET,STE GENEVIEVE,MO,636701609,2738837211,28146,50839,RBD,SBD ,STE. GENEVIEVE,4,00,,,,
ORAN COLUMBUS CLUB INC.,,,HWY 77,ORAN,MO,63771,5732628887,28237,28238,RBDE,SBD ,SCOTT,4,00,,,,
QULIN MEMORIAL AMERICAN LEGION POST #494,QULIN MEMORIAL AMERICAN LEGION POST #494,282,HIGHWAY N,QULIN,MO,63961,5733284455,28628,28629,RBDE,SBD ,BUTLER,4,00,,,,
STEFANINA'S PIZZERIA & RESTAURANT INC.,STEFANINA'S PIZZERIA & RESTAURANT,8645,VETERANS MEMORIAL PARKWAY,O'FALLON,MO,633667539,6362723499,28701,28706,RBD,SBD ,ST. CHARLES,3,00,"(38.8007668, -90.69889789999999)",48,173,2177
RORI ENTERPRISES INC.,RORI ENTERPRISES,113,E. BOONESLICK,WARRENTON,MO,633832003,3142204657,28814,0,RBD,    ,WARREN,2,00,,,,
CHIODINI FAMILY ENTERPRISES INC.,ZIAS,5256,WILSON,ST LOUIS,MO,63110,3147760020,28926,32706,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6158541, -90.2749632)",54,200,2223
HOME SERVICE OIL COMPANY,EXPRESS MART FESTUS,999,GANNON DRIVE,FESTUS,MO,630282607,6364675044,28943,70699,OPL,SOP ,JEFFERSON,3,00,,,,
HOME SERVICE OIL COMPANY,EXPRESS MART FESTUS,999,GANNON DRIVE,FESTUS,MO,630282607,6364675044,28943,208617,OPL,OPT ,JEFFERSON,3,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #228,2525,BURLINGTON ST.,NORTH KANSAS CITY,MO,641163194,8164721714,28962,73088,OPL,SOP ,CLAY,1,00,"(39.1472445, -94.57978899999999)",36,133,2701
BENEVOLENT PROTECTIVE ORDER OF ELKS 2651,LODGE 2651,35,E NORTH STREET,ST CLAIR,MO,630771458,6366299953,29126,270259,RBD,SBD ,FRANKLIN,2,00,,,,
FRATERNAL ORDER OF EAGLES 3781,AERIE 3781,1000,ACID MINE ROAD,SULLIVAN,MO,630802665,5734686900,29140,34423,RBDE,SBD ,FRANKLIN,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2316,LODGE 2316 FLORISSANT,16400,NEW HALLS FERRY ROAD,ST LOUIS,MO,630311132,3149212316,29269,33418,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.8373, -90.31530699999999)",51,181,2210
BENEVOLENT PROTECTIVE ORDER OF ELKS 2372,LODGE 2372 MERAMEC ARNOLD CLUBHOUSE & HA,1515,MILLER ROAD,IMPERIAL,MO,630522428,6364648960,29351,29352,RBD,SBD ,JEFFERSON,3,00,"(38.3942236, -90.3833648)",62,265,1967
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #149,5055,ARSENAL,ST LOUIS,MO,63139,5737745008,29522,83642,OPL,OPT ,ST. LOUIS CITY,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #149,5055,ARSENAL,ST LOUIS,MO,63139,5737745008,29522,71169,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
REPERTORY THEATRE OF ST LOUIS,REPERTORY THEATRE,130,EDGAR ROAD,WEBSTER GROVES,MO,63119,3149687340,29568,52160,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
VETERANS OF FOREIGN WARS,POST 4107,1617,LYNN ST,LEBANON,MO,655364419,4175322627,29634,30736,RBDE,SBD ,LACLEDE,5,00,,,,
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER,16611,E 23RD STREET,INDEPENDENCE,MO,640552081,8168330784,29880,74252,OPL,SOP ,JACKSON,1,00,"(39.076262, -94.38278009999999)",43,463,525
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER,16611,E 23RD STREET,INDEPENDENCE,MO,640552081,8168330784,29880,148079,OPL,OPT ,JACKSON,1,00,"(39.076262, -94.38278009999999)",43,463,525
LOHR DISTRIBUTING COMPANY INC.,,1100,S 9TH STREET,ST LOUIS,MO,631043511,3142316400,30097,0,LWS,    ,ST. LOUIS CITY,3,00,"(38.616101, -90.19827699999999)",54,200,2223
ST. FRANCIS XAVIER COUNCIL #6430,ST. FRANCIS XAVIER COUNCIL #6430,7128,RT M,JEFFERSON CITY,MO,651019541,5733954798,30388,0,5BDW,    ,COLE,2,00,"(38.504437, -92.07280999999999)",58,470,2702
MATTINGLY INN INC.,MATTINGLY'S INN,8108,N LINDBERGH,FLORISSANT,MO,630317105,3148319181,30534,28792,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.7889316, -90.3467695)",51,181,2210
AMERICAN LEGION 642,POST 642,2016,W MAIN STREET,SEDALIA,MO,653012349,6608272750,30638,32242,RBDE,SBD ,PETTIS,2,00,,,,
BONES INC.,BONES,208,COMMERCIAL AVENUE,JEFFERSON CITY,MO,65101,5736368955,30838,285332,RBD,RBDC,COLE,2,00,,,,
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #119,1159,E. HIGHWAY 54,CAMDENTON,MO,65020,5733463433,30989,71945,OPL,SOP ,CAMDEN,2,00,"(38.0210482, -92.7297024)",68,292,2694
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #119,1159,E. HIGHWAY 54,CAMDENTON,MO,65020,5733463433,30989,136052,OPL,OPT ,CAMDEN,2,00,"(38.0210482, -92.7297024)",68,292,2694
KNIGHTS OF COLUMBUS ASSOCIATION,COUNCIL 2269,202,W 3RD STREET,O'FALLON,MO,633661612,6362819223,31609,115146,RBD,SBD ,ST. CHARLES,3,00,"(38.812618, -90.70204199999999)",48,173,2177
FRATERNAL ORDER OF EAGLES 3684,AERIE 3684,,HWY Y,VIBURNUM,MO,65566,5732449598,31757,31758,RBDE,SBD ,IRON,4,00,,,,
TROPICAL LIQUEURS CORPORATION,TROPICAL LIQUEURS,515,E BROADWAY,COLUMBIA,MO,652014439,5734428098,31789,220870,RBD,SBD ,BOONE,2,00,"(38.9518867, -92.3310774)",40,464,2691
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,,HWY 32 & 65 JUNCTION,BUFFALO,MO,65622,4173454632,31837,213274,OPL,OPT ,DALLAS,5,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,,HWY 32 & 65 JUNCTION,BUFFALO,MO,65622,4173454632,31837,72994,OPL,SOP ,DALLAS,5,00,,,,
PONAK INC.,PONAK'S TAVERN,2856,SOUTHWEST BLVD,KANSAS CITY,MO,641083613,8167530775,32398,36362,RBD,SBD ,JACKSON,1,00,"(39.075698, -94.603252)",43,151,525
FRATERNAL ORDER OF EAGLES 4027,AERIE 4027,314,N HIGH STREET,CALIFORNIA,MO,650181736,5737964027,32962,230386,RBDE,SBD ,MONITEAU,2,00,,,,
AMERICAN LEGION 444,FLORISSANT VALLEY MEMORIAL POST 444,17090,OLD JAMESTOWN ROAD,FLORISSANT,MO,630341415,3147417786,33040,33041,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.849587, -90.260637)",51,181,2210
ROYAL WINE CORPORATION,,63,LEFANTE WAY,BAYONNE,NJ,07002,7183842400,33057,0,LS,    ,OUT OF STATE,7,00,,,,
LINCOLN COUNTY FAIR INC.,LINCOLN COUNTY FAIR,#1,FAIRGROUNDS CIRCLE,TROY,MO,63379,6365288575,33404,0,COL,    ,LINCOLN,3,00,,,,
HOWE OIL COMPANY INC.,HOWE OIL,312,E OSAGE STREET,PACIFIC,MO,63069,6362572202,33425,72188,OPL,SOP ,FRANKLIN,2,00,"(38.4839711, -90.73725189999999)",59,249,1958
BUEHLER VINEYARDS INC.,,820,GREENFIELD ROAD,ST HELENA,CA,945749529,7079632155,33454,0,22S,    ,OUT OF STATE,7,00,"(38.512572, -122.379747)",,,1172
"FREEMAN, LARRY G.",LARRY'S TWO STOP,101,W CLAY AVENUE,PLATTSBURG,MO,644771417,8165392018,33714,71425,OPL,SOP ,CLINTON,1,00,"(39.5635004, -94.44751079999999)",27,84,516
MIDWAY ENTERPRISES INC.,BACK DOOR LOUNGE,6401,WEST HWY 40,COLUMBIA,MO,652029164,5734451211,34138,34139,RBDR,SBD ,BOONE,2,00,,,,
PASTA HOUSE COMPANY,"PASTA HOUSE COMPANY, THE",8831,LADUE RD,LADUE,MO,63124,3149912022,34159,34160,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
PASTA HOUSE COMPANY,"PASTA HOUSE COMPANY, THE",15601,MANCHESTER ROAD,ELLISVILLE,MO,630112203,6362271970,34161,34162,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.593196, -90.572313)",51,219,2210
QUAFF INC.,QUAFF BUFFET,1010,BROADWAY,KANSAS CITY,MO,641051511,8164711918,34167,37939,RBD,EXTH,JACKSON,1,00,"(39.102008, -94.58865999999999)",43,151,525
QUAFF INC.,QUAFF BUFFET,1010,BROADWAY,KANSAS CITY,MO,641051511,8164711918,34167,200037,RBD,SBD ,JACKSON,1,00,"(39.102008, -94.58865999999999)",43,151,525
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #117,2030,DORSETT VILLAGE CENTER,ST LOUIS,MO,63043,3144343147,34176,71100,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #117,2030,DORSETT VILLAGE CENTER,ST LOUIS,MO,63043,3144343147,34176,88143,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
AYERS OIL COMPANY INC.,AYERCO CONVENIENCE CENTER #44,7233,HWY 36,PALMYRA,MO,63461,5732480006,34214,71794,OPL,SOP ,MARION,2,00,,,,
G & D PIZZERIA INC.,G & D PIZZERIA,,CROSSROADS W SHOP CENTER,COLUMBIA,MO,652017632,5734458336,34624,0,5BDW,    ,BOONE,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2662,LODGE 2662,1101,E VETERANS MEMORIAL PARKWAY,WARRENTON,MO,633831311,6364562662,35081,0,RBD,    ,WARREN,2,00,,,,
COLUMBIAN ASSN.,,700,CLEAR VIEW DR,UNION,MO,630842048,6365832606,35088,0,RBDE,    ,FRANKLIN,2,00,,,,
MILO'S INC.,MILO'S,5201,WILSON AVE,ST LOUIS,MO,631103137,3147760468,35241,179830,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6158523, -90.2730366)",54,200,2223
"GLAUS, MIKE & DREW, BRIAN",D & G SERVICE CENTER,,HWY 25 SOUTH,DELTA,MO,63744,5737942056,35246,0,OPL,    ,CAPE GIRARDEAU,4,00,,,,
"GLAUS, MIKE & DREW, BRIAN",D & G SERVICE CENTER,,HWY 25 SOUTH,DELTA,MO,63744,5737942056,35246,0,OPL,    ,CAPE GIRARDEAU,4,00,,,,
CENTRAL MARKETS INC.,CENTRAL MARKET,45,N CLARK,SULLIVAN,MO,630801606,5734684191,35363,165094,OPL,OPT ,FRANKLIN,2,00,,,,
CENTRAL MARKETS INC.,CENTRAL MARKET,45,N CLARK,SULLIVAN,MO,630801606,5734684191,35363,71951,OPL,SOP ,FRANKLIN,2,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3032,1405,N BLUFF ST.,FULTON,MO,652512349,5734420171,35680,71515,OPL,SOP ,CALLAWAY,2,00,,,,
VETERANS OF FOREIGN WARS,POST 6516 HIGH RIDGE MEMORIAL,2220B,GRAVOIS ROAD,HIGH RIDGE,MO,630492503,6366771772,35698,54095,RBD,SBD ,JEFFERSON,3,00,"(38.479833, -90.515669)",62,256,1967
QUIK-TRIP CORPORATION,QUIK-TRIP #230,11201,EAST TRUMAN ROAD,INDEPENDENCE,MO,640502510,8162547490,35920,73356,OPL,SOP ,JACKSON,1,00,"(39.0943856, -94.4450282)",43,463,525
MFA PETROLEUM COMPANY,BREAK TIME #3049,1200,MISSOURI BLVD,JEFFERSON CITY,MO,65101,5734420171,36070,71505,OPL,SOP ,COLE,2,00,"(38.578265, -92.190271)",58,465,2702
MFA PETROLEUM COMPANY,BREAK TIME #3050,1907,E MCCARTY STREET,JEFFERSON CITY,MO,65101,5734420171,36071,71507,OPL,SOP ,COLE,2,00,"(38.56164700000001, -92.13947000000002)",58,465,2702
MFA PETROLEUM COMPANY,BREAK TIME #3024,#4,BUS LOOP 70 EAST,COLUMBIA,MO,65201,5734420171,36092,71631,OPL,SOP ,BOONE,2,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3072,702,HWY 28 WEST,OWENSVILLE,MO,65066,5734420171,36093,71649,OPL,SOP ,GASCONADE,2,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3076,1300,HWY 72 E,ROLLA,MO,65401,5734420171,36119,71644,OPL,SOP ,PHELPS,5,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3091,600,S HWY 5,TIPTON,MO,650818436,5734420171,36243,71629,OPL,SOP ,MONITEAU,2,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3008,200,W. BUCHANAN ST.,CALIFORNIA,MO,650181219,5734420171,36244,71608,OPL,SOP ,MONITEAU,2,00,,,,
ROUND HILL CELLARS,RUTHERFORD WINE COMPANY,1680,SILVERADO TRAIL,ST HELENA,CA,945749542,7079635251,36276,0,22S,    ,OUT OF STATE,7,00,"(38.4886433, -122.4070267)",,,1172
FOLEY TAVERN INC.,FOLEY'S,3522,GREENWOOD BLVD,MAPLEWOOD,MO,631434211,3146456424,36322,274772,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6050194, -90.32087630000001)",51,226,2210
BENEVOLENT PROTECTIVE ORDER OF ELKS 2701,LODGE 2701,921,N PERRYVILLE BLVD,PERRYVILLE,MO,637751261,5735475552,36427,36428,RBDE,SBD ,PERRY,4,00,"(37.7376117, -89.8780405)",76,322,2168
HAPPY FOOD CENTER INC.,HAPPY FOOD CENTER,4019,E 31ST STREET,KANSAS CITY,MO,641281709,8169236588,36541,0,5OP,    ,JACKSON,1,00,,,,
"HEUER, LINDA M.",CARROWS MARKET & MALT SHOP,5051,FOUR RIDGE ROAD,HOUSE SPRINGS,MO,630512516,6369483111,36543,71487,OPL,SOP ,JEFFERSON,3,00,,,,
KNIGHTS OF COLUMBUS,COUNCIL 1848 (BLOOMSDALE),,HWY I-55,BLOOMSDALE,MO,63627,5734832213,36696,36697,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
AMERICAN LEGION 97,JOHN CALLAHAN POST 97,110,LOCUST STREET,PLATTSBURG,MO,644771230,9999999999,36751,36752,RBDE,SBD ,CLINTON,1,00,,,,
KNIGHTS OF COLUMBUS,DUCHESNE COUNCIL 2951,25,WASHINGTON STREET,FLORISSANT,MO,630315127,3148376645,36815,36816,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.796653, -90.333726)",51,191,2210
QUIK TRIP CORPORATION,QUIK TRIP #601,9099,NATURAL BRIDGE ROAD,BEL RIDGE,MO,631213918,3144277827,36898,71888,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.7187843, -90.33002979999999)",51,501,2210
QUIK TRIP CORPORATION,QUIK TRIP #604,3847,MCCLAY RD,ST. PETERS,MO,633767328,6369289884,36911,71720,OPL,SOP ,ST. CHARLES,3,00,"(38.757515, -90.5861819)",48,202,2177
QUIK TRIP CORPORATION,QUIK TRIP #603,225,N KINGSHIGHWAY,ST CHARLES,MO,633011611,6369478389,36912,71718,OPL,SOP ,ST. CHARLES,3,00,,,,
FRATELLIS RISTORANTE INC.,FRATELLI'S RISTORANTE,2061,ZUMBEHL ROAD,ST CHARLES,MO,633032723,6369499005,36957,37925,RBD,SBD ,ST. CHARLES,3,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2439,LODGE 2439,325,N TWO MILE ROAD,DEXTER,MO,63841,5736245626,36983,118290,RBDE,SBD ,STODDARD,4,00,,,,
DREYFUS ASHBY INC.,DREYFUS ASHBY INC.,630,3RD AVENUE-15TH FLOOR,NEW YORK,NY,100176705,2128180770,37286,0,LS,    ,OUT OF STATE,7,00,"(40.750009, -73.975398)",,,2095
ST. PETER PARISH CENTER,ST. PETER PARISH CENTER,301,1ST CAPITOL DRIVE,ST CHARLES,MO,633013413,6369466641,37396,0,RBD,    ,ST. CHARLES,3,00,"(38.780095, -90.48492200000001)",48,195,2177
DIFANI ENTERPRISES LTD.,BLACK THORN,3733,WYOMING,ST LOUIS,MO,63116,3147760534,37421,138266,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.599753, -90.246408)",54,200,2223
ST. FRANCIS OF ASSISI CHURCH,BUSSEN FIELD,,MAGOFFIN & BLUFF ROADS,ST LOUIS,MO,63129,3144875736,37475,0,5BD,    ,ST. LOUIS CO.,3,00,,,,
GENOVA'S CHESTNUT INN INC.,SHADY LADY LOUNGE,2800,E 12TH STREET,KANSAS CITY,MO,641271324,8162319696,37627,38567,RBD,SBD ,JACKSON,1,00,"(39.0989568, -94.5490329)",43,151,525
GENOVA'S CHESTNUT INN INC.,SHADY LADY LOUNGE,2800,E 12TH STREET,KANSAS CITY,MO,641271324,8162319696,37627,38376,RBD,EXTH,JACKSON,1,00,"(39.0989568, -94.5490329)",43,151,525
AMVETS 108,POST 108,,HWY Y,ROCKY MOUNT,MO,65072,5733920659,37827,37828,RBDE,SBD ,MORGAN,2,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #105,4333,BUTLER HILL ROAD,ST LOUIS,MO,63128,3148941227,38056,70971,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.4858037, -90.3585883)",51,248,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #105,4333,BUTLER HILL ROAD,ST LOUIS,MO,63128,3148941227,38056,82853,OPL,OPT ,ST. LOUIS CO.,3,00,"(38.4858037, -90.3585883)",51,248,2210
FKG OIL COMPANY INC.,ST. CHARLES MOTO MART,1020,S 5TH STREET,ST CHARLES,MO,633012419,6369409169,38206,74099,OPL,SOP ,ST. CHARLES,3,00,,,,
FKG OIL COMPANY INC.,ST. CHARLES MOTO MART,1020,S 5TH STREET,ST CHARLES,MO,633012419,6369409169,38206,242292,OPL,OPT ,ST. CHARLES,3,00,,,,
WESTWOOD COUNTRY CLUB INC.,WESTWOOD COUNTRY CLUB,11801,CONWAY ROAD,ST LOUIS,MO,631312414,3144322311,38348,39410,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
"PLEASURE, OLIVER",OLIVER'S RESTAURANT & LOUNGE,2301,E 12TH STREET,KANSAS CITY,MO,64127,8162318360,38379,0,RBD,    ,JACKSON,1,00,"(39.0986959, -94.554137)",43,151,525
FISH'S QUICK STOP INC.,EXPRESS MART,518,S MAIN,DESOTO,MO,630202204,6365862266,38550,72206,OPL,SOP ,JEFFERSON,3,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3019,301,NEBRASKA AVE,COLUMBIA,MO,65201,5734420171,38573,71635,OPL,SOP ,BOONE,2,00,"(38.966565, -92.3336166)",40,464,2691
P.R. FOODS INC.,POOR RICHARD'S BURGERS & BOOZE,960,BROOKWOOD CENTER,ST LOUIS,MO,63026,6363493438,38596,46433,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
AMVETS POST 178 INC.,AMVETS POST 178,,RICHLAND ROAD & FARM ROAD 34,BRIGHTON,MO,656179473,4177429893,38604,38605,RBDE,SBD ,GREENE,5,00,,,,
KNIGHTS OF COLUMBUS,COUNCIL 6420 COLUMBUS CLUB,28745,HWY 61,SCOTT CITY,MO,637809144,5735453549,38616,38617,RBDE,SBD ,SCOTT,4,00,"(37.206956, -89.5474636)",96,396,2213
VETERANS OF FOREIGN WARS,"POST 6760 CHARLES E. ""TYE"" EVANS",306,CHEROKEE STREET,ST JOSEPH,MO,645041425,8162388387,38738,46800,RBD,SBD ,BUCHANAN,1,00,,,,
QUIK TRIP CORPORATION,QUIK TRIP #606,3000,MID RIVERS MALL DRIVE,ST PETERS,MO,633762164,6363972506,38868,71717,OPL,SOP ,ST. CHARLES,3,00,"(38.775021, -90.62460999999999)",48,202,2177
RAPID ROBERTS INC.,RAPID ROBERTS 104,235,LAUREL RD,RIDGEDALE,MO,657394120,4173344741,39006,71394,OPL,SOP ,TANEY,5,00,,,,
RAPID ROBERTS INC.,RAPID ROBERTS 110,945,S CAMPBELL,SPRINGFIELD,MO,658063016,4178646690,39039,0,5OP,    ,GREENE,5,00,"(37.19714159999999, -93.2947591)",93,493,1960
RAPID ROBERTS INC.,RAPID ROBERTS 112,320,W SUNSHINE,SPRINGFIELD,MO,658072657,4178869500,39066,71597,OPL,SOP ,GREENE,5,00,,,,
FRATERNAL ORDER OF EAGLES 4155,AERIE 4155,,HWY 39,SHELL KNOB,MO,65747,4178586704,39119,39120,RBDE,SBD ,BARRY,5,00,,,,
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER FOODS,4201,S NOLAND ROAD,INDEPENDENCE,MO,640557332,8164783090,39123,148080,OPL,OPT ,JACKSON,1,00,"(39.043517, -94.4127685)",43,463,525
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER FOODS,4201,S NOLAND ROAD,INDEPENDENCE,MO,640557332,8164783090,39123,74250,OPL,SOP ,JACKSON,1,00,"(39.043517, -94.4127685)",43,463,525
AMVETS 117,POST 117 HALF A HILL,1005,S. ASH STREET,BUFFALO,MO,65622,4173455528,39141,39142,RBDE,SBD ,DALLAS,5,00,,,,
ALGONQUIN GOLF CLUB INC.,ALGONQUIN GOLF CLUB,340,N BERRY ROAD,ST LOUIS,MO,631224735,3149623700,39237,39238,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5875277, -90.3767403)",51,228,2210
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORES,,HWY 54 & ILLINOIS,CAMDENTON,MO,65020,5733465220,39311,71954,OPL,SOP ,CAMDEN,2,00,,,,
"HALTERMAN, SHARON",WHISKERS,944,W HWY 54,CAMDENTON,MO,65020,5733466100,39411,0,RBD,    ,CAMDEN,2,00,,,,
FRATERNAL ORDER OF EAGLES 4154,AERIE 4154,,HWY C,ADVANCE,MO,63730,5737229905,39568,39569,RBDE,SBD ,STODDARD,4,00,,,,
FRATERNAL ORDER OF EAGLES 3948,AERIE 3948,,HWY K & ZZ,AURORA,MO,65605,4176781000,39626,39627,RBDE,SBD ,LAWRENCE,5,00,,,,
IOWA BUFFET INC.,IOWA BUFFET,2727,WINNEBAGO STREET,ST LOUIS,MO,631189998,3147768000,39665,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.5884791, -90.2297961)",54,200,2223
WILLIAM A. STRAUB INC.,STRAUB MARKET,13414,CLAYTON ROAD,TOWN & COUNTRY,MO,63131,3144344707,39815,87095,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
WILLIAM A. STRAUB INC.,STRAUB MARKET,13414,CLAYTON ROAD,TOWN & COUNTRY,MO,63131,3144344707,39815,98318,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
CANNON DAM OPERATIONS INC.,CANNON DAM GENERAL STORE,42526,CABIN ROAD,"PERRY,",MO,63462,5735653432,40067,75133,OPL,SOP ,RALLS,2,00,,,,
VETERANS OF FOREIGN WARS,TOM WOLFE MEMORIAL POST 4207,5400,HIGHWAY 60,MONETT,MO,657088357,4172358394,40157,40158,RBDE,SBD ,BARRY,5,00,,,,
VETERANS OF FOREIGN WARS,TOM WOLFE MEMORIAL POST 4207,5400,HIGHWAY 60,MONETT,MO,657088357,4172358394,40157,286350,RBDE,RBDC,BARRY,5,00,,,,
SANFRED LIMITED,GIANFABIO RISTORANTE,127,HILL TOWN CENTER,CHESTERFIELD,MO,630171731,6365326686,40196,89653,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
AMERICAN LEGION 133,POST 133,98,W GRAND,PERRYVILLE,MO,637751821,5735474588,40328,40329,RBDE,SBD ,PERRY,4,00,,,,
"STOROZ, WILLIAM P. & COLLINS, JANETTE G.",NEIGHBORHOOD TAVERN,2112,S 10TH STREET,ST JOSEPH,MO,645032713,8162328060,40363,223154,RBD,SBD ,BUCHANAN,1,00,"(39.747506, -94.84833499999999)",25,77,2692
"STOROZ, WILLIAM P. & COLLINS, JANETTE G.",NEIGHBORHOOD TAVERN,2112,S 10TH STREET,ST JOSEPH,MO,645032713,8162328060,40363,223154,RBD,SBD ,BUCHANAN,1,00,"(39.747506, -94.84833499999999)",25,77,2692
VETERANS OF FOREIGN WARS,"POST 4282, FISCHER-WALTER MEMORIAL",,HWY 61 & THOMAS,PERRYVILLE,MO,63775,5735476509,40366,40367,RBDE,SBD ,PERRY,4,00,,,,
DKI INC.,DU KUM INN,111,S ELSON,KIRKSVILLE,MO,63501,6606659764,40371,137263,RBD,SBD ,ADAIR,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2557,LODGE 2557,24200,ROUTE 66,LEBANON,MO,65536,4175322557,40440,276703,RBDE,SBD ,LACLEDE,5,00,"(37.7351465, -92.5956533)",79,495,2008
"WELLS, STEVEN W.",WELLS PACKAGE STORE,,HWY 32-72 WEST,SALEM,MO,65560,5737296063,40555,270562,OPL,SOP ,DENT,4,00,,,,
RIVERSIDE ONE STOP INC.,RIVERSIDE ONE STOP,,HWY B,REVERE,MO,63465,6607546278,40641,72069,OPL,SOP ,CLARK,2,00,,,,
ARROWHEAD YACHT CLUB INC.,ARROWHEAD YACHT CLUB,396,WINNEBAGO DRIVE,LAKE WINNEBAGO,MO,640349320,8165376944,40777,40782,RBDE,SBD ,CASS,1,00,"(38.8302242, -94.3607246)",52,165,2697
VETERANS OF FOREIGN WARS,POST 3416 LAKE WAPPAPELLO,20,INDIAN HILL SUBDIVISION,WAPPAPELLO,MO,639668310,5732229867,40791,40793,RBDE,SBD ,WAYNE,4,00,,,,
FRATERNAL ORDER OF EAGLES 4034,AERIE 4034,,HWY T,PERRYVILLE,MO,63775,5735472883,40951,40954,RBDE,SBD ,PERRY,4,00,,,,
J. LOHR WINERY CORPORATION,J. LOHR WINERY,1000,LENZEN AVE,SAN JOSE,CA,951262739,4082885057,40974,0,22S,    ,OUT OF STATE,7,00,"(37.3337899, -121.9126426)",,,1334
AMVETS 113,POST 113,3756,PIMVILLE ROAD,PARK HILLS,MO,636018150,5737569685,41392,41393,RBDE,SBD ,ST. FRANCOIS,4,00,,,,
KNIGHTS OF COLUMBUS,ST. ROSE OF LIMA COUNCIL 1185,13225,HWY E,DESOTO,MO,630203624,6365862150,41422,41423,RBD,SBD ,JEFFERSON,3,00,,,,
