FACILITY,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,HOURS OF OPERATION,Location,School Districts,Missouri Counties,Counties
Monroe City Public Library,109 Second Street,Monroe City,63456,Monroe,573-735-4585,"Mon-Fri - 11:00am to 6:00pm 
- Sat - 9:00am to 12:00pm (noon)","(39.654162, -91.73425)",462,30,2126
Richmond Heights Memorial Library,8001 Dale Avenue,Saint Louis,63117,St Louis,314-645-6202,"Mon-Thu - 9:00am to 8:00pm 
- Fri and Sat - 9:00am to 5:00pm","(38.6278, -90.331764)",226,51,2210
"Kansas City, MO Public Library - Southeast Branch",6242 Swope Pkwy,Kansas City,64130,Jackson,816-701-3484,"M-F 10am-7pm, Sa 10am-5pm","(39.012921, -94.542816)",151,43,525
Palmyra Senior Center,219 West Ross Street,Palmyra,63461,Marion,573-769-3358,Mon-Fri - 8:00am to 1:00pm,"(39.794014, -91.525177)",460,24,2122
Schuyler County Nutrition Center,200 Marion Street (PO Box 102),Lancaster,63548,Schuyler,660-457-3066,Mon-Fri - 7:00am to 4:00pm,"(40.523036, -92.528493)",13,4,541
Clever Community Library Branch,7450 W Veterans Blvd,Clever,65631,Christian,417-743-2277,"Mon-Thurs - 9:00am to 7:00pm
Fri-Sat - 9:00am to 6:00pm","(37.037374, -93.476241)",424,101,515
Concordia Senior Center,710 S. Main St,Concordia,64020,Lafayette,660-463-7393,Mon-Fri 8:30am to 2:00pm,"(38.98206, -93.568487)",473,42,2116
"The Kitchen, Inc: Rare Breed Youth Services",301 N Main Ave,Springfield,65806,Greene,417-865-6400,Mon-Fri 11:00am - 5:00pm,"(37.209979, -93.296699)",493,93,1960
Grand River YMCA,1725 Locust,Chillicothe,64601,Livingston,660-646-6677,"Begins the First Saturday of October (Winter Hours)
- Mon-Thu - 5:00am to 8:30pm
- Fri - 5:00am to 7:30pm
- Sat - 7:00am to  6:00pm
- Sun - 1:00pm to 5:00pm

Begins the First Saturday of May (Summer Hours)
- Mon-Thu - 5:00am to 8:30pm
- Fri - 5:00am*","(39.804939, -93.551282)",63,22,2119
St. Charles City County Library District Kisker Road Branch,1000 Kisker Road,Saint Charles,63304,St Charles,636-926-7323,"Mon-Thu - 9:00am to 7:00pm
Fri and Sat - 9:00am to 5:00pm","(38.726061, -90.618357)",202,48,2177
Greene County Senior Citizens Center,320 S 5th St,Carrollton,62016,Greene,217-942-6414,Mon-Fri - 8:00am to 1:00pm,"(39.301899, -90.407547)",,,1873
Dent County Health Center,1010 E Scenic Rivers Blvd,Salem,65560,Dent,573-729-3106,Mon - Fri 10:00am to 4:30pm,"(37.635986, -91.524371)",347,81,1956
St. Louis County Library Meramec Valley Branch,1501 San Simeon Way,Fenton,63026,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.52190829, -90.46475331)",219,51,2210
"Senior Citizens Of Holt County, Inc",613 State Street,Mound City,64470,Holt,660-442-3324,Mon-Fri - 7:00am to 3:00pm,"(40.131619, -95.232859)",39,14,1963
Bonne Terre Memorial Library,5 Southwest Main Street,Bonne Terre,63628,St Francois,573-358-2260,Mon - Wed and Fri  - 10:00am to 6:00pm,"(37.921607, -90.551151)",311,74,540
St. Louis County Library Daniel Boone Branch,300 Clarkson Rd,Ballwin,63011,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm, Sept-May only","(38.601923, -90.586543)",219,51,2210
Dixon Area Caring Center,206 S Elm St,Dixon,65459,Pulaski,573-759-3023,"Mon-Fri - 9:00am to 5:00pm
Sat - 9:00am to 1:00pm","(37.99378, -92.097243)",306,75,2171
Osage County Health Department,205 E Main St,Linn,65051,Osage,573-897-2139 x312,Mon-Fri - 8:00am to 4:30pm,"(38.486226, -91.852539)",233,55,2165
St. Joseph Public Library - Carnegie Library,316 Massachusetts St,Saint Joseph,64504,Buchanan,816-238-0526,M-F 10am-6pm,"(39.716341, -94.866258)",77,25,2692
Brighton Memorial Library District,110 North Main Street,Brighton,62012,Macoupin,618-372-8450,"- Mon, Wed, and Fri - 10:00am to 4:00pm
- Tue and Thu - 12:0ppm(Noon) to 6:00pm","(39.039558, -90.141441)",,,1748
"Kansas City, MO Public Library - Sugar Creek Branch",102 South Sterling,Independence,64054,Jackson,816-701-3489,Call for information,"(39.109388, -94.445247)",463,43,525
Wright County Library,125 Court Square,Hartville,65667,Wright,417-741-7595,"Mon - Fri 8:00am to 12:00pm (noon) and 12:30pm to 4:30pm
Sat 8:00am to 12:00pm (noon)","(37.250206, -92.510711)",372,90,546
Barton County Senior Center,306 West 11th Street,Lamar,64759,Barton,417-682-3881,Mon-Fri - 8:00am to 2:00pm,"(37.494831, -94.279875)",351,84,2650
Canton Public Library,403 Lewis Street,Canton,63435,Lewis,573-288-5279,"Tue-Fri - 9:00am to 6:00pm
Sat - 10:00am to 2:00pm","(40.130199, -91.51886)",478,16,2117
Granite City Township,2060 A Delmar Ave,Granite City,62040,Madison,618-877-0513,"- Mon-Thu - 8:00am to 4:00pm
- Fri - 8:00am to 3:15pm","(38.702808, -90.14852)",,,1749
Seneca Branch Library,1216 Cherokee Avenue,Seneca,64865,Newton,417-776-2705,"Mon Closed
Tue - Fri 11:00am to 6:00pm
Sat 9:00am to 12:00pm (noon)","(36.840263, -94.611495)",431,103,2129
Dexter Library,402 West Grant,Dexter,63841,Stoddard,573-624-3764,"Mon - Wed and Fri 10:00am to 5:00pm
Thu 10:00am to 6:00pm
Sat 10:00am to 2:00pm","(36.789389, -89.964542)",452,98,2215
Rogersville Area Senior Center,197 S Marshall,Rogersville,65742,Webster,417-753-7800,Mon-Fri - 8:00am to 3:30pm,"(37.11592, -93.074682)",475,93,1960
Caldwell County Senior Center,410 Main Street,Polo,64671,Caldwell,660-354-2213,Mon-Fri - 7:00am to 2:00pm,"(39.553758, -94.039365)",96,26,512
Howell County Health Department,180 S Kentucky Ave,West Plains,65775,Howell,417-256-7078,Mon-Fri - 8:00am to 5:00pm,"(36.727624, -91.875051)",508,104,1965
Carrollton Public Library,1 N Folger St,Carrollton,64633,Carroll,660-542-0183,"Mon, Tue, Thu, Fri - 9:00am to 5:30pm
- Wed - 9:00am to 8:00pm
- Sat - 9:00am to 1:00pm
- Sun - 1:00pm to 5:00pm","(39.358596, -93.497181)",109,31,2696
Moberly Public Library,111 North Fourth Street,Moberly,65270,Randolph,660-263-4426,"Mon, Tue, Thu - 9:00am to 8:00pm
- Wed, Fri, 9:00am to 6:00pm
- Sat - 9:00am to 4:00pm","(39.419174, -92.440659)",112,33,538
La Plata Public Library,103 East Moore Street,La Plata,63549,Macon,660-332-4945,"Tue and Thu 9:00am to 1:00pm 
- Wed and Fri 2:00pm to 6:00pm","(40.02354, -92.491263)",48,20,2120
Crocker Library,602 North Commercial,Crocker,65452,Pulaski,573-736-5592,"Mon - 1:00pm to 5:00pm
Tue - 9:00am to 7:00pm
Wed-Thu - 9:00am to 6:00pm 
Fri 9:00am to 5:00pm
Sat 9:00am to 1:00pm","(37.956258, -92.263591)",486,75,2171
Hayner Public Library District Alton Square,132 Alton Square Drive,Alton,62002,Madison,618-462-0677,"Mon-Sat - 8:30am to 9:00pm
Sun - 12:00pm (noon) to 6:00pm","(38.923986, -90.174965)",,,1749
Warsaw Senior Center,17571 N. Dam Access Road,Warsaw,65355,Benton,660-438-3300,Mon-Fri - 8:00am to 4:00pm,"(38.265543, -93.378861)",278,61,511
Conway Senior Center,105  W. Jefferson Street,Conway,65632,Laclede,417-589-2079,Mon-Fri - 8:00am to 3:00pm,"(37.50217, -92.820878)",350,79,2008
Cabool Senior Center,910 Cherry Street,Cabool,65689,Texas,417-962-3860,Mon-Fri - 8:00am to 3:30pm,"(37.122656, -92.107302)",480,88,544
InterServ,5400 King Hill Avenue,Saint Joseph,64504,Buchanan,816-238-4511,M-F 8am-5pm,"(39.719142, -94.862414)",77,25,2692
Cole Camp Branch,701 West Main Street,Cole Camp,65325,Benton,660-668-3887,"Tue, Thu - 10:00am to 6:00pm
Wed - 1:00pm to 6:00pm
Sat - 9:00am to 2:00pm","(38.460377, -93.21427)",234,61,511
Feed My People South County,171 Kingston Drive,Saint Louis,63125,St Louis,314-631-4900,Tue - Fri 10:00am to 4:00pm,"(38.520361, -90.28076)",244,51,2210
Rivers Crossing Life Center,5215 Business Hwy 13 NE,Osceola,64776,St Clair,417-646-8292,Mon-Fri - 8:00am to 2:00pm,"(38.042252, -93.686285)",304,69,539
Jamesport Branch Library,101 E. Main,Jamesport,64648,Daviess,660-684-6120,"Thu - 12:00pm (noon) to 6:00pm
- Fri - 12:00pn (noon) - 5:00pm
- Sat - 9:00am to 1:00pm","(39.975828, -93.800891)",52,18,1955
Strafford Senior Center,201 West Bumgarner,Strafford,65757,Greene,417-736-9898,Mon-Fri - 8:00am to 3:30pm,"(37.26584, -93.118238)",387,93,1960
Chesterfield Family Center,2511 W. Republic Road,Springfield,65807,Greene,417-891-1616,Mon-Fri - 5:00am to 9:00 pm; Saturday - 7:00am to 8:00pm; Sunday 10:00am to 6:00pm,"(37.13944983, -93.32925526)",493,93,1960
Ozarks Regional YMCA - Lebanon Family YMCA,500 E. Elm St.,Lebanon,65536,Laclede,417-588-1177,"Mon-Fri -6:00am to 1:00pm
Sat - 8:00am to 12:00pm","(37.680087, -92.654345)",495,79,2008
North East Community Action Corporation Montgomery County Service Center,137 Farnen Road,Montgomery City,63361,Montgomery,573-564-3606,Mon-Fri - 8:00am to 5:00pm,"(38.989315, -91.515929)",154,44,533
"Main Street Community Center, Inc.",1003 North Main Street,Edwardsville,62025,Madison,618-656-0300,Mon-Fri - 8:00am to 3:00pm,"(38.817848, -89.963423)",,,1749
Wayne County Health Center,115 Hickory Street,Greenville,63944,Wayne,573-224-3218,"Mon-Fri - 8:00am to 4:30pm
Closed for Lunch - 11:30am to 12:00pm (Noon)","(37.129878, -90.456386)",389,95,2220
St. Louis Public Library Carondelet Branch,6800 Michigan Ave,Saint Louis,63111,St Louis City,314-752-9224,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.554943, -90.254199)",200,54,2223
Hannibal Free Public Library,200 South Fifth Street,Hannibal,63401,Marion,573-221-0222,"Mon and Tue - 10:00am to 8:00pm
Wed-Sat - 10:00am to 6:00pm","(39.707374, -91.358323)",477,24,2122
St. Louis Public Library Machacek Branch,6424 Scanlan Ave,Saint Louis,63139,St Louis City,314-781-2948,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.605078, -90.297787)",200,54,2223
Gainesville - Ozark County Senior Center,516 County Road 800,Gainesville,65655,Ozark,417-679-4746,Mon-Fri - 8:00am to 3:30pm,"(36.611094, -92.438127)",512,112,2166
Republic Senior Friendship Center,210 East Hines,Republic,65738,Greene,417-732-7672,Mon-Fri - 8:00am to 3:30pm,"(37.125424, -93.477698)",492,93,1960
Galena Area Library,322 West State Highway 248,Galena,65656,Stone,417-357-6410,"Mon - 8:00am to 8:00pm
Tue, Thu and Fri 8:00am to 7:00pm
Wed - 8:00am to 4:30pm
Sat 8:00am to 12:00pm (noon)","(36.805958, -93.467235)",444,105,2216
Pineville Library,808 Bailey Road,Pineville,64856,McDonald,417-223-4489,"Mon - Thu 9:00am to 6:00pm
Fri 1:00pm to 6:00pm
Sat 9:00am to 3:00pm","(36.597216, -94.384001)",519,113,530
Stoutland Senior Center,306 South Highway T,Stoutland,65567,Laclede,417-286-3880,Mon-Fri - 8:00am to 2:00pm,"(37.811368, -92.513258)",466,79,2008
Morehouse Branch Library,204 West Beech Street,Morehouse,63868,New Madrid,573-379-3583,Tues and Fri 1:00pm to 5:00pm,"(36.844871, -89.692401)",497,108,2128
North Jefferson County Ambulance District,3131 Rock Creek Road,High Ridge,63052,Jefferson,636-677-3399,Mon - Fri 8:00am to 10:00pm,"(38.454298, -90.532904)",256,62,1967
Saline Valley Fire Protection District Station 1,1771 Springdale Boulevard,Fenton,63026,Jefferson,636-343-9300,Mon - Sun 7:00am to 7:00pm,"(38.478452, -90.441508)",255,62,1967
Maries County Library - Vienna,315 Third Street,Vienna,65582,Maries,573-422-9866,"Tue, Wed, Fri 1:00pm to 5:00pm
Thu 1:00pm to 7:00pm
Sat 9:00am to 1:00pm","(38.184855, -91.947074)",282,65,531
Miller Branch Library,112 East Main Street,Miller,65707,Lawrence,417-452-3466,"Tue, Wed and Fri 9:00am to 12:30pm and 1:00pm to 5:00pm","(37.214803, -93.84101)",394,97,528
Richland Library,111 West Camden Avenue,Richland,65556,Pulaski,573-765-3642,"Tue 9:00am to 7:00pm
Wed and Thu 9:00am to 6:00pm
Fri 9:00am to 5:00pm
Sat 9:00am to 1:00pm","(37.857378, -92.403818)",468,75,2171
Shannon County Health Center,18018 Grey Jones Drive,Eminence,65466,Shannon,573-226-3914,"Mon-Fri - 7:30am to 4:00pm
First Tuesday of the month - 7:30am to 6:00pm","(37.147828, -91.356922)",379,92,542
State of Illinois: Department of Human Services St. Clair County East St. Louis Family Center,225 North 9th Street,East Saint Louis,62201,St Clair,618-583-2300,Mon-Fri - 8:30am to 5:00pm,"(38.623309, -90.154299)",,,1797
Sedalia Senior Center,1800 W. 3rd St.,Sedalia,65301,Pettis,660-826-0713,Mon-Fri - 8:00am to 4:00pm,"(38.709571, -93.247736)",201,50,535
Houston Senior Center,301 S. Grand,Houston,65483,Texas,417-967-4119,Mon-Fri - 8:00am to 3:30pm,"(37.324914, -91.956678)",377,88,544
St. Louis County Library Grand Glaize Branch,1010 Meramec Station Rd,Ballwin,63021,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.570639, -90.497736)",208,51,2210
Carthage Public Library,612 South Garrison,Carthage,64836,Jasper,417-237-7040,"Mon - Tue 9:00am to 5:00pm
Wed - Fri 9:00am to 5:00pm
Sat 9:00am to 4:00pm","(37.174302, -94.313651)",398,94,1966
Salvation Army of St. Clair County,20 Glory Place,Belleville,62226,St Clair,618-235-7378,Mon-Thu - 9:00am to 12:00pm (noon) and 1:00pm to 4:00pm,"(38.528868, -90.012249)",,,1797
Montgomery City Library,224 North Allen Street,Montgomery City,63361,Montgomery,573-564-8022,"Mon-Thu - 8:30am to 6:00pm
Fri - 8:30am to 5:00pm
Sat - 9:00am to 1:00pm","(38.977779, -91.506307)",154,44,533
Cooling/Warming Center - Ray County Fellowship Center,1015 W Royle,Richmond,64085,Ray,816-470-5808,M-F 8am-4pm  Hours may be extended during extreme weather,"(39.27316, -93.989794)",116,34,2174
Westside Senior Center,1501 Highway O,Laurie,65038,Morgan,573-372-3588,Mon-Fri - 8:00am to 4:00pm,"(38.220871, -92.801721)",245,57,2127
City of Southwest City,302 South Main,Southwest City,64863,McDonald,417-762-3767,Mon-Fri - 8:00am to 5:00pm,"(36.513599, -94.611278)",519,113,530
Webster County Library District Rogersville Branch,104 North Beatie Street,Rogersville,65742,Webster,417-753-3220,"Mon, Wed - 10:00am to 6:00pm
Tue, Thu - 10:00am to 7:00pm
Fri - 10:00am to 5:00pm
Sat 10:00am - 2:00pm","(37.118993, -93.056764)",475,91,2221
Caruthersville Public Library,707 West 13th Street,Caruthersville,63830,Pemiscot,573-333-2480,"Mon, Wed, Thur, Fri 9:30am-5:30pm
Tue 9:30am to 7:30pm
Sat 9:30am to 1:30pm
Sun 1:00pm to 4:00pm","(36.184663, -89.664888)",555,115,2167
YMCA - Platte County Community Center South,8875 Clark Ave,Parkville,64152,Platte,816-505-2622,M-Th 5am-9pm; F 5am-8pm; Sa 7am-6pm; Su 10am-5pm,"(39.206186, -94.68444)",132,35,2170
Vandalia Branch Library,312 South Main,Vandalia,63382,Audrain,573-594-6600,"Mon-Fri - 9:00am to 5:30pm
- Sat - 9:00am to 1:00pm","(39.307721, -91.485962)",120,37,510
Waynesville/St. Roberts Senior Center,1401A Ousley Rd,Waynesville,65583,Pulaski,573-774-2668,Mon-Fri - 8:00am to 2:00pm,"(37.82727, -92.187891)",5,75,2171
Eminence Senior Center,108 Grey Jones,Eminence,65466,Shannon,573-226-3839,Mon-Fri - 8:00am to 3:30pm,"(37.148596, -91.357285)",379,92,542
Dulany Memorial Library,101 North Main,Paris,65275,Monroe,660-327-4707,"Mon, Tue, Fri - 12:00pm (noon) to 5:00pm
- Tue - 9:30pm to 5:00pm
- Thu - 12:00pm (noon) to 7:00pm
- Sat - 9:00am to 12:00pm (noon)","(39.480863, -92.000553)",101,30,2126
Seymour Community Library,320 East Clinton Avenue,Seymour,65746,Webster,417-935-4193,"Mon - Fri 9:00am to 6:00pm
Sat 9:00am to 1:00pm","(37.149289, -92.76371)",397,91,2221
Six Mile Regional Library,2001 Delmar Avenue,Granite City,62040,Madison,618-452-6238,"- Mon - 9:00am to 6:00pm 
- Tue, Wed and Thurs - 11:00am to 8:00pm 
- Fri and Sat - 9:00am to 6:00pm","(38.702342, -90.149748)",,,1749
Fairmont City Hall,2601 North 41st Street,East Saint Louis,62201,St Clair,618-274-4504,Mon-Fri - 8:00am to 4:00pm,"(38.645515, -90.107979)",,,1797
Covenant House Missouri,2727 North Kingshighway Boulevard,Saint Louis,63113,St Louis City,314-533-2241,Mon - Fri 3:00pm to 6:00pm,"(38.669726, -90.257015)",200,54,2223
Oak Street Health - State Street,2420 State St.,East St Louis,62205,St Clair,618-732-2428,Mon-Fri - 8:00am to 5:00pm,"(38.61447977, -90.12597796)",,,1797
Jefferson County Library District - Windsor Branch Library,7479 Metropolitan Boulevard,Barnhart,63012,Jefferson,636-461-1914,"Mon-Thu - 9:00am to 9:00pm
Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm","(38.331668, -90.401121)",265,62,1967
Hope Faith - Cooling Site,705 Virginia Ave,Kansas City,64106,Jackson,816-471-4673,Mon - Sat 7:30am to 2:00pm,"(39.105206, -94.565858)",151,43,525
Park Central Branch Library,128 Park Central Square,Springfield,65806,Greene,417-831-1342,Mon-Sat - 8:30am to 6:00pm,"(37.208528, -93.292748)",493,93,1960
Strafford Branch Library,101 South State Highway 125,Strafford,65757,Greene,417-736-9233,Mon-Sat - 8:30am to 6:00pm,"(37.27092, -93.114218)",387,93,1960
South Side Senior Center,2215 South Fremont,Springfield,65804,Greene,417-890-1313,Mon-Fri - 8:00am to 3:30pm,"(37.173355, -93.272042)",493,93,1960
St. Louis County Library Mid County Branch,7821 Maryland Avenue,Saint Louis,63105,St. Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.65204, -90.337615)",223,51,2210
Silver Strands Senior Center,133 West State Street,Palmyra,62674,Macoupin,217-436-2497,Mon-Fri - 8:00am to 1:00pm,"(39.434465, -89.996226)",,,1748
Marshall Senior Center,14 E. Morgan,Marshall,65340,Saline,660-886-9888,Mon-Fri 8:00am to 2:00pm,"(39.119255, -93.19679)",148,38,2211
Alton Multi-Purpose Senior Center,204 South Main Street,Alton,65606,Oregon,417-778-7342,Mon-Fri - 8:00am to 3:30pm,"(36.692842, -91.397645)",454,109,534
Lesterville Library,33285 Highway 21,Lesterville,63654,Reynolds,573-637-2532,"Tue and Thu - 8:00am to 12:00pm (noon) and 12:30pm to 4:30pm
Wed - 8:00am to 12:00pm (noon)","(37.453912, -90.846764)",359,87,2175
Joplin Senior Center,2616 S. Picher Ave.,Joplin,64804,Jasper,417-781-9353,"7:30 am to 3:30 pm, lunch served at 11:30 M-F","(37.066833, -94.522554)",490,94,1966
City of Sugar Creek - Mike Onka Memorial Building,11520 Putnam,Sugar Creek,64054,Jackson,816-252-4400,M-F 9am-5pm,"(39.118672, -94.438571)",463,43,525
Nevada Public Library,212 West Walnut Street,Nevada,64772,Vernon,417-448-2770,"Mon, Wed and Fri 9:00am to 5:00pm
Tue and Thu 9:00am to 8:00pm
Sat 9:00am to 1:00pm","(37.839433, -94.358203)",313,73,2218
Lockwood Public Library,721 South Main,Lockwood,65682,Dade,417-232-4204,Mon - Fri 9:00am to 5:00pm,"(37.386371, -93.953472)",361,89,518
Lebanon Laclede County Library,915 S. Jefferson Ave.,Lebanon,65536,Laclede,417-532-2148,"Mon - Thu 10:00am to 6:00pm
Fri and Sat 10:00am to 5:00pm","(37.67209, -92.65558)",495,79,2008
Oregon County Health Department Alton,4 Court Square,Alton,65606,Oregon,417-778-7450,Mon-Fri - 8:00am to 4:00pm [Closed 12:00pm (Noon) to 1:00pm for Lunch],"(36.693871, -91.398097)",454,109,534
Phelps Maries County Health Department,200 North Main,Rolla,65401,Phelps,573-458-6010,Mon-Fri - 8:00am to 5:00pm,"(37.945824, -91.774011)",307,70,536
Carter County Health Center,1611 Health Center Drive,Van Buren,63965,Carter,573-323-4413,Mon-Thurs 7:30am to 5:30pm,"(37.008976, -90.999432)",416,100,514
Valley Park Library,55 2nd Street,Valley Park,63088,St Louis,636-225-5608,"Mon-Wed - 10:00am to 6:00pm
Thu - 10:00am to 7:00pm
Fri - 10:00am to 5:00pm
Sat - 10:00am to 2:00pm","(38.5505, -90.489474)",242,51,2210
Five Star Senior Center SLAAA,2832 Arsenal Street,Saint Louis,63118,Saint Louis City,314-664-1008,Mon-Fri - 8:00am to 3:00pm,"(38.600411, -90.230065)",200,54,2223
Marceline Carnegie Library,119 East California Avenue,Marceline,64658,Livingston,660-376-3223,Mon-Fri - 9:00am to 5:00pm,"(39.715841, -92.948523)",80,21,529
Jefferson County Health Department Hillsboro,405 Main Street,Hillsboro,63050,Jefferson,636-797-3737,Mon-Fri - 8:00am to 5:30pm,"(38.232245, -90.564742)",268,62,1967
St. Charles City County Library District Library Express at Winghaven,7435 Village Center Drive,O Fallon,63368,St Charles,636-561-3385,"Mon-Thu - 9:00am to 7:00pm
Fri and Sat - 9:00am to 5:00pm","(38.74315, -90.73484)",173,48,2177
Korth Senior Center,309 West Englewood,Stockton,65785,Cedar,417-276-5306,Mon-Fri - 9:00am to 3:00pm,"(37.68724, -93.800808)",332,77,2698
Joplin Public Library,1901 E 20th St,Joplin,64804,Jasper,417-623-7953,Sun 1:00pm to 5:00pm; Mon and Wed 9:00am to 6:00pm; Tue and Thurs 9:00am to 8:00pm; Fri and Sat 9:00am to 5:00pm,"(37.069639, -94.49367)",490,94,1966
Wood River Roundhouse Wood River Parks and Recreation,633 N Wood River Ave,Wood River,62095,Madison,618-251-3130,"Mon-Fri - 8:00am to 5:00pm
Closed 12:00pm (Noon) to 1:00pm for lunch","(38.868717, -90.097979)",,,1749
Warrensburg Senior Center,"445 E. Gay, Suite 128",Warrensburg,64093,Johnson,660-747-2624,Mon-Fri - 8:00am to 3:00pm,"(38.765343, -93.726699)",185,49,526
Southern Boone County Public Library,109 North Main,Ashland,65010,Boone,573-657-7378,"Mon-Thu - 9:00am to 7:00pm
- Fri - 9:00am to 6:00pm
- Sat - 9:00am to 3:00pm","(38.775447, -92.262593)",194,40,2691
Park Hills Public Library,16 South Coffman Street,Park Hills,63601,St Francois,573-431-4842,"Mon and Tue 10:00am to 7:00pm
Wed - Fri 11:00am to 5:00pm
Sat 9:00am to 12:00pm (noon) (Only through the school year)","(37.850586, -90.521138)",321,74,540
Dade County Library,209 South Main Street,Greenfield,65661,Dade,417-637-5334,Call for information,"(37.413205, -93.840486)",362,89,518
"Community Services, Inc. Nodaway County",1212 B South Main Street,Maryville,64468,Nodaway,660-582-3113,Mon-Fri - 8:00am to 4:30pm,"(40.333529, -94.874276)",1,5,2130
Worth County Library,510 East Avenue,Grant City,64456,Worth,660-564-2655,Mon-Fri - 1:30pm to 5:30pm,"(40.484109, -94.406653)",16,7,2222
St. Louis Public Library Carpenter Branch,3309 S Grand Blvd,Saint Louis,63118,St Louis City,314-772-6586,"Mon-Thu – 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.596571, -90.243452)",200,54,2223
Ozarks Regional YMCA - Monett Area YMCA,115 South Lincoln Avenue,Monett,65708,Barry,417-235-8213,Mon-Fri - 6:00am to 1:00pm and 3:00pm to 8:00pm,"(36.909655, -93.926848)",429,107,2649
Crane Library Branch,201 Main Street,Crane,65633,Stone,417-723-8261,"Mon, Tue, Thu Fri - 9:00am to 6:00pm; Wed 9:00am to 5:00pm; Sat 9:00am to 1:00pm","(36.905027, -93.572647)",442,105,2216
Webster County Library District,219 West Jackson Street,Marshfield,65706,Webster,417-859-5679,"Mon, Wed - 9:00am to 6:00pm
Tue, Thu - 9:00am to 8:00pm
Fri, Sat - 9:00am to 5:00pm","(37.337871, -92.908231)",371,91,2221
Aging Ahead Washington Senior Center,1459 West Fifth Street,Washington,63090,Franklin,800-243-6060,Mon-Fri - 9:00am to 3:00pm,"(38.555372, -91.033134)",220,59,1958
Cape Girardeau Public Library,711 North Clark,Cape Girardeau,63701,Cape Girardeau,573-334-5279,"Mon-Thu - 9:00am to 9:00pm 
Fri-Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(37.314643, -89.54763)",382,86,2695
"Linwood YMCA/James B. Nutter, Sr. Community Center",3800 E Linwood Blvd,Kansas City,64128,Jackson,816-923-5675,M-Th 6am-8pm; F 6am-7pm; Sa-Su 9am-3pm,"(39.067618, -94.538783)",151,43,525
Mexico Senior Center,606 East Park Street,Mexico,65265,Audrain,573-581-7743,Mon-Fri - 8:00am to 4:00pm,"(39.165406, -91.878216)",127,37,510
Kirkwood Public Library,140 East Jefferson Avenue,Saint Louis,63122,St Louis,314-821-5770,"Mon-Thu - 9:00am to 9:00pm
 Fri and Sat - 9:00am to 5:00pm
 Sun - 1:00pm to 5:00pm","(38.582037, -90.404552)",229,51,2210
