Permit Number,Permit Type,Issued,Address,City,State,Zipcode,Applicant,Contractor License Number,License Type,Fees,Value of Work,Plans Submitted,SBL,Land Use,Inspector,Expiration Date,Description of Work,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,Police Districts,Tracts,Council Districts,Zip Codes,Block Groups,Blocks,Local Historic Districts,Neighborhoods,Neighborhoods ,Tax Districts
ELEC17-9437814,ELECTRICAL,09/12/2017,32 GALLATIN,BUFFALO,NY,14207,MICHAEL J MURPHY,MEL11-551521,MASTER ELECTRICIAN,100.00,200.00,0,0775700005031000,210,CHARLES   MOORE,03/12/2018,National Grid Acct# 649 631 5172Meter release for 1 family house,"(42.95038868840524, -78.90166400547469)",42.95038868840524,-78.90166400547469,NORTH,District D,57,3,3008,Riverside,5,9,1,10,204,1941,,50,18,1
ELEC17-9426767,ELECTRICAL,02/07/2017,148 LOCUST,BUFFALO,NY,14204,RIES ELECTRICAL CONSTRUCTION,MEL11-210581,MASTER ELECTRICIAN,75.00,1000.00,0,1112400004008000,210,CHARLES   MOORE,08/07/2017,1 SMOKE DETECTOR HARDWIRE REPAIRS,"(42.89776903102042, -78.860861863249)",42.89776903102042,-78.860861863249,ELLICOTT,District B,31,3,3014,Fruit Belt,1,35,4,16,18,2112,,55,32,9
ELEC17-9432913,ELECTRICAL,05/31/2017,93 CANTWELL,BUFFALO,NY,14220,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-552373,MASTER ELECTRICIAN,75.00,110.00,0,1337100005017000,210,CHARLES   MOORE,11/30/2017,Wire above ground pool,"(42.835469771142954, -78.82105529412587)",42.835469771142954,-78.82105529412587,SOUTH,District A,6,3,3004,South Park,4,74,6,9,180,2306,,2,33,12
ELEC17-9431902,ELECTRICAL,06/01/2017,89 SCHILLER,BUFFALO,NY,14206,SIMON ELECTRIC CO INC,MEL11-210490,MASTER ELECTRICIAN,75.00,400.00,0,1125100005033000,210,CHARLES   MOORE,12/01/2017,Remount outside serviceESR # 24011758  Phone 730-9740,"(42.8874004107619, -78.80114757936684)",42.8874004107619,-78.80114757936684,LOVEJOY,District C,23,1,1001,Lovejoy,3,3,2,17,163,1698,,23,8,11
ELEC17-9427154,ELECTRICAL,02/16/2017,468 PLYMOUTH,BUFFALO,NY,14213,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,75.00,1200.00,0,0995000005014000,210,CHARLES   MOORE,08/16/2017,Install 100 amp service single house esr#23602367and any additional wiring as needed,"(42.90955571783493, -78.89318719596952)",42.90955571783493,-78.89318719596952,NIAGARA,District B,69.01,4,4001,West Side,1,41,3,2,265,269,,40,29,4
ELEC17-9426296,ELECTRICAL,01/20/2017,500 PARKER,BUFFALO,NY,14216,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,125.00,11952.00,0,0785200004007100,620,CHARLES   MOORE,07/20/2017,"Install lights, switches and fire alarm devices in gym and kitchen area","(42.95270219519082, -78.8389023260627)",42.95270219519082,-78.8389023260627,UNIVERSITY,District D,45,3,3003,Central Park,5,64,8,5,240,49,,37,24,2
ELEC17-9441988,ELECTRICAL,10/27/2017,109 LEDGER,BUFFALO,NY,14216,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,100.00,1100.00,0,0787000003016000,210,CHARLES   MOORE,04/27/2018,100 amp service replacement ESR - 25266976,"(42.94712390219303, -78.87419545918667)",42.94712390219303,-78.87419545918667,NORTH,District D,50,1,1005,North Park,5,70,1,5,94,2746,,5,25,2
ELEC17-9427846,ELECTRICAL,03/09/2017,43 SCHMARBECK,BUFFALO,NY,14212,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,75.00,200.00,0,1122200004030000,220,CHARLES   MOORE,09/09/2017,lower front meter release # 50051-35432,"(42.89603840562988, -78.82628316345055)",42.89603840562988,-78.82628316345055,FILLMORE,District C,28.01,1,1006,Genesee-Moselle,3,66,5,8,183,544,,7,1,11
ELEC17-9441231,ELECTRICAL,10/11/2017,534 COLVIN,BUFFALO,NY,14216,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,125.00,500.00,0,0784800001043100,433,CHARLES   MOORE,04/11/2018,Meter inspectionAcct. # 4516326135,"(42.95521601523554, -78.85899410808024)",42.95521601523554,-78.85899410808024,DELAWARE,District D,51,2,2003,North Park,5,46,7,5,129,210,,28,25,2
ELEC17-9432653,ELECTRICAL,05/24/2017,325 DELAWARE,BUFFALO,NY,14202,C I R ELECTRICAL CONST CORP,MEL11-210565,MASTER ELECTRICIAN,125.00,1.00,0,1113000007002100,464,CHARLES   MOORE,11/24/2017,ADD NEW UPS AND 4 ROOF TOP CONDENSORS,"(42.89326289055036, -78.87585497822134)",42.89326289055036,-78.87585497822134,ELLICOTT,District B,165,2,2007,Central,1,77,4,3,31,577,,15,4,9
ELEC17-9433726,ELECTRICAL,06/22/2017,62 YORK,BUFFALO,NY,14213,L & L ELECTRIC CONSTRUCTION,MEL11-195084,MASTER ELECTRICIAN,100.00,1.00,0,0996800001008000,281,CHARLES   MOORE,12/22/2017,New double 150 amp service hardwired smokes/CO detectors laundry kitchen bathroom circuits,"(42.90402391811038, -78.8868748231635)",42.90402391811038,-78.8868748231635,NIAGARA,District B,69.04,2,2005,West Side,1,17,3,2,201,2248,,40,29,4
ELEC17-9429905,ELECTRICAL,05/05/2017,216 COIT,BUFFALO,NY,14212,SIMON ELECTRIC CO INC,MEL11-210490,MASTER ELECTRICIAN,75.00,225.00,0,1115100004005000,210,CHARLES   MOORE,11/05/2017,Reset single meterEMO# 93451-32166   Phone 545-3456,"(42.889307570925155, -78.8431030979785)",42.889307570925155,-78.8431030979785,FILLMORE,District C,16.02,1,1009,Broadway Fillmore,3,34,5,8,251,1495,,16,23,10
ELEC17-9441417,ELECTRICAL,10/16/2017,575 MAIN,BUFFALO,NY,14202,ELECTRICAL SERVICE & SYSTEMS,MEL11-195077,MASTER ELECTRICIAN,125.00,80000.00,0,1114600003001111,463,CHARLES   MOORE,04/16/2018,RENOVATION OF 2ND FLOOR MEZZANINE FOR RENOVATIONS TO LIGHTING AND ELECTRICAL INSTALLATIONS,"(42.889534546878025, -78.87304562676182)",42.889534546878025,-78.87304562676182,ELLICOTT,District B,165,2,2016,Central,1,77,4,14,31,2104,,15,4,9
ELEC17-9442759,ELECTRICAL,11/16/2017,387 RILEY,BUFFALO,NY,14208,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,100.00,200.00,0,1005000006017000,210,CHARLES   MOORE,05/16/2018,"meter release, act. # 58501-06227","(42.909310462476476, -78.85192013867378)",42.909310462476476,-78.85192013867378,ELLICOTT,District C,33.02,1,1007,Masten Park,3,65,4,22,259,2408,,39,16,6
ELEC17-9427852,ELECTRICAL,03/09/2017,101 DOWNING,BUFFALO,NY,14220,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,75.00,2000.00,0,1337900002006100,210,CHARLES   MOORE,09/09/2017,200 amp 120/240 volt service.,"(42.83469928317662, -78.81993529395494)",42.83469928317662,-78.81993529395494,SOUTH,District A,6,4,4004,South Park,4,74,6,9,179,624,,2,33,12
ELEC17-9431665,ELECTRICAL,05/01/2017,84 PUTNAM ST,BUFFALO,NY,14213,MCCARTNEY ELECTRICAL CONT.CORP,MEL11-210538,MASTER ELECTRICIAN,75.00,11000.00,0,0992800002014000,220,CHARLES   MOORE,11/01/2017,SMOKE DETECTORS LIGHTS AND PLUGS,"(42.91890633594771, -78.88445162642256)",42.91890633594771,-78.88445162642256,NIAGARA,District D,65.01,3,3001,Elmwood Bidwell,5,49,3,2,104,1293,,14,27,3
ELEC17-9444822,ELECTRICAL,12/19/2017,825 FERRY EAST,BUFFALO,NY,14211,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,100.00,10000.00,0,1013700001007000,330,CHARLES   MOORE,06/19/2018,"service ESR # 25505437, and complete wiring","(42.91449695655827, -78.83355175958278)",42.91449695655827,-78.83355175958278,MASTEN,District C,34,4,4001,MLK Park,3,47,9,4,207,2823,,19,35,6
ELEC17-9433308,ELECTRICAL,06/12/2017,935 BAILEY,BUFFALO,NY,14206,JOHN   RUSSILLIO,MEL13-10025832,MASTER ELECTRICIAN,125.00,90000.00,0,1121900001003121,449,CHARLES   MOORE,12/12/2017,Install new lighting 10 receptacles and 4 exhaust fans,"(42.879765823130555, -78.81436157342162)",42.879765823130555,-78.81436157342162,LOVEJOY,District A,167,3,3003,Lovejoy,4,53,2,17,68,1965,,10,8,11
ELEC17-9438512,ELECTRICAL,09/22/2017,139 PARKDALE,BUFFALO,NY,14213,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,125.00,2300.00,0,0992700004026000,220,CHARLES   MOORE,03/22/2018,install 150 amp service on double house esr#24797694 and any additional wiring as needed.,"(42.91917713163012, -78.88796383462686)",42.91917713163012,-78.88796383462686,NIAGARA,District D,65.01,4,4001,Elmwood Bidwell,5,49,3,2,205,114,,14,27,3
ELEC17-9430179,ELECTRICAL,04/17/2017,2101 ELMWOOD,BUFFALO,NY,14216,FERGUSON ELECTRIC CONSTRUCTION,MEL11-192765,MASTER ELECTRICIAN,250.00,1.00,0,0784500002001110,454,CHARLES   MOORE,10/17/2017,"M &T BAN KIOSK 20 3 HEAD SITE LIGHT PLE, POWER TO DRIVE UP KIOSK","(42.95435631908075, -78.87822290539009)",42.95435631908075,-78.87822290539009,NORTH,District D,50,3,3005,North Park,5,70,1,5,164,2994,,5,25,2
ELEC17-9426419,ELECTRICAL,01/26/2017,221 NEWBURGH,BUFFALO,NY,14215,LANCE CHANDLER ELECTRIC,MEL11-561184,MASTER ELECTRICIAN,75.00,500.00,0,0908100006036000,210,CHARLES   MOORE,07/26/2017,Meter release and violation repair,"(42.920771082882844, -78.808639988121)",42.920771082882844,-78.808639988121,LOVEJOY,District E,37,1,1002,Schiller Park,2,15,2,11,173,708,,53,12,8
ELEC17-9435907,ELECTRICAL,08/15/2017,956 KENMORE,BUFFALO,NY,14216,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,125.00,16500.00,0,0784100003001100,464,CHARLES   MOORE,02/15/2018,Install new wiring throughout new office space andany additional wiring as needed.,"(42.958572120259085, -78.85330911977088)",42.958572120259085,-78.85330911977088,DELAWARE,District D,51,1,1008,North Park,5,46,7,5,62,2879,,28,25,2
ELEC17-9433175,ELECTRICAL,06/14/2017,38 HAMMERSCHMIDT,BUFFALO,NY,14210,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,100.00,1200.00,0,1237200002045000,220,CHARLES   MOORE,12/14/2017,Complete 150 amp two meter service and all grounding per NEC.,"(42.85813458947175, -78.81752151138676)",42.85813458947175,-78.81752151138676,SOUTH,District A,11,2,2003,Seneca-Cazenovia,4,10,6,19,42,1065,,35,19,12
ELEC17-9429556,ELECTRICAL,03/30/2017,193 MERRIMAC,BUFFALO,NY,14214,GOODWIN ELECTRIC CORPORATION,MEL13-10025827,MASTER ELECTRICIAN,75.00,1500.00,0,0794500005018000,210,CHARLES   MOORE,09/30/2017,New Electrical Service on Existing BuildingESO #23843188,"(42.954305661205645, -78.83156510936541)",42.954305661205645,-78.83156510936541,UNIVERSITY,District E,46.01,2,2004,University Heights,2,73,8,18,235,644,,54,30,7
ELEC17-9435676,ELECTRICAL,08/09/2017,117 AVONDALE,BUFFALO,NY,14210,IN HIS HANDS ELECTRIC,MEL13-10025823,MASTER ELECTRICIAN,75.00,1.00,0,1235600002019000,210,CHARLES   MOORE,02/09/2018,EXHAUST FAN INSTALL,"(42.863474577616145, -78.81676837678712)",42.863474577616145,-78.81676837678712,SOUTH,District A,11,3,3014,Seneca-Cazenovia,4,10,6,19,105,1709,,35,19,12
ELEC17-9427311,ELECTRICAL,02/23/2017,209 ROUNDS,BUFFALO,NY,14215,MOORE ELECTRICAL & ELECTRONIC,MEL11-210528,MASTER ELECTRICIAN,75.00,1.00,0,0797400002008000,210,CHARLES   MOORE,08/23/2017,<P>Install a one hundred ampere singe family residential service.</P><P> </P><P>ESR 23548285</P>,"(42.94730019271196, -78.80601631628235)",42.94730019271196,-78.80601631628235,UNIVERSITY,District E,43,1,1003,Kensington-Bailey,2,7,8,11,278,806,,25,13,7
ELEC17-9443073,ELECTRICAL,11/27/2017,249 DELAWARE,BUFFALO,NY,14202,M & M ELECTRIC CONSTUCTION CO,MEL11-561026,MASTER ELECTRICIAN,125.00,3500.00,0,1113800001013000,464,CHARLES   MOORE,05/27/2018,Energy efficient lighting through National Grid lighting program,"(42.89119638263309, -78.8765193952221)",42.89119638263309,-78.8765193952221,ELLICOTT,District B,165,2,2007,Central,1,77,4,3,31,577,,15,4,9
ELEC17-9441206,ELECTRICAL,10/11/2017,26 MADISON,BUFFALO,NY,14210,MICHAEL J MURPHY,MEL11-551521,MASTER ELECTRICIAN,100.00,200.00,0,1117400008009000,220,CHARLES   MOORE,04/11/2018,meter release for lower apartment,"(42.88121941099568, -78.85295926221323)",42.88121941099568,-78.85295926221323,ELLICOTT,District C,14.03,1,1000,Broadway Fillmore,3,20,4,16,101,2355,,52,23,10
ELEC17-9426689,ELECTRICAL,02/02/2017,246 WALLACE,BUFFALO,NY,14216,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,75.00,150.00,0,0786700005001000,210,CHARLES   MOORE,08/02/2017,install 1 hardwire smoke/ c/o in basement,"(42.94929477495568, -78.84676924273356)",42.94929477495568,-78.84676924273356,DELAWARE,District D,48,2,2001,North Park,5,37,7,5,136,2437,,28,25,2
ELEC17-9442779,ELECTRICAL,11/16/2017,396 NORFOLK,BUFFALO,NY,14215,MICHAEL J MURPHY,MEL11-551521,MASTER ELECTRICIAN,100.00,200.00,0,0906300003009000,210,CHARLES   MOORE,05/16/2018,Electrical inspection to restore power.National Grid acct# 5370 1191 95,"(42.925509471018245, -78.81960296123457)",42.925509471018245,-78.81960296123457,MASTEN,District E,170,1,1009,Delavan Grider,2,16,9,11,192,3076,,19,7,7
ELEC17-9433879,ELECTRICAL,06/27/2017,47 HERMAN,BUFFALO,NY,14212,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,100.00,1500.00,0,1113500004001000,281,CHARLES   MOORE,12/27/2017,"150 amp, 2 meter service replacement ESR - 24416679","(42.89314443264738, -78.84448015894831)",42.89314443264738,-78.84448015894831,FILLMORE,District C,166,1,1004,Broadway Fillmore,3,26,5,8,55,2714,,16,23,10
ELEC17-9431852,ELECTRICAL,05/03/2017,883 TIFFT,BUFFALO,NY,14220,COMMUNITY ELECTRIC,MEL11-195028,MASTER ELECTRICIAN,100.00,2200.00,0,1333800003043000,220,CHARLES   MOORE,11/03/2017,<P>2 GAUGE OVERHEAD SERVICE</P><P> </P>,"(42.8469096412921, -78.82660575526563)",42.8469096412921,-78.82660575526563,SOUTH,District A,2,3,3004,Hopkins-Tifft,4,1,6,9,147,3150,,48,10,14
ELEC17-9441776,ELECTRICAL,10/24/2017,56 DANA,BUFFALO,NY,14216,WITTBURN ENTERPRISES  INC.,MEL11-192793,MASTER ELECTRICIAN,100.00,2500.00,0,0890600009009000,210,CHARLES   MOORE,04/24/2018,upgrade overhead service  ESR# 25227951,"(42.93735547257798, -78.86902150598043)",42.93735547257798,-78.86902150598043,NORTH,District D,54,1,1008,Parkside,5,36,1,5,37,2526,,9,28,2
ELEC17-9425769,ELECTRICAL,01/02/2017,19 KRETTNER,BUFFALO,NY,14206,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,75.00,200.00,0,1116700001026000,210,CHARLES   MOORE,07/02/2017,meter release # 40251-27426,"(42.88387652857893, -78.84784090111215)",42.88387652857893,-78.84784090111215,ELLICOTT,District C,15,3,3011,Broadway Fillmore,3,60,4,17,184,192,,4,23,10
ELEC17-9433722,ELECTRICAL,06/21/2017,3172 BAILEY,BUFFALO,NY,14215,MICHAEL J MURPHY,MEL11-551521,MASTER ELECTRICIAN,125.00,200.00,0,0902400002028000,482,CHARLES   MOORE,12/21/2017,Meter Release,"(42.94115410723713, -78.81371973024578)",42.94115410723713,-78.81371973024578,UNIVERSITY,District E,47.01,2,2004,University Heights,2,56,8,11,272,1241,,43,30,7
ELEC17-9437309,ELECTRICAL,08/24/2017,295 OGDEN NORTH,BUFFALO,NY,14206,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,75.00,2250.00,0,1123500005016000,210,CHARLES   MOORE,02/24/2018,Single family 100 amp pipe riser service ESR 24399555,"(42.89295173707877, -78.80229157747932)",42.89295173707877,-78.80229157747932,LOVEJOY,District C,24,4,4009,Lovejoy,3,28,2,17,221,1634,,23,8,11
ELEC17-9434228,ELECTRICAL,07/06/2017,40 RYAN SOUTH,BUFFALO,NY,14210,LANCE CHANDLER ELECTRIC,MEL11-561184,MASTER ELECTRICIAN,100.00,1000.00,0,1238100001026000,210,CHARLES   MOORE,01/06/2018,Service upgrade,"(42.856148335114774, -78.81243985776831)",42.856148335114774,-78.81243985776831,SOUTH,District A,10,4,4003,Seneca-Cazenovia,4,22,6,19,106,895,,24,19,12
ELEC17-9441863,ELECTRICAL,10/24/2017,98 ROUNDS,BUFFALO,NY,14215,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,100.00,1100.00,0,0796500003026000,220,CHARLES   MOORE,04/24/2018,100 amp service replacement,"(42.94743526396147, -78.80995156780413)",42.94743526396147,-78.80995156780413,UNIVERSITY,District E,43,5,5003,Kensington-Bailey,2,7,8,11,131,1263,,25,13,7
ELEC17-9442272,ELECTRICAL,11/06/2017,62 GIRARD,BUFFALO,NY,14211,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,100.00,1200.00,0,1006000001042000,210,CHARLES   MOORE,05/06/2018,service upgrade ESR # 25199432,"(42.90847337965261, -78.84184761628775)",42.90847337965261,-78.84184761628775,ELLICOTT,District C,35.02,2,2006,MLK Park,3,4,4,4,230,816,,47,35,6
ELEC17-9427477,ELECTRICAL,02/28/2017,28 MEADOW VIEW,BUFFALO,NY,14214,ECC ELECTRICAL CONST. CORP.,MEL11-563036,MASTER ELECTRICIAN,100.00,3600.00,0,0895700002001100,220,CHARLES   MOORE,08/28/2017,Two family service upgrade,"(42.93110020615556, -78.8563585921178)",42.93110020615556,-78.8563585921178,DELAWARE,District D,53,2,2005,Parkside,5,29,7,18,116,44,,22,28,2
ELEC17-9442209,ELECTRICAL,11/02/2017,79 MERCER,BUFFALO,NY,14214,ZACHER ELECTRIC,501424,MASTER ELECTRICIAN,100.00,2500.00,0,0797700003017000,210,CHARLES   MOORE,05/02/2018,ESR #25282496OWNER: ROLAND COLEMANPHONE: 553-6212INSTALL 200 AMP 1 METER SERVICE,"(42.94241768615498, -78.8317376489912)",42.94241768615498,-78.8317376489912,MASTEN,District E,45,2,2005,Central Park,2,64,9,18,118,3215,,37,24,7
ELEC17-9435076,ELECTRICAL,07/26/2017,47 LARK,BUFFALO,NY,14211,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,100.00,1500.00,0,1003600002038000,220,CHARLES   MOORE,01/26/2018,"150 amp, 2 meter service replacement ESR - 24611908","(42.91765973024516, -78.8418241071337)",42.91765973024516,-78.8418241071337,MASTEN,District E,34,3,3001,Delavan Grider,2,47,9,4,161,3251,,19,7,6
ELEC17-9428168,ELECTRICAL,03/20/2017,98 DOMEDION AVE,BUFFALO,NY,14211,AFFORDABLE ELECTRIC SERVICES,MEL13-10025839,MASTER ELECTRICIAN,75.00,500.00,0,1013500003009000,220,CHARLES   MOORE,09/20/2017,"Meter inspection, floor 1 frontAcct. # 2806309233","(42.91600728413098, -78.80176145478977)",42.91600728413098,-78.80176145478977,LOVEJOY,District C,38,2,2004,Schiller Park,3,14,2,4,35,3213,,53,12,8
ELEC17-9442963,ELECTRICAL,11/21/2017,2240 DELAWARE,BUFFALO,NY,14216,MELTON ELECTRIC,MEL11-551596,MASTER ELECTRICIAN,125.00,1.00,0,0787100004006000,426,CHARLES   MOORE,05/21/2018,Install 220v outlet.,"(42.9449224203471, -78.8682396643531)",42.9449224203471,-78.8682396643531,NORTH,District D,50,1,1005,North Park,5,70,1,5,94,2746,,5,25,2
ELEC17-9433798,ELECTRICAL,06/24/2017,153 SCOVILLE,BUFFALO,NY,14206,CHRISTOPHER   RICE,MEL13-10025807,MASTER ELECTRICIAN,100.00,1500.00,0,1232200002048000,312,CHARLES   MOORE,12/24/2017,"new service, lights and receptacles. ESR# 2439 2405","(42.87623003233042, -78.82627586266143)",42.87623003233042,-78.82627586266143,FILLMORE,District A,163,2,2006,Seneca Babcock,4,68,5,17,177,417,,34,21,11
ELEC17-9444454,ELECTRICAL,12/07/2017,127 PROGRESSIVE,BUFFALO,NY,14207,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,125.00,900.00,0,0776500005037000,220,CHARLES   MOORE,06/07/2018,service panel replacement,"(42.948969059679136, -78.89871353180959)",42.948969059679136,-78.89871353180959,NORTH,District D,57,2,2000,Riverside,5,9,1,10,91,2091,,50,18,1
ELEC17-9434678,ELECTRICAL,07/19/2017,701 SENECA,BUFFALO,NY,14210,SALVATORE SCIANDRA II,MEL11-210504,MASTER ELECTRICIAN,250.00,70000.00,0,1222600001001100,449,CHARLES   MOORE,01/19/2018,OFFICE SPACE AND SHOP AREA,"(42.87621815805857, -78.85079344327379)",42.87621815805857,-78.85079344327379,FILLMORE,District A,164,2,2028,Ellicott,4,31,5,19,146,1924,17,51,14,13
ELEC17-9433614,ELECTRICAL,06/20/2017,160 HUMBOLDT,BUFFALO,NY,14214,BIGLER ELECTRIC,MEL11-561315,MASTER ELECTRICIAN,75.00,1600.00,0,0895800003018000,210,CHARLES   MOORE,12/20/2017,"bathroom remodel,  heated floor,  bathroom cir. Jacuzzi cir. 4-recess LED,  5-switches","(42.928475518050455, -78.8513820992661)",42.928475518050455,-78.8513820992661,DELAWARE,District D,53,1,1010,Parkside,5,29,7,18,116,1031,,22,28,2
ELEC17-9444551,ELECTRICAL,12/11/2017,897 COLUMBUS PKWY,BUFFALO,NY,14213,GREGORY BLAKOWSKI,MEL11-112324,MASTER ELECTRICIAN,100.00,100.00,0,0995700001023000,220,CHARLES   MOORE,06/11/2018,Inspect lower unit for meter release,"(42.90717537156185, -78.89928378952983)",42.90717537156185,-78.89928378952983,NIAGARA,District B,70,1,1007,West Side,1,69,3,2,256,1321,,40,29,4
ELEC17-9442816,ELECTRICAL,11/17/2017,36 SWINBURNE,BUFFALO,NY,14212,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,125.00,350.00,0,1123100008013000,220,CHARLES   MOORE,05/17/2018,meter release on double house first floor acct #202631820522nd floor acct #2046318407 and any additional wiring as needed,"(42.89337327130634, -78.82117512835423)",42.89337327130634,-78.82117512835423,FILLMORE,District C,24,5,5013,Lovejoy,3,28,5,8,228,1466,,23,8,11
ELEC17-9442474,ELECTRICAL,11/09/2017,75 SATTLER,BUFFALO,NY,14211,O.S. ELECTRIC INC,MEL11-115032,MASTER ELECTRICIAN,100.00,275.00,0,1015000003011000,220,CHARLES   MOORE,05/09/2018,meter release on lower apartment acct #1846308219and any additional wiring as needed.,"(42.9118828340167, -78.80604549814485)",42.9118828340167,-78.80604549814485,LOVEJOY,District C,37,2,2001,Schiller Park,3,15,2,4,243,1149,,53,12,8
ELEC17-9427397,ELECTRICAL,02/23/2017,140 WINSPEAR,BUFFALO,NY,14215,EMPIRE ELECTRIC ENT LLC,MEL11-520449,MASTER ELECTRICIAN,75.00,200.00,0,0796300002017000,210,CHARLES   MOORE,08/23/2017,METER TURN-ONACCT# 22325-05174,"(42.94917822580569, -78.82125240525079)",42.94917822580569,-78.82125240525079,UNIVERSITY,District E,47.02,1,1002,University Heights,2,56,8,11,257,2388,,43,30,7
ELEC17-9433213,ELECTRICAL,06/09/2017,493 RILEY,BUFFALO,NY,14208,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,125.00,2600.00,0,1005100003001000,220,CHARLES   MOORE,12/09/2017,"rewire upper and lower kitchens and bathrooms, add smoke detectors","(42.90925804129986, -78.84788384832962)",42.90925804129986,-78.84788384832962,ELLICOTT,District C,33.02,2,2007,Masten Park,3,65,4,22,76,991,,39,16,6
ELEC17-9427281,ELECTRICAL,02/22/2017,224 GEARY,BUFFALO,NY,14210,HOT WIRED ELECTRICAL,MEL13-10025838,MASTER ELECTRICIAN,100.00,300.00,0,1237400003034000,220,CHARLES   MOORE,08/22/2017,sump pump line with smoke and co,"(42.85836941017663, -78.80727865570995)",42.85836941017663,-78.80727865570995,SOUTH,District A,10,5,5005,Seneca-Cazenovia,4,22,6,19,152,2913,,24,19,12
ELEC17-9434033,ELECTRICAL,06/29/2017,110 FISHER,BUFFALO,NY,14215,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,75.00,1000.00,0,0908300002025000,210,CHARLES   MOORE,12/29/2017,SERVICE UPGRADE ESR# 24442836,"(42.92056271690287, -78.80126772021781)",42.92056271690287,-78.80126772021781,LOVEJOY,District E,38,1,1002,Schiller Park,2,14,2,11,169,2048,,53,12,8
ELEC17-9426007,ELECTRICAL,01/11/2017,113 LAFAYETTE AVE,BUFFALO,NY,14213,WITTBURN ENTERPRISES  INC.,MEL11-192793,MASTER ELECTRICIAN,415.00,1.00,0,0992600004001100,612,CHARLES   MOORE,07/11/2017,Electrical work.,"(42.920045382997124, -78.89411317142948)",42.920045382997124,-78.89411317142948,NIAGARA,District D,61,5,5001,Upper West Side,5,43,3,2,110,703,,14,26,3
ELEC17-9441276,ELECTRICAL,10/12/2017,135 BUSHNELL,BUFFALO,NY,14206,GOODWIN ELECTRIC CORPORATION,MEL13-10025827,MASTER ELECTRICIAN,100.00,1500.00,0,1127800003037000,210,CHARLES   MOORE,04/12/2018,Replace 100A electrical service,"(42.876422504989506, -78.82873288073998)",42.876422504989506,-78.82873288073998,FILLMORE,District A,163,2,2003,Seneca Babcock,4,68,5,17,177,555,,34,21,11
ELEC17-9444490,ELECTRICAL,12/07/2017,427 HUNTINGTON,BUFFALO,NY,14216,ZACHER ELECTRIC,501424,MASTER ELECTRICIAN,100.00,1800.00,0,0787400003027000,210,CHARLES   MOORE,06/07/2018,ESR #25479991OWNER: IAN DIPAOLAPHONE: 864-7698INSTALL 150 AMP 1 METER SERVICE AND MISCELLANEOUS ELECTRICAL WORK,"(42.94640950916356, -78.84795238691966)",42.94640950916356,-78.84795238691966,DELAWARE,District D,48,2,2003,North Park,5,37,7,18,136,2327,,28,25,2
ELEC17-9432324,ELECTRICAL,05/15/2017,28 BRINKMAN,BUFFALO,NY,14211,HILDRETH ELECTRIC,MEL11-561062,MASTER ELECTRICIAN,75.00,1.00,0,1017300001015000,210,CHARLES   MOORE,11/15/2017,REPLACE EXISTING 100AMP OVERHEAD SERVICE WITH NEW 100A OVERHEAD,"(42.902113980717445, -78.81279068174943)",42.902113980717445,-78.81279068174943,LOVEJOY,District C,28.02,1,1017,Genesee-Moselle,3,66,2,4,174,3265,,7,1,11
ELEC17-9442689,ELECTRICAL,11/15/2017,76 HARVARD,BUFFALO,NY,14209,ABEDE DACOSTA,10036364,MASTER ELECTRICIAN,100.00,1700.00,0,1002400002018000,210,CHARLES   MOORE,05/15/2018,100 amp service upgrade Esr 25303258,"(42.919565286911315, -78.86230468519986)",42.919565286911315,-78.86230468519986,ELLICOTT,District D,169,3,3001,Elmwood Bidwell,5,50,4,21,32,2743,,33,27,5
