"tipo_de_pqrsdf","tem_tica","remitente","pa_s","departamento","municipio","dependencia_actual","fecha_de_radicaci_n"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Guajira","2017-03-07T19:54:02.723"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-03-07T19:54:02.723"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-07T19:59:17.580"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-03-07T21:43:57.113"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc 2 Del Contratación Estatal","2017-03-07T21:43:57.113"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-03-07T23:38:02.397"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-03-08T00:02:28.687"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Oficina Jurídica","2017-03-08T07:18:23.840"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-08T09:18:34.677"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-08T10:13:53.110"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","TOLIMA","IBAGUE","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-08T10:15:31.180"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-08T10:26:59.083"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc 1 Del Contratación Estatal","2017-03-08T10:43:55.143"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Cartago","2017-03-08T10:44:59.997"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Manizales","2017-03-08T10:53:23.047"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Proc Provincial Garzón","2017-03-08T11:06:12.670"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-03-08T11:36:03.003"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Guateque","2017-03-08T12:28:44.917"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Caldas","2017-03-08T12:33:48.373"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Manizales","2017-03-08T12:33:48.373"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-03-08T13:12:56.320"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","SANTANDER","GIRON","Oficina Jurídica","2017-03-08T13:13:27.077"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Veeduría","2017-03-08T13:17:44.087"
"Queja","Queja","Registrado","COLOMBIA","SANTANDER","GIRON","Proc Provincial Bucaramanga","2017-03-08T13:55:13.077"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-08T14:04:26.410"
"Denuncia de Proceso Electoral","Denuncia de Proceso Electoral","Registrado","COLOMBIA","ANTIOQUIA","SAN ROQUE","Proc Provincial Puerto Berrío","2017-03-08T14:35:28.037"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","NORTE DE SANTANDER","CUCUTA","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-08T15:29:20.157"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Rionegro","2017-03-08T15:49:10.800"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Chiquinquirá","2017-03-08T16:04:30.373"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Tunja","2017-03-08T16:06:46.620"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sta. Rosa de Viterbo","2017-03-08T16:06:46.620"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Tunja","2017-03-08T18:40:42.217"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-08T18:58:48.827"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Valledupar","2017-03-08T19:54:53.880"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-03-08T21:38:08.633"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo de Relatoría","2017-03-08T22:08:50.557"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","RISARALDA","PEREIRA","Proc Provincial Pereira","2017-03-08T23:03:27.660"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-09T08:37:03.797"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-09T09:06:11.817"
"Queja","Queja","Registrado"," "," "," ","Oficina Jurídica","2017-03-09T11:14:18.367"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Boyacá","2017-03-09T11:19:06.997"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Valle","2017-03-09T11:45:06.507"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-09T11:50:17.583"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-03-09T11:57:02.803"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Boyacá","2017-03-09T11:57:16.087"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","División de Relacionamiento con el Ciudadano","2017-03-09T12:02:21.290"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","División Centro de Atención al Público  - CAP","2017-03-09T12:12:30.247"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Centro de Atención al Servidor ","2017-03-09T16:03:58.413"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División de Gestión Humana","2017-03-09T16:03:58.413"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","DESPACHO PROCURADOR GENERAL","2017-03-09T16:03:58.413"
"Agradecimiento","Agradecimiento","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-09T16:34:45.927"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-09T17:18:08.573"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Economía y Hacienda Pública","2017-03-09T17:21:53.100"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-09T17:58:37.453"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","División Centro de Atención al Público  - CAP","2017-03-09T18:58:16.960"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","CALDAS","MANIZALES","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-09T20:01:19.560"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-03-09T21:10:42.097"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-03-09T21:39:49.127"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-09T22:42:03.170"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-10T11:10:31.850"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Garzón","2017-03-10T11:10:33.697"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Primera Distrital","2017-03-10T11:19:12.527"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Buenaventura","2017-03-10T12:26:39.177"
"Queja","Queja","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-10T12:27:44.583"
"Queja","Queja","Registrado","COLOMBIA","NORTE DE SANTANDER","CUCUTA","Procuraduría Auxiliar para Asuntos Constitucionales","2017-03-10T13:28:12.290"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Pr. División de Relacionamiento con el ciudadano","2017-03-10T13:47:56.360"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-10T14:04:01.723"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","NARIÑO","PASTO","Pr. División de Relacionamiento con el ciudadano","2017-03-10T14:11:23.857"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Comisión Nacional Asuntos Electoral","2017-03-10T14:14:23.120"
"Queja","Queja","Registrado"," "," "," ","Secretaría Privada","2017-03-10T14:24:06.463"
"Queja","Queja","Registrado"," "," "," ","DESPACHO PROCURADOR GENERAL","2017-03-10T14:24:06.463"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-03-10T14:32:46.767"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-03-10T14:49:24.460"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Regional Cundinamarca","2017-03-10T14:58:27.090"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-03-10T15:07:29.167"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOLIVAR","TURBACO","Proc Provincial Cartagena","2017-03-10T15:11:10.400"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","META","VILLAVICENCIO","Proc Segunda Distrital","2017-03-10T15:16:49.903"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo del Centro de Atención al Servidor ","2017-03-10T15:21:03.920"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","SECRETARÍA GENERAL","2017-03-10T15:21:03.920"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Proc Primera Distrital","2017-03-10T15:58:31.803"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","META","PUERTO LOPEZ","Oficina Jurídica","2017-03-10T16:52:37.810"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-10T16:54:51.367"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","PALMIRA","Proc Regional Valle","2017-03-10T23:27:47.697"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","CALDAS","CHINCHINA","Proc Provincial Pereira","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","META","VILLAVICENCIO","Oficina de Selección y Carrera","2017-03-13T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOLIVAR","CICUCO","Oficina de Selección y Carrera","2017-03-13T00:00:01.000"
"Reclamo","Reclamo","Registrado"," "," "," ","División Administrativa","2017-03-13T00:00:01.000"
"Reclamo","Reclamo","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-13T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cali","2017-03-13T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Arauca","2017-03-13T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Provincial Cali","2017-03-13T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-13T00:00:01.000"
"Agradecimiento","Agradecimiento","Registrado","COLOMBIA","CUNDINAMARCA","SOACHA","Proc Provincial Fusagasugá","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","META","VILLAVICENCIO","División de Relacionamiento con el Ciudadano","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","META","VILLAVICENCIO","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-03-13T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","GUACARI","Proc Provincial Buga","2017-03-13T00:00:01.000"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado"," "," "," ","Procuraduria Delegada para la Defensa del Patrimonio Público, la Transparencia y la Integridad    ","2017-03-13T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-13T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Magdalena","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-13T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ATLANTICO","SOLEDAD","Proc 3 Del Casación Penal","2017-03-13T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Montería","2017-03-13T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","BOLIVAR","MAGANGUE","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-13T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-13T16:20:54.777"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","","","Procuraduría Provincial Ibagué","2017-03-13T16:53:39.243"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-13T17:06:11.203"
"Reclamo","Reclamo","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-03-13T19:41:57.913"
"Reclamo","Reclamo","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Proc Regional Santander","2017-03-13T19:41:57.913"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Provincial Ibagué","2017-03-13T20:16:54.627"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","ENVIGADO","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-13T21:47:24.903"
"Queja","Queja","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-13T23:48:50.517"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-03-14T01:12:26.387"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-03-14T07:33:41.340"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-14T09:13:49.313"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-03-14T09:13:49.313"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sogamoso","2017-03-14T09:17:55.167"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-14T09:18:04.887"
"Queja","Queja","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-14T09:47:13.140"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sogamoso","2017-03-14T09:58:30.357"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-03-14T11:24:52.223"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","VALLE DEL CAUCA","JAMUNDI","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-14T12:16:55.667"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-14T13:02:34.257"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Casanare","2017-03-14T13:28:10.003"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-03-14T13:38:50.827"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Provincial Cartagena","2017-03-14T15:23:26.597"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-03-14T15:25:07.840"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","FUSAGASUGA","Proc Provincial Fusagasugá","2017-03-14T16:02:56.473"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-14T16:15:10.107"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-03-14T16:24:18.130"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Huila","2017-03-14T17:11:36.403"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-14T17:15:53.073"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Guateque","2017-03-14T17:28:23.447"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Sincelejo","2017-03-14T18:43:15.707"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","NATAGA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-14T20:22:02.600"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-14T21:35:07.680"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","ENVIGADO","Proc Provincial Valle del Aburrá","2017-03-14T22:16:22.273"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-14T22:36:04.897"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Caquetá","2017-03-14T23:52:01.557"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-03-15T00:28:15.653"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-15T01:47:18.507"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-03-15T08:03:38.443"
"Queja","Queja","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Proc Provincial Bucaramanga","2017-03-15T08:55:17.987"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-03-15T09:29:48.110"
"Queja","Queja","Registrado","COLOMBIA","META","VILLAVICENCIO","Pr. División de Relacionamiento con el ciudadano","2017-03-15T10:05:54.427"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-15T10:15:19.137"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","FUSAGASUGA","Proc Provincial Fusagasugá","2017-03-15T10:18:01.050"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-03-15T11:03:06.573"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Zipaquirá","2017-03-15T11:13:36.973"
"Reclamo","Reclamo","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-15T11:48:06.710"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","PALERMO","Grupo del Centro de Atención al Servidor ","2017-03-15T12:22:57.260"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","PALERMO","SECRETARÍA GENERAL","2017-03-15T12:22:57.260"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","División de Relacionamiento con el Ciudadano","2017-03-15T13:11:33.033"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ZIPAQUIRA","Pr. División de Relacionamiento con el ciudadano","2017-03-15T13:37:11.987"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-15T13:59:22.860"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Pereira","2017-03-15T14:35:20.723"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-15T14:40:35.587"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-15T15:23:01.453"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","PUTUMAYO","ORITO","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-15T15:47:17.713"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","PUTUMAYO","SIBUNDOY","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-15T16:19:46.573"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOYACA","TENZA","Proc Provincial Guateque","2017-03-15T17:11:23.633"
"Queja","Queja","Registrado","COLOMBIA","CESAR","AGUACHICA","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-15T17:29:16.900"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Montería","2017-03-15T19:01:19.287"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduria Delegada para la Conciliación Administrativa","2017-03-15T20:09:29.043"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-15T20:11:39.493"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-15T22:20:55.620"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Arauca","2017-03-16T07:09:11.497"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Pereira","2017-03-16T08:27:46.373"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Oficina Jurídica","2017-03-16T08:55:58.617"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-16T09:23:07.457"
"Queja","Queja","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-03-16T09:50:39.620"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","","","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-16T09:59:07.217"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Quindío","2017-03-16T10:44:24.763"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","EL DOVIO","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-16T10:48:39.753"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Oficina de Selección y Carrera","2017-03-16T10:51:46.697"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Quindío","2017-03-16T10:57:39.963"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cesar","2017-03-16T11:03:59.790"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Casanare","2017-03-16T11:12:01.550"
"Queja","Queja","Registrado","COLOMBIA","MAGDALENA","SANTA MARTA","Proc Provincial Carmen de Bolívar","2017-03-16T11:24:20.973"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-03-16T12:26:36.910"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","LA PAZ","Proc Regional Santander","2017-03-16T12:52:38.717"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Popayán","2017-03-16T12:54:00.187"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CAUCA","POPAYAN","Proc Primera Distrital","2017-03-16T14:29:13.677"
"Reclamo","Reclamo","Registrado","COLOMBIA","SUCRE","SUCRE","División de Relacionamiento con el Ciudadano","2017-03-16T15:16:41.240"
"Reclamo","Reclamo","Registrado","COLOMBIA","SUCRE","SUCRE","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-16T15:16:41.240"
