"nombre_punto_de_recolecci","direcci_n_punto_de_recolecci","ciudad","departamento","pa_s","categoria_residuo","tipo_residuo","nombre_residuo","ubicacion","horario","nombre_programa_posconsumo","persona_contacto","correo_electr_nico"
"TDA LA ECONOMICA","Cra. 12c, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9532482, -74.7687719)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca Santa Librada","Carrera 15 # 8 - 24, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para camiones","Llantas","(3.4414473262795, -76.534015187103)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"SENA CDTI","Cl. 72 #26 j -97, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Computadores","O perisféricos","Computadores Portátiles O impresoras O perisféricos","(3.4307894, -76.4910166)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"TIENDA LUZ STELLA RAMIREZ","Sabaneta, Antioquia, Colombia","Sabaneta","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.150559, -75.61682)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"LILIANA VACCA","Dg. 68 Sur #37c43, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5702114284899, -74.152495190738)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tienda Monarca","Cra. 58e #60b-6, Itagüi, Antioquia, Colombia","Itagüi","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1805402, -75.6077613)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"ATLANTIS PLAZA","Cl. 81 #13-5, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.666247, -74.0553586)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"SECRETARIA DE ASISTENCIA AGROPECUARIA Y DE MEDIO AMBIENTE SEDAMA","a 15-61, Cra. 30 #15-1, Tuluá, Valle del Cauca, Colombia","Valle del Cauca","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.0912198, -76.1894389)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"TIENDA MIXTA","Cl. 21 #17c-17, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4410249, -76.5202097)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PARQUE PRINCIPAL DE PIEDECUESTA","Cra. 7 #9-43, Piedecuesta, Santander, Colombia","Piedecuesta","Santander","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.9858291, -73.0501707)","MIE,JUE 09:00:00 a 16:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"D1 SOACHA PLAZA","Cra. 5 #15-28, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.600969, -74.0717039)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Interllantas Bello","Autopista Norte # 34 - 67 C.C. Puerta del Norte Zona 7","Bello","Antioquia","Colombia","Llantas","Para camiones","Llantas","(6.3394457, -75.5435257)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"VARIEDADES ANGELA","Dg. 81h, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7007923, -74.0897498)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Movies y Accesor","Tv. 5 #18-24, Montería, Córdoba, Colombia","Montería","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.740624, -75.8929444)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"HOMECENTER CUCUTA","Av. 4 Este #13-1 a 13-131, Cúcuta, Norte de Santander, Colombia","Cúcuta","Norte de Santander","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(7.8860061998937, -72.4934316841)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"MEDICAMENTOS POS ENVIGADO","Cra. 48 #19 Sur-2 a 19 Sur-52, Envigado, Antioquia, Colombia","Envigado","Antioquia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.187167723349, -75.581534136154)","SAB 08:00:00 a 13:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Energiteca La Chimenea","Carrera 52 # 14 Sur 14, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para carros","Llantas","(6.1941969202299, -75.591066662132)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Auto Ser. El Triunfo","Cra. 4 #4-23, Venecia, Cundinamarca, Colombia","Venecia","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas","(4.0894308, -74.4780424)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"SALUD MARKET COLINA CAMPESTRE","Cl. 134 #57-30, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7236922, -74.0649213)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"EXTRA SEGURIDAD LTDA.","Cra. 69 #63c-1 a 63c-61, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6704649312153, -74.096207513631)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"SENA CDTI","Cl. 72 #26 j -97, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(3.4307894, -76.4910166)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"SENA Fusagasugá","Casona La Tulipana, Fusagasugá, Cundinamarca, Colombia","Fusagasugá","Cundinamarca","Colombia","Bombillas","Fluorescentes compactas","Residuos de iluminación con mercurio","(4.337234, -74.3637005)","LUN,MAR,MIE,JUE,VIE,SAB 09:00:00 a 17:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"HOTEL CHINCHINA PLAZA","CRA 8 # 9-35","indefinido","indefinido","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Corporación Autónoma Regional - CAR","Cra. 7 #36-45, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(4.62399, -74.0662763)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 16:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"Energiteca Palace","Carrera 50 # 39 - 64, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para camiones","Llantas","(6.2405137684212, -75.571352876652)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"THINK ORGANIC","Cl. 8A #11, Florida, Valle del Cauca, Colombia","Florida","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.3215445, -76.2305165)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Cicho Turismo","Caldas, Antioquia, Colombia","Caldas","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0869665586259, -75.635771716949)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Llantas Y Servicios Los Héroes","Carrera 20 B # 76 - 79,bogota","Bogotá","Bogotá","Colombia","Llantas","Para carros","Llantas","(4.6651262, -74.0612892)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Distribuidora el Gigante del Hogar","Cl. 34 #40-29, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas","(10.9792461, -74.7786617)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"IMBANACO URGENCIAS","Carrera 38 Bis # 5B2-04, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4264061, -76.5452584)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"IMBANACO URGENCIAS","Carrera 38 Bis # 5B2-04, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4264061, -76.5452584)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"DROGUERÍA COLSUBSIDIO CENTRO COMERCIAL IWOKA","Cra. 11 #21-90, Sogamoso, Boyacá, Colombia","Sogamoso","Boyacá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(5.6940548, -72.9429983)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Red Interllantas Calle 170","Calle 175 # 22 - 13 Sótano Éxito de la 170, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para carros","Llantas","(4.7543559, -74.045066)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"WSP COLOMBIA SAS","Cra. 54 #72-80, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9996223, -74.8018835)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Claro","Cra. 7 #17-46, Pereira, Risaralda, Colombia","Pereira","Risaralda","Colombia","Pilas","De todo tipo","Pilas","(4.8145476, -75.6928635)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"FERRETERIA KAREN","Cl. 2b #94-69, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.3759058, -76.5508379)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Templo del sonido","Itagüi, Antioquia, Colombia","Itagüi","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1731336942682, -75.610923782959)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DROG. CC PREMIUM MEDELLIN","CARRERA 43 A # 30-25 LOCAL 1290 CENTRO COMERCIAL PREMIUM PLAZA","indefinido","indefinido","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PARQUE PRINCIPAL DE LEBRIJA","Cl. 11 #8-27 a 8-73, Lebrija, Santander, Colombia","Lebrija","Santander","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(7.1135564258846, -73.217229899475)","MIE,JUE 09:00:00 a 16:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Torrescar S.A.","Av. Quebrada Seca # 21-07, Bucaramanga, Santander, Colombia","Bucaramanga","Santander","Colombia","Llantas","Para camionetas","Llantas","(7.1240676, -73.1233101)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CLÍNICA CENTRAL","Cra. 7 #11-1 a 11-107, Neiva, Huila, Colombia","Neiva","Huila","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(2.9307350106879, -75.28803701898)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca L8","Ac 72 #28a-28, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6656937, -74.0707465)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"COLSUBSIDIO SF NUEVA EPS EL PALO","Cra. 45 #52-2 a 52-114, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2491193579732, -75.563353049074)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"SEDE MASIVOS SERVIENTREGA","Cl. 17a #69-2 a 69-98, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6451890679781, -74.120715076057)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PATIO CALANDAIMA II - EEMB","Cl. 34a Sur #89-97, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.641072008778, -74.165599418455)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"DROG.  UNICENTRO MEDELLIN","Cra. 66b #34A - 76, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2407751, -75.587107)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"MERCK S.A.","Cra. 9 #101-67, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6862353, -74.0462991)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Granero tresponelas","Puerto Nare, Antioquia, Colombia","Puerto Nare","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1878836243947, -74.582513641525)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DISPENSARIO IBAGUE CENTRO","Cl. 42 #4i-42 a 4i-74, Ibagué, Tolima, Colombia","Ibagué","Tolima","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.4354254826875, -75.212351811045)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Iluminaciones y Eléctricos","Cra. 30 #31-35, Marinilla, Antioquia, Colombia","Marinilla","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1740741, -75.334062)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"FERRETERIA TECNIELECTRICOS","Cra. 70 #70-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.691346, -74.086523)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"ASEGUR GM","AV. 1 # 14-76","indefinido","indefinido","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"C.C. UNICENTRO ARMENIA","Cra. 14 #5-64 a 5-256, Armenia, Quindío, Colombia","Armenia","Quindío","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.5399223257398, -75.665557875255)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Almacén Homecenter","Home Center Envigado, Envigado, Antioquia, Colombia","Envigado","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.177685527171, -75.591934084161)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"IPS TERRON COLORADO","Av. 4a Oe., Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(3.452622, -76.5591309)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"QUESERA DISTRITODO CORDOBA","Cra 48B #48-92, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.3988741, -76.513007)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Full Cars Service","Cl. 171 #20A-08, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.7515922, -74.043214)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CENTRO COMERCIAL CALIMA","Cra. 6 #3180, Armenia, Quindío, Colombia","Armenia","Quindío","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.5404159, -75.660641)","LUN,MAR,MIE,JUE,VIE 09:00:00 a 16:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Llantas y rines el gato","Cra. 22 #7-53, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para vehículos de carga","Llantas","(4.6038084, -74.0909569)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"P. Juaimitas","Titiribí, Antioquia, Colombia","Titiribí","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0656277583856, -75.79297170426)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"TORRE COLPATRIA","Cra. 7 #24-1 a 24-49, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6108252740035, -74.070164758336)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"D1 FUNZA CELTA","Cl. 7 #9-39, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.595631, -74.0798457)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"MEDICARTE S.A. RIONEGRO","Cl. 42 #56-39, Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.1474115, -75.3798231)","MAR,MIE,JUE,VIE 08:00:00 a 18:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"LA REBAJA VENECIA","CARRERA 51  No. 50 - 02 SUR Bogotá, Colombia","Itagüi","Antioquia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.1726123, -75.6099863)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"CONJUNTO EL VERGEL","Tv. Inferior, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2073075, -75.559346)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Remate La Gran Esquina","Cra. 5 #6-100, Espinal, Tolima, Colombia","Espinal","Tolima","Colombia","Pilas","De todo tipo","Pilas","(4.1526331, -74.8825991)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"SECTOR LAGO -2","Cl. 76 #13-2, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6620439, -74.0579054)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tienda Mixta 4","Cra. 9 #2-83, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas","(3.4468712, -76.5392788)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"COORATIENDAS","Cl 72F #111B-10, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7134005, -74.1260248)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Agencia Uber Serna","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2646312704627, -75.545073394968)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DISPENSARIO MÉDICO TOLEMAIDA","Unnamed Road, Nilo, Cundinamarca, Colombia","Nilo","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.2389034962482, -74.634926197592)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 00:00:00 a 00:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"TDA.PUNTO DE LA 79","Cra. 26c 4 #79-08, Barranquilla, Atlántico","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.97756984899, -74.819278465607)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Geliza Garrido","Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas","(10.982032202213, -74.774730418805)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CORPORACI�?N EDUCATIVA COLOMBO BRITÁNICO- ENVIGADO","Tv. 29 Sur #32b-1 a 32b-127, Envigado, Antioquia, Colombia","Envigado","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.1775478665361, -75.584301159525)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca Coexito Camionera","Carrera 5 # 61 A 95, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para camionetas","Llantas","(3.4654012142946, -76.490944713492)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CORMACARENA","Cra. 35 #25-57, Villavicencio, Meta, Colombia","Villavicencio","Meta","Colombia","Llantas","Para camionetas","Llantas","(4.1397621, -73.6333033)","MIE,JUE 09:00:00 a 17:00:00","Ministerio Ambiente Desarrollo Sostenible","Sebastián Santa Moyano","servicioalciudadano@minambiente.gov.co"
"DROGUERÍA CAFAM VIRREYES ZIPAQUIRÁ","Cra. 9 #6-15, Zipaquirá, Cundinamarca, Colombia","Zipaquirá","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(5.0241546, -74.0023243)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"PEPE GANGA- CENTRO COMERCIAL TUNAL","Cra. 24c #24B-33, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5783478215223, -74.130703297067)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 09:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tienda los puentes","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2427890314543, -75.552189895184)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
