"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"INST FELIX RESTREPO                                                                                 ","TV 78 C 6 B 08","4117620","YENIFFER ANDREA SALAMANCA",,"institutofelixrestrepo@gmail.com"
"INST EMMIN                                                                                          ","KR 48 A 68 A 22 SUR","7156215","RUTH AZUCENA POVEDA PEÑUELA",," institutoemmin@hotmail.com"
"INSTITUTO EL ROBLE","CL 152 A 17 44","3222529","VLADIMIR ENRIQUE SERNA MOSQUERA",,"instituto@elroble.edu.co"
"INSTITUTO DANTE ALIGHIERI","CL 186 8 44","5472508","ELIANA ELISA GUZMAN GARCIA",,"institutodantealiguieri01@outlook.com"
"INST CIAL LORETO","TV 78 BIS 51 46 SUR","4505896 - 4673037","JOSE TOBIAS HERNANDEZ VANEGAS",,"institutocomloreto@yahoo.es"
"INSTITUTO TÉCNICO ANGELI","CL 75 A 88 55","2244496 -- 2244232 -- 7554123","JOSE JESUS MURILLO LARGO",,"institutoangeli@gmail.com -- jjmurillo183@gmail.com"
"INST ANDRES FEY                                                                                     ","CL 66 A 72 40","2247757 -- 2760409","HNA ROSA EMILIA PIJ",,"institutoandresfey@yahoo.com"
"INST ANDRE MICHELIN                                                                                 ","AV 1 MAYO 10 A 09","2399011 -- 3733736","ILDORFO DE JESUS SANCHEZ CALDERON",,"institutoandremichelin@gmail.com"
"INSTITUTO JUAN PABLO II","DG 71 C BIS SUR 77 H 17","7757668","AMPARO BENAVIDES ALBARRACIN",,"institujuan2@hotmail.com"
"INSTITUCION EDUCATIVA FEDERICO GARCIA LORCA","TV 126 132 96","7966049  --  4812935","JESUS HOLMES OSPINA CASTAÑO",,"institucion_edu.fgl@hotmail.com"
"INST TEC CIAL MARMATOS SEDE II                                                                      ","KR 73 I 68 A 59 SUR","7776584","MARIA BELSY GONZALEZ RIVERA",,"instecomar2@latinmail.com   marperdomo2@yahoo.es                         "
"INST TEC CIAL JULIO CORTAZAR                                                                        ","KR 1 D ESTE 78 16 SUR","7684503","JOSE WILMER RIOS LOAIZA",,"instecjuliocortazar@hotmail.com"
"INST CARMENZA DE SANCHEZ                                                                            ","KR 2 A ESTE 24 A 90 SUR","2070265 -- 3643905","MARINA SANCHEZ DE VELASQUEZ",,"instcarmenzadesanchez@yahoo.es--institutocarmenzadesanchez@gmail.com--sanchezmarina29@yahoo.com.mx"
"CENTRO DE EDUCACION ESPECIAL REHABILITACION Y CAPACITACION RENACER","CL 33 19 36","2854007 -- 3123716031 -- 4807256","MARTHA PATRICIA PATARROYO PULIDO",,"insrenacer2@hotmail.com"
"JARD INF GENIOS DEL SIGLO XXI                                                                       ","CL 131 91 66","6818835 / 6822138","JENY ESMERALDA DIAZ",,"inspemo@hotmail.com -- geniosdelsigloxxi@hotmail.com"
"INST MARSELLA                                                                                       ","CL 7 A 70 04","2628350 / 2513240                                 ","JUAN CARLOS CARDENAS",,"insmar@etb.net.co"
"INST SAN FRANCISCO                                                                                  ","KR 21 66 50 SUR","7155120 / 7155128 / ","HOLMAN JENARO CASTRO PENA",,"insfco@starmedia.com                              "
"COLEGIO CODEMA (IED)","CL 2 93 28","4484613 - 14 - 15 - 16","MIGUEL LUBIN MILLAN RUIZ",,"inseducodema@redp.edu.co - paulocodema@gmail.com - cocodema@gmail.com"
"INST EDUCACION Y VIDA                                                                               ","CL 153 92 80","6815248","MYRIAM MUÑOZ ALVAREZ",," inseducacionyvida@gmail.com"
"INST CIAL EDUARDO TORRES QUINTERO                                                                   ","CL 47 B SUR 13 D 16 ESTE","3719901","EMANUEL ALBERTO CATAÑO DIAZ",,"inseduardo@hotmail.com"
"COLEGIO VILLA AMALIA (IED)","KR 110 B 71 C 45","4349056","LUIS BUITRAGO VALDERRAMA",,"insededucvillaamal10@redp.edu.co"
"COLEGIO MANUELA BELTRAN (IED)","KR 15 57 28","2559708 / 2114894 /","ROSA IBEL VARGAS GUTIERREZ",,"insdidecomercioman13@redp.edu.co"
"COLEGIO SAN JOSE DE CASTILLA (IED)","CL 7 C 78 F 20","4110023 -- 4111835 -- 4117126","OMAR ALFREDO RODRIGUEZ ESTUPIÑAN",,"insdicastilla8@redp.edu.co"
"COLEGIO AQUILEO PARRA (IED)","KR 18 A 187 67","6704916 -- 6745973","CARLOS EDUARDO GALAN CASTRO",,"insdiaquileoparrav1@redp.edu.co"
"COLEGIO LUIS EDUARDO MORA OSEJO (IED) (ANTIGUO N. MONTEBLANCO)","CL 95 SUR 3 00 ESTE","7688132 -- 7671628","PABLO ANTONIO BONILLA ACOSTA",,"insdialuiseduardomor@redp.edu.co"
"COL INST INSCAP","AK 91 129 D 06","6816568 -- 6815777","GLENDA ROBAYO DE SANCHEZ",,"inscapsuba@yahoo.es"
"INST SANTIAGO APOSTOL                                                                               ","KR 77 14 52","4122354 / 4247054 /                               ","HILDA MARINA AGUDELO FUENTES",,"insantiagoapostol@hotmail.com                     "
"INST NSTRA SRA DEL AMPARO                                                                           ","AK 70 49 82","2630771 -- 2630709","HNA GLORIA ISABEL HUERFANO PEREZ",,"insa@etb.net.co -- insa@hotmail.com"
"INST NSTRA SRA DE LA SABIDURIA PARA NIÑOS SORDOS                                                    ","CL 22 SUR 10 A 51","2394218 -- 3665222 -- 2093602","MARTHA LILIANA QUINTANA VILLA",,"insabi@etb.net.co"
"COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED)","KR 52 76 63","2407282","MARIA VICTORIA CASTRO JIMENEZ",,"innalfemlorencitav12@redp.edu.co"
"COLEGIO DE CULTURA POPULAR (IED)","KR 51 16 64 SUR","2028884","ROSA MARIA BAUTISTA VERGARA",,"innaldeculturapopu16@redp.edu.co"
"INST JERUSALEN                                                                                      ","KR 46 59 C 59 SUR","7178086","ALBEIRO SOACHA TABORDA",,"injerusalen@hotmail.com"
"INST EL INGENIOSO HIDALGO                                                                           ","CL 89 SUR 3 C 16 ESTE","7620923 -- 7629142","FABIO ERNESTO PEDRAZA CORREDOR",,"ingeniosohi@hotmail.com"
"TANDEM","KR 14 B 106 40","7577154","LAURA MARIANA SAMPER TERNET",,"info@tandem.com.co"
"COL DEL ROSARIO DE SANTO DOMINGO                                                                    ","CL 68 0 51 ESTE","2171014 -- 2171000 -- 7171015 -- 2118718","SOR GILMA HENAO SALAZAR",,"info@rosariosantodomingo.edu.co"
"COL DE LA PRESENTACION LUNA PARK                                                                    ","CL 10 SUR 15 35","3338405 -- 3332121 -- 5999350","ANA YOLANDA PEREZ CAMARGO",,"informacion@presentacionlunapark.edu.co -- tuchismartha@yahoo.es"
"LIC MONTANA                                                                                         ","KR 18 137 58","2580615","LUIS EDUARDO SABOGAL VILLAMIL",,"informacion@liceomontana.net"
"COL COOP NUEVO MUZU                                                                                 ","KR 59 51 B 46 SUR","7104772 -- 7281014","JORGE ALCIBIADES GASCA CASTIBLANCO",,"informacion@cooperativonuevomuzu.edu.co -- colegiocooperativo12@gmail.com"
"COL MAYOR PRIMEROS MAESTROS","CL 74 A 81 A 14","2518170 -- 2241814 -- 3202663031","MARIA FERNANDA GAONA STEIN",,"informacion@colegiomayorprimerosmaestros.edu.co"
"COL BILING PRINCIPADO DE MONACO                                                                     ","CL 58 21 41","2170510 -- 6096830","MONICA PALACIOS GOMEZ",,"info@principadodemonaco.edu.co -- colegioprincipadodemonaco@hotmail.com"
"LIC AMERICANO MI GRAN CASA AZUL                                                                     ","CL 24 74 A 06","2957514","JENNY CATALINA MATTA CARREÑO",,"info@migrancasazul.edu.co"
"FUND NUEVO MARYMOUNT                                                                                ","CL 169 B 74 A 02","6699077 - 6794545","MARIA ANGELA TORRES SOTO",,"info@marymountbogota.edu.co"
"GIMN DE LOS CERROS                                                                                  ","CL 119 4 48","6576000","EDUARDO MANRIQUE ANDRADE",,"info@loscerros.edu.co"
"LIC SAN BASILIO MAGNO                                                                               ","CL 83 108 27","4427939 / 2914155                                 ","MARTHA YANETH CASTILLO ROA",,"info@liceosanbasiliomagno.edu.co "
"LIC JUAN RAMON JIMENEZ                                                                              ","IND CAR SUBA A COTA KM.4","6836755 / 6861331                                 ","MARTA BONILLA",,"info@liceojuanramonjimenez.edu.co secretaria@liceojuanramonjimenez.edu.co"
"LICEO DE COLOMBIA BILINGÜE","AC 219 50 30","6760585 -- 6760583 -- 6760578","CAROLINA CORREA BARBOSA",,"info@liceodecolombia.edu.co -- cristinacardenas@liceodecolombia.edu.co"
"LIC CHICO CAMPESTRE                                                                                 ","CL 221 53 82","6762272 -- 6762249","IVAN MOLANO CAMACHO",,"info@liceochicocampestre.edu.co"
"JARD PEDAG RAFAEL POMBO                                                                             ","KR 26 A 40 40","2449875 -- 2695610","ESPERANZA RUIZ DE DIAZ",,"info@jardinrafaelpombo.com -- solanyilopez05@hotmail.com"
"JARD INF POR UN MAÑANA                                                                              ","KR 68 173 A 39","6714113 -- 6719986","CARMEN ELISA TRUJILLO",,"info@jardinporunmanana.edu.co"
"JARD NIÑOS Y NIÑAS                                                                                  ","CL 104 19 A 53","6129846 -- 6206863","YOLANDA VIDAL YEPES",,"info@jardinboysandgirls.com -- direccion.boysandgirls@yahoo.com"
"COLEGIO INTEGRAL ","CL 71 13 42","2350078 -- 2558857 -- 8053584","JOHN AUGUSTO BOCANEGRA CIFUENTES",,"info@integralbm.com"
"COL TRIANGULO CHAPINERO","IND AV. CARACAS NO. 67-33 PS.2","2101111","LUIS HENRY MORALES CADENA",,"info@institutotriangulo.edu.co"
"INST STUDIUM                                                                                        ","KR 20 137 92","5207769","CAROLINA IBARRA AVILA",,"info@instituto-studium.edu.co"
"GIMN SANTA ROSA DE LIMA                                                                             ","KR 17 33 33","2325784","GLADYS MARGOTH MOJICA DE CHAPARRO",,"info@gimnasiosantarosadelima.edu.co"
"COLOMBO BRITANICO - BILINGÜE INTERNACIONAL","IND AEROPUERTO GUAYMARAL COSTADO SUR OCCIDENTAL","6683999","WALTER ABONDANO MIKAN",,"info@gcb.edu.co -- ruby.gonzalez@gcb.edu.co"
"COLEGIO BILINGÜE SAN JUAN DE ÁVILA","IND KM 5 VIA SUBA - COTA","6806280","CLAUDIA PATRICIA LOPEZ RIOS",,"info@colsanjuandeavila.edu.co - colsanjuandeavila1@hotmail.com"
"COL SANTIAGO MAYOR                                                                                  ","CL 175 72 35","4672565 -- 4372566","CARLOS EDGARDO DOMEC GALANTE",,"info@colegiosantiagomayor.edu.co"
"COL PRINCETON                                                                                       ","IND VIA SUBA - COTA 600 MTS VARIANTE A GUAYMARAL","6862426 -- 6862418 -- 6806068","MARIA SUSANA GARCIA DE CABRERA",,"info@colegioprinceton.edu.co - cprinceton@hotmail.com"
"COL NSTRA SRA DE LAS LAJAS                                                                          ","CL 5 25 A 65","5603227 -- 3753835","MYRIAM NELLY SANTAMARIA REVELO",,"info@colegionuestrasenoradelaslajas.com -- santamariasheila@hotmail.com"
"COL GIMN AMERICANO                                                                                  ","CL 71 14 72","5415064","OLGA CECILIA AJIACO AJIACO",,"info@colegiogimnasioamericano.edu.co"
"COL COLSUBSIDIO SAN VICENTE IED","KR 6 ESTE 33 70 SUR","3676689 -- 3676684","RAMON GARAVITO CUELLAR",,"info@colegiocolsubsidiosanvicenteied.edu.co -- ramon.garavito@colsubsidio.com"
"COL CALATRAVA","KR 80 156 95","6847860","CONSUELO VALDERRAMA MORALES",,"info@colegiocalatrava.edu.co - rectoria@colegiocalatrava.edu.co"
"COL BILING BUCKINGHAM                                                                               ","KR 52 214 55","6760812 -- 6760816","MARTA RINCON REINA",,"info@colegiobuckingham.com"
"COL ALVERNIA                                                                                        ","TV 77 162 55","6921335 -- 6926947","HNA MARIA EVA PARRA RESTEPO",,"info@colegioalvernia.edu.co -- secretarialvernia@hotmail.com"
"COL DE NSTRA SRA DEL BUEN CONSEJO                                                                   ","CL 104 17 22","2562963 -- 2364973","HNA MARIA ALTAGRACIA GIL PICHARDO",,"info@colbuenco.edu.co"
"COL BILING CLERMONT","KR 73 213 A 51","5898503 / 19 / 11","AIDA RIVERA FRANCO",,"info@clermont.edu.co"
"COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.","KM 3 VIA SUBA COTA","7569199 -- 6830604","FELIPE ANDRÉS PALACIOS GUTIÉRREZ",,"info@ciedi.edu.co ciedi@openway.com.co"
"GIMN VERMONT                                                                                        ","CL 195 54 75","6723155 / 6748070","RAQUEL ROJAS DE PEREZ",,"info@cgvermont.edu.co"
"CENT DE DESARROLLO INFANTIL SUSAN LUDINGTON                                                         ","KR 35 58 55","2214094  /2219481/ 2219487","ADRIANA ISABEL ARDILA ROJAS",,"info@cedesusanludington.com -- ardilaadriana@gmail.com -- gjiparvulos@yahoo.es"
"COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ","KR 7 65 42","3479700","HNA CIELO MORENO CALDERON",,"info@bethlemitasbogota.edu.co"
"INSTITUCION EDUCATIVA TULIO OSPINA","CL 23 6 07","7447176","JUAN CARLOS OSPINA ARANGO",,"info@bachilleratoenlinea.com"
"INST ANDINO                                                                                         ","CL 58 21 45","3146755 -- 7569973","JHON FREDY RINCON ARANGO",,"infoandino@yahoo.es"
"JARD INF AMERICANO                                                                                  ","CL 127 B BIS 19 94","6251168 -- 2588440","CLARA INES SALCEDO CAMARGO",,"info@americangarden.edu.co"
"CENT EDUC DIST MIRAVALLE","DG 76 SUR 3 B 30","7647410 -- 7647425 -- 7647429","CLAUDIA PATRICIA RINCÓN QUIJANO",,"info@alianzaeducativa.edu.co -- lmurcia@alianzaeducativa.edu.co"
"COLEGIO JAIME HERNANDO GARZON ","KR 85 A 49 85 SUR","4528546","MERY ALCIRA JIMENEZ ROJAS",,"info@alianzaeducativa.edu.co -- fportela@alianzaeducativa.edu.co"
"CENT EDUC DIST LA GIRALDA","AC 1 3 60","3371094","VICTOR MANUEL NEIRA RODRIGUEZ",,"info@alianzaeducativa.edu.co -- collagiraldatubosm3@redp.edu.co"
"LIC PSICOPEDAG ISLA MARGARITA                                                                       ","CL 69 J SUR 72 B 12","7180339 / 7180447                                 ","LILIA MERCEDES OSORIO URBINA",,"inf_liceo@hotmail.com  psicomargarita@gmail.com                             "
"COL INF COLOMBIANO                                                                                  ","CL 86 B 99 62 IN 101","2281281 / 2272099                                 ","CARLOS MARIO AVENDAÑO ROJAS",,"infantilcolombiano@hotmail.com"
"COLEGIO INEM SANTIAGO PEREZ (IED)","KR 24 49 86 SUR","7675760 / 7603737 / 2058723","LINEY CONSTANZA ROJAS PACANCHIQUE",,"inemsantiagoperez6@redp.edu.co / santiagoperez6@edu.co"
"COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED)","CL 38 C SUR 82 A 08","2646508 / 2652392","JORGE ALFONSO PEREZ GUTIERREZ",,"inemfranciscodepau8@redp.edu.co"
"INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES                                            ","CL 61 SUR 64 37","2308771 - 5636014","LUIS ALFREDO RAMIREZ SANDOVAL",,"inelpres@hotmail.com"
"COL PARROQ DEL INMACULADO CORAZON DE MARIA                                                          ","CL 44 SUR 28 61","2387600 -- 2797365 -- 7133233","PBRO ANGELINO SANJUANES FLOREZ",,"incodemar1957@hotmail.com"
"INST NUEVA COLOMBIA                                                                                 ","CL 145 47 06","2591534 -- 6484321 -- 3157747888","MARGARITA ROMERO AYALA",,"inc1989@hotmail.com"
"INST NUEVA AMERICA DE SUBA                                                                          ","CL 140 A 96 10","6860325 / 6830200                                 ","GIANCARLO RAMIREZ AFRICANO",,"inamerica91@hotmail.com                           "
"INST MILIT ANTONIO RICAURTE                                                                         ","KR 8 47 52","2323249","JOSE FERNANDO CASASBUENAS CASTILLO",,"imar_125@hotmail.com"
"INST MILIT AQUILEO PARRA                                                                            ","KR 70 173 A 50","6716606 -- 6008526","LUZ MARINA RINCON PARRA",,"imap@cable.net.co"
"LIC SANTA BERNARDITA                                                                                ","KR 54 52 56 SUR","2380310 / 2388986                                 ","MARIA LILIA MERCHAN VALENZUELA",,"ijvilla@hotmail.com   liceosanta@gmail.com                               "
"INST INF LA ESPERANZA                                                                               ","KR 108 18 B 18","5489747","MARIA JUDITH CASTRO LICHTS",,"iilaesperanza@hotmail.com"
"INST INFANTIL Y JUVENIL                                                                             ","CL 22 A 96 I 06","2671208 -- 4041836","LUIS JORGE GARCIA CAMARGO",,"iij0007@hotmail.com"
"INST GUIMARC                                                                                        ","CL 71 C SUR 81 77","7781264 /7783919","ELMER PARRA BUITRAGO",,"iguimarc48@gmail.com"
"INST FEM SAN ANTONIO DE PADUA                                                                       ","KR 20 42 A 56 SUR","2794016 / 2794958                                 ","HMNA. GLORIA INES LOZANO GOMEZ",,"ifsap@hotmail.com"
"I.E. JUVENTUD UNIDA FEMENINA ","KR 28 78 44","3108442 -- 6302187 -- 2401596","MARIA TERESA PINTO DE SARMIENTO",,"iejuventudunida@gmail.com"
"INST EDUCATIVA INTERAMERICANA                                                                       ","CL 47 SUR 13 A 21","2050764","GLADYS FIDELIA GARCIA RINCON",,"ieinteramericana@gmail.com"
"INST EXPERIMENTAL DE ENSEÑANZA PRACTICA                                                             ","TR. 84 NO.42A-04 SUR","2735605","DAVID CASTIBLANCO HERNANDEZ",,"ieep5@hotmail.com                                 "
"COLEGIO SILVERIA ESPINOSA DE RENDON (IED)","KR 58 9 51","2604576 -- 2600391 -- 4208388","MARLENY BOHORQUEZ RIAÑO",,"iedsilveria@redp.edu.co"
"COLEGIO SALUDCOOP SUR (IED)","KR 89 26 03 SUR","2653248 -- 4514169","RAQUEL LOPEZ RICAURTE",,"iedsaludcoopsur@redp.edu.co"
"COLEGIO LEONARDO POSADA PEDRAZA (IED)","KR 92 72 42 SUR","7234586 -- 7234587 -- 7234588 -- 7234589 -- 723459","HECTOR EDUARDO RODRIGUEZ BELTRAN",,"iedleoposaped@redp.edu.co"
"COLEGIO JULIO GARAVITO ARMERO (IED)","CL 40 B SUR 52 C 60","2384455 -- 7411127","JOSE BERCELIO MARQUEZ GOMEZ",,"iedjulio@redp.edu.co"
"COLEGIO JOSE MARTI (IED)","DG 32 A SUR 14 A 97","2722260 -- 2721940","MIGUEL ORLANDO MORENO GONZALEZ",,"iedjosemarti@redp.edu.co -- cedchircales18@redp.edu.co"
"COLEGIO JOSE ANTONIO GALAN (IED)","KR 78 J 58 M 22 SUR","7752586","MARLENY AMANDA SARMIENTO MANCIPE",,"iedjoseantoniogalan7@gmail.com"
"INST EDUC DIST EDUARDO UMAÑA MENDOZA","CL 111 A BIS SUR 4 A 41 ESTE","7688322 -- 7773269","ISMAEL ANTONIO GUTIERREZ CURREA",,"iedeumendoza@redp.edu.co"
"COLEGIO DIANA TURBAY (IED)","KR 4 B 48 Z 01 SUR","7710171 -- 7710216","ELSY ELIZABETH INFANTE CHAVES",,"iedcolombiaviv@redp.edu.co  --  colcolombiaviva@gmail.com"
"INSTITUCION EDUCATIVA DISTRITAL COLOMBIA VIVA","CL 50 D SUR 3 08 ESTE","7697157 -- 7697158 -- 7697167","OTTO LEONARDO GOMEZ HUERTAS",,"iedcolombiaviv@redp.edu.co  --  colcolombiaviva@gmail.com"
"COLEGIO CARLOS PIZARRO LEON GOMEZ (IED)","CL 72 SUR 100 A 71","7234591 -- 7234592 -- 7234593 -- 7234594 -- 723459","NUBIA STELLA LANCHEROS ROLDAN",,"iedcarlospizarroleon@redp.edu.co"
"COLEGIO CAMP JAIME GARZON (IED)","CORREGIMIENTO NAZARETH","4544416","APOLINAR ESCARRIA GARCIA",,"iedcampjaimegarzon@redp.edu.co cedublasauras20@redp.edu.co"
"COL ANTONIO GARCIA (IED)","KR 17 F 73 A 31 SUR","7663708/09 -- 7663710/11 -- 7663712","GERMAN EDINSON VIRACACHA PAVA",,"iedantoniogarcia@redp.edu.co -- jmperez@redp.edu.co"
"INST DIVINO NIÑO DE VILLAS DEL DORADO                                                               ","CRA 109B NO.63 - 27","4346664","MARIA CLEMENCIA FORERO ROJAS",,"idnclemencia@hotmail.com                          "
"INST DE BTO INTEGRAL IDIPRON                                                                        ","IND PARQUE DISTRITAL LA FLORIDA COSTADO SUR OCCIDENTAL","4336104 -- 3100411 EXT 203-204","MARÍA VICTORIA  NARVAEZ BUCHELLI",,"idipronpedagogia2011@hotmail.com"
"COL ISAAC NEWTON                                                                                    ","CL 12 SUR 7 A 66","2331855","FRANCISCO ORTIZ ALFONSO",,"identidadcultural@hotmail.com"
"UNIDAD INF DE DESARROLLO Y APRENDIZAJE IDEAR                                                        ","KR 78 A 36 A 16","4295680","MARTHA HERNADEZ RIVERA",,"idear@007mundo.com                                "
"INST DE CAPACITACION PARA EL TRABAJO","CL 63 22 39","2176710  --  3112325504  --  3123379090","CONSTANZA CASTILLO DE ARREGOCES",,"ict.educacion@gmail.com"
"INST. SIKUANI - CIUDAD JARDÍN NORTE","KR 59 B 129 A 91","2534069 -- 2717595 -- 2714137 ","GONZALO BEJARANO HERNÁNDEZ",,"icjn@etb.net.co "
"INSTITUTO BOLIVARIANO","AC 26 SUR 68 H 92","4798798","JHON NORBERTO PUENTES ATUESTA",,"ibolivariano@hotmail.com -- jhonpuentes@hotmail.com"
"INST AMERICANO DEL NORTE                                                                            ","KR 8 C 182 41","6723393 -- 8004677","JENNY HERNANDEZ HERRERA",,"iante85@yahoo.es"
"INST ACAD COLOMBIA GRANDE                                                                           ","KR 71 C 56 D 10 SUR","7769731 /7783650/3004657652","ALCIRA VANEGAS CUBILLOS",,"iacg90@hotmail.com"
"INST ACAD LA PAZ","TV 14 C 54 77 SUR","3654412","DORA STELLA ALFONSO ROMERO",,"i.academicolapaz@hotmail.com -- dorisalf@hotmail.com"
"INST AURELIO BALDOR                                                                                 ","KR 19 F 61 B 31 SUR","7187869","LUZ MARIA PRIETO ANGEL",,"iabluz@hotmail.com  iabluzbaldor@yahoo.com                               "
"LIC HYPATIA                                                                                         ","CL 153 92 60","6813699 / 6842636 / 5380293                       ","JUDITH GUERRERO VILLARRAGA",,"hypatialiceo1@aloportal.com                       "
"JARDÍN INFANTIL HUELLAS MAGICAS","TV 54 1 A 50 SUR","2609968 -- 2903509","RUBIELA PARRA BULLA",,"huellasmagicas1973@hotmail.com"
"LICEO HUELLAS DE TRIUNFO","CR. 89 A NO. 88 - 52 ","2764125","MARIA EUGENIA VARELA TORRES",,"huellasdetriunfo@hotmail.com"
"PREESCOLAR HORMIGUITAS","KR 78 5 42","4504551","SANDRA SOFIA GUZMAN LAGUNA",,"hormiguitaspreescolar@yahoo.es"
"LIC  NUEVOS HORIZONTES                                                                              ","CL 55 SUR 101 A 35","7851205","HORTENCIA OTALORA OTALORA",,"horizontes99@yahoo.com                            "
"ESC  MEDIATICA                                                                                      ","CLL. 7 NO. 3-27","3332113","HILDA MARINA FORERO",,"hildaforero@hotmail.com                           "
"CENTRO JOHANN KEPLER","KR 80 P 75 22 SUR","7826792","CARLOS IGNACIO SABOGAL TAMAYO",,"hhernan22@yahoo.com.ar"
"COL SANTA ELENA MIXTO                                                                               ","CL 1 F 19 C 04","3372011 -- 7578819","HERNANDO ALCIDES LOPEZ",,"herlopezabog@hotmail.com"
"COL HEISENBERG SEDE KENNEDY                                                                         ","KR 78 K 37 A 38 SUR","2652531 -- 2124149 -- 2356481 -- 6971816","GERARDO SILVA DULCEY",,"heigesil@telmex.net.co"
"LIC LEON DE GREIFF                                                                                  ","CR. 107 NO.140-61","6876445","LUZ MARINA PEÑA YUNDA",,"hbecerra101@hotmail.com                           "
"JARDIN INFANTIL GIMN DE LA INFANCIA                                                                 ","KR 8 A 108 A 19","2133362 -- 6121848 -- 8624920","PATRICIA DEL PILAR  GONZALEZ DE ANDRADE",,"haca09@gmail.com"
"COL GEORGE WASHINGTON SCHOOL                                                                        ","KR 8 C 185 A 24","6783572 -- 6789945 -- 4753502","LUZ HELENA MAHECHA LEON",,"gws_school@yahoo.com -- rociomogollon@hotmail.com"
"GIMN WILLIAM MACKINLEY                                                                              ","DG 22 B 48 53","3690404 / 05 / 06","DANIEL ALBERTO ACOSTA SALAZAR",,"gwmk@gwmk.net -- gwmk@gwmk.edu.co"
"GIMN INF VILLA LORENA                                                                               ","KR 83 71 42","4385389","SANDRA LILY ALEN CASTRO",,"gvillalorena@gmail.com"
"CENT EDUC INTERNACIONAL OASIS                                                                       ","KR 76 D 15 04","4126555","SANDRA SALINAS",,"guspaez@colomsat.com                              "
"NUEVO LIC SAN EDUARDO                                                                               ","KR 90 BIS 82 A 04","2512780 / 2514198 /4905598","CARLOS AVENDAÑO",,"guillermoros08@hotmail.com"
"GIMN TUNDAMA                                                                                        ","KR 69 I 68 29","2400001 -- 2257507 -- 3014111130","INÉS ELVIRA ESCALLÓN ESCOBAR",,"g_tundama@hotmail.com -- claudia.tigre@gmail.com"
"GIMN SANTA CRUZ                                                                                     ","KR 82 A 80 99","2766792 / 2244170","MARIA CRISTINA SOTO RODRIGUEZ",,"G.S.C.2009@hotmail.com - luisrod@terra.com"
"GIMN SANTIAGO APOSTOL                                                                               ","KR 23 42 54 SUR","7607191","CESAR JAVIER HERNANDEZ MARTINEZ",,"gsantiagoapostol@yahoo.com"
"GIMN SAN JOSE DE BAVARIA                                                                            ","KR 23 114 11","2146828 -- 2137166 -- 2146443","MARIA ELIZABETH GUEVARA GALINDO",,"gsanjosebavaria@cable.net.co -- gsanjosebavaria@hotmail.com"
"COLEGIO SANDALPHON","CL 143 18 A 41","5274463  --  5274462  --  5274468","MARA ADELAIDA GARAVITO MARULANDA",,"grupobacatacol@gmail.com"
"LIC  MODERNO GRINBEHY                                                                               ","CL 68 SUR 78 J 10","7750514 -- 7808857","MARIA ELISANA RUIZ GUZMAN",,"grinbehy@yahoo.es -- admon@liceogrinbehy.com"
"LICEO INFANTIL EL GRAN VIRREY                                                                       ","CL 60 SUR 22 G 54","7169098 -- 7315890","NORMA CONSTANZA CARDOZO VARGAS",,"granvirrey@hotmail.com"
"GIMN REAL AMERICANO ","CL 62 A SUR 91 A 54","4029148  --  4029356","PEDRO SALAZAR NIETO",,"gra1250@gmail.com"
"JARD INF LOS PRINCIPES DEL CONDADO                                                                  ","KR 77 7 B 05","2922831","OLGA PATRICIA VASQUEZ",,"gpc_principes@yahoo.es"
"GIMN NUEVA AMERICA                                                                                  ","DG 41 SUR 72 A 04","2647366 / 2654863                                 ","JOSE JAVIER ALBARRACIN AVILA",,"gnuevameica@yahoo.com                             "
"GIMN NUEVO SUBA                                                                                     ","CL 143 92 35","5328281","LILIA  SIERRA  DE  CORTES",,"gnseducacion@latinmail.com                        "
"GIMN NICOLAS DE FEDERMAN                                                                            ","CL 61 37 05","2213804","DIANA M. LÓPEZ ROJAS",,"gnfederman@gmail.com"
"GIMN MADRE TRINIDAD DE CALCUTA","CL 69 105 H 54","2282790","SADY MAURICIO FUENTES TORRES",,"gmtc@.etb.net.co"
"GIMNASIO MODERNO SAN SEBASTIAN","KR 62 100 54","2534770","GINA MILENA ROMERO BARRETO",,"gmsansebastian@gmail.com"
"GIMN LOS MONJES                                                                                     ","CL 60 80 35","2760989 / 2247639                                 ","LILIAN SHIRLEY NARANJO FINO",,"gmonjes@latinmail.com  gmonjes@hotmail.com                            "
"GIMN MARONY                                                                                         ","CL 8 BIS 70 10","2618342 /  2629606                                ","BLANCA C GRANADOS",,"gmarony@hotmail.com"
"GUARD Y JARD INF GLOBITO ROJO                                                                       ","CL 126 B 40 97","2586070","MARIA LILIANA ALVAREZ ROMERO",,"globitorojo@hotmail.com   gjglobitorojo@yahoo.com                           "
"GIMN LATINOAMERICANO                                                                                ","CL 143 B 146 A 21","5374974","AURA MARIA GUEVARA MONTEALEGRE",,"glatinoamericano@hotmail.com"
