"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"ACUEDUCTO","Información","Mantenimientos Infraestructura 2021","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\INFRAESTRUCTURA\MANTENIMIENTOS INFRAESTRUCTURA","Dirección de Acueducto","Anual","Esporadica","2021-01-14T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Inventario elementos de control Redes","Inventario de la cantidad de valvulas, hidrantes, y puntos de muestreo} con datos relevantes, entregada por el anterior prestador","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\INVENTARIO ELEMENTOS DE CONTROL REDES","Dirección de Acueducto","Esporadica","Esporadica","2019-05-20T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Normatividad","Normas aplicables a la prestacion de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\NORMATIVIDAD","Dirección de Acueducto","Esporadica","Esporadica","2019-05-20T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Tiempos Suplementarios 2019","Reportes de tiempos suplementarios del personal operativo","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\PERSONAL\TIEMPOS SUPLEMENTARIOS","Dirección de Acueducto","Mensual","Mensual","2019-05-10T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Tiempos Suplementarios 2020","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\PERSONAL\TIEMPOS SUPLEMENTARIOS","Dirección de Acueducto","Mensual","Mensual","2020-01-05T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Tiempos Suplementarios 2021","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\PERSONAL\TIEMPOS SUPLEMENTARIOS","Dirección de Acueducto","Mensual","Mensual","2021-01-04T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes de Contingencia 2019","Planes de Contingencia de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\PLANES DE CONTINGENCIA","Dirección de Acueducto","Anual","Anual","2019-12-16T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes de Contingencia 2020","Planes de Contingencia de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\PLANES DE CONTINGENCIA","Dirección de Acueducto","Anual","Anual","2020-07-17T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes de Contingencia 2021","Planes de Contingencia de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\PLANES DE CONTINGENCIA","Dirección de Acueducto","Anual","Anual","2021-01-19T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes Maestros","Informacion historica de los Planes Maestros de Acueducto y Alcantarillado ejecutados por el anterior prestador de los servicios","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC, PDF, XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\PLANES MAESTROS","Dirección de Acueducto","Unica vez","Unica vez","2019-09-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","POIR","Documentos relacionados con el POIR tanto desarrollados por el anterior prestador como por parte de EAMOS ESP","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC, PDF, XLS","Disponible","Información Pública Clasificada","Alta","Alta","C:\backup ing mariana\EAMOS\POIR","Dirección de Acueducto","Esporadica","Esporadica","2019-04-27T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","POMCA","Informes semestrales con los soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC, PDF, XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\POMCA","Dirección de Acueducto","Semestral","Semestral","2019-11-25T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","POT","Documentos correspondientes al POT del municipio de Mosquera","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\POT","Dirección de Acueducto","Unica vez","Unica vez","2019-06-18T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","SENTENCIA RIO BOGOTA","Informes semestrales con los soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC, PDF, XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\SENTENCIA RIO BOGOTA","Dirección de Acueducto","Semestral","Semestral","2019-10-11T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","SSPD CONTINGENCIA","Reportes diarios a la SSPD por la Pandemia Covid-19","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\SSPD CONTINGENCIA","Dirección de Acueducto","Diaria","Diaria","2020-04-03T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","SUI EAMOS","Reportes tecnicos de Acueducto y Soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\SUI EAMOS","Dirección de Acueducto","Mensual","Mensual","2020-05-21T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"DIVISIÓN JURÍDICA","Información","Contratación 2021","Matriz de control de totalidad de la contratación para la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Expedientes Contractuales","Documentos CSV","Documentos Electronicos","CSV","Disponible","Información Pública Reservada","Media","Alta","Alta","Asesor Jurídico","Diaria","Diaria","2021-01-01T00:00:00.000","Activo","Manual de Contratación, Ley 80 de 1993","Manual de Contratación, Ley 80 de 1993","Reserva Parcial","Formato digital","Público","Control de los contratos que suscribe la entidad","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","Cómite de Conciliación 2021","Matriz de control de totalidad de las actas de conciliacion para la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Actas","Documentos Word","Documentos Electronicos","DOC","Disponible","Información Pública Reservada","Baja","Alta","Alta","Asesor Jurídico","Trimestral","Trimestral","2021-01-01T00:00:00.000","Activo","Decreto Nacional 1716 de 2009","Decreto Nacional 1716 de 2009","Reserva Parcial","Formato digital","Público","Control de las acciones que toma la entidad en los procesos judiciales en la que es parte","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","Relación Polizas","Matriz de control de totalidad de las pólizas de la EAMOS ESP para la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Pólizas","Documentos CSV","Documentos Electronicos","CSV","Disponible","No Clasificada","Baja","Alta","Alta","Asesor Jurídico","Mensual","Mensual","2021-01-01T00:00:00.000","Activo","Ley 734 de 2002","Ley 734 de 2003","Reserva Parcial","Formato digital","Público","Control de las pólizas que adquiere la entidad para proteger sus bienes muebles e inmuebles asi como los activos tangibles e intangibles de la misma","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","PAC 2021","Matriz de control de totalidad de los contratos a suscribir durante la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Archivo digital","Documentos CSV","Documentos Electronicos","CSV","Disponible","Información Pública Clasificada","Alta","Media","Media","Asesor Jurídico","Mensual","Mensual","2021-01-01T00:00:00.000","Activo","Manual de Contratación, Ley 80 de 1993","Manual de Contratación, Ley 80 de 1994","Reserva Parcial","Formato digital","Público","Preveer por medio de planeación que contratos se van a suscribir durante la vigencia actual","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","Resoluciones 2021","Matriz de control de las resoluciones expedidas por la gerencia durante la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Actos Administrativos","Documentos CSV","Documentos Electronicos","CSV","Disponible","No Clasificada","Baja","Alta","Alta","Asesor Jurídico","Mensual","Mensual","2021-01-01T00:00:00.000","Activo","Estatutos de la EAMOS ESP","Estatutos de la EAMOS ESP","Reserva Parcial","Formato digital","Público","Codificar los actos administrativos que expide la gerencia en virtud de sus funciones misionales","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","Recursos Humanos 2021","Matriz de control de la totalidad de trabajadores  durante la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Contratos de trabajo","Documentos CSV","Documentos Electronicos","CSV","Disponible","Información Pública Reservada","Baja","Alta","Alta","Asesor Jurídico","Mensual","Mensual","2021-01-01T00:00:00.000","Activo","Manual de funciones de la EAMOS ESP","Manual de funciones de la EAMOS ESP","Reserva Parcial","Formato digital","Público","Codificar los contratos de trabajo asi como la informacion de cada trabajador de la EAMOS ESP","Gestion documental","Firma","Ninguna"
"DIVISIÓN JURÍDICA","Información","Procesos Judiciales 2021","Matriz de control de la totalidad de los procesos judiciales en los cuales es parte la EAMOS ESP  durante la vigencia 2020","ESPAÑOL","ASESORIA JURIDICA","Autos, Sentencias, Notificaciones","Documentos CSV","Documentos Electronicos","CSV","Disponible","Información Pública Reservada","Baja","Alta","Alta","Asesor Jurídico","Mensual","Mensual","2021-01-01T00:00:00.000","Activo","Articulo 2 y articulo 90 de la Constitución Política de Colombia","Articulo 2 y articulo 90 de la Constitución Política de Colombia","Reserva Parcial","Formato digital","Público","Controlar el estado de los procesos en los que es parte la EAMOS ESP","Gestion documental","Firma","Ninguna"
"Actualizacion de politica SST","Información","Politica de prevencion de consumo de alcohol, tabaco y sustancias psicoactivas","Compromisos de la gerencia con los miembros de la empresa","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Politica","Documento Físico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Alta","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual o antes si se presenta un cambio","Anual","2020-05-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 2.1.1 politica del sistema de gestion de seguridad y salud en el trabajo SG-SST firmada, fechada y comunicada al COPASST","Reserva Parcial","Temporal SG-SST","Privado","Publicacion de politicas para cumplimiento y conocimiento de los trabajadores","Planear","Firma","Debe estar fimado  por el gerente y publicado"
"Realizacion de cronogramas de capacitacion","Información","Cronograma de formacion y capacitacion","Fechas y temas de capacitacion para los trabajadores","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual",,"Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 1.2.1 programa capacitacion promocion y prevencion PyP","Reserva Parcial","Temporal SG-SST","Privado","Aprobacion y cumplimiento de las capacitaciones para el personal","Planear","Firma","Debe estar firmado por el comité del COPASST"
"Actualizacion matriz de identificacion de peligros evaluacion y valoracion de riesgos","Información","matriz de identificacion de peligros evaluacion y valoracion de riesgo","identificar los riesgos en las diferentes areas para generar controles","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Matriz","Documento fisico","Documento de archivo digital","PDF","DISPONIBLE","No Clasificada","Alta","Alta","Digital","Ofir samanta Bernal Joya","Anual","Anual","2019-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 4.1.1 Metodologia para la identificacion de peligroa, evaluacion y valoracion de los riesgos 4.1.2 identificacion de peligros con participacion de todos los niveles de la empresa","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar por obligatoriedad","Planear",,"Debe estar en digital para actualizar"
"Actualizacion plan  de trabajo anual","Información","Plan de trabajo anual","Actividades a realizar en el SG-SST durante el año","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual","2020-01-01T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 2.4.1 plan que identifica objetivos, metas, responsabilidad, recursos con cronograma firmado","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar por obligatoriedad","Planear","Firma","Debe estar firmado por el gerente"
"Presupuesto de las actividades que se van a realizar en el plan de trabajo anual","Información","Presupuesto anual","se planean los recursos que se necesitaran en el año para ejecutar las actividades","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual","2019-05-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 1.1.3 asignacion de recursos para el sistema de gestion en seguridad y salud en el trabajo SG-SST","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar ya que es uno de los documentos fundamentales dentro delsistema de gestion","Planear","Firma","Debe estar aprobado por el area de contabilidad y firmado por gerencia"
"Actas de reunion","Información","Acta de reunion","Se registran las diferentes reuniones de COPASST, CONVIVENCIA, RENDICION DE CUENTAS","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Actas","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Mensual","Cuando se requiera","2020-05-08T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo",,"Reserva Parcial","Temporal SG-SST","Privado","Registros en la realizacion de reuniones de importancia","Planear","Firma","Al diligenciar, se debe firmar por cada uno de los integrantes"
"Registro de las justificaciones por ausencia en el trabajo","Información","Consolidado de ausentismo y accidentalidad","Se registran las incapacidades y licencias de cada uno de los trabajadores","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento Digital","Documentos de archivo digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Digital","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3,2.3 Registro y analsiis estadistico de accidentes y enfermedades","Reserva Parcial","Temporal SG-SST","Privado","Registros de las incapacidades","Hacer",,"De esta manera. Posteriormente podemos diligenciar los indicadores de ausentismo"
"Registro de la entrega de elementos de proteccion personal","Información","Entrega elementos de proteccion personal","Se registra la entrega de EPP al trabajador","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documentos fisico","Documento Digital y fisico","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-05-13T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 4.2.6 entrega de elementos de proteccion personal, EPP, se verifica con contratistas y subcontratistas","Reserva Parcial","Temporal SG-SST","Privado","Registro y salida de los EPP","Hacer","Firma","El trabajador al recibir sus elementos, debe firmar"
"Indicadores","Información","Fichas tecnicas de indicadores","Se registran todos los indicadores del SG-SST","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento Digital","Documentos de archivo digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Digital","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3.3.1 medicion de la frecuencia de la accidentalidad 3.3.2 medicion de la severidad de la accidentalidad 3.3.3 medicion de la mortalidad poe accidente de trabajo 3.3.4 medicion de la prevalencia de la enfermedad laboral 3.3.5 ,medicion de la incidencia de la enfermedad laboralo 3.3.6 medicion del ausentismo por causa medica","Reserva Parcial","Temporal SG-SST","Privado","registro de indicadores","Verificar",,
"Informe","Información","Informe de investigacion de incidentes y accidentes de trabajo","Se realiza el informe detallado de la ocurrencia del accidente","Español","SEGURIDAD Y SALUD EN EL TRABAJO","informe","Documento Digital","Documento Digital y fisico","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-05-13T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3.2.2 investigacion de incidentes, accidenets y enfermedades laborales","Reserva Parcial","Temporal SG-SST","Privado","Reporte de accidentes e incidentes de trabajo","Hacer","Firma","La persona que diligencia el documento debe firmar en compañía de los miembros del COPASST"
"Reglamento","Información","Reglamento de higiene y seguridad industrial","Se relaciona la normativa para cumplimiento según la actividad economica de la empresa","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Reflamento","Documento Digital","Documento Digital y fisico","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Anual","Anual","2020-05-21T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","N/A","Reserva Parcial","Temporal SG-SST","Privado","Documento por obligatoriedad","Planear","Firma","El documento debe estar firmado y publicado por el gerente"
"Indicadores","Información","Indicadores calidad de agua","Relaciona el indice de riesgo por calidad de agua suministrada al municipio de Mosquera","Español","DIRECCION DE ACUEDUCTO","Informes","Información almacenada en USB","electronicos","XLS","Disponible","Información Pública","Alta","alta","http://www.eamosesp-mosquera-cundinamarca.gov.co/tema/metas-objetivos-e-indicadores","Juan David Sánchez Daniels","mensual","mensual","2020-08-01T00:00:00.000","Activo","Por medio de la cual se señalan características, instrumentos básicos y frecuencias
del sistema de control y vigilancia para la calidad del agua para consumo humano","Resolución 2115 de 2007","Sin Reserva","NA","NA","NA","NA","NA","deben contenplarse muestras procesadas por terceros"
"Formatos","Información","Formatos de control diario en operación","Consiganación de los datos generedos en la operación de la planta de tratamiento de agua potable y laboratorio. Abarca equipos, reactivos, imsumos. Etc.","Español","DIRECCION DE ACUEDUCTO","Formatos","Documento PDF","Fisicos","papel","Disponible","No Clasificada","Alta","Media","Laboratorio","Juan David Sánchez Daniels","Anual","Anual","2021-01-01T00:00:00.000","Activo","Por medio de la cual se señalan características, instrumentos básicos y frecuencias
del sistema de control y vigilancia para la calidad del agua para consumo humano","Resolución 2115 de 2007; iso 9001; iso 17025; 1575 de 2007","Sin Reserva","NA","NA","NA","NA","NA","los formatos deben ir firmados por el gerente y pueden surgir cambios en cualquier momento"
"Contratación","Procesos","Relaciona los contratos que son espceficos para la operación y funcionamiento de las plantas de agua potable y laboratorio de agua.","Relaciona los contratos que son espceficos para la operación y funcionamiento de las plantas de agua potable y laboratorio de agua.","Español","DIRECCION DE ACUEDUCTO","Informes y actas","Documento DOC","electronicos","DOC","Disponible","No Clasificada","Media","Alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","2020-08-01T00:00:00.000","Activo","Manual de contratación",,"Sin Reserva","NA","NA","NA","NA","NA","Los contratos se realizan conforme al plan de adquisiciones y necesidades del area del laboratorio y debe ir aprobado por el gerente"
"Inventarios","Información","Inventarios plantas y laboratorio","Relaciona los insumos existentes y consumidos en la operación de la PTAP y Laboratorio.","Español","DIRECCION DE ACUEDUCTO","Inventarios","Documento DOC","electronicos","XLS","Disponible","No Clasificada","Media","Alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","2019-05-05T00:00:00.000","Activo","estatutos de la empresa","ley 1755del 2015","Sin Reserva","NA","NA","NA","NA","NA","Los inventarios son manejados por el almacen"
"PQRS","Procesos","Peticiones quejas, reclamos y solucitudes","Relaciona las solitudes en cuanto a calidad de agua potable por cualquier ente externo","Español","DIRECCION DE ACUEDUCTO","pqrs","Documento DOC","Fisicos","DOC","Disponible","No Clasificada","Media","alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","2020-08-01T00:00:00.000","Activo","estatutos de la empresa","ley 1755del 2015","Sin Reserva","NA","NA","NA","NA","NA","La generación de PQR son conforme a las radicas por conceptos de calidad de agua"
"Instructivos","Procesos","Intructivos analisis y operación de plantas","Guia de los pasos para operar, analizar y procesar muestras y operar la PTAP","Español","DIRECCION DE ACUEDUCTO","Documentación tecnica","Documento PDF","Fisicos","DOC","Disponible","No Clasificada","Alta","alta","Laboratorio","Juan David Sánchez Daniels","Anual","Anual","2020-05-09T00:00:00.000","Activo","estatutos de la empresa","ley 1755","Sin Reserva","NA","NA","NA","NA","NA","los instructivos pueden cambiar en cualquier momento."
"ALCANTARILLADO","Información","Comunicaciones 2019 - 2020","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Alcantarillado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - jpg","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","UNICA VEZ","2019-12-04T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Contraloria","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Alcantarillado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","UNICA VEZ","2020-05-29T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Contratos","Documentos contractuales","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - JPG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","ESPORADICAMENTE","2019-06-13T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Costos de Operación","Documentos presupuestas y costos anuales","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - JPG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","12/16/209","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Normas","Normas para consultas","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","ESPORADICAMENTE","2019-06-14T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Personal","Turnos y Programaciones","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - JPG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2019-12-02T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Plan de Contingencias","Plan de contingencias de la infraestructura de Alcantarillado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","2019-12-12T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
