"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"The Filipino in Me - Insights into Living Heritage","Friday, July 29, 2022","2022-07-29T00:00:00.000","2022-07-30T00:00:00.000","Edmonton",,,"philippineartscouncil.com","0","Exhibits,Free / Budget","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159902870","Online","159902870",,,"City of Edmonton|Exhibits",,,"An online exhibit of multimedia works on Philippine living heritage themes in Canada. In celebration of Philippine Heritage Month.",,,"The Filipino in Me - Insights into Living Heritage is an online exhibit of multimedia works on Philippine living heritage themes in Canada.This event aims to explore the unique qualities and build an inventory of Philippine living heritage in Canada. It aims to encourage art creation, and an appreciation on how art can engage the community and the exploration of heritage. This is a wonderful opportunity to further artistic practice, promote Philippine culture , and showcase original works to the public.",
"Edmonton Comics & Entertainment Expo","Saturday, September 17, 2022, 7:30 - 9:30pm","2022-09-17T18:30:00.000","2022-09-17T21:30:00.000","Edmonton",,,"Edmonton Expo Centre, 7515 118 Ave NW, Edmonton, AB T5B 0J2","General admission $29","Concerts / Performances,Exhibits","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159877982","Edmonton EXPO Centre","159877982","Tickets can be pre-purchased online: https://fanexpohq.com/edmontonexpo/jay-and-silent-bob-show/",,"City of Edmonton|Concerts / Performances","https://fanexpohq.com/edmontonexpo/jay-and-silent-bob-show/",,"Exclusive one-night-only comedy show featuring cult comedy icons Kevin Smith and Jason Mewes as their legendary characters, “Jay” and “Silent Bob”.",,,"Ready for a laugh? Don’t miss the exclusive one-night-only comedy show featuring cult comedy icons Kevin Smith and Jason Mewes as their legendary characters, “Jay” and “Silent Bob”, together on stage. From Quick Stop to Edmonton, this is your chance to clock in for an evening of jokes and stories you won’t hear anywhere else – too good to miss! Priority and general admission seating for “The Jay and Silent Bob Show! LIVE” are available now starting at $29, along with special packages that include VIP seating, photo ops with the guys in character, and autographs. *Tickets to Edmonton Expo not required for admission.",
"Edmonton Comics & Entertainment Expo","Sunday, September 18, 2022","2022-09-18T00:00:00.000","2022-09-19T00:00:00.000","Edmonton",,,"Edmonton Expo Centre, 7515 118 Ave NW, Edmonton, AB T5B 0J2","Ticket prices vary, starting at $21 per day for early bird pricing (available until May 31), $32 per day at the door. 3-Day Passes, Family Passes and Premium Packages are also available.",,"COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159872364","Edmonton EXPO Centre","159872364","https://fanexpohq.com/edmontonexpo/buy-tickets/",,"City of Edmonton|Exhibits","http://www.edmontonexpo.com",,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture.",,,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture. After three years apart, come together with your fellow fans to geek out over comics, sci-fi, anime, gaming, cosplay and more. Whatever you’re a fan of, you’ll find it at Edmonton Expo!  There’s so much to do at the show — for all ages! Shop hundreds of artists, artisans, and specialty vendors for that impossible-to-find treasure. Snap selfies with favourite costumed characters on the show floor, and experience the culture of Edmonton’s incredible, creative fan community. Meet the creators building your favourite worlds and learn from the experts in ‘how to' workshops.  Edmonton Expo brings fandom’s biggest stars face-to-face with fans! Get an autograph or a photo with your favourite celebrity guest then get the inside scoop during epic on-stage panels. This year, you can meet Ming-Na Wen (The Book of Boba Fett), Matthew Lewis (Harry Potter), Michael Rooker (Guardians of the Galaxy), Tom Welling (Smallvillle), Lana Parrilla (Once Upon a Time), Lou Ferrigno (The Incredible Hulk), Ryan Hurst (Sons of Anarchy), Kevin Smith and Jason Mewes (Jay and Silent Bob)! Not to mention epic creators, cosplayers, gaming and voice guests, and more. You can check out the full guest list at edmontonexpo.com.  Come in cosplay, or come as you are — Edmonton Comics & Entertainment Expo is for everyone! For more information and tickets, visit edmontonexpo.com.",
"Edmonton Comics & Entertainment Expo","Saturday, September 17, 2022","2022-09-17T00:00:00.000","2022-09-18T00:00:00.000","Edmonton",,,"Edmonton Expo Centre, 7515 118 Ave NW, Edmonton, AB T5B 0J2","Ticket prices vary, starting at $21 per day for early bird pricing (available until May 31), $32 per day at the door. 3-Day Passes, Family Passes and Premium Packages are also available.",,"COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159872363","Edmonton EXPO Centre","159872363","https://fanexpohq.com/edmontonexpo/buy-tickets/",,"City of Edmonton|Exhibits","http://www.edmontonexpo.com",,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture.",,,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture. After three years apart, come together with your fellow fans to geek out over comics, sci-fi, anime, gaming, cosplay and more. Whatever you’re a fan of, you’ll find it at Edmonton Expo!  There’s so much to do at the show — for all ages! Shop hundreds of artists, artisans, and specialty vendors for that impossible-to-find treasure. Snap selfies with favourite costumed characters on the show floor, and experience the culture of Edmonton’s incredible, creative fan community. Meet the creators building your favourite worlds and learn from the experts in ‘how to' workshops.  Edmonton Expo brings fandom’s biggest stars face-to-face with fans! Get an autograph or a photo with your favourite celebrity guest then get the inside scoop during epic on-stage panels. This year, you can meet Ming-Na Wen (The Book of Boba Fett), Matthew Lewis (Harry Potter), Michael Rooker (Guardians of the Galaxy), Tom Welling (Smallvillle), Lana Parrilla (Once Upon a Time), Lou Ferrigno (The Incredible Hulk), Ryan Hurst (Sons of Anarchy), Kevin Smith and Jason Mewes (Jay and Silent Bob)! Not to mention epic creators, cosplayers, gaming and voice guests, and more. You can check out the full guest list at edmontonexpo.com.  Come in cosplay, or come as you are — Edmonton Comics & Entertainment Expo is for everyone! For more information and tickets, visit edmontonexpo.com.",
"Edmonton Comics & Entertainment Expo","Friday, September 16, 2022","2022-09-16T00:00:00.000","2022-09-17T00:00:00.000","Edmonton",,,"Edmonton Expo Centre, 7515 118 Ave NW, Edmonton, AB T5B 0J2","Ticket prices vary, starting at $21 per day for early bird pricing (available until May 31), $32 per day at the door. 3-Day Passes, Family Passes and Premium Packages are also available.",,"COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159872362","Edmonton EXPO Centre","159872362","https://fanexpohq.com/edmontonexpo/buy-tickets/",,"City of Edmonton|Exhibits","http://www.edmontonexpo.com",,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture.",,,"Edmonton Comics & Entertainment Expo is a 3-day celebration of all things pop culture. After three years apart, come together with your fellow fans to geek out over comics, sci-fi, anime, gaming, cosplay and more. Whatever you’re a fan of, you’ll find it at Edmonton Expo!  There’s so much to do at the show — for all ages! Shop hundreds of artists, artisans, and specialty vendors for that impossible-to-find treasure. Snap selfies with favourite costumed characters on the show floor, and experience the culture of Edmonton’s incredible, creative fan community. Meet the creators building your favourite worlds and learn from the experts in ‘how to' workshops.  Edmonton Expo brings fandom’s biggest stars face-to-face with fans! Get an autograph or a photo with your favourite celebrity guest then get the inside scoop during epic on-stage panels. This year, you can meet Ming-Na Wen (The Book of Boba Fett), Matthew Lewis (Harry Potter), Michael Rooker (Guardians of the Galaxy), Tom Welling (Smallvillle), Lana Parrilla (Once Upon a Time), Lou Ferrigno (The Incredible Hulk), Ryan Hurst (Sons of Anarchy), Kevin Smith and Jason Mewes (Jay and Silent Bob)! Not to mention epic creators, cosplayers, gaming and voice guests, and more. You can check out the full guest list at edmontonexpo.com.  Come in cosplay, or come as you are — Edmonton Comics & Entertainment Expo is for everyone! For more information and tickets, visit edmontonexpo.com.",
"K-Days","Friday, July 22 - Sunday, July 31, 2022","2022-07-22T00:00:00.000","2022-08-01T00:00:00.000","Edmonton","2060","Bellevue","Edmonton EXPO Centre & Exhibition Lands, 7515 118 Ave NW, Edmonton, Alberta , T5B 0J2","In advance prices: Adult $15, Youth & Senior $10, Children 6 & Under free, 10 Day Pass $29.99, Family Pack $40 (2 adults, 2 youth), Ride All Day $48, Fast Pass $20","Festivals,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159834677","Edmonton EXPO Centre","159834677","You can purchase your tickets in advance at K-Days.com or visit one of our partner location Costco, Save On Foods and Circle K. Tickets will also be available on site.",,"City of Edmonton|Festivals","https://www.k-days.com/",,"Edmonton's annual summer fair where you will experience 10 days of pure joy and excitement!",,,"Experience The Wonder Of The Midway At K-DaysEdmonton’s extravaganza of rides, games, music, food and adventure. The rides and games alone will leave you breathless and wanting more. Watch as fireworks light up the night sky and cheer for the band onstage. Savour the tangy smokiness of a perfectly barbecued rib, taste the warm sugary bliss of freshly fried donuts and bite into the gooey crispness of a candy apple.Take the kids to Kids Zone where they can see some of North America’s top entertainers for children. Discover the Indigenous Hall with authentic food, shopping and entertainment. Head to the Mainstage for a killer lineup of concerts. Then there's  the Agriculture Hall, or the Maker Faire... and that's just the beginning. There’s something for everyone at Edmonton’s incredible K-Days!",
"Disco In The Park","Sunday, July 31, 2022, 2 - 10pm","2022-07-31T13:00:00.000","2022-07-31T22:00:00.000","Edmonton","1210","Riverdale","Louise McKinney Park, 9999 Grierson Hill NW, Edmonton, AB T5H 2A4","55-99","Concerts / Performances,Festivals,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159833109","Louise McKinney Park","159833109","https://www.discointhepark.com/https://www.showpass.com/discointhepark2022/","780-244-9076","City of Edmonton|Festivals","https://www.discointhepark.com/",,"Edmonton's summertime House and Disco music festival; A weekend of all day dancing in a beautiful park in the centre of the city.",,"IMPORTANT EVENT INFO-2PM until 10PM on both Saturday July 30 & Sunday July 31.Noon to 6PM children are free and welcome with adult supervision only.6PM to 10PM is 18+ only.Tickets: Tickets can be purchased online for the entirety of the festival or at the door. Bring your ticket on your phone or printed to scan. Wristbands will be provided at the front gate and must be maintained for the two day event. Re-entry is welcome at anytime throughout the festival. If your wrist band breaks or is showing signs that it will break please bring it to the front door immediately for a replacement. Wristbands that show any tampering will not be allowed re-entryParking: Some parking is available at Louise McKinney park, but spaces are limited! Some additional parking is available towards downtown at the top of Grierson Hill. Do not drink and drive.Food & Drink: Alcoholic and non-alcoholic beverages are available throughout the weekend. Food will be available throughout the weekend. ATM's are on site, and debit payment will be available. Sealed water, juice and pop are welcome as well as small sealed snacks and fruit.We are providing free water at our refill station for use throughout the weekend (bring an empty bottle to use at our water refill station if you'd like to reduce waste).Security and Safety: Bag checks will happen at the door, as well as random pat downs. If you feel sick or unsafe in any way, please seek out help from our first aid trained Security Staff (Benaiah Guarding), Management or Food and Beverage Service team.Covid-19 Screening  Please do not come on the day of the event if you are feeling any symptoms of illness. Masks are not required but they are welcome. Social distancing is encouraged as possible, but not required, but please be aware of and respect the personal boundaries of others around you. Sanitizer will be available at the entrance and food and beverage stations.Art: Min Bid will be doing live art on site, check it out! + ask the VJ how you can be a part of the live visuals on screen!Smoking: There will be a designated smoking area outside the gated event.Washrooms: Public washrooms are located in the facilities south of the event site as well as a single WC beside the food tent.Kids: Kids are free and welcome before 5PM (with adult supervision!), but if you are bringing children, please be prepared to take them home at 5PM, as after 5PM minors are prohibited. Please ensure no minors remain on site at that time.Supply list: We encourage you to bring - hats, sunglasses, sun screen, beach blankets, umbrellas, sealed water and small sealed snacks.Please do not bring: Outside alcohol, Outside meals, Dogs or other Animals, WeaponsDress up if you want! Be yourself and have fun!","SWEAT and The Grindstone present The 2nd Annual Disco In The Park Festival!Fully licensed, food available, surrounded by trees, lots of room to spread out, and unreal DJ sets and live performances all day from local talents and headlining guests from around the world, plus 3 nights of wild late night club events. Spend your long weekend with us for unforgettable vibes.FEATURING: JELLYBEAN BENITEZ (STUDIO 54, NYC)ANGELO FERRERI (MOODFUNK, ITALY)KATHY BROWN & TAZ (UK)HOTMOOD (DISCOWEEY, MEXICO) THE BRASSTACTICS (Live) | COZMIC CAT (Toronto) | CYCLIST (Toronto) | FUNK HUNK (Denver) | DUNMORE PARK (Toronto) Wijit (Sunshine After Dark) | Maurice | Junior Brown | Work Party & Wax Theory | Oh-Me & Femme Funk | Back To Life DJs | Joses | St. Croix | Mae | ANZU | Ben Colmen | Dusty Grooves | Will Hempfree | YuriFriday July 29 Pre-Party featuring HATIRAS (Spacedisco Records, Toronto) 2 Nightly After Parties (The Grindstone, 9910 and The Bower)After party events and daily lineup TBA.",
"Disco In The Park","Saturday, July 30, 2022, 2 - 10pm","2022-07-30T13:00:00.000","2022-07-30T22:00:00.000","Edmonton","1210","Riverdale","Louise McKinney Park, 9999 Grierson Hill NW, Edmonton, AB T5H 2A4","55-99","Concerts / Performances,Festivals,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159833108","Louise McKinney Park","159833108","https://www.discointhepark.com/https://www.showpass.com/discointhepark2022/","780-244-9076","City of Edmonton|Festivals","https://www.discointhepark.com/",,"Edmonton's summertime House and Disco music festival; A weekend of all day dancing in a beautiful park in the centre of the city.",,"IMPORTANT EVENT INFO-2PM until 10PM on both Saturday July 30 & Sunday July 31.Noon to 6PM children are free and welcome with adult supervision only.6PM to 10PM is 18+ only.Tickets: Tickets can be purchased online for the entirety of the festival or at the door. Bring your ticket on your phone or printed to scan. Wristbands will be provided at the front gate and must be maintained for the two day event. Re-entry is welcome at anytime throughout the festival. If your wrist band breaks or is showing signs that it will break please bring it to the front door immediately for a replacement. Wristbands that show any tampering will not be allowed re-entryParking: Some parking is available at Louise McKinney park, but spaces are limited! Some additional parking is available towards downtown at the top of Grierson Hill. Do not drink and drive.Food & Drink: Alcoholic and non-alcoholic beverages are available throughout the weekend. Food will be available throughout the weekend. ATM's are on site, and debit payment will be available. Sealed water, juice and pop are welcome as well as small sealed snacks and fruit.We are providing free water at our refill station for use throughout the weekend (bring an empty bottle to use at our water refill station if you'd like to reduce waste).Security and Safety: Bag checks will happen at the door, as well as random pat downs. If you feel sick or unsafe in any way, please seek out help from our first aid trained Security Staff (Benaiah Guarding), Management or Food and Beverage Service team.Covid-19 Screening  Please do not come on the day of the event if you are feeling any symptoms of illness. Masks are not required but they are welcome. Social distancing is encouraged as possible, but not required, but please be aware of and respect the personal boundaries of others around you. Sanitizer will be available at the entrance and food and beverage stations.Art: Min Bid will be doing live art on site, check it out! + ask the VJ how you can be a part of the live visuals on screen!Smoking: There will be a designated smoking area outside the gated event.Washrooms: Public washrooms are located in the facilities south of the event site as well as a single WC beside the food tent.Kids: Kids are free and welcome before 5PM (with adult supervision!), but if you are bringing children, please be prepared to take them home at 5PM, as after 5PM minors are prohibited. Please ensure no minors remain on site at that time.Supply list: We encourage you to bring - hats, sunglasses, sun screen, beach blankets, umbrellas, sealed water and small sealed snacks.Please do not bring: Outside alcohol, Outside meals, Dogs or other Animals, WeaponsDress up if you want! Be yourself and have fun!","SWEAT and The Grindstone present The 2nd Annual Disco In The Park Festival!Fully licensed, food available, surrounded by trees, lots of room to spread out, and unreal DJ sets and live performances all day from local talents and headlining guests from around the world, plus 3 nights of wild late night club events. Spend your long weekend with us for unforgettable vibes.FEATURING: JELLYBEAN BENITEZ (STUDIO 54, NYC)ANGELO FERRERI (MOODFUNK, ITALY)KATHY BROWN & TAZ (UK)HOTMOOD (DISCOWEEY, MEXICO) THE BRASSTACTICS (Live) | COZMIC CAT (Toronto) | CYCLIST (Toronto) | FUNK HUNK (Denver) | DUNMORE PARK (Toronto) Wijit (Sunshine After Dark) | Maurice | Junior Brown | Work Party & Wax Theory | Oh-Me & Femme Funk | Back To Life DJs | Joses | St. Croix | Mae | ANZU | Ben Colmen | Dusty Grooves | Will Hempfree | YuriFriday July 29 Pre-Party featuring HATIRAS (Spacedisco Records, Toronto) 2 Nightly After Parties (The Grindstone, 9910 and The Bower)After party events and daily lineup TBA.",
"The Public Market in Ritchie","Tuesday, September 20, 2022, 3:30 - 7:30pm","2022-09-20T14:30:00.000","2022-09-20T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795471","Other","159795471",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, September 13, 2022, 3:30 - 7:30pm","2022-09-13T14:30:00.000","2022-09-13T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795470","Other","159795470",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, September 6, 2022, 3:30 - 7:30pm","2022-09-06T14:30:00.000","2022-09-06T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795469","Other","159795469",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, August 30, 2022, 3:30 - 7:30pm","2022-08-30T14:30:00.000","2022-08-30T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795468","Other","159795468",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, August 23, 2022, 3:30 - 7:30pm","2022-08-23T14:30:00.000","2022-08-23T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795467","Other","159795467",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, August 16, 2022, 3:30 - 7:30pm","2022-08-16T14:30:00.000","2022-08-16T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795466","Other","159795466",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, August 9, 2022, 3:30 - 7:30pm","2022-08-09T14:30:00.000","2022-08-09T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795465","Other","159795465",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"The Public Market in Ritchie","Tuesday, August 2, 2022, 3:30 - 7:30pm","2022-08-02T14:30:00.000","2022-08-02T19:30:00.000","Edmonton","6610","Ritchie","7727-98 Street at the Ritchie Community League parking lot","Free to all visitors","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159795464","Other","159795464",,,"City of Edmonton|Trade Shows",,,"Open air farmers market. All are welcome. Fruit, veggies, food, artisan crafts",,,"The Public Market in Ritchie. Fruits, veggies, artisan crafts, food, drinks, and much more.",
"Hope City Youth Slip and Slide Park Night","Wednesday, August 3, 2022, 7 - 10pm","2022-08-03T18:00:00.000","2022-08-03T22:00:00.000","Edmonton","6520","Mill Woods Town Centre","Millwoods Sports Park- 2730 66 St NW, Edmonton, AB T6K","Free","Family / Children,Sports,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159748904","Mill Woods Sports Park","159748904","hopecity.ca/youth","780 465 1515 *270","City of Edmonton|Family",,,"Students grades 6-12 will be participating in water activities *Permission Slip Needed",,"Permission Slip Needed.",,
"Monster Jam - 30th Anniversary","Saturday, July 30, 2022, 7 - 9pm","2022-07-30T18:00:00.000","2022-07-30T21:00:00.000","Edmonton",,,"Commonwealth Stadium -- 11000 Stadium Rd. Edmonton, AB T5H 4E2",,"Concerts / Performances,Family / Children,Major Events,Sports","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d159639637","Commonwealth Stadium","159639637","Tickets are affordably priced for the whole family!Tickets and Pit Passes are now available for purchase online at Ticketmaster.ca *Ticket prices subject to change – additional venue/ticketing fees may apply",,"City of Edmonton|Sports","https://www.monsterjam.com/en-US/events/edmonton-ab/jul-30-2022-jul-30-2022",,"Monster Jam is roaring back into Edmonton with word-class drivers: Grave Digger®, El Toro Loco®, Soldier Fortune™, Megalodon® and more live in action!",,"The most action-packed motorsports experience for families in the world today returns to Edmonton after a five-year hiatus with the first-ever stadium competition event revving through the home of the Edmonton Elks for its debut appearance at Commonwealth Stadium on July 30, 2022.  Celebrating its 30th anniversary this year, Monster Jam features world-class athletes locked in intense competitions of speed and skill.  The popular Monster Jam Pit Party fan experience is scheduled for Saturday, where fans can see the massive trucks up close, meet their favorite drivers and crews, take pictures and enjoy other family-friendly fun.  This unique experience is the only place that allows people to get up close access to the Monster Jam teams and get an insider’s look at how these trucks are built to stand up to the competition.  Pit Passes are available for $20 for this VIP experience.Edmonton motorsports fans will witness heated rivalries, high-flying stunts and fierce head-to-head battles for the Event Championship.  Engineered to perfection, the 12,000-pound Monster Jam trucks push all limits going head-to-head for points in Freestyle, Skills, Donuts and Racing competitions.    Monster Jam drivers are trained, world-class male and female athletes who have mastered not only the physical strength and mental stamina needed to compete, but the vital dexterity to control 12,000-pound machines capable of doing backflips, vertical two-wheel skills and racing at speeds up to 70 miles-per-hour to produce jaw-dropping, live motorsports action seen around the world.  The Edmonton event features eight skilled athletes fighting for the championship while putting on a spectacle, constantly innovating and always entertaining.  Tyler Menninga gets behind the wheel of the legendary black and green wrecking machine Grave Digger®, which is celebrating its 40th anniversary this year.  Elvis Lainez gets back behind the wheel of El Toro Loco®, Bernard Lyght makes his debut in Megalodon® and military veteran Kayla Blood in Soldier Fortune™ look to lock in the event championship. Rounding out the line-up is Travis Mowery piloting Rockwell R.E.D. against Dalton Widner in Jurassic Attack plus two remaining trucks/drivers to be announced soon.",,
"Filipino Food Fiesta - Search For Best Filipino Foods 2022","Sunday, August 7, 2022, 10am - 4pm","2022-08-07T09:00:00.000","2022-08-07T16:00:00.000","Edmonton","6061","Capilano","Goldbar Park, Pavilion 2",,"Festivals,Non-Profit Fundraiser","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d158698772","Goldbar Park","158698772","Tickets will be sold at the Pavilion 2, Goldbar Park, August 6 - 7, 2022.","7802328044","City of Edmonton|Festivals",,,"Filipino Food Festival - Search for Best Filipino Foods, All participants are licensed and have food safety certificate.",,"This is a project of The Association of Friendly Filipino-Canadians of Edmonton (TAFFCE) to raise funds for our outreach programs for homeless, children, and seniors. TAFFCE is a registered not for profit association with the Government of Alberta. This Filipino Food Fiesta - Search for Best Filipino Foods 2022 aimed to promote Filipino restaurants, caterers, and individuals who has license on food handling and has business permits. Foods will be prepared using their licensed kitchen. Foods will be sold to visitors using a coupon provided by TAFFCE.","This will be holding a competition for licensed Filipino restaurants, caterers, and individuals. Our Association is aiming to promote all Filipino restaurants in Edmonton. They will be judge according to their sales and judges evaluation.",
"Filipino Food Fiesta - Search For Best Filipino Foods 2022","Saturday, August 6, 2022, 10am - 4pm","2022-08-06T09:00:00.000","2022-08-06T16:00:00.000","Edmonton","6061","Capilano","Goldbar Park, Pavilion 2",,"Festivals,Non-Profit Fundraiser","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d158698771","Goldbar Park","158698771","Tickets will be sold at the Pavilion 2, Goldbar Park, August 6 - 7, 2022.","7802328044","City of Edmonton|Festivals",,,"Filipino Food Festival - Search for Best Filipino Foods, All participants are licensed and have food safety certificate.",,"This is a project of The Association of Friendly Filipino-Canadians of Edmonton (TAFFCE) to raise funds for our outreach programs for homeless, children, and seniors. TAFFCE is a registered not for profit association with the Government of Alberta. This Filipino Food Fiesta - Search for Best Filipino Foods 2022 aimed to promote Filipino restaurants, caterers, and individuals who has license on food handling and has business permits. Foods will be prepared using their licensed kitchen. Foods will be sold to visitors using a coupon provided by TAFFCE.","This will be holding a competition for licensed Filipino restaurants, caterers, and individuals. Our Association is aiming to promote all Filipino restaurants in Edmonton. They will be judge according to their sales and judges evaluation.",
"Drive: Reimagine the Ride","Ongoing through Sunday, April 30, 2023, 4pm","2022-03-09T10:00:00.000","2023-04-30T16:00:00.000","Edmonton",,,"Royal Alberta Museum, 9810 103a Ave NW","Free - $50","Exhibits,Museums / Attractions","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d158589118","Royal Alberta Museum","158589118","https://royalalbertamuseum.ca/DRIVEatRAM","825-468-6000","City of Edmonton|Exhibits","https://royalalbertamuseum.ca/DRIVEatRAM",,"Let your imagination run wild in our new feature exhibition, DRIVE: Reimagining the Ride",,,"Vehicles help us work, play, and move. Some of them help us dream, and some might be made of dreams. Let your imagination run wild in our new feature exhibition, DRIVE: Reimagining the Ride, opening March 9.See creative adaptations of vehicles of years past, from the solar-powered Nanook, to an amphicar that slides from land to sea and back again, to the stylish Bricklin SV-1 sportscar that inspired the famous DeLorean. Learn what a hearse, a tractor, and a sports car have in common. Let your imagination roam in the hands-on Tinker Garage.Race into RAM to check out DRIVE: Reimagining the Ride!",
