"sid","title","funding_amount","detailed_reporting_category","description","use_of_evidence_program_evaluation","performance_report_mandatory_and_optional_indicators_"
"28157","IT Modernization","3000000","3.4 - Public Sector Capacity: Effective Service Delivery","Provide funding for IT modernization in the Department of Motor Vehicles.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28158","Community Violence Prevention Programs","1000000","1.11 - Community Violence Interventions","Funds are made available to support Community Gun Violence Prevention and Intervention Program in the Department of Public Health's Office of Injury and Violence Prevention. OIVP to effectively address and respond to the sharp rise in gun-involved homicides, stabbing/sharp force homicides, and homicides in general, in CT’s communities since the start of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28159","Promote Healthy and Lead-Safe Homes","30000000","To be determined","Provide funding of $20 million in FY 2023, and $10 million in FY 2024, to support lead investigation, abatement, and remediation to housing in Connecticut, at the municipal level, by providing the fiscal support needed to manage an increasing number of childhood lead cases with blood lead levels that will require home inspections, abatement, and remediation, per Public Act 22-49.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28160","Provide Funding to Address and Respond to an Increase in Homicides","1500000","1.11 - Community Violence Interventions","Funds are made available to the Department of Public Health Office of Injury and Violence Prevention (OVIP) address and respond to an Increase in Homicides.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28161","School Based Health Centers","10000000","To be determined","Provide funding of $10 million in FY 2023 to support School Based Health Centers.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28162","Storage and Maintenance Costs of COVID 19 Preparedness Supplies","325000","1.5 - Personal Protective Equipment","Provide funding of $325,000 in FY 2023 is needed for the proper storage and servicing of PPEs, ventilators, powered air purifying respirators, and the Federal Medical Stations (FMS).",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28163","CCMC Pediatrician Training","150000","To be determined","Provide funding of $150,000 in FY 2023 to support Connecticut Children's Medical Center's Pediatrician Training, per Public Act 22-47.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28164","Gaylord Hospital Electronic Records","2600000","To be determined","Provide funding of $2,600,000 to provide support for the implementation of electronic health records at Gaylord Hospital.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28165","HB 5272 - Menstrual Products","2000000","To be determined","Funds are made available to support free menstrual products in women's restrooms, all-gender restrooms and at least one men's restroom, which restrooms are accessible to students in grades three to twelve, inclusive, in each school under the jurisdiction of such boards and in a manner that does not stigmatize any student seeking such products.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28166","Pilot Program for Promoting Social Workers and Pediatrician Offices","2500000","To be determined","Provide funding program for promoting social workers in pediatrician offices.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28167","ICHC School Based Health Centers","604000","To be determined","Provide funding for InterCommunity Health Care (ICHC) School Based Health Centers in East Hartford.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28168","Durational Loan Manager","100000","3.2 - Public Sector Workforce: Rehiring Public Sector Staff","Provide funding for a durational loan manager in the Department of Public Health.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28169","Community Health Worker Association of Connecticut","100000","To be determined","Provide funding to the Community Health Workers Association of Connecticut (CHWACT). The CHWACT acts as the statewide professional association for Community Health Workers (CHWs) in the state.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28170","Child Psychiatrist Workforce Development","2000000","2.10 - Assistance to Unemployed or Underemployed Workers (eg job training subsidized employment employment supports or incentives)","Provide funding for Child Psychiatrist Workforce Development.  The Department of Public Health will establish and administer a child and adolescent psychiatrist grant program to provide incentive grants to employers of child and adolescent psychiatrists for retaining and hiring new child psychiatrists.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28171","CT VIP Street Outreach","300000","To be determined","Provide funding for CT VIP Street Outreach in New Haven.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28172","E-cigarette and Marijuana Prevention Pilot Program conducted by Yale to be in Stamford, Milford, East Haven","300000","To be determined","Provide funding to support an e-cigarette and marijuana prevention pilot program to be conducted by Yale in Stamford, Milford, and East Haven.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28173","Provide Payments to Filers Eligible for the Earned Income Tax Credit","42250000","2.3 - Household Assistance: Cash Transfers","Provide funding to provide one-time assistance payments to filers eligible for the state earned income tax credit (EITC) in the 2021 income year, effectively increasing the state EITC from 30.5% of the federal credit to 40% for those filers.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28174","Expand Medical/Psychiatric Inpatient Unit at Connecticut Children's Medical Center","15000000","1.12 - Mental Health Services","Provide funding to develop a new 12-bed specialized psychiatric and medical unit. Funds support capital and temporary staffing costs.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28175","Provide Additional Supports for Victims of Domestic Violence","2900000","To be determined","Provide funding to provide additional supports for victims of domestic violence. Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28176","Provide Support for Infant and Early Childhood Mental Health Services","5000000","1.12 - Mental Health Services","Provide funding to build capacity for specialized mental health providers to deliver infant and early childhood mental health treatment services that prevent, treat, or ameliorate symptoms of behavioral and/or emotional dysregulation identified in early childhood.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28177","Strengthen Family Planning","2000000","To be determined","Provide funding to federally qualified health centers (FQHCs) for the purchase and provisions of long-acting reversible contraceptives (LARCs).","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28178","Charter Oak Urgent Care","330000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28179","Roca","500000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28180","Waterbury Seed Funds for Wheeler Clinic","650000","1.12 - Mental Health Services","To provide funding for Wheeler Clinic to administer a pilot program in Waterbury to provide intensive outpatient services, including an extended day treatment program for adolescents with behavioral health issues.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28181","Provide Support for Residential Care Homes (RCH)","3700000","To be determined","Provide funding in FY 2023 to support grants to residential care homes. Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28182","Brain Injury Alliance of CT","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28183","Hartford Communities that Care","500000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28184","Hebrew Senior Care","150000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28185","Connecticut Health Foundation","500000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28186","Health Equity Solutions","500000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28187","CT Oral Health Initiative","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28188","Day Kimball Hospital","5000000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28189","Mothers United Against Violence","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28190","Fair Haven","10000000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28191","Adult Day","3000000","To be determined","Provide funding to support providers of adult day care services. Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28192","HRA","150000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28193","Hands on Hartford","100000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28194","Human Resources Agency of New Britain","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28195","TEEG","200000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28196","Free Bus Service for July and August 2022","5000000","2.37 - Economic Impact Assistance Other","Provide funding to extend free public bus service through August 2022. Expansion of free public transportation services statewide provides significant benefits to low- and moderate-income households who were negatively impacted by the pandemic and revives ridership after declining use during the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28197","Outfit M8 Rail Cars with 5G","23000000","5.21 - Broadband: Other projects","Provide funding to outfit M8 rail cars with 5G Internet. Project scoping and development is currently underway.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28198","Extend Free Bus Service","8100000","2.37 - Economic Impact Assistance Other","Provide funding to extend free public bus service from August 2022 through November 30, 2022. Expansion of free public transportation services statewide provides significant benefits to low- and moderate-income households who were negatively impacted by the pandemic and revives ridership after declining use during the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28199","Replace Infrastructure Match","150000000","6.1 - Provision of Government Services","Provide funding to replace infrastructure matching funds.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28200","Provide Funding to Reduce Court Case Backlogs Through Temporary Prosecutors","4326429","3.5 - Public Sector Capacity: Administrative Needs","Provide Funding for Temporary Prosecutors to Reduce Court Case Backlogs Related to COVID-19 Shutdowns.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28201","Provide Funding to Build Out the Juvenile Intake Custody and Probable Cause Applications","741494","3.4 - Public Sector Capacity: Effective Service Delivery","Enhancements to Juvenile Take into Custody and Probable Cause Applications to enhance online applications by hiring of two IT developers.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28202","Provide Funding to Continue Temporary Staffing for the Foreclosure Mediation Program","6855194","3.5 - Public Sector Capacity: Administrative Needs","The Foreclosure Mediation Program makes Mediation Specialists and Court Support Staff available to parties involved in housing-related matters, particularly evictions and foreclosures, to assist the parties in reaching self-determinative and reasonable resolutions to these matters, whether by working with the parties to remain in homes or by reaching a graceful exit strategy. The program will provide the courts with the capacity to resolve the anticipated increase in housing matters due to the COVID-19 pandemic.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28203","Provide Funding to Enhance Contracts for Direct Service Partnership for Households and Families","400000","To be determined","This project looks to expand access to the Alternative in the Community Program and Adult Behavioral Health Services to Family Civil cases in order to improve the lives of households and families affected by the pandemic. Adding this new referral stream will be a major benefit to the efficient movement of cases through the Family Court and will significantly lessen the time cases are pending. This will have a positive impact on the children whose parents are in the process of divorce or separation.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28204","Provide Funding to Enhance Technology for Citations and Hearings in the Criminal Infractions Bureau","606915","3.4 - Public Sector Capacity: Effective Service Delivery","The COVID-19 pandemic has emphasized the need for remote options to adjudication of high volume many case types that bring large amounts of people together in confined Judicial Branch facilities. This project will result in the development of an end-to-end remote solution for infractions and payable violations, equip law enforcement agencies with requisite hardware to deliver all infraction and payable violation enforcement actions issued electronically to the Centralized Infractions Bureau, and create remote hearing spaces for infractions and violations outside of traditional court facilities to ensure defendant access to justice, the ability for witnesses to participate remotely, and the infrastructure for a remote adjudicator.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28205","Provide Funding to Enhance the Department's Case Management and Scheduler Application","1382900","3.4 - Public Sector Capacity: Effective Service Delivery","Design and build a central case management and scheduler application to integrate all individual processes of the remote justice platform under one umbrella, promoting efficiency and increasing the ability to resolve cases that have accumulated during the pandemic.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28206","Provide Funding to Establish Video Conferencing for Municipal Stations for Bail and Support Services","60000","3.4 - Public Sector Capacity: Effective Service Delivery","This project looks to provide and expand videoconferencing capability to the identified Police Departments to assist clients who are in the custody of law enforcement agencies gain timely access to pre-trial services.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28207","Provide Funding to Expand Housing Opportunities for Individuals on Bail","5831228","To be determined","This project looks to expand partnerships with state agencies, such as Department of Housing (DOH) for Pre-Trial Rapid Rehousing, Department of Corrections (DOC) for Re-Entry Assisted Community Housing, and Department of Mental Health and Addiction Services (DMHAS) for Residential Treatment services to provide housing and treatment to clients charged with a crime who have mental health issues, substance use disorders, or suffer from housing instability or homelessness","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28208","Provide Funding to Hire Assistant Clerks and Family Relations Counselors to Reduce Family and Support Matter Case Backlogs","6589702","3.5 - Public Sector Capacity: Administrative Needs","The family and support dockets impact the lives of many Connecticut families and children. These families have been adversely impacted by the backlog created as a result of limited operations during the COVID-19 pandemic. While the ability to hear matters remotely has helped the courts move business, remote matters simply cannot be scheduled at the same levels that in-person court events allow. As a result, more and more court events are being conducted in-person, requiring additional staffing support and resources. This project will support the addition of 15 assistant clerks and will allow clerks’ offices to meet the demands of increased court time and case processing while still providing a consistent level of service to the judges, public, bar, and our partner stakeholders.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28209","Provide Funding to Support Application Development for Monitor Note-Taking and Recording","1149804","3.4 - Public Sector Capacity: Effective Service Delivery","Enhancements to Remote Court Monitor Log Notes and Backup Audio Recording Application that will enhance efficiency and help to resolve cases that accumulated during the pandemic.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28210","Provide Increased Funding for Victim Service Providers","14865300","To be determined","This funding will be used to offset a reduction in federal funding from the Dept. of Justice and will maintain existing services to victims of crime in Connecticut. Funds will be used to provide crisis counseling, case management, systems advocacy, behavioral health services, emergency financial assistance, safety planning and other services to crime victims. The population to be served includes victims, and their family members, of assault, child abuse, community violence, domestic violence, elder abuse, homicide, human trafficking, sexual abuse and other violent crimes.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The desired outcomes for the project include reducing the immediate and long-term social, emotional, psychological, behavioral, and financial consequences of victimization for victims and their families; promoting healing and safety for victims of crime; and receiving effective and equitable levels of assistance and resources to achieve justice, safety, and economic/emotional independence as they move from victim to survivor. Outcomes are measured by each contractor based on specific goals and objectives that are identified for each funded project."
"28211","Provide Remote Equipment to Reduce Child Support Backlog","121600","3.5 - Public Sector Capacity: Administrative Needs","The COVID-19 pandemic contributed to a significant increase in the number of obligated parents who experienced a loss of work and income due to business restrictions, social distancing requirements, a shifting economy, and/or the need to stay home for childcare and child(ren)’s education. This loss created a backlog of unmodified and unpaid child support obligations that increased the overall child support debt. This project will equip Support Enforcement Services (SES) Supervisors and appropriate staff with laptop computers. This will increase public access to the state child support program, staff, and services and further promote proactive interactions between Judicial Branch child support staff and child support clients. Increased access to child support services in addition to increased interaction with child support staff will ensure there are more right-sized orders, promote consistent and reliable payments, and avoid accumulation of child support debt.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28212","Inspire Basketball","2000000","To be determined","Inspire Basketball is collaboration between Meg Culmo Basketball and the Justice Education Center. It is a statewide inter-town and city basketball program for young girls in elementary and middle school. Inspire will be offered throughout the year, holding clinics, summer camps, and special events in cooperation with the University of Connecticut’s Women's Basketball and the Women’s National Basketball Association’s Connecticut Sun.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28213","Children's Law Center","190000","To be determined","The mission of The Children’s Law Center is to promote the best possible outcomes for children and families in transition or crisis by providing access to legal services and support they could not otherwise afford and by advancing collaborative, non-adversarial options for resolving conflicts outside the court system.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28214","Brother Carl Hardrick Institute - Violence Prevention","400000","1.11 - Community Violence Interventions","The Brother Carl Hardrick Institute (BCHI) for Violence Prevention will focus on evidence-based strategies for the prevention of gun and community violence that expands the number violence intervention specialists and youth development practitioners. It will establish specific and meaningful actions to deter gun violence and other violent crimes.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The BCHI will support both immediate and long-term goals to reduce gun violence in Hartford, by providing training, supervision, deployment, and eventually certifying Violence Prevention Professionals (VPP) who will be equipped to work with perpetrators, victims, families and community members."
"28215","Community Resources for Justice (Family Reentry)","300000","1.12 - Mental Health Services","Funds will be used to enhance the delivery of behavioral health services to justice involved men and women across Southern Connecticut. Services may include assessments, individual and group therapy, crisis intervention, medication management, psychiatric evaluation, Intensive outpatient, and case management.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28216","Reduce State UI Tax on Employers","40000000","2.28 - Contributions to UI Trust Funds","To support the state’s Unemployment Insurance Trust funds specifically to support the repayment of the principal and interest amount due on advances received.",,
"28217","CDL Training at Community Colleges","1000000","2.10 - Assistance to Unemployed or Underemployed Workers (e.g., job training subsidized employment supports or incentives)","Commercial Drivers License training at community colleges.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28218","Bridgeport Workplace","750000","2.10 - Assistance to Unemployed or Underemployed Workers (e.g., job training subsidized employment supports or incentives)","YouthBuild is a community-based pre-apprenticeship program that provides job training and educational opportunities for at-risk youth ages 16-24 who have previously dropped out of high school.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28219","YouthBuild","750000","2.10 - Assistance to Unemployed or Underemployed Workers (e.g., job training subsidized employment supports or incentives)","YouthBuild is a community-based pre-apprenticeship program that provides job training and educational opportunities for at-risk youth ages 16-24 who have previously dropped out of high school.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28220","Cradle to Career - Bridgeport","150000","To be determined","Bridgeport Prospers is a comprehensive, multi-year effort focused on uplifting the lives of Bridgeport’s children, from “cradle to career” by co-designing solutions with community members.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28221","Review of Title 7","27000","6.1 - Provision of Government Services","Provide funding to conduct a study reviewing Title 7 of the Connecticut General Statutes, which pertains to municipalities.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28222","Expand Access - Apprenticeship","5000000","2.10 - Assistance to Unemployed or Underemployed Workers (eg job training subsidized employment employment supports or incentives)","Provide funding to expand access to the childcare apprenticeship program which allows child care development specialist apprentices to combine paid employment with classroom education to work towards a training credential and improve career prospects.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
