"fisc_period","fisc_year","region","office","town","ttl_cps_acept_m","ttl_cps_subs_m","ttl_allegat_m","ttl_allegat_subs_m","ttl_phys_abuse_m","ttl_educ_neglect_m","ttl_emot_neglect_m","ttl_high_risk_m","ttl_medi_neglect_m","ttl_at_risk_m","ttl_phys_neglect_m","ttl_sex_abuse_m","ttl_hmntr_m","ttl_em_ab_m","ttl_moral_neglect_m","subs_phys_abuse_m","subs_educ_neglect_m","subs_emot_neglect_m","subs_high_risk_m","subs_medi_neglect_m","subs_at_risk_m","subs_phys_neglect_m","subs_sex_abuse_m","sub_hmntr_m","sub_em_ab_m","sub_moral_neglect_m","children_subs","rate_phys_abuse_m","rate_educ_neglect_m","rate_emot_neglect_m","rate_high_risk_m","rate_medi_neglect_m","rate_at_risk_m","rate_phys_neglect_m","rate_sex_abuse_m","rate_hmntr_m","rate_em_ab_m","rate_moral_neglect_m"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","NEW FAIRFIELD","49","13","110","25","11","<= 10","21","-","<= 10","-","65","<= 10","-","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","13","-","-","-","-","12","8 - 18 %","99 - 109 %","32 - 42 %","-","49 - 59 %","-","20%","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","NEW MILFORD","136","28","316","48","32","<= 10","54","-","<= 10","-","193","<= 10","-","12","<= 10","<= 10","-","<= 10","-","<= 10","-","36","<= 10","-","-","<= 10","36","8 - 18 %","0 - 9 %","6 - 16 %","-","24 - 34 %","-","19%","12 - 22 %","-","-","66 - 76 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","NEWTOWN","106","19","222","35","29","<= 10","21","-","<= 10","-","147","<= 10","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","27","<= 10","-","-","-","29","9 - 19 %","49 - 59 %","4 - 14 %","-","0 - 9 %","-","18%","24 - 34 %","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","REDDING","20","<= 10","40","<= 10","<= 10","-","<= 10","-","-","-","26","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","3 - 13 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","RIDGEFIELD","60","<= 10","128","17","14","<= 10","21","-","<= 10","-","87","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","15","-","-","-","-","<= 10","-","0 - 9 %","9 - 19 %","-","0 - 9 %","-","17%","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","DANBURY","SHERMAN","14","<= 10","28","<= 10","<= 10","-","<= 10","-","-","-","20","-","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","14 - 24 %","-","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","BARKHAMSTED","18","<= 10","53","12","<= 10","-","<= 10","-","<= 10","-","38","<= 10","-","<= 10","-","-","-","<= 10","-","<= 10","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","29 - 39 %","-","99 - 109 %","-","17 - 27 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","BETHLEHEM","13","<= 10","25","-","-","-","<= 10","-","-","-","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","0 - 9 %","-","-","-","-","-","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","CANAAN","20","<= 10","47","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","33","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","0 - 9 %","-","2 - 12 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","COLEBROOK","<= 10","<= 10","16","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","32 - 42 %","-","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","CORNWALL","<= 10","<= 10","21","-","<= 10","<= 10","<= 10","-","-","-","12","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","-","-","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","GOSHEN","<= 10","<= 10","19","<= 10","<= 10","-","<= 10","-","-","-","16","<= 10","-","-","-","-","-","-","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","24 - 34 %","99 - 109 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","HARTLAND","<= 10","<= 10","<= 10","-","<= 10","-","-","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","-","-","-","-","0 - 9 %","-","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","HARWINTON","29","<= 10","77","20","11","<= 10","<= 10","-","-","-","39","-","<= 10","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","<= 10","<= 10","<= 10","-","0 - 9 %","79 - 89 %","-","-","-","14 - 24 %","-","0 - 9 %","49 - 59 %","99 - 109 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","KENT","13","<= 10","27","<= 10","<= 10","-","<= 10","-","<= 10","-","17","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","99 - 109 %","-","0 - 9 %","-","28 - 38 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","LITCHFIELD","39","<= 10","96","<= 10","<= 10","-","16","-","<= 10","-","60","<= 10","-","<= 10","<= 10","-","-","-","-","<= 10","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","-","-","66 - 76 %","-","6 - 16 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","MORRIS","<= 10","<= 10","28","19","<= 10","-","<= 10","-","-","-","20","-","-","-","-","-","-","<= 10","-","-","-","13","-","-","-","-","<= 10","0 - 9 %","-","85 - 95 %","-","-","-","65%","-","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","NEW HARTFORD","40","<= 10","91","27","<= 10","-","13","-","<= 10","-","65","-","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","20","-","-","-","-","14","12 - 22 %","-","45 - 55 %","-","0 - 9 %","-","31%","-","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","NORFOLK","11","<= 10","31","<= 10","<= 10","-","<= 10","-","<= 10","-","<= 10","<= 10","-","-","-","-","-","<= 10","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","9 - 19 %","-","0 - 9 %","-","0 - 9 %","0 - 9 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","NORTH CANAAN","17","<= 10","56","22","<= 10","<= 10","19","-","-","-","27","-","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","49 - 59 %","0 - 9 %","46 - 56 %","-","-","-","36 - 46 %","-","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","ROXBURY","<= 10","<= 10","18","<= 10","<= 10","-","<= 10","-","-","-","14","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","28 - 38 %","-","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","SALISBURY","<= 10","<= 10","23","<= 10","<= 10","<= 10","<= 10","-","-","-","13","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","49 - 59 %","0 - 9 %","49 - 59 %","-","-","-","30 - 40 %","0 - 9 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","SHARON","<= 10","<= 10","23","<= 10","<= 10","<= 10","<= 10","-","-","-","14","<= 10","-","-","-","<= 10","-","-","-","-","-","<= 10","-","-","-","-","<= 10","79 - 89 %","0 - 9 %","0 - 9 %","-","-","-","35 - 45 %","0 - 9 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","THOMASTON","58","<= 10","122","<= 10","12","<= 10","24","-","-","-","76","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","-","0 - 9 %","12 - 22 %","-","-","-","4 - 14 %","16 - 26 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","TORRINGTON","455","83","1199","233","96","33","235","-","35","-","744","31","-","14","11","<= 10","<= 10","59","-","<= 10","-","149","<= 10","-","-","-","114","9 - 19 %","14 - 24 %","25%","-","10 - 20 %","-","20%","18 - 28 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","WARREN","<= 10","<= 10","<= 10","-","-","-","-","-","<= 10","-","<= 10","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","0 - 9 %","-","0 - 9 %","-","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","WASHINGTON","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","-","0 - 9 %","-","-","-","-","62 - 72 %","-","-","-","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","WATERTOWN","96","12","277","67","32","<= 10","46","-","<= 10","-","162","<= 10","-","23","<= 10","<= 10","-","18","-","-","-","31","-","-","12","<= 10","21","15 - 25 %","0 - 9 %","39%","-","0 - 9 %","-","19%","0 - 9 %","-","52%","99 - 109 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","TORRINGTON","WINCHESTER","140","22","319","43","25","<= 10","69","-","13","-","190","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","33","-","-","-","-","31","3 - 13 %","13 - 23 %","11 - 21 %","-","-","-","17%","0 - 9 %","0 - 9 %","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","BEACON FALLS","28","<= 10","71","20","<= 10","<= 10","<= 10","-","-","-","46","-","-","<= 10","-","-","<= 10","<= 10","-","-","-","13","-","-","-","-","<= 10","0 - 9 %","85 - 95 %","10 - 20 %","-","-","-","28%","-","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","MERIDEN","CHESHIRE","73","15","242","61","21","-","63","-","<= 10","-","141","<= 10","-","<= 10","<= 10","<= 10","-","25","-","<= 10","-","31","<= 10","-","-","-","27","9 - 19 %","-","40%","-","28 - 38 %","-","22%","24 - 34 %","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","MIDDLEBURY","17","<= 10","28","<= 10","<= 10","-","<= 10","-","<= 10","-","13","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","0 - 9 %","-","14 - 24 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","NAUGATUCK","326","65","944","257","73","16","184","-","18","-","627","13","-","12","<= 10","<= 10","<= 10","65","-","<= 10","-","175","<= 10","-","<= 10","-","98","4 - 14 %","43 - 53 %","35%","-","10 - 20 %","-","28%","22 - 32 %","-","7 - 17 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","OXFORD","57","<= 10","103","11","15","<= 10","<= 10","-","<= 10","-","59","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","-","-","-","<= 10","-","-","-","-","<= 10","-","49 - 59 %","0 - 9 %","-","0 - 9 %","-","11 - 21 %","0 - 9 %","0 - 9 %","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","PROSPECT","35","<= 10","91","22","<= 10","<= 10","27","-","-","-","42","<= 10","-","-","<= 10","<= 10","<= 10","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","10 - 20 %","79 - 89 %","29 - 39 %","-","-","-","11 - 21 %","0 - 9 %","-","-","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","SOUTHBURY","53","12","149","56","14","<= 10","37","-","<= 10","-","76","<= 10","<= 10","<= 10","<= 10","-","<= 10","20","-","-","-","28","<= 10","-","-","<= 10","16","-","49 - 59 %","54%","-","0 - 9 %","-","37%","59 - 69 %","0 - 9 %","0 - 9 %","49 - 59 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","WATERBURY","1932","403","5313","1569","556","245","935","-","90","-","3249","117","15","76","30","60","115","381","-","20","-","926","46","<= 10","<= 10","13","583","11%","47%","41%","-","22%","-","29%","39%","26 - 36 %","4 - 14 %","43%"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","WOLCOTT","62","13","166","38","14","<= 10","36","-","<= 10","-","98","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","28","-","-","-","<= 10","16","6 - 16 %","0 - 9 %","21 - 31 %","-","0 - 9 %","-","29%","0 - 9 %","-","0 - 9 %","99 - 109 %"
"07/01/2015 - 06/30/2016","2016","REGION 5","WATERBURY","WOODBURY","35","<= 10","100","13","15","<= 10","14","-","-","-","60","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","-","0 - 9 %","49 - 59 %","-","-","-","7 - 17 %","0 - 9 %","-","99 - 109 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","MERIDEN","MERIDEN","930","150","2426","465","213","66","405","-","70","-","1593","29","<= 10","31","18","11","12","72","-","16","-","342","<= 10","-","<= 10","<= 10","230","5%","18%","18%","-","23%","-","21%","20 - 30 %","0 - 9 %","9 - 19 %","16 - 26 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","MERIDEN","WALLINGFORD","273","25","602","55","83","29","79","-","<= 10","-","366","<= 10","<= 10","28","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","39","-","-","-","-","30","1 - 11 %","13 - 23 %","10 - 20 %","-","32 - 42 %","-","11%","0 - 9 %","0 - 9 %","-","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","AVON","36","<= 10","104","16","<= 10","-","33","-","<= 10","-","62","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","17 - 27 %","-","0 - 9 %","-","14 - 24 %","49 - 59 %","-","-","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","BERLIN","80","14","199","28","15","<= 10","34","-","<= 10","-","128","<= 10","-","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","17","<= 10","-","-","-","20","19 - 29 %","10 - 20 %","5 - 15 %","-","66 - 76 %","-","13%","32 - 42 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","BRISTOL","701","136","1706","321","157","52","283","-","34","-","1088","40","<= 10","41","<= 10","13","15","52","-","<= 10","-","220","<= 10","-","<= 10","<= 10","177","8%","29%","18%","-","23 - 33 %","-","20%","22 - 32 %","0 - 9 %","1 - 11 %","29 - 39 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","BURLINGTON","24","<= 10","60","15","<= 10","<= 10","13","-","<= 10","-","40","<= 10","-","-","<= 10","-","-","<= 10","-","-","-","11","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","30 - 40 %","-","0 - 9 %","-","28%","0 - 9 %","-","-","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","CANTON","37","<= 10","68","15","<= 10","-","12","-","-","-","47","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","13","-","-","-","-","<= 10","19 - 29 %","-","7 - 17 %","-","-","-","28%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","FARMINGTON","95","14","255","35","29","<= 10","63","-","<= 10","-","147","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","25","<= 10","-","<= 10","-","21","-","0 - 9 %","9 - 19 %","-","0 - 9 %","-","17%","32 - 42 %","-","37 - 47 %","0%"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","NEW BRITAIN","1213","199","2907","446","350","93","458","-","47","-","1814","78","<= 10","47","16","42","16","52","-","<= 10","-","300","23","-","<= 10","<= 10","269","12%","17%","11%","-","12 - 22 %","-","17%","29%","0 - 9 %","10 - 20 %","12 - 22 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","NEWINGTON","147","25","296","56","37","<= 10","46","-","<= 10","-","177","12","-","<= 10","<= 10","-","-","<= 10","-","-","-","38","<= 10","-","<= 10","-","32","-","0 - 9 %","8 - 18 %","-","0 - 9 %","-","21%","74 - 84 %","-","55 - 65 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","PLAINVILLE","129","21","297","39","25","12","41","-","<= 10","-","200","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","-","-","28","<= 10","-","-","-","28","15 - 25 %","-","14 - 24 %","-","0 - 9 %","-","14%","49 - 59 %","0 - 9 %","0 - 9 %","0 - 9 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","PLYMOUTH","111","19","267","48","29","15","59","-","<= 10","-","147","<= 10","-","<= 10","-","-","<= 10","12","-","-","-","33","<= 10","-","-","-","28","-","12 - 22 %","20%","-","0 - 9 %","-","22%","12 - 22 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","ROCKY HILL","68","11","155","37","28","<= 10","30","-","<= 10","-","78","<= 10","-","<= 10","-","<= 10","-","13","-","-","-","20","<= 10","-","-","-","19","6 - 16 %","0 - 9 %","43%","-","0 - 9 %","-","26%","21 - 31 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","SIMSBURY","64","<= 10","141","11","16","<= 10","16","-","<= 10","-","95","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","5 - 15 %","0 - 9 %","12 - 22 %","-","0 - 9 %","-","6 - 16 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","SOUTHINGTON","235","30","514","79","61","19","81","-","14","-","314","16","-","<= 10","<= 10","<= 10","<= 10","17","-","<= 10","-","48","<= 10","-","<= 10","<= 10","41","2 - 12 %","15 - 25 %","21%","-","6 - 16 %","-","15%","37 - 47 %","-","12 - 22 %","99 - 109 %"
"07/01/2015 - 06/30/2016","2016","REGION 6","NEW BRITAIN","WETHERSFIELD","109","11","227","15","26","15","34","-","<= 10","-","139","<= 10","-","<= 10","-","-","<= 10","<= 10","-","-","-","11","-","-","-","-","12","-","19 - 29 %","2 - 12 %","-","0 - 9 %","-","8%","0 - 9 %","-","0 - 9 %","-"
"07/01/2014 - 06/30/2015","2015","ALL","NULL","Statewide","29311","4767","73715","13895","7723","2655","12478","-","1480","-","45348","1844","75","1576","536","571","604","2675","-","323","-","8975","472","<= 10","148","120","6775","7%","23%","21%","-","22%","-","20%","26%","8 - 18 %","9%","22%"
"07/01/2014 - 06/30/2015","2015","OTHER","NULL","OTHER","125","26","291","64","26","<= 10","44","-","<= 10","-","183","13","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","45","<= 10","-","-","-","38","7 - 17 %","39 - 49 %","22 - 32 %","-","9 - 19 %","-","25%","14 - 24 %","-","0 - 9 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","OTHER","NULL","Out Of State","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","BRIDGEPORT","2038","392","4623","947","598","307","644","-","155","-","2649","136","<= 10","89","41","51","54","122","-","39","-","617","36","-","16","12","596","9%","18%","19%","-","25%","-","23%","26%","0 - 9 %","18%","29%"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","EASTON","21","<= 10","51","-","<= 10","-","11","-","<= 10","-","34","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","-","-","0 - 9 %","-","-","-","-","0 - 9 %","-"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","FAIRFIELD","186","27","417","62","44","19","89","-","<= 10","-","227","15","-","11","<= 10","<= 10","<= 10","13","-","-","-","40","<= 10","-","-","-","39","4 - 14 %","20 - 30 %","15%","-","0 - 9 %","-","18%","19 - 29 %","-","-","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","MONROE","47","<= 10","120","27","11","<= 10","18","-","-","-","81","<= 10","-","<= 10","<= 10","<= 10","<= 10","-","-","-","-","18","-","-","<= 10","<= 10","13","17 - 27 %","99 - 109 %","-","-","-","-","22%","0 - 9 %","-","74 - 84 %","99 - 109 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","STRATFORD","313","60","759","141","76","20","116","-","23","-","475","27","<= 10","14","<= 10","<= 10","<= 10","21","-","<= 10","-","85","19","-","<= 10","-","90","6 - 16 %","9 - 19 %","18%","-","29 - 39 %","-","18%","70%","0 - 9 %","13 - 23 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","BRIDGEPORT","TRUMBULL","98","20","228","47","32","<= 10","36","-","<= 10","-","130","<= 10","<= 10","12","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","30","<= 10","-","-","<= 10","31","8 - 18 %","24 - 34 %","21 - 31 %","-","66 - 76 %","-","23%","24 - 34 %","0 - 9 %","-","49 - 59 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","DARIEN","31","<= 10","70","<= 10","<= 10","-","<= 10","-","<= 10","-","50","<= 10","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","0 - 9 %","-","9 - 19 %","0 - 9 %","-","-","-"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","GREENWICH","196","20","426","37","65","14","95","-","<= 10","-","214","<= 10","-","19","<= 10","-","<= 10","<= 10","-","-","-","25","<= 10","-","<= 10","-","24","-","6 - 16 %","8 - 18 %","-","0 - 9 %","-","12%","10 - 20 %","-","4 - 14 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","NEW CANAAN","37","<= 10","68","<= 10","<= 10","-","12","-","-","-","42","-","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","19 - 29 %","-","7 - 17 %","-","-","-","9 - 19 %","-","-","0 - 9 %","-"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","NORWALK","572","84","1243","193","156","42","201","-","59","-","720","23","<= 10","21","19","<= 10","<= 10","29","-","<= 10","-","128","<= 10","-","<= 10","<= 10","124","5 - 15 %","18 - 28 %","14%","-","9 - 19 %","-","18%","25 - 35 %","0 - 9 %","9 - 19 %","25 - 35 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","STAMFORD","933","105","1974","241","281","97","288","-","28","-","1157","64","<= 10","44","14","24","13","37","-","<= 10","-","145","14","-","<= 10","<= 10","143","9%","13%","13%","-","13 - 23 %","-","13%","22%","0 - 9 %","1 - 11 %","20 - 30 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","WESTON","18","<= 10","43","<= 10","<= 10","<= 10","<= 10","-","-","-","23","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","32 - 42 %","-","-","-","16 - 26 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","WESTPORT","83","11","193","23","22","<= 10","51","-","<= 10","-","96","<= 10","-","<= 10","<= 10","-","-","<= 10","-","<= 10","-","11","<= 10","-","-","-","16","-","0 - 9 %","13 - 23 %","-","43 - 53 %","-","11%","19 - 29 %","-","0 - 9 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 1","NORWALK","WILTON","41","<= 10","86","15","<= 10","<= 10","20","-","<= 10","-","54","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","12","0 - 9 %","0 - 9 %","34 - 44 %","-","0 - 9 %","-","12 - 22 %","0 - 9 %","-","0 - 9 %","99 - 109 %"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","ANSONIA","235","57","622","154","52","33","118","-","<= 10","-","374","16","-","13","<= 10","<= 10","<= 10","28","-","<= 10","-","109","<= 10","-","<= 10","-","86","1 - 11 %","23 - 33 %","24%","-","24 - 34 %","-","29%","30 - 40 %","-","7 - 17 %","0 - 9 %"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","BETHANY","21","<= 10","39","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","21","<= 10","-","<= 10","-","-","<= 10","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","99 - 109 %","0 - 9 %","-","0 - 9 %","-","-","0 - 9 %","-","0 - 9 %","-"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","BRANFORD","152","27","357","64","28","13","62","-","<= 10","-","230","11","-","<= 10","<= 10","<= 10","<= 10","18","-","<= 10","-","34","<= 10","-","-","<= 10","35","6 - 16 %","37 - 47 %","29%","-","13 - 23 %","-","15%","26 - 36 %","-","0 - 9 %","99 - 109 %"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","DERBY","152","31","382","85","37","29","54","-","12","-","227","<= 10","-","<= 10","18","<= 10","15","<= 10","-","<= 10","-","44","-","-","-","13","46","10 - 20 %","52%","12 - 22 %","-","16 - 26 %","-","19%","0 - 9 %","-","0 - 9 %","-"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","EAST HAVEN","316","49","833","111","83","34","151","-","<= 10","-","511","14","-","24","<= 10","<= 10","<= 10","18","-","<= 10","-","77","<= 10","-","<= 10","<= 10","65","3 - 13 %","11 - 21 %","12%","-","39 - 49 %","-","15%","20 - 30 %","-","3 - 13 %","16 - 26 %"
"07/01/2014 - 06/30/2015","2015","REGION 2","MILFORD","HAMDEN","319","57","684","103","92","19","98","-","14","-","409","30","<= 10","14","<= 10","<= 10","11","19","-","<= 10","-","55","<= 10","-","<= 10","-","75","3 - 13 %","58%","19%","-","13 - 23 %","-","13%","32 - 42 %","0 - 9 %","13 - 23 %","0 - 9 %"
