"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2018-19",,"TOWN UNKNOWN","32510743","274646","1952000","14640","28095743","24345743","182593","3750000","46875",,,,,"50000","375","2413000","30163","0","0","106","58"
"FY 2018-19",,"ALL MUNICIPALITIES","21734674444","188582092","612280928","4592107","17092333988","14725654952","110441065","2366679036","29583488",,,,,"1278831709","9591238","2747997161","34349965","3230658","24230","56654","27686"
"FY 2017-18","001","ANDOVER (001)","13652730","102395","471000","3533","13037730","13037730","97783","0","0",,,,,"144000","1080","0","0","0","0","63","47"
"FY 2017-18","002","ANSONIA (002)","43712455","330143","1262975","9472","41870367","41750367","313128","120000","1500",,,,,"0","0","340000","4250","239113","1793","238","178"
"FY 2017-18","003","ASHFORD (003)","26773370","225963","494000","3705","13869734","13869734","104023","0","0",,,,,"7377136","55329","5032500","62906","0","0","84","59"
"FY 2017-18","004","AVON (004)","156824766","1255788","630105","4726","145057661","139354261","1045157","5703400","71293",,,,,"920000","6900","10217000","127713","0","0","389","186"
"FY 2017-18","005","BARKHAMSTED (005)","14899549","118364","1022700","7670","12621849","12553349","94150","68500","856",,,,,"0","0","1255000","15688","0","0","56","52"
"FY 2017-18","006","BEACON FALLS (006)","24092188","180691","338000","2535","23754187","23754187","178156","0","0",,,,,"1","0","0","0","0","0","107","70"
"FY 2017-18","007","BERLIN (007)","93413045","792248","2552300","19142","72365811","72365811","542744","0","0",,,,,"165000","1238","18329934","229124","0","0","309","186"
"FY 2017-18","008","BETHANY (008)","23319550","180827","1109250","8319","21203300","20874300","156557","329000","4113",,,,,"150000","1125","857000","10713","0","0","79","61"
"FY 2017-18","009","BETHEL (009)","116533355","914239","1900500","14254","105788605","105767005","793253","21600","270",,,,,"818040","6135","8026210","100328","0","0","341","169"
"FY 2017-18","010","BETHLEHEM (010)","13588836","105916","580201","4352","13008635","12208635","91565","800000","10000",,,,,"0","0","0","0","0","0","49","50"
"FY 2017-18","011","BLOOMFIELD (011)","103989584","809197","5038600","37790","59745984","59745984","448095","0","0",,,,,"33350000","250125","5855000","73188","0","0","284","194"
"FY 2017-18","012","BOLTON (012)","22008618","168146","1430500","10729","19566982","19566982","146752","0","0",,,,,"394900","2962","616236","7703","0","0","86","53"
"FY 2017-18","013","BOZRAH (013)","6796900","54102","1832500","13744","4339400","4339400","32546","0","0",,,,,"0","0","625000","7813","0","0","34","28"
"FY 2017-18","014","BRANFORD (014)","162097898","1299492","5183534","38877","145977438","139186843","1043901","6790595","84882",,,,,"976000","7320","9960926","124512","0","0","529","409"
"FY 2017-18","015","BRIDGEPORT (015)","286129889","2277027","9351181","70134","220485222","219975222","1649814","510000","6375",,,,,"30592883","229447","25700603","321258","0","0","1489","966"
"FY 2017-18","016","BRIDGEWATER (016)","23777300","214090","4212500","31594","16614800","12412800","93096","4202000","52525",,,,,"0","0","2950000","36875","0","0","32","17"
"FY 2017-18","017","BRISTOL (017)","183143311","1469745","3650862","27381","153032092","152252092","1141891","780000","9750",,,,,"8006300","60047","18454057","230676","0","0","948","614"
"FY 2017-18","018","BROOKFIELD (018)","150238978","1328653","4047600","30357","113856687","105814287","793607","8042400","100530",,,,,"5000","38","32329691","404121","0","0","326","207"
"FY 2017-18","019","BROOKLYN (019)","34923795","264503","1350545","10129","32629250","32629250","244719","0","0",,,,,"243000","1823","515000","6438","186000","1395","166","107"
"FY 2017-18","020","BURLINGTON (020)","56856221","437488","3827000","28703","50815888","50815888","381119","0","0",,,,,"0","0","2213333","27667","0","0","160","79"
"FY 2017-18","021","CANAAN (021)","4996859","37796","0","0","4932859","4932859","36996","0","0",,,,,"0","0","64000","800","0","0","21","21"
"FY 2017-18","022","CANTERBURY (022)","16533716","124003","1681700","12613","14852016","14852016","111390","0","0",,,,,"0","0","0","0","0","0","89","71"
"FY 2017-18","023","CANTON (023)","59775427","468820","1421400","10661","54753194","54253194","406899","500000","6250",,,,,"0","0","3600833","45010","0","0","195","114"
"FY 2017-18","024","CHAPLIN (024)","5461985","42465","503025","3773","4658960","4658960","34942","0","0",,,,,"0","0","300000","3750","0","0","30","24"
"FY 2017-18","025","CHESHIRE (025)","156125576","1221594","4219090","31643","144278287","141775981","1063320","2502306","31279",,,,,"0","0","7628200","95353","0","0","473","238"
"FY 2017-18","026","CHESTER (026)","28066900","212027","117500","881","14109400","14109400","105821","0","0",,,,,"13535000","101513","305000","3813","0","0","53","34"
"FY 2017-18","027","CLINTON (027)","70733428","546149","2459423","18446","65160205","62914896","471862","2245309","28066",,,,,"2229500","16721","884300","11054","0","0","256","181"
"FY 2017-18","028","COLCHESTER (028)","68894465","533433","2332718","17495","63216747","63216747","474126","0","0",,,,,"0","0","3345000","41813","0","0","276","141"
"FY 2017-18","029","COLEBROOK (029)","6144200","47482","1131200","8484","4848000","4698000","35235","150000","1875",,,,,"35000","263","130000","1625","0","0","28","29"
"FY 2017-18","030","COLUMBIA (030)","22180172","175206","141000","1058","20289272","20243272","151825","46000","575",,,,,"25000","188","1724900","21561","0","0","90","47"
"FY 2017-18","031","CORNWALL (031)","13204850","107036","2160000","16200","10744850","9444850","70836","1300000","16250",,,,,"0","0","300000","3750","0","0","34","22"
"FY 2017-18","032","COVENTRY (032)","67081922","519046","1274334","9558","62680088","62383788","467878","296300","3704",,,,,"237500","1781","2890000","36125","0","0","286","167"
"FY 2017-18","033","CROMWELL (033)","76619375","597070","14072665","105545","57534210","57534210","431507","0","0",,,,,"527500","3956","4485000","56063","0","0","269","125"
"FY 2017-18","034","DANBURY (034)","511138117","3974952","7915001","59363","305489996","304463671","2283478","1026325","12829",,,,,"170476243","1278572","27256877","340711","0","0","1118","569"
"FY 2017-18","035","DARIEN (035)","548457427","5550656","9762147","73216","531935280","251250243","1884377","280685037","3508563",,,,,"0","0","6760000","84500","0","0","334","182"
"FY 2017-18","036","DEEP RIVER (036)","26632208","230749","129495","971","21093713","20301213","152259","792500","9906",,,,,"0","0","5409000","67613","0","0","90","58"
"FY 2017-18","037","DERBY (037)","33356840","256536","790900","5932","31102940","31102940","233272","0","0",,,,,"191000","1433","1272000","15900","0","0","193","122"
"FY 2017-18","038","DURHAM (038)","30482580","238269","2058396","15438","26494284","26494284","198707","0","0",,,,,"0","0","1929900","24124","0","0","103","63"
"FY 2017-18","039","EASTFORD (039)","7181050","53858","234000","1755","6547050","6547050","49103","0","0",,,,,"400000","3000","0","0","0","0","35","28"
"FY 2017-18","040","EAST GRANBY (040)","27941980","244708","1360000","10200","19478300","19478300","146087","0","0",,,,,"75000","563","7028680","87859","0","0","90","56"
"FY 2017-18","041","EAST HADDAM (041)","42444563","327325","3069125","23018","37259360","37259360","279445","0","0",,,,,"20001","150","1798250","22478","297827","2234","196","165"
"FY 2017-18","042","EAST HAMPTON (042)","62890739","499776","2305610","17292","54519239","54519239","408894","0","0",,,,,"446890","3352","5619000","70238","0","0","270","167"
"FY 2017-18","043","EAST HARTFORD (043)","132612595","1149294","2875808","21569","90369432","90369432","677771","0","0",,,,,"8427500","63206","30939855","386748","0","0","710","429"
"FY 2017-18","044","EAST HAVEN (044)","97931493","771014","5381900","40364","78486505","78486505","588649","0","0",,,,,"6757500","50681","7305588","91320","0","0","461","334"
"FY 2017-18","045","EAST LYME (045)","130048356","1022025","2837000","21278","120033956","117058956","877942","2975000","37188",,,,,"820000","6150","6357400","79468","0","0","397","231"
"FY 2017-18","046","EASTON (046)","81714019","627475","2333501","17501","79380518","76456518","573424","2924000","36550",,,,,"0","0","0","0","0","0","147","77"
"FY 2017-18","047","EAST WINDSOR (047)","58398610","506685","1050703","7880","35073007","35073007","263048","0","0",,,,,"8535900","64019","13739000","171738","0","0","198","113"
"FY 2017-18","048","ELLINGTON (048)","65484226","495943","2818050","21135","61487837","61475538","461067","12299","154",,,,,"30000","225","950000","11875","198339","1488","253","139"
"FY 2017-18","049","ENFIELD (049)","298809303","3113367","3149164","23619","120658792","120658792","904941","0","0",,,,,"350000","2625","174459428","2180743","191919","1439","710","341"
"FY 2017-18","050","ESSEX (050)","76081697","636543","3574500","26809","72186197","59321197","444909","12865000","160813",,,,,"0","0","321000","4013","0","0","159","88"
"FY 2017-18","051","FAIRFIELD (051)","720518965","6241790","11703032","87773","654790836","528557945","3964185","126232891","1577911",,,,,"12678500","95089","41346597","516832","0","0","1023","457"
"FY 2017-18","052","FARMINGTON (052)","181864516","1477231","2228500","16714","163482270","153686665","1152650","9795605","122445",,,,,"3300000","24750","12853746","160672","0","0","500","297"
"FY 2017-18","053","FRANKLIN (053)","5031217","38234","404667","3035","4526550","4526550","33949","0","0",,,,,"0","0","100000","1250","0","0","25","38"
"FY 2017-18","054","GLASTONBURY (054)","215981087","1677324","4983003","37373","199695585","198718921","1490392","976664","12208",,,,,"786000","5895","10516500","131456","0","0","608","334"
"FY 2017-18","055","GOSHEN (055)","17681712","132775","1291200","9684","16390512","16358012","122685","32500","406",,,,,"0","0","0","0","0","0","72","61"
"FY 2017-18","056","GRANBY (056)","65897610","508482","1481450","11111","56166160","56166160","421246","0","0",,,,,"5400000","40500","2850000","35625","0","0","208","110"
"FY 2017-18","057","GREENWICH (057)","1968106093","21061110","27762306","208217","1793040337","652872166","4896541","1140168171","14252102",,,,,"27408692","205565","119894758","1498684","0","0","939","554"
"FY 2017-18","058","GRISWOLD (058)","36373596","299384","1018866","7641","29315230","29315230","219864","0","0",,,,,"723000","5423","5316500","66456","0","0","186","174"
"FY 2017-18","059","GROTON (059)","168150339","1334255","1886000","14145","131612676","128727676","965458","2885000","36063",,,,,"22612600","169595","11740403","146755","298661","2240","549","343"
"FY 2017-18","060","GUILFORD (060)","162643592","1272238","4269500","32021","156812178","147630826","1107231","9181352","114767",,,,,"261014","1958","1300900","16261","0","0","407","287"
"FY 2017-18","061","HADDAM (061)","33294727","250325","2061200","15459","31110661","31110661","233330","0","0",,,,,"0","0","122866","1536","0","0","125","73"
"FY 2017-18","062","HAMDEN (062)","265396890","2106018","3943450","29576","163744951","162474950","1218562","1270000","15875",,,,,"75870139","569026","21838350","272979","0","0","894","531"
"FY 2017-18","063","HAMPTON (063)","6235500","46766","130000","975","6105500","6105500","45791","0","0",,,,,"0","0","0","0","0","0","31","34"
"FY 2017-18","064","HARTFORD (064)","241795051","2080299","1793973","13455","109632843","108552843","814146","1080000","13500",,,,,"78081085","585608","52287149","653589","0","0","809","535"
"FY 2017-18","065","HARTLAND (065)","4994490","37459","525100","3938","4469390","4469390","33520","0","0",,,,,"0","0","0","0","0","0","25","31"
"FY 2017-18","066","HARWINTON (066)","16982929","129797","2016085","15121","14481844","14481844","108614","0","0",,,,,"0","0","485000","6063","0","0","75","61"
"FY 2017-18","067","HEBRON (067)","42902317","322467","673500","5051","41921317","41921317","314410","0","0",,,,,"167500","1256","140000","1750","0","0","167","77"
"FY 2017-18","068","KENT (068)","36846850","346551","1511180","11334","32890670","21295670","159718","11595000","144938",,,,,"0","0","2445000","30563","0","0","60","41"
"FY 2017-18","069","KILLINGLY (069)","75173558","592775","4211106","31583","64613324","64613324","484600","0","0",,,,,"554500","4159","5794628","72433","0","0","384","248"
"FY 2017-18","070","KILLINGWORTH (070)","38261450","289361","1938054","14535","36093396","35843396","268825","250000","3125",,,,,"0","0","230000","2875","0","0","135","46"
"FY 2017-18","071","LEBANON (071)","29735162","224264","509455","3821","28930707","28930707","216980","0","0",,,,,"45000","338","250000","3125","0","0","147","105"
"FY 2017-18","072","LEDYARD (072)","68103855","518478","6305400","47291","59883555","59883555","449127","0","0",,,,,"375000","2813","1539900","19249","0","0","307","140"
"FY 2017-18","073","LISBON (073)","13122318","101667","995500","7466","11476818","11476818","86076","0","0",,,,,"0","0","650000","8125","0","0","70","55"
"FY 2017-18","074","LITCHFIELD (074)","49204080","393356","3058205","22937","42875771","41280771","309606","1595000","19938",,,,,"0","0","3270104","40876","0","0","165","110"
"FY 2017-18","075","LYME (075)","26190100","206575","2467000","18503","23718200","21693200","162699","2025000","25313",,,,,"0","0","4900","61","0","0","60","47"
"FY 2017-18","076","MADISON (076)","178445355","1432698","6311470","47336","168299685","152419846","1143149","15879839","198498",,,,,"842500","6319","2991700","37396","0","0","378","241"
"FY 2017-18","077","MANCHESTER (077)","269764203","2570509","5808265","43562","142945352","142945352","1072090","0","0",,,,,"11555000","86663","109455586","1368195","0","0","859","454"
"FY 2017-18","078","MANSFIELD (078)","74311852","665059","1763375","13225","44927477","44927477","336956","0","0",,,,,"6077000","45578","21544000","269300","0","0","231","163"
"FY 2017-18","079","MARLBOROUGH (079)","27967474","227671","1348900","10117","23510674","23035674","172768","475000","5938",,,,,"0","0","3107900","38849","0","0","98","60"
"FY 2017-18","080","MERIDEN (080)","144923629","1166489","4163189","31224","117833040","117833040","883748","0","0",,,,,"7015000","52613","15912400","198905","0","0","829","601"
"FY 2017-18","081","MIDDLEBURY (081)","49425198","378164","2270400","17028","46194798","45659798","342448","535000","6688",,,,,"0","0","960000","12000","0","0","142","76"
"FY 2017-18","082","MIDDLEFIELD (082)","21317549","166908","374410","2808","19787839","19537839","146534","250000","3125",,,,,"0","0","1155300","14441","0","0","79","50"
"FY 2017-18","083","MIDDLETOWN (083)","200736894","1573025","3154100","23656","115474917","115474917","866062","0","0",,,,,"68608252","514562","13499625","168745","0","0","660","405"
"FY 2017-18","084","MILFORD (084)","385951051","3179615","8727001","65453","272456352","269283029","2019623","3173323","39667",,,,,"50944500","382084","53823198","672790","0","0","990","555"
"FY 2017-18","085","MONROE (085)","110422406","875380","6033745","45253","92029405","91511405","686336","518000","6475",,,,,"0","0","8924390","111555","3434866","25761","296","169"
"FY 2017-18","086","MONTVILLE (086)","78072204","648802","14784505","110884","48573949","48573949","364305","0","0",,,,,"2061750","15463","12652000","158150","0","0","287","229"
"FY 2017-18","087","MORRIS (087)","16823856","142414","362000","2715","16404856","13214856","99111","3190000","39875",,,,,"0","0","57000","713","0","0","39","30"
"FY 2017-18","088","NAUGATUCK (088)","69530831","549366","2526710","18950","61029044","61029044","457718","0","0",,,,,"398077","2986","5577000","69713","0","0","431","312"
"FY 2017-18","089","NEW BRITAIN (089)","158158237","1333120","5785365","43390","106855292","106845292","801340","10000","125",,,,,"16140885","121057","29376695","367209","0","0","812","543"
"FY 2017-18","090","NEW CANAAN (090)","487276418","4910163","6492100","48691","463488318","227836328","1708772","235651989","2945650",,,,,"1830000","13725","15466000","193325","0","0","332","173"
"FY 2017-18","091","NEW FAIRFIELD (091)","88693994","708372","3580139","26851","84533855","76350355","572628","8183500","102294",,,,,"130000","975","450000","5625","0","0","232","157"
"FY 2017-18","092","NEW HARTFORD (092)","25515985","191370","731600","5487","24770385","24770385","185778","0","0",,,,,"14000","105","0","0","0","0","109","67"
"FY 2017-18","093","NEW HAVEN (093)","405426806","3696726","6553229","49149","189193485","183375035","1375313","5818450","72731",,,,,"84293624","632202","125386468","1567331","0","0","898","956"
"FY 2017-18","094","NEWINGTON (094)","128296300","1133816","2075375","15565","91641781","91641781","687313","0","0",,,,,"91000","683","34318834","428985","169310","1270","469","287"
"FY 2017-18","095","NEW LONDON (095)","68224674","575758","1166087","8746","42918350","42795826","320969","122524","1532",,,,,"11412237","85592","12692000","158650","36000","270","307","256"
"FY 2017-18","096","NEW MILFORD (096)","151955456","1280176","4659802","34949","120337091","117183591","878877","3153500","39419",,,,,"2010000","15075","24948564","311857","0","0","510","305"
"FY 2017-18","097","NEWTOWN (097)","201556414","1560077","7427673","55708","180418041","175658041","1317435","4760000","59500",,,,,"8790000","65925","4920700","61509","0","0","508","248"
"FY 2017-18","098","NORFOLK (098)","14308381","114219","457500","3431","13694800","12469700","93523","1225100","15314",,,,,"0","0","156081","1951","0","0","41","40"
"FY 2017-18","099","NORTH BRANFORD (099)","46839483","358846","2437387","18280","42892096","42892096","321691","0","0",,,,,"0","0","1510000","18875","0","0","184","152"
"FY 2017-18","100","NORTH CANAAN (100)","8936933","70597","510000","3825","8162933","7712933","57847","450000","5625",,,,,"0","0","264000","3300","0","0","46","28"
"FY 2017-18","101","NORTH HAVEN (101)","139416795","1209539","10788684","80915","86460961","86350961","647632","110000","1375",,,,,"9494525","71209","32672625","408408","0","0","346","223"
"FY 2017-18","102","NORTH STONINGTON (102)","24944731","199440","2435650","18267","20263081","20038081","150286","225000","2813",,,,,"0","0","2246000","28075","0","0","101","71"
"FY 2017-18","103","NORWALK (103)","789972765","7222849","11727465","87956","539011121","470745893","3530594","68265228","853315",,,,,"29627350","222205","191345327","2391817","18261503","136961","1229","588"
"FY 2017-18","104","NORWICH (104)","95177297","752768","2073300","15550","68861934","68861934","516465","0","0",,,,,"16454500","123409","7787563","97345","0","0","570","437"
"FY 2017-18","105","OLD LYME (105)","71716050","545670","1581000","11858","69375050","68575050","514313","800000","10000",,,,,"0","0","760000","9500","0","0","204","173"
"FY 2017-18","106","OLD SAYBROOK (106)","139196603","1230087","1532700","11495","125498728","99541392","746560","25957336","324467",,,,,"900000","6750","11265175","140815","0","0","280","189"
"FY 2017-18","107","ORANGE (107)","114046881","1020905","4031625","30237","81076656","76904580","576784","4172076","52151",,,,,"0","0","28938600","361733","0","0","210","123"
"FY 2017-18","108","OXFORD (108)","72991020","580713","4704450","35283","62380570","61630570","462229","750000","9375",,,,,"0","0","5906000","73825","0","0","202","143"
"FY 2017-18","109","PLAINFIELD (109)","98080832","1007291","4970449","37278","38742383","38742383","290568","0","0",,,,,"31000","233","54337000","679213","0","0","279","197"
"FY 2017-18","110","PLAINVILLE (110)","60814406","487471","3287400","24656","49557331","49557331","371680","0","0",,,,,"1697000","12728","6272675","78408","0","0","312","183"
"FY 2017-18","111","PLYMOUTH (111)","37373188","295011","1857599","13932","32673104","32573104","244298","100000","1250",,,,,"0","0","2842485","35531","0","0","215","150"
"FY 2017-18","112","POMFRET (112)","19474776","147038","1886000","14145","17393392","17393392","130450","0","0",,,,,"0","0","195384","2442","0","0","76","61"
"FY 2017-18","113","PORTLAND (113)","45803109","366228","3049226","22869","38212883","38212883","286597","0","0",,,,,"0","0","4541000","56763","0","0","189","117"
"FY 2017-18","114","PRESTON (114)","21401196","161060","1388720","10415","19902276","19902276","149267","0","0",,,,,"0","0","110200","1378","0","0","113","91"
"FY 2017-18","115","PROSPECT (115)","43365012","326200","1256000","9420","41916512","41916512","314374","0","0",,,,,"0","0","192500","2406","0","0","164","101"
"FY 2017-18","116","PUTNAM (116)","34293490","272663","2392671","17945","26652109","26652109","199891","0","0",,,,,"2080000","15600","3092400","38655","76309","572","194","121"
"FY 2017-18","117","REDDING (117)","64576495","516672","1791300","13435","58936095","56315596","422367","2620499","32756",,,,,"0","0","3849100","48114","0","0","120","72"
"FY 2017-18","118","RIDGEFIELD (118)","307595512","2535696","10812110","81091","284274902","251024921","1882687","33249982","415625",,,,,"12500","94","12496000","156200","0","0","458","217"
"FY 2017-18","119","ROCKY HILL (119)","76396281","617273","1109900","8324","66546176","66290707","497180","255469","3193",,,,,"0","0","8604740","107559","135465","1016","298","168"
"FY 2017-18","120","ROXBURY (120)","33255548","300641","2747900","20609","30507648","20262818","151971","10244830","128060",,,,,"0","0","0","0","0","0","47","50"
"FY 2017-18","121","SALEM (121)","23923040","190073","781000","5858","21697040","20947040","157103","750000","9375",,,,,"65000","488","1380000","17250","0","0","95","48"
"FY 2017-18","122","SALISBURY (122)","59549455","508224","5975000","44813","51345558","40864869","306487","10480689","131009",,,,,"388897","2917","1840000","23000","0","0","110","59"
"FY 2017-18","123","SCOTLAND (123)","2936841","22026","84941","637","2851900","2851900","21389","0","0",,,,,"0","0","0","0","0","0","17","14"
"FY 2017-18","124","SEYMOUR (124)","61344587","480559","838000","6285","55911587","55911587","419337","0","0",,,,,"500000","3750","4095000","51188","0","0","264","180"
"FY 2017-18","125","SHARON (125)","42637973","390444","2245000","16838","36149811","25941201","194559","10208610","127608",,,,,"320000","2400","3923162","49040","0","0","72","40"
"FY 2017-18","126","SHELTON (126)","281890437","2321143","6112750","45846","201650687","201115687","1508368","535000","6688",,,,,"33269000","249518","40858000","510725","0","0","660","342"
"FY 2017-18","127","SHERMAN (127)","41536884","349257","523190","3924","39663694","33467534","251007","6196160","77452",,,,,"0","0","1350000","16875","0","0","81","53"
"FY 2017-18","128","SIMSBURY (128)","170860250","1302377","2092000","15690","144280425","142785425","1070891","1495000","18688",,,,,"21797825","163484","2690000","33625","0","0","454","184"
"FY 2017-18","129","SOMERS (129)","43808808","339121","1445806","10844","41398502","39849502","298871","1549000","19363",,,,,"402500","3019","562000","7025","0","0","154","77"
"FY 2017-18","130","SOUTHBURY (130)","120617958","921436","2859915","21449","114490543","114217793","856633","272750","3409",,,,,"180000","1350","3087500","38594","0","0","475","239"
"FY 2017-18","131","SOUTHINGTON (131)","207768575","1656579","4666314","34997","184610261","183060258","1372952","1550003","19375",,,,,"379000","2843","18113000","226413","0","0","732","531"
"FY 2017-18","132","SOUTH WINDSOR (132)","164455475","1470890","8546743","64101","108496498","108408847","813066","87651","1096",,,,,"5000","38","47407235","592590","0","0","461","241"
"FY 2017-18","133","SPRAGUE (133)","5815200","43614","0","0","5815200","5815200","43614","0","0",,,,,"0","0","0","0","0","0","29","29"
"FY 2017-18","134","STAFFORD (134)","32591911","251053","1148318","8612","30046893","30046893","225352","0","0",,,,,"74000","555","1322700","16534","0","0","224","170"
"FY 2017-18","135","STAMFORD (135)","1139532024","9890763","29282549","219619","750359802","702083452","5265626","48276350","603454",,,,,"139311088","1044833","220578300","2757229","285","2","1638","866"
"FY 2017-18","136","STERLING (136)","15896172","128471","419000","3143","15477172","13627172","102204","1850000","23125",,,,,"0","0","0","0","0","0","85","50"
"FY 2017-18","137","STONINGTON (137)","174001162","1519024","8426875","63202","141562236","122210764","916581","19351472","241893",,,,,"343250","2574","23451501","293144","217300","1630","410","267"
"FY 2017-18","138","STRATFORD (138)","293326178","2619164","6585061","49388","203448576","202308576","1517314","1140000","14250",,,,,"588926","4417","82703615","1033795","0","0","921","548"
"FY 2017-18","139","SUFFIELD (139)","75159003","574068","5681058","42608","67736944","67101944","503265","635000","7938",,,,,"301000","2258","1440000","18000","0","0","248","173"
"FY 2017-18","140","THOMASTON (140)","21914401","187408","96200","722","16850676","16850676","126380","0","0",,,,,"215000","1613","4610000","57625","142525","1069","103","72"
"FY 2017-18","141","THOMPSON (141)","38946627","301225","5550000","41625","31571627","31571627","236787","0","0",,,,,"0","0","1825000","22813","0","0","184","142"
"FY 2017-18","142","TOLLAND (142)","56013656","434302","3107325","23305","49929331","49929331","374470","0","0",,,,,"137000","1028","2840000","35500","0","0","213","128"
"FY 2017-18","143","TORRINGTON (143)","84829117","687232","3286135","24646","70800273","70800273","531002","0","0",,,,,"539900","4049","10202808","127535","0","0","592","424"
"FY 2017-18","144","TRUMBULL (144)","229835529","1824754","8117200","60879","202257853","201287953","1509660","969900","12124",,,,,"1","0","19227610","240345","232865","1746","551","306"
"FY 2017-18","145","UNION (145)","7039867","57174","798967","5992","6090900","5365900","40244","725000","9063",,,,,"0","0","150000","1875","0","0","27","21"
"FY 2017-18","146","VERNON (146)","90209534","749928","995144","7464","73928138","73928138","554461","0","0",,,,,"516981","3877","14671200","183390","98071","736","439","239"
"FY 2017-18","147","VOLUNTOWN (147)","7077651","53082","216951","1627","6733700","6733700","50503","0","0",,,,,"127000","953","0","0","0","0","42","41"
"FY 2017-18","148","WALLINGFORD (148)","221731753","1896227","4673300","35050","151745753","150816867","1131127","928886","11611",,,,,"19593800","146954","45718900","571486","0","0","679","420"
"FY 2017-18","149","WARREN (149)","24187363","239020","2304630","17285","20782733","9259733","69448","11523000","144038",,,,,"1100000","8250","0","0","0","0","28","22"
"FY 2017-18","150","WASHINGTON (150)","57563974","525842","4227747","31708","53336227","34513727","258853","18822500","235281",,,,,"0","0","0","0","0","0","85","78"
"FY 2017-18","151","WATERBURY (151)","206081417","1889350","5067028","38003","133266208","129671710","972538","3594499","44931",,,,,"2506099","18796","65153390","814417","88692","665","1275","1105"
"FY 2017-18","152","WATERFORD (152)","98302834","772892","2611410","19586","88369824","87919824","659399","450000","5625",,,,,"647500","4856","6674100","83426","0","0","389","270"
"FY 2017-18","153","WATERTOWN (153)","83160848","659561","3857300","28930","72168548","72132548","540994","36000","450",,,,,"0","0","7135000","89188","0","0","359","251"
"FY 2017-18","154","WESTBROOK (154)","57543383","490193","845000","6338","48019923","44221673","331663","3798250","47478",,,,,"753150","5649","7925310","99066","0","0","180","264"
"FY 2017-18","155","WEST HARTFORD (155)","336511046","2599863","2394987","17962","317414577","312605077","2344538","4809500","60119",,,,,"6305000","47288","10396482","129956","0","0","986","461"
"FY 2017-18","156","WEST HAVEN (156)","137473193","1073199","10927716","81958","113918267","112820767","846156","1097500","13719",,,,,"5081000","38108","7332500","91656","213710","1603","670","452"
"FY 2017-18","157","WESTON (157)","116904151","968122","1223500","9176","112353481","94085370","705640","18268111","228351",,,,,"0","0","0","0","3327170","24954","150","88"
"FY 2017-18","158","WESTPORT (158)","760683967","7640336","13205203","99039","674283764","357187605","2678907","317096159","3963702",,,,,"3250000","24375","69945000","874313","0","0","518","281"
"FY 2017-18","159","WETHERSFIELD (159)","124007576","1016207","3484000","26130","101533575","101533575","761502","0","0",,,,,"1760000","13200","17230001","215375","0","0","458","277"
"FY 2017-18","160","WILLINGTON (160)","24320619","184367","1003457","7526","10086798","10086798","75651","0","0",,,,,"12837864","96284","392500","4906","0","0","68","56"
"FY 2017-18","161","WILTON (161)","196644833","1716834","2995500","22466","177394410","144749767","1085623","32644643","408058",,,,,"500000","3750","15754923","196937","0","0","248","131"
"FY 2017-18","162","WINCHESTER (162)","29764072","230591","1578100","11836","25855972","25855972","193920","0","0",,,,,"858000","6435","1472000","18400","0","0","160","112"
"FY 2017-18","163","WINDHAM (163)","43355204","380156","559808","4199","31465976","31465976","235995","0","0",,,,,"331000","2483","10998420","137480","0","0","255","167"
"FY 2017-18","164","WINDSOR (164)","132829275","1203282","2937400","22031","88039357","88039357","660295","0","0",,,,,"440000","3300","41412518","517656","0","0","451","255"
"FY 2017-18","165","WINDSOR LOCKS (165)","98491341","1039762","988392","7413","37094492","37094492","278209","0","0",,,,,"0","0","60215486","752694","192972","1447","228","126"
"FY 2017-18","166","WOLCOTT (166)","46822917","369097","955879","7169","42282113","42282113","317116","0","0",,,,,"0","0","3584925","44812","0","0","207","192"
"FY 2017-18","167","WOODBRIDGE (167)","48411222","369430","1535000","11513","45837130","45607130","342053","230000","2875",,,,,"0","0","1039092","12989","0","0","124","82"
"FY 2017-18","168","WOODBURY (168)","48273082","378486","2716413","20373","43534818","41520898","311407","2013920","25174",,,,,"748201","5612","1273650","15921","0","0","166","104"
"FY 2017-18","169","WOODSTOCK (169)","48257683","372030","1545933","11594","45242350","44692350","335193","550000","6875",,,,,"0","0","1469400","18368","0","0","204","119"
"FY 2017-18",,"TOWN UNKNOWN","41428954","338477","683500","5126","38745453","35193453","263951","3552000","44400",,,,,"0","0","2000001","25000","0","0","136","83"
"FY 2017-18",,"ALL MUNICIPALITIES","21053727611","183480574","579744060","4348080","16815621696","14217212746","106629096","2598408950","32480112",,,,,"1113208506","8349064","2517114447","31463931","28038901","210292","53983","33809"
"FY 2016-17","001","ANDOVER (001)","9937112","74528","666800","5001","9270312","9270312","69527","0","0",,,,,"0","0","0","0","0","0","41","41"
